ID;Vakantiekenmerken;Perioden;Totaal_1;Auto_2;TreinAutoslaaptrein_3;Touringcar_4;Vliegtuig_5;OverigeVervoermiddelen_6;GeorganiseerdeReisPerAuto_7;GeorganiseerdeReisPerTouringcar_8;GeorganiseerdeReisPerVliegtuig_9;GeorganiseerdeReisMetOverigVervoer_10;NietGeorganiseerdeReizen_11
566;55;2013;260.0;23.0;2.0;11.0;107.0;116.0;21.0;11.0;107.0;112.0;9.0
567;55;2014;;;;;;;;;;;
568;55;2015;;;;;;;;;;;
569;55;2016;;;;;;;;;;;
570;56;2002;91.0;41.0;16.0;22.0;8.0;4.0;12.0;22.0;8.0;19.0;29.0
571;56;2003;114.0;38.0;7.0;41.0;26.0;2.0;21.0;34.0;26.0;6.0;26.0
572;56;2004;114.0;42.0;8.0;29.0;29.0;6.0;15.0;29.0;29.0;13.0;29.0
573;56;2005;103.0;19.0;9.0;17.0;44.0;14.0;8.0;17.0;44.0;18.0;16.0
574;56;2006;135.0;32.0;12.0;36.0;46.0;10.0;14.0;32.0;46.0;14.0;30.0
575;56;2007;152.0;35.0;22.0;46.0;43.0;6.0;23.0;46.0;43.0;23.0;17.0
576;56;2008;127.0;23.0;11.0;38.0;56.0;0.0;15.0;38.0;56.0;8.0;10.0
577;56;2009;132.0;27.0;11.0;24.0;63.0;7.0;13.0;24.0;63.0;18.0;14.0
578;56;2010;149.0;27.0;16.0;20.0;66.0;20.0;19.0;20.0;66.0;16.0;28.0
579;56;2011;91.0;8.0;9.0;18.0;43.0;12.0;2.0;18.0;43.0;16.0;11.0
580;56;2012;80.0;;;;;;;;;;
581;56;2013;;;;;;;;;;;
582;56;2014;;;;;;;;;;;
583;56;2015;;;;;;;;;;;
584;56;2016;;;;;;;;;;;
585;57;2002;88.0;46.0;1.0;1.0;34.0;6.0;8.0;1.0;34.0;3.0;42.0
586;57;2003;123.0;58.0;4.0;11.0;37.0;12.0;16.0;11.0;37.0;17.0;42.0
587;57;2004;105.0;61.0;0.0;2.0;38.0;3.0;31.0;2.0;38.0;3.0;30.0
588;57;2005;109.0;65.0;5.0;7.0;29.0;4.0;34.0;7.0;29.0;8.0;31.0
589;57;2006;111.0;54.0;5.0;1.0;35.0;16.0;27.0;1.0;35.0;14.0;34.0
