ID;CharacteristicsOfHouseholds;Periods;NetWorth_1;Total_2;CurrencyAndDeposits_3;DebtSecurities_4;Loans_5;EquityInvestmentFundSharesOrUnits_6;InsurancePensionAndGuaranteeSchemes_7;FinDerivativesEmployeeStockOptions_8;OtherAccountsReceivablePayable_9;Total_10;Loans_11;FinDerivativesEmployeeStockOptions_12;OtherLiabilities_13;Total_14;Dwellings_15;LandUnderlyingDwellings_16;OtherNonFinancialAssets_17;NetWorth_18;Total_19;CurrencyAndDeposits_20;DebtSecurities_21;Loans_22;EquityInvestmentFundSharesOrUnits_23;InsurancePensionAndGuaranteeSchemes_24;FinDerivativesEmployeeStockOptions_25;OtherAccountsReceivablePayable_26;Total_27;Loans_28;FinDerivativesEmployeeStockOptions_29;OtherLiabilities_30;Total_31;Dwellings_32;LandUnderlyingDwellings_33;OtherNonFinancialAssets_34;NetWorth_35;Total_36;CurrencyAndDeposits_37;DebtSecurities_38;Loans_39;EquityInvestmentFundSharesOrUnits_40;InsurancePensionAndGuaranteeSchemes_41;FinDerivativesEmployeeStockOptions_42;OtherAccountsReceivablePayable_43;Total_44;Loans_45;FinDerivativesEmployeeStockOptions_46;OtherLiabilities_47;Total_48;Dwellings_49;LandUnderlyingDwellings_50;OtherNonFinancialAssets_51;NetWorth_52;Total_53;CurrencyAndDeposits_54;DebtSecurities_55;Loans_56;EquityInvestmentFundSharesOrUnits_57;InsurancePensionAndGuaranteeSchemes_58;FinDerivativesEmployeeStockOptions_59;OtherAccountsReceivablePayable_60;Total_61;Loans_62;FinDerivativesEmployeeStockOptions_63;OtherLiabilities_64;Total_65;Dwellings_66;LandUnderlyingDwellings_67;OtherNonFinancialAssets_68
94;Source of income: compensation of employ;2018;1569225;1221629;194826;1331;4329;186299;806673;455;27716;580665;564481;22;16162;928261;405109;475082;48070;381.7;297.1;47.4;0.3;1.1;45.3;196.2;0.1;6.7;141.2;137.3;0.0;3.9;225.8;98.5;115.6;11.7;230.3;179.3;28.6;0.2;0.6;27.3;118.4;0.1;4.1;85.2;82.8;0.0;2.4;136.2;59.5;69.7;7.1;100;77.8;12.4;0.1;0.3;11.9;51.4;0.0;1.8;37.0;36.0;0.0;1.0;59.2;25.8;30.3;3.1
95;Source of income: compensation of employ;2019;1714767;1272535;203708;1174;4555;180656;854454;456;27532;586745;570786;13;15946;1028977;434927;543126;50924;410.2;304.4;48.7;0.3;1.1;43.2;204.4;0.1;6.6;140.4;136.5;0.0;3.8;246.1;104.0;129.9;12.2;248.3;184.3;29.5;0.2;0.7;26.2;123.7;0.1;4.0;85.0;82.6;0.0;2.3;149.0;63.0;78.6;7.4;100;74.2;11.9;0.1;0.3;10.5;49.8;0.0;1.6;34.2;33.3;0.0;0.9;60.0;25.4;31.7;3.0
96;Source of income: compensation of employ;2020;1898625;1388802;216905;1184;4694;164687;973693;449;27190;590916;573928;16;16972;1100739;466718;591082;42939;452.8;331.2;51.7;0.3;1.1;39.3;232.2;0.1;6.5;140.9;136.9;0.0;4.0;262.5;111.3;141.0;10.2;274.3;200.6;31.3;0.2;0.7;23.8;140.7;0.1;3.9;85.4;82.9;0.0;2.5;159.0;67.4;85.4;6.2;100;73.1;11.4;0.1;0.2;8.7;51.3;0.0;1.4;31.1;30.2;0.0;0.9;58.0;24.6;31.1;2.3
97;Source of income: compensation of employ;2021;2192771;1600964;244915;1167;4904;185325;1134774;369;29510;603761;586136;10;17615;1195568;501855;650007;43706;519.9;379.6;58.1;0.3;1.2;43.9;269.0;0.1;7.0;143.1;139.0;0.0;4.2;283.5;119.0;154.1;10.4;315.5;230.4;35.2;0.2;0.7;26.7;163.3;0.1;4.2;86.9;84.3;0.0;2.5;172.0;72.2;93.5;6.3;100;73.0;11.2;0.1;0.2;8.5;51.8;0.0;1.3;27.5;26.7;0.0;0.8;54.5;22.9;29.6;2.0
98;Source of income: old age benefits;2015;940887;715198;122520;1841;3422;38478;541417;118;7402;78504;75286;160;3058;304193;165947;134081;4165;462.8;351.8;60.3;0.9;1.7;18.9;266.3;0.1;3.6;38.6;37.0;0.1;1.5;149.6;81.6;66.0;2.0;369.5;280.9;48.1;0.7;1.3;15.1;212.6;0.0;2.9;30.8;29.6;0.1;1.2;119.5;65.2;52.7;1.6;100;76.0;13.0;0.2;0.4;4.1;57.5;0.0;0.8;8.3;8.0;0.0;0.3;32.3;17.6;14.3;0.4
99;Source of income: old age benefits;2016;975542;740014;123716;1436;3509;44088;559883;129;7253;82265;79155;148;2962;317793;163803;150192;3798;475.4;360.6;60.3;0.7;1.7;21.5;272.8;0.1;3.5;40.1;38.6;0.1;1.4;154.9;79.8;73.2;1.9;380.4;288.5;48.2;0.6;1.4;17.2;218.3;0.1;2.8;32.1;30.9;0.1;1.2;123.9;63.9;58.6;1.5;100;75.9;12.7;0.1;0.4;4.5;57.4;0.0;0.7;8.4;8.1;0.0;0.3;32.6;16.8;15.4;0.4
100;Source of income: old age benefits;2017;980831;727487;123303;1204;3333;43435;549873;110;6229;82092;79323;131;2638;335436;162143;166452;6841;476.1;353.2;59.9;0.6;1.6;21.1;266.9;0.1;3.0;39.9;38.5;0.1;1.3;162.8;78.7;80.8;3.3;381.7;283.1;48.0;0.5;1.3;16.9;214.0;0.0;2.4;31.9;30.9;0.1;1.0;130.5;63.1;64.8;2.7;100;74.2;12.6;0.1;0.3;4.4;56.1;0.0;0.6;8.4;8.1;0.0;0.3;34.2;16.5;17.0;0.7
101;Source of income: old age benefits;2018;1063142;776213;129429;1299;3375;52665;583363;12;6070;84563;81797;21;2745;371492;167725;196695;7072;511.8;373.7;62.3;0.6;1.6;25.4;280.8;0.0;2.9;40.7;39.4;0.0;1.3;178.8;80.7;94.7;3.4;410.8;299.9;50.0;0.5;1.3;20.3;225.4;0.0;2.3;32.7;31.6;0.0;1.1;143.5;64.8;76.0;2.7;100;73.0;12.2;0.1;0.3;5.0;54.9;0.0;0.6;8.0;7.7;0.0;0.3;34.9;15.8;18.5;0.7
102;Source of income: old age benefits;2019;1076287;758196;134554;1117;3774;46221;566557;10;5963;85326;82642;13;2671;403417;176160;219984;7273;517.3;364.4;64.7;0.5;1.8;22.2;272.3;0.0;2.9;41.0;39.7;0.0;1.3;193.9;84.7;105.7;3.5;415.7;292.8;52.0;0.4;1.5;17.9;218.8;0.0;2.3;33.0;31.9;0.0;1.0;155.8;68.0;85.0;2.8;100;70.4;12.5;0.1;0.4;4.3;52.6;0.0;0.6;7.9;7.7;0.0;0.2;37.5;16.4;20.4;0.7
103;Source of income: old age benefits;2020;1231344;884588;142662;1176;3900;66107;665332;8;5403;89137;86469;15;2653;435893;189982;240605;5306;581.6;417.8;67.4;0.6;1.8;31.2;314.3;0.0;2.6;42.1;40.8;0.0;1.3;205.9;89.7;113.6;2.5;468.3;336.4;54.3;0.4;1.5;25.1;253.0;0.0;2.1;33.9;32.9;0.0;1.0;165.8;72.2;91.5;2.0;100;71.8;11.6;0.1;0.3;5.4;54.0;0.0;0.4;7.2;7.0;0.0;0.2;35.4;15.4;19.5;0.4
104;Source of income: old age benefits;2021;1309368;919545;156690;1074;4024;68459;683445;7;5846;93831;91176;9;2646;483654;208334;269836;5484;610.3;428.6;73.0;0.5;1.9;31.9;318.6;0.0;2.7;43.7;42.5;0.0;1.2;225.4;97.1;125.8;2.6;491.6;345.3;58.8;0.4;1.5;25.7;256.6;0.0;2.2;35.2;34.2;0.0;1.0;181.6;78.2;101.3;2.1;100;70.2;12.0;0.1;0.3;5.2;52.2;0.0;0.4;7.2;7.0;0.0;0.2;36.9;15.9;20.6;0.4
105;Source of income: other;2015;120011;101435;17265;135;428;2533;78199;17;2858;30074;28725;12;1337;48650;25449;20562;2639;96.5;81.5;13.9;0.1;0.3;2.0;62.9;0.0;2.3;24.2;23.1;0.0;1.1;39.1;20.5;16.5;2.1;73.8;62.4;10.6;0.1;0.3;1.6;48.1;0.0;1.8;18.5;17.7;0.0;0.8;29.9;15.7;12.7;1.6;100;84.5;14.4;0.1;0.4;2.1;65.2;0.0;2.4;25.1;23.9;0.0;1.1;40.5;21.2;17.1;2.2
106;Source of income: other;2016;124768;105360;16981;104;431;2907;82189;16;2732;28115;26855;11;1249;47523;23348;21408;2767;102.1;86.2;13.9;0.1;0.4;2.4;67.2;0.0;2.2;23.0;22.0;0.0;1.0;38.9;19.1;17.5;2.3;78.5;66.3;10.7;0.1;0.3;1.8;51.7;0.0;1.7;17.7;16.9;0.0;0.8;29.9;14.7;13.5;1.7;100;84.4;13.6;0.1;0.3;2.3;65.9;0.0;2.2;22.5;21.5;0.0;1.0;38.1;18.7;17.2;2.2
107;Source of income: other;2017;128175;106566;16491;87;406;4074;83138;15;2355;26317;25165;9;1143;47926;21975;22559;3392;107.3;89.2;13.8;0.1;0.3;3.4;69.6;0.0;2.0;22.0;21.1;0.0;1.0;40.1;18.4;18.9;2.8;82.7;68.8;10.6;0.1;0.3;2.6;53.7;0.0;1.5;17.0;16.2;0.0;0.7;30.9;14.2;14.6;2.2;100;83.1;12.9;0.1;0.3;3.2;64.9;0.0;1.8;20.5;19.6;0.0;0.9;37.4;17.1;17.6;2.6
108;Source of income: other;2018;129974;105647;16362;82;392;3202;83408;7;2194;24517;23393;1;1123;48844;20878;24484;3482;113.4;92.1;14.3;0.1;0.3;2.8;72.7;0.0;1.9;21.4;20.4;0.0;1.0;42.6;18.2;21.4;3.0;87.6;71.2;11.0;0.1;0.3;2.2;56.2;0.0;1.5;16.5;15.8;0.0;0.8;32.9;14.1;16.5;2.3;100;81.3;12.6;0.1;0.3;2.5;64.2;0.0;1.7;18.9;18.0;0.0;0.9;37.6;16.1;18.8;2.7
109;Source of income: other;2019;130575;102825;16280;68;427;2700;81258;6;2086;23059;22006;1;1052;50809;21108;26359;3342;117.3;92.3;14.6;0.1;0.4;2.4;73.0;0.0;1.9;20.7;19.8;0.0;0.9;45.6;19.0;23.7;3.0;91.0;71.6;11.3;0.0;0.3;1.9;56.6;0.0;1.5;16.1;15.3;0.0;0.7;35.4;14.7;18.4;2.3;100;78.7;12.5;0.1;0.3;2.1;62.2;0.0;1.6;17.7;16.9;0.0;0.8;38.9;16.2;20.2;2.6
110;Source of income: other;2020;146857;118173;16925;69;427;4442;94359;6;1945;24553;23560;1;992;53237;22749;28810;1678;129.2;103.9;14.9;0.1;0.4;3.9;83.0;0.0;1.7;21.6;20.7;0.0;0.9;46.8;20.0;25.3;1.5;100.5;80.8;11.6;0.0;0.3;3.0;64.5;0.0;1.3;16.8;16.1;0.0;0.7;36.4;15.6;19.7;1.1;100;80.5;11.5;0.0;0.3;3.0;64.3;0.0;1.3;16.7;16.0;0.0;0.7;36.3;15.5;19.6;1.1
111;Source of income: other;2021;158420;126424;18217;61;433;4358;101273;5;2077;23260;22284;1;975;55256;23348;30241;1667;142.3;113.5;16.4;0.1;0.4;3.9;91.0;0.0;1.9;20.9;20.0;0.0;0.9;49.6;21.0;27.2;1.5;110.6;88.3;12.7;0.0;0.3;3.0;70.7;0.0;1.4;16.2;15.6;0.0;0.7;38.6;16.3;21.1;1.2;100;79.8;11.5;0.0;0.3;2.8;63.9;0.0;1.3;14.7;14.1;0.0;0.6;34.9;14.7;19.1;1.1
112;Main earner: to 35 years;2015;93475;74644;27410;154;481;7618;31414;110;7457;113802;109577;14;4211;132633;60207;48646;23780;56.3;45.0;16.5;0.1;0.3;4.6;18.9;0.1;4.5;68.5;66.0;0.0;2.5;79.9;36.3;29.3;14.3;42.2;33.7;12.4;0.1;0.2;3.4;14.2;0.0;3.4;51.4;49.5;0.0;1.9;59.9;27.2;22.0;10.7;100;79.9;29.3;0.2;0.5;8.1;33.6;0.1;8.0;121.7;117.2;0.0;4.5;141.9;64.4;52.0;25.4
113;Main earner: to 35 years;2016;102061;74514;27491;119;471;6987;32030;101;7315;111431;107339;12;4080;138978;58459;53601;26918;61.1;44.6;16.5;0.1;0.3;4.2;19.2;0.1;4.4;66.8;64.3;0.0;2.4;83.3;35.0;32.1;16.1;46.0;33.6;12.4;0.1;0.2;3.1;14.4;0.0;3.3;50.2;48.4;0.0;1.8;62.6;26.3;24.2;12.1;100;73.0;26.9;0.1;0.5;6.8;31.4;0.1;7.2;109.2;105.2;0.0;4.0;136.2;57.3;52.5;26.4
114;Main earner: to 35 years;2017;117199;76046;28314;104;433;8721;31512;106;6856;110861;106933;11;3917;152014;59705;61292;31017;69.7;45.2;16.8;0.1;0.3;5.2;18.7;0.1;4.1;65.9;63.6;0.0;2.3;90.4;35.5;36.5;18.4;52.5;34.1;12.7;0.0;0.2;3.9;14.1;0.0;3.1;49.7;47.9;0.0;1.8;68.1;26.8;27.5;13.9;100;64.9;24.2;0.1;0.4;7.4;26.9;0.1;5.8;94.6;91.2;0.0;3.3;129.7;50.9;52.3;26.5
115;Main earner: to 35 years;2018;134537;82027;29193;96;381;8028;37223;94;7012;113443;109165;2;4276;165953;61072;71620;33261;79.1;48.2;17.2;0.1;0.2;4.7;21.9;0.1;4.1;66.7;64.2;0.0;2.5;97.6;35.9;42.1;19.6;59.7;36.4;12.9;0.0;0.2;3.6;16.5;0.0;3.1;50.3;48.4;0.0;1.9;73.6;27.1;31.8;14.8;100;61.0;21.7;0.1;0.3;6.0;27.7;0.1;5.2;84.3;81.1;0.0;3.2;123.4;45.4;53.2;24.7
116;Main earner: to 35 years;2019;155144;84320;30317;90;335;8167;38249;96;7066;115004;110687;1;4316;185828;67011;83682;35135;90.4;49.1;17.7;0.1;0.2;4.8;22.3;0.1;4.1;67.0;64.5;0.0;2.5;108.2;39.0;48.7;20.5;68.2;37.1;13.3;0.0;0.1;3.6;16.8;0.0;3.1;50.6;48.7;0.0;1.9;81.7;29.5;36.8;15.5;100;54.4;19.5;0.1;0.2;5.3;24.7;0.1;4.6;74.1;71.3;0.0;2.8;119.8;43.2;53.9;22.6
117;Main earner: to 35 years;2020;177987;97733;33477;95;302;11186;44485;95;8093;122208;117019;1;5188;202462;72873;92291;37298;103.3;56.7;19.4;0.1;0.2;6.5;25.8;0.1;4.7;70.9;67.9;0.0;3.0;117.5;42.3;53.6;21.6;78.1;42.9;14.7;0.0;0.1;4.9;19.5;0.0;3.6;53.6;51.4;0.0;2.3;88.8;32.0;40.5;16.4;100;54.9;18.8;0.1;0.2;6.3;25.0;0.1;4.5;68.7;65.7;0.0;2.9;113.8;40.9;51.9;21.0
118;Main earner: to 35 years;2021;208567;117888;38767;115;252;13388;56721;79;8566;126499;121204;1;5294;217178;77947;100958;38273;120.4;68.1;22.4;0.1;0.1;7.7;32.8;0.0;4.9;73.0;70.0;0.0;3.1;125.4;45.0;58.3;22.1;90.8;51.3;16.9;0.0;0.1;5.8;24.7;0.0;3.7;55.1;52.8;0.0;2.3;94.6;33.9;44.0;16.7;100;56.5;18.6;0.1;0.1;6.4;27.2;0.0;4.1;60.7;58.1;0.0;2.5;104.1;37.4;48.4;18.4
119;Main earner: 35 to 50 years;2015;566235;415072;95956;1063;2013;76043;220551;287;19159;338298;325837;97;12364;489461;213988;172897;102576;272.5;199.7;46.2;0.5;1.0;36.6;106.1;0.1;9.2;162.8;156.8;0.0;5.9;235.5;103.0;83.2;49.4;154.0;112.9;26.1;0.3;0.5;20.7;60.0;0.1;5.2;92.0;88.6;0.0;3.4;133.1;58.2;47.0;27.9;100;73.3;16.9;0.2;0.4;13.4;39.0;0.1;3.4;59.7;57.5;0.0;2.2;86.4;37.8;30.5;18.1
120;Main earner: 35 to 50 years;2016;570223;419434;93966;790;1969;74572;228956;262;18919;333413;321112;82;12219;484202;203321;186426;94455;277.7;204.3;45.8;0.4;1.0;36.3;111.5;0.1;9.2;162.4;156.4;0.0;6.0;235.8;99.0;90.8;46.0;157.3;115.7;25.9;0.2;0.5;20.6;63.1;0.1;5.2;92.0;88.6;0.0;3.4;133.5;56.1;51.4;26.1;100;73.6;16.5;0.1;0.3;13.1;40.2;0.0;3.3;58.5;56.3;0.0;2.1;84.9;35.7;32.7;16.6
121;Main earner: 35 to 50 years;2017;609901;439624;95071;654;1854;77486;246106;259;18194;330204;318559;71;11574;500481;199867;205178;95436;300.5;216.6;46.8;0.3;0.9;38.2;121.3;0.1;9.0;162.7;156.9;0.0;5.7;246.6;98.5;101.1;47.0;170.1;122.6;26.5;0.2;0.5;21.6;68.7;0.1;5.1;92.1;88.9;0.0;3.2;139.6;55.8;57.2;26.6;100;72.1;15.6;0.1;0.3;12.7;40.4;0.0;3.0;54.1;52.2;0.0;1.9;82.1;32.8;33.6;15.6
122;Main earner: 35 to 50 years;2018;643918;443020;93699;549;1866;80456;248026;190;18234;328876;316865;9;12002;529774;198930;233290;97554;320.4;220.5;46.6;0.3;0.9;40.0;123.4;0.1;9.1;163.7;157.7;0.0;6.0;263.6;99.0;116.1;48.5;181.6;124.9;26.4;0.2;0.5;22.7;69.9;0.1;5.1;92.7;89.3;0.0;3.4;149.4;56.1;65.8;27.5;100;68.8;14.6;0.1;0.3;12.5;38.5;0.0;2.8;51.1;49.2;0.0;1.9;82.3;30.9;36.2;15.2
123;Main earner: 35 to 50 years;2019;687876;445573;91172;470;1950;78958;255402;185;17436;327531;315796;5;11730;569834;209842;262045;97947;345.7;224.0;45.8;0.2;1.0;39.7;128.4;0.1;8.8;164.6;158.7;0.0;5.9;286.4;105.5;131.7;49.2;196.2;127.1;26.0;0.1;0.6;22.5;72.9;0.1;5.0;93.4;90.1;0.0;3.3;162.6;59.9;74.8;27.9;100;64.8;13.3;0.1;0.3;11.5;37.1;0.0;2.5;47.6;45.9;0.0;1.7;82.8;30.5;38.1;14.2
124;Main earner: 35 to 50 years;2020;750558;473269;92843;445;1993;77255;283033;177;17523;323892;311772;6;12114;601181;221561;280599;99021;380.7;240.0;47.1;0.2;1.0;39.2;143.5;0.1;8.9;164.3;158.1;0.0;6.1;304.9;112.4;142.3;50.2;216.6;136.6;26.8;0.1;0.6;22.3;81.7;0.1;5.1;93.5;90.0;0.0;3.5;173.5;63.9;81.0;28.6;100;63.1;12.4;0.1;0.3;10.3;37.7;0.0;2.3;43.2;41.5;0.0;1.6;80.1;29.5;37.4;13.2
125;Main earner: 35 to 50 years;2021;855023;541150;98796;427;2066;79357;342559;143;17802;323728;311789;4;11935;637601;234775;304083;98743;438.8;277.7;50.7;0.2;1.1;40.7;175.8;0.1;9.1;166.1;160.0;0.0;6.1;327.2;120.5;156.1;50.7;249.9;158.2;28.9;0.1;0.6;23.2;100.1;0.0;5.2;94.6;91.1;0.0;3.5;186.4;68.6;88.9;28.9;100;63.3;11.6;0.0;0.2;9.3;40.1;0.0;2.1;37.9;36.5;0.0;1.4;74.6;27.5;35.6;11.5
126;Main earner: 50 to 65  years;2015;1191733;935813;135787;2486;3433;127651;645083;344;21029;254942;242313;219;12410;510862;238571;192758;79533;563.2;442.3;64.2;1.2;1.6;60.3;304.9;0.2;9.9;120.5;114.5;0.1;5.9;241.4;112.7;91.1;37.6;352.0;276.4;40.1;0.7;1.0;37.7;190.5;0.1;6.2;75.3;71.6;0.1;3.7;150.9;70.5;56.9;23.5;100;78.5;11.4;0.2;0.3;10.7;54.1;0.0;1.8;21.4;20.3;0.0;1.0;42.9;20.0;16.2;6.7
127;Main earner: 50 to 65  years;2016;1265340;992335;139037;1923;3557;136207;689421;342;21848;263174;250077;198;12899;536179;235074;215542;85563;589.3;462.1;64.8;0.9;1.7;63.4;321.1;0.2;10.2;122.6;116.5;0.1;6.0;249.7;109.5;100.4;39.8;367.8;288.4;40.4;0.6;1.0;39.6;200.4;0.1;6.4;76.5;72.7;0.1;3.7;155.8;68.3;62.6;24.9;100;78.4;11.0;0.2;0.3;10.8;54.5;0.0;1.7;20.8;19.8;0.0;1.0;42.4;18.6;17.0;6.8
128;Main earner: 50 to 65  years;2017;1370901;1073787;142909;1640;3470;146146;758551;336;20735;270487;257434;180;12873;567601;237090;243391;87120;630.3;493.7;65.7;0.8;1.6;67.2;348.7;0.2;9.5;124.4;118.4;0.1;5.9;260.9;109.0;111.9;40.1;392.3;307.3;40.9;0.5;1.0;41.8;217.1;0.1;5.9;77.4;73.7;0.1;3.7;162.4;67.9;69.7;24.9;100;78.3;10.4;0.1;0.3;10.7;55.3;0.0;1.5;19.7;18.8;0.0;0.9;41.4;17.3;17.8;6.4
129;Main earner: 50 to 65  years;2018;1393548;1056720;145067;1478;3649;157314;728236;193;20783;278005;264479;23;13503;614833;241004;282633;91196;634.5;481.1;66.0;0.7;1.7;71.6;331.6;0.1;9.5;126.6;120.4;0.0;6.1;279.9;109.7;128.7;41.5;394.2;298.9;41.0;0.4;1.0;44.5;206.0;0.1;5.9;78.6;74.8;0.0;3.8;173.9;68.2;80.0;25.8;100;75.8;10.4;0.1;0.3;11.3;52.3;0.0;1.5;19.9;19.0;0.0;1.0;44.1;17.3;20.3;6.5
130;Main earner: 50 to 65  years;2019;1480641;1091757;148620;1356;3805;165046;751285;194;21451;286082;272255;16;13811;674966;257520;321585;95861;667.0;491.9;67.0;0.6;1.7;74.4;338.5;0.1;9.7;128.9;122.6;0.0;6.2;304.1;116.0;144.9;43.2;413.2;304.7;41.5;0.4;1.1;46.1;209.7;0.1;6.0;79.8;76.0;0.0;3.9;188.4;71.9;89.7;26.8;100;73.7;10.0;0.1;0.3;11.1;50.7;0.0;1.4;19.3;18.4;0.0;0.9;45.6;17.4;21.7;6.5
131;Main earner: 50 to 65  years;2020;1639905;1199266;155880;1339;3890;165074;853005;195;19883;289067;275077;17;13973;729706;277934;351993;99779;726.1;531.0;69.0;0.6;1.7;73.1;377.7;0.1;8.8;128.0;121.8;0.0;6.2;323.1;123.1;155.9;44.2;449.1;328.4;42.7;0.4;1.1;45.2;233.6;0.1;5.4;79.2;75.3;0.0;3.8;199.8;76.1;96.4;27.3;100;73.1;9.5;0.1;0.2;10.1;52.0;0.0;1.2;17.6;16.8;0.0;0.9;44.5;16.9;21.5;6.1
132;Main earner: 50 to 65  years;2021;1845183;1344581;172997;1274;4085;178088;966917;162;21058;296957;282673;11;14273;797559;301702;390767;105090;808.9;589.4;75.8;0.6;1.8;78.1;423.9;0.1;9.2;130.2;123.9;0.0;6.3;349.6;132.3;171.3;46.1;500.0;364.3;46.9;0.3;1.1;48.3;262.0;0.0;5.7;80.5;76.6;0.0;3.9;216.1;81.7;105.9;28.5;100;72.9;9.4;0.1;0.2;9.7;52.4;0.0;1.1;16.1;15.3;0.0;0.8;43.2;16.4;21.2;5.7
133;Main earner: 65 years or older;2015;997266;761793;139818;3629;3862;104582;501000;227;8675;91262;87305;309;3648;326735;173031;139804;13900;485.2;370.6;68.0;1.8;1.9;50.9;243.7;0.1;4.2;44.4;42.5;0.2;1.8;159.0;84.2;68.0;6.8;382.7;292.3;53.6;1.4;1.5;40.1;192.2;0.1;3.3;35.0;33.5;0.1;1.4;125.4;66.4;53.6;5.3;100;76.4;14.0;0.4;0.4;10.5;50.2;0.0;0.9;9.2;8.8;0.0;0.4;32.8;17.4;14.0;1.4
134;Main earner: 65 years or older;2016;1064356;811249;143093;2904;3991;114381;537442;261;9177;98348;94133;300;3915;351455;174869;160338;16248;505.3;385.2;67.9;1.4;1.9;54.3;255.2;0.1;4.4;46.7;44.7;0.1;1.9;166.9;83.0;76.1;7.7;397.9;303.3;53.5;1.1;1.5;42.8;200.9;0.1;3.4;36.8;35.2;0.1;1.5;131.4;65.4;59.9;6.1;100;76.2;13.4;0.3;0.4;10.7;50.5;0.0;0.9;9.2;8.8;0.0;0.4;33.0;16.4;15.1;1.5
135;Main earner: 65 years or older;2017;1150916;873955;146363;2525;3914;125025;587534;233;8361;103025;98794;275;3956;379986;179514;184285;16187;534.6;406.0;68.0;1.2;1.8;58.1;272.9;0.1;3.9;47.9;45.9;0.1;1.8;176.5;83.4;85.6;7.5;421.0;319.7;53.5;0.9;1.4;45.7;214.9;0.1;3.1;37.7;36.1;0.1;1.4;139.0;65.7;67.4;5.9;100;75.9;12.7;0.2;0.3;10.9;51.0;0.0;0.7;9.0;8.6;0.0;0.3;33.0;15.6;16.0;1.4
136;Main earner: 65 years or older;2018;1198193;883707;151312;2274;4041;124684;592924;25;8447;107209;103087;37;4085;421695;186202;218363;17130;544.6;401.7;68.8;1.0;1.8;56.7;269.5;0.0;3.8;48.7;46.9;0.0;1.9;191.7;84.6;99.3;7.8;428.7;316.2;54.1;0.8;1.4;44.6;212.1;0.0;3.0;38.4;36.9;0.0;1.5;150.9;66.6;78.1;6.1;100;73.8;12.6;0.2;0.3;10.4;49.5;0.0;0.7;8.9;8.6;0.0;0.3;35.2;15.5;18.2;1.4
137;Main earner: 65 years or older;2019;1249695;893327;158691;2035;4336;116901;602517;24;8823;111629;107406;23;4200;467997;200035;249798;18164;556.4;397.8;70.7;0.9;1.9;52.0;268.3;0.0;3.9;49.7;47.8;0.0;1.9;208.4;89.1;111.2;8.1;437.6;312.8;55.6;0.7;1.5;40.9;211.0;0.0;3.1;39.1;37.6;0.0;1.5;163.9;70.0;87.5;6.4;100;71.5;12.7;0.2;0.3;9.4;48.2;0.0;0.7;8.9;8.6;0.0;0.3;37.4;16.0;20.0;1.5
138;Main earner: 65 years or older;2020;1445940;1048279;167999;2037;4373;141726;724643;20;7481;117021;112853;27;4141;514682;218495;276716;19471;627.6;455.0;72.9;0.9;1.9;61.5;314.5;0.0;3.2;50.8;49.0;0.0;1.8;223.4;94.8;120.1;8.5;493.8;358.0;57.4;0.7;1.5;48.4;247.4;0.0;2.6;40.0;38.5;0.0;1.4;175.8;74.6;94.5;6.6;100;72.5;11.6;0.1;0.3;9.8;50.1;0.0;0.5;8.1;7.8;0.0;0.3;35.6;15.1;19.1;1.3
139;Main earner: 65 years or older;2021;1537849;1087743;183231;1878;4478;146292;743757;18;8089;121570;117379;16;4175;571676;239823;310621;21232;657.1;464.8;78.3;0.8;1.9;62.5;317.8;0.0;3.5;51.9;50.2;0.0;1.8;244.3;102.5;132.7;9.1;517.0;365.7;61.6;0.6;1.5;49.2;250.0;0.0;2.7;40.9;39.5;0.0;1.4;192.2;80.6;104.4;7.1;100;70.7;11.9;0.1;0.3;9.5;48.4;0.0;0.5;7.9;7.6;0.0;0.3;37.2;15.6;20.2;1.4
140;Home ownership: Owner-occupied home;2015;2396167;1756516;317328;6527;7818;291157;1091850;802;41034;761885;736677;569;24639;1401536;668384;540036;193116;576.8;422.8;76.4;1.6;1.9;70.1;262.8;0.2;9.9;183.4;177.3;0.1;5.9;337.4;160.9;130.0;46.5;342.1;250.8;45.3;0.9;1.1;41.6;155.9;0.1;5.9;108.8;105.2;0.1;3.5;200.1;95.4;77.1;27.6;100;73.3;13.2;0.3;0.3;12.2;45.6;0.0;1.7;31.8;30.7;0.0;1.0;58.5;27.9;22.5;8.1
141;Home ownership: Owner-occupied home;2016;2540713;1863177;323588;5138;8106;304610;1179056;812;41867;772438;746836;530;25072;1449974;665864;610535;173575;596.4;437.3;76.0;1.2;1.9;71.5;276.8;0.2;9.8;181.3;175.3;0.1;5.9;340.3;156.3;143.3;40.7;355.7;260.9;45.3;0.7;1.1;42.6;165.1;0.1;5.9;108.2;104.6;0.1;3.5;203.0;93.2;85.5;24.3;100;73.3;12.7;0.2;0.3;12.0;46.4;0.0;1.6;30.4;29.4;0.0;1.0;57.1;26.2;24.0;6.8
142;Home ownership: Owner-occupied home;2017;2779444;2022642;331738;4424;7934;328872;1308915;779;39980;781906;756885;482;24539;1538708;668123;685879;184706;645.9;470.0;77.1;1.0;1.8;76.4;304.2;0.2;9.3;181.7;175.9;0.1;5.7;357.6;155.3;159.4;42.9;385.7;280.7;46.0;0.6;1.1;45.6;181.6;0.1;5.5;108.5;105.0;0.1;3.4;213.5;92.7;95.2;25.6;100;72.8;11.9;0.2;0.3;11.8;47.1;0.0;1.4;28.1;27.2;0.0;0.9;55.4;24.0;24.7;6.6
