ID;AreasOfCivilEngineeringWorks;Periods;InputPriceIndex_1;ChangesComparedWithOneYearEarlier_2
1013;4221 Constructions and construction w.;2009 April;137.6;1.7
1014;4221 Constructions and construction w.;2009 July;136.3;-2.0
1015;4221 Constructions and construction w.;2009 October;135.0;-2.9
1016;4221 Constructions and construction w.;2010 January;135.3;-2.8
1017;4221 Constructions and construction w.;2010 April;135.8;-1.3
1018;4221 Constructions and construction w.;2010 July;136.6;0.2
1019;4221 Constructions and construction w.;2010 October;136.7;1.3
1020;4221 Constructions and construction w.;2011 January;137.9;1.9
1021;4221 Constructions and construction w.;2011 April;139.7;2.8
1022;4221 Constructions and construction w.;2011 July;140.2;2.6
1023;4221 Constructions and construction w.;2011 October;140.4;2.7
1024;4221 Constructions and construction w.;2012 January;142.0;2.9
1025;4221 Constructions and construction w.;2012 April;142.8;2.2
1026;4221 Constructions and construction w.;2012 July;142.9;1.9
1027;4221 Constructions and construction w.;2012 October;144.2;2.8
1028;4221 Constructions and construction w.;2013 January;144.1;1.5
1029;4221 Constructions and construction w.;2013 April;143.9;0.8
1030;4221 Constructions and construction w.;2013 July;144.5;1.1
1031;4221 Constructions and construction w.;2013 October;144.3;0.0
1032;4221 Constructions and construction w.;2014 January;145.0;0.6
1033;4221 Constructions and construction w.;2014 April;144.3;0.3
1034;4221 Constructions and construction w.;2014 July;144.7;0.1
1035;4221 Constructions and construction w.;2014 October;145.5;0.8
1036;4221 Constructions and construction w.;2015 January;144.3;-0.5
1037;4221 Constructions and construction w.;2015 April;144.7;0.3
1038;4221 Constructions and construction w.;2015 July;145.5;0.6
1039;4221 Constructions and construction w.;2015 October;144.9;-0.4
1040;4221 Constructions and construction w.;2016 January;143.8;-0.3
1041;4221 Constructions and construction w.;2016 April;143.1;-1.2
1042;4221 Constructions and construction w.;2016 July;145.2;-0.3
1043;4221 Constructions and construction w.;2016 October;147.3;1.7
1044;4221 Constructions and construction w.;2017 January;147.1;2.3
1045;4221 Constructions and construction w.;2017 April;147.8;3.3
1046;4221 Constructions and construction w.;2017 July;147.5;1.6
1047;4221 Constructions and construction w.;2017 October;147.6;0.2
1048;4221 Constructions and construction w.;2018 January;150.4;2.3
1049;4221 Constructions and construction w.;2018 April;151.2;2.3
1050;4221 Constructions and construction w.;2018 July;152.3;3.3
1051;4221 Constructions and construction w.;2018 October;155.3;5.3
1052;4221 Constructions and construction w.;2019 January;155.8;3.6
1053;4221 Constructions and construction w.;2019 April;158.3;4.7
1054;4221 Constructions and construction w.;2019 July;158.2;3.9
1055;4221 Constructions and construction w.;2019 October;158.7;2.2
1056;4221 Constructions and construction w.;2020 January;164.2;5.4
1057;4221 Constructions and construction w.;2020 April;164.5;3.9
1058;4221 Constructions and construction w.;2020 July;165.5;4.6
1059;4221 Constructions and construction w.;2020 October;166.7;5.0
1060;4221 Constructions and construction w.;2021 January;167.9;2.3
1061;4221 Constructions and construction w.;2021 April;174.1;5.9
1062;4221 Constructions and construction w.;2021 July;176.9;6.9
1063;4221 Constructions and construction w.;2021 October;171.2;2.7
1064;4221 Constructions and construction w.;2022 January;181.2;8.0
1065;4221 Constructions and construction w.;2022 April;194.3;11.6
1066;4221 Constructions and construction w.;2022 July;192.7;8.9
1067;4221 Constructions and construction w.;2022 October;205.2;19.9
1068;4221 Constructions and construction w.;2023 January;201.8;11.4
1069;4221 Constructions and construction w.;2023 April;207.0;6.5
1070;4221 Constructions and construction w.;2023 July;214.1;11.1
1071;4221 Constructions and construction w.;2023 October;213.5;4.0
1072;4221 Constructions and construction w.;2024 January;215.5;6.8
1073;4221 Constructions and construction w.;2024 February;219.0;
1074;4221 Constructions and construction w.;2024 March;213.6;
1075;4221 Constructions and construction w.;2024 April;216.7;4.7
1076;4221 Constructions and construction w.;2024 May;216.4;
1077;4221 Constructions and construction w.;2024 June;215.5;
1078;4221 Constructions and construction w.;2024 July;221.3;3.3
1079;4221 Constructions and construction w.;2024 August;223.6;
1080;4221 Constructions and construction w.;2024 September;220.9;
1081;4221 Constructions and construction w.;2024 October;222.4;4.2
1082;4221 Constructions and construction w.;2024 November;218.5;
1083;4221 Constructions and construction w.;2024 December;218.7;
1084;4221 Constructions and construction w.;2025 January;222.9;3.4
1085;4291 Constructions and construction w.;1979 February;;
1086;4291 Constructions and construction w.;1979 August;;
1087;4291 Constructions and construction w.;1980 February;;
1088;4291 Constructions and construction w.;1980 August;;
1089;4291 Constructions and construction w.;1981 February;;
1090;4291 Constructions and construction w.;1981 August;;
1091;4291 Constructions and construction w.;1982 February;;
1092;4291 Constructions and construction w.;1982 August;;
1093;4291 Constructions and construction w.;1983 February;;
1094;4291 Constructions and construction w.;1983 August;;
1095;4291 Constructions and construction w.;1984 February;;
1096;4291 Constructions and construction w.;1984 August;;
1097;4291 Constructions and construction w.;1985 February;;
1098;4291 Constructions and construction w.;1985 August;;
1099;4291 Constructions and construction w.;1986 February;;
1100;4291 Constructions and construction w.;1986 August;;
1101;4291 Constructions and construction w.;1987 February;;
1102;4291 Constructions and construction w.;1987 August;;
1103;4291 Constructions and construction w.;1988 February;;
1104;4291 Constructions and construction w.;1988 August;;
1105;4291 Constructions and construction w.;1989 February;;
1106;4291 Constructions and construction w.;1989 August;;
1107;4291 Constructions and construction w.;1990 February;;
1108;4291 Constructions and construction w.;1990 August;;
1109;4291 Constructions and construction w.;1991 February;;
1110;4291 Constructions and construction w.;1991 August;;
1111;4291 Constructions and construction w.;1992 February;;
1112;4291 Constructions and construction w.;1992 August;;
1113;4291 Constructions and construction w.;1993 February;;
1114;4291 Constructions and construction w.;1993 August;;
1115;4291 Constructions and construction w.;1994 February;;
1116;4291 Constructions and construction w.;1994 August;;
1117;4291 Constructions and construction w.;1995 February;;
1118;4291 Constructions and construction w.;1995 August;;
1119;4291 Constructions and construction w.;1996 February;;
1120;4291 Constructions and construction w.;1996 August;;
1121;4291 Constructions and construction w.;1997 February;;
1122;4291 Constructions and construction w.;1997 August;;
1123;4291 Constructions and construction w.;1998 January;;
1124;4291 Constructions and construction w.;1998 April;;
1125;4291 Constructions and construction w.;1998 July;;
1126;4291 Constructions and construction w.;1998 October;;
1127;4291 Constructions and construction w.;1999 January;;
1128;4291 Constructions and construction w.;1999 April;;
1129;4291 Constructions and construction w.;1999 July;;
1130;4291 Constructions and construction w.;1999 October;;
1131;4291 Constructions and construction w.;2000 January;96.9;
1132;4291 Constructions and construction w.;2000 April;98.8;
1133;4291 Constructions and construction w.;2000 July;101.3;
1134;4291 Constructions and construction w.;2000 October;103.0;
1135;4291 Constructions and construction w.;2001 January;101.3;4.5
1136;4291 Constructions and construction w.;2001 April;101.8;3.0
1137;4291 Constructions and construction w.;2001 July;102.8;1.5
1138;4291 Constructions and construction w.;2001 October;102.5;-0.5
1139;4291 Constructions and construction w.;2002 January;102.5;1.2
1140;4291 Constructions and construction w.;2002 April;104.3;2.4
1141;4291 Constructions and construction w.;2002 July;104.8;1.9
1142;4291 Constructions and construction w.;2002 October;105.8;3.3
1143;4291 Constructions and construction w.;2003 January;107.3;4.7
1144;4291 Constructions and construction w.;2003 April;107.3;2.8
1145;4291 Constructions and construction w.;2003 July;107.2;2.3
1146;4291 Constructions and construction w.;2003 October;107.6;1.7
1147;4291 Constructions and construction w.;2004 January;109.5;2.0
1148;4291 Constructions and construction w.;2004 April;113.0;5.3
1149;4291 Constructions and construction w.;2004 July;115.3;7.6
1150;4291 Constructions and construction w.;2004 October;117.4;9.1
1151;4291 Constructions and construction w.;2005 January;117.4;7.2
1152;4291 Constructions and construction w.;2005 April;118.6;5.0
1153;4291 Constructions and construction w.;2005 July;119.8;3.9
1154;4291 Constructions and construction w.;2005 October;120.5;2.7
1155;4291 Constructions and construction w.;2006 January;120.0;2.2
1156;4291 Constructions and construction w.;2006 April;122.8;3.6
1157;4291 Constructions and construction w.;2006 July;125.5;4.7
1158;4291 Constructions and construction w.;2006 October;126.3;4.8
1159;4291 Constructions and construction w.;2007 January;127.6;6.3
1160;4291 Constructions and construction w.;2007 April;129.7;5.6
1161;4291 Constructions and construction w.;2007 July;131.1;4.5
1162;4291 Constructions and construction w.;2007 October;130.1;3.0
1163;4291 Constructions and construction w.;2008 January;132.4;3.8
1164;4291 Constructions and construction w.;2008 April;136.5;5.2
1165;4291 Constructions and construction w.;2008 July;141.4;7.8
1166;4291 Constructions and construction w.;2008 October;137.7;5.8
1167;4291 Constructions and construction w.;2009 January;132.5;0.0
1168;4291 Constructions and construction w.;2009 April;130.3;-4.6
1169;4291 Constructions and construction w.;2009 July;130.9;-7.4
1170;4291 Constructions and construction w.;2009 October;132.0;-4.2
1171;4291 Constructions and construction w.;2010 January;132.7;0.2
1172;4291 Constructions and construction w.;2010 April;136.7;4.9
1173;4291 Constructions and construction w.;2010 July;137.9;5.3
1174;4291 Constructions and construction w.;2010 October;137.9;4.5
1175;4291 Constructions and construction w.;2011 January;141.7;6.7
1176;4291 Constructions and construction w.;2011 April;145.7;6.6
1177;4291 Constructions and construction w.;2011 July;145.4;5.5
1178;4291 Constructions and construction w.;2011 October;145.8;5.8
1179;4291 Constructions and construction w.;2012 January;148.3;4.7
1180;4291 Constructions and construction w.;2012 April;150.3;3.2
1181;4291 Constructions and construction w.;2012 July;149.5;2.8
1182;4291 Constructions and construction w.;2012 October;151.4;3.9
1183;4291 Constructions and construction w.;2013 January;151.2;1.9
1184;4291 Constructions and construction w.;2013 April;150.2;-0.1
1185;4291 Constructions and construction w.;2013 July;151.2;1.1
1186;4291 Constructions and construction w.;2013 October;150.6;-0.6
1187;4291 Constructions and construction w.;2014 January;151.8;0.4
1188;4291 Constructions and construction w.;2014 April;151.3;0.7
1189;4291 Constructions and construction w.;2014 July;151.4;0.1
1190;4291 Constructions and construction w.;2014 October;150.5;-0.1
1191;4291 Constructions and construction w.;2015 January;142.8;-5.9
1192;4291 Constructions and construction w.;2015 April;144.6;-4.4
1193;4291 Constructions and construction w.;2015 July;145.2;-4.1
1194;4291 Constructions and construction w.;2015 October;142.3;-5.4
1195;4291 Constructions and construction w.;2016 January;136.8;-4.2
1196;4291 Constructions and construction w.;2016 April;139.0;-3.9
1197;4291 Constructions and construction w.;2016 July;143.8;-1.0
1198;4291 Constructions and construction w.;2016 October;144.5;1.6
1199;4291 Constructions and construction w.;2017 January;148.4;8.5
1200;4291 Constructions and construction w.;2017 April;147.4;6.1
1201;4291 Constructions and construction w.;2017 July;145.4;1.1
1202;4291 Constructions and construction w.;2017 October;147.6;2.1
1203;4291 Constructions and construction w.;2018 January;151.5;2.1
1204;4291 Constructions and construction w.;2018 April;151.3;2.6
1205;4291 Constructions and construction w.;2018 July;155.4;6.9
1206;4291 Constructions and construction w.;2018 October;159.7;8.2
1207;4291 Constructions and construction w.;2019 January;157.5;4.0
1208;4291 Constructions and construction w.;2019 April;160.2;5.8
1209;4291 Constructions and construction w.;2019 July;161.9;4.2
1210;4291 Constructions and construction w.;2019 October;161.4;1.1
1211;4291 Constructions and construction w.;2020 January;165.6;5.1
1212;4291 Constructions and construction w.;2020 April;162.2;1.3
1213;4291 Constructions and construction w.;2020 July;165.1;2.0
1214;4291 Constructions and construction w.;2020 October;164.3;1.8
1215;4291 Constructions and construction w.;2021 January;167.5;1.2
1216;4291 Constructions and construction w.;2021 April;169.8;4.7
1217;4291 Constructions and construction w.;2021 July;172.1;4.2
1218;4291 Constructions and construction w.;2021 October;174.3;6.1
1219;4291 Constructions and construction w.;2022 January;183.1;9.3
1220;4291 Constructions and construction w.;2022 April;198.5;16.9
1221;4291 Constructions and construction w.;2022 July;201.6;17.1
1222;4291 Constructions and construction w.;2022 October;200.4;15.0
1223;4291 Constructions and construction w.;2023 January;200.9;9.7
1224;4291 Constructions and construction w.;2023 April;205.5;3.5
1225;4291 Constructions and construction w.;2023 July;211.4;4.8
1226;4291 Constructions and construction w.;2023 October;216.3;7.9
1227;4291 Constructions and construction w.;2024 January;219.7;9.4
1228;4291 Constructions and construction w.;2024 February;220.4;
1229;4291 Constructions and construction w.;2024 March;221.1;
1230;4291 Constructions and construction w.;2024 April;221.2;7.7
1231;4291 Constructions and construction w.;2024 May;221.0;
1232;4291 Constructions and construction w.;2024 June;220.2;
1233;4291 Constructions and construction w.;2024 July;222.9;5.5
1234;4291 Constructions and construction w.;2024 August;222.0;
1235;4291 Constructions and construction w.;2024 September;220.1;
1236;4291 Constructions and construction w.;2024 October;221.6;2.5
1237;4291 Constructions and construction w.;2024 November;223.4;
1238;4291 Constructions and construction w.;2024 December;222.8;
1239;4291 Constructions and construction w.;2025 January;224.0;2.0
1240;4312 Site preparation works;1979 February;56.7;
1241;4312 Site preparation works;1979 August;59.5;
1242;4312 Site preparation works;1980 February;62.7;10.6
1243;4312 Site preparation works;1980 August;63.3;6.5
1244;4312 Site preparation works;1981 February;64.8;3.4
1245;4312 Site preparation works;1981 August;66.2;4.6
1246;4312 Site preparation works;1982 February;67.4;4.0
1247;4312 Site preparation works;1982 August;67.7;2.2
1248;4312 Site preparation works;1983 February;68.4;1.4
1249;4312 Site preparation works;1983 August;69.0;1.9
1250;4312 Site preparation works;1984 February;69.9;2.2
1251;4312 Site preparation works;1984 August;69.9;1.3
1252;4312 Site preparation works;1985 February;72.1;3.2
1253;4312 Site preparation works;1985 August;73.3;4.9
1254;4312 Site preparation works;1986 February;73.0;1.2
1255;4312 Site preparation works;1986 August;73.0;-0.4
1256;4312 Site preparation works;1987 February;73.1;0.2
1257;4312 Site preparation works;1987 August;73.2;0.2
1258;4312 Site preparation works;1988 February;74.2;1.5
1259;4312 Site preparation works;1988 August;74.1;1.2
1260;4312 Site preparation works;1989 February;75.6;2.0
1261;4312 Site preparation works;1989 August;77.2;4.2
1262;4312 Site preparation works;1990 February;78.9;4.3
1263;4312 Site preparation works;1990 August;79.6;3.1
1264;4312 Site preparation works;1991 February;84.5;7.0
1265;4312 Site preparation works;1991 August;84.1;5.7
1266;4312 Site preparation works;1992 February;85.2;0.8
1267;4312 Site preparation works;1992 August;86.7;3.1
1268;4312 Site preparation works;1993 February;88.9;4.4
1269;4312 Site preparation works;1993 August;88.2;1.6
1270;4312 Site preparation works;1994 February;89.0;0.1
1271;4312 Site preparation works;1994 August;89.7;1.8
1272;4312 Site preparation works;1995 February;90.1;1.3
1273;4312 Site preparation works;1995 August;91.0;1.4
1274;4312 Site preparation works;1996 February;92.0;2.1
1275;4312 Site preparation works;1996 August;92.7;1.9
1276;4312 Site preparation works;1997 February;92.9;0.9
1277;4312 Site preparation works;1997 August;93.3;0.6
1278;4312 Site preparation works;1998 January;94.9;
1279;4312 Site preparation works;1998 April;95.2;
1280;4312 Site preparation works;1998 July;95.7;
1281;4312 Site preparation works;1998 October;95.7;
1282;4312 Site preparation works;1999 January;96.1;1.3
1283;4312 Site preparation works;1999 April;96.9;1.8
1284;4312 Site preparation works;1999 July;98.0;2.4
1285;4312 Site preparation works;1999 October;98.4;2.9
1286;4312 Site preparation works;2000 January;99.0;3.1
1287;4312 Site preparation works;2000 April;99.4;2.6
1288;4312 Site preparation works;2000 July;100.6;2.7
1289;4312 Site preparation works;2000 October;100.9;2.6
1290;4312 Site preparation works;2001 January;101.6;2.6
1291;4312 Site preparation works;2001 April;103.2;3.7
1292;4312 Site preparation works;2001 July;103.5;2.9
1293;4312 Site preparation works;2001 October;105.0;4.0
1294;4312 Site preparation works;2002 January;105.6;4.0
1295;4312 Site preparation works;2002 April;106.0;2.8
1296;4312 Site preparation works;2002 July;107.2;3.6
1297;4312 Site preparation works;2002 October;108.2;3.1
1298;4312 Site preparation works;2003 January;108.5;2.8
1299;4312 Site preparation works;2003 April;109.8;3.5
1300;4312 Site preparation works;2003 July;110.4;3.0
1301;4312 Site preparation works;2003 October;109.1;0.8
1302;4312 Site preparation works;2004 January;109.6;1.0
1303;4312 Site preparation works;2004 April;110.1;0.3
1304;4312 Site preparation works;2004 July;110.9;0.4
1305;4312 Site preparation works;2004 October;111.2;1.9
1306;4312 Site preparation works;2005 January;112.5;2.6
1307;4312 Site preparation works;2005 April;113.9;3.4
1308;4312 Site preparation works;2005 July;114.5;3.2
1309;4312 Site preparation works;2005 October;117.0;5.2
1310;4312 Site preparation works;2006 January;117.5;4.4
1311;4312 Site preparation works;2006 April;118.4;4.0
1312;4312 Site preparation works;2006 July;119.7;4.5
1313;4312 Site preparation works;2006 October;119.5;2.2
1314;4312 Site preparation works;2007 January;121.7;3.6
1315;4312 Site preparation works;2007 April;121.8;2.9
1316;4312 Site preparation works;2007 July;122.5;2.3
1317;4312 Site preparation works;2007 October;122.9;2.8
1318;4312 Site preparation works;2008 January;127.2;4.5
1319;4312 Site preparation works;2008 April;128.4;5.4
1320;4312 Site preparation works;2008 July;129.4;5.7
1321;4312 Site preparation works;2008 October;130.1;5.9
1322;4312 Site preparation works;2009 January;133.1;4.6
1323;4312 Site preparation works;2009 April;133.0;3.5
1324;4312 Site preparation works;2009 July;133.3;3.0
1325;4312 Site preparation works;2009 October;133.5;2.6
1326;4312 Site preparation works;2010 January;135.4;1.7
1327;4312 Site preparation works;2010 April;136.0;2.3
1328;4312 Site preparation works;2010 July;136.0;2.0
1329;4312 Site preparation works;2010 October;136.3;2.1
1330;4312 Site preparation works;2011 January;139.5;3.1
1331;4312 Site preparation works;2011 April;142.3;4.6
1332;4312 Site preparation works;2011 July;142.1;4.5
1333;4312 Site preparation works;2011 October;142.7;4.7
1334;4312 Site preparation works;2012 January;144.4;3.5
1335;4312 Site preparation works;2012 April;145.2;2.0
1336;4312 Site preparation works;2012 July;144.6;1.8
1337;4312 Site preparation works;2012 October;145.4;1.9
1338;4312 Site preparation works;2013 January;146.2;1.3
1339;4312 Site preparation works;2013 April;144.8;-0.2
1340;4312 Site preparation works;2013 July;146.0;0.9
1341;4312 Site preparation works;2013 October;145.4;0.0
1342;4312 Site preparation works;2014 January;146.0;-0.2
1343;4312 Site preparation works;2014 April;145.6;0.5
1344;4312 Site preparation works;2014 July;146.5;0.4
1345;4312 Site preparation works;2014 October;145.6;0.1
1346;4312 Site preparation works;2015 January;140.3;-3.9
1347;4312 Site preparation works;2015 April;141.4;-2.9
1348;4312 Site preparation works;2015 July;141.8;-3.2
1349;4312 Site preparation works;2015 October;139.9;-3.9
1350;4312 Site preparation works;2016 January;136.8;-2.5
1351;4312 Site preparation works;2016 April;138.3;-2.2
1352;4312 Site preparation works;2016 July;141.2;-0.4
1353;4312 Site preparation works;2016 October;142.0;1.5
1354;4312 Site preparation works;2017 January;145.0;6.0
1355;4312 Site preparation works;2017 April;142.9;3.3
1356;4312 Site preparation works;2017 July;140.4;-0.6
1357;4312 Site preparation works;2017 October;141.3;-0.5
1358;4312 Site preparation works;2018 January;148.2;2.2
1359;4312 Site preparation works;2018 April;145.9;2.1
1360;4312 Site preparation works;2018 July;150.0;6.8
1361;4312 Site preparation works;2018 October;155.3;9.9
1362;4312 Site preparation works;2019 January;152.3;2.7
1363;4312 Site preparation works;2019 April;154.8;6.1
1364;4312 Site preparation works;2019 July;155.5;3.7
1365;4312 Site preparation works;2019 October;156.5;0.8
1366;4312 Site preparation works;2020 January;159.6;4.8
1367;4312 Site preparation works;2020 April;156.1;0.9
1368;4312 Site preparation works;2020 July;157.0;0.9
1369;4312 Site preparation works;2020 October;155.9;-0.4
1370;4312 Site preparation works;2021 January;159.6;0.0
1371;4312 Site preparation works;2021 April;160.6;2.9
1372;4312 Site preparation works;2021 July;163.6;4.3
1373;4312 Site preparation works;2021 October;167.0;7.1
1374;4312 Site preparation works;2022 January;175.6;10.0
1375;4312 Site preparation works;2022 April;190.8;18.8
1376;4312 Site preparation works;2022 July;197.2;20.5
1377;4312 Site preparation works;2022 October;200.4;20.0
1378;4312 Site preparation works;2023 January;195.0;11.1
1379;4312 Site preparation works;2023 April;194.2;1.8
1380;4312 Site preparation works;2023 July;198.6;0.7
1381;4312 Site preparation works;2023 October;205.6;2.6
1382;4312 Site preparation works;2024 January;209.4;7.4
1383;4312 Site preparation works;2024 February;211.7;
1384;4312 Site preparation works;2024 March;212.1;
1385;4312 Site preparation works;2024 April;212.2;9.3
1386;4312 Site preparation works;2024 May;209.4;
1387;4312 Site preparation works;2024 June;208.1;
1388;4312 Site preparation works;2024 July;211.3;6.4
1389;4312 Site preparation works;2024 August;208.9;
1390;4312 Site preparation works;2024 September;206.3;
1391;4312 Site preparation works;2024 October;209.9;2.1
1392;4312 Site preparation works;2024 November;211.2;
1393;4312 Site preparation works;2024 December;210.7;
1394;4312 Site preparation works;2025 January;212.4;1.4
1395;4321 Electrical installation works;1979 February;;
1396;4321 Electrical installation works;1979 August;;
1397;4321 Electrical installation works;1980 February;;
1398;4321 Electrical installation works;1980 August;;
1399;4321 Electrical installation works;1981 February;;
1400;4321 Electrical installation works;1981 August;;
1401;4321 Electrical installation works;1982 February;;
1402;4321 Electrical installation works;1982 August;;
1403;4321 Electrical installation works;1983 February;;
1404;4321 Electrical installation works;1983 August;;
1405;4321 Electrical installation works;1984 February;;
1406;4321 Electrical installation works;1984 August;;
1407;4321 Electrical installation works;1985 February;;
1408;4321 Electrical installation works;1985 August;;
1409;4321 Electrical installation works;1986 February;;
1410;4321 Electrical installation works;1986 August;;
1411;4321 Electrical installation works;1987 February;;
1412;4321 Electrical installation works;1987 August;;
1413;4321 Electrical installation works;1988 February;;
1414;4321 Electrical installation works;1988 August;;
1415;4321 Electrical installation works;1989 February;;
1416;4321 Electrical installation works;1989 August;;
1417;4321 Electrical installation works;1990 February;;
1418;4321 Electrical installation works;1990 August;;
1419;4321 Electrical installation works;1991 February;;
1420;4321 Electrical installation works;1991 August;;
1421;4321 Electrical installation works;1992 February;;
1422;4321 Electrical installation works;1992 August;;
1423;4321 Electrical installation works;1993 February;;
1424;4321 Electrical installation works;1993 August;;
1425;4321 Electrical installation works;1994 February;;
1426;4321 Electrical installation works;1994 August;;
1427;4321 Electrical installation works;1995 February;;
1428;4321 Electrical installation works;1995 August;;
1429;4321 Electrical installation works;1996 February;;
1430;4321 Electrical installation works;1996 August;;
1431;4321 Electrical installation works;1997 February;;
1432;4321 Electrical installation works;1997 August;;
1433;4321 Electrical installation works;1998 January;;
1434;4321 Electrical installation works;1998 April;;
1435;4321 Electrical installation works;1998 July;;
1436;4321 Electrical installation works;1998 October;;
1437;4321 Electrical installation works;1999 January;;
1438;4321 Electrical installation works;1999 April;;
1439;4321 Electrical installation works;1999 July;;
1440;4321 Electrical installation works;1999 October;;
1441;4321 Electrical installation works;2000 January;98.4;
1442;4321 Electrical installation works;2000 April;99.1;
1443;4321 Electrical installation works;2000 July;100.7;
1444;4321 Electrical installation works;2000 October;101.8;
1445;4321 Electrical installation works;2001 January;102.7;4.4
1446;4321 Electrical installation works;2001 April;103.4;4.3
1447;4321 Electrical installation works;2001 July;103.8;3.2
1448;4321 Electrical installation works;2001 October;103.5;1.6
1449;4321 Electrical installation works;2002 January;104.1;1.4
1450;4321 Electrical installation works;2002 April;104.6;1.2
1451;4321 Electrical installation works;2002 July;104.4;0.5
1452;4321 Electrical installation works;2002 October;104.2;0.6
1453;4321 Electrical installation works;2003 January;104.0;-0.1
1454;4321 Electrical installation works;2003 April;103.6;-0.9
1455;4321 Electrical installation works;2003 July;104.0;-0.4
1456;4321 Electrical installation works;2003 October;104.3;0.1
1457;4321 Electrical installation works;2004 January;104.4;0.3
1458;4321 Electrical installation works;2004 April;107.3;3.5
1459;4321 Electrical installation works;2004 July;107.6;3.5
1460;4321 Electrical installation works;2004 October;110.0;5.5
1461;4321 Electrical installation works;2005 January;109.6;5.0
1462;4321 Electrical installation works;2005 April;110.0;2.5
1463;4321 Electrical installation works;2005 July;110.5;2.6
1464;4321 Electrical installation works;2005 October;110.8;0.8
1465;4321 Electrical installation works;2006 January;112.3;2.4
1466;4321 Electrical installation works;2006 April;113.5;3.2
1467;4321 Electrical installation works;2006 July;115.7;4.7
1468;4321 Electrical installation works;2006 October;116.4;5.0
1469;4321 Electrical installation works;2007 January;116.9;4.1
1470;4321 Electrical installation works;2007 April;117.7;3.7
1471;4321 Electrical installation works;2007 July;119.0;2.9
1472;4321 Electrical installation works;2007 October;118.9;2.1
1473;4321 Electrical installation works;2008 January;119.5;2.2
1474;4321 Electrical installation works;2008 April;120.9;2.7
1475;4321 Electrical installation works;2008 July;123.3;3.6
1476;4321 Electrical installation works;2008 October;124.7;4.9
1477;4321 Electrical installation works;2009 January;121.8;1.9
1478;4321 Electrical installation works;2009 April;121.5;0.5
1479;4321 Electrical installation works;2009 July;121.4;-1.5
1480;4321 Electrical installation works;2009 October;121.7;-2.4
1481;4321 Electrical installation works;2010 January;122.9;0.9
1482;4321 Electrical installation works;2010 April;124.3;2.3
1483;4321 Electrical installation works;2010 July;124.6;2.6
1484;4321 Electrical installation works;2010 October;124.7;2.5
1485;4321 Electrical installation works;2011 January;127.2;3.5
1486;4321 Electrical installation works;2011 April;127.2;2.4
1487;4321 Electrical installation works;2011 July;127.5;2.3
1488;4321 Electrical installation works;2011 October;126.8;1.7
1489;4321 Electrical installation works;2012 January;128.0;0.7
1490;4321 Electrical installation works;2012 April;128.2;0.8
1491;4321 Electrical installation works;2012 July;128.7;0.9
1492;4321 Electrical installation works;2012 October;128.4;1.3
1493;4321 Electrical installation works;2013 January;128.6;0.4
1494;4321 Electrical installation works;2013 April;127.9;-0.2
1495;4321 Electrical installation works;2013 July;127.3;-1.1
1496;4321 Electrical installation works;2013 October;126.7;-1.3
1497;4321 Electrical installation works;2014 January;127.3;-1.0
1498;4321 Electrical installation works;2014 April;126.9;-0.8
1499;4321 Electrical installation works;2014 July;127.2;-0.1
1500;4321 Electrical installation works;2014 October;128.6;1.5
1501;4321 Electrical installation works;2015 January;130.1;2.2
1502;4321 Electrical installation works;2015 April;132.7;4.6
1503;4321 Electrical installation works;2015 July;132.4;4.1
1504;4321 Electrical installation works;2015 October;131.6;2.3
1505;4321 Electrical installation works;2016 January;133.1;2.3
1506;4321 Electrical installation works;2016 April;132.4;-0.2
1507;4321 Electrical installation works;2016 July;133.0;0.4
1508;4321 Electrical installation works;2016 October;133.3;1.3
1509;4321 Electrical installation works;2017 January;137.8;3.6
1510;4321 Electrical installation works;2017 April;137.4;3.8
1511;4321 Electrical installation works;2017 July;136.3;2.5
1512;4321 Electrical installation works;2017 October;136.9;2.7
1513;4321 Electrical installation works;2018 January;137.8;0.0
1514;4321 Electrical installation works;2018 April;138.8;1.0
1515;4321 Electrical installation works;2018 July;140.3;3.0
1516;4321 Electrical installation works;2018 October;141.2;3.2
1517;4321 Electrical installation works;2019 January;141.3;2.6
1518;4321 Electrical installation works;2019 April;141.6;2.0
1519;4321 Electrical installation works;2019 July;142.3;1.4
1520;4321 Electrical installation works;2019 October;142.2;0.7
1521;4321 Electrical installation works;2020 January;143.2;1.3
1522;4321 Electrical installation works;2020 April;142.1;0.4
1523;4321 Electrical installation works;2020 July;142.0;-0.2
1524;4321 Electrical installation works;2020 October;140.9;-0.9
1525;4321 Electrical installation works;2021 January;142.4;-0.6
1526;4321 Electrical installation works;2021 April;145.3;2.2
1527;4321 Electrical installation works;2021 July;150.6;6.1
1528;4321 Electrical installation works;2021 October;155.7;10.5
1529;4321 Electrical installation works;2022 January;159.6;12.1
1530;4321 Electrical installation works;2022 April;168.7;16.1
1531;4321 Electrical installation works;2022 July;172.7;14.6
1532;4321 Electrical installation works;2022 October;170.9;9.7
1533;4321 Electrical installation works;2023 January;168.5;5.5
1534;4321 Electrical installation works;2023 April;167.0;-1.0
1535;4321 Electrical installation works;2023 July;162.9;-5.7
1536;4321 Electrical installation works;2023 October;162.1;-5.1
1537;4321 Electrical installation works;2024 January;163.5;-2.9
1538;4321 Electrical installation works;2024 February;163.8;
1539;4321 Electrical installation works;2024 March;164.0;
1540;4321 Electrical installation works;2024 April;164.5;-1.5
