ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
4322;Primary schools;Public schools;2 001 to 5 001 pupils/students;2007/08;0;0
4323;Primary schools;Public schools;2 001 to 5 001 pupils/students;2008/09;0;0
4324;Primary schools;Public schools;2 001 to 5 001 pupils/students;2009/10;0;0
4325;Primary schools;Public schools;2 001 to 5 001 pupils/students;2010/11;0;0
4326;Primary schools;Public schools;2 001 to 5 001 pupils/students;2011/12;0;0
4327;Primary schools;Public schools;2 001 to 5 001 pupils/students;2012/13;0;0
4328;Primary schools;Public schools;2 001 to 5 001 pupils/students;2013/14;0;0
4329;Primary schools;Public schools;2 001 to 5 001 pupils/students;2014/15;0;0
4330;Primary schools;Public schools;2 001 to 5 001 pupils/students;2015/16;0;0
4331;Primary schools;Public schools;2 001 to 5 001 pupils/students;2016/17;0;0
4332;Primary schools;Public schools;2 001 to 5 001 pupils/students;2017/18;0;0
4333;Primary schools;Public schools;2 001 to 5 001 pupils/students;2018/19;0;0
4334;Primary schools;Public schools;2 001 to 5 001 pupils/students;2019/20;0;0
4335;Primary schools;Public schools;2 001 to 5 001 pupils/students;2020/21;0;0
4336;Primary schools;Public schools;2 001 to 5 001 pupils/students;2021/22;0;0
4337;Primary schools;Public schools;2 001 to 5 001 pupils/students;2022/23;0;0
4338;Primary schools;Public schools;2 001 to 5 001 pupils/students;2023/24;0;0
4339;Primary schools;Public schools;2 001 to 5 001 pupils/students;2024/25;0;0
4340;Primary schools;Public schools;5 001 to 10 001 pupils/students;1990/91;0;0
4341;Primary schools;Public schools;5 001 to 10 001 pupils/students;1991/92;0;0
4342;Primary schools;Public schools;5 001 to 10 001 pupils/students;1992/93;0;0
4343;Primary schools;Public schools;5 001 to 10 001 pupils/students;1993/94;0;0
4344;Primary schools;Public schools;5 001 to 10 001 pupils/students;1994/95;0;0
4345;Primary schools;Public schools;5 001 to 10 001 pupils/students;1995/96;0;0
4346;Primary schools;Public schools;5 001 to 10 001 pupils/students;1996/97;0;0
4347;Primary schools;Public schools;5 001 to 10 001 pupils/students;1997/98;0;0
4348;Primary schools;Public schools;5 001 to 10 001 pupils/students;1998/99;0;0
4349;Primary schools;Public schools;5 001 to 10 001 pupils/students;1999/00;0;0
4350;Primary schools;Public schools;5 001 to 10 001 pupils/students;2000/01;0;0
4351;Primary schools;Public schools;5 001 to 10 001 pupils/students;2001/02;0;0
4352;Primary schools;Public schools;5 001 to 10 001 pupils/students;2002/03;0;0
4353;Primary schools;Public schools;5 001 to 10 001 pupils/students;2003/04;0;0
4354;Primary schools;Public schools;5 001 to 10 001 pupils/students;2004/05;0;0
4355;Primary schools;Public schools;5 001 to 10 001 pupils/students;2005/06;0;0
4356;Primary schools;Public schools;5 001 to 10 001 pupils/students;2006/07;0;0
4357;Primary schools;Public schools;5 001 to 10 001 pupils/students;2007/08;0;0
4358;Primary schools;Public schools;5 001 to 10 001 pupils/students;2008/09;0;0
4359;Primary schools;Public schools;5 001 to 10 001 pupils/students;2009/10;0;0
4360;Primary schools;Public schools;5 001 to 10 001 pupils/students;2010/11;0;0
4361;Primary schools;Public schools;5 001 to 10 001 pupils/students;2011/12;0;0
4362;Primary schools;Public schools;5 001 to 10 001 pupils/students;2012/13;0;0
4363;Primary schools;Public schools;5 001 to 10 001 pupils/students;2013/14;0;0
4364;Primary schools;Public schools;5 001 to 10 001 pupils/students;2014/15;0;0
4365;Primary schools;Public schools;5 001 to 10 001 pupils/students;2015/16;0;0
4366;Primary schools;Public schools;5 001 to 10 001 pupils/students;2016/17;0;0
4367;Primary schools;Public schools;5 001 to 10 001 pupils/students;2017/18;0;0
4368;Primary schools;Public schools;5 001 to 10 001 pupils/students;2018/19;0;0
4369;Primary schools;Public schools;5 001 to 10 001 pupils/students;2019/20;0;0
4370;Primary schools;Public schools;5 001 to 10 001 pupils/students;2020/21;0;0
4371;Primary schools;Public schools;5 001 to 10 001 pupils/students;2021/22;0;0
4372;Primary schools;Public schools;5 001 to 10 001 pupils/students;2022/23;0;0
4373;Primary schools;Public schools;5 001 to 10 001 pupils/students;2023/24;0;0
4374;Primary schools;Public schools;5 001 to 10 001 pupils/students;2024/25;0;0
4375;Primary schools;Public schools;More than 10 000 pupils/students;1990/91;0;0
4376;Primary schools;Public schools;More than 10 000 pupils/students;1991/92;0;0
4377;Primary schools;Public schools;More than 10 000 pupils/students;1992/93;0;0
4378;Primary schools;Public schools;More than 10 000 pupils/students;1993/94;0;0
4379;Primary schools;Public schools;More than 10 000 pupils/students;1994/95;0;0
4380;Primary schools;Public schools;More than 10 000 pupils/students;1995/96;0;0
4381;Primary schools;Public schools;More than 10 000 pupils/students;1996/97;0;0
4382;Primary schools;Public schools;More than 10 000 pupils/students;1997/98;0;0
4383;Primary schools;Public schools;More than 10 000 pupils/students;1998/99;0;0
4384;Primary schools;Public schools;More than 10 000 pupils/students;1999/00;0;0
4385;Primary schools;Public schools;More than 10 000 pupils/students;2000/01;0;0
4386;Primary schools;Public schools;More than 10 000 pupils/students;2001/02;0;0
4387;Primary schools;Public schools;More than 10 000 pupils/students;2002/03;0;0
4388;Primary schools;Public schools;More than 10 000 pupils/students;2003/04;0;0
4389;Primary schools;Public schools;More than 10 000 pupils/students;2004/05;0;0
4390;Primary schools;Public schools;More than 10 000 pupils/students;2005/06;0;0
4391;Primary schools;Public schools;More than 10 000 pupils/students;2006/07;0;0
4392;Primary schools;Public schools;More than 10 000 pupils/students;2007/08;0;0
4393;Primary schools;Public schools;More than 10 000 pupils/students;2008/09;0;0
4394;Primary schools;Public schools;More than 10 000 pupils/students;2009/10;0;0
4395;Primary schools;Public schools;More than 10 000 pupils/students;2010/11;0;0
4396;Primary schools;Public schools;More than 10 000 pupils/students;2011/12;0;0
4397;Primary schools;Public schools;More than 10 000 pupils/students;2012/13;0;0
4398;Primary schools;Public schools;More than 10 000 pupils/students;2013/14;0;0
4399;Primary schools;Public schools;More than 10 000 pupils/students;2014/15;0;0
4400;Primary schools;Public schools;More than 10 000 pupils/students;2015/16;0;0
4401;Primary schools;Public schools;More than 10 000 pupils/students;2016/17;0;0
4402;Primary schools;Public schools;More than 10 000 pupils/students;2017/18;0;0
4403;Primary schools;Public schools;More than 10 000 pupils/students;2018/19;0;0
4404;Primary schools;Public schools;More than 10 000 pupils/students;2019/20;0;0
4405;Primary schools;Public schools;More than 10 000 pupils/students;2020/21;0;0
4406;Primary schools;Public schools;More than 10 000 pupils/students;2021/22;0;0
4407;Primary schools;Public schools;More than 10 000 pupils/students;2022/23;0;0
4408;Primary schools;Public schools;More than 10 000 pupils/students;2023/24;0;0
4409;Primary schools;Public schools;More than 10 000 pupils/students;2024/25;0;0
4410;Primary schools;Special schools;Total;1990/91;5489;991190
4411;Primary schools;Special schools;Total;1991/92;5472;965978
4412;Primary schools;Special schools;Total;1992/93;5416;969096
4413;Primary schools;Special schools;Total;1993/94;5318;975730
4414;Primary schools;Special schools;Total;1994/95;5174;991360
4415;Primary schools;Special schools;Total;1995/96;4926;1007917
4416;Primary schools;Special schools;Total;1996/97;4829;1023048
4417;Primary schools;Special schools;Total;1997/98;4770;1036289
4418;Primary schools;Special schools;Total;1998/99;4752;1046232
4419;Primary schools;Special schools;Total;1999/00;4747;1052219
4420;Primary schools;Special schools;Total;2000/01;4728;1054631
4421;Primary schools;Special schools;Total;2001/02;4711;1059796
4422;Primary schools;Special schools;Total;2002/03;4715;1061667
4423;Primary schools;Special schools;Total;2003/04;4689;1064291
4424;Primary schools;Special schools;Total;2004/05;4669;1068761
4425;Primary schools;Special schools;Total;2005/06;4665;1072124
4426;Primary schools;Special schools;Total;2006/07;4650;1073632
4427;Primary schools;Special schools;Total;2007/08;4636;1076865
4428;Primary schools;Special schools;Total;2008/09;4644;1078689
4429;Primary schools;Special schools;Total;2009/10;4637;1074510
4430;Primary schools;Special schools;Total;2010/11;4603;1064846
4431;Primary schools;Special schools;Total;2011/12;4584;1052642
4432;Primary schools;Special schools;Total;2012/13;4544;1040349
4433;Primary schools;Special schools;Total;2013/14;4491;1027741
4434;Primary schools;Special schools;Total;2014/15;4436;1015593
4435;Primary schools;Special schools;Total;2015/16;4369;1005975
4436;Primary schools;Special schools;Total;2016/17;4324;996486
4437;Primary schools;Special schools;Total;2017/18;4274;988584
4438;Primary schools;Special schools;Total;2018/19;4232;982739
4439;Primary schools;Special schools;Total;2019/20;4222;976854
4440;Primary schools;Special schools;Total;2020/21;4209;971229
4441;Primary schools;Special schools;Total;2021/22;4182;961964
4442;Primary schools;Special schools;Total;2022/23;4169;960043
4443;Primary schools;Special schools;Total;2023/24;4163;953609
4444;Primary schools;Special schools;Total;2024/25;4149;951843
4445;Primary schools;Special schools;Less than 101 pupils/students;1990/91;1079;74263
4446;Primary schools;Special schools;Less than 101 pupils/students;1991/92;1124;76659
4447;Primary schools;Special schools;Less than 101 pupils/students;1992/93;1115;77748
4448;Primary schools;Special schools;Less than 101 pupils/students;1993/94;1060;72763
4449;Primary schools;Special schools;Less than 101 pupils/students;1994/95;946;64799
4450;Primary schools;Special schools;Less than 101 pupils/students;1995/96;812;54754
4451;Primary schools;Special schools;Less than 101 pupils/students;1996/97;750;51096
4452;Primary schools;Special schools;Less than 101 pupils/students;1997/98;696;47565
4453;Primary schools;Special schools;Less than 101 pupils/students;1998/99;686;46979
4454;Primary schools;Special schools;Less than 101 pupils/students;1999/00;698;47771
4455;Primary schools;Special schools;Less than 101 pupils/students;2000/01;688;48046
4456;Primary schools;Special schools;Less than 101 pupils/students;2001/02;661;45739
4457;Primary schools;Special schools;Less than 101 pupils/students;2002/03;682;46295
4458;Primary schools;Special schools;Less than 101 pupils/students;2003/04;656;45157
4459;Primary schools;Special schools;Less than 101 pupils/students;2004/05;646;44366
4460;Primary schools;Special schools;Less than 101 pupils/students;2005/06;647;44595
4461;Primary schools;Special schools;Less than 101 pupils/students;2006/07;650;45090
4462;Primary schools;Special schools;Less than 101 pupils/students;2007/08;645;44341
4463;Primary schools;Special schools;Less than 101 pupils/students;2008/09;676;46008
4464;Primary schools;Special schools;Less than 101 pupils/students;2009/10;711;48928
4465;Primary schools;Special schools;Less than 101 pupils/students;2010/11;725;50836
4466;Primary schools;Special schools;Less than 101 pupils/students;2011/12;735;50990
4467;Primary schools;Special schools;Less than 101 pupils/students;2012/13;719;50361
4468;Primary schools;Special schools;Less than 101 pupils/students;2013/14;720;50526
4469;Primary schools;Special schools;Less than 101 pupils/students;2014/15;703;49603
4470;Primary schools;Special schools;Less than 101 pupils/students;2015/16;683;48335
4471;Primary schools;Special schools;Less than 101 pupils/students;2016/17;673;47471
4472;Primary schools;Special schools;Less than 101 pupils/students;2017/18;658;46775
4473;Primary schools;Special schools;Less than 101 pupils/students;2018/19;644;45865
4474;Primary schools;Special schools;Less than 101 pupils/students;2019/20;650;46103
4475;Primary schools;Special schools;Less than 101 pupils/students;2020/21;647;45794
4476;Primary schools;Special schools;Less than 101 pupils/students;2021/22;632;44798
4477;Primary schools;Special schools;Less than 101 pupils/students;2022/23;634;44195
4478;Primary schools;Special schools;Less than 101 pupils/students;2023/24;621;43426
4479;Primary schools;Special schools;Less than 101 pupils/students;2024/25;615;43626
4480;Primary schools;Special schools;101 to 201 pupils/students;1990/91;2427;364329
4481;Primary schools;Special schools;101 to 201 pupils/students;1991/92;2464;368671
4482;Primary schools;Special schools;101 to 201 pupils/students;1992/93;2386;359068
4483;Primary schools;Special schools;101 to 201 pupils/students;1993/94;2208;332740
4484;Primary schools;Special schools;101 to 201 pupils/students;1994/95;2039;309542
4485;Primary schools;Special schools;101 to 201 pupils/students;1995/96;1713;263280
4486;Primary schools;Special schools;101 to 201 pupils/students;1996/97;1590;244489
4487;Primary schools;Special schools;101 to 201 pupils/students;1997/98;1554;239807
4488;Primary schools;Special schools;101 to 201 pupils/students;1998/99;1518;234471
4489;Primary schools;Special schools;101 to 201 pupils/students;1999/00;1488;229501
4490;Primary schools;Special schools;101 to 201 pupils/students;2000/01;1479;228436
4491;Primary schools;Special schools;101 to 201 pupils/students;2001/02;1493;230203
4492;Primary schools;Special schools;101 to 201 pupils/students;2002/03;1480;227846
4493;Primary schools;Special schools;101 to 201 pupils/students;2003/04;1488;228708
4494;Primary schools;Special schools;101 to 201 pupils/students;2004/05;1465;224556
4495;Primary schools;Special schools;101 to 201 pupils/students;2005/06;1453;222535
4496;Primary schools;Special schools;101 to 201 pupils/students;2006/07;1452;223116
4497;Primary schools;Special schools;101 to 201 pupils/students;2007/08;1444;221046
4498;Primary schools;Special schools;101 to 201 pupils/students;2008/09;1432;219812
4499;Primary schools;Special schools;101 to 201 pupils/students;2009/10;1425;219488
4500;Primary schools;Special schools;101 to 201 pupils/students;2010/11;1434;221869
4501;Primary schools;Special schools;101 to 201 pupils/students;2011/12;1455;224874
4502;Primary schools;Special schools;101 to 201 pupils/students;2012/13;1478;227840
4503;Primary schools;Special schools;101 to 201 pupils/students;2013/14;1466;226293
4504;Primary schools;Special schools;101 to 201 pupils/students;2014/15;1448;221305
4505;Primary schools;Special schools;101 to 201 pupils/students;2015/16;1411;215658
4506;Primary schools;Special schools;101 to 201 pupils/students;2016/17;1396;213428
4507;Primary schools;Special schools;101 to 201 pupils/students;2017/18;1407;215641
4508;Primary schools;Special schools;101 to 201 pupils/students;2018/19;1382;211940
4509;Primary schools;Special schools;101 to 201 pupils/students;2019/20;1363;208095
4510;Primary schools;Special schools;101 to 201 pupils/students;2020/21;1365;208215
4511;Primary schools;Special schools;101 to 201 pupils/students;2021/22;1378;210287
4512;Primary schools;Special schools;101 to 201 pupils/students;2022/23;1363;208711
4513;Primary schools;Special schools;101 to 201 pupils/students;2023/24;1370;209400
4514;Primary schools;Special schools;101 to 201 pupils/students;2024/25;1377;212014
4515;Primary schools;Special schools;201 to 501 pupils/students;1990/91;1944;530477
4516;Primary schools;Special schools;201 to 501 pupils/students;1991/92;1854;503517
4517;Primary schools;Special schools;201 to 501 pupils/students;1992/93;1881;512892
4518;Primary schools;Special schools;201 to 501 pupils/students;1993/94;2011;548280
4519;Primary schools;Special schools;201 to 501 pupils/students;1994/95;2138;588255
4520;Primary schools;Special schools;201 to 501 pupils/students;1995/96;2338;653642
4521;Primary schools;Special schools;201 to 501 pupils/students;1996/97;2413;683557
4522;Primary schools;Special schools;201 to 501 pupils/students;1997/98;2423;692867
4523;Primary schools;Special schools;201 to 501 pupils/students;1998/99;2433;698425
4524;Primary schools;Special schools;201 to 501 pupils/students;1999/00;2437;702133
4525;Primary schools;Special schools;201 to 501 pupils/students;2000/01;2442;707046
4526;Primary schools;Special schools;201 to 501 pupils/students;2001/02;2423;704035
4527;Primary schools;Special schools;201 to 501 pupils/students;2002/03;2418;706465
4528;Primary schools;Special schools;201 to 501 pupils/students;2003/04;2403;704689
4529;Primary schools;Special schools;201 to 501 pupils/students;2004/05;2408;708515
4530;Primary schools;Special schools;201 to 501 pupils/students;2005/06;2410;709884
4531;Primary schools;Special schools;201 to 501 pupils/students;2006/07;2376;700339
4532;Primary schools;Special schools;201 to 501 pupils/students;2007/08;2356;693821
4533;Primary schools;Special schools;201 to 501 pupils/students;2008/09;2338;689650
4534;Primary schools;Special schools;201 to 501 pupils/students;2009/10;2300;680088
4535;Primary schools;Special schools;201 to 501 pupils/students;2010/11;2232;659402
4536;Primary schools;Special schools;201 to 501 pupils/students;2011/12;2175;640222
4537;Primary schools;Special schools;201 to 501 pupils/students;2012/13;2137;630471
4538;Primary schools;Special schools;201 to 501 pupils/students;2013/14;2101;623118
4539;Primary schools;Special schools;201 to 501 pupils/students;2014/15;2076;614306
4540;Primary schools;Special schools;201 to 501 pupils/students;2015/16;2077;617281
4541;Primary schools;Special schools;201 to 501 pupils/students;2016/17;2055;609752
4542;Primary schools;Special schools;201 to 501 pupils/students;2017/18;2014;602569
4543;Primary schools;Special schools;201 to 501 pupils/students;2018/19;2019;605492
4544;Primary schools;Special schools;201 to 501 pupils/students;2019/20;2029;607949
4545;Primary schools;Special schools;201 to 501 pupils/students;2020/21;2023;606347
4546;Primary schools;Special schools;201 to 501 pupils/students;2021/22;2008;602247
4547;Primary schools;Special schools;201 to 501 pupils/students;2022/23;2006;600993
4548;Primary schools;Special schools;201 to 501 pupils/students;2023/24;2018;603602
4549;Primary schools;Special schools;201 to 501 pupils/students;2024/25;2002;599082
4550;Primary schools;Special schools;501 to 1 001 pupils/students;1990/91;39;22121
4551;Primary schools;Special schools;501 to 1 001 pupils/students;1991/92;30;17131
4552;Primary schools;Special schools;501 to 1 001 pupils/students;1992/93;34;19388
4553;Primary schools;Special schools;501 to 1 001 pupils/students;1993/94;39;21947
4554;Primary schools;Special schools;501 to 1 001 pupils/students;1994/95;51;28764
4555;Primary schools;Special schools;501 to 1 001 pupils/students;1995/96;63;36241
4556;Primary schools;Special schools;501 to 1 001 pupils/students;1996/97;76;43906
4557;Primary schools;Special schools;501 to 1 001 pupils/students;1997/98;97;56050
4558;Primary schools;Special schools;501 to 1 001 pupils/students;1998/99;115;66357
4559;Primary schools;Special schools;501 to 1 001 pupils/students;1999/00;124;72814
4560;Primary schools;Special schools;501 to 1 001 pupils/students;2000/01;118;70079
4561;Primary schools;Special schools;501 to 1 001 pupils/students;2001/02;133;78729
4562;Primary schools;Special schools;501 to 1 001 pupils/students;2002/03;134;79931
4563;Primary schools;Special schools;501 to 1 001 pupils/students;2003/04;141;84565
4564;Primary schools;Special schools;501 to 1 001 pupils/students;2004/05;149;90158
4565;Primary schools;Special schools;501 to 1 001 pupils/students;2005/06;154;93921
4566;Primary schools;Special schools;501 to 1 001 pupils/students;2006/07;171;103879
4567;Primary schools;Special schools;501 to 1 001 pupils/students;2007/08;189;115460
4568;Primary schools;Special schools;501 to 1 001 pupils/students;2008/09;196;121002
4569;Primary schools;Special schools;501 to 1 001 pupils/students;2009/10;197;121787
4570;Primary schools;Special schools;501 to 1 001 pupils/students;2010/11;209;129515
4571;Primary schools;Special schools;501 to 1 001 pupils/students;2011/12;216;133417
4572;Primary schools;Special schools;501 to 1 001 pupils/students;2012/13;207;128493
4573;Primary schools;Special schools;501 to 1 001 pupils/students;2013/14;200;123421
4574;Primary schools;Special schools;501 to 1 001 pupils/students;2014/15;204;124700
4575;Primary schools;Special schools;501 to 1 001 pupils/students;2015/16;193;118837
4576;Primary schools;Special schools;501 to 1 001 pupils/students;2016/17;196;120761
4577;Primary schools;Special schools;501 to 1 001 pupils/students;2017/18;191;118309
4578;Primary schools;Special schools;501 to 1 001 pupils/students;2018/19;183;114038
4579;Primary schools;Special schools;501 to 1 001 pupils/students;2019/20;176;109244
4580;Primary schools;Special schools;501 to 1 001 pupils/students;2020/21;171;106507
4581;Primary schools;Special schools;501 to 1 001 pupils/students;2021/22;161;100337
4582;Primary schools;Special schools;501 to 1 001 pupils/students;2022/23;163;101776
4583;Primary schools;Special schools;501 to 1 001 pupils/students;2023/24;152;94055
4584;Primary schools;Special schools;501 to 1 001 pupils/students;2024/25;151;92007
4585;Primary schools;Special schools;1 001 to 2 001 pupils/students;1990/91;0;0
4586;Primary schools;Special schools;1 001 to 2 001 pupils/students;1991/92;0;0
4587;Primary schools;Special schools;1 001 to 2 001 pupils/students;1992/93;0;0
4588;Primary schools;Special schools;1 001 to 2 001 pupils/students;1993/94;0;0
4589;Primary schools;Special schools;1 001 to 2 001 pupils/students;1994/95;0;0
4590;Primary schools;Special schools;1 001 to 2 001 pupils/students;1995/96;0;0
4591;Primary schools;Special schools;1 001 to 2 001 pupils/students;1996/97;0;0
4592;Primary schools;Special schools;1 001 to 2 001 pupils/students;1997/98;0;0
4593;Primary schools;Special schools;1 001 to 2 001 pupils/students;1998/99;0;0
4594;Primary schools;Special schools;1 001 to 2 001 pupils/students;1999/00;0;0
4595;Primary schools;Special schools;1 001 to 2 001 pupils/students;2000/01;1;1024
4596;Primary schools;Special schools;1 001 to 2 001 pupils/students;2001/02;1;1090
4597;Primary schools;Special schools;1 001 to 2 001 pupils/students;2002/03;1;1130
4598;Primary schools;Special schools;1 001 to 2 001 pupils/students;2003/04;1;1172
4599;Primary schools;Special schools;1 001 to 2 001 pupils/students;2004/05;1;1166
4600;Primary schools;Special schools;1 001 to 2 001 pupils/students;2005/06;1;1189
4601;Primary schools;Special schools;1 001 to 2 001 pupils/students;2006/07;1;1208
4602;Primary schools;Special schools;1 001 to 2 001 pupils/students;2007/08;2;2197
4603;Primary schools;Special schools;1 001 to 2 001 pupils/students;2008/09;2;2217
4604;Primary schools;Special schools;1 001 to 2 001 pupils/students;2009/10;4;4219
4605;Primary schools;Special schools;1 001 to 2 001 pupils/students;2010/11;3;3224
4606;Primary schools;Special schools;1 001 to 2 001 pupils/students;2011/12;3;3139
4607;Primary schools;Special schools;1 001 to 2 001 pupils/students;2012/13;3;3184
4608;Primary schools;Special schools;1 001 to 2 001 pupils/students;2013/14;4;4383
4609;Primary schools;Special schools;1 001 to 2 001 pupils/students;2014/15;5;5679
4610;Primary schools;Special schools;1 001 to 2 001 pupils/students;2015/16;5;5864
4611;Primary schools;Special schools;1 001 to 2 001 pupils/students;2016/17;4;5074
4612;Primary schools;Special schools;1 001 to 2 001 pupils/students;2017/18;4;5290
4613;Primary schools;Special schools;1 001 to 2 001 pupils/students;2018/19;4;5404
4614;Primary schools;Special schools;1 001 to 2 001 pupils/students;2019/20;4;5463
4615;Primary schools;Special schools;1 001 to 2 001 pupils/students;2020/21;3;4366
4616;Primary schools;Special schools;1 001 to 2 001 pupils/students;2021/22;3;4295
4617;Primary schools;Special schools;1 001 to 2 001 pupils/students;2022/23;3;4368
4618;Primary schools;Special schools;1 001 to 2 001 pupils/students;2023/24;2;3126
4619;Primary schools;Special schools;1 001 to 2 001 pupils/students;2024/25;4;5114
4620;Primary schools;Special schools;2 001 to 5 001 pupils/students;1990/91;0;0
4621;Primary schools;Special schools;2 001 to 5 001 pupils/students;1991/92;0;0
4622;Primary schools;Special schools;2 001 to 5 001 pupils/students;1992/93;0;0
4623;Primary schools;Special schools;2 001 to 5 001 pupils/students;1993/94;0;0
4624;Primary schools;Special schools;2 001 to 5 001 pupils/students;1994/95;0;0
4625;Primary schools;Special schools;2 001 to 5 001 pupils/students;1995/96;0;0
4626;Primary schools;Special schools;2 001 to 5 001 pupils/students;1996/97;0;0
4627;Primary schools;Special schools;2 001 to 5 001 pupils/students;1997/98;0;0
4628;Primary schools;Special schools;2 001 to 5 001 pupils/students;1998/99;0;0
4629;Primary schools;Special schools;2 001 to 5 001 pupils/students;1999/00;0;0
4630;Primary schools;Special schools;2 001 to 5 001 pupils/students;2000/01;0;0
4631;Primary schools;Special schools;2 001 to 5 001 pupils/students;2001/02;0;0
4632;Primary schools;Special schools;2 001 to 5 001 pupils/students;2002/03;0;0
4633;Primary schools;Special schools;2 001 to 5 001 pupils/students;2003/04;0;0
4634;Primary schools;Special schools;2 001 to 5 001 pupils/students;2004/05;0;0
4635;Primary schools;Special schools;2 001 to 5 001 pupils/students;2005/06;0;0
4636;Primary schools;Special schools;2 001 to 5 001 pupils/students;2006/07;0;0
4637;Primary schools;Special schools;2 001 to 5 001 pupils/students;2007/08;0;0
4638;Primary schools;Special schools;2 001 to 5 001 pupils/students;2008/09;0;0
4639;Primary schools;Special schools;2 001 to 5 001 pupils/students;2009/10;0;0
4640;Primary schools;Special schools;2 001 to 5 001 pupils/students;2010/11;0;0
4641;Primary schools;Special schools;2 001 to 5 001 pupils/students;2011/12;0;0
4642;Primary schools;Special schools;2 001 to 5 001 pupils/students;2012/13;0;0
4643;Primary schools;Special schools;2 001 to 5 001 pupils/students;2013/14;0;0
4644;Primary schools;Special schools;2 001 to 5 001 pupils/students;2014/15;0;0
4645;Primary schools;Special schools;2 001 to 5 001 pupils/students;2015/16;0;0
4646;Primary schools;Special schools;2 001 to 5 001 pupils/students;2016/17;0;0
4647;Primary schools;Special schools;2 001 to 5 001 pupils/students;2017/18;0;0
4648;Primary schools;Special schools;2 001 to 5 001 pupils/students;2018/19;0;0
4649;Primary schools;Special schools;2 001 to 5 001 pupils/students;2019/20;0;0
4650;Primary schools;Special schools;2 001 to 5 001 pupils/students;2020/21;0;0
4651;Primary schools;Special schools;2 001 to 5 001 pupils/students;2021/22;0;0
4652;Primary schools;Special schools;2 001 to 5 001 pupils/students;2022/23;0;0
4653;Primary schools;Special schools;2 001 to 5 001 pupils/students;2023/24;0;0
4654;Primary schools;Special schools;2 001 to 5 001 pupils/students;2024/25;0;0
4655;Primary schools;Special schools;5 001 to 10 001 pupils/students;1990/91;0;0
4656;Primary schools;Special schools;5 001 to 10 001 pupils/students;1991/92;0;0
4657;Primary schools;Special schools;5 001 to 10 001 pupils/students;1992/93;0;0
4658;Primary schools;Special schools;5 001 to 10 001 pupils/students;1993/94;0;0
4659;Primary schools;Special schools;5 001 to 10 001 pupils/students;1994/95;0;0
4660;Primary schools;Special schools;5 001 to 10 001 pupils/students;1995/96;0;0
4661;Primary schools;Special schools;5 001 to 10 001 pupils/students;1996/97;0;0
4662;Primary schools;Special schools;5 001 to 10 001 pupils/students;1997/98;0;0
4663;Primary schools;Special schools;5 001 to 10 001 pupils/students;1998/99;0;0
4664;Primary schools;Special schools;5 001 to 10 001 pupils/students;1999/00;0;0
4665;Primary schools;Special schools;5 001 to 10 001 pupils/students;2000/01;0;0
4666;Primary schools;Special schools;5 001 to 10 001 pupils/students;2001/02;0;0
4667;Primary schools;Special schools;5 001 to 10 001 pupils/students;2002/03;0;0
4668;Primary schools;Special schools;5 001 to 10 001 pupils/students;2003/04;0;0
4669;Primary schools;Special schools;5 001 to 10 001 pupils/students;2004/05;0;0
4670;Primary schools;Special schools;5 001 to 10 001 pupils/students;2005/06;0;0
4671;Primary schools;Special schools;5 001 to 10 001 pupils/students;2006/07;0;0
4672;Primary schools;Special schools;5 001 to 10 001 pupils/students;2007/08;0;0
4673;Primary schools;Special schools;5 001 to 10 001 pupils/students;2008/09;0;0
4674;Primary schools;Special schools;5 001 to 10 001 pupils/students;2009/10;0;0
4675;Primary schools;Special schools;5 001 to 10 001 pupils/students;2010/11;0;0
4676;Primary schools;Special schools;5 001 to 10 001 pupils/students;2011/12;0;0
4677;Primary schools;Special schools;5 001 to 10 001 pupils/students;2012/13;0;0
4678;Primary schools;Special schools;5 001 to 10 001 pupils/students;2013/14;0;0
4679;Primary schools;Special schools;5 001 to 10 001 pupils/students;2014/15;0;0
4680;Primary schools;Special schools;5 001 to 10 001 pupils/students;2015/16;0;0
4681;Primary schools;Special schools;5 001 to 10 001 pupils/students;2016/17;0;0
4682;Primary schools;Special schools;5 001 to 10 001 pupils/students;2017/18;0;0
4683;Primary schools;Special schools;5 001 to 10 001 pupils/students;2018/19;0;0
4684;Primary schools;Special schools;5 001 to 10 001 pupils/students;2019/20;0;0
4685;Primary schools;Special schools;5 001 to 10 001 pupils/students;2020/21;0;0
4686;Primary schools;Special schools;5 001 to 10 001 pupils/students;2021/22;0;0
4687;Primary schools;Special schools;5 001 to 10 001 pupils/students;2022/23;0;0
4688;Primary schools;Special schools;5 001 to 10 001 pupils/students;2023/24;0;0
4689;Primary schools;Special schools;5 001 to 10 001 pupils/students;2024/25;0;0
4690;Primary schools;Special schools;More than 10 000 pupils/students;1990/91;0;0
4691;Primary schools;Special schools;More than 10 000 pupils/students;1991/92;0;0
4692;Primary schools;Special schools;More than 10 000 pupils/students;1992/93;0;0
4693;Primary schools;Special schools;More than 10 000 pupils/students;1993/94;0;0
4694;Primary schools;Special schools;More than 10 000 pupils/students;1994/95;0;0
4695;Primary schools;Special schools;More than 10 000 pupils/students;1995/96;0;0
4696;Primary schools;Special schools;More than 10 000 pupils/students;1996/97;0;0
4697;Primary schools;Special schools;More than 10 000 pupils/students;1997/98;0;0
