ID;Sex;CharacteristicHouseholdsPersons;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;NotInTheLabourForce_7;AvailableToWorkButNotSeeking_8;SeekingWorkButNotAvailable_9;NotSeekingWorkNotAvailable_10;WantToWork_11;DoesnTWantToOrCanTWork_12;BecauseOfFamilyHouseholdCare_13;BecauseOfEducation_14;BecauseOfRetirementOldAge_15;BecauseOfIllnessDisability_16;BecauseOfOtherReason_17
414;Male;Age: 35 to 44 years;Bonaire;2012;1420;1230;190;1040;190;70;120;90;0;30;0;30;0;0;0;0;30
415;Male;Age: 35 to 44 years;Bonaire;2014;1450;1390;330;1060;60;10;40;0;30;20;0;20;0;0;0;20;0
416;Male;Age: 35 to 44 years;Bonaire;2016;1400;1210;110;1100;180;110;70;40;0;30;0;30;0;0;0;0;30
417;Male;Age: 35 to 44 years;Bonaire;2018;1550;1430;200;1230;120;10;110;10;0;100;0;100;0;10;0;40;40
418;Male;Age: 35 to 44 years;Bonaire;2020;1680;1520;220;1300;170;70;100;20;0;80;10;70;20;0;0;20;40
419;Male;Age: 35 to 44 years;Bonaire;2022;1790;1650;230;1420;140;70;70;0;0;70;20;50;0;20;0;0;20
420;Male;Age: 35 to 44 years;St. Eustatius;2012;370;360;50;310;10;0;10;10;0;0;0;0;0;0;0;0;0
421;Male;Age: 35 to 44 years;St. Eustatius;2014;370;340;40;300;30;0;30;30;0;0;0;0;0;0;0;0;0
422;Male;Age: 35 to 44 years;St. Eustatius;2016;260;230;20;210;20;0;20;20;0;0;0;0;0;0;0;0;0
423;Male;Age: 35 to 44 years;St. Eustatius;2018;260;240;40;210;20;10;10;10;0;0;0;0;0;0;0;0;0
424;Male;Age: 35 to 44 years;St. Eustatius;2020;230;210;10;200;30;0;30;30;0;0;0;0;0;0;0;0;0
425;Male;Age: 35 to 44 years;St. Eustatius;2022;270;240;0;240;30;10;10;0;0;10;0;10;0;0;0;10;10
426;Male;Age: 35 to 44 years;Saba;2012;130;110;40;80;10;0;10;0;0;10;0;10;0;10;0;0;0
427;Male;Age: 35 to 44 years;Saba;2014;100;100;30;80;0;0;0;0;0;0;0;0;0;0;0;0;0
428;Male;Age: 35 to 44 years;Saba;2016;140;130;10;120;10;0;10;0;0;0;0;0;0;0;0;0;0
429;Male;Age: 35 to 44 years;Saba;2018;130;120;10;110;20;0;20;0;0;10;0;10;0;10;0;0;0
430;Male;Age: 35 to 44 years;Saba;2020;120;120;20;100;10;0;10;0;0;10;0;10;0;0;0;0;0
431;Male;Age: 35 to 44 years;Saba;2022;130;110;10;90;20;10;10;0;0;10;0;10;0;0;0;0;10
432;Male;Age: 45 to 54 years;Caribbean Netherlands;2012;2180;1930;480;1460;240;90;150;90;0;60;0;60;0;10;0;30;30
433;Male;Age: 45 to 54 years;Caribbean Netherlands;2014;2380;2070;520;1550;310;170;140;90;0;60;10;50;0;0;10;20;20
434;Male;Age: 45 to 54 years;Caribbean Netherlands;2016;2220;1950;240;1710;270;80;200;30;0;160;40;130;0;0;20;80;30
435;Male;Age: 45 to 54 years;Caribbean Netherlands;2018;2200;1950;250;1700;240;90;160;60;0;100;20;80;0;0;10;80;0
436;Male;Age: 45 to 54 years;Caribbean Netherlands;2020;2050;1820;310;1510;230;20;210;70;60;80;0;80;0;0;0;20;60
437;Male;Age: 45 to 54 years;Caribbean Netherlands;2022;2040;1820;160;1660;220;60;160;40;0;120;40;90;0;0;20;40;30
438;Male;Age: 45 to 54 years;Bonaire;2012;1640;1450;390;1050;200;80;120;90;0;30;0;30;0;0;0;10;20
439;Male;Age: 45 to 54 years;Bonaire;2014;1800;1600;420;1180;210;110;100;60;0;40;0;40;0;0;0;20;20
440;Male;Age: 45 to 54 years;Bonaire;2016;1800;1610;170;1430;200;70;130;20;0;110;30;80;0;0;0;60;30
441;Male;Age: 45 to 54 years;Bonaire;2018;1720;1520;190;1320;200;80;120;40;0;90;20;70;0;0;0;70;0
442;Male;Age: 45 to 54 years;Bonaire;2020;1640;1450;290;1160;190;20;170;50;60;60;0;60;0;0;0;20;50
443;Male;Age: 45 to 54 years;Bonaire;2022;1660;1460;130;1330;200;50;150;40;0;110;40;80;0;0;10;40;20
444;Male;Age: 45 to 54 years;St. Eustatius;2012;400;370;60;320;30;10;20;0;0;20;0;20;0;10;0;10;10
445;Male;Age: 45 to 54 years;St. Eustatius;2014;440;340;80;260;100;60;50;30;0;10;10;10;0;0;10;0;0
446;Male;Age: 45 to 54 years;St. Eustatius;2016;280;220;40;180;60;10;60;20;0;40;10;30;0;0;10;20;0
447;Male;Age: 45 to 54 years;St. Eustatius;2018;340;300;40;250;40;10;30;20;0;10;10;10;0;0;0;0;0
448;Male;Age: 45 to 54 years;St. Eustatius;2020;260;230;10;230;30;0;30;20;0;10;0;10;0;0;0;0;10
449;Male;Age: 45 to 54 years;St. Eustatius;2022;240;230;10;220;10;0;10;10;0;0;0;0;0;0;0;0;0
450;Male;Age: 45 to 54 years;Saba;2012;130;120;30;90;20;0;10;0;0;10;0;10;0;0;0;10;0
451;Male;Age: 45 to 54 years;Saba;2014;140;130;20;110;10;10;0;0;0;0;0;0;0;0;0;0;0
452;Male;Age: 45 to 54 years;Saba;2016;140;130;30;100;20;0;10;0;0;10;0;10;0;0;0;10;0
453;Male;Age: 45 to 54 years;Saba;2018;150;140;20;120;10;0;10;0;0;0;0;0;0;0;0;0;0
454;Male;Age: 45 to 54 years;Saba;2020;150;140;20;120;10;0;10;0;0;10;0;10;0;0;0;10;0
455;Male;Age: 45 to 54 years;Saba;2022;140;130;20;110;10;0;10;0;0;10;0;10;0;0;10;0;0
456;Male;Age: 45 to 74 years;Caribbean Netherlands;2012;4370;3000;690;2310;1360;120;1250;160;10;1070;10;1070;10;10;770;160;120
457;Male;Age: 45 to 74 years;Caribbean Netherlands;2014;4890;3280;710;2570;1610;270;1340;200;0;1140;10;1140;30;0;830;140;130
458;Male;Age: 45 to 74 years;Caribbean Netherlands;2016;4920;3400;340;3060;1520;120;1400;180;10;1220;70;1150;10;0;790;270;90
459;Male;Age: 45 to 74 years;Caribbean Netherlands;2018;5110;3730;410;3320;1390;130;1260;110;0;1150;20;1130;30;10;820;190;80
460;Male;Age: 45 to 74 years;Caribbean Netherlands;2020;5350;3750;570;3180;1600;90;1510;170;60;1280;40;1240;10;0;880;190;160
461;Male;Age: 45 to 74 years;Caribbean Netherlands;2022;5680;3870;290;3580;1810;90;1720;80;0;1650;80;1570;0;0;1090;400;80
462;Male;Age: 45 to 74 years;Bonaire;2012;3250;2180;560;1610;1070;90;980;160;10;820;0;820;10;0;580;120;110
463;Male;Age: 45 to 74 years;Bonaire;2014;3670;2430;540;1900;1230;170;1060;110;0;950;0;950;30;0;710;80;130
464;Male;Age: 45 to 74 years;Bonaire;2016;3950;2770;240;2530;1180;100;1080;140;0;940;50;900;0;0;610;210;80
465;Male;Age: 45 to 74 years;Bonaire;2018;4070;2960;320;2640;1120;110;1010;70;0;940;20;920;20;10;660;160;80
466;Male;Age: 45 to 74 years;Bonaire;2020;4380;3040;520;2520;1340;80;1260;140;60;1060;40;1030;10;0;710;170;140
467;Male;Age: 45 to 74 years;Bonaire;2022;4650;3120;240;2870;1530;80;1440;60;0;1390;70;1320;0;0;900;360;60
468;Male;Age: 45 to 74 years;St. Eustatius;2012;800;610;80;540;190;20;170;0;0;170;0;170;0;10;130;20;10
469;Male;Age: 45 to 74 years;St. Eustatius;2014;920;640;140;500;290;90;200;70;0;120;10;120;0;0;70;50;0
470;Male;Age: 45 to 74 years;St. Eustatius;2016;640;410;70;340;230;20;210;40;10;170;20;150;10;0;110;30;0
471;Male;Age: 45 to 74 years;St. Eustatius;2018;680;500;50;450;180;20;160;40;0;120;10;120;0;0;100;10;0
472;Male;Age: 45 to 74 years;St. Eustatius;2020;630;460;20;430;170;0;170;20;0;150;0;150;0;0;130;0;20
473;Male;Age: 45 to 74 years;St. Eustatius;2022;670;500;20;490;170;0;160;20;0;140;10;140;0;0;90;30;20
474;Male;Age: 45 to 74 years;Saba;2012;320;210;50;160;100;10;100;10;0;90;10;80;10;0;60;20;0
475;Male;Age: 45 to 74 years;Saba;2014;300;210;30;180;90;10;80;10;0;70;0;70;10;0;60;10;0
476;Male;Age: 45 to 74 years;Saba;2016;340;230;30;200;120;0;110;10;0;110;10;100;0;0;70;30;10
477;Male;Age: 45 to 74 years;Saba;2018;360;270;40;230;90;0;90;0;0;90;0;90;0;0;70;20;0
478;Male;Age: 45 to 74 years;Saba;2020;350;260;40;220;90;10;80;10;0;70;0;70;0;0;50;20;0
479;Male;Age: 45 to 74 years;Saba;2022;370;250;30;220;120;0;120;0;0;120;0;120;0;0;100;10;0
480;Male;Age: 55 to 64 years;Caribbean Netherlands;2012;1440;900;200;690;540;20;520;50;10;470;10;460;0;0;340;80;40
481;Male;Age: 55 to 64 years;Caribbean Netherlands;2014;1580;970;140;840;610;90;520;60;0;470;0;470;20;0;270;90;90
482;Male;Age: 55 to 64 years;Caribbean Netherlands;2016;1710;1210;70;1140;500;20;480;110;10;370;10;350;10;0;190;110;50
483;Male;Age: 55 to 64 years;Caribbean Netherlands;2018;1930;1460;140;1320;480;30;440;40;0;400;0;400;30;10;230;80;50
484;Male;Age: 55 to 64 years;Caribbean Netherlands;2020;2180;1610;210;1400;570;60;500;80;0;430;20;410;0;0;160;150;100
485;Male;Age: 55 to 64 years;Caribbean Netherlands;2022;2400;1800;90;1710;600;40;560;30;0;530;30;510;0;0;120;340;50
486;Male;Age: 55 to 64 years;Bonaire;2012;1050;620;170;460;430;0;430;50;10;370;0;370;0;0;270;70;30
487;Male;Age: 55 to 64 years;Bonaire;2014;1150;690;100;600;460;50;410;30;0;380;0;380;10;0;240;40;90
488;Male;Age: 55 to 64 years;Bonaire;2016;1360;960;40;920;390;20;380;90;0;290;0;290;0;0;140;90;50
489;Male;Age: 55 to 64 years;Bonaire;2018;1580;1200;120;1090;370;20;350;20;0;330;0;330;20;10;180;70;50
490;Male;Age: 55 to 64 years;Bonaire;2020;1820;1320;180;1140;500;60;440;70;0;370;20;350;0;0;120;140;90
491;Male;Age: 55 to 64 years;Bonaire;2022;1980;1490;80;1410;500;30;460;20;0;450;20;430;0;0;80;310;40
492;Male;Age: 55 to 64 years;St. Eustatius;2012;280;200;20;180;70;10;60;0;0;60;0;60;0;0;50;10;10
493;Male;Age: 55 to 64 years;St. Eustatius;2014;330;220;30;180;120;30;80;20;0;60;0;60;0;0;20;40;0
494;Male;Age: 55 to 64 years;St. Eustatius;2016;230;160;20;140;70;10;70;20;10;50;10;40;10;0;30;10;0
495;Male;Age: 55 to 64 years;St. Eustatius;2018;230;160;10;150;70;10;60;20;0;40;0;40;0;0;30;0;0
496;Male;Age: 55 to 64 years;St. Eustatius;2020;240;200;20;180;50;0;50;10;0;40;0;40;0;0;30;0;10
497;Male;Age: 55 to 64 years;St. Eustatius;2022;280;220;10;210;70;0;70;10;0;60;10;50;0;0;20;20;10
498;Male;Age: 55 to 64 years;Saba;2012;110;70;20;60;40;10;30;0;0;30;10;30;0;0;30;0;0
499;Male;Age: 55 to 64 years;Saba;2014;100;70;10;60;30;0;30;0;0;20;0;20;10;0;10;10;0
500;Male;Age: 55 to 64 years;Saba;2016;120;80;0;80;40;0;40;0;0;40;0;30;0;0;20;10;0
501;Male;Age: 55 to 64 years;Saba;2018;120;90;10;80;30;0;30;0;0;30;0;30;0;0;20;10;0
502;Male;Age: 55 to 64 years;Saba;2020;120;100;20;80;20;10;10;0;0;10;0;10;0;0;10;10;0
503;Male;Age: 55 to 64 years;Saba;2022;130;100;10;90;30;0;30;0;0;30;0;30;0;0;20;10;0
504;Male;Age: 65 to 74 years;Caribbean Netherlands;2012;750;170;10;160;580;10;580;30;0;550;0;550;10;0;430;50;50
505;Male;Age: 65 to 74 years;Caribbean Netherlands;2014;930;240;50;190;690;10;680;60;0;620;0;620;20;0;550;30;20
506;Male;Age: 65 to 74 years;Caribbean Netherlands;2016;990;250;40;210;750;20;730;40;0;690;30;670;0;0;580;70;10
507;Male;Age: 65 to 74 years;Caribbean Netherlands;2018;980;320;20;300;670;10;660;10;0;650;0;650;0;0;590;30;30
508;Male;Age: 65 to 74 years;Caribbean Netherlands;2020;1120;320;50;270;800;0;800;30;0;770;20;760;10;0;720;10;10
509;Male;Age: 65 to 74 years;Caribbean Netherlands;2022;1250;250;40;210;1000;0;1000;0;0;990;10;980;0;0;940;30;10
510;Male;Age: 65 to 74 years;Bonaire;2012;560;110;10;100;450;10;440;30;0;410;0;410;10;0;310;40;50
511;Male;Age: 65 to 74 years;Bonaire;2014;710;150;20;120;560;10;550;20;0;530;0;530;10;0;470;20;20
512;Male;Age: 65 to 74 years;Bonaire;2016;790;200;30;180;590;10;580;30;0;550;20;530;0;0;470;60;0
513;Male;Age: 65 to 74 years;Bonaire;2018;780;230;10;230;550;10;540;10;0;530;0;530;0;0;480;20;30
514;Male;Age: 65 to 74 years;Bonaire;2020;920;280;50;220;640;0;640;20;0;630;20;610;10;0;590;10;10
515;Male;Age: 65 to 74 years;Bonaire;2022;1000;170;40;140;830;0;830;0;0;830;10;820;0;0;800;20;0
516;Male;Age: 65 to 74 years;St. Eustatius;2012;130;40;0;40;90;0;90;0;0;90;0;90;0;0;80;10;0
517;Male;Age: 65 to 74 years;St. Eustatius;2014;150;80;20;60;70;0;70;20;0;50;0;50;0;0;40;10;0
518;Male;Age: 65 to 74 years;St. Eustatius;2016;130;30;10;20;100;10;90;10;0;90;10;80;0;0;70;10;0
519;Male;Age: 65 to 74 years;St. Eustatius;2018;110;40;0;40;70;0;70;0;0;70;0;70;0;0;70;0;0
520;Male;Age: 65 to 74 years;St. Eustatius;2020;130;30;0;30;100;0;100;0;0;100;0;100;0;0;100;0;0
521;Male;Age: 65 to 74 years;St. Eustatius;2022;150;60;10;50;90;0;90;0;0;90;0;90;0;0;70;10;10
522;Male;Age: 65 to 74 years;Saba;2012;70;20;0;20;50;0;50;0;0;50;0;50;0;0;40;10;0
523;Male;Age: 65 to 74 years;Saba;2014;70;10;0;10;60;0;60;10;0;50;0;50;0;0;40;0;0
524;Male;Age: 65 to 74 years;Saba;2016;80;20;0;20;60;0;60;0;0;60;0;60;0;0;40;10;10
525;Male;Age: 65 to 74 years;Saba;2018;90;40;10;30;50;0;50;0;0;50;0;50;0;0;40;10;0
526;Male;Age: 65 to 74 years;Saba;2020;80;20;0;10;60;0;60;10;0;50;0;50;0;0;40;10;0
527;Male;Age: 65 to 74 years;Saba;2022;90;20;0;20;80;0;80;0;0;80;0;80;0;0;70;10;0
528;Male;Level of educ: 1. Low;Caribbean Netherlands;2012;5900;3990;1100;2880;1910;260;1660;330;10;1320;50;1280;10;380;550;140;190
529;Male;Level of educ: 1. Low;Caribbean Netherlands;2014;5790;4090;910;3170;1700;360;1340;250;20;1060;20;1040;0;290;430;190;120
530;Male;Level of educ: 1. Low;Caribbean Netherlands;2016;5490;3570;360;3210;1910;330;1580;280;0;1300;50;1250;10;370;530;220;130
531;Male;Level of educ: 1. Low;Caribbean Netherlands;2018;5410;3970;510;3460;1450;220;1230;190;20;1020;50;970;10;280;420;170;90
532;Male;Level of educ: 1. Low;Caribbean Netherlands;2020;6120;4300;800;3490;1830;200;1630;270;20;1340;40;1300;20;420;500;210;160
533;Male;Level of educ: 1. Low;Caribbean Netherlands;2022;6360;4530;630;3900;1830;160;1670;160;0;1500;120;1390;0;300;610;350;120
534;Male;Level of educ: 1. Low;Bonaire;2012;4430;2930;890;2050;1500;200;1300;270;0;1030;40;990;10;270;430;110;160
535;Male;Level of educ: 1. Low;Bonaire;2014;4430;3170;740;2440;1250;250;1000;140;20;840;0;840;0;220;370;140;110
536;Male;Level of educ: 1. Low;Bonaire;2016;4260;2800;250;2550;1460;250;1210;180;0;1030;30;1000;0;290;430;170;110
537;Male;Level of educ: 1. Low;Bonaire;2018;4250;3110;400;2710;1140;170;970;130;20;830;50;780;10;190;340;150;90
538;Male;Level of educ: 1. Low;Bonaire;2020;4840;3380;710;2670;1460;180;1280;180;20;1080;30;1050;20;310;380;190;150
539;Male;Level of educ: 1. Low;Bonaire;2022;5180;3710;580;3140;1470;130;1330;100;0;1230;110;1120;0;230;510;310;70
540;Male;Level of educ: 1. Low;St. Eustatius;2012;1020;730;110;620;290;40;260;40;0;210;0;210;0;90;80;20;30
541;Male;Level of educ: 1. Low;St. Eustatius;2014;1100;720;130;590;380;100;280;100;10;170;20;150;0;50;30;50;10
542;Male;Level of educ: 1. Low;St. Eustatius;2016;860;540;90;450;330;70;260;80;0;180;10;170;10;70;60;20;10
543;Male;Level of educ: 1. Low;St. Eustatius;2018;800;580;70;510;220;40;180;60;0;110;0;110;0;80;30;0;0
544;Male;Level of educ: 1. Low;St. Eustatius;2020;950;660;60;610;290;10;280;70;0;210;0;210;0;90;100;0;10
545;Male;Level of educ: 1. Low;St. Eustatius;2022;860;600;20;580;260;20;240;60;0;180;0;180;0;60;50;30;40
546;Male;Level of educ: 1. Low;Saba;2012;450;330;110;220;130;20;110;20;10;80;10;80;0;20;40;10;0
547;Male;Level of educ: 1. Low;Saba;2014;260;200;50;150;70;10;60;10;0;50;0;50;0;10;30;0;0
548;Male;Level of educ: 1. Low;Saba;2016;370;240;20;220;130;10;110;20;0;90;10;80;0;10;40;20;10
549;Male;Level of educ: 1. Low;Saba;2018;370;270;40;240;90;10;90;0;0;80;0;80;0;10;50;20;0
550;Male;Level of educ: 1. Low;Saba;2020;330;250;30;220;80;10;70;20;0;50;0;50;0;20;20;10;0
551;Male;Level of educ: 1. Low;Saba;2022;310;210;30;180;100;10;100;0;0;90;10;90;0;10;50;10;20
552;Male;Level of educ: 2 Intermediate;Caribbean Netherlands;2012;1970;1500;140;1360;470;80;390;90;30;280;0;280;0;130;80;30;40
553;Male;Level of educ: 2 Intermediate;Caribbean Netherlands;2014;2610;1910;560;1350;700;100;590;60;60;480;10;470;20;190;220;10;50
554;Male;Level of educ: 2 Intermediate;Caribbean Netherlands;2016;2660;2020;240;1790;640;150;490;30;10;450;30;420;0;250;130;30;10
555;Male;Level of educ: 2 Intermediate;Caribbean Netherlands;2018;3080;2370;360;2010;710;40;670;50;0;620;0;620;0;300;210;50;50
556;Male;Level of educ: 2 Intermediate;Caribbean Netherlands;2020;2740;2140;300;1840;600;70;530;60;60;420;10;410;10;150;180;30;40
557;Male;Level of educ: 2 Intermediate;Caribbean Netherlands;2022;2850;2190;330;1870;660;80;580;40;0;550;30;520;0;220;210;40;50
558;Male;Level of educ: 2 Intermediate;Bonaire;2012;1460;1070;80;990;380;80;310;80;20;210;0;210;0;80;70;20;40
559;Male;Level of educ: 2 Intermediate;Bonaire;2014;1910;1360;430;930;550;60;490;20;60;420;0;420;10;170;190;0;50
560;Male;Level of educ: 2 Intermediate;Bonaire;2016;2370;1770;200;1580;590;140;450;30;0;430;30;400;0;250;110;20;10
561;Male;Level of educ: 2 Intermediate;Bonaire;2018;2520;1950;310;1640;570;30;540;40;0;500;0;500;0;260;150;50;40
562;Male;Level of educ: 2 Intermediate;Bonaire;2020;2370;1850;280;1570;520;60;460;50;60;350;0;350;10;140;150;20;40
563;Male;Level of educ: 2 Intermediate;Bonaire;2022;2400;1850;300;1550;550;60;490;20;0;470;20;450;0;200;160;30;50
564;Male;Level of educ: 2 Intermediate;St. Eustatius;2012;390;320;20;300;70;0;70;10;10;60;0;60;0;40;10;10;10
565;Male;Level of educ: 2 Intermediate;St. Eustatius;2014;520;400;100;300;120;40;80;30;0;50;10;40;0;20;30;0;0
566;Male;Level of educ: 2 Intermediate;St. Eustatius;2016;170;140;20;120;30;10;20;0;10;20;0;20;0;10;10;0;0
567;Male;Level of educ: 2 Intermediate;St. Eustatius;2018;380;260;30;230;120;10;100;10;0;100;0;100;0;30;60;0;10
568;Male;Level of educ: 2 Intermediate;St. Eustatius;2020;190;140;0;140;50;10;40;10;0;40;10;30;0;10;20;0;0
569;Male;Level of educ: 2 Intermediate;St. Eustatius;2022;280;210;20;190;70;10;60;10;0;40;0;40;0;10;30;0;0
570;Male;Level of educ: 2 Intermediate;Saba;2012;120;100;30;70;20;0;10;0;0;10;0;10;0;10;0;0;0
571;Male;Level of educ: 2 Intermediate;Saba;2014;180;150;20;130;30;10;30;10;0;20;0;20;0;0;0;10;0
572;Male;Level of educ: 2 Intermediate;Saba;2016;120;110;20;90;10;0;10;0;0;10;0;10;0;0;10;0;0
573;Male;Level of educ: 2 Intermediate;Saba;2018;180;160;20;140;20;0;20;0;0;20;0;20;0;10;10;0;0
574;Male;Level of educ: 2 Intermediate;Saba;2020;180;150;30;130;30;0;30;10;0;30;0;30;0;0;10;10;0
575;Male;Level of educ: 2 Intermediate;Saba;2022;170;130;0;130;40;0;40;0;0;40;0;30;0;10;20;10;0
576;Male;Level of educ: 3 High;Caribbean Netherlands;2012;1540;1140;180;960;400;20;380;30;0;360;0;350;0;190;140;0;20
577;Male;Level of educ: 3 High;Caribbean Netherlands;2014;1520;1090;220;870;430;20;420;40;10;360;0;360;20;180;120;10;30
578;Male;Level of educ: 3 High;Caribbean Netherlands;2016;1640;1310;80;1230;330;0;330;30;0;300;10;290;0;130;130;10;30
579;Male;Level of educ: 3 High;Caribbean Netherlands;2018;1610;1160;140;1020;450;20;430;30;0;400;10;390;10;160;190;0;30
580;Male;Level of educ: 3 High;Caribbean Netherlands;2020;1550;1230;130;1090;330;20;310;40;0;270;20;250;0;40;190;0;20
581;Male;Level of educ: 3 High;Caribbean Netherlands;2022;1960;1530;130;1400;430;30;400;0;0;400;20;380;0;80;260;20;20
582;Male;Level of educ: 3 High;Bonaire;2012;980;820;130;690;160;10;150;20;0;130;0;130;0;30;80;0;20
583;Male;Level of educ: 3 High;Bonaire;2014;1010;810;180;630;210;20;190;10;10;170;0;170;10;20;90;10;30
584;Male;Level of educ: 3 High;Bonaire;2016;1110;990;60;930;130;0;130;30;0;100;0;100;0;20;60;0;20
585;Male;Level of educ: 3 High;Bonaire;2018;1140;880;100;780;260;20;250;30;0;220;0;220;10;10;170;0;30
586;Male;Level of educ: 3 High;Bonaire;2020;1230;990;80;900;250;20;230;20;0;210;20;190;0;0;180;0;10
587;Male;Level of educ: 3 High;Bonaire;2022;1580;1270;110;1170;310;20;290;0;0;290;20;270;0;10;220;20;20
588;Male;Level of educ: 3 High;St. Eustatius;2012;260;190;20;170;60;0;60;0;0;60;0;60;0;30;40;0;0
589;Male;Level of educ: 3 High;St. Eustatius;2014;220;180;30;160;30;0;30;30;0;10;0;10;0;0;10;0;0
590;Male;Level of educ: 3 High;St. Eustatius;2016;230;170;10;160;60;0;60;0;0;60;10;50;0;0;40;10;10
591;Male;Level of educ: 3 High;St. Eustatius;2018;170;150;10;140;20;0;20;0;0;20;10;10;0;0;10;0;0
592;Male;Level of educ: 3 High;St. Eustatius;2020;100;90;10;80;10;0;10;0;0;10;0;10;0;0;0;0;10
593;Male;Level of educ: 3 High;St. Eustatius;2022;130;110;0;110;20;10;20;0;0;20;0;20;0;0;20;0;0
594;Male;Level of educ: 3 High;Saba;2012;300;130;30;100;170;0;170;10;0;160;0;160;0;140;20;0;0
595;Male;Level of educ: 3 High;Saba;2014;290;100;20;80;190;0;190;10;0;190;0;190;0;170;20;0;0
596;Male;Level of educ: 3 High;Saba;2016;300;150;20;130;140;0;140;0;0;140;0;140;0;110;20;0;0
597;Male;Level of educ: 3 High;Saba;2018;300;130;30;110;170;0;170;0;0;160;0;160;0;150;10;0;0
598;Male;Level of educ: 3 High;Saba;2020;220;150;40;110;70;0;70;20;0;50;0;50;0;40;10;0;0
599;Male;Level of educ: 3 High;Saba;2022;250;150;20;130;100;0;100;0;0;100;0;100;0;70;20;0;0
600;Male;Level of educ: unknown;Caribbean Netherlands;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
601;Male;Level of educ: unknown;Caribbean Netherlands;2014;310;170;60;110;140;10;130;0;0;130;10;110;0;50;70;0;0
602;Male;Level of educ: unknown;Caribbean Netherlands;2016;320;250;0;250;70;20;50;0;0;50;0;50;0;0;0;50;0
603;Male;Level of educ: unknown;Caribbean Netherlands;2018;130;90;10;80;50;0;50;40;0;10;0;10;0;0;0;0;0
604;Male;Level of educ: unknown;Caribbean Netherlands;2020;210;150;40;110;60;20;40;0;0;40;10;30;0;0;10;20;0
605;Male;Level of educ: unknown;Caribbean Netherlands;2022;130;100;30;70;30;0;30;20;0;10;0;10;0;0;0;0;0
606;Male;Level of educ: unknown;Bonaire;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
607;Male;Level of educ: unknown;Bonaire;2014;300;160;60;100;140;10;120;0;0;120;10;110;0;40;70;0;0
608;Male;Level of educ: unknown;Bonaire;2016;310;250;0;250;70;20;50;0;0;50;0;50;0;0;0;50;0
609;Male;Level of educ: unknown;Bonaire;2018;100;60;0;60;40;0;40;40;0;0;0;0;0;0;0;0;0
610;Male;Level of educ: unknown;Bonaire;2020;170;110;40;80;50;20;40;0;0;40;10;30;0;0;10;20;0
611;Male;Level of educ: unknown;Bonaire;2022;70;50;20;30;20;0;20;20;0;0;0;0;0;0;0;0;0
612;Male;Level of educ: unknown;St. Eustatius;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
613;Male;Level of educ: unknown;St. Eustatius;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
614;Male;Level of educ: unknown;St. Eustatius;2016;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
615;Male;Level of educ: unknown;St. Eustatius;2018;20;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
616;Male;Level of educ: unknown;St. Eustatius;2020;20;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
617;Male;Level of educ: unknown;St. Eustatius;2022;20;20;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
618;Male;Level of educ: unknown;Saba;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
619;Male;Level of educ: unknown;Saba;2014;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
620;Male;Level of educ: unknown;Saba;2016;10;0;0;0;10;0;10;0;0;10;0;10;0;0;0;0;0
621;Male;Level of educ: unknown;Saba;2018;20;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
622;Male;Level of educ: unknown;Saba;2020;30;30;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
623;Male;Level of educ: unknown;Saba;2022;40;30;0;30;10;0;10;0;0;10;0;10;0;0;0;0;0
624;Female;Total persons;Caribbean Netherlands;2012;8080;5320;950;4380;2760;300;2460;370;50;2050;150;1900;290;540;610;230;240
625;Female;Total persons;Caribbean Netherlands;2014;9000;5810;970;4840;3190;420;2770;330;60;2380;200;2180;360;710;640;280;200
626;Female;Total persons;Caribbean Netherlands;2016;9220;6130;650;5480;3080;430;2660;250;60;2350;110;2240;360;670;820;270;120
627;Female;Total persons;Caribbean Netherlands;2018;9530;6680;760;5920;2840;200;2640;270;100;2280;150;2130;280;590;890;250;130
628;Female;Total persons;Caribbean Netherlands;2020;9770;6520;690;5830;3260;320;2940;320;30;2580;200;2380;390;550;980;300;160
629;Female;Total persons;Caribbean Netherlands;2022;10400;7300;720;6580;3100;230;2870;210;40;2630;100;2530;390;550;1010;330;250
630;Female;Total persons;Bonaire;2012;5990;3990;670;3320;2000;260;1750;280;20;1450;90;1360;200;320;460;210;180
631;Female;Total persons;Bonaire;2014;6810;4460;690;3780;2350;340;2010;220;40;1750;110;1640;290;480;500;210;160
