ID;BiologicalControl;Crops;Periods;CompaniesWithBiologicalControlAgents_1;CompaniesWithBiologicalControlAgents_2;AreaSizeWithDeploymentOfMacrobials_3;AreaSizeWithDeploymentOfMacrobials_4;DeployedMacrobiologicalControlAgents_5;CropArea_6;AreaWithBiologicalControlAgents_7
540;B06 Eretmocerus eremicus;Total crops/cultivation sectors;2012;;;1272.0;20.0;119547.0;19.0;94.0
541;B06 Eretmocerus eremicus;Total crops/cultivation sectors;2016;;;2031.0;33.5;427707.0;71.0;211.0
542;B06 Eretmocerus eremicus;Total crops/cultivation sectors;2020;;;1856.0;27.6;931752.0;138.0;502.0
543;B06 Eretmocerus eremicus;Strawberries, under glass;2012;;;;;;;
544;B06 Eretmocerus eremicus;Strawberries, under glass;2016;;;;;;;
545;B06 Eretmocerus eremicus;Strawberries, under glass;2020;4.0;1.7;2.0;0.3;198.0;0.0;119.0
546;B06 Eretmocerus eremicus;Foliage plants under glass;2012;;;;;;;
547;B06 Eretmocerus eremicus;Foliage plants under glass;2016;;;;;;;
548;B06 Eretmocerus eremicus;Foliage plants under glass;2020;6.0;2.6;21.0;4.5;2884.0;6.0;139.0
549;B06 Eretmocerus eremicus;Chrysantinum under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
550;B06 Eretmocerus eremicus;Chrysantinum under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
551;B06 Eretmocerus eremicus;Chrysantinum under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
552;B06 Eretmocerus eremicus;Gerberas under glass;2012;;;;;;;
553;B06 Eretmocerus eremicus;Gerberas under glass;2016;;;;;;;
554;B06 Eretmocerus eremicus;Gerberas under glass;2020;13.0;27.2;50.0;30.4;6864.0;42.0;137.0
555;B06 Eretmocerus eremicus;Cucumbers;2012;;;;;;;
556;B06 Eretmocerus eremicus;Cucumbers;2016;79.0;37.8;279.0;50.3;31170.0;56.0;112.0
557;B06 Eretmocerus eremicus;Cucumbers;2020;51.0;24.0;198.0;33.3;22774.0;38.0;115.0
558;B06 Eretmocerus eremicus;Peppers (total);2012;;;;;;;
559;B06 Eretmocerus eremicus;Peppers (total);2016;39.0;15.4;255.0;19.3;27496.0;21.0;108.0
560;B06 Eretmocerus eremicus;Peppers (total);2020;22.0;8.9;116.0;7.5;3193.0;2.0;28.0
561;B06 Eretmocerus eremicus;Pot plants for flowering;2012;;;;;;;
562;B06 Eretmocerus eremicus;Pot plants for flowering;2016;30.0;7.6;100.0;10.7;8412.0;9.0;84.0
563;B06 Eretmocerus eremicus;Pot plants for flowering;2020;15.0;3.7;47.0;4.9;11739.0;12.0;252.0
564;B06 Eretmocerus eremicus;Roses under glass;2012;;;;;;;
565;B06 Eretmocerus eremicus;Roses under glass;2016;;;;;;;
566;B06 Eretmocerus eremicus;Roses under glass;2020;8.0;12.6;20.0;9.9;488.0;2.0;24.0
567;B06 Eretmocerus eremicus;Tomatoes (total);2012;219.0;66.2;1130.0;66.8;113755.0;67.0;101.0
568;B06 Eretmocerus eremicus;Tomatoes (total);2016;204.0;74.6;1381.0;81.0;357206.0;210.0;259.0
569;B06 Eretmocerus eremicus;Tomatoes (total);2020;147.0;56.0;1404.0;75.0;883614.0;472.0;630.0
570;B07 Feltiella acarisuga;Total crops/cultivation sectors;2012;;;487.0;7.7;379.0;0.0;1.0
571;B07 Feltiella acarisuga;Total crops/cultivation sectors;2016;;;826.0;13.6;1976.0;0.0;2.0
572;B07 Feltiella acarisuga;Total crops/cultivation sectors;2020;;;793.0;11.8;15230.0;2.0;19.0
573;B07 Feltiella acarisuga;Strawberries, under glass;2012;;;;;;;
574;B07 Feltiella acarisuga;Strawberries, under glass;2016;;;;;;;
575;B07 Feltiella acarisuga;Strawberries, under glass;2020;10.0;4.2;13.0;2.6;10.0;0.0;1.0
576;B07 Feltiella acarisuga;Foliage plants under glass;2012;;;;;;;
577;B07 Feltiella acarisuga;Foliage plants under glass;2016;;;;;;;
578;B07 Feltiella acarisuga;Foliage plants under glass;2020;6.0;2.4;23.0;4.9;6124.0;13.0;269.0
579;B07 Feltiella acarisuga;Chrysantinum under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
580;B07 Feltiella acarisuga;Chrysantinum under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
581;B07 Feltiella acarisuga;Chrysantinum under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
582;B07 Feltiella acarisuga;Gerberas under glass;2012;16.0;23.6;49.0;29.0;38.0;0.0;1.0
583;B07 Feltiella acarisuga;Gerberas under glass;2016;;;;;;;
584;B07 Feltiella acarisuga;Gerberas under glass;2020;11.0;23.5;48.0;29.3;57.0;0.0;1.0
585;B07 Feltiella acarisuga;Cucumbers;2012;44.0;17.4;173.0;27.9;112.0;0.0;1.0
586;B07 Feltiella acarisuga;Cucumbers;2016;90.0;42.9;262.0;47.2;1423.0;3.0;5.0
587;B07 Feltiella acarisuga;Cucumbers;2020;54.0;25.2;182.0;30.7;2123.0;4.0;12.0
588;B07 Feltiella acarisuga;Peppers (total);2012;32.0;11.0;172.0;13.1;161.0;0.0;1.0
589;B07 Feltiella acarisuga;Peppers (total);2016;53.0;21.1;300.0;22.8;149.0;0.0;0.0
590;B07 Feltiella acarisuga;Peppers (total);2020;76.0;29.9;398.0;26.0;576.0;0.0;1.0
591;B07 Feltiella acarisuga;Pot plants for flowering;2012;;;;;;;
592;B07 Feltiella acarisuga;Pot plants for flowering;2016;;;;;;;
593;B07 Feltiella acarisuga;Pot plants for flowering;2020;7.0;1.8;21.0;2.2;11.0;0.0;0.0
594;B07 Feltiella acarisuga;Roses under glass;2012;;;;;;;
595;B07 Feltiella acarisuga;Roses under glass;2016;17.0;17.0;71.0;27.7;70.0;0.0;1.0
596;B07 Feltiella acarisuga;Roses under glass;2020;18.0;30.2;107.0;52.6;6331.0;31.0;59.0
597;B07 Feltiella acarisuga;Tomatoes (total);2012;;;;;;;
598;B07 Feltiella acarisuga;Tomatoes (total);2016;;;;;;;
599;B07 Feltiella acarisuga;Tomatoes (total);2020;;;;;;;
600;B99 Parasitoid wasp, gall midge, others;Total crops/cultivation sectors;2012;;;1170.0;18.4;9916.0;2.0;8.0
601;B99 Parasitoid wasp, gall midge, others;Total crops/cultivation sectors;2016;;;1186.0;19.6;168675.0;28.0;142.0
602;B99 Parasitoid wasp, gall midge, others;Total crops/cultivation sectors;2020;;;1074.0;15.9;471658.0;70.0;439.0
603;B99 Parasitoid wasp, gall midge, others;Strawberries, under glass;2012;;;;;;;
604;B99 Parasitoid wasp, gall midge, others;Strawberries, under glass;2016;12.0;4.8;25.0;7.4;58.0;0.0;2.0
605;B99 Parasitoid wasp, gall midge, others;Strawberries, under glass;2020;56.0;23.2;120.0;23.8;717.0;1.0;6.0
606;B99 Parasitoid wasp, gall midge, others;Foliage plants under glass;2012;30.0;9.6;110.0;22.6;34.0;0.0;0.0
607;B99 Parasitoid wasp, gall midge, others;Foliage plants under glass;2016;;;;;;;
608;B99 Parasitoid wasp, gall midge, others;Foliage plants under glass;2020;31.0;12.9;80.0;17.4;49901.0;109.0;622.0
609;B99 Parasitoid wasp, gall midge, others;Chrysantinum under glass;2012;;;;;;;
610;B99 Parasitoid wasp, gall midge, others;Chrysantinum under glass;2016;;;;;;;
611;B99 Parasitoid wasp, gall midge, others;Chrysantinum under glass;2020;15.0;13.0;52.0;11.7;3402.0;8.0;65.0
612;B99 Parasitoid wasp, gall midge, others;Gerberas under glass;2012;;;;;;;
613;B99 Parasitoid wasp, gall midge, others;Gerberas under glass;2016;;;;;;;
614;B99 Parasitoid wasp, gall midge, others;Gerberas under glass;2020;30.0;64.4;123.0;74.6;168092.0;1023.0;1371.0
615;B99 Parasitoid wasp, gall midge, others;Cucumbers;2012;;;;;;;
616;B99 Parasitoid wasp, gall midge, others;Cucumbers;2016;14.0;6.9;52.0;9.4;1481.0;3.0;28.0
617;B99 Parasitoid wasp, gall midge, others;Cucumbers;2020;19.0;8.7;36.0;6.0;7432.0;12.0;209.0
618;B99 Parasitoid wasp, gall midge, others;Peppers (total);2012;73.0;25.5;367.0;27.9;2361.0;2.0;6.0
619;B99 Parasitoid wasp, gall midge, others;Peppers (total);2016;56.0;22.3;278.0;21.1;4163.0;3.0;15.0
620;B99 Parasitoid wasp, gall midge, others;Peppers (total);2020;50.0;19.9;263.0;17.2;57608.0;38.0;219.0
621;B99 Parasitoid wasp, gall midge, others;Pot plants for flowering;2012;;;;;;;
622;B99 Parasitoid wasp, gall midge, others;Pot plants for flowering;2016;;;;;;;
623;B99 Parasitoid wasp, gall midge, others;Pot plants for flowering;2020;29.0;7.2;77.0;8.0;2914.0;3.0;38.0
624;B99 Parasitoid wasp, gall midge, others;Roses under glass;2012;;;;;;;
625;B99 Parasitoid wasp, gall midge, others;Roses under glass;2016;;;;;;;
626;B99 Parasitoid wasp, gall midge, others;Roses under glass;2020;16.0;27.0;103.0;50.3;869.0;4.0;8.0
627;B99 Parasitoid wasp, gall midge, others;Tomatoes (total);2012;111.0;33.4;572.0;33.9;6455.0;4.0;11.0
628;B99 Parasitoid wasp, gall midge, others;Tomatoes (total);2016;102.0;37.1;689.0;40.4;153669.0;90.0;223.0
629;B99 Parasitoid wasp, gall midge, others;Tomatoes (total);2020;42.0;15.9;221.0;11.8;180722.0;97.0;818.0
630;C Predatory bug, beetle, lacewing ,hover;Total crops/cultivation sectors;2012;;;3205.0;50.5;43095.0;7.0;13.0
631;C Predatory bug, beetle, lacewing ,hover;Total crops/cultivation sectors;2016;;;3249.0;53.6;71749.0;12.0;22.0
632;C Predatory bug, beetle, lacewing ,hover;Total crops/cultivation sectors;2020;;;4094.0;60.8;165887.0;25.0;41.0
633;C Predatory bug, beetle, lacewing ,hover;Strawberries, under glass;2012;;;;;;;
634;C Predatory bug, beetle, lacewing ,hover;Strawberries, under glass;2016;15.0;6.0;38.0;11.3;436.0;1.0;11.0
635;C Predatory bug, beetle, lacewing ,hover;Strawberries, under glass;2020;44.0;18.1;113.0;22.4;1769.0;4.0;16.0
636;C Predatory bug, beetle, lacewing ,hover;Foliage plants under glass;2012;;;;;;;
637;C Predatory bug, beetle, lacewing ,hover;Foliage plants under glass;2016;32.0;13.3;67.0;17.2;968.0;2.0;14.0
638;C Predatory bug, beetle, lacewing ,hover;Foliage plants under glass;2020;52.0;21.6;138.0;30.0;17135.0;37.0;124.0
639;C Predatory bug, beetle, lacewing ,hover;Chrysantinum under glass;2012;37.0;19.0;140.0;27.8;945.0;2.0;7.0
640;C Predatory bug, beetle, lacewing ,hover;Chrysantinum under glass;2016;;;;;;;
641;C Predatory bug, beetle, lacewing ,hover;Chrysantinum under glass;2020;12.0;10.1;46.0;10.4;18252.0;41.0;393.0
642;C Predatory bug, beetle, lacewing ,hover;Gerberas under glass;2012;31.0;46.1;80.0;47.3;3721.0;22.0;46.0
643;C Predatory bug, beetle, lacewing ,hover;Gerberas under glass;2016;30.0;54.2;98.0;51.9;667.0;4.0;7.0
644;C Predatory bug, beetle, lacewing ,hover;Gerberas under glass;2020;35.0;75.1;134.0;81.8;1874.0;11.0;14.0
645;C Predatory bug, beetle, lacewing ,hover;Cucumbers;2012;24.0;9.4;62.0;9.9;894.0;1.0;14.0
646;C Predatory bug, beetle, lacewing ,hover;Cucumbers;2016;26.0;12.4;85.0;15.3;1934.0;3.0;23.0
647;C Predatory bug, beetle, lacewing ,hover;Cucumbers;2020;18.0;8.6;47.0;8.0;2421.0;4.0;51.0
648;C Predatory bug, beetle, lacewing ,hover;Peppers (total);2012;223.0;77.5;1088.0;82.9;15300.0;12.0;14.0
649;C Predatory bug, beetle, lacewing ,hover;Peppers (total);2016;224.0;88.5;1170.0;88.8;29758.0;23.0;25.0
650;C Predatory bug, beetle, lacewing ,hover;Peppers (total);2020;232.0;91.7;1501.0;97.9;75949.0;50.0;51.0
651;C Predatory bug, beetle, lacewing ,hover;Pot plants for flowering;2012;45.0;9.8;89.0;10.2;3573.0;4.0;40.0
652;C Predatory bug, beetle, lacewing ,hover;Pot plants for flowering;2016;63.0;16.0;204.0;21.8;12061.0;13.0;59.0
653;C Predatory bug, beetle, lacewing ,hover;Pot plants for flowering;2020;74.0;18.3;265.0;27.7;11249.0;12.0;42.0
654;C Predatory bug, beetle, lacewing ,hover;Roses under glass;2012;48.0;25.9;123.0;30.1;737.0;2.0;6.0
655;C Predatory bug, beetle, lacewing ,hover;Roses under glass;2016;21.0;20.5;63.0;24.5;4805.0;19.0;76.0
656;C Predatory bug, beetle, lacewing ,hover;Roses under glass;2020;22.0;36.6;114.0;55.8;529.0;3.0;5.0
657;C Predatory bug, beetle, lacewing ,hover;Tomatoes (total);2012;299.0;90.3;1567.0;92.6;17616.0;10.0;11.0
658;C Predatory bug, beetle, lacewing ,hover;Tomatoes (total);2016;242.0;88.2;1496.0;87.8;20873.0;12.0;14.0
659;C Predatory bug, beetle, lacewing ,hover;Tomatoes (total);2020;213.0;80.9;1735.0;92.7;36709.0;20.0;21.0
660;C01 Delphastus pusillus;Total crops/cultivation sectors;2012;;;167.0;2.6;550.0;0.0;3.0
661;C01 Delphastus pusillus;Total crops/cultivation sectors;2016;;;158.0;2.6;561.0;0.0;4.0
662;C01 Delphastus pusillus;Total crops/cultivation sectors;2020;;;120.0;1.8;1053.0;0.0;9.0
663;C01 Delphastus pusillus;Strawberries, under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
664;C01 Delphastus pusillus;Strawberries, under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
665;C01 Delphastus pusillus;Strawberries, under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
666;C01 Delphastus pusillus;Foliage plants under glass;2012;;;;;;;
667;C01 Delphastus pusillus;Foliage plants under glass;2016;;;;;;;
668;C01 Delphastus pusillus;Foliage plants under glass;2020;2.0;0.7;4.0;1.0;9.0;0.0;2.0
669;C01 Delphastus pusillus;Chrysantinum under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
670;C01 Delphastus pusillus;Chrysantinum under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
671;C01 Delphastus pusillus;Chrysantinum under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
672;C01 Delphastus pusillus;Gerberas under glass;2012;24.0;34.7;60.0;35.0;189.0;1.0;3.0
673;C01 Delphastus pusillus;Gerberas under glass;2016;26.0;45.8;88.0;46.8;239.0;1.0;3.0
674;C01 Delphastus pusillus;Gerberas under glass;2020;28.0;61.0;116.0;70.4;1045.0;6.0;9.0
675;C01 Delphastus pusillus;Cucumbers;2012;;;;;;;
676;C01 Delphastus pusillus;Cucumbers;2016;;;;;;;
677;C01 Delphastus pusillus;Cucumbers;2020;;;;;;;
678;C01 Delphastus pusillus;Peppers (total);2012;;;;;;;
679;C01 Delphastus pusillus;Peppers (total);2016;;;;;;;
680;C01 Delphastus pusillus;Peppers (total);2020;;;;;;;
681;C01 Delphastus pusillus;Pot plants for flowering;2012;;;;;;;
682;C01 Delphastus pusillus;Pot plants for flowering;2016;;;;;;;
683;C01 Delphastus pusillus;Pot plants for flowering;2020;;;;;;;
684;C01 Delphastus pusillus;Roses under glass;2012;26.0;13.8;75.0;18.5;351.0;1.0;5.0
685;C01 Delphastus pusillus;Roses under glass;2016;;;;;;;
686;C01 Delphastus pusillus;Roses under glass;2020;;;;;;;
687;C01 Delphastus pusillus;Tomatoes (total);2012;;;;;;;
688;C01 Delphastus pusillus;Tomatoes (total);2016;;;;;;;
689;C01 Delphastus pusillus;Tomatoes (total);2020;;;;;;;
690;C02 Macrolophus pygmaeus;Total crops/cultivation sectors;2012;;;1856.0;29.2;21166.0;3.0;11.0
691;C02 Macrolophus pygmaeus;Total crops/cultivation sectors;2016;;;1805.0;29.7;29029.0;5.0;16.0
692;C02 Macrolophus pygmaeus;Total crops/cultivation sectors;2020;;;2475.0;36.7;41301.0;6.0;17.0
693;C02 Macrolophus pygmaeus;Strawberries, under glass;2012;;;;;;;
694;C02 Macrolophus pygmaeus;Strawberries, under glass;2016;;;;;;;
695;C02 Macrolophus pygmaeus;Strawberries, under glass;2020;2.0;0.8;2.0;0.4;11.0;0.0;6.0
696;C02 Macrolophus pygmaeus;Foliage plants under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
697;C02 Macrolophus pygmaeus;Foliage plants under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
698;C02 Macrolophus pygmaeus;Foliage plants under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
699;C02 Macrolophus pygmaeus;Chrysantinum under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
700;C02 Macrolophus pygmaeus;Chrysantinum under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
701;C02 Macrolophus pygmaeus;Chrysantinum under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
702;C02 Macrolophus pygmaeus;Gerberas under glass;2012;;;;;;;
703;C02 Macrolophus pygmaeus;Gerberas under glass;2016;;;;;;;
704;C02 Macrolophus pygmaeus;Gerberas under glass;2020;2.0;3.3;8.0;4.6;81.0;0.0;11.0
705;C02 Macrolophus pygmaeus;Cucumbers;2012;;;;;;;
706;C02 Macrolophus pygmaeus;Cucumbers;2016;;;;;;;
707;C02 Macrolophus pygmaeus;Cucumbers;2020;2.0;1.0;1.0;0.2;1.0;0.0;1.0
708;C02 Macrolophus pygmaeus;Peppers (total);2012;45.0;15.7;266.0;20.2;1009.0;1.0;4.0
709;C02 Macrolophus pygmaeus;Peppers (total);2016;40.0;15.9;257.0;19.5;1212.0;1.0;5.0
710;C02 Macrolophus pygmaeus;Peppers (total);2020;84.0;33.1;718.0;46.9;5155.0;3.0;7.0
711;C02 Macrolophus pygmaeus;Pot plants for flowering;2012;;;;;;;
712;C02 Macrolophus pygmaeus;Pot plants for flowering;2016;;;;;;;
713;C02 Macrolophus pygmaeus;Pot plants for flowering;2020;6.0;1.5;11.0;1.1;380.0;0.0;35.0
714;C02 Macrolophus pygmaeus;Roses under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
715;C02 Macrolophus pygmaeus;Roses under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
716;C02 Macrolophus pygmaeus;Roses under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
717;C02 Macrolophus pygmaeus;Tomatoes (total);2012;299.0;90.3;1567.0;92.6;17616.0;10.0;11.0
718;C02 Macrolophus pygmaeus;Tomatoes (total);2016;241.0;87.8;1495.0;87.7;20612.0;12.0;14.0
719;C02 Macrolophus pygmaeus;Tomatoes (total);2020;213.0;80.9;1735.0;92.7;35672.0;19.0;21.0
720;C03 Orius laevigatus;Total crops/cultivation sectors;2012;;;1187.0;18.7;11687.0;2.0;10.0
721;C03 Orius laevigatus;Total crops/cultivation sectors;2016;;;1181.0;19.5;25347.0;4.0;21.0
722;C03 Orius laevigatus;Total crops/cultivation sectors;2020;;;1678.0;24.9;85478.0;13.0;51.0
723;C03 Orius laevigatus;Strawberries, under glass;2012;;;;;;;
724;C03 Orius laevigatus;Strawberries, under glass;2016;;;;;;;
725;C03 Orius laevigatus;Strawberries, under glass;2020;22.0;9.1;40.0;7.9;1228.0;2.0;31.0
726;C03 Orius laevigatus;Foliage plants under glass;2012;;;;;;;
727;C03 Orius laevigatus;Foliage plants under glass;2016;;;;;;;
728;C03 Orius laevigatus;Foliage plants under glass;2020;10.0;4.3;21.0;4.6;1112.0;2.0;53.0
729;C03 Orius laevigatus;Chrysantinum under glass;2012;;;;;;;
730;C03 Orius laevigatus;Chrysantinum under glass;2016;;;;;;;
731;C03 Orius laevigatus;Chrysantinum under glass;2020;10.0;8.4;39.0;8.7;15015.0;34.0;388.0
732;C03 Orius laevigatus;Gerberas under glass;2012;;;;;;;
733;C03 Orius laevigatus;Gerberas under glass;2016;;;;;;;
734;C03 Orius laevigatus;Gerberas under glass;2020;6.0;13.6;26.0;16.0;117.0;1.0;4.0
735;C03 Orius laevigatus;Cucumbers;2012;18.0;7.1;50.0;8.0;665.0;1.0;13.0
736;C03 Orius laevigatus;Cucumbers;2016;;;;;;;
737;C03 Orius laevigatus;Cucumbers;2020;6.0;2.8;17.0;2.8;266.0;0.0;16.0
738;C03 Orius laevigatus;Peppers (total);2012;220.0;76.6;1059.0;80.6;10678.0;8.0;10.0
739;C03 Orius laevigatus;Peppers (total);2016;201.0;79.6;1033.0;78.4;24703.0;19.0;24.0
740;C03 Orius laevigatus;Peppers (total);2020;219.0;86.4;1448.0;94.5;66357.0;43.0;46.0
741;C03 Orius laevigatus;Pot plants for flowering;2012;;;;;;;
742;C03 Orius laevigatus;Pot plants for flowering;2016;;;;;;;
743;C03 Orius laevigatus;Pot plants for flowering;2020;22.0;5.5;87.0;9.1;1374.0;1.0;16.0
744;C03 Orius laevigatus;Roses under glass;2012;;;;;;;
745;C03 Orius laevigatus;Roses under glass;2016;;;;;;;
746;C03 Orius laevigatus;Roses under glass;2020;2.0;3.3;0.0;0.1;9.0;0.0;38.0
747;C03 Orius laevigatus;Tomatoes (total);2012;0.0;0.0;0.0;0.0;0.0;0.0;
748;C03 Orius laevigatus;Tomatoes (total);2016;0.0;0.0;0.0;0.0;0.0;0.0;
749;C03 Orius laevigatus;Tomatoes (total);2020;0.0;0.0;0.0;0.0;0.0;0.0;
750;C99 Pred.bug,beetle, lacew, hover, other;Total crops/cultivation sectors;2012;;;673.0;10.6;9691.0;2.0;14.0
751;C99 Pred.bug,beetle, lacew, hover, other;Total crops/cultivation sectors;2016;;;851.0;14.0;16812.0;3.0;20.0
752;C99 Pred.bug,beetle, lacew, hover, other;Total crops/cultivation sectors;2020;;;1100.0;16.3;38055.0;6.0;35.0
753;C99 Pred.bug,beetle, lacew, hover, other;Strawberries, under glass;2012;;;;;;;
754;C99 Pred.bug,beetle, lacew, hover, other;Strawberries, under glass;2016;;;;;;;
755;C99 Pred.bug,beetle, lacew, hover, other;Strawberries, under glass;2020;23.0;9.7;86.0;17.1;530.0;1.0;6.0
756;C99 Pred.bug,beetle, lacew, hover, other;Foliage plants under glass;2012;;;;;;;
757;C99 Pred.bug,beetle, lacew, hover, other;Foliage plants under glass;2016;29.0;11.9;66.0;16.8;924.0;2.0;14.0
758;C99 Pred.bug,beetle, lacew, hover, other;Foliage plants under glass;2020;47.0;19.5;127.0;27.5;16014.0;35.0;127.0
759;C99 Pred.bug,beetle, lacew, hover, other;Chrysantinum under glass;2012;37.0;19.0;140.0;27.8;945.0;2.0;7.0
760;C99 Pred.bug,beetle, lacew, hover, other;Chrysantinum under glass;2016;;;;;;;
761;C99 Pred.bug,beetle, lacew, hover, other;Chrysantinum under glass;2020;2.0;1.7;8.0;1.7;3237.0;7.0;418.0
762;C99 Pred.bug,beetle, lacew, hover, other;Gerberas under glass;2012;10.0;15.3;27.0;16.0;1532.0;9.0;56.0
763;C99 Pred.bug,beetle, lacew, hover, other;Gerberas under glass;2016;13.0;23.7;39.0;21.0;427.0;2.0;11.0
764;C99 Pred.bug,beetle, lacew, hover, other;Gerberas under glass;2020;11.0;23.2;50.0;30.3;631.0;4.0;13.0
765;C99 Pred.bug,beetle, lacew, hover, other;Cucumbers;2012;;;;;;;
766;C99 Pred.bug,beetle, lacew, hover, other;Cucumbers;2016;;;;;;;
767;C99 Pred.bug,beetle, lacew, hover, other;Cucumbers;2020;14.0;6.7;34.0;5.7;2154.0;4.0;63.0
768;C99 Pred.bug,beetle, lacew, hover, other;Peppers (total);2012;59.0;20.6;323.0;24.6;3613.0;3.0;11.0
769;C99 Pred.bug,beetle, lacew, hover, other;Peppers (total);2016;71.0;28.2;400.0;30.4;3843.0;3.0;10.0
770;C99 Pred.bug,beetle, lacew, hover, other;Peppers (total);2020;62.0;24.3;432.0;28.2;4437.0;3.0;10.0
771;C99 Pred.bug,beetle, lacew, hover, other;Pot plants for flowering;2012;;;;;;;
772;C99 Pred.bug,beetle, lacew, hover, other;Pot plants for flowering;2016;52.0;13.3;180.0;19.3;4884.0;5.0;27.0
773;C99 Pred.bug,beetle, lacew, hover, other;Pot plants for flowering;2020;59.0;14.6;230.0;24.0;9495.0;10.0;41.0
774;C99 Pred.bug,beetle, lacew, hover, other;Roses under glass;2012;24.0;12.8;60.0;14.6;313.0;1.0;5.0
775;C99 Pred.bug,beetle, lacew, hover, other;Roses under glass;2016;14.0;13.5;44.0;17.1;4478.0;17.0;102.0
776;C99 Pred.bug,beetle, lacew, hover, other;Roses under glass;2020;22.0;36.6;114.0;55.8;520.0;3.0;5.0
777;C99 Pred.bug,beetle, lacew, hover, other;Tomatoes (total);2012;;;;;;;
778;C99 Pred.bug,beetle, lacew, hover, other;Tomatoes (total);2016;;;;;;;
779;C99 Pred.bug,beetle, lacew, hover, other;Tomatoes (total);2020;2.0;0.8;20.0;1.1;1037.0;1.0;51.0
780;D Nematode total;Total crops/cultivation sectors;2012;;;501.0;7.9;;;
781;D Nematode total;Total crops/cultivation sectors;2016;;;827.0;13.6;;;
782;D Nematode total;Total crops/cultivation sectors;2020;;;583.0;8.7;5202210319.0;772413.0;8924155.0
783;D Nematode total;Strawberries, under glass;2012;;;;;;;
784;D Nematode total;Strawberries, under glass;2016;;;;;;;
785;D Nematode total;Strawberries, under glass;2020;6.0;2.5;7.0;1.4;469454.0;931.0;65463.0
786;D Nematode total;Foliage plants under glass;2012;39.0;12.4;125.0;25.9;;;
787;D Nematode total;Foliage plants under glass;2016;72.0;29.8;182.0;46.4;;;
788;D Nematode total;Foliage plants under glass;2020;75.0;30.9;188.0;40.9;1584595563.0;3446160.0;8429873.0
789;D Nematode total;Chrysantinum under glass;2012;24.0;12.2;80.0;15.8;;;
790;D Nematode total;Chrysantinum under glass;2016;54.0;47.6;223.0;58.3;;;
791;D Nematode total;Chrysantinum under glass;2020;11.0;9.3;56.0;12.7;220632221.0;495625.0;3906807.0
792;D Nematode total;Gerberas under glass;2012;;;;;;;
793;D Nematode total;Gerberas under glass;2016;;;;;;;
794;D Nematode total;Gerberas under glass;2020;3.0;6.3;18.0;10.9;129365937.0;787176.0;7209446.0
795;D Nematode total;Cucumbers;2012;;;;;;;
796;D Nematode total;Cucumbers;2016;;;;;;;
797;D Nematode total;Cucumbers;2020;;;;;;;
798;D Nematode total;Peppers (total);2012;;;;;;;
799;D Nematode total;Peppers (total);2016;;;;;;;
800;D Nematode total;Peppers (total);2020;8.0;3.2;24.0;1.6;98238195.0;64117.0;4093073.0
801;D Nematode total;Pot plants for flowering;2012;92.0;19.9;228.0;26.3;;;
802;D Nematode total;Pot plants for flowering;2016;134.0;34.2;337.0;36.0;;;
803;D Nematode total;Pot plants for flowering;2020;86.0;21.2;282.0;29.4;3091007229.0;3225713.0;10953810.0
804;D Nematode total;Roses under glass;2012;;;;;;;
805;D Nematode total;Roses under glass;2016;;;;;;;
806;D Nematode total;Roses under glass;2020;4.0;6.4;7.0;3.5;77901720.0;381367.0;10840319.0
807;D Nematode total;Tomatoes (total);2012;;;;;;;
808;D Nematode total;Tomatoes (total);2016;;;;;;;
809;D Nematode total;Tomatoes (total);2020;;;;;;;
810;D01 Steinernema carpocapsae;Total crops/cultivation sectors;2012;;;;;;;
811;D01 Steinernema carpocapsae;Total crops/cultivation sectors;2016;;;171.0;2.8;;;
812;D01 Steinernema carpocapsae;Total crops/cultivation sectors;2020;;;248.0;3.7;1470044836.0;218269.0;5929493.0
813;D01 Steinernema carpocapsae;Strawberries, under glass;2012;;;;;;;
814;D01 Steinernema carpocapsae;Strawberries, under glass;2016;;;;;;;
815;D01 Steinernema carpocapsae;Strawberries, under glass;2020;2.0;0.8;3.0;0.7;30104.0;60.0;9146.0
816;D01 Steinernema carpocapsae;Foliage plants under glass;2012;;;;;;;
