ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
4408;Total male and female ;Total;Iraqi;2017 December;75;50;25;55
4409;Total male and female ;Total;Iraqi;2017 4th Quarter;255;190;65;150
4410;Total male and female ;Total;Iraqi;2017;1095;845;250;445
4411;Total male and female ;Total;Iraqi;2018 January;95;70;25;20
4412;Total male and female ;Total;Iraqi;2018 February;85;45;35;45
4413;Total male and female ;Total;Iraqi;2018 March;85;45;40;35
4414;Total male and female ;Total;Iraqi;2018 1st Quarter;265;160;105;95
4415;Total male and female ;Total;Iraqi;2018 April;80;50;30;10
4416;Total male and female ;Total;Iraqi;2018 May;85;65;20;15
4417;Total male and female ;Total;Iraqi;2018 June;70;45;25;20
4418;Total male and female ;Total;Iraqi;2018 2nd Quarter;235;160;75;50
4419;Total male and female ;Total;Iraqi;2018 July;125;50;75;25
4420;Total male and female ;Total;Iraqi;2018 August;180;55;125;5
4421;Total male and female ;Total;Iraqi;2018 September;190;80;110;0
4422;Total male and female ;Total;Iraqi;2018 3rd Quarter;495;185;310;35
4423;Total male and female ;Total;Iraqi;2018 October;150;95;55;5
4424;Total male and female ;Total;Iraqi;2018 November;150;85;65;10
4425;Total male and female ;Total;Iraqi;2018 December;110;60;50;5
4426;Total male and female ;Total;Iraqi;2018 4th Quarter;410;240;170;15
4427;Total male and female ;Total;Iraqi;2018;1400;745;660;195
4428;Total male and female ;Total;Iraqi;2019 January;90;55;30;5
4429;Total male and female ;Total;Iraqi;2019 February;100;55;40;0
4430;Total male and female ;Total;Iraqi;2019 March;85;45;45;5
4431;Total male and female ;Total;Iraqi;2019 1st Quarter;275;155;120;15
4432;Total male and female ;Total;Iraqi;2019 April;85;50;30;5
4433;Total male and female ;Total;Iraqi;2019 May;80;55;25;10
4434;Total male and female ;Total;Iraqi;2019 June;90;55;30;20
4435;Total male and female ;Total;Iraqi;2019 2nd Quarter;255;160;90;35
4436;Total male and female ;Total;Iraqi;2019 July;80;70;10;5
4437;Total male and female ;Total;Iraqi;2019 August;50;35;15;5
4438;Total male and female ;Total;Iraqi;2019 September;70;50;20;5
4439;Total male and female ;Total;Iraqi;2019 3rd Quarter;200;150;50;15
4440;Total male and female ;Total;Iraqi;2019 October;50;40;10;5
4441;Total male and female ;Total;Iraqi;2019 November;75;55;20;5
4442;Total male and female ;Total;Iraqi;2019 December;70;55;15;15
4443;Total male and female ;Total;Iraqi;2019 4th Quarter;195;150;45;25
4444;Total male and female ;Total;Iraqi;2019;925;620;305;90
4445;Total male and female ;Total;Iraqi;2020 January;75;60;10;0
4446;Total male and female ;Total;Iraqi;2020 February;45;30;15;5
4447;Total male and female ;Total;Iraqi;2020 March;25;20;10;0
4448;Total male and female ;Total;Iraqi;2020 1st Quarter;145;110;35;10
4449;Total male and female ;Total;Iraqi;2020 April;15;15;0;0
4450;Total male and female ;Total;Iraqi;2020 May;15;10;5;0
4451;Total male and female ;Total;Iraqi;2020 June;60;20;40;0
4452;Total male and female ;Total;Iraqi;2020 2nd Quarter;90;45;45;0
4453;Total male and female ;Total;Iraqi;2020 July;65;35;30;5
4454;Total male and female ;Total;Iraqi;2020 August;40;25;15;5
4455;Total male and female ;Total;Iraqi;2020 September;50;30;20;15
4456;Total male and female ;Total;Iraqi;2020 3rd Quarter;155;90;65;25
4457;Total male and female ;Total;Iraqi;2020 October;50;35;10;20
4458;Total male and female ;Total;Iraqi;2020 November;40;30;10;20
4459;Total male and female ;Total;Iraqi;2020 December;35;25;10;30
4460;Total male and female ;Total;Iraqi;2020 4th Quarter;120;90;30;70
4461;Total male and female ;Total;Iraqi;2020;510;335;175;110
4462;Total male and female ;Total;Iraqi;2021 January;50;35;15;15
4463;Total male and female ;Total;Iraqi;2021 February;20;15;5;35
4464;Total male and female ;Total;Iraqi;2021 March;30;20;10;15
4465;Total male and female ;Total;Iraqi;2021 1st Quarter;100;70;30;60
4466;Total male and female ;Total;Iraqi;2021 April;25;20;5;25
4467;Total male and female ;Total;Iraqi;2021 May;15;10;5;35
4468;Total male and female ;Total;Iraqi;2021 June;35;30;5;30
4469;Total male and female ;Total;Iraqi;2021 2nd Quarter;80;60;20;90
4470;Total male and female ;Total;Iraqi;2021 July;45;40;10;20
4471;Total male and female ;Total;Iraqi;2021 August;35;30;5;25
4472;Total male and female ;Total;Iraqi;2021 September;75;65;10;10
4473;Total male and female ;Total;Iraqi;2021 3rd Quarter;155;130;25;60
4474;Total male and female ;Total;Iraqi;2021 October;225;205;15;25
4475;Total male and female ;Total;Iraqi;2021 November;205;185;15;10
4476;Total male and female ;Total;Iraqi;2021 December;110;90;15;20
4477;Total male and female ;Total;Iraqi;2021 4th Quarter;535;485;50;55
4478;Total male and female ;Total;Iraqi;2021;870;745;120;265
4479;Total male and female ;Total;Iraqi;2022 January;50;45;5;10
4480;Total male and female ;Total;Iraqi;2022 February;45;30;15;10
4481;Total male and female ;Total;Iraqi;2022 March;70;60;10;25
4482;Total male and female ;Total;Iraqi;2022 1st Quarter;165;135;30;45
4483;Total male and female ;Total;Iraqi;2022 April;80;60;20;10
4484;Total male and female ;Total;Iraqi;2022 May;35;25;10;0
4485;Total male and female ;Total;Iraqi;2022 June;45;30;15;15
4486;Total male and female ;Total;Iraqi;2022 2nd Quarter;160;110;50;25
4487;Total male and female ;Total;Iraqi;2022 July;55;45;15;10
4488;Total male and female ;Total;Iraqi;2022 August;60;55;5;10
4489;Total male and female ;Total;Iraqi;2022 September;75;65;10;10
4490;Total male and female ;Total;Iraqi;2022 3th Quarter;195;165;30;30
4491;Total male and female ;Total;Iraqi;2022 October;95;85;10;10
4492;Total male and female ;Total;Iraqi;2022 November ;65;60;5;0
4493;Total male and female ;Total;Iraqi;2022 December;120;115;5;20
4494;Total male and female ;Total;Iraqi;2022 4th Quarter;280;260;20;30
4495;Total male and female ;Total;Iraqi;2022;805;670;130;130
4496;Total male and female ;Total;Iraqi;2023 January;75;65;10;10
4497;Total male and female ;Total;Iraqi;2023 February;70;65;0;30
4498;Total male and female ;Total;Iraqi;2023 March;70;55;15;40
4499;Total male and female ;Total;Iraqi;2023 1st Quarter;215;185;30;75
4500;Total male and female ;Total;Iraqi;2023 April;200;195;5;20
4501;Total male and female ;Total;Iraqi;2023 May;145;135;10;15
4502;Total male and female ;Total;Iraqi;2023 June;95;80;15;30
4503;Total male and female ;Total;Iraqi;2023 2nd Quarter;435;410;25;65
4504;Total male and female ;Total;Iraqi;2023 July;115;110;5;5
4505;Total male and female ;Total;Iraqi;2023 August;65;40;20;25
4506;Total male and female ;Total;Iraqi;2023 September;100;90;10;10
4507;Total male and female ;Total;Iraqi;2023 3rd Quarter;280;240;35;40
4508;Total male and female ;Total;Iraqi;2023 October;95;95;0;35
4509;Total male and female ;Total;Iraqi;2023 November;170;165;10;15
4510;Total male and female ;Total;Iraqi;2023 December;405;400;5;25
4511;Total male and female ;Total;Iraqi;2023 4th Quarter;675;660;15;75
4512;Total male and female ;Total;Iraqi;2023;1600;1495;105;255
4513;Total male and female ;Total;Iraqi;2024 January;215;210;5;20
4514;Total male and female ;Total;Iraqi;2024 February;410;400;10;30
4515;Total male and female ;Total;Iraqi;2024 March;585;575;5;30
4516;Total male and female ;Total;Iraqi;2024 1st Quarter;1210;1185;20;85
4517;Total male and female ;Total;Iraqi;2024 April;455;450;5;55
4518;Total male and female ;Total;Iraqi;2024 May;150;140;15;55
4519;Total male and female ;Total;Iraqi;2024 June;95;85;10;25
4520;Total male and female ;Total;Iraqi;2024 2nd Quarter;700;675;25;135
4521;Total male and female ;Total;Iraqi;2024 July;95;85;10;30
4522;Total male and female ;Total;Iraqi;2024 August;80;80;0;25
4523;Total male and female ;Total;Iraqi;2024 September;45;40;10;25
4524;Total male and female ;Total;Iraqi;2024 3rd Quarter;220;200;20;85
4525;Total male and female ;Total;Iraqi;2024 October;40;35;5;45
4526;Total male and female ;Total;Iraqi;2024 November;70;65;5;25
4527;Total male and female ;Total;Iraqi;2024 December;65;60;5;20
4528;Total male and female ;Total;Iraqi;2024 4th Quarter;175;160;15;95
4529;Total male and female ;Total;Iraqi;2024;2305;2220;85;395
4530;Total male and female ;Total;Iraqi;2025 January;45;40;5;15
4531;Total male and female ;Total;Iraqi;2025 February;40;35;0;20
4532;Total male and female ;Total;Iranian;2013 January;115;65;55;10
4533;Total male and female ;Total;Iranian;2013 February;100;65;35;10
4534;Total male and female ;Total;Iranian;2013 March;85;45;40;0
4535;Total male and female ;Total;Iranian;2013 1st Quarter;300;175;130;20
4536;Total male and female ;Total;Iranian;2013 April;100;70;35;5
4537;Total male and female ;Total;Iranian;2013 May;70;40;30;5
4538;Total male and female ;Total;Iranian;2013 June;85;50;35;0
4539;Total male and female ;Total;Iranian;2013 2nd Quarter;255;155;100;10
4540;Total male and female ;Total;Iranian;2013 July;95;50;40;0
4541;Total male and female ;Total;Iranian;2013 August;85;45;40;5
4542;Total male and female ;Total;Iranian;2013 September;85;50;35;15
4543;Total male and female ;Total;Iranian;2013 3rd Quarter;260;145;115;15
4544;Total male and female ;Total;Iranian;2013 October;75;50;30;5
4545;Total male and female ;Total;Iranian;2013 November;70;40;30;10
4546;Total male and female ;Total;Iranian;2013 December;55;35;20;0
4547;Total male and female ;Total;Iranian;2013 4th Quarter;200;125;80;15
4548;Total male and female ;Total;Iranian;2013;1020;595;420;60
4549;Total male and female ;Total;Iranian;2014 January;65;55;10;5
4550;Total male and female ;Total;Iranian;2014 February;65;55;10;10
4551;Total male and female ;Total;Iranian;2014 March;55;30;20;5
4552;Total male and female ;Total;Iranian;2014 1st Quarter;185;140;40;20
4553;Total male and female ;Total;Iranian;2014 April;50;40;10;5
4554;Total male and female ;Total;Iranian;2014 May;60;40;25;5
4555;Total male and female ;Total;Iranian;2014 June;50;30;20;10
4556;Total male and female ;Total;Iranian;2014 2nd Quarter;165;110;50;20
4557;Total male and female ;Total;Iranian;2014 July;60;40;20;5
4558;Total male and female ;Total;Iranian;2014 August;55;40;10;10
4559;Total male and female ;Total;Iranian;2014 September;55;45;10;10
4560;Total male and female ;Total;Iranian;2014 3rd Quarter;170;130;40;20
4561;Total male and female ;Total;Iranian;2014 October;50;35;15;0
4562;Total male and female ;Total;Iranian;2014 November;40;35;5;10
4563;Total male and female ;Total;Iranian;2014 December;60;50;10;10
4564;Total male and female ;Total;Iranian;2014 4th Quarter;150;125;25;15
4565;Total male and female ;Total;Iranian;2014;665;505;160;80
4566;Total male and female ;Total;Iranian;2015 January;45;35;10;5
4567;Total male and female ;Total;Iranian;2015 February;55;40;20;5
4568;Total male and female ;Total;Iranian;2015 March;35;25;10;5
4569;Total male and female ;Total;Iranian;2015 1st Quarter;135;100;40;15
4570;Total male and female ;Total;Iranian;2015 April;30;25;10;5
4571;Total male and female ;Total;Iranian;2015 May;35;30;5;5
4572;Total male and female ;Total;Iranian;2015 June;45;30;10;0
4573;Total male and female ;Total;Iranian;2015 2nd Quarter;115;85;30;10
4574;Total male and female ;Total;Iranian;2015 July;55;45;10;0
4575;Total male and female ;Total;Iranian;2015 August;70;60;10;10
4576;Total male and female ;Total;Iranian;2015 September;105;85;20;5
4577;Total male and female ;Total;Iranian;2015 3rd Quarter;235;195;40;20
4578;Total male and female ;Total;Iranian;2015 October;420;415;10;5
4579;Total male and female ;Total;Iranian;2015 November;735;720;15;0
4580;Total male and female ;Total;Iranian;2015 December;385;375;10;5
4581;Total male and female ;Total;Iranian;2015 4th Quarter;1540;1510;30;10
4582;Total male and female ;Total;Iranian;2015;2025;1885;140;50
4583;Total male and female ;Total;Iranian;2016 January;220;215;5;10
4584;Total male and female ;Total;Iranian;2016 February;140;130;10;5
4585;Total male and female ;Total;Iranian;2016 March;75;75;5;10
4586;Total male and female ;Total;Iranian;2016 1st Quarter;435;415;20;25
4587;Total male and female ;Total;Iranian;2016 April;75;65;10;5
4588;Total male and female ;Total;Iranian;2016 May;55;45;10;0
4589;Total male and female ;Total;Iranian;2016 June;55;50;5;0
4590;Total male and female ;Total;Iranian;2016 2nd Quarter;180;160;20;10
4591;Total male and female ;Total;Iranian;2016 July;50;35;15;0
4592;Total male and female ;Total;Iranian;2016 August;70;60;10;0
4593;Total male and female ;Total;Iranian;2016 September;80;65;15;5
4594;Total male and female ;Total;Iranian;2016 3rd Quarter;200;160;35;5
4595;Total male and female ;Total;Iranian;2016 October;70;60;10;5
4596;Total male and female ;Total;Iranian;2016 November;65;55;10;0
4597;Total male and female ;Total;Iranian;2016 December;45;30;10;0
4598;Total male and female ;Total;Iranian;2016 4th Quarter;175;145;35;5
4599;Total male and female ;Total;Iranian;2016;995;885;110;45
4600;Total male and female ;Total;Iranian;2017 January;55;50;5;5
4601;Total male and female ;Total;Iranian;2017 February;45;35;10;0
4602;Total male and female ;Total;Iranian;2017 March;60;45;15;5
4603;Total male and female ;Total;Iranian;2017 1st Quarter;160;130;30;15
4604;Total male and female ;Total;Iranian;2017 April;50;45;5;5
4605;Total male and female ;Total;Iranian;2017 May;60;50;15;10
4606;Total male and female ;Total;Iranian;2017 June;75;65;10;5
4607;Total male and female ;Total;Iranian;2017 2nd Quarter;185;155;30;20
4608;Total male and female ;Total;Iranian;2017 July;90;75;15;10
4609;Total male and female ;Total;Iranian;2017 August;85;75;10;5
4610;Total male and female ;Total;Iranian;2017 September;80;65;15;5
4611;Total male and female ;Total;Iranian;2017 3rd Quarter;255;215;40;20
4612;Total male and female ;Total;Iranian;2017 October;80;65;15;15
4613;Total male and female ;Total;Iranian;2017 November;120;85;35;30
4614;Total male and female ;Total;Iranian;2017 December;95;70;25;20
4615;Total male and female ;Total;Iranian;2017 4th Quarter;295;220;75;70
4616;Total male and female ;Total;Iranian;2017;895;720;175;120
4617;Total male and female ;Total;Iranian;2018 January;115;90;25;20
4618;Total male and female ;Total;Iranian;2018 February;90;70;20;5
4619;Total male and female ;Total;Iranian;2018 March;100;70;30;25
4620;Total male and female ;Total;Iranian;2018 1st Quarter;305;230;75;55
4621;Total male and female ;Total;Iranian;2018 April;135;105;30;15
4622;Total male and female ;Total;Iranian;2018 May;125;85;40;10
4623;Total male and female ;Total;Iranian;2018 June;110;85;25;5
4624;Total male and female ;Total;Iranian;2018 2nd Quarter;370;275;95;30
4625;Total male and female ;Total;Iranian;2018 July;215;165;50;5
4626;Total male and female ;Total;Iranian;2018 August;245;200;50;10
4627;Total male and female ;Total;Iranian;2018 September;355;315;35;10
4628;Total male and female ;Total;Iranian;2018 3rd Quarter;815;680;135;30
4629;Total male and female ;Total;Iranian;2018 October;365;320;45;0
4630;Total male and female ;Total;Iranian;2018 November;255;215;40;5
4631;Total male and female ;Total;Iranian;2018 December;190;150;40;5
4632;Total male and female ;Total;Iranian;2018 4th Quarter;810;685;125;10
4633;Total male and female ;Total;Iranian;2018;2300;1870;430;120
4634;Total male and female ;Total;Iranian;2019 January;180;155;25;5
4635;Total male and female ;Total;Iranian;2019 February;200;165;35;5
4636;Total male and female ;Total;Iranian;2019 March;180;150;30;5
4637;Total male and female ;Total;Iranian;2019 1st Quarter;560;470;90;15
4638;Total male and female ;Total;Iranian;2019 April;220;185;30;0
4639;Total male and female ;Total;Iranian;2019 May;180;145;35;5
4640;Total male and female ;Total;Iranian;2019 June;155;135;20;5
4641;Total male and female ;Total;Iranian;2019 2nd Quarter;555;465;85;10
4642;Total male and female ;Total;Iranian;2019 July;120;105;15;10
4643;Total male and female ;Total;Iranian;2019 August;140;130;5;5
4644;Total male and female ;Total;Iranian;2019 September;125;105;15;0
4645;Total male and female ;Total;Iranian;2019 3rd Quarter;385;345;40;20
4646;Total male and female ;Total;Iranian;2019 October;125;105;20;0
4647;Total male and female ;Total;Iranian;2019 November;95;85;10;5
4648;Total male and female ;Total;Iranian;2019 December;80;65;15;10
4649;Total male and female ;Total;Iranian;2019 4th Quarter;295;255;45;15
4650;Total male and female ;Total;Iranian;2019;1795;1535;260;60
4651;Total male and female ;Total;Iranian;2020 January;105;85;20;5
4652;Total male and female ;Total;Iranian;2020 February;75;60;20;5
4653;Total male and female ;Total;Iranian;2020 March;25;20;5;5
4654;Total male and female ;Total;Iranian;2020 1st Quarter;210;165;45;10
4655;Total male and female ;Total;Iranian;2020 April;30;25;5;0
4656;Total male and female ;Total;Iranian;2020 May;20;15;5;0
4657;Total male and female ;Total;Iranian;2020 June;40;20;20;0
4658;Total male and female ;Total;Iranian;2020 2nd Quarter;90;65;30;0
4659;Total male and female ;Total;Iranian;2020 July;55;30;25;0
4660;Total male and female ;Total;Iranian;2020 August;40;30;10;0
4661;Total male and female ;Total;Iranian;2020 September;45;25;20;0
4662;Total male and female ;Total;Iranian;2020 3rd Quarter;140;85;55;0
4663;Total male and female ;Total;Iranian;2020 October;35;20;15;5
4664;Total male and female ;Total;Iranian;2020 November;45;25;25;10
4665;Total male and female ;Total;Iranian;2020 December;25;10;20;20
4666;Total male and female ;Total;Iranian;2020 4th Quarter;110;55;55;35
4667;Total male and female ;Total;Iranian;2020;550;370;180;50
4668;Total male and female ;Total;Iranian;2021 January;25;15;10;15
4669;Total male and female ;Total;Iranian;2021 February;25;10;15;0
4670;Total male and female ;Total;Iranian;2021 March;30;15;15;30
4671;Total male and female ;Total;Iranian;2021 1st Quarter;80;40;40;45
4672;Total male and female ;Total;Iranian;2021 April;30;10;20;15
4673;Total male and female ;Total;Iranian;2021 May;45;20;30;10
4674;Total male and female ;Total;Iranian;2021 June;30;15;15;5
4675;Total male and female ;Total;Iranian;2021 2nd Quarter;110;45;65;25
4676;Total male and female ;Total;Iranian;2021 July;55;25;30;5
4677;Total male and female ;Total;Iranian;2021 August;45;30;10;5
4678;Total male and female ;Total;Iranian;2021 September;55;35;15;5
4679;Total male and female ;Total;Iranian;2021 3rd Quarter;155;95;60;10
4680;Total male and female ;Total;Iranian;2021 October;45;25;20;10
4681;Total male and female ;Total;Iranian;2021 November;55;35;20;15
4682;Total male and female ;Total;Iranian;2021 December;45;30;10;20
4683;Total male and female ;Total;Iranian;2021 4th Quarter;140;90;55;40
4684;Total male and female ;Total;Iranian;2021;485;265;220;125
4685;Total male and female ;Total;Iranian;2022 January;50;35;15;5
4686;Total male and female ;Total;Iranian;2022 February;40;15;25;15
4687;Total male and female ;Total;Iranian;2022 March;40;30;10;30
4688;Total male and female ;Total;Iranian;2022 1st Quarter;130;85;50;50
4689;Total male and female ;Total;Iranian;2022 April;45;25;15;20
4690;Total male and female ;Total;Iranian;2022 May;60;35;25;25
4691;Total male and female ;Total;Iranian;2022 June;55;35;15;20
4692;Total male and female ;Total;Iranian;2022 2nd Quarter;155;100;60;65
4693;Total male and female ;Total;Iranian;2022 July;55;35;20;20
4694;Total male and female ;Total;Iranian;2022 August;80;65;15;25
4695;Total male and female ;Total;Iranian;2022 September;110;105;5;20
4696;Total male and female ;Total;Iranian;2022 3th Quarter;250;210;40;65
4697;Total male and female ;Total;Iranian;2022 October;115;95;20;20
4698;Total male and female ;Total;Iranian;2022 November ;155;125;30;5
4699;Total male and female ;Total;Iranian;2022 December;110;90;25;10
4700;Total male and female ;Total;Iranian;2022 4th Quarter;385;310;70;35
4701;Total male and female ;Total;Iranian;2022;920;700;220;215
4702;Total male and female ;Total;Iranian;2023 January;155;140;15;5
4703;Total male and female ;Total;Iranian;2023 February;100;100;5;5
4704;Total male and female ;Total;Iranian;2023 March;135;115;20;5
4705;Total male and female ;Total;Iranian;2023 1st Quarter;390;355;40;15
4706;Total male and female ;Total;Iranian;2023 April;110;105;10;5
4707;Total male and female ;Total;Iranian;2023 May;115;105;5;5
4708;Total male and female ;Total;Iranian;2023 June;90;80;5;5
4709;Total male and female ;Total;Iranian;2023 2nd Quarter;315;290;20;10
4710;Total male and female ;Total;Iranian;2023 July;95;85;10;0
4711;Total male and female ;Total;Iranian;2023 August;55;50;5;0
4712;Total male and female ;Total;Iranian;2023 September;95;90;5;0
4713;Total male and female ;Total;Iranian;2023 3rd Quarter;245;225;20;5
4714;Total male and female ;Total;Iranian;2023 October;90;85;0;5
4715;Total male and female ;Total;Iranian;2023 November;75;70;5;5
4716;Total male and female ;Total;Iranian;2023 December;100;95;5;0
4717;Total male and female ;Total;Iranian;2023 4th Quarter;265;255;10;10
4718;Total male and female ;Total;Iranian;2023;1215;1120;95;40
4719;Total male and female ;Total;Iranian;2024 January;70;70;5;5
4720;Total male and female ;Total;Iranian;2024 February;60;60;0;5
4721;Total male and female ;Total;Iranian;2024 March;55;50;5;5
4722;Total male and female ;Total;Iranian;2024 1st Quarter;185;180;10;15
4723;Total male and female ;Total;Iranian;2024 April;75;75;0;10
4724;Total male and female ;Total;Iranian;2024 May;75;70;5;5
4725;Total male and female ;Total;Iranian;2024 June;50;50;0;5
4726;Total male and female ;Total;Iranian;2024 2nd Quarter;205;195;10;20
4727;Total male and female ;Total;Iranian;2024 July;60;60;0;0
4728;Total male and female ;Total;Iranian;2024 August;50;50;0;0
4729;Total male and female ;Total;Iranian;2024 September;85;85;0;10
4730;Total male and female ;Total;Iranian;2024 3rd Quarter;200;195;5;15
4731;Total male and female ;Total;Iranian;2024 October;60;55;5;0
4732;Total male and female ;Total;Iranian;2024 November;45;40;5;10
4733;Total male and female ;Total;Iranian;2024 December;50;40;5;10
4734;Total male and female ;Total;Iranian;2024 4th Quarter;155;135;20;20
4735;Total male and female ;Total;Iranian;2024;740;705;40;65
4736;Total male and female ;Total;Iranian;2025 January;45;40;5;10
4737;Total male and female ;Total;Iranian;2025 February;30;25;5;10
4738;Total male and female ;Total;Ivorian;2013 January;5;5;0;0
4739;Total male and female ;Total;Ivorian;2013 February;10;5;0;5
4740;Total male and female ;Total;Ivorian;2013 March;10;10;0;0
4741;Total male and female ;Total;Ivorian;2013 1st Quarter;25;20;5;5
4742;Total male and female ;Total;Ivorian;2013 April;0;0;0;0
4743;Total male and female ;Total;Ivorian;2013 May;5;5;0;0
4744;Total male and female ;Total;Ivorian;2013 June;5;0;0;0
4745;Total male and female ;Total;Ivorian;2013 2nd Quarter;10;5;0;0
4746;Total male and female ;Total;Ivorian;2013 July;0;0;0;0
4747;Total male and female ;Total;Ivorian;2013 August;5;0;0;0
4748;Total male and female ;Total;Ivorian;2013 September;5;0;0;5
4749;Total male and female ;Total;Ivorian;2013 3rd Quarter;10;5;5;5
4750;Total male and female ;Total;Ivorian;2013 October;5;5;0;5
4751;Total male and female ;Total;Ivorian;2013 November;5;0;0;0
4752;Total male and female ;Total;Ivorian;2013 December;5;5;0;0
4753;Total male and female ;Total;Ivorian;2013 4th Quarter;10;10;0;5
4754;Total male and female ;Total;Ivorian;2013;50;40;10;15
4755;Total male and female ;Total;Ivorian;2014 January;5;5;0;0
4756;Total male and female ;Total;Ivorian;2014 February;0;0;0;5
4757;Total male and female ;Total;Ivorian;2014 March;0;0;0;0
4758;Total male and female ;Total;Ivorian;2014 1st Quarter;10;5;5;5
4759;Total male and female ;Total;Ivorian;2014 April;0;0;0;5
4760;Total male and female ;Total;Ivorian;2014 May;0;0;0;0
4761;Total male and female ;Total;Ivorian;2014 June;5;5;5;0
4762;Total male and female ;Total;Ivorian;2014 2nd Quarter;10;5;5;5
4763;Total male and female ;Total;Ivorian;2014 July;0;0;0;0
4764;Total male and female ;Total;Ivorian;2014 August;5;0;0;0
4765;Total male and female ;Total;Ivorian;2014 September;5;5;0;5
4766;Total male and female ;Total;Ivorian;2014 3rd Quarter;10;5;0;5
4767;Total male and female ;Total;Ivorian;2014 October;0;0;0;5
4768;Total male and female ;Total;Ivorian;2014 November;5;0;0;0
4769;Total male and female ;Total;Ivorian;2014 December;0;0;0;5
4770;Total male and female ;Total;Ivorian;2014 4th Quarter;5;5;0;10
4771;Total male and female ;Total;Ivorian;2014;30;20;10;20
4772;Total male and female ;Total;Ivorian;2015 January;5;0;0;0
4773;Total male and female ;Total;Ivorian;2015 February;5;0;0;0
4774;Total male and female ;Total;Ivorian;2015 March;5;5;5;0
4775;Total male and female ;Total;Ivorian;2015 1st Quarter;10;5;5;0
4776;Total male and female ;Total;Ivorian;2015 April;5;0;0;0
4777;Total male and female ;Total;Ivorian;2015 May;5;0;0;0
4778;Total male and female ;Total;Ivorian;2015 June;5;0;0;0
4779;Total male and female ;Total;Ivorian;2015 2nd Quarter;10;5;5;0
4780;Total male and female ;Total;Ivorian;2015 July;5;0;0;0
4781;Total male and female ;Total;Ivorian;2015 August;0;0;0;0
4782;Total male and female ;Total;Ivorian;2015 September;0;0;0;0
4783;Total male and female ;Total;Ivorian;2015 3rd Quarter;5;5;5;0
4784;Total male and female ;Total;Ivorian;2015 October;0;0;0;0
4785;Total male and female ;Total;Ivorian;2015 November;0;0;0;0
4786;Total male and female ;Total;Ivorian;2015 December;0;0;0;0
4787;Total male and female ;Total;Ivorian;2015 4th Quarter;5;0;0;0
4788;Total male and female ;Total;Ivorian;2015;30;15;15;0
4789;Total male and female ;Total;Ivorian;2016 January;5;5;0;0
4790;Total male and female ;Total;Ivorian;2016 February;0;0;0;0
4791;Total male and female ;Total;Ivorian;2016 March;5;5;0;0
4792;Total male and female ;Total;Ivorian;2016 1st Quarter;10;10;0;0
4793;Total male and female ;Total;Ivorian;2016 April;5;0;0;0
4794;Total male and female ;Total;Ivorian;2016 May;0;0;0;0
4795;Total male and female ;Total;Ivorian;2016 June;0;0;0;0
4796;Total male and female ;Total;Ivorian;2016 2nd Quarter;5;5;0;0
4797;Total male and female ;Total;Ivorian;2016 July;5;5;0;0
4798;Total male and female ;Total;Ivorian;2016 August;5;0;0;0
4799;Total male and female ;Total;Ivorian;2016 September;5;5;0;0
4800;Total male and female ;Total;Ivorian;2016 3rd Quarter;10;5;5;0
4801;Total male and female ;Total;Ivorian;2016 October;5;5;0;0
4802;Total male and female ;Total;Ivorian;2016 November;5;5;5;0
4803;Total male and female ;Total;Ivorian;2016 December;5;5;0;0
4804;Total male and female ;Total;Ivorian;2016 4th Quarter;15;10;5;0
4805;Total male and female ;Total;Ivorian;2016;40;30;10;0
4806;Total male and female ;Total;Ivorian;2017 January;5;5;0;0
4807;Total male and female ;Total;Ivorian;2017 February;5;0;0;0
4808;Total male and female ;Total;Ivorian;2017 March;5;5;0;0
4809;Total male and female ;Total;Ivorian;2017 1st Quarter;15;10;5;0
4810;Total male and female ;Total;Ivorian;2017 April;0;0;0;0
4811;Total male and female ;Total;Ivorian;2017 May;0;0;0;0
4812;Total male and female ;Total;Ivorian;2017 June;5;5;0;0
4813;Total male and female ;Total;Ivorian;2017 2nd Quarter;10;5;0;0
4814;Total male and female ;Total;Ivorian;2017 July;5;0;0;0
4815;Total male and female ;Total;Ivorian;2017 August;5;0;0;0
4816;Total male and female ;Total;Ivorian;2017 September;5;5;0;0
4817;Total male and female ;Total;Ivorian;2017 3rd Quarter;10;10;0;0
4818;Total male and female ;Total;Ivorian;2017 October;5;5;0;0
4819;Total male and female ;Total;Ivorian;2017 November;5;0;0;0
4820;Total male and female ;Total;Ivorian;2017 December;10;10;0;0
4821;Total male and female ;Total;Ivorian;2017 4th Quarter;20;15;5;0
4822;Total male and female ;Total;Ivorian;2017;50;40;10;0
4823;Total male and female ;Total;Ivorian;2018 January;10;5;0;0
4824;Total male and female ;Total;Ivorian;2018 February;5;5;0;0
4825;Total male and female ;Total;Ivorian;2018 March;5;0;0;0
4826;Total male and female ;Total;Ivorian;2018 1st Quarter;20;15;5;0
4827;Total male and female ;Total;Ivorian;2018 April;10;5;5;0
4828;Total male and female ;Total;Ivorian;2018 May;5;5;0;5
4829;Total male and female ;Total;Ivorian;2018 June;5;5;0;0
4830;Total male and female ;Total;Ivorian;2018 2nd Quarter;20;15;5;5
4831;Total male and female ;Total;Ivorian;2018 July;5;5;0;0
4832;Total male and female ;Total;Ivorian;2018 August;0;0;0;0
