ID;CategoriesOfGoodsSITC;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ImportValue_4;ExportValue_5
592;9 Commodities and transactions not cl...;2017;365.0;901.0;536.0;9.6;-41.7
593;9 Commodities and transactions not cl...;2018 1st quarter;93.0;99.0;6.0;29.2;-13.2
594;9 Commodities and transactions not cl...;2018 2nd quarter;406.0;566.0;160.0;407.5;59.0
595;9 Commodities and transactions not cl...;2018 3rd quarter;83.0;318.0;235.0;102.4;31.4
596;9 Commodities and transactions not cl...;2018 4th quarter;123.0;149.0;26.0;-28.1;-21.2
597;9 Commodities and transactions not cl...;2018;705.0;1132.0;427.0;93.2;25.6
598;9 Commodities and transactions not cl...;2019 1st quarter;129.0;94.0;-35.0;38.7;-5.1
599;9 Commodities and transactions not cl...;2019 2nd quarter;98.0;278.0;180.0;-75.9;-50.9
600;9 Commodities and transactions not cl...;2019 3rd quarter;87.0;202.0;115.0;4.8;-36.5
601;9 Commodities and transactions not cl...;2019 4th quarter;145.0;207.0;62.0;17.9;38.9
602;9 Commodities and transactions not cl...;2019;459.0;781.0;322.0;-34.9;-31.0
603;9 Commodities and transactions not cl...;2020 1st quarter;121.0;93.0;-28.0;-6.2;-1.1
604;9 Commodities and transactions not cl...;2020 2nd quarter;277.0;201.0;-76.0;182.7;-27.7
605;9 Commodities and transactions not cl...;2020 3rd quarter;430.0;242.0;-188.0;394.3;19.8
606;9 Commodities and transactions not cl...;2020 4th quarter;603.0;67.0;-536.0;315.9;-67.6
607;9 Commodities and transactions not cl...;2020;1430.0;603.0;-827.0;211.5;-22.8
608;9 Commodities and transactions not cl...;2021 1st quarter;188.0;488.0;300.0;55.4;424.7
609;9 Commodities and transactions not cl...;2021 2nd quarter;419.0;235.0;-184.0;51.3;16.9
610;9 Commodities and transactions not cl...;2021 3rd quarter;121.0;196.0;75.0;-71.9;-19.0
611;9 Commodities and transactions not cl...;2021 4th quarter;431.0;193.0;-238.0;-28.5;188.1
612;9 Commodities and transactions not cl...;2021;1158.0;1112.0;-46.0;-19.0;84.4
613;9 Commodities and transactions not cl...;2022 1st quarter;301.0;96.0;-205.0;60.1;-80.3
614;9 Commodities and transactions not cl...;2022 2nd quarter;221.0;123.0;-98.0;-47.3;-47.7
615;9 Commodities and transactions not cl...;2022 3rd quarter;236.0;160.0;-76.0;95.0;-18.4
