ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
1268;Men;25 to 35 years;1998 Annual figure;88240;85350;2890;95390;69060;26340
1269;Men;25 to 35 years;1999 January;8810;8610;200;6840;4570;2270
1270;Men;25 to 35 years;1999 February;6470;6280;190;6950;5250;1700
1271;Men;25 to 35 years;1999 March;6560;6260;300;10250;8060;2190
1272;Men;25 to 35 years;1999 April;3750;3550;200;7150;5650;1500
1273;Men;25 to 35 years;1999 May;3300;3110;190;5100;3330;1770
1274;Men;25 to 35 years;1999 June;3660;3450;220;5030;3290;1730
1275;Men;25 to 35 years;1999 July;3700;3500;200;3940;2360;1580
1276;Men;25 to 35 years;1999 August;2920;2780;140;3310;2180;1130
1277;Men;25 to 35 years;1999 September;4140;3910;230;4880;3430;1450
1278;Men;25 to 35 years;1999 October;3340;3150;190;4120;2730;1390
1279;Men;25 to 35 years;1999 November;4440;4220;230;3700;2290;1410
1280;Men;25 to 35 years;1999 December;4700;4550;160;3500;2140;1370
1281;Men;25 to 35 years;1999 Annual figure;55790;53370;2430;64750;45260;19490
1282;Men;25 to 35 years;2000 January;6800;6560;240;3750;2580;1160
1283;Men;25 to 35 years;2000 February;5040;4850;190;5300;3990;1310
1284;Men;25 to 35 years;2000 March;4420;4180;230;6710;5350;1360
1285;Men;25 to 35 years;2000 April;2900;2710;200;5160;3720;1440
1286;Men;25 to 35 years;2000 May;2660;2510;160;4150;2770;1390
1287;Men;25 to 35 years;2000 June;2620;2450;180;3760;2360;1400
1288;Men;25 to 35 years;2000 July;2670;2450;220;2940;1670;1270
1289;Men;25 to 35 years;2000 August;2860;2670;180;2970;1850;1120
1290;Men;25 to 35 years;2000 September;2600;2440;160;3100;2190;910
1291;Men;25 to 35 years;2000 October;2800;2600;200;3100;2060;1040
1292;Men;25 to 35 years;2000 November;4020;3790;240;3110;2040;1070
1293;Men;25 to 35 years;2000 December;3240;3100;140;2200;1350;850
1294;Men;25 to 35 years;2000 Annual figure;42630;40310;2320;46260;31930;14320
1295;Men;25 to 35 years;2001 January;4200;4000;200;2710;1770;930
1296;Men;25 to 35 years;2001 February;3630;3460;170;3400;2470;930
1297;Men;25 to 35 years;2001 March;3980;3730;250;5490;4060;1430
1298;Men;25 to 35 years;2001 April;2700;2510;200;4050;3020;1030
1299;Men;25 to 35 years;2001 May;2780;2620;170;3400;2230;1170
1300;Men;25 to 35 years;2001 June;2300;2130;170;2520;1620;890
1301;Men;25 to 35 years;2001 July;2180;1970;210;2590;1480;1120
1302;Men;25 to 35 years;2001 August;2560;2390;180;2550;1610;940
1303;Men;25 to 35 years;2001 September;2500;2300;190;2690;1830;850
1304;Men;25 to 35 years;2001 October;2800;2600;200;2640;1730;910
1305;Men;25 to 35 years;2001 November;4020;3810;220;2890;1830;1070
1306;Men;25 to 35 years;2001 December;2820;2680;150;2140;1210;930
1307;Men;25 to 35 years;2001 Annual figure;36470;34180;2290;37060;24860;12200
1308;Men;25 to 35 years;2002 January;5490;5230;270;2810;1780;1030
1309;Men;25 to 35 years;2002 February;4200;4020;170;3230;2280;950
1310;Men;25 to 35 years;2002 March;4180;3980;200;4490;3280;1200
1311;Men;25 to 35 years;2002 April;4060;3860;200;4500;3380;1120
1312;Men;25 to 35 years;2002 May;4550;4320;220;4500;3160;1340
1313;Men;25 to 35 years;2002 June;4020;3810;210;3690;2500;1190
1314;Men;25 to 35 years;2002 July;3480;3300;180;3400;2140;1270
1315;Men;25 to 35 years;2002 August;4230;4010;210;3490;2280;1210
1316;Men;25 to 35 years;2002 September;4200;4000;200;3880;2680;1210
1317;Men;25 to 35 years;2002 October;4870;4620;250;4120;2790;1330
1318;Men;25 to 35 years;2002 November;5130;4870;260;3330;2180;1150
1319;Men;25 to 35 years;2002 December;4460;4240;220;2850;1850;1000
1320;Men;25 to 35 years;2002 Annual figure;52850;50260;2600;44290;30290;14000
1321;Men;25 to 35 years;2003 January;7360;7010;350;3800;2480;1320
1322;Men;25 to 35 years;2003 February;6610;6280;320;4270;2990;1280
1323;Men;25 to 35 years;2003 March;5890;5580;310;5200;3930;1270
1324;Men;25 to 35 years;2003 April;5280;4970;310;5040;3710;1330
1325;Men;25 to 35 years;2003 May;6160;5810;350;5890;4080;1810
1326;Men;25 to 35 years;2003 June;4820;4550;270;4460;2910;1540
1327;Men;25 to 35 years;2003 July;5960;5590;370;5100;3150;1950
1328;Men;25 to 35 years;2003 August;4450;4190;260;3750;2480;1270
1329;Men;25 to 35 years;2003 September;4870;4650;210;4790;3350;1430
1330;Men;25 to 35 years;2003 October;6140;5820;320;5410;3620;1790
1331;Men;25 to 35 years;2003 November;5540;5160;380;4320;2810;1510
1332;Men;25 to 35 years;2003 December;5450;5090;360;3760;2330;1420
1333;Men;25 to 35 years;2003 Annual figure;68510;64700;3800;55770;37850;17910
1334;Men;25 to 35 years;2004 January;7130;6760;370;4320;2880;1440
1335;Men;25 to 35 years;2004 February;6570;6240;330;5190;3610;1590
1336;Men;25 to 35 years;2004 March;6030;5650;390;6010;4350;1670
1337;Men;25 to 35 years;2004 April;6060;5710;350;6910;5060;1850
1338;Men;25 to 35 years;2004 May;4150;3890;260;5260;3760;1500
1339;Men;25 to 35 years;2004 June;4500;4210;300;4930;3240;1680
1340;Men;25 to 35 years;2004 July;4910;4550;360;6170;3920;2250
1341;Men;25 to 35 years;2004 August;4020;3720;300;4490;2720;1770
1342;Men;25 to 35 years;2004 September;4300;3970;320;5350;3350;2000
1343;Men;25 to 35 years;2004 October;5530;5170;360;6580;4070;2510
1344;Men;25 to 35 years;2004 November;5210;4900;310;5060;2930;2130
1345;Men;25 to 35 years;2004 December;6220;5860;360;5030;2740;2290
1346;Men;25 to 35 years;2004 Annual figure;64630;60620;4020;65280;42620;22660
1347;Men;25 to 35 years;2005 January;6620;6320;300;4690;2620;2060
1348;Men;25 to 35 years;2005 February;6290;6000;300;5510;3310;2200
1349;Men;25 to 35 years;2005 March;5870;5560;320;6760;4190;2570
1350;Men;25 to 35 years;2005 April;4830;4500;320;6980;4720;2260
1351;Men;25 to 35 years;2005 May;3560;3290;270;6090;3610;2480
1352;Men;25 to 35 years;2005 June;4580;4280;300;6040;3610;2430
1353;Men;25 to 35 years;2005 July;3320;3090;220;5070;2810;2260
1354;Men;25 to 35 years;2005 August;3550;3350;200;4290;2380;1910
1355;Men;25 to 35 years;2005 September;4680;4390;290;6080;3690;2380
1356;Men;25 to 35 years;2005 October;3690;3470;220;5020;2920;2100
1357;Men;25 to 35 years;2005 November;3970;3740;230;4350;2490;1870
1358;Men;25 to 35 years;2005 December;4370;4140;220;4190;2220;1970
1359;Men;25 to 35 years;2005 Annual figure;55320;52130;3200;65060;38580;26490
1360;Men;25 to 35 years;2006 January;4720;4530;190;4550;2370;2180
1361;Men;25 to 35 years;2006 February;5080;4820;260;4830;2910;1920
1362;Men;25 to 35 years;2006 March;4970;4650;330;5790;3580;2210
1363;Men;25 to 35 years;2006 April;3210;2970;240;5130;3480;1650
1364;Men;25 to 35 years;2006 May;3120;2920;200;4940;3190;1750
1365;Men;25 to 35 years;2006 June;3060;2850;210;4710;2670;2040
1366;Men;25 to 35 years;2006 July;2330;2180;150;3680;1950;1730
1367;Men;25 to 35 years;2006 August;3120;2920;210;3760;2150;1620
1368;Men;25 to 35 years;2006 September;2720;2530;190;3670;2320;1360
1369;Men;25 to 35 years;2006 October;2710;2530;180;3390;2100;1300
1370;Men;25 to 35 years;2006 November;3310;3050;270;3490;2060;1430
1371;Men;25 to 35 years;2006 December;2770;2550;220;2400;1380;1030
1372;Men;25 to 35 years;2006 Annual figure;41130;38480;2650;50350;30150;20200
1373;Men;25 to 35 years;2007 January;3780;3540;240;2750;1590;1160
1374;Men;25 to 35 years;2007 February;3360;3120;240;3330;2080;1250
1375;Men;25 to 35 years;2007 March;3360;3150;210;4460;2870;1590
1376;Men;25 to 35 years;2007 April;2140;2030;110;3500;2270;1220
1377;Men;25 to 35 years;2007 May;2190;2060;130;3260;1910;1350
1378;Men;25 to 35 years;2007 June;1860;1710;150;2360;1310;1050
1379;Men;25 to 35 years;2007 July;2080;1940;140;2300;1270;1040
1380;Men;25 to 35 years;2007 August;2670;2530;140;2600;1600;1000
1381;Men;25 to 35 years;2007 September;1860;1740;120;2450;1610;840
1382;Men;25 to 35 years;2007 October;2260;2130;120;2270;1370;900
1383;Men;25 to 35 years;2007 November;2930;2740;190;2530;1440;1100
1384;Men;25 to 35 years;2007 December;2390;2230;160;1760;970;800
1385;Men;25 to 35 years;2007 Annual figure;30870;28910;1960;33560;20290;13270
1386;Men;25 to 35 years;2008 January;4050;3790;270;2660;1640;1020
1387;Men;25 to 35 years;2008 February;2430;2260;170;2570;1610;960
1388;Men;25 to 35 years;2008 March;2010;1880;130;2680;1720;960
1389;Men;25 to 35 years;2008 April;2190;2070;130;2680;1650;1020
1390;Men;25 to 35 years;2008 May;2060;1890;170;2450;1530;920
1391;Men;25 to 35 years;2008 June;1790;1590;200;2000;1220;770
1392;Men;25 to 35 years;2008 July;2340;2180;160;2240;1170;1080
1393;Men;25 to 35 years;2008 August;2180;2050;130;2060;1350;720
1394;Men;25 to 35 years;2008 September;1950;1790;160;2150;1420;720
1395;Men;25 to 35 years;2008 October;2700;2470;230;2400;1410;990
1396;Men;25 to 35 years;2008 November;2730;2540;190;1860;1110;750
1397;Men;25 to 35 years;2008 December;3660;3470;190;1780;940;840
1398;Men;25 to 35 years;2008 Annual figure;30090;27970;2120;27520;16780;10740
1399;Men;25 to 35 years;2009 January;5310;5030;280;2660;1550;1110
1400;Men;25 to 35 years;2009 February;5060;4810;240;2960;1760;1200
1401;Men;25 to 35 years;2009 March;5110;4880;230;3470;1870;1600
1402;Men;25 to 35 years;2009 April;5860;5570;290;4270;2320;1950
1403;Men;25 to 35 years;2009 May;4750;4550;190;3670;2020;1650
1404;Men;25 to 35 years;2009 June;5310;5120;190;3840;2200;1640
1405;Men;25 to 35 years;2009 July;6270;6020;260;4690;2400;2290
1406;Men;25 to 35 years;2009 August;5470;5310;170;4160;2340;1820
1407;Men;25 to 35 years;2009 September;5390;5160;230;5000;2870;2130
1408;Men;25 to 35 years;2009 October;6540;6240;300;5640;3300;2340
1409;Men;25 to 35 years;2009 November;5830;5600;230;4690;2400;2290
1410;Men;25 to 35 years;2009 December;6960;6680;280;4780;2100;2690
1411;Men;25 to 35 years;2009 Annual figure;67850;64970;2880;49800;27100;22700
1412;Men;25 to 35 years;2010 January;8130;7780;350;5610;2770;2840
1413;Men;35 to 45 years;1998 January;8630;8250;380;5350;3500;1850
1414;Men;35 to 45 years;1998 February;6280;5900;390;5290;3940;1350
1415;Men;35 to 45 years;1998 March;4540;4240;300;6660;5130;1540
1416;Men;35 to 45 years;1998 April;4380;3980;400;8820;7100;1720
1417;Men;35 to 45 years;1998 May;3460;3140;320;5800;4270;1530
1418;Men;35 to 45 years;1998 June;3590;3260;340;5090;3570;1520
1419;Men;35 to 45 years;1998 July;3630;3290;330;4640;3000;1640
1420;Men;35 to 45 years;1998 August;4640;4400;240;4780;3620;1160
1421;Men;35 to 45 years;1998 September;3240;2970;270;4300;3140;1160
1422;Men;35 to 45 years;1998 October;3970;3590;380;4950;3370;1580
1423;Men;35 to 45 years;1998 November;6210;5850;370;3820;2360;1460
1424;Men;35 to 45 years;1998 December;6170;5870;300;3450;1910;1540
1425;Men;35 to 45 years;1998 Annual figure;58740;54730;4010;62940;44910;18040
1426;Men;35 to 45 years;1999 January;6060;5730;330;4510;2970;1550
1427;Men;35 to 45 years;1999 February;4350;4050;300;4820;3650;1170
1428;Men;35 to 45 years;1999 March;4390;3940;450;7510;5930;1580
1429;Men;35 to 45 years;1999 April;2840;2530;310;5790;4530;1260
1430;Men;35 to 45 years;1999 May;2380;2090;290;3820;2480;1340
1431;Men;35 to 45 years;1999 June;2650;2340;320;3880;2490;1400
1432;Men;35 to 45 years;1999 July;2890;2570;320;2950;1720;1230
1433;Men;35 to 45 years;1999 August;2300;2070;230;2640;1680;960
1434;Men;35 to 45 years;1999 September;3150;2810;340;4080;2840;1240
1435;Men;35 to 45 years;1999 October;2690;2320;370;3360;2220;1140
1436;Men;35 to 45 years;1999 November;3610;3270;340;3010;1840;1170
1437;Men;35 to 45 years;1999 December;3870;3610;260;2850;1690;1160
1438;Men;35 to 45 years;1999 Annual figure;41180;37300;3870;49210;34020;15190
1439;Men;35 to 45 years;2000 January;5680;5350;330;3250;2200;1050
1440;Men;35 to 45 years;2000 February;4020;3720;290;3920;2870;1050
1441;Men;35 to 45 years;2000 March;3480;3130;360;5650;4420;1230
1442;Men;35 to 45 years;2000 April;2270;1980;290;4410;3230;1180
1443;Men;35 to 45 years;2000 May;2320;2010;310;3460;2340;1120
1444;Men;35 to 45 years;2000 June;2180;1880;300;3110;1850;1260
1445;Men;35 to 45 years;2000 July;2570;2200;380;2500;1460;1050
1446;Men;35 to 45 years;2000 August;2470;2190;290;2560;1590;970
1447;Men;35 to 45 years;2000 September;2230;1950;280;2950;2070;890
1448;Men;35 to 45 years;2000 October;2390;2090;300;2770;1770;1010
1449;Men;35 to 45 years;2000 November;3570;3200;370;2810;1780;1040
1450;Men;35 to 45 years;2000 December;2730;2500;230;2000;1170;830
1451;Men;35 to 45 years;2000 Annual figure;35910;32190;3720;39400;26740;12650
1452;Men;35 to 45 years;2001 January;3720;3400;320;2430;1580;850
1453;Men;35 to 45 years;2001 February;3320;3000;310;2950;2100;850
1454;Men;35 to 45 years;2001 March;3480;3050;430;5020;3660;1360
1455;Men;35 to 45 years;2001 April;2360;2030;330;3630;2600;1030
1456;Men;35 to 45 years;2001 May;2460;2090;370;3090;2060;1030
1457;Men;35 to 45 years;2001 June;2090;1780;310;2260;1350;920
1458;Men;35 to 45 years;2001 July;2140;1820;320;2300;1310;1000
1459;Men;35 to 45 years;2001 August;2320;2020;300;2290;1440;860
1460;Men;35 to 45 years;2001 September;2130;1810;320;2610;1730;890
1461;Men;35 to 45 years;2001 October;2450;2130;320;2570;1640;930
1462;Men;35 to 45 years;2001 November;3640;3230;410;2610;1560;1040
1463;Men;35 to 45 years;2001 December;2540;2300;240;1980;990;990
1464;Men;35 to 45 years;2001 Annual figure;32620;28660;3960;33740;22000;11740
1465;Men;35 to 45 years;2002 January;4810;4400;410;2680;1570;1110
1466;Men;35 to 45 years;2002 February;3690;3370;330;2800;1880;910
1467;Men;35 to 45 years;2002 March;3730;3330;400;4070;2980;1090
1468;Men;35 to 45 years;2002 April;3510;3140;370;3950;2980;980
1469;Men;35 to 45 years;2002 May;3860;3430;420;3920;2690;1230
1470;Men;35 to 45 years;2002 June;3480;3100;380;3100;2050;1060
1471;Men;35 to 45 years;2002 July;3060;2740;320;2830;1720;1110
1472;Men;35 to 45 years;2002 August;3760;3350;410;2970;1820;1150
1473;Men;35 to 45 years;2002 September;3820;3440;370;3480;2360;1120
1474;Men;35 to 45 years;2002 October;4160;3720;440;3690;2420;1270
1475;Men;35 to 45 years;2002 November;4410;4000;420;2840;1790;1050
1476;Men;35 to 45 years;2002 December;3910;3600;310;2410;1440;970
1477;Men;35 to 45 years;2002 Annual figure;46190;41610;4580;38730;25690;13040
1478;Men;35 to 45 years;2003 January;6700;6110;590;3240;1930;1310
1479;Men;35 to 45 years;2003 February;5410;4970;440;3650;2430;1220
1480;Men;35 to 45 years;2003 March;4930;4490;440;4540;3310;1230
1481;Men;35 to 45 years;2003 April;4560;4110;460;4360;3170;1200
1482;Men;35 to 45 years;2003 May;5200;4690;520;4860;3280;1580
1483;Men;35 to 45 years;2003 June;4290;3870;430;3470;2240;1240
1484;Men;35 to 45 years;2003 July;5230;4650;570;4150;2500;1650
1485;Men;35 to 45 years;2003 August;3930;3570;350;3160;2030;1130
1486;Men;35 to 45 years;2003 September;4590;4180;410;4200;2880;1320
1487;Men;35 to 45 years;2003 October;5320;4880;450;4690;3080;1600
1488;Men;35 to 45 years;2003 November;4900;4340;560;3350;2150;1200
1489;Men;35 to 45 years;2003 December;4910;4370;540;3020;1760;1270
1490;Men;35 to 45 years;2003 Annual figure;59970;54220;5750;46690;30760;15940
1491;Men;35 to 45 years;2004 January;6590;6010;580;4020;2540;1470
1492;Men;35 to 45 years;2004 February;5520;4990;530;4400;2930;1470
1493;Men;35 to 45 years;2004 March;4990;4420;560;5180;3660;1530
1494;Men;35 to 45 years;2004 April;5340;4740;600;5940;4250;1690
1495;Men;35 to 45 years;2004 May;3760;3310;440;4400;3100;1310
1496;Men;35 to 45 years;2004 June;4210;3640;570;4180;2790;1390
1497;Men;35 to 45 years;2004 July;4730;4120;610;5250;3270;1980
1498;Men;35 to 45 years;2004 August;3680;3240;440;3720;2360;1360
1499;Men;35 to 45 years;2004 September;4250;3780;480;4670;3260;1420
1500;Men;35 to 45 years;2004 October;5090;4470;630;5720;3940;1780
1501;Men;35 to 45 years;2004 November;4730;4220;510;4210;2710;1490
1502;Men;35 to 45 years;2004 December;5910;5290;620;3980;2460;1530
1503;Men;35 to 45 years;2004 Annual figure;58790;52220;6570;55670;37260;18410
1504;Men;35 to 45 years;2005 January;6290;5770;520;4000;2600;1400
1505;Men;35 to 45 years;2005 February;5630;5150;480;4760;3150;1610
1506;Men;35 to 45 years;2005 March;5320;4820;510;5890;3950;1940
1507;Men;35 to 45 years;2005 April;4760;4280;480;6350;4530;1820
1508;Men;35 to 45 years;2005 May;3750;3320;430;5770;3590;2190
1509;Men;35 to 45 years;2005 June;4840;4230;620;5750;3770;1980
1510;Men;35 to 45 years;2005 July;3460;3110;350;4630;2900;1730
1511;Men;35 to 45 years;2005 August;3750;3390;360;4130;2550;1580
1512;Men;35 to 45 years;2005 September;4770;4300;480;6150;4170;1970
1513;Men;35 to 45 years;2005 October;3770;3380;390;5080;3270;1810
1514;Men;35 to 45 years;2005 November;4010;3580;430;4440;2730;1710
1515;Men;35 to 45 years;2005 December;4800;4360;440;4430;2550;1880
1516;Men;35 to 45 years;2005 Annual figure;55140;49670;5470;61360;39750;21610
1517;Men;35 to 45 years;2006 January;5060;4620;440;4940;2850;2090
1518;Men;35 to 45 years;2006 February;5370;4890;480;5040;3270;1770
1519;Men;35 to 45 years;2006 March;5310;4780;530;6360;4090;2270
1520;Men;35 to 45 years;2006 April;3650;3220;430;5950;4120;1830
1521;Men;35 to 45 years;2006 May;3410;3040;370;5520;3680;1840
1522;Men;35 to 45 years;2006 June;3690;3240;450;5510;3290;2210
1523;Men;35 to 45 years;2006 July;2980;2630;340;4400;2430;1970
1524;Men;35 to 45 years;2006 August;3860;3430;430;4900;2890;2010
1525;Men;35 to 45 years;2006 September;3170;2830;350;4940;3210;1730
1526;Men;35 to 45 years;2006 October;3310;2930;380;4600;2860;1740
1527;Men;35 to 45 years;2006 November;4180;3710;480;4780;2770;2000
1528;Men;35 to 45 years;2006 December;3410;3090;320;3330;1810;1520
1529;Men;35 to 45 years;2006 Annual figure;47390;42410;4980;60250;37280;22980
1530;Men;35 to 45 years;2007 January;4580;4180;400;3970;2250;1720
1531;Men;35 to 45 years;2007 February;3940;3520;410;4540;2770;1770
1532;Men;35 to 45 years;2007 March;3900;3450;450;5760;3600;2160
1533;Men;35 to 45 years;2007 April;2650;2370;290;4600;3000;1600
1534;Men;35 to 45 years;2007 May;2930;2630;310;4470;2670;1790
1535;Men;35 to 45 years;2007 June;2480;2190;290;3290;1950;1330
1536;Men;35 to 45 years;2007 July;2600;2340;260;2970;1700;1270
1537;Men;35 to 45 years;2007 August;3410;3100;310;3580;2150;1430
1538;Men;35 to 45 years;2007 September;2660;2370;290;3610;2400;1210
1539;Men;35 to 45 years;2007 October;2850;2570;280;3250;2030;1220
1540;Men;35 to 45 years;2007 November;3710;3340;380;3530;2020;1510
1541;Men;35 to 45 years;2007 December;2990;2750;240;2340;1310;1040
1542;Men;35 to 45 years;2007 Annual figure;38700;34790;3910;45920;27850;18060
1543;Men;35 to 45 years;2008 January;5050;4680;370;3590;2160;1430
1544;Men;35 to 45 years;2008 February;2990;2700;290;3460;2300;1160
1545;Men;35 to 45 years;2008 March;2620;2360;260;3440;2200;1240
1546;Men;35 to 45 years;2008 April;2750;2510;240;3680;2370;1320
1547;Men;35 to 45 years;2008 May;2670;2400;270;3280;2050;1230
1548;Men;35 to 45 years;2008 June;2320;2090;240;2830;1820;1010
1549;Men;35 to 45 years;2008 July;3060;2810;250;2940;1620;1330
1550;Men;35 to 45 years;2008 August;2610;2410;200;2720;1780;940
1551;Men;35 to 45 years;2008 September;2570;2330;240;3070;2050;1010
1552;Men;35 to 45 years;2008 October;3470;3140;330;3080;1920;1160
1553;Men;35 to 45 years;2008 November;3400;3150;250;2390;1490;910
1554;Men;35 to 45 years;2008 December;4210;3950;260;2190;1160;1030
1555;Men;35 to 45 years;2008 Annual figure;37700;34520;3180;36670;22920;13760
1556;Men;35 to 45 years;2009 January;5940;5610;330;3070;1830;1240
1557;Men;35 to 45 years;2009 February;4960;4670;290;3270;1960;1300
1558;Men;35 to 45 years;2009 March;5200;4900;300;3570;2070;1500
1559;Men;35 to 45 years;2009 April;6050;5780;270;4290;2550;1740
1560;Men;35 to 45 years;2009 May;4810;4590;230;3440;2030;1410
1561;Men;35 to 45 years;2009 June;5730;5520;210;3580;2220;1370
1562;Men;35 to 45 years;2009 July;6310;6060;250;4100;2300;1800
1563;Men;35 to 45 years;2009 August;5310;5110;200;3610;2230;1370
1564;Men;35 to 45 years;2009 September;5560;5320;250;4410;2910;1500
1565;Men;35 to 45 years;2009 October;6590;6270;330;4800;3240;1560
1566;Men;35 to 45 years;2009 November;5760;5500;260;3940;2450;1490
1567;Men;35 to 45 years;2009 December;6680;6390;290;4010;2170;1840
1568;Men;35 to 45 years;2009 Annual figure;68910;65710;3200;46080;27960;18120
1569;Men;35 to 45 years;2010 January;7630;7320;310;4960;3040;1920
1570;Men;45 to 55 years;1998 January;6110;5680;430;4230;2410;1820
1571;Men;45 to 55 years;1998 February;4390;3970;420;3870;2500;1370
1572;Men;45 to 55 years;1998 March;3390;2950;440;5020;3550;1470
1573;Men;45 to 55 years;1998 April;3220;2720;490;6790;5000;1790
1574;Men;45 to 55 years;1998 May;2420;2050;360;4810;3300;1510
1575;Men;45 to 55 years;1998 June;2760;2410;360;4300;2840;1460
1576;Men;45 to 55 years;1998 July;2760;2330;430;3950;2330;1620
1577;Men;45 to 55 years;1998 August;3370;3060;310;3550;2410;1140
1578;Men;45 to 55 years;1998 September;2160;1800;360;3130;2060;1080
1579;Men;45 to 55 years;1998 October;2920;2480;440;3680;2290;1390
1580;Men;45 to 55 years;1998 November;4560;4160;400;2890;1640;1250
1581;Men;45 to 55 years;1998 December;4440;4030;410;2520;1290;1240
1582;Men;45 to 55 years;1998 Annual figure;42480;37640;4850;48740;31610;17130
1583;Men;45 to 55 years;1999 January;4720;4330;380;3380;2040;1340
1584;Men;45 to 55 years;1999 February;3110;2730;380;3560;2550;1010
1585;Men;45 to 55 years;1999 March;3160;2670;480;5530;4300;1230
1586;Men;45 to 55 years;1999 April;1980;1640;340;4490;3460;1030
1587;Men;45 to 55 years;1999 May;1730;1440;300;3040;1970;1070
1588;Men;45 to 55 years;1999 June;1870;1520;350;2950;1850;1100
1589;Men;45 to 55 years;1999 July;2220;1840;390;2150;1310;840
1590;Men;45 to 55 years;1999 August;1630;1370;260;1920;1200;710
1591;Men;45 to 55 years;1999 September;2350;1920;430;2780;1920;860
1592;Men;45 to 55 years;1999 October;2050;1680;380;2480;1620;860
1593;Men;45 to 55 years;1999 November;2820;2450;370;2430;1430;1010
1594;Men;45 to 55 years;1999 December;2720;2410;300;2090;1110;980
1595;Men;45 to 55 years;1999 Annual figure;30360;26000;4360;36810;24770;12040
1596;Men;45 to 55 years;2000 January;4430;3970;460;2280;1500;780
1597;Men;45 to 55 years;2000 February;2980;2630;350;2990;2060;930
1598;Men;45 to 55 years;2000 March;2640;2200;440;4440;3410;1030
1599;Men;45 to 55 years;2000 April;1710;1410;300;3560;2590;970
1600;Men;45 to 55 years;2000 May;1720;1400;330;2700;1770;930
1601;Men;45 to 55 years;2000 June;1520;1200;320;2410;1410;1000
1602;Men;45 to 55 years;2000 July;1920;1500;420;1930;1020;910
1603;Men;45 to 55 years;2000 August;1760;1460;300;2070;1280;780
1604;Men;45 to 55 years;2000 September;1620;1310;310;2120;1390;730
1605;Men;45 to 55 years;2000 October;1790;1450;340;2080;1250;830
1606;Men;45 to 55 years;2000 November;2830;2390;440;2180;1210;970
1607;Men;45 to 55 years;2000 December;2100;1850;250;1680;880;790
1608;Men;45 to 55 years;2000 Annual figure;27010;22760;4250;30420;19770;10650
1609;Men;45 to 55 years;2001 January;2920;2550;370;2040;1210;830
1610;Men;45 to 55 years;2001 February;2550;2170;380;2380;1520;860
1611;Men;45 to 55 years;2001 March;2630;2160;470;4020;2770;1260
1612;Men;45 to 55 years;2001 April;1900;1480;420;3150;2260;880
1613;Men;45 to 55 years;2001 May;1880;1470;410;2390;1480;920
1614;Men;45 to 55 years;2001 June;1560;1200;360;1830;1040;790
1615;Men;45 to 55 years;2001 July;1630;1290;340;1810;950;860
1616;Men;45 to 55 years;2001 August;1620;1290;340;1840;1030;800
1617;Men;45 to 55 years;2001 September;1580;1260;320;1800;1120;680
1618;Men;45 to 55 years;2001 October;1790;1380;410;1860;1140;720
1619;Men;45 to 55 years;2001 November;2710;2260;450;1980;1060;930
1620;Men;45 to 55 years;2001 December;1850;1650;200;1500;730;770
1621;Men;45 to 55 years;2001 Annual figure;24610;20160;4450;26590;16290;10300
1622;Men;45 to 55 years;2002 January;3840;3340;500;2030;1080;960
1623;Men;45 to 55 years;2002 February;2650;2270;380;2050;1250;800
1624;Men;45 to 55 years;2002 March;2790;2380;410;3070;2130;940
1625;Men;45 to 55 years;2002 April;2700;2310;390;3150;2280;860
1626;Men;45 to 55 years;2002 May;2850;2400;450;2750;1770;980
1627;Men;45 to 55 years;2002 June;2560;2180;390;2340;1530;810
1628;Men;45 to 55 years;2002 July;2280;1870;410;2010;1140;870
1629;Men;45 to 55 years;2002 August;2570;2190;370;2210;1250;960
1630;Men;45 to 55 years;2002 September;2600;2200;400;2390;1480;900
1631;Men;45 to 55 years;2002 October;2920;2440;480;2450;1460;990
1632;Men;45 to 55 years;2002 November;3370;2900;470;1910;1050;860
1633;Men;45 to 55 years;2002 December;2910;2590;320;1680;860;820
1634;Men;45 to 55 years;2002 Annual figure;34030;29070;4960;28030;17280;10760
1635;Men;45 to 55 years;2003 January;5000;4420;570;2220;1210;1010
1636;Men;45 to 55 years;2003 February;3890;3380;520;2410;1490;930
1637;Men;45 to 55 years;2003 March;3440;3010;430;3110;2140;970
1638;Men;45 to 55 years;2003 April;3370;2870;500;3100;2150;940
1639;Men;45 to 55 years;2003 May;3560;3050;500;3380;2080;1290
1640;Men;45 to 55 years;2003 June;2910;2510;400;2520;1480;1030
1641;Men;45 to 55 years;2003 July;3590;3060;530;2720;1460;1260
1642;Men;45 to 55 years;2003 August;2690;2320;370;2190;1300;890
1643;Men;45 to 55 years;2003 September;3370;2950;420;2730;1740;990
1644;Men;45 to 55 years;2003 October;3740;3190;550;3060;1850;1210
1645;Men;45 to 55 years;2003 November;3590;3050;540;2310;1250;1060
1646;Men;45 to 55 years;2003 December;3450;2860;590;2130;1080;1050
1647;Men;45 to 55 years;2003 Annual figure;42580;36670;5910;31870;19240;12630
1648;Men;45 to 55 years;2004 January;4620;4000;630;2470;1400;1060
1649;Men;45 to 55 years;2004 February;4060;3420;640;2860;1710;1150
1650;Men;45 to 55 years;2004 March;3740;3050;690;3500;2310;1190
1651;Men;45 to 55 years;2004 April;3780;3150;630;3970;2750;1220
