ID;Perioden;IndividueleBinnenlandseProductie_1;TotaalVerzekeringenInEuroS_2;Hypotheek_3;PensioenUitgesteld_4;LijfrenteUitgesteld_5;DirectIngaandeRente_6;LevenslangBijOverlijden_7;Spaarverzekering_8;Risicoverzekering_9;OverigeIndividueleVerzekeringen_10;TotaalVerzekeringInBeleggingseenheden_11;Hypotheek_12;PensioenUitgesteld_13;LijfrenteUitgesteld_14;DirectIngaandeRente_15;LevenslangBijOverlijden_16;Spaarverzekering_17;Risicoverzekering_18;OverigeIndividueleVerzekeringen_19;IndividueleBinnenlandseProductie_20;TotaalVerzekeringenInEuroS_21;Hypotheek_22;PensioenUitgesteld_23;LijfrenteUitgesteld_24;DirectIngaandeRente_25;LevenslangBijOverlijden_26;Spaarverzekering_27;Risicoverzekering_28;OverigeIndividueleVerzekeringen_29;TotaalVerzekeringInBeleggingseenheden_30;Hypotheek_31;PensioenUitgesteld_32;LijfrenteUitgesteld_33;DirectIngaandeRente_34;LevenslangBijOverlijden_35;Spaarverzekering_36;Risicoverzekering_37;OverigeIndividueleVerzekeringen_38;IndividueleBinnenlandseProductie_39;TotaalVerzekeringenInEuroS_40;Hypotheek_41;PensioenUitgesteld_42;LijfrenteUitgesteld_43;DirectIngaandeRente_44;LevenslangBijOverlijden_45;Spaarverzekering_46;Risicoverzekering_47;OverigeIndividueleVerzekeringen_48;TotaalVerzekeringInBeleggingseenheden_49;Hypotheek_50;PensioenUitgesteld_51;LijfrenteUitgesteld_52;DirectIngaandeRente_53;LevenslangBijOverlijden_54;Spaarverzekering_55;Risicoverzekering_56;OverigeIndividueleVerzekeringen_57;IndividueleBinnenlandseProductie_58;TotaalVerzekeringenInEuroS_59;Hypotheek_60;PensioenUitgesteld_61;LijfrenteUitgesteld_62;DirectIngaandeRente_63;LevenslangBijOverlijden_64;Spaarverzekering_65;Risicoverzekering_66;OverigeIndividueleVerzekeringen_67;TotaalVerzekeringInBeleggingseenheden_68;Hypotheek_69;PensioenUitgesteld_70;LijfrenteUitgesteld_71;DirectIngaandeRente_72;LevenslangBijOverlijden_73;Spaarverzekering_74;Risicoverzekering_75;OverigeIndividueleVerzekeringen_76;IndividueleBinnenlandseProductie_77;TotaalVerzekeringenInEuroS_78;Hypotheek_79;PensioenUitgesteld_80;LijfrenteUitgesteld_81;DirectIngaandeRente_82;LevenslangBijOverlijden_83;Spaarverzekering_84;Risicoverzekering_85;OverigeIndividueleVerzekeringen_86;TotaalVerzekeringInBeleggingseenheden_87;Hypotheek_88;PensioenUitgesteld_89;LijfrenteUitgesteld_90;DirectIngaandeRente_91;LevenslangBijOverlijden_92;Spaarverzekering_93;Risicoverzekering_94;OverigeIndividueleVerzekeringen_95;IndividueleBinnenlandseProductie_96;TotaalVerzekeringenInEuroS_97;Hypotheek_98;PensioenUitgesteld_99;LijfrenteUitgesteld_100;DirectIngaandeRente_101;LevenslangBijOverlijden_102;Spaarverzekering_103;Risicoverzekering_104;OverigeIndividueleVerzekeringen_105;TotaalVerzekeringInBeleggingseenheden_106;Hypotheek_107;PensioenUitgesteld_108;LijfrenteUitgesteld_109;DirectIngaandeRente_110;LevenslangBijOverlijden_111;Spaarverzekering_112;Risicoverzekering_113;OverigeIndividueleVerzekeringen_114;IndividueleBinnenlandseProductie_115;TotaalVerzekeringenInEuroS_116;Hypotheek_117;PensioenUitgesteld_118;LijfrenteUitgesteld_119;DirectIngaandeRente_120;LevenslangBijOverlijden_121;Spaarverzekering_122;Risicoverzekering_123;OverigeIndividueleVerzekeringen_124;TotaalVerzekeringInBeleggingseenheden_125;Hypotheek_126;PensioenUitgesteld_127;LijfrenteUitgesteld_128;DirectIngaandeRente_129;LevenslangBijOverlijden_130;Spaarverzekering_131;Risicoverzekering_132;OverigeIndividueleVerzekeringen_133;TotaleSpaarkasproductie_134;Hypotheek_135;PensioenUitgesteld_136;LijfrenteUitgesteld_137;Ongeclausuleerd_138;TotaleSpaarkasproductie_139;Hypotheek_140;PensioenUitgesteld_141;LijfrenteUitgesteld_142;Ongeclausuleerd_143;TotaleSpaarkasproductie_144;Hypotheek_145;PensioenUitgesteld_146;LijfrenteUitgesteld_147;Ongeclausuleerd_148;TotaleSpaarkasproductie_149;Hypotheek_150;PensioenUitgesteld_151;LijfrenteUitgesteld_152;Ongeclausuleerd_153;TotaleSpaarkasproductie_154;Hypotheek_155;PensioenUitgesteld_156;LijfrenteUitgesteld_157;Ongeclausuleerd_158;TotaleSpaarkasproductie_159;Hypotheek_160;PensioenUitgesteld_161;LijfrenteUitgesteld_162;Ongeclausuleerd_163
62;1997 november;111.4;71.2;23.4;1.7;4.6;0.0;19.8;7.4;12.4;1.9;40.2;10.2;1.9;8.7;0.0;1.1;16.4;0.2;1.6;3779.4;2495.0;1406.4;210.2;213.9;0.0;101.0;119.8;377.8;66.0;1284.5;583.3;127.4;259.8;0.0;4.8;282.5;4.4;22.2;86.7;44.2;23.1;3.6;6.5;0.0;3.0;4.5;2.2;1.1;42.6;13.0;2.9;11.3;0.0;0.1;13.4;0.0;1.8;111.9;78.4;71.6;1.7;3.5;0.0;0.0;1.3;0.1;0.1;33.5;18.6;1.5;6.6;0.0;0.0;5.5;0.1;1.2;12.8;8.5;0.0;0.4;3.4;1.7;0.4;0.2;2.3;0.1;4.3;0.0;0.1;3.7;0.1;0.0;0.3;0.0;0.0;314.8;260.7;0.4;27.0;80.4;92.5;0.9;7.6;45.9;6.0;54.1;1.2;4.4;35.8;5.3;0.0;5.9;0.0;1.5;180.4;137.5;0.5;8.5;55.3;63.4;0.5;3.9;2.9;2.4;43.0;1.6;3.6;28.0;3.4;0.0;5.8;0.0;0.5;20.8;0.2;0.0;2.7;17.9;223.6;2.4;0.0;44.5;176.7;11.7;0.1;0.0;2.0;9.6;4.7;0.0;0.0;1.2;3.4;1.6;0.0;0.0;0.3;1.2;0.5;0.0;0.0;0.2;0.3
63;1997 december;104.5;58.0;12.1;1.6;5.5;0.0;18.6;6.2;12.2;1.8;46.5;11.7;1.5;12.4;0.0;1.7;17.4;0.3;1.5;3386.2;1905.3;811.1;208.8;250.5;0.0;84.1;113.7;376.0;61.0;1480.9;672.7;127.0;317.5;0.0;5.8;330.2;6.5;21.2;86.1;35.3;13.2;4.2;7.4;0.0;2.6;4.4;2.2;1.2;50.8;16.0;3.0;14.2;0.0;0.1;15.6;0.1;2.0;62.8;23.5;12.4;2.2;7.3;0.0;0.0;1.0;0.2;0.4;39.3;17.4;1.8;11.6;0.0;0.0;7.3;0.1;1.1;25.6;16.5;0.0;0.4;8.5;2.5;0.6;0.3;3.9;0.2;9.1;0.0;0.1;7.4;0.1;0.0;1.4;0.0;0.0;451.9;366.2;0.8;40.3;108.7;132.8;2.1;10.3;63.8;7.4;85.6;1.3;4.1;48.0;9.7;0.0;18.2;0.1;4.1;263.3;185.4;0.2;10.5;62.8;98.2;1.1;4.3;5.9;2.5;77.9;1.1;2.6;53.6;4.9;0.0;14.0;0.1;1.5;33.0;0.3;0.0;5.6;27.0;398.6;3.9;0.0;96.1;298.5;20.5;0.2;0.0;4.4;15.9;14.3;0.1;0.0;4.0;10.2;2.7;0.1;0.0;0.7;1.9;1.5;0.0;0.0;0.5;1.0
64;1997;1228.3;765.6;176.7;23.2;85.8;0.0;234.9;85.1;140.1;20.0;462.8;106.0;23.2;119.4;0.0;14.7;172.6;8.1;18.9;43970.6;27512.5;11292.4;3215.8;3536.8;0.0;972.0;1981.3;5595.6;918.5;16458.1;6714.8;1586.7;3266.2;0.0;51.0;4142.1;125.2;572.2;1024.5;481.0;173.3;62.2;101.2;0.0;27.5;67.0;34.7;15.0;543.5;176.6;38.8;140.1;0.0;1.4;158.7;6.8;21.2;651.6;237.1;128.3;31.3;50.1;0.0;0.5;18.1;4.1;4.6;414.6;103.1;28.4;81.0;0.0;0.8;157.3;4.9;39.2;288.1;188.8;0.5;6.9;110.0;29.3;6.1;5.2;28.7;2.1;99.4;0.2;4.2;87.3;1.2;0.0;6.1;0.1;0.4;5493.7;4541.8;33.0;400.9;1440.8;1672.5;29.6;202.9;668.0;94.2;951.9;22.2;38.4;678.1;72.2;0.0;105.1;0.3;35.6;3130.9;2410.1;44.1;159.9;877.4;1141.3;8.9;106.6;42.5;29.3;720.8;13.4;21.4;547.2;39.0;0.0;83.5;0.4;16.0;235.2;1.7;0.0;28.8;204.7;2456.5;17.7;0.6;459.4;1978.9;126.5;0.8;0.0;21.1;104.5;69.2;0.7;0.6;19.4;48.5;20.1;0.5;0.0;3.6;16.1;7.7;0.1;0.1;2.8;4.7
65;1998 januari;122.3;63.8;12.6;2.6;7.3;0.0;21.8;5.7;11.7;2.2;58.5;10.9;2.0;13.7;0.0;1.6;28.5;0.4;1.5;4042.2;2191.3;756.7;325.0;268.8;0.0;96.5;165.2;503.1;76.0;1850.9;659.4;185.7;405.8;0.0;3.2;542.0;10.6;44.2;107.8;38.9;14.6;5.3;7.9;0.0;2.5;4.7;2.9;1.2;68.9;17.6;3.7;22.5;0.0;0.1;23.2;0.3;1.5;77.5;32.1;16.1;7.0;5.8;0.0;0.0;2.7;0.3;0.3;45.4;10.1;5.6;9.2;0.0;0.0;18.6;0.4;1.5;39.7;29.6;0.0;0.8;20.2;4.9;0.6;0.5;2.6;0.1;10.1;0.0;0.1;9.1;0.1;0.0;0.7;0.0;0.0;743.2;646.0;1.3;26.7;262.4;269.0;4.8;16.1;61.4;4.5;97.2;1.4;3.5;70.7;7.4;0.0;10.7;0.5;2.9;450.9;373.8;1.1;13.5;179.3;163.7;3.8;7.5;3.9;1.1;77.1;1.0;2.8;57.9;4.4;0.0;9.4;0.5;1.1;15.6;1.2;0.0;2.5;11.9;158.6;13.3;0.3;38.9;106.1;7.7;0.6;0.0;1.7;5.4;3.7;0.4;0.2;1.2;1.9;1.5;0.2;0.0;0.3;1.0;0.4;0.0;0.0;0.1;0.2
66;1998 februari;112.6;58.9;11.4;1.9;7.8;0.0;21.7;4.1;10.3;1.6;53.8;9.9;1.8;11.6;0.0;2.3;26.2;0.7;1.2;3620.5;1885.5;691.0;283.5;249.2;0.0;90.0;112.5;402.5;56.6;1735.0;672.6;186.6;376.6;0.0;3.7;457.6;10.9;26.9;93.7;35.8;12.4;6.1;7.5;0.0;2.5;3.7;2.5;1.0;57.9;15.2;3.9;16.1;0.0;0.1;20.9;0.4;1.4;51.7;15.8;6.8;3.5;3.4;0.0;0.0;1.6;0.1;0.5;35.8;9.3;3.4;6.9;0.0;0.0;14.4;0.3;1.5;24.0;16.6;0.0;0.6;8.4;4.1;0.7;0.3;2.4;0.2;7.4;0.0;0.1;6.7;0.1;0.0;0.4;0.0;0.0;560.1;479.2;0.4;32.2;143.7;225.3;7.6;9.3;53.5;7.2;80.9;1.2;2.0;54.7;11.8;0.0;8.0;0.7;2.6;334.8;267.4;0.5;9.5;100.0;141.5;5.6;4.5;4.1;1.7;67.3;1.5;1.3;49.4;7.0;0.0;6.6;0.5;1.2;17.1;0.2;0.0;2.8;14.0;188.2;2.7;0.0;47.4;138.1;9.5;0.1;0.0;2.1;7.3;3.3;0.1;0.0;1.0;2.1;1.4;0.1;0.0;0.3;1.0;0.3;0.0;0.0;0.1;0.2
67;1998 maart;117.4;59.0;10.5;2.3;7.1;0.0;22.2;4.4;10.7;1.6;58.4;11.2;2.3;14.2;0.0;2.6;26.1;0.6;1.4;4051.7;1956.4;607.1;383.2;255.7;0.0;100.4;119.9;416.8;73.5;2095.3;860.8;204.5;465.9;0.0;3.4;520.0;7.9;32.9;103.2;38.0;12.4;8.2;7.6;0.0;2.7;3.5;2.6;0.9;65.2;18.1;4.1;19.4;0.0;0.1;21.8;0.3;1.5;54.3;14.0;5.9;2.4;3.9;0.0;0.0;1.2;0.5;0.2;40.3;9.5;2.5;8.4;0.0;0.0;17.6;0.3;2.0;31.9;18.9;0.0;0.7;10.5;3.5;0.4;0.5;3.1;0.1;13.0;0.0;0.1;11.8;0.1;0.0;0.8;0.1;0.1;542.6;442.9;0.0;25.3;122.9;203.2;1.0;13.2;70.3;7.0;99.7;1.6;7.8;64.4;11.3;0.0;7.2;0.4;7.0;340.2;244.1;0.2;10.3;80.4;137.3;0.5;7.0;6.1;2.4;96.2;1.7;5.9;70.9;6.7;0.0;7.7;0.2;3.1;20.1;0.2;0.0;3.6;16.2;228.1;2.6;0.2;60.4;165.0;11.3;0.1;0.0;2.7;8.5;6.9;0.2;0.1;2.5;4.2;1.6;0.1;0.0;0.4;1.1;0.8;0.0;0.0;0.4;0.4
68;1998 april;118.4;62.0;9.6;2.1;5.9;0.0;26.7;5.4;10.9;1.5;56.3;10.6;1.8;15.3;0.0;2.5;24.4;0.3;1.4;3647.0;1834.6;584.5;323.9;214.7;0.0;123.4;116.7;409.9;61.6;1812.4;705.1;164.3;402.3;0.0;3.7;493.0;9.1;34.9;98.5;35.7;11.0;7.3;6.6;0.0;3.2;4.1;2.6;1.0;62.8;16.8;3.4;19.7;0.0;0.1;20.9;0.4;1.5;52.6;11.2;4.7;2.1;2.9;0.0;0.0;0.9;0.2;0.2;41.4;7.4;2.3;7.6;0.0;0.0;22.3;0.0;1.8;31.2;16.6;0.1;1.4;8.0;3.0;0.6;0.5;3.0;0.1;14.5;0.0;0.1;13.7;0.1;0.0;0.5;0.0;0.0;503.8;406.8;0.4;31.4;91.9;185.4;1.0;13.5;78.6;4.5;97.1;1.7;4.4;68.5;9.8;0.0;9.4;0.6;2.6;300.2;210.1;0.1;12.2;57.9;126.4;0.5;6.3;5.6;1.2;90.0;1.6;3.9;69.9;5.3;0.0;7.8;0.4;1.2;20.2;0.3;0.0;4.0;15.9;230.2;3.7;0.0;66.2;160.2;11.4;0.1;0.0;2.9;8.3;6.8;0.2;0.0;2.9;3.7;1.7;0.1;0.0;0.5;1.0;0.9;0.0;0.0;0.5;0.4
69;1998 mei;107.5;56.5;10.5;2.0;4.6;0.0;22.1;4.2;11.8;1.4;51.0;9.0;2.0;13.3;0.0;2.7;22.5;0.4;1.1;3582.9;1867.4;592.3;394.1;181.1;0.0;111.1;113.4;428.1;47.2;1715.6;581.0;180.9;389.3;0.0;12.3;507.1;13.2;31.8;91.9;33.5;11.2;6.7;5.6;0.0;2.6;3.6;2.8;1.0;58.3;14.1;3.8;17.9;0.0;0.1;20.9;0.4;1.2;51.5;11.0;4.6;2.6;1.7;0.0;0.0;1.4;0.2;0.5;40.5;7.2;2.4;8.0;0.0;0.0;21.1;0.0;1.6;25.4;12.8;0.1;0.5;6.5;2.4;0.6;0.3;2.4;0.1;12.5;0.1;0.1;11.3;0.2;0.0;0.7;0.0;0.0;455.1;329.1;0.2;25.0;83.9;141.5;1.0;14.6;60.0;2.9;125.9;1.9;4.7;101.9;9.3;0.0;5.9;0.6;1.7;253.1;174.2;0.5;9.8;53.4;96.8;0.6;7.7;4.6;0.7;79.0;2.1;4.4;60.6;5.2;0.0;5.8;0.4;0.6;19.0;0.3;0.0;3.7;15.0;212.3;2.9;0.1;63.9;145.4;15.0;0.1;0.0;2.8;12.0;6.5;0.1;0.1;2.8;3.5;1.5;0.1;0.0;0.5;1.0;0.8;0.0;0.0;0.4;0.4
70;1998 juni;117.5;58.1;9.7;2.2;5.5;0.0;20.4;7.4;11.2;1.7;59.4;11.2;2.3;15.4;0.0;2.8;26.4;0.1;1.1;4000.6;1893.4;603.9;304.6;220.8;0.0;98.2;157.8;442.3;65.7;2107.2;757.0;227.6;511.5;0.0;11.3;558.7;7.5;33.7;108.0;36.4;12.2;6.2;6.4;0.0;2.3;5.7;2.6;1.0;71.7;17.5;4.3;24.9;0.0;0.0;23.7;0.0;1.2;65.9;13.5;5.9;3.1;2.4;0.0;0.0;1.0;0.3;0.8;52.5;9.5;2.1;12.9;0.0;0.0;26.8;0.0;1.1;29.5;13.9;0.0;0.5;7.9;2.2;0.4;0.5;2.3;0.1;15.5;0.0;0.2;14.6;0.1;0.0;0.5;0.0;0.0;444.8;318.8;0.3;21.6;88.0;121.2;0.9;21.3;61.3;4.0;126.1;2.2;4.9;95.5;11.7;0.0;8.0;0.0;3.8;286.2;169.3;0.2;9.2;54.2;90.0;0.5;8.5;4.2;2.4;116.9;1.7;5.3;92.8;6.9;0.0;8.5;0.0;1.8;18.5;0.3;0.0;4.2;14.1;223.6;3.5;0.1;70.1;149.8;11.2;0.1;0.0;3.1;8.0;6.8;0.1;0.0;3.2;3.4;1.5;0.1;0.0;0.5;1.0;0.9;0.0;0.0;0.5;0.4
71;1998 juli;122.9;59.6;10.5;2.6;4.8;0.0;23.7;4.9;11.1;2.0;63.4;14.9;2.8;13.5;0.0;3.5;27.4;0.1;1.2;4326.9;2003.5;628.0;376.8;209.4;0.0;113.8;121.0;499.7;54.9;2323.4;973.0;235.6;477.1;0.0;13.4;589.3;4.4;30.6;111.9;35.9;12.5;7.1;6.0;0.0;2.5;4.0;2.9;0.9;76.0;22.1;4.9;21.1;0.0;0.1;26.4;0.0;1.4;71.1;11.3;4.5;2.2;2.4;0.0;0.0;1.2;0.2;0.6;59.8;11.7;4.2;11.4;0.0;0.0;30.8;0.0;1.6;31.2;16.2;0.1;0.6;8.7;2.7;0.5;0.5;2.9;0.1;15.1;0.0;0.3;13.8;0.3;0.0;0.6;0.0;0.1;644.4;461.1;1.7;35.1;112.2;188.9;1.1;22.7;91.9;7.4;183.3;2.3;16.0;125.1;23.6;0.0;11.5;0.0;4.9;389.1;242.2;0.5;10.1;67.2;141.1;0.6;13.6;5.7;3.4;146.9;1.7;15.0;103.5;15.1;0.0;8.9;0.0;2.7;18.4;0.4;0.0;4.1;13.9;213.4;4.9;0.2;61.8;146.6;11.1;0.2;0.0;2.8;8.0;7.4;0.3;0.1;2.6;4.4;1.8;0.2;0.0;0.5;1.1;1.0;0.0;0.0;0.4;0.5
72;1998 augustus;108.4;54.6;8.8;1.7;3.8;0.0;19.9;8.4;10.2;1.7;53.8;15.5;1.8;10.9;0.0;2.1;21.8;0.8;0.9;3767.4;1598.5;525.6;244.3;166.1;0.0;96.3;104.8;417.0;44.4;2168.8;1025.1;187.4;391.2;0.0;1.9;524.5;7.8;31.0;97.0;30.0;10.6;5.2;4.6;0.0;2.0;4.1;2.5;0.8;66.9;25.4;3.4;15.2;0.0;0.0;21.4;0.3;1.1;55.4;8.8;4.8;1.5;1.2;0.0;0.0;0.7;0.1;0.4;46.5;10.5;2.1;7.1;0.0;0.0;25.4;0.2;1.2;13.2;9.1;0.0;0.4;3.1;2.3;0.5;0.3;2.5;0.0;4.1;0.0;0.2;3.1;0.2;0.0;0.5;0.0;0.0;416.6;325.5;0.5;21.1;55.1;161.6;1.2;11.0;70.9;4.0;91.1;2.6;5.7;56.1;13.0;0.0;9.9;0.2;3.6;233.7;160.5;0.1;9.6;33.9;103.1;0.5;7.7;5.3;0.4;73.2;2.0;5.0;47.0;9.6;0.0;7.9;0.4;1.5;15.4;0.3;0.0;3.3;11.8;182.4;3.5;0.1;54.9;124.0;9.1;0.1;0.0;2.4;6.6;4.0;0.2;0.0;1.0;2.9;1.4;0.1;0.0;0.4;0.9;0.5;0.0;0.0;0.2;0.4
73;1998 september;110.8;57.6;8.4;1.8;3.1;0.0;26.5;5.3;10.5;2.0;53.2;20.5;2.0;9.2;0.0;2.7;17.4;0.6;0.9;4256.4;1712.7;524.1;258.2;171.7;0.0;136.3;109.6;462.9;50.0;2543.8;1371.3;217.7;351.7;0.0;29.9;542.8;6.7;23.7;97.0;29.6;10.6;5.4;3.9;0.0;2.4;3.9;2.6;0.7;67.4;31.6;3.6;12.9;0.0;0.2;18.0;0.2;0.9;60.9;9.6;5.1;1.9;1.1;0.0;0.0;0.7;0.2;0.5;51.2;14.5;2.0;5.9;0.0;0.0;27.2;0.1;1.5;11.5;8.4;0.0;0.3;2.2;2.5;0.6;0.3;2.4;0.1;3.1;0.0;0.2;2.3;0.1;0.0;0.3;0.1;0.0;387.3;321.2;0.6;22.0;52.6;154.0;1.1;15.6;69.1;6.2;66.2;2.7;5.8;37.8;11.6;0.0;6.1;0.2;2.0;207.7;155.4;0.1;7.6;33.3;100.3;1.3;7.8;2.2;2.7;52.3;2.3;4.6;30.1;8.8;0.0;5.1;0.4;1.0;13.6;0.2;0.0;2.8;10.6;164.8;2.4;0.2;46.8;115.3;8.1;0.1;0.0;2.0;6.0;4.3;0.1;0.2;1.3;2.6;1.2;0.1;0.0;0.3;0.8;0.5;0.0;0.0;0.2;0.3
74;1998 oktober;109.6;55.8;9.5;2.0;3.4;0.0;22.9;5.1;10.8;2.0;53.8;17.6;1.9;9.1;0.0;2.7;20.4;1.0;1.2;4014.6;1696.4;541.3;283.9;144.3;0.0;116.2;90.8;475.8;44.2;2318.3;1167.8;187.2;354.2;0.0;15.7;539.2;10.8;43.4;93.2;30.5;11.6;5.1;4.1;0.0;2.5;3.8;2.7;0.8;62.7;24.9;3.9;13.1;0.0;0.0;19.2;0.4;1.2;56.3;11.7;6.6;2.8;1.2;0.0;0.2;0.5;0.1;0.3;44.6;15.6;1.3;6.1;0.0;0.0;19.8;0.2;1.5;12.7;9.5;0.1;0.3;2.9;2.2;0.6;0.3;3.1;0.1;3.2;0.0;0.2;2.2;0.3;0.0;0.2;0.1;0.2;465.5;378.6;1.8;25.8;64.9;158.4;1.1;26.2;95.4;5.0;86.9;2.1;7.8;39.8;21.0;0.0;7.3;0.7;8.3;239.6;179.2;0.8;10.5;44.0;104.6;1.1;10.3;6.3;1.7;60.4;2.2;5.9;28.9;12.6;0.0;6.1;1.0;3.7;17.2;0.3;0.0;2.7;14.3;182.9;3.6;0.2;46.9;132.3;9.0;0.1;0.0;2.0;6.9;4.0;0.1;0.2;1.3;2.4;1.4;0.1;0.0;0.4;1.0;0.5;0.0;0.0;0.2;0.2
75;1998 november;111.3;59.3;8.5;2.2;3.7;0.0;25.4;6.5;10.3;2.6;52.1;12.3;2.1;8.8;0.0;3.3;20.9;0.5;4.1;3530.8;1622.5;483.7;284.2;167.7;0.0;115.9;99.9;431.9;39.3;1908.2;816.2;142.1;342.5;0.0;21.3;468.8;8.9;108.4;92.3;33.1;11.1;5.4;5.1;0.0;2.9;5.3;2.5;0.7;59.2;19.6;3.2;12.7;0.0;0.5;19.3;0.4;3.7;49.5;12.2;6.4;3.7;1.1;0.0;0.1;0.7;0.1;0.0;37.4;13.1;1.5;7.8;0.0;0.0;14.4;0.1;0.4;16.3;12.1;0.0;0.4;4.6;2.0;0.5;0.3;4.2;0.1;4.1;0.1;0.2;3.2;0.2;0.0;0.2;0.0;0.2;451.1;375.8;1.0;66.6;75.5;133.0;1.0;10.3;82.5;6.1;75.3;1.9;6.1;37.2;14.0;0.0;7.0;0.4;8.8;234.4;174.2;0.5;18.7;54.5;86.2;1.0;5.0;5.5;2.8;60.2;1.9;5.5;30.2;11.4;0.0;6.8;1.0;3.3;16.0;0.3;0.0;2.7;13.0;185.3;3.8;0.1;48.3;133.1;9.0;0.2;0.0;2.1;6.8;4.0;0.2;0.1;1.3;2.4;1.5;0.2;0.0;0.4;1.0;0.5;0.0;0.0;0.2;0.3
76;1998 december;114.7;57.4;8.2;2.3;5.0;0.0;29.8;6.2;5.2;0.6;57.3;12.4;2.2;14.2;0.0;5.0;20.0;0.5;2.9;3932.9;1602.8;504.2;236.9;185.1;0.0;153.9;130.1;342.0;50.5;2330.1;922.1;173.6;480.7;0.0;2.0;666.0;8.0;77.7;109.1;34.9;10.9;5.2;5.6;0.0;3.9;5.9;2.4;0.9;74.3;21.1;3.8;21.2;0.0;0.5;24.5;0.4;2.8;75.0;16.7;7.4;3.5;4.4;0.0;0.2;1.0;0.3;0.1;58.2;11.8;3.4;17.4;0.0;0.0;25.1;0.2;0.2;32.7;19.9;0.0;0.5;9.2;2.5;0.5;0.7;6.5;0.0;12.8;0.0;0.2;10.7;0.4;0.0;1.1;0.0;0.2;587.0;399.0;0.5;12.8;105.6;156.5;1.1;9.2;106.7;6.8;188.0;2.7;11.8;119.1;24.9;0.0;21.3;0.7;7.5;313.1;197.1;0.1;8.7;75.1;94.6;1.3;9.7;7.6;0.1;116.0;0.9;8.2;74.3;14.8;0.0;12.6;1.0;4.2;32.1;0.2;0.0;7.1;24.8;447.0;2.4;0.1;171.4;273.1;19.5;0.1;0.0;5.7;13.6;9.3;0.2;0.1;4.2;4.8;2.4;0.1;0.0;0.8;1.5;1.3;0.0;0.0;0.7;0.6
77;1998;1417.5;744.1;119.7;26.0;60.5;0.0;322.2;68.7;126.7;20.5;673.4;157.0;26.4;150.0;0.0;34.6;285.5;6.3;13.5;47837.1;21912.4;7004.8;3729.9;2364.9;0.0;1359.7;1498.6;5342.4;612.3;25924.7;10724.7;2423.8;5014.4;0.0;148.4;7115.1;119.9;378.4;1209.9;413.7;140.8;72.8;70.0;0.0;33.6;53.7;32.3;10.6;796.2;245.3;47.0;217.6;0.0;2.1;266.2;3.5;14.5;725.7;169.1;78.7;34.9;31.0;0.0;2.5;13.9;3.6;4.6;556.6;131.1;32.5;107.0;0.0;0.6;267.0;1.8;16.6;292.9;177.4;0.5;7.0;91.3;34.6;6.5;4.9;31.6;1.0;115.5;0.3;1.9;103.5;2.3;0.0;6.0;0.5;0.9;6134.4;4803.9;8.4;341.3;1253.3;2081.5;28.0;186.5;854.1;50.8;1330.5;24.0;79.3;884.7;169.1;0.0;112.5;7.0;53.9;3567.1;2533.5;4.9;129.5;834.5;1374.7;17.4;96.7;56.6;19.1;1033.6;20.3;67.3;717.0;107.6;0.0;90.8;5.7;24.8;223.3;4.1;0.1;43.6;175.5;2616.8;49.4;1.5;776.9;1788.9;132.0;2.1;0.0;32.4;97.4;66.9;2.2;1.2;25.4;38.2;18.9;1.6;0.0;5.1;12.2;8.5;0.4;0.1;3.9;4.2
78;1999 januari;198.1;130.5;10.4;2.2;71.6;0.0;25.1;7.4;11.1;2.6;67.7;15.0;2.1;17.1;0.0;0.7;30.5;1.2;1.0;4816.8;2316.4;571.8;343.2;569.1;0.0;132.1;129.3;516.9;53.9;2500.5;919.4;259.9;559.5;0.0;4.8;671.1;55.9;30.0;121.0;42.3;10.0;5.7;13.5;0.0;3.8;5.1;3.2;1.1;78.7;21.9;5.4;22.6;0.0;0.1;26.5;0.9;1.2;70.5;13.9;2.7;3.3;4.7;0.0;0.0;2.5;0.3;0.3;56.6;13.1;3.3;11.6;0.0;0.0;25.9;0.9;1.8;39.0;28.1;0.0;0.3;15.9;6.6;0.7;1.4;3.1;0.1;11.0;0.0;0.1;9.0;0.3;0.0;1.4;0.0;0.1;909.9;767.0;0.8;26.8;214.7;392.8;1.9;28.6;98.9;2.5;142.9;2.2;5.4;70.3;43.2;0.0;13.5;0.5;7.7;531.9;421.4;0.9;12.3;163.9;218.5;1.2;18.3;5.8;0.6;110.5;2.0;4.3;73.5;13.8;0.0;12.9;0.3;3.8;15.9;0.5;0.0;3.0;12.3;170.4;7.8;0.2;48.1;114.3;8.3;0.3;0.0;2.1;5.8;4.6;0.3;0.1;1.8;2.4;1.9;0.3;0.0;0.5;1.1;0.6;0.0;0.0;0.3;0.2
