ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
1572;Lorry (road tractor not included);2017;2009;;;;;;;;;;
1573;Lorry (road tractor not included);2017;2010;;;;;;;;;;
1574;Lorry (road tractor not included);2017;2011;;;;;;;;;;
1575;Lorry (road tractor not included);2017;2012;;;;;;;;;;
1576;Lorry (road tractor not included);2017;2013;;;;;;;;;;
1577;Lorry (road tractor not included);2017;2014;;;;;;;;;;
1578;Lorry (road tractor not included);2017;2015;;;;;;;;;;
1579;Lorry (road tractor not included);2017;2016;;;;;;;;;;
1580;Lorry (road tractor not included);2017;2017;108.7;101.6;7.1;124.2;101.6;22.6;29485.0;24117.0;5367.0;4213.0
1581;To 9 999 kg;Total goods vehicles;2001;501.0;495.8;5.3;530.9;495.8;35.1;22674.0;21177.0;1497.0;23412.0
1582;To 9 999 kg;Total goods vehicles;2002;475.0;469.9;5.1;503.5;469.9;33.6;21637.0;20195.0;1442.0;23270.0
1583;To 9 999 kg;Total goods vehicles;2003;453.5;448.8;4.7;480.8;448.8;31.9;21195.0;19786.0;1409.0;22683.0
1584;To 9 999 kg;Total goods vehicles;2004;441.3;436.5;4.8;467.3;436.5;30.8;21039.0;19654.0;1385.0;22211.0
1585;To 9 999 kg;Total goods vehicles;2005;425.5;420.7;4.8;450.1;420.7;29.4;21016.0;19644.0;1372.0;21415.0
1586;To 9 999 kg;Total goods vehicles;2006;412.0;406.9;5.1;435.1;406.9;28.2;20651.0;19315.0;1336.0;21069.0
1587;To 9 999 kg;Total goods vehicles;2007;372.8;365.0;7.9;405.5;365.0;40.6;20427.0;18384.0;2043.0;19853.0
1588;To 9 999 kg;Total goods vehicles;2008;348.5;341.9;6.6;374.9;341.9;33.0;19494.0;17778.0;1716.0;19234.0
1589;To 9 999 kg;Total goods vehicles;2009;320.7;315.0;5.8;342.8;315.0;27.8;18603.0;17093.0;1510.0;18426.0
1590;To 9 999 kg;Total goods vehicles;2010;296.5;292.6;3.8;310.5;292.6;17.8;17433.0;16431.0;1002.0;17810.0
1591;To 9 999 kg;Total goods vehicles;2011;285.4;281.8;3.5;299.2;281.8;17.4;17534.0;16515.0;1019.0;17065.0
1592;To 9 999 kg;Total goods vehicles;2012;260.3;256.9;3.5;273.1;256.9;16.2;16858.0;15859.0;999.0;16198.0
1593;To 9 999 kg;Total goods vehicles;2013;226.9;221.1;5.9;249.5;221.1;28.4;16185.0;14340.0;1844.0;15415.0
1594;To 9 999 kg;Total goods vehicles;2014;219.8;215.2;4.6;236.4;215.2;21.2;16118.0;14672.0;1447.0;14670.0
1595;To 9 999 kg;Total goods vehicles;2015;211.6;207.6;4.0;223.7;207.6;16.1;15809.0;14671.0;1138.0;14149.0
1596;To 9 999 kg;Total goods vehicles;2016;200.6;193.4;7.2;217.9;193.4;24.5;15809.0;14029.0;1780.0;13784.0
1597;To 9 999 kg;Total goods vehicles;2017;192.6;187.5;5.1;203.8;187.5;16.3;15313.0;14088.0;1225.0;13310.0
1598;To 9 999 kg;Year of construction 1900 to 1979;2001;8.3;8.2;0.1;8.7;8.2;0.4;3355.0;3187.0;168.0;2588.0
1599;To 9 999 kg;Year of construction 1900 to 1979;2002;7.4;7.4;0.1;7.8;7.4;0.4;3153.0;2995.0;158.0;2463.0
1600;To 9 999 kg;Year of construction 1900 to 1979;2003;5.9;5.9;0.0;6.2;5.9;0.3;2619.0;2488.0;131.0;2353.0
1601;To 9 999 kg;Year of construction 1900 to 1979;2004;5.5;5.5;0.0;5.7;5.5;0.3;2519.0;2393.0;126.0;2280.0
1602;To 9 999 kg;Year of construction 1900 to 1979;2005;5.1;5.0;0.0;5.3;5.0;0.3;2479.0;2355.0;124.0;2133.0
1603;To 9 999 kg;Year of construction 1900 to 1979;2006;4.9;4.9;0.0;5.1;4.9;0.3;2528.0;2401.0;126.0;2034.0
1604;To 9 999 kg;Year of construction 1900 to 1979;2007;4.6;4.5;0.1;5.0;4.5;0.5;2699.0;2429.0;270.0;1860.0
1605;To 9 999 kg;Year of construction 1900 to 1979;2008;5.3;5.2;0.1;5.7;5.2;0.5;3545.0;3226.0;319.0;1612.0
1606;To 9 999 kg;Year of construction 1900 to 1979;2009;4.8;4.7;0.1;5.1;4.7;0.5;3367.0;3064.0;303.0;1524.0
1607;To 9 999 kg;Year of construction 1900 to 1979;2010;3.2;3.1;0.0;3.4;3.1;0.2;2256.0;2100.0;156.0;1496.0
1608;To 9 999 kg;Year of construction 1900 to 1979;2011;2.8;2.8;0.0;3.0;2.8;0.2;2118.0;1959.0;159.0;1405.0
1609;To 9 999 kg;Year of construction 1900 to 1979;2012;2.4;2.3;0.0;2.5;2.3;0.2;1808.0;1650.0;158.0;1396.0
1610;To 9 999 kg;Year of construction 1900 to 1979;2013;3.7;3.6;0.1;3.9;3.6;0.3;2837.0;2593.0;244.0;1384.0
1611;To 9 999 kg;Year of construction 1900 to 1979;2014;3.8;3.8;0.0;4.0;3.8;0.2;2983.0;2816.0;167.0;1343.0
1612;To 9 999 kg;Year of construction 1900 to 1979;2015;3.8;3.7;0.1;3.9;3.7;0.2;3045.0;2877.0;167.0;1287.0
1613;To 9 999 kg;Year of construction 1900 to 1979;2016;3.3;3.1;0.1;3.6;3.1;0.5;2890.0;2499.0;390.0;1252.0
1614;To 9 999 kg;Year of construction 1900 to 1979;2017;3.6;3.5;0.1;3.8;3.5;0.3;3170.0;2923.0;247.0;1212.0
1615;To 9 999 kg;Year of construction 1980 to 1985;2001;13.7;13.6;0.1;14.3;13.6;0.7;7080.0;6726.0;354.0;2016.0
1616;To 9 999 kg;Year of construction 1980 to 1985;2002;10.3;10.2;0.1;10.7;10.2;0.5;6076.0;5772.0;304.0;1769.0
1617;To 9 999 kg;Year of construction 1980 to 1985;2003;8.1;8.1;0.1;8.5;8.1;0.4;5774.0;5486.0;289.0;1468.0
1618;To 9 999 kg;Year of construction 1980 to 1985;2004;6.2;6.2;0.1;6.5;6.2;0.3;5026.0;4775.0;251.0;1296.0
1619;To 9 999 kg;Year of construction 1980 to 1985;2005;5.3;5.3;0.0;5.6;5.3;0.3;5096.0;4841.0;255.0;1091.0
1620;To 9 999 kg;Year of construction 1980 to 1985;2006;4.6;4.6;0.0;4.8;4.6;0.2;4879.0;4635.0;244.0;991.0
1621;To 9 999 kg;Year of construction 1980 to 1985;2007;3.9;3.8;0.1;4.2;3.8;0.4;4872.0;4385.0;487.0;871.0
1622;To 9 999 kg;Year of construction 1980 to 1985;2008;2.8;2.8;0.1;3.0;2.8;0.3;3967.0;3610.0;357.0;764.0
1623;To 9 999 kg;Year of construction 1980 to 1985;2009;2.5;2.5;0.1;2.7;2.5;0.2;4050.0;3685.0;364.0;668.0
1624;To 9 999 kg;Year of construction 1980 to 1985;2010;2.0;2.0;0.0;2.1;2.0;0.1;3407.0;3171.0;236.0;627.0
1625;To 9 999 kg;Year of construction 1980 to 1985;2011;1.8;1.8;0.0;1.9;1.8;0.1;3240.0;2998.0;243.0;592.0
1626;To 9 999 kg;Year of construction 1980 to 1985;2012;1.4;1.4;0.0;1.5;1.4;0.1;2819.0;2574.0;246.0;540.0
1627;To 9 999 kg;Year of construction 1980 to 1985;2013;1.4;1.3;0.0;1.5;1.3;0.1;2715.0;2481.0;233.0;535.0
1628;To 9 999 kg;Year of construction 1980 to 1985;2014;1.4;1.4;0.0;1.4;1.4;0.1;2658.0;2509.0;149.0;539.0
1629;To 9 999 kg;Year of construction 1980 to 1985;2015;1.1;1.1;0.0;1.2;1.1;0.1;2373.0;2243.0;131.0;496.0
1630;To 9 999 kg;Year of construction 1980 to 1985;2016;1.1;1.1;0.0;1.2;1.1;0.2;2599.0;2248.0;351.0;479.0
1631;To 9 999 kg;Year of construction 1980 to 1985;2017;0.9;0.9;0.0;1.0;0.9;0.1;2227.0;2053.0;174.0;450.0
1632;To 9 999 kg;Year of construction 1986 to 1990;2001;57.3;56.9;0.4;59.9;56.9;3.0;13994.0;13294.0;700.0;4279.0
1633;To 9 999 kg;Year of construction 1986 to 1990;2002;44.5;44.1;0.4;46.4;44.1;2.3;11975.0;11376.0;599.0;3879.0
1634;To 9 999 kg;Year of construction 1986 to 1990;2003;36.5;36.3;0.3;38.2;36.3;1.9;11108.0;10553.0;555.0;3437.0
1635;To 9 999 kg;Year of construction 1986 to 1990;2004;31.1;30.9;0.3;32.5;30.9;1.6;10441.0;9919.0;522.0;3113.0
1636;To 9 999 kg;Year of construction 1986 to 1990;2005;24.9;24.7;0.2;26.0;24.7;1.3;9477.0;9004.0;474.0;2742.0
1637;To 9 999 kg;Year of construction 1986 to 1990;2006;22.1;21.9;0.2;23.0;21.9;1.2;9226.0;8764.0;461.0;2497.0
1638;To 9 999 kg;Year of construction 1986 to 1990;2007;17.3;17.0;0.4;18.9;17.0;1.9;8790.0;7911.0;879.0;2146.0
1639;To 9 999 kg;Year of construction 1986 to 1990;2008;15.2;14.9;0.3;16.4;14.9;1.5;8281.0;7535.0;745.0;1976.0
1640;To 9 999 kg;Year of construction 1986 to 1990;2009;11.3;11.1;0.2;12.2;11.1;1.1;6918.0;6295.0;623.0;1760.0
1641;To 9 999 kg;Year of construction 1986 to 1990;2010;9.0;8.9;0.1;9.5;8.9;0.7;6171.0;5743.0;428.0;1545.0
1642;To 9 999 kg;Year of construction 1986 to 1990;2011;7.7;7.6;0.1;8.2;7.6;0.6;5884.0;5444.0;440.0;1400.0
1643;To 9 999 kg;Year of construction 1986 to 1990;2012;6.5;6.4;0.1;7.0;6.4;0.6;5748.0;5247.0;501.0;1222.0
1644;To 9 999 kg;Year of construction 1986 to 1990;2013;5.5;5.4;0.1;5.9;5.4;0.5;5284.0;4830.0;454.0;1121.0
1645;To 9 999 kg;Year of construction 1986 to 1990;2014;4.7;4.6;0.1;4.9;4.6;0.3;4843.0;4572.0;271.0;1005.0
1646;To 9 999 kg;Year of construction 1986 to 1990;2015;3.6;3.5;0.1;3.7;3.5;0.2;4350.0;4111.0;239.0;860.0
1647;To 9 999 kg;Year of construction 1986 to 1990;2016;3.5;3.3;0.2;3.9;3.3;0.5;5011.0;4335.0;677.0;773.0
1648;To 9 999 kg;Year of construction 1986 to 1990;2017;3.1;3.0;0.1;3.3;3.0;0.3;4596.0;4238.0;358.0;719.0
1649;To 9 999 kg;1991;2001;26.0;25.7;0.2;27.1;25.7;1.4;20763.0;19725.0;1038.0;1305.0
1650;To 9 999 kg;1991;2002;17.3;17.2;0.1;18.1;17.2;0.9;15317.0;14551.0;766.0;1180.0
1651;To 9 999 kg;1991;2003;13.4;13.3;0.1;14.0;13.3;0.7;13095.0;12440.0;655.0;1068.0
1652;To 9 999 kg;1991;2004;11.7;11.6;0.1;12.2;11.6;0.6;12395.0;11776.0;620.0;985.0
1653;To 9 999 kg;1991;2005;10.0;9.9;0.1;10.5;9.9;0.5;11982.0;11383.0;599.0;873.0
1654;To 9 999 kg;1991;2006;8.6;8.6;0.1;9.0;8.6;0.5;11294.0;10729.0;565.0;798.0
1655;To 9 999 kg;1991;2007;6.5;6.4;0.1;7.1;6.4;0.7;10277.0;9249.0;1028.0;689.0
1656;To 9 999 kg;1991;2008;5.1;5.0;0.1;5.5;5.0;0.5;8625.0;7849.0;776.0;642.0
1657;To 9 999 kg;1991;2009;4.0;4.0;0.1;4.4;4.0;0.4;7909.0;7197.0;712.0;550.0
1658;To 9 999 kg;1991;2010;3.4;3.3;0.1;3.6;3.3;0.2;7268.0;6765.0;504.0;493.0
1659;To 9 999 kg;1991;2011;3.0;2.9;0.0;3.1;2.9;0.2;7125.0;6591.0;533.0;441.0
1660;To 9 999 kg;1991;2012;2.4;2.3;0.0;2.6;2.3;0.2;6575.0;6002.0;573.0;391.0
1661;To 9 999 kg;1991;2013;1.8;1.7;0.0;1.9;1.7;0.2;5431.0;4964.0;467.0;351.0
1662;To 9 999 kg;1991;2014;1.5;1.5;0.0;1.6;1.5;0.1;5133.0;4846.0;287.0;313.0
1663;To 9 999 kg;1991;2015;1.2;1.2;0.0;1.3;1.2;0.1;4598.0;4345.0;253.0;275.0
1664;To 9 999 kg;1991;2016;1.0;1.0;0.0;1.1;1.0;0.1;4600.0;3979.0;621.0;240.0
1665;To 9 999 kg;1991;2017;0.8;0.8;0.0;0.9;0.8;0.1;4093.0;3773.0;319.0;216.0
1666;To 9 999 kg;1992;2001;27.9;27.6;0.2;29.1;27.6;1.5;20485.0;19461.0;1024.0;1420.0
1667;To 9 999 kg;1992;2002;20.5;20.3;0.2;21.4;20.3;1.1;16253.0;15440.0;813.0;1315.0
1668;To 9 999 kg;1992;2003;15.9;15.8;0.1;16.6;15.8;0.8;14329.0;13613.0;716.0;1158.0
1669;To 9 999 kg;1992;2004;13.5;13.4;0.1;14.1;13.4;0.7;13237.0;12575.0;662.0;1069.0
1670;To 9 999 kg;1992;2005;11.4;11.3;0.1;11.9;11.3;0.6;12607.0;11977.0;630.0;947.0
1671;To 9 999 kg;1992;2006;10.7;10.6;0.1;11.2;10.6;0.6;12760.0;12122.0;638.0;874.0
1672;To 9 999 kg;1992;2007;8.5;8.3;0.2;9.2;8.3;0.9;11630.0;10467.0;1163.0;793.0
1673;To 9 999 kg;1992;2008;6.6;6.5;0.1;7.1;6.5;0.6;10054.0;9149.0;905.0;710.0
1674;To 9 999 kg;1992;2009;5.2;5.1;0.1;5.6;5.1;0.5;8995.0;8185.0;810.0;623.0
1675;To 9 999 kg;1992;2010;4.0;4.0;0.1;4.2;4.0;0.3;7539.0;7017.0;522.0;563.0
1676;To 9 999 kg;1992;2011;3.3;3.3;0.1;3.6;3.3;0.3;7292.0;6746.0;546.0;487.0
1677;To 9 999 kg;1992;2012;2.2;2.2;0.0;2.4;2.2;0.2;5711.0;5213.0;498.0;416.0
1678;To 9 999 kg;1992;2013;1.8;1.7;0.0;1.9;1.7;0.2;5209.0;4761.0;448.0;365.0
1679;To 9 999 kg;1992;2014;1.5;1.5;0.0;1.6;1.5;0.1;4927.0;4651.0;276.0;322.0
1680;To 9 999 kg;1992;2015;1.4;1.3;0.0;1.4;1.3;0.1;5093.0;4813.0;280.0;280.0
1681;To 9 999 kg;1992;2016;1.3;1.3;0.1;1.5;1.3;0.2;5848.0;5059.0;790.0;253.0
1682;To 9 999 kg;1992;2017;1.1;1.0;0.0;1.1;1.0;0.1;4863.0;4484.0;379.0;231.0
1683;To 9 999 kg;1993;2001;15.4;15.3;0.1;16.2;15.3;1.0;21183.0;19912.0;1271.0;767.0
1684;To 9 999 kg;1993;2002;11.7;11.6;0.1;12.2;11.6;0.6;17754.0;16866.0;888.0;687.0
1685;To 9 999 kg;1993;2003;9.2;9.2;0.1;9.6;9.2;0.5;16093.0;15289.0;805.0;599.0
1686;To 9 999 kg;1993;2004;7.8;7.7;0.1;8.2;7.7;0.4;14816.0;14075.0;741.0;550.0
1687;To 9 999 kg;1993;2005;6.8;6.7;0.1;7.1;6.7;0.4;13816.0;13125.0;691.0;511.0
1688;To 9 999 kg;1993;2006;5.7;5.6;0.1;5.9;5.6;0.3;12524.0;11898.0;626.0;474.0
1689;To 9 999 kg;1993;2007;4.5;4.4;0.1;4.9;4.4;0.5;11887.0;10699.0;1189.0;411.0
1690;To 9 999 kg;1993;2008;3.8;3.8;0.1;4.1;3.8;0.4;11409.0;10382.0;1027.0;363.0
1691;To 9 999 kg;1993;2009;3.2;3.1;0.1;3.4;3.1;0.3;10235.0;9314.0;921.0;332.0
1692;To 9 999 kg;1993;2010;2.5;2.4;0.0;2.6;2.4;0.2;8508.0;7918.0;589.0;309.0
1693;To 9 999 kg;1993;2011;2.2;2.1;0.0;2.3;2.1;0.2;8371.0;7744.0;627.0;274.0
1694;To 9 999 kg;1993;2012;1.7;1.7;0.0;1.8;1.7;0.2;7730.0;7057.0;674.0;238.0
1695;To 9 999 kg;1993;2013;1.5;1.5;0.0;1.7;1.5;0.1;8000.0;7312.0;688.0;208.0
1696;To 9 999 kg;1993;2014;0.9;0.9;0.0;1.0;0.9;0.1;5708.0;5388.0;320.0;171.0
1697;To 9 999 kg;1993;2015;0.8;0.8;0.0;0.9;0.8;0.0;5809.0;5490.0;320.0;149.0
1698;To 9 999 kg;1993;2016;0.7;0.7;0.0;0.8;0.7;0.1;6076.0;5255.0;820.0;136.0
1699;To 9 999 kg;1993;2017;0.5;0.5;0.0;0.6;0.5;0.0;4448.0;4101.0;347.0;124.0
1700;To 9 999 kg;1994;2001;31.5;31.2;0.3;33.2;31.2;2.0;26969.0;25351.0;1618.0;1230.0
1701;To 9 999 kg;1994;2002;24.0;23.8;0.2;25.3;23.8;1.5;22514.0;21163.0;1351.0;1124.0
1702;To 9 999 kg;1994;2003;19.1;19.0;0.1;19.9;19.0;1.0;19754.0;18766.0;988.0;1010.0
1703;To 9 999 kg;1994;2004;14.6;14.4;0.1;15.2;14.4;0.8;17473.0;16599.0;874.0;870.0
1704;To 9 999 kg;1994;2005;11.9;11.8;0.1;12.4;11.8;0.6;15790.0;15001.0;790.0;784.0
1705;To 9 999 kg;1994;2006;10.3;10.2;0.1;10.7;10.2;0.5;15249.0;14487.0;762.0;703.0
1706;To 9 999 kg;1994;2007;8.3;8.1;0.2;9.0;8.1;0.9;13877.0;12489.0;1388.0;648.0
1707;To 9 999 kg;1994;2008;6.7;6.6;0.1;7.2;6.6;0.6;12650.0;11512.0;1139.0;570.0
1708;To 9 999 kg;1994;2009;5.7;5.6;0.1;6.2;5.6;0.6;11927.0;10853.0;1073.0;517.0
1709;To 9 999 kg;1994;2010;4.0;3.9;0.1;4.2;3.9;0.3;9073.0;8444.0;629.0;463.0
1710;To 9 999 kg;1994;2011;3.3;3.2;0.1;3.5;3.2;0.3;8533.0;7894.0;639.0;410.0
1711;To 9 999 kg;1994;2012;2.7;2.6;0.1;2.9;2.6;0.3;7695.0;7025.0;671.0;373.0
1712;To 9 999 kg;1994;2013;2.2;2.2;0.0;2.4;2.2;0.2;7195.0;6576.0;619.0;328.0
1713;To 9 999 kg;1994;2014;1.7;1.7;0.0;1.8;1.7;0.1;6284.0;5933.0;352.0;283.0
1714;To 9 999 kg;1994;2015;1.4;1.4;0.0;1.4;1.4;0.1;5793.0;5475.0;319.0;248.0
1715;To 9 999 kg;1994;2016;1.2;1.1;0.1;1.3;1.1;0.2;5428.0;4695.0;733.0;235.0
1716;To 9 999 kg;1994;2017;1.0;0.9;0.0;1.0;0.9;0.1;4895.0;4514.0;382.0;208.0
1717;To 9 999 kg;1995;2001;33.0;32.6;0.3;34.7;32.6;2.1;30245.0;28430.0;1815.0;1148.0
1718;To 9 999 kg;1995;2002;24.7;24.5;0.2;26.0;24.5;1.6;24644.0;23165.0;1479.0;1056.0
1719;To 9 999 kg;1995;2003;18.6;18.5;0.2;19.7;18.5;1.2;21171.0;19900.0;1270.0;928.0
1720;To 9 999 kg;1995;2004;14.9;14.8;0.1;15.6;14.8;0.8;18955.0;18007.0;948.0;822.0
1721;To 9 999 kg;1995;2005;12.2;12.1;0.1;12.8;12.1;0.6;17961.0;17063.0;898.0;710.0
1722;To 9 999 kg;1995;2006;10.2;10.1;0.1;10.6;10.1;0.5;16744.0;15907.0;837.0;635.0
1723;To 9 999 kg;1995;2007;7.8;7.6;0.2;8.5;7.6;0.8;15180.0;13662.0;1518.0;558.0
1724;To 9 999 kg;1995;2008;6.2;6.0;0.1;6.6;6.0;0.6;12854.0;11697.0;1157.0;516.0
1725;To 9 999 kg;1995;2009;5.1;5.0;0.1;5.5;5.0;0.5;11665.0;10615.0;1050.0;474.0
1726;To 9 999 kg;1995;2010;4.4;4.4;0.1;4.7;4.4;0.3;10658.0;9920.0;738.0;441.0
1727;To 9 999 kg;1995;2011;3.5;3.5;0.1;3.8;3.5;0.3;9619.0;8899.0;720.0;392.0
1728;To 9 999 kg;1995;2012;2.7;2.6;0.1;2.8;2.6;0.2;8560.0;7814.0;746.0;333.0
1729;To 9 999 kg;1995;2013;2.2;2.2;0.0;2.4;2.2;0.2;7831.0;7158.0;673.0;306.0
1730;To 9 999 kg;1995;2014;2.0;2.0;0.0;2.1;2.0;0.1;7588.0;7163.0;425.0;278.0
1731;To 9 999 kg;1995;2015;1.3;1.3;0.0;1.3;1.3;0.1;5623.0;5313.0;309.0;237.0
1732;To 9 999 kg;1995;2016;1.0;0.9;0.0;1.1;0.9;0.1;5187.0;4487.0;700.0;205.0
1733;To 9 999 kg;1995;2017;0.9;0.8;0.0;0.9;0.8;0.1;5141.0;4740.0;401.0;178.0
1734;To 9 999 kg;1996;2001;41.1;40.6;0.5;43.7;40.6;3.1;32327.0;30064.0;2263.0;1352.0
1735;To 9 999 kg;1996;2002;31.6;31.3;0.3;33.2;31.3;2.0;26449.0;24862.0;1587.0;1257.0
1736;To 9 999 kg;1996;2003;25.0;24.8;0.2;26.4;24.8;1.6;23485.0;22075.0;1409.0;1124.0
1737;To 9 999 kg;1996;2004;20.1;19.9;0.2;21.2;19.9;1.3;20686.0;19445.0;1241.0;1022.0
1738;To 9 999 kg;1996;2005;16.0;15.9;0.1;16.7;15.9;0.8;18390.0;17470.0;919.0;907.0
1739;To 9 999 kg;1996;2006;13.1;12.9;0.1;13.6;12.9;0.7;16724.0;15888.0;836.0;814.0
1740;To 9 999 kg;1996;2007;10.1;9.9;0.2;11.0;9.9;1.1;15135.0;13622.0;1514.0;725.0
1741;To 9 999 kg;1996;2008;8.2;8.1;0.2;8.8;8.1;0.8;13579.0;12357.0;1222.0;652.0
1742;To 9 999 kg;1996;2009;7.1;6.9;0.1;7.6;6.9;0.7;13132.0;11950.0;1182.0;581.0
1743;To 9 999 kg;1996;2010;6.0;5.9;0.1;6.3;5.9;0.4;11328.0;10543.0;785.0;559.0
1744;To 9 999 kg;1996;2011;4.7;4.6;0.1;4.9;4.6;0.4;9725.0;8997.0;728.0;509.0
1745;To 9 999 kg;1996;2012;3.4;3.3;0.1;3.6;3.3;0.3;7983.0;7287.0;696.0;455.0
1746;To 9 999 kg;1996;2013;2.7;2.7;0.1;2.9;2.7;0.3;7237.0;6615.0;622.0;405.0
1747;To 9 999 kg;1996;2014;2.3;2.3;0.0;2.4;2.3;0.1;6899.0;6512.0;386.0;352.0
1748;To 9 999 kg;1996;2015;2.0;2.0;0.0;2.1;2.0;0.1;6903.0;6524.0;380.0;300.0
1749;To 9 999 kg;1996;2016;1.5;1.5;0.1;1.7;1.5;0.2;6401.0;5537.0;864.0;264.0
1750;To 9 999 kg;1996;2017;1.4;1.4;0.0;1.5;1.4;0.1;6047.0;5576.0;472.0;247.0
1751;To 9 999 kg;1997;2001;46.7;46.2;0.5;49.6;46.2;3.5;34886.0;32444.0;2442.0;1423.0
1752;To 9 999 kg;1997;2002;38.8;38.3;0.4;41.2;38.3;2.9;29455.0;27393.0;2062.0;1399.0
1753;To 9 999 kg;1997;2003;31.4;31.2;0.3;33.1;31.2;2.0;25803.0;24255.0;1548.0;1284.0
1754;To 9 999 kg;1997;2004;26.6;26.4;0.3;28.0;26.4;1.7;24613.0;23136.0;1477.0;1139.0
1755;To 9 999 kg;1997;2005;22.5;22.3;0.2;23.7;22.3;1.4;22946.0;21570.0;1377.0;1032.0
1756;To 9 999 kg;1997;2006;18.1;17.9;0.2;18.9;17.9;0.9;20547.0;19520.0;1027.0;919.0
1757;To 9 999 kg;1997;2007;13.4;13.1;0.3;14.5;13.1;1.5;18026.0;16223.0;1803.0;807.0
1758;To 9 999 kg;1997;2008;10.0;9.8;0.2;10.8;9.8;1.0;15805.0;14383.0;1422.0;682.0
1759;To 9 999 kg;1997;2009;8.2;8.0;0.2;8.8;8.0;0.8;14388.0;13093.0;1295.0;610.0
1760;To 9 999 kg;1997;2010;7.1;7.0;0.1;7.5;7.0;0.5;13172.0;12259.0;913.0;572.0
1761;To 9 999 kg;1997;2011;6.0;5.9;0.1;6.3;5.9;0.5;11948.0;11054.0;894.0;530.0
1762;To 9 999 kg;1997;2012;4.7;4.6;0.1;5.0;4.6;0.4;10293.0;9396.0;897.0;486.0
1763;To 9 999 kg;1997;2013;3.9;3.9;0.1;4.2;3.9;0.4;9765.0;8925.0;840.0;432.0
1764;To 9 999 kg;1997;2014;3.6;3.5;0.0;3.8;3.5;0.2;10060.0;9497.0;563.0;374.0
1765;To 9 999 kg;1997;2015;2.6;2.5;0.0;2.7;2.5;0.1;7975.0;7536.0;439.0;336.0
1766;To 9 999 kg;1997;2016;1.9;1.9;0.1;2.2;1.9;0.3;7602.0;6576.0;1026.0;283.0
1767;To 9 999 kg;1997;2017;1.4;1.3;0.0;1.4;1.3;0.1;5527.0;5096.0;431.0;260.0
1768;To 9 999 kg;1998;2001;58.5;57.9;0.7;62.2;57.9;4.4;38803.0;36087.0;2716.0;1603.0
1769;To 9 999 kg;1998;2002;52.5;51.9;0.6;55.8;51.9;3.9;34626.0;32202.0;2424.0;1611.0
1770;To 9 999 kg;1998;2003;43.7;43.2;0.5;46.5;43.2;3.3;30190.0;28077.0;2113.0;1540.0
1771;To 9 999 kg;1998;2004;37.1;36.7;0.4;39.1;36.7;2.3;27131.0;25503.0;1628.0;1441.0
1772;To 9 999 kg;1998;2005;31.4;31.1;0.3;33.0;31.1;2.0;25480.0;23951.0;1529.0;1297.0
1773;To 9 999 kg;1998;2006;25.8;25.5;0.3;27.2;25.5;1.6;23965.0;22527.0;1438.0;1133.0
1774;To 9 999 kg;1998;2007;20.2;19.8;0.4;22.0;19.8;2.2;21590.0;19431.0;2159.0;1018.0
1775;To 9 999 kg;1998;2008;16.0;15.7;0.3;17.3;15.7;1.6;19213.0;17484.0;1729.0;900.0
1776;To 9 999 kg;1998;2009;12.1;11.8;0.2;13.0;11.8;1.2;16140.0;14687.0;1453.0;807.0
1777;To 9 999 kg;1998;2010;9.8;9.6;0.2;10.3;9.6;0.7;13975.0;13007.0;968.0;739.0
1778;To 9 999 kg;1998;2011;8.3;8.2;0.1;8.8;8.2;0.7;13075.0;12096.0;979.0;677.0
1779;To 9 999 kg;1998;2012;6.5;6.3;0.1;6.9;6.3;0.6;11303.0;10317.0;985.0;615.0
1780;To 9 999 kg;1998;2013;5.0;4.9;0.1;5.4;4.9;0.5;10189.0;9312.0;876.0;531.0
1781;To 9 999 kg;1998;2014;4.5;4.5;0.1;4.7;4.5;0.3;10032.0;9470.0;562.0;470.0
1782;To 9 999 kg;1998;2015;3.7;3.7;0.1;3.9;3.7;0.2;8968.0;8474.0;493.0;433.0
1783;To 9 999 kg;1998;2016;2.7;2.6;0.1;3.0;2.6;0.4;7796.0;6744.0;1052.0;383.0
1784;To 9 999 kg;1998;2017;2.3;2.3;0.1;2.5;2.3;0.2;7113.0;6558.0;555.0;348.0
1785;To 9 999 kg;1999;2001;58.1;57.4;0.7;62.4;57.4;5.0;40136.0;36925.0;3211.0;1554.0
1786;To 9 999 kg;1999;2002;53.0;52.4;0.6;56.4;52.4;3.9;35849.0;33340.0;2509.0;1573.0
1787;To 9 999 kg;1999;2003;48.2;47.7;0.5;51.3;47.7;3.6;32654.0;30368.0;2286.0;1570.0
1788;To 9 999 kg;1999;2004;42.9;42.4;0.5;45.6;42.4;3.2;29629.0;27555.0;2074.0;1539.0
1789;To 9 999 kg;1999;2005;36.7;36.3;0.4;38.7;36.3;2.3;27074.0;25450.0;1624.0;1428.0
1790;To 9 999 kg;1999;2006;30.0;29.7;0.3;31.6;29.7;1.9;24572.0;23098.0;1474.0;1286.0
1791;To 9 999 kg;1999;2007;24.5;24.0;0.5;26.7;24.0;2.7;23368.0;21031.0;2337.0;1141.0
