ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
138;Beroeps- en eigen vervoer;Cabotagevervoer;2000;9566;1691;;;
139;Beroeps- en eigen vervoer;Cabotagevervoer;2001;11603;2004;;;
140;Beroeps- en eigen vervoer;Cabotagevervoer;2002;9910;1805;;;
141;Beroeps- en eigen vervoer;Cabotagevervoer;2003;13047;2331;;;
142;Beroeps- en eigen vervoer;Cabotagevervoer;2004;14938;2845;371.0;198.0;918.0
143;Beroeps- en eigen vervoer;Cabotagevervoer;2005;16905;2745;368.0;204.0;1176.0
144;Beroeps- en eigen vervoer;Cabotagevervoer;2006;14142;2205;321.0;150.0;921.0
145;Beroeps- en eigen vervoer;Cabotagevervoer;2007;13689;1999;350.0;168.0;1069.0
146;Beroeps- en eigen vervoer;Cabotagevervoer;2008;16291;2562;391.0;199.0;1196.0
147;Beroeps- en eigen vervoer;Cabotagevervoer;2009;12947;2264;370.0;174.0;954.0
148;Beroeps- en eigen vervoer;Cabotagevervoer;2010;16172;2727;358.0;224.0;1161.0
149;Beroeps- en eigen vervoer;Cabotagevervoer;2011;16848;2557;347.0;221.0;1185.0
150;Beroeps- en eigen vervoer;Cabotagevervoer;2012;16642;2495;332.0;216.0;1161.0
151;Beroeps- en eigen vervoer;Cabotagevervoer;2013;20703;2476;341.0;201.0;1419.0
152;Beroeps- en eigen vervoer;Cabotagevervoer;2014;17867;2292;320.0;187.0;1269.0
153;Beroeps- en eigen vervoer;Cabotagevervoer;2015;19580;2273;298.0;183.0;1448.0
154;Beroeps- en eigen vervoer;Cabotagevervoer;2016;18066;1837;250.0;155.0;1347.0
155;Beroeps- en eigen vervoer;Cabotagevervoer;2017;18287;1879;264.0;158.0;1345.0
156;Beroeps- en eigen vervoer;Cabotagevervoer;2018;17380;1894;272.0;166.0;1307.0
157;Beroeps- en eigen vervoer;Cabotagevervoer;2019;19259;1843;247.0;148.0;1277.0
158;Beroeps- en eigen vervoer;Cabotagevervoer;2020;16874;1817;252.0;150.0;1184.0
159;Beroeps- en eigen vervoer;Cabotagevervoer;2021;17168;1910;260.0;156.0;1229.0
160;Beroeps- en eigen vervoer;Cabotagevervoer;2022;16188;1722;237.0;146.0;1221.0
161;Beroeps- en eigen vervoer;Cabotagevervoer;2023;17724;1748;230.0;142.0;1263.0
162;Beroeps- en eigen vervoer;Derdelandenvervoer;1997;11519;7627;;;
163;Beroeps- en eigen vervoer;Derdelandenvervoer;1998;12283;8125;;;
164;Beroeps- en eigen vervoer;Derdelandenvervoer;1999;12911;8259;;;
165;Beroeps- en eigen vervoer;Derdelandenvervoer;2000;12719;8480;;;
166;Beroeps- en eigen vervoer;Derdelandenvervoer;2001;12393;8036;;;
167;Beroeps- en eigen vervoer;Derdelandenvervoer;2002;13423;8575;;;
168;Beroeps- en eigen vervoer;Derdelandenvervoer;2003;13682;8140;;;
169;Beroeps- en eigen vervoer;Derdelandenvervoer;2004;17347;10720;741.0;614.0;937.0
170;Beroeps- en eigen vervoer;Derdelandenvervoer;2005;14000;8836;624.0;513.0;787.0
171;Beroeps- en eigen vervoer;Derdelandenvervoer;2006;14013;9023;623.0;518.0;797.0
172;Beroeps- en eigen vervoer;Derdelandenvervoer;2007;13202;7412;526.0;432.0;741.0
