ID;SectorBranchesSIC2008;Periods;Indices_1;YearOnYearChange_2;Indices_3;PeriodOnPeriodChange_4
1871;712 Technical testing and analysis;2018 2nd quarter;113.9;2.9;112.7;1.0
1872;712 Technical testing and analysis;2018 3rd quarter;108.8;4.8;114.7;1.8
1873;712 Technical testing and analysis;2018 4th quarter;124.1;4.7;115.6;0.8
1874;712 Technical testing and analysis;2018;113.4;4.1;113.7;4.3
1875;712 Technical testing and analysis;2019 1st quarter;111.9;4.6;116.8;1.0
1876;712 Technical testing and analysis;2019 2nd quarter;119.0;4.5;117.1;0.2
1877;712 Technical testing and analysis;2019 3rd quarter;111.5;2.5;117.3;0.2
1878;712 Technical testing and analysis;2019 4th quarter;129.6;4.4;120.6;2.8
1879;712 Technical testing and analysis;2019;118.0;4.0;117.9;3.8
1880;712 Technical testing and analysis;2020 1st quarter;114.9;2.7;120.2;-0.3
1881;712 Technical testing and analysis;2020 2nd quarter;114.9;-3.5;114.0;-5.1
1882;712 Technical testing and analysis;2020 3rd quarter;116.4;4.4;122.1;7.1
1883;712 Technical testing and analysis;2020 4th quarter;130.3;0.5;120.2;-1.5
1884;712 Technical testing and analysis;2020;119.1;0.9;119.1;1.0
1885;712 Technical testing and analysis;2021 1st quarter;115.7;0.7;121.2;0.8
1886;712 Technical testing and analysis;2021 2nd quarter;123.3;7.3;122.2;0.8
1887;712 Technical testing and analysis;2021 3rd quarter;118.4;1.7;123.4;1.0
1888;712 Technical testing and analysis;2021 4th quarter;131.2;0.7;121.8;-1.3
1889;712 Technical testing and analysis;2021;122.2;2.5;122.1;2.5
1890;712 Technical testing and analysis;2022 1st quarter;126.7;9.5;131.2;7.8
1891;712 Technical testing and analysis;2022 2nd quarter;135.1;9.5;133.2;1.5
1892;712 Technical testing and analysis;2022 3rd quarter;129.6;9.5;136.1;2.2
1893;712 Technical testing and analysis;2022 4th quarter;150.6;14.8;141.8;4.2
1894;712 Technical testing and analysis;2022;135.5;10.9;135.6;11.0
1895;712 Technical testing and analysis;2023 1st quarter;143.3;13.1;145.8;2.8
1896;712 Technical testing and analysis;2023 2nd quarter;149.1;10.4;146.5;0.5
1897;712 Technical testing and analysis;2023 3rd quarter;136.9;5.6;145.8;-0.5
1898;712 Technical testing and analysis;2023 4th quarter;158.6;5.3;150.0;2.9
1899;712 Technical testing and analysis;2023;147.0;8.5;147.0;8.4
1900;72 Research and development;2005 1st quarter;;;;
1901;72 Research and development;2005 2nd quarter;;;;
1902;72 Research and development;2005 3rd quarter;;;;
1903;72 Research and development;2005 4th quarter;;;;
1904;72 Research and development;2005;;;;
1905;72 Research and development;2006 1st quarter;;;;
1906;72 Research and development;2006 2nd quarter;;;;
1907;72 Research and development;2006 3rd quarter;;;;
1908;72 Research and development;2006 4th quarter;;;;
1909;72 Research and development;2006;;;;
1910;72 Research and development;2007 1st quarter;;;;
1911;72 Research and development;2007 2nd quarter;;;;
1912;72 Research and development;2007 3rd quarter;;;;
1913;72 Research and development;2007 4th quarter;;;;
1914;72 Research and development;2007;;;;
1915;72 Research and development;2008 1st quarter;;;;
1916;72 Research and development;2008 2nd quarter;;;;
1917;72 Research and development;2008 3rd quarter;;;;
1918;72 Research and development;2008 4th quarter;;;;
1919;72 Research and development;2008;;;;
1920;72 Research and development;2009 1st quarter;;;;
1921;72 Research and development;2009 2nd quarter;;;;
1922;72 Research and development;2009 3rd quarter;;;;
1923;72 Research and development;2009 4th quarter;;;;
1924;72 Research and development;2009;;;;
1925;72 Research and development;2010 1st quarter;;;;
1926;72 Research and development;2010 2nd quarter;;;;
1927;72 Research and development;2010 3rd quarter;;;;
1928;72 Research and development;2010 4th quarter;;;;
1929;72 Research and development;2010;;;;
1930;72 Research and development;2011 1st quarter;;;;
1931;72 Research and development;2011 2nd quarter;;;;
1932;72 Research and development;2011 3rd quarter;;;;
1933;72 Research and development;2011 4th quarter;;;;
1934;72 Research and development;2011;;;;
1935;72 Research and development;2012 1st quarter;;;;
1936;72 Research and development;2012 2nd quarter;;;;
1937;72 Research and development;2012 3rd quarter;;;;
1938;72 Research and development;2012 4th quarter;;;;
1939;72 Research and development;2012;;;;
1940;72 Research and development;2013 1st quarter;;;;
1941;72 Research and development;2013 2nd quarter;;;;
1942;72 Research and development;2013 3rd quarter;;;;
1943;72 Research and development;2013 4th quarter;;;;
1944;72 Research and development;2013;;;;
1945;72 Research and development;2014 1st quarter;;;;
1946;72 Research and development;2014 2nd quarter;;;;
1947;72 Research and development;2014 3rd quarter;;;;
1948;72 Research and development;2014 4th quarter;;;;
1949;72 Research and development;2014;;;;
1950;72 Research and development;2015 1st quarter;;;;
1951;72 Research and development;2015 2nd quarter;;;;
1952;72 Research and development;2015 3rd quarter;;;;
1953;72 Research and development;2015 4th quarter;;;;
1954;72 Research and development;2015;;;;
1955;72 Research and development;2016 1st quarter;;;;
1956;72 Research and development;2016 2nd quarter;;;;
1957;72 Research and development;2016 3rd quarter;;;;
1958;72 Research and development;2016 4th quarter;;;;
1959;72 Research and development;2016;;;;
1960;72 Research and development;2017 1st quarter;;;;
1961;72 Research and development;2017 2nd quarter;;;;
1962;72 Research and development;2017 3rd quarter;;;;
1963;72 Research and development;2017 4th quarter;;;;
1964;72 Research and development;2017;;;;
1965;72 Research and development;2018 1st quarter;;;;
1966;72 Research and development;2018 2nd quarter;;;;
1967;72 Research and development;2018 3rd quarter;;;;
1968;72 Research and development;2018 4th quarter;;;;
1969;72 Research and development;2018;;;;
1970;72 Research and development;2019 1st quarter;;;;
1971;72 Research and development;2019 2nd quarter;;;;
1972;72 Research and development;2019 3rd quarter;;;;
1973;72 Research and development;2019 4th quarter;;;;
1974;72 Research and development;2019;;;;
1975;72 Research and development;2020 1st quarter;;;;
1976;72 Research and development;2020 2nd quarter;;;;
1977;72 Research and development;2020 3rd quarter;;;;
1978;72 Research and development;2020 4th quarter;;;;
1979;72 Research and development;2020;;;;
1980;72 Research and development;2021 1st quarter;;;;
1981;72 Research and development;2021 2nd quarter;;;;
1982;72 Research and development;2021 3rd quarter;;;;
1983;72 Research and development;2021 4th quarter;;;;
1984;72 Research and development;2021;;;;
1985;72 Research and development;2022 1st quarter;;;;
1986;72 Research and development;2022 2nd quarter;;;;
1987;72 Research and development;2022 3rd quarter;;;;
1988;72 Research and development;2022 4th quarter;;;;
1989;72 Research and development;2022;;;;
1990;72 Research and development;2023 1st quarter;;;;
1991;72 Research and development;2023 2nd quarter;;;;
1992;72 Research and development;2023 3rd quarter;;;;
1993;72 Research and development;2023 4th quarter;;;;
1994;72 Research and development;2023;;;;
1995;73 Advertising and market research;2005 1st quarter;98.5;;;
1996;73 Advertising and market research;2005 2nd quarter;115.3;;;
1997;73 Advertising and market research;2005 3rd quarter;106.4;;;
1998;73 Advertising and market research;2005 4th quarter;141.2;;;
1999;73 Advertising and market research;2005;115.4;;;
2000;73 Advertising and market research;2006 1st quarter;102.5;4.0;;
2001;73 Advertising and market research;2006 2nd quarter;117.9;2.2;;
2002;73 Advertising and market research;2006 3rd quarter;105.8;-0.6;;
2003;73 Advertising and market research;2006 4th quarter;148.2;5.0;;
2004;73 Advertising and market research;2006;118.6;2.8;;
2005;73 Advertising and market research;2007 1st quarter;102.7;0.3;;
2006;73 Advertising and market research;2007 2nd quarter;119.2;1.1;;
2007;73 Advertising and market research;2007 3rd quarter;106.6;0.8;;
2008;73 Advertising and market research;2007 4th quarter;148.6;0.3;;
2009;73 Advertising and market research;2007;119.3;0.6;;
2010;73 Advertising and market research;2008 1st quarter;104.7;1.9;;
2011;73 Advertising and market research;2008 2nd quarter;123.9;3.9;;
2012;73 Advertising and market research;2008 3rd quarter;112.0;5.1;;
2013;73 Advertising and market research;2008 4th quarter;146.4;-1.5;;
2014;73 Advertising and market research;2008;121.8;2.1;;
2015;73 Advertising and market research;2009 1st quarter;99.8;-4.7;;
2016;73 Advertising and market research;2009 2nd quarter;109.7;-11.5;;
2017;73 Advertising and market research;2009 3rd quarter;97.6;-12.9;;
2018;73 Advertising and market research;2009 4th quarter;127.7;-12.8;;
2019;73 Advertising and market research;2009;108.7;-10.8;;
2020;73 Advertising and market research;2010 1st quarter;91.8;-8.0;;
2021;73 Advertising and market research;2010 2nd quarter;108.7;-0.8;;
2022;73 Advertising and market research;2010 3rd quarter;101.1;3.6;;
2023;73 Advertising and market research;2010 4th quarter;129.8;1.7;;
2024;73 Advertising and market research;2010;107.8;-0.8;;
2025;73 Advertising and market research;2011 1st quarter;95.7;4.3;;
2026;73 Advertising and market research;2011 2nd quarter;103.8;-4.6;;
2027;73 Advertising and market research;2011 3rd quarter;96.8;-4.2;;
2028;73 Advertising and market research;2011 4th quarter;121.7;-6.2;;
2029;73 Advertising and market research;2011;104.5;-3.1;;
2030;73 Advertising and market research;2012 1st quarter;89.6;-6.4;;
2031;73 Advertising and market research;2012 2nd quarter;101.3;-2.4;;
2032;73 Advertising and market research;2012 3rd quarter;91.6;-5.3;;
2033;73 Advertising and market research;2012 4th quarter;113.1;-7.1;;
2034;73 Advertising and market research;2012;98.9;-5.4;;
2035;73 Advertising and market research;2013 1st quarter;83.4;-6.8;94.0;
2036;73 Advertising and market research;2013 2nd quarter;96.3;-5.0;95.5;1.5
2037;73 Advertising and market research;2013 3rd quarter;86.9;-5.1;94.5;-1.0
2038;73 Advertising and market research;2013 4th quarter;113.4;0.3;95.9;1.5
2039;73 Advertising and market research;2013;95.0;-3.9;95.0;
2040;73 Advertising and market research;2014 1st quarter;86.9;4.2;97.3;1.5
2041;73 Advertising and market research;2014 2nd quarter;99.1;3.0;98.6;1.3
2042;73 Advertising and market research;2014 3rd quarter;87.5;0.6;95.4;-3.3
2043;73 Advertising and market research;2014 4th quarter;114.7;1.1;96.9;1.6
2044;73 Advertising and market research;2014;97.0;2.1;97.1;2.2
2045;73 Advertising and market research;2015 1st quarter;87.5;0.7;97.4;0.5
2046;73 Advertising and market research;2015 2nd quarter;99.2;0.1;99.2;1.8
2047;73 Advertising and market research;2015 3rd quarter;93.3;6.6;101.9;2.7
2048;73 Advertising and market research;2015 4th quarter;120.0;4.7;101.3;-0.5
2049;73 Advertising and market research;2015;100.0;3.0;99.9;3.0
2050;73 Advertising and market research;2016 1st quarter;92.9;6.2;102.9;1.6
2051;73 Advertising and market research;2016 2nd quarter;102.7;3.6;103.1;0.2
2052;73 Advertising and market research;2016 3rd quarter;94.2;1.0;103.1;0.0
2053;73 Advertising and market research;2016 4th quarter;122.8;2.3;103.5;0.3
2054;73 Advertising and market research;2016;103.2;3.2;103.2;3.2
2055;73 Advertising and market research;2017 1st quarter;94.2;1.4;104.1;0.6
2056;73 Advertising and market research;2017 2nd quarter;102.8;0.0;103.5;-0.6
2057;73 Advertising and market research;2017 3rd quarter;95.1;0.9;104.1;0.6
2058;73 Advertising and market research;2017 4th quarter;126.0;2.6;105.9;1.7
2059;73 Advertising and market research;2017;104.5;1.3;104.4;1.2
2060;73 Advertising and market research;2018 1st quarter;96.0;1.9;105.9;0.0
2061;73 Advertising and market research;2018 2nd quarter;104.8;1.9;105.7;-0.2
2062;73 Advertising and market research;2018 3rd quarter;96.0;1.0;105.1;-0.5
2063;73 Advertising and market research;2018 4th quarter;127.2;1.0;106.8;1.5
2064;73 Advertising and market research;2018;106.0;1.4;105.9;1.4
2065;73 Advertising and market research;2019 1st quarter;99.1;3.3;109.6;2.6
2066;73 Advertising and market research;2019 2nd quarter;108.0;3.1;109.3;-0.3
2067;73 Advertising and market research;2019 3rd quarter;100.4;4.6;109.7;0.3
2068;73 Advertising and market research;2019 4th quarter;128.1;0.7;107.3;-2.2
2069;73 Advertising and market research;2019;108.9;2.8;109.0;2.9
2070;73 Advertising and market research;2020 1st quarter;95.2;-3.9;105.6;-1.6
2071;73 Advertising and market research;2020 2nd quarter;78.1;-27.7;79.1;-25.1
2072;73 Advertising and market research;2020 3rd quarter;86.7;-13.7;94.4;19.3
2073;73 Advertising and market research;2020 4th quarter;121.3;-5.4;101.4;7.4
2074;73 Advertising and market research;2020;95.3;-12.5;95.1;-12.7
2075;73 Advertising and market research;2021 1st quarter;88.2;-7.4;96.7;-4.6
2076;73 Advertising and market research;2021 2nd quarter;104.1;33.3;106.0;9.6
2077;73 Advertising and market research;2021 3rd quarter;100.3;15.7;110.0;3.8
2078;73 Advertising and market research;2021 4th quarter;140.6;16.0;117.4;6.7
2079;73 Advertising and market research;2021;108.3;13.6;107.5;13.0
2080;73 Advertising and market research;2022 1st quarter;103.1;16.9;115.4;-1.7
2081;73 Advertising and market research;2022 2nd quarter;121.8;17.0;122.6;6.3
2082;73 Advertising and market research;2022 3rd quarter;114.4;14.1;124.0;1.1
2083;73 Advertising and market research;2022 4th quarter;146.6;4.2;123.6;-0.3
2084;73 Advertising and market research;2022;121.5;12.1;121.4;12.9
2085;73 Advertising and market research;2023 1st quarter;116.3;12.8;128.3;3.8
2086;73 Advertising and market research;2023 2nd quarter;125.9;3.4;127.0;-1.0
2087;73 Advertising and market research;2023 3rd quarter;119.3;4.3;129.1;1.7
2088;73 Advertising and market research;2023 4th quarter;152.0;3.7;129.1;0.0
2089;73 Advertising and market research;2023;128.4;5.7;128.4;5.8
2090;731 Advertising;2005 1st quarter;112.7;;;
2091;731 Advertising;2005 2nd quarter;133.9;;;
2092;731 Advertising;2005 3rd quarter;122.6;;;
2093;731 Advertising;2005 4th quarter;164.7;;;
2094;731 Advertising;2005;133.5;;;
2095;731 Advertising;2006 1st quarter;115.6;2.5;;
2096;731 Advertising;2006 2nd quarter;132.8;-0.8;;
2097;731 Advertising;2006 3rd quarter;118.3;-3.5;;
2098;731 Advertising;2006 4th quarter;169.2;2.8;;
2099;731 Advertising;2006;134.0;0.4;;
2100;731 Advertising;2007 1st quarter;113.8;-1.5;;
2101;731 Advertising;2007 2nd quarter;133.3;0.4;;
2102;731 Advertising;2007 3rd quarter;116.8;-1.2;;
2103;731 Advertising;2007 4th quarter;165.8;-2.0;;
2104;731 Advertising;2007;132.4;-1.2;;
2105;731 Advertising;2008 1st quarter;112.7;-1.0;;
2106;731 Advertising;2008 2nd quarter;134.3;0.7;;
2107;731 Advertising;2008 3rd quarter;120.1;2.8;;
2108;731 Advertising;2008 4th quarter;159.3;-3.9;;
2109;731 Advertising;2008;131.6;-0.6;;
2110;731 Advertising;2009 1st quarter;103.7;-8.0;;
2111;731 Advertising;2009 2nd quarter;114.0;-15.1;;
2112;731 Advertising;2009 3rd quarter;99.9;-16.8;;
2113;731 Advertising;2009 4th quarter;133.4;-16.2;;
2114;731 Advertising;2009;112.8;-14.3;;
2115;731 Advertising;2010 1st quarter;93.4;-9.9;;
2116;731 Advertising;2010 2nd quarter;112.8;-1.0;;
2117;731 Advertising;2010 3rd quarter;103.3;3.4;;
2118;731 Advertising;2010 4th quarter;134.5;0.8;;
2119;731 Advertising;2010;111.0;-1.5;;
2120;731 Advertising;2011 1st quarter;96.2;3.0;;
2121;731 Advertising;2011 2nd quarter;104.7;-7.2;;
2122;731 Advertising;2011 3rd quarter;97.6;-5.5;;
2123;731 Advertising;2011 4th quarter;125.4;-6.7;;
2124;731 Advertising;2011;106.0;-4.5;;
2125;731 Advertising;2012 1st quarter;90.7;-5.7;;
2126;731 Advertising;2012 2nd quarter;104.0;-0.6;;
2127;731 Advertising;2012 3rd quarter;91.7;-6.1;;
2128;731 Advertising;2012 4th quarter;114.6;-8.6;;
2129;731 Advertising;2012;100.3;-5.4;;
2130;731 Advertising;2013 1st quarter;83.0;-8.5;94.4;
2131;731 Advertising;2013 2nd quarter;97.8;-6.0;96.5;2.2
2132;731 Advertising;2013 3rd quarter;86.7;-5.4;94.9;-1.6
2133;731 Advertising;2013 4th quarter;115.0;0.4;96.6;1.9
2134;731 Advertising;2013;95.6;-4.6;95.6;
2135;731 Advertising;2014 1st quarter;86.8;4.7;98.0;1.4
2136;731 Advertising;2014 2nd quarter;100.9;3.2;99.9;2.0
2137;731 Advertising;2014 3rd quarter;88.1;1.5;96.6;-3.3
2138;731 Advertising;2014 4th quarter;116.2;1.0;97.6;1.0
2139;731 Advertising;2014;98.0;2.5;98.0;2.5
2140;731 Advertising;2015 1st quarter;87.1;0.3;97.6;0.0
2141;731 Advertising;2015 2nd quarter;99.7;-1.1;99.4;1.8
2142;731 Advertising;2015 3rd quarter;92.9;5.5;102.0;2.7
2143;731 Advertising;2015 4th quarter;120.2;3.5;100.9;-1.2
2144;731 Advertising;2015;100.0;2.1;100.0;2.0
2145;731 Advertising;2016 1st quarter;93.0;6.7;103.5;2.7
2146;731 Advertising;2016 2nd quarter;102.6;2.8;102.7;-0.8
2147;731 Advertising;2016 3rd quarter;93.2;0.3;102.6;0.0
2148;731 Advertising;2016 4th quarter;122.2;1.6;102.2;-0.4
2149;731 Advertising;2016;102.7;2.7;102.8;2.8
2150;731 Advertising;2017 1st quarter;93.3;0.3;103.5;1.3
2151;731 Advertising;2017 2nd quarter;101.1;-1.4;101.7;-1.8
2152;731 Advertising;2017 3rd quarter;92.9;-0.3;102.5;0.8
2153;731 Advertising;2017 4th quarter;125.0;2.3;104.2;1.7
2154;731 Advertising;2017;103.1;0.3;103.0;0.2
2155;731 Advertising;2018 1st quarter;93.9;0.7;104.3;0.1
2156;731 Advertising;2018 2nd quarter;104.1;3.0;104.9;0.6
2157;731 Advertising;2018 3rd quarter;93.5;0.7;103.2;-1.6
2158;731 Advertising;2018 4th quarter;126.6;1.3;105.1;1.8
2159;731 Advertising;2018;104.5;1.4;104.4;1.4
2160;731 Advertising;2019 1st quarter;96.9;3.2;107.9;2.6
2161;731 Advertising;2019 2nd quarter;106.1;1.9;107.3;-0.5
2162;731 Advertising;2019 3rd quarter;97.5;4.3;107.4;0.1
2163;731 Advertising;2019 4th quarter;126.8;0.1;104.9;-2.3
2164;731 Advertising;2019;106.8;2.2;106.9;2.4
2165;731 Advertising;2020 1st quarter;91.4;-5.7;102.4;-2.4
2166;731 Advertising;2020 2nd quarter;73.4;-30.8;74.4;-27.3
2167;731 Advertising;2020 3rd quarter;82.6;-15.3;90.7;21.9
2168;731 Advertising;2020 4th quarter;116.9;-7.8;96.3;6.1
2169;731 Advertising;2020;91.1;-14.7;90.9;-14.9
2170;731 Advertising;2021 1st quarter;80.8;-11.6;89.3;-7.2
2171;731 Advertising;2021 2nd quarter;98.3;33.9;100.1;12.1
2172;731 Advertising;2021 3rd quarter;93.4;13.1;103.8;3.7
2173;731 Advertising;2021 4th quarter;136.4;16.7;112.0;7.9
2174;731 Advertising;2021;102.2;12.3;101.3;11.4
2175;731 Advertising;2022 1st quarter;96.0;18.8;108.8;-2.9
2176;731 Advertising;2022 2nd quarter;115.4;17.4;116.1;6.6
2177;731 Advertising;2022 3rd quarter;107.5;15.0;117.7;1.4
2178;731 Advertising;2022 4th quarter;141.9;4.0;117.8;0.1
2179;731 Advertising;2022;115.2;12.7;115.1;13.6
2180;731 Advertising;2023 1st quarter;110.4;15.0;122.4;3.9
2181;731 Advertising;2023 2nd quarter;117.8;2.0;119.0;-2.8
2182;731 Advertising;2023 3rd quarter;109.6;2.0;120.3;1.0
2183;731 Advertising;2023 4th quarter;143.9;1.4;120.2;-0.1
2184;731 Advertising;2023;120.4;4.5;120.5;4.7
2185;732 Market research and opinion polling;2005 1st quarter;54.5;;;
2186;732 Market research and opinion polling;2005 2nd quarter;58.1;;;
2187;732 Market research and opinion polling;2005 3rd quarter;56.6;;;
2188;732 Market research and opinion polling;2005 4th quarter;68.5;;;
2189;732 Market research and opinion polling;2005;59.4;;;
2190;732 Market research and opinion polling;2006 1st quarter;62.0;13.7;;
2191;732 Market research and opinion polling;2006 2nd quarter;71.8;23.5;;
2192;732 Market research and opinion polling;2006 3rd quarter;67.1;18.7;;
2193;732 Market research and opinion polling;2006 4th quarter;83.3;21.6;;
2194;732 Market research and opinion polling;2006;71.0;19.6;;
2195;732 Market research and opinion polling;2007 1st quarter;68.6;10.7;;
2196;732 Market research and opinion polling;2007 2nd quarter;75.9;5.7;;
2197;732 Market research and opinion polling;2007 3rd quarter;75.0;11.8;;
2198;732 Market research and opinion polling;2007 4th quarter;95.7;14.9;;
2199;732 Market research and opinion polling;2007;78.8;10.9;;
2200;732 Market research and opinion polling;2008 1st quarter;80.2;16.9;;
2201;732 Market research and opinion polling;2008 2nd quarter;92.1;21.3;;
2202;732 Market research and opinion polling;2008 3rd quarter;87.3;16.3;;
2203;732 Market research and opinion polling;2008 4th quarter;106.9;11.8;;
2204;732 Market research and opinion polling;2008;91.6;16.3;;
2205;732 Market research and opinion polling;2009 1st quarter;88.0;9.8;;
2206;732 Market research and opinion polling;2009 2nd quarter;96.6;4.9;;
2207;732 Market research and opinion polling;2009 3rd quarter;90.5;3.7;;
2208;732 Market research and opinion polling;2009 4th quarter;110.3;3.1;;
2209;732 Market research and opinion polling;2009;96.4;5.2;;
2210;732 Market research and opinion polling;2010 1st quarter;87.1;-1.1;;
2211;732 Market research and opinion polling;2010 2nd quarter;96.5;-0.2;;
2212;732 Market research and opinion polling;2010 3rd quarter;94.3;4.2;;
2213;732 Market research and opinion polling;2010 4th quarter;115.7;4.9;;
2214;732 Market research and opinion polling;2010;98.4;2.1;;
2215;732 Market research and opinion polling;2011 1st quarter;94.6;8.7;;
2216;732 Market research and opinion polling;2011 2nd quarter;101.3;5.0;;
2217;732 Market research and opinion polling;2011 3rd quarter;94.6;0.2;;
2218;732 Market research and opinion polling;2011 4th quarter;110.7;-4.3;;
2219;732 Market research and opinion polling;2011;100.3;1.9;;
2220;732 Market research and opinion polling;2012 1st quarter;86.3;-8.7;;
2221;732 Market research and opinion polling;2012 2nd quarter;93.0;-8.1;;
2222;732 Market research and opinion polling;2012 3rd quarter;91.8;-2.9;;
2223;732 Market research and opinion polling;2012 4th quarter;108.7;-1.8;;
2224;732 Market research and opinion polling;2012;95.0;-5.3;;
2225;732 Market research and opinion polling;2013 1st quarter;85.2;-1.3;92.7;
2226;732 Market research and opinion polling;2013 2nd quarter;90.6;-2.6;91.8;-1.0
2227;732 Market research and opinion polling;2013 3rd quarter;87.7;-4.5;93.2;1.5
2228;732 Market research and opinion polling;2013 4th quarter;107.4;-1.2;93.2;0.0
2229;732 Market research and opinion polling;2013;92.7;-2.4;92.7;
2230;732 Market research and opinion polling;2014 1st quarter;87.2;2.3;94.8;1.7
2231;732 Market research and opinion polling;2014 2nd quarter;92.6;2.2;93.8;-1.1
2232;732 Market research and opinion polling;2014 3rd quarter;85.4;-2.7;91.0;-2.9
2233;732 Market research and opinion polling;2014 4th quarter;109.1;1.6;94.4;3.7
2234;732 Market research and opinion polling;2014;93.6;0.9;93.5;0.9
2235;732 Market research and opinion polling;2015 1st quarter;89.0;2.0;96.7;2.4
2236;732 Market research and opinion polling;2015 2nd quarter;97.2;5.0;98.4;1.7
2237;732 Market research and opinion polling;2015 3rd quarter;94.7;10.9;101.2;2.9
2238;732 Market research and opinion polling;2015 4th quarter;119.2;9.2;103.1;1.8
2239;732 Market research and opinion polling;2015;100.0;6.9;99.8;6.8
2240;732 Market research and opinion polling;2016 1st quarter;92.8;4.3;100.7;-2.3
2241;732 Market research and opinion polling;2016 2nd quarter;103.3;6.3;104.6;3.9
2242;732 Market research and opinion polling;2016 3rd quarter;98.1;3.7;105.0;0.4
2243;732 Market research and opinion polling;2016 4th quarter;125.0;4.9;108.3;3.1
2244;732 Market research and opinion polling;2016;104.8;4.8;104.6;4.8
2245;732 Market research and opinion polling;2017 1st quarter;97.8;5.5;106.0;-2.1
2246;732 Market research and opinion polling;2017 2nd quarter;108.9;5.4;110.2;3.9
2247;732 Market research and opinion polling;2017 3rd quarter;103.2;5.1;110.2;0.0
2248;732 Market research and opinion polling;2017 4th quarter;129.5;3.6;112.5;2.0
2249;732 Market research and opinion polling;2017;109.9;4.8;109.7;4.9
2250;732 Market research and opinion polling;2018 1st quarter;103.6;5.9;112.0;-0.4
2251;732 Market research and opinion polling;2018 2nd quarter;107.1;-1.6;108.5;-3.2
2252;732 Market research and opinion polling;2018 3rd quarter;105.3;2.0;112.2;3.5
2253;732 Market research and opinion polling;2018 4th quarter;129.4;-0.1;112.8;0.5
2254;732 Market research and opinion polling;2018;111.4;1.4;111.4;1.5
2255;732 Market research and opinion polling;2019 1st quarter;107.4;3.7;115.8;2.7
2256;732 Market research and opinion polling;2019 2nd quarter;115.3;7.6;116.7;0.8
2257;732 Market research and opinion polling;2019 3rd quarter;111.0;5.5;118.2;1.2
2258;732 Market research and opinion polling;2019 4th quarter;133.0;2.8;116.3;-1.5
2259;732 Market research and opinion polling;2019;116.7;4.8;116.8;4.8
2260;732 Market research and opinion polling;2020 1st quarter;109.3;1.8;117.7;1.1
2261;732 Market research and opinion polling;2020 2nd quarter;95.5;-17.2;96.7;-17.8
2262;732 Market research and opinion polling;2020 3rd quarter;101.9;-8.2;108.3;12.1
2263;732 Market research and opinion polling;2020 4th quarter;137.5;3.3;120.4;11.1
2264;732 Market research and opinion polling;2020;111.0;-4.9;110.7;-5.2
2265;732 Market research and opinion polling;2021 1st quarter;115.5;5.7;124.2;3.2
2266;732 Market research and opinion polling;2021 2nd quarter;125.8;31.8;127.9;3.0
2267;732 Market research and opinion polling;2021 3rd quarter;125.8;23.5;133.1;4.1
2268;732 Market research and opinion polling;2021 4th quarter;156.3;13.7;137.0;2.9
2269;732 Market research and opinion polling;2021;130.8;17.8;130.6;17.9
2270;732 Market research and opinion polling;2022 1st quarter;129.3;12.0;139.6;1.9
2271;732 Market research and opinion polling;2022 2nd quarter;145.5;15.7;146.8;5.2
2272;732 Market research and opinion polling;2022 3rd quarter;140.3;11.5;147.2;0.3
2273;732 Market research and opinion polling;2022 4th quarter;164.1;5.0;145.2;-1.4
2274;732 Market research and opinion polling;2022;144.8;10.7;144.7;10.9
2275;732 Market research and opinion polling;2023 1st quarter;138.2;6.9;150.1;3.4
2276;732 Market research and opinion polling;2023 2nd quarter;156.3;7.4;156.5;4.3
2277;732 Market research and opinion polling;2023 3rd quarter;155.4;10.8;161.9;3.4
2278;732 Market research and opinion polling;2023 4th quarter;181.9;10.9;162.3;0.3
2279;732 Market research and opinion polling;2023;157.9;9.1;157.7;9.0
2280;74 Other specialised business services;2005 1st quarter;64.8;;;
2281;74 Other specialised business services;2005 2nd quarter;78.5;;;
2282;74 Other specialised business services;2005 3rd quarter;73.3;;;
2283;74 Other specialised business services;2005 4th quarter;81.6;;;
2284;74 Other specialised business services;2005;74.6;;;
2285;74 Other specialised business services;2006 1st quarter;71.7;10.6;;
2286;74 Other specialised business services;2006 2nd quarter;81.9;4.3;;
2287;74 Other specialised business services;2006 3rd quarter;76.2;4.0;;
2288;74 Other specialised business services;2006 4th quarter;85.5;4.7;;
2289;74 Other specialised business services;2006;78.8;5.7;;
2290;74 Other specialised business services;2007 1st quarter;74.2;3.6;;
2291;74 Other specialised business services;2007 2nd quarter;83.9;2.4;;
2292;74 Other specialised business services;2007 3rd quarter;80.7;5.9;;
2293;74 Other specialised business services;2007 4th quarter;88.4;3.4;;
2294;74 Other specialised business services;2007;81.8;3.8;;
2295;74 Other specialised business services;2008 1st quarter;77.9;5.0;;
2296;74 Other specialised business services;2008 2nd quarter;88.0;4.9;;
2297;74 Other specialised business services;2008 3rd quarter;82.3;2.0;;
2298;74 Other specialised business services;2008 4th quarter;90.4;2.3;;
2299;74 Other specialised business services;2008;84.7;3.5;;
2300;74 Other specialised business services;2009 1st quarter;80.0;2.6;;
2301;74 Other specialised business services;2009 2nd quarter;87.4;-0.7;;
2302;74 Other specialised business services;2009 3rd quarter;82.6;0.3;;
2303;74 Other specialised business services;2009 4th quarter;91.3;1.0;;
2304;74 Other specialised business services;2009;85.3;0.8;;
2305;74 Other specialised business services;2010 1st quarter;79.2;-0.9;;
2306;74 Other specialised business services;2010 2nd quarter;87.6;0.3;;
