ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
5801;Total dwellings;Wierden;2013;2350.0;3950.0;;
5802;Total dwellings;Wierden;2014;1550.0;3750.0;;
5803;Total dwellings;Wierden;2015;1680.0;3630.0;;
5804;Total dwellings;Wierden;2016;1680.0;3520.0;;
5805;Total dwellings;Wierden;2017;1670.0;3470.0;;
5806;Total dwellings;Wierden;2018;1670.0;3410.0;;
5807;Total dwellings;Wierden;2019;1460.0;3310.0;;
5808;Total dwellings;Wierden;2020;1390.0;3280.0;;
5809;Total dwellings;Wierden;2021;1660.0;3370.0;2810.0;
5810;Total dwellings;Wierden;2022;1310.0;3220.0;2380.0;
5811;Total dwellings;Wieringen;2010;2200.0;3500.0;;
5812;Total dwellings;Wieringen;2011;1750.0;3500.0;;
5813;Total dwellings;Wieringen;2012;;;;
5814;Total dwellings;Wieringen;2013;;;;
5815;Total dwellings;Wieringen;2014;;;;
5816;Total dwellings;Wieringen;2015;;;;
5817;Total dwellings;Wieringen;2016;;;;
5818;Total dwellings;Wieringen;2017;;;;
5819;Total dwellings;Wieringen;2018;;;;
5820;Total dwellings;Wieringen;2019;;;;
5821;Total dwellings;Wieringen;2020;;;;
5822;Total dwellings;Wieringen;2021;;;;
5823;Total dwellings;Wieringen;2022;;;;
5824;Total dwellings;Wieringermeer;2010;2050.0;3650.0;;
5825;Total dwellings;Wieringermeer;2011;1650.0;3650.0;;
5826;Total dwellings;Wieringermeer;2012;;;;
5827;Total dwellings;Wieringermeer;2013;;;;
5828;Total dwellings;Wieringermeer;2014;;;;
5829;Total dwellings;Wieringermeer;2015;;;;
5830;Total dwellings;Wieringermeer;2016;;;;
5831;Total dwellings;Wieringermeer;2017;;;;
5832;Total dwellings;Wieringermeer;2018;;;;
5833;Total dwellings;Wieringermeer;2019;;;;
5834;Total dwellings;Wieringermeer;2020;;;;
5835;Total dwellings;Wieringermeer;2021;;;;
5836;Total dwellings;Wieringermeer;2022;;;;
5837;Total dwellings;Wijchen;2010;2000.0;3800.0;;
5838;Total dwellings;Wijchen;2011;1500.0;3700.0;;
5839;Total dwellings;Wijchen;2012;1600.0;3650.0;;
5840;Total dwellings;Wijchen;2013;1700.0;3500.0;;
5841;Total dwellings;Wijchen;2014;1250.0;3400.0;;
5842;Total dwellings;Wijchen;2015;1360.0;3360.0;;
5843;Total dwellings;Wijchen;2016;1430.0;3250.0;;
5844;Total dwellings;Wijchen;2017;1370.0;3140.0;;
5845;Total dwellings;Wijchen;2018;1360.0;3050.0;;
5846;Total dwellings;Wijchen;2019;1270.0;3060.0;;
5847;Total dwellings;Wijchen;2020;1200.0;3110.0;;
5848;Total dwellings;Wijchen;2021;1360.0;3110.0;2630.0;
5849;Total dwellings;Wijchen;2022;1060.0;2920.0;2260.0;
5850;Total dwellings;Wijdemeren;2010;2400.0;3800.0;;
5851;Total dwellings;Wijdemeren;2011;1850.0;3750.0;;
5852;Total dwellings;Wijdemeren;2012;2000.0;3700.0;;
5853;Total dwellings;Wijdemeren;2013;2050.0;3600.0;;
5854;Total dwellings;Wijdemeren;2014;1600.0;3550.0;;
5855;Total dwellings;Wijdemeren;2015;1700.0;3490.0;;
5856;Total dwellings;Wijdemeren;2016;1740.0;3360.0;;
5857;Total dwellings;Wijdemeren;2017;1660.0;3270.0;;
5858;Total dwellings;Wijdemeren;2018;1680.0;3210.0;;
5859;Total dwellings;Wijdemeren;2019;1520.0;3170.0;;
5860;Total dwellings;Wijdemeren;2020;1370.0;3130.0;;
5861;Total dwellings;Wijdemeren;2021;1580.0;3260.0;2970.0;
5862;Total dwellings;Wijdemeren;2022;1230.0;3060.0;2660.0;
5863;Total dwellings;Wijk bij Duurstede;2010;2050.0;3850.0;;
5864;Total dwellings;Wijk bij Duurstede;2011;1550.0;3800.0;;
5865;Total dwellings;Wijk bij Duurstede;2012;1600.0;3700.0;;
5866;Total dwellings;Wijk bij Duurstede;2013;1700.0;3600.0;;
5867;Total dwellings;Wijk bij Duurstede;2014;1300.0;3500.0;;
5868;Total dwellings;Wijk bij Duurstede;2015;1390.0;3400.0;;
5869;Total dwellings;Wijk bij Duurstede;2016;1410.0;3360.0;;
5870;Total dwellings;Wijk bij Duurstede;2017;1360.0;3280.0;;
5871;Total dwellings;Wijk bij Duurstede;2018;1370.0;3190.0;;
5872;Total dwellings;Wijk bij Duurstede;2019;1270.0;3080.0;;
5873;Total dwellings;Wijk bij Duurstede;2020;1210.0;3080.0;;
5874;Total dwellings;Wijk bij Duurstede;2021;1350.0;3120.0;2700.0;
5875;Total dwellings;Wijk bij Duurstede;2022;1050.0;2900.0;2310.0;
5876;Total dwellings;Winsum;2010;2350.0;3300.0;;
5877;Total dwellings;Winsum;2011;1850.0;3250.0;;
5878;Total dwellings;Winsum;2012;2000.0;3250.0;;
5879;Total dwellings;Winsum;2013;2100.0;3200.0;;
5880;Total dwellings;Winsum;2014;1550.0;3050.0;;
5881;Total dwellings;Winsum;2015;1630.0;2880.0;;
5882;Total dwellings;Winsum;2016;1710.0;2760.0;;
5883;Total dwellings;Winsum;2017;1600.0;2650.0;;
5884;Total dwellings;Winsum;2018;1640.0;2590.0;;
5885;Total dwellings;Winsum;2019;;;;
5886;Total dwellings;Winsum;2020;;;;
5887;Total dwellings;Winsum;2021;;;;
5888;Total dwellings;Winsum;2022;;;;
5889;Total dwellings;Winterswijk;2010;2150.0;3550.0;;
5890;Total dwellings;Winterswijk;2011;1700.0;3600.0;;
5891;Total dwellings;Winterswijk;2012;1750.0;3550.0;;
5892;Total dwellings;Winterswijk;2013;1900.0;3400.0;;
5893;Total dwellings;Winterswijk;2014;1400.0;3250.0;;
5894;Total dwellings;Winterswijk;2015;1490.0;3180.0;;
5895;Total dwellings;Winterswijk;2016;1560.0;3070.0;;
5896;Total dwellings;Winterswijk;2017;1510.0;2970.0;;
5897;Total dwellings;Winterswijk;2018;1510.0;2860.0;;
5898;Total dwellings;Winterswijk;2019;1410.0;2930.0;;
5899;Total dwellings;Winterswijk;2020;1330.0;3010.0;;
5900;Total dwellings;Winterswijk;2021;1510.0;3030.0;2570.0;
5901;Total dwellings;Winterswijk;2022;1200.0;2860.0;2270.0;
5902;Total dwellings;Woensdrecht;2010;2250.0;3800.0;;
5903;Total dwellings;Woensdrecht;2011;1700.0;3800.0;;
5904;Total dwellings;Woensdrecht;2012;1900.0;3850.0;;
5905;Total dwellings;Woensdrecht;2013;2000.0;3750.0;;
5906;Total dwellings;Woensdrecht;2014;1450.0;3550.0;;
5907;Total dwellings;Woensdrecht;2015;1550.0;3510.0;;
5908;Total dwellings;Woensdrecht;2016;1580.0;3430.0;;
5909;Total dwellings;Woensdrecht;2017;1510.0;3390.0;;
5910;Total dwellings;Woensdrecht;2018;1520.0;3330.0;;
5911;Total dwellings;Woensdrecht;2019;1400.0;3190.0;;
5912;Total dwellings;Woensdrecht;2020;1320.0;3220.0;;
5913;Total dwellings;Woensdrecht;2021;1500.0;3270.0;2840.0;
5914;Total dwellings;Woensdrecht;2022;1170.0;3100.0;2500.0;
5915;Total dwellings;Woerden;2010;1950.0;3450.0;;
5916;Total dwellings;Woerden;2011;1450.0;3400.0;;
5917;Total dwellings;Woerden;2012;1550.0;3350.0;;
5918;Total dwellings;Woerden;2013;1600.0;3300.0;;
5919;Total dwellings;Woerden;2014;1200.0;3150.0;;
5920;Total dwellings;Woerden;2015;1300.0;3160.0;;
5921;Total dwellings;Woerden;2016;1340.0;3070.0;;
5922;Total dwellings;Woerden;2017;1300.0;3010.0;;
5923;Total dwellings;Woerden;2018;1300.0;2950.0;;
5924;Total dwellings;Woerden;2019;1230.0;2850.0;;
5925;Total dwellings;Woerden;2020;1150.0;2870.0;;
5926;Total dwellings;Woerden;2021;1290.0;2920.0;2570.0;
5927;Total dwellings;Woerden;2022;1000.0;2740.0;2240.0;
5928;Total dwellings;De Wolden;2010;2650.0;3900.0;;
5929;Total dwellings;De Wolden;2011;2100.0;3900.0;;
5930;Total dwellings;De Wolden;2012;2250.0;3850.0;;
5931;Total dwellings;De Wolden;2013;2400.0;3750.0;;
5932;Total dwellings;De Wolden;2014;1750.0;3600.0;;
5933;Total dwellings;De Wolden;2015;1850.0;3490.0;;
5934;Total dwellings;De Wolden;2016;1930.0;3410.0;;
5935;Total dwellings;De Wolden;2017;1830.0;3310.0;;
5936;Total dwellings;De Wolden;2018;1850.0;3250.0;;
5937;Total dwellings;De Wolden;2019;1680.0;3120.0;;
5938;Total dwellings;De Wolden;2020;1600.0;3140.0;;
5939;Total dwellings;De Wolden;2021;1800.0;3220.0;2560.0;
5940;Total dwellings;De Wolden;2022;1420.0;3070.0;2180.0;
5941;Total dwellings;Wormerland;2010;1950.0;3400.0;;
5942;Total dwellings;Wormerland;2011;1500.0;3400.0;;
5943;Total dwellings;Wormerland;2012;1600.0;3250.0;;
5944;Total dwellings;Wormerland;2013;1700.0;3200.0;;
5945;Total dwellings;Wormerland;2014;1250.0;3100.0;;
5946;Total dwellings;Wormerland;2015;1370.0;3090.0;;
5947;Total dwellings;Wormerland;2016;1410.0;2990.0;;
5948;Total dwellings;Wormerland;2017;1330.0;2960.0;;
5949;Total dwellings;Wormerland;2018;1340.0;2840.0;;
5950;Total dwellings;Wormerland;2019;1250.0;2800.0;;
5951;Total dwellings;Wormerland;2020;1210.0;2810.0;;
5952;Total dwellings;Wormerland;2021;1370.0;2860.0;2480.0;
5953;Total dwellings;Wormerland;2022;1030.0;2640.0;2150.0;
5954;Total dwellings;Woudenberg;2010;2200.0;3800.0;;
5955;Total dwellings;Woudenberg;2011;1750.0;3750.0;;
5956;Total dwellings;Woudenberg;2012;1750.0;3600.0;;
5957;Total dwellings;Woudenberg;2013;1850.0;3600.0;;
5958;Total dwellings;Woudenberg;2014;1400.0;3450.0;;
5959;Total dwellings;Woudenberg;2015;1510.0;3380.0;;
5960;Total dwellings;Woudenberg;2016;1560.0;3300.0;;
5961;Total dwellings;Woudenberg;2017;1510.0;3240.0;;
5962;Total dwellings;Woudenberg;2018;1490.0;3160.0;;
5963;Total dwellings;Woudenberg;2019;1380.0;3060.0;;
5964;Total dwellings;Woudenberg;2020;1300.0;3080.0;;
5965;Total dwellings;Woudenberg;2021;1420.0;3160.0;2700.0;
5966;Total dwellings;Woudenberg;2022;1100.0;2990.0;2340.0;
5967;Total dwellings;Woudrichem;2010;2250.0;3800.0;;
5968;Total dwellings;Woudrichem;2011;1800.0;3800.0;;
5969;Total dwellings;Woudrichem;2012;1950.0;3800.0;;
5970;Total dwellings;Woudrichem;2013;2050.0;3750.0;;
5971;Total dwellings;Woudrichem;2014;1500.0;3550.0;;
5972;Total dwellings;Woudrichem;2015;1550.0;3460.0;;
5973;Total dwellings;Woudrichem;2016;1600.0;3390.0;;
5974;Total dwellings;Woudrichem;2017;1550.0;3320.0;;
5975;Total dwellings;Woudrichem;2018;1510.0;3320.0;;
5976;Total dwellings;Woudrichem;2019;;;;
5977;Total dwellings;Woudrichem;2020;;;;
5978;Total dwellings;Woudrichem;2021;;;;
5979;Total dwellings;Woudrichem;2022;;;;
5980;Total dwellings;Wûnseradiel;2010;2300.0;3250.0;;
5981;Total dwellings;Wûnseradiel;2011;;;;
5982;Total dwellings;Wûnseradiel;2012;;;;
5983;Total dwellings;Wûnseradiel;2013;;;;
5984;Total dwellings;Wûnseradiel;2014;;;;
5985;Total dwellings;Wûnseradiel;2015;;;;
5986;Total dwellings;Wûnseradiel;2016;;;;
5987;Total dwellings;Wûnseradiel;2017;;;;
5988;Total dwellings;Wûnseradiel;2018;;;;
5989;Total dwellings;Wûnseradiel;2019;;;;
5990;Total dwellings;Wûnseradiel;2020;;;;
5991;Total dwellings;Wûnseradiel;2021;;;;
5992;Total dwellings;Wûnseradiel;2022;;;;
5993;Total dwellings;Wymbritseradiel;2010;2350.0;3250.0;;
5994;Total dwellings;Wymbritseradiel;2011;;;;
5995;Total dwellings;Wymbritseradiel;2012;;;;
5996;Total dwellings;Wymbritseradiel;2013;;;;
5997;Total dwellings;Wymbritseradiel;2014;;;;
5998;Total dwellings;Wymbritseradiel;2015;;;;
5999;Total dwellings;Wymbritseradiel;2016;;;;
6000;Total dwellings;Wymbritseradiel;2017;;;;
6001;Total dwellings;Wymbritseradiel;2018;;;;
6002;Total dwellings;Wymbritseradiel;2019;;;;
6003;Total dwellings;Wymbritseradiel;2020;;;;
6004;Total dwellings;Wymbritseradiel;2021;;;;
6005;Total dwellings;Wymbritseradiel;2022;;;;
6006;Total dwellings;Zaanstad;2010;1750.0;3100.0;;
6007;Total dwellings;Zaanstad;2011;1350.0;3050.0;;
6008;Total dwellings;Zaanstad;2012;1450.0;2950.0;;
6009;Total dwellings;Zaanstad;2013;1550.0;2900.0;;
6010;Total dwellings;Zaanstad;2014;1150.0;2800.0;;
6011;Total dwellings;Zaanstad;2015;1230.0;2770.0;;
6012;Total dwellings;Zaanstad;2016;1270.0;2700.0;;
6013;Total dwellings;Zaanstad;2017;1220.0;2640.0;;
6014;Total dwellings;Zaanstad;2018;1220.0;2570.0;;
6015;Total dwellings;Zaanstad;2019;1130.0;2530.0;;
6016;Total dwellings;Zaanstad;2020;1090.0;2590.0;;
6017;Total dwellings;Zaanstad;2021;1200.0;2630.0;2440.0;
6018;Total dwellings;Zaanstad;2022;920.0;2460.0;2190.0;
6019;Total dwellings;Zaltbommel;2010;2200.0;3850.0;;
6020;Total dwellings;Zaltbommel;2011;1700.0;3800.0;;
6021;Total dwellings;Zaltbommel;2012;1800.0;3800.0;;
6022;Total dwellings;Zaltbommel;2013;1950.0;3650.0;;
6023;Total dwellings;Zaltbommel;2014;1450.0;3500.0;;
6024;Total dwellings;Zaltbommel;2015;1530.0;3460.0;;
6025;Total dwellings;Zaltbommel;2016;1570.0;3370.0;;
6026;Total dwellings;Zaltbommel;2017;1510.0;3260.0;;
6027;Total dwellings;Zaltbommel;2018;1520.0;3100.0;;
6028;Total dwellings;Zaltbommel;2019;1400.0;3130.0;;
6029;Total dwellings;Zaltbommel;2020;1320.0;3220.0;;
6030;Total dwellings;Zaltbommel;2021;1480.0;3260.0;2750.0;
6031;Total dwellings;Zaltbommel;2022;1150.0;3090.0;2350.0;
6032;Total dwellings;Zandvoort;2010;1900.0;3100.0;;5.0
6033;Total dwellings;Zandvoort;2011;1450.0;3150.0;;5.0
6034;Total dwellings;Zandvoort;2012;1500.0;3050.0;;9.0
6035;Total dwellings;Zandvoort;2013;1500.0;3000.0;;8.1
6036;Total dwellings;Zandvoort;2014;1200.0;2900.0;;6.5
6037;Total dwellings;Zandvoort;2015;1310.0;2860.0;;6.3
6038;Total dwellings;Zandvoort;2016;1390.0;2830.0;;6.2
6039;Total dwellings;Zandvoort;2017;1340.0;2820.0;;6.1
6040;Total dwellings;Zandvoort;2018;1350.0;2780.0;;
6041;Total dwellings;Zandvoort;2019;1270.0;2750.0;;5.7
6042;Total dwellings;Zandvoort;2020;1180.0;2710.0;;5.9
6043;Total dwellings;Zandvoort;2021;1360.0;2790.0;2690.0;6.0
6044;Total dwellings;Zandvoort;2022;1070.0;2600.0;2470.0;5.8
6045;Total dwellings;Zederik;2010;2200.0;3800.0;;
6046;Total dwellings;Zederik;2011;1750.0;3700.0;;
6047;Total dwellings;Zederik;2012;1750.0;3600.0;;
6048;Total dwellings;Zederik;2013;1900.0;3550.0;;
6049;Total dwellings;Zederik;2014;1450.0;3350.0;;
6050;Total dwellings;Zederik;2015;1520.0;3330.0;;
6051;Total dwellings;Zederik;2016;1570.0;3290.0;;
6052;Total dwellings;Zederik;2017;1490.0;3240.0;;
6053;Total dwellings;Zederik;2018;1520.0;3200.0;;
6054;Total dwellings;Zederik;2019;;;;
6055;Total dwellings;Zederik;2020;;;;
6056;Total dwellings;Zederik;2021;;;;
6057;Total dwellings;Zederik;2022;;;;
6058;Total dwellings;Zeevang;2010;2550.0;4100.0;;
6059;Total dwellings;Zeevang;2011;2000.0;4000.0;;
6060;Total dwellings;Zeevang;2012;2050.0;4000.0;;
6061;Total dwellings;Zeevang;2013;2250.0;3850.0;;
6062;Total dwellings;Zeevang;2014;1700.0;3700.0;;
6063;Total dwellings;Zeevang;2015;1770.0;3560.0;;
6064;Total dwellings;Zeevang;2016;;;;
6065;Total dwellings;Zeevang;2017;;;;
6066;Total dwellings;Zeevang;2018;;;;
6067;Total dwellings;Zeevang;2019;;;;
6068;Total dwellings;Zeevang;2020;;;;
6069;Total dwellings;Zeevang;2021;;;;
6070;Total dwellings;Zeevang;2022;;;;
6071;Total dwellings;Zeewolde;2010;1550.0;3850.0;;8.0
6072;Total dwellings;Zeewolde;2011;1200.0;3800.0;;10.0
6073;Total dwellings;Zeewolde;2012;1200.0;3700.0;;12.0
6074;Total dwellings;Zeewolde;2013;1300.0;3500.0;;11.6
6075;Total dwellings;Zeewolde;2014;1000.0;3400.0;;12.0
6076;Total dwellings;Zeewolde;2015;1020.0;3320.0;;14.7
6077;Total dwellings;Zeewolde;2016;1070.0;3160.0;;15.1
6078;Total dwellings;Zeewolde;2017;990.0;3090.0;;15.0
6079;Total dwellings;Zeewolde;2018;1050.0;2980.0;;
6080;Total dwellings;Zeewolde;2019;960.0;3010.0;;17.0
6081;Total dwellings;Zeewolde;2020;920.0;3050.0;;17.6
6082;Total dwellings;Zeewolde;2021;1030.0;3100.0;2590.0;18.4
6083;Total dwellings;Zeewolde;2022;790.0;2900.0;2160.0;19.7
6084;Total dwellings;Zeist;2010;2150.0;3350.0;;
6085;Total dwellings;Zeist;2011;1700.0;3350.0;;
6086;Total dwellings;Zeist;2012;1800.0;3300.0;;
6087;Total dwellings;Zeist;2013;1900.0;3250.0;;
6088;Total dwellings;Zeist;2014;1400.0;3200.0;;
6089;Total dwellings;Zeist;2015;1530.0;3110.0;;
6090;Total dwellings;Zeist;2016;1610.0;3100.0;;
6091;Total dwellings;Zeist;2017;1500.0;3020.0;;
6092;Total dwellings;Zeist;2018;1470.0;2930.0;;
6093;Total dwellings;Zeist;2019;1360.0;2840.0;;
6094;Total dwellings;Zeist;2020;1280.0;2840.0;;
6095;Total dwellings;Zeist;2021;1440.0;2930.0;2730.0;
6096;Total dwellings;Zeist;2022;1120.0;2760.0;2450.0;
6097;Total dwellings;Zevenaar;2010;1950.0;3500.0;;
6098;Total dwellings;Zevenaar;2011;1550.0;3500.0;;
6099;Total dwellings;Zevenaar;2012;1550.0;3400.0;;
6100;Total dwellings;Zevenaar;2013;1650.0;3350.0;;
6101;Total dwellings;Zevenaar;2014;1200.0;3250.0;;
6102;Total dwellings;Zevenaar;2015;1310.0;3190.0;;3.1
6103;Total dwellings;Zevenaar;2016;1340.0;3090.0;;3.1
6104;Total dwellings;Zevenaar;2017;1310.0;3040.0;;3.1
6105;Total dwellings;Zevenaar;2018;1360.0;2970.0;;
6106;Total dwellings;Zevenaar;2019;1250.0;2940.0;;
6107;Total dwellings;Zevenaar;2020;1190.0;2970.0;;3.3
6108;Total dwellings;Zevenaar;2021;1330.0;2990.0;2530.0;3.5
6109;Total dwellings;Zevenaar;2022;1040.0;2840.0;2240.0;4.3
6110;Total dwellings;Zijpe;2010;2250.0;3650.0;;
6111;Total dwellings;Zijpe;2011;1800.0;3700.0;;
6112;Total dwellings;Zijpe;2012;1900.0;3650.0;;
6113;Total dwellings;Zijpe;2013;;;;
6114;Total dwellings;Zijpe;2014;;;;
6115;Total dwellings;Zijpe;2015;;;;
6116;Total dwellings;Zijpe;2016;;;;
6117;Total dwellings;Zijpe;2017;;;;
6118;Total dwellings;Zijpe;2018;;;;
6119;Total dwellings;Zijpe;2019;;;;
6120;Total dwellings;Zijpe;2020;;;;
6121;Total dwellings;Zijpe;2021;;;;
6122;Total dwellings;Zijpe;2022;;;;
6123;Total dwellings;Zoetermeer;2010;1450.0;3400.0;;5.0
6124;Total dwellings;Zoetermeer;2011;1100.0;3350.0;;5.0
6125;Total dwellings;Zoetermeer;2012;1200.0;3300.0;;5.1
6126;Total dwellings;Zoetermeer;2013;1250.0;3200.0;;5.1
6127;Total dwellings;Zoetermeer;2014;950.0;3100.0;;5.1
6128;Total dwellings;Zoetermeer;2015;990.0;3040.0;;6.3
6129;Total dwellings;Zoetermeer;2016;1040.0;3000.0;;6.3
6130;Total dwellings;Zoetermeer;2017;1010.0;2950.0;;6.2
6131;Total dwellings;Zoetermeer;2018;1000.0;2880.0;;
6132;Total dwellings;Zoetermeer;2019;950.0;2800.0;;4.6
6133;Total dwellings;Zoetermeer;2020;910.0;2830.0;;5.3
6134;Total dwellings;Zoetermeer;2021;1000.0;2860.0;2600.0;5.3
6135;Total dwellings;Zoetermeer;2022;780.0;2650.0;2300.0;5.1
6136;Total dwellings;Zoeterwoude;2010;1900.0;3650.0;;
6137;Total dwellings;Zoeterwoude;2011;1450.0;3600.0;;
6138;Total dwellings;Zoeterwoude;2012;1550.0;3550.0;;
6139;Total dwellings;Zoeterwoude;2013;1750.0;3500.0;;
6140;Total dwellings;Zoeterwoude;2014;1250.0;3300.0;;
6141;Total dwellings;Zoeterwoude;2015;1310.0;3210.0;;
6142;Total dwellings;Zoeterwoude;2016;1350.0;3100.0;;
6143;Total dwellings;Zoeterwoude;2017;1260.0;3090.0;;
6144;Total dwellings;Zoeterwoude;2018;1310.0;2930.0;;
6145;Total dwellings;Zoeterwoude;2019;1210.0;2950.0;;
6146;Total dwellings;Zoeterwoude;2020;1150.0;3010.0;;
6147;Total dwellings;Zoeterwoude;2021;1250.0;3010.0;2570.0;
6148;Total dwellings;Zoeterwoude;2022;930.0;2840.0;2260.0;
6149;Total dwellings;Zuidhorn;2010;2450.0;3450.0;;
6150;Total dwellings;Zuidhorn;2011;1900.0;3400.0;;
6151;Total dwellings;Zuidhorn;2012;2100.0;3350.0;;
6152;Total dwellings;Zuidhorn;2013;2150.0;3300.0;;
6153;Total dwellings;Zuidhorn;2014;1600.0;3100.0;;
6154;Total dwellings;Zuidhorn;2015;1690.0;3020.0;;
6155;Total dwellings;Zuidhorn;2016;1820.0;2970.0;;
6156;Total dwellings;Zuidhorn;2017;1670.0;2890.0;;
6157;Total dwellings;Zuidhorn;2018;1740.0;2840.0;;
6158;Total dwellings;Zuidhorn;2019;;;;
6159;Total dwellings;Zuidhorn;2020;;;;
6160;Total dwellings;Zuidhorn;2021;;;;
6161;Total dwellings;Zuidhorn;2022;;;;
6162;Total dwellings;Zuidplas;2010;1900.0;3800.0;;
6163;Total dwellings;Zuidplas;2011;1450.0;3700.0;;
6164;Total dwellings;Zuidplas;2012;1500.0;3650.0;;
6165;Total dwellings;Zuidplas;2013;1600.0;3550.0;;
6166;Total dwellings;Zuidplas;2014;1200.0;3450.0;;
6167;Total dwellings;Zuidplas;2015;1270.0;3300.0;;
6168;Total dwellings;Zuidplas;2016;1300.0;3320.0;;
6169;Total dwellings;Zuidplas;2017;1230.0;3240.0;;
6170;Total dwellings;Zuidplas;2018;1290.0;3160.0;;
6171;Total dwellings;Zuidplas;2019;1210.0;3090.0;;
6172;Total dwellings;Zuidplas;2020;1130.0;3090.0;;
6173;Total dwellings;Zuidplas;2021;1250.0;3150.0;2790.0;
6174;Total dwellings;Zuidplas;2022;960.0;2970.0;2430.0;
6175;Total dwellings;Zundert;2010;2400.0;3950.0;;
6176;Total dwellings;Zundert;2011;1800.0;3950.0;;
6177;Total dwellings;Zundert;2012;2000.0;3900.0;;
6178;Total dwellings;Zundert;2013;2150.0;3900.0;;
6179;Total dwellings;Zundert;2014;1600.0;3750.0;;
6180;Total dwellings;Zundert;2015;1700.0;3680.0;;
6181;Total dwellings;Zundert;2016;1770.0;3600.0;;
6182;Total dwellings;Zundert;2017;1700.0;3630.0;;
6183;Total dwellings;Zundert;2018;1710.0;3530.0;;
6184;Total dwellings;Zundert;2019;1570.0;3430.0;;
6185;Total dwellings;Zundert;2020;1440.0;3400.0;;
6186;Total dwellings;Zundert;2021;1630.0;3470.0;3030.0;
6187;Total dwellings;Zundert;2022;1280.0;3280.0;2630.0;
6188;Total dwellings;Zutphen;2010;1850.0;3050.0;;
6189;Total dwellings;Zutphen;2011;1450.0;3050.0;;
6190;Total dwellings;Zutphen;2012;1550.0;3000.0;;
6191;Total dwellings;Zutphen;2013;1600.0;2900.0;;
6192;Total dwellings;Zutphen;2014;1200.0;2800.0;;
6193;Total dwellings;Zutphen;2015;1290.0;2740.0;;
6194;Total dwellings;Zutphen;2016;1340.0;2650.0;;
6195;Total dwellings;Zutphen;2017;1300.0;2560.0;;
6196;Total dwellings;Zutphen;2018;1280.0;2490.0;;
6197;Total dwellings;Zutphen;2019;1180.0;2480.0;;
6198;Total dwellings;Zutphen;2020;1110.0;2510.0;;
6199;Total dwellings;Zutphen;2021;1250.0;2540.0;2250.0;
6200;Total dwellings;Zutphen;2022;980.0;2410.0;2040.0;
6201;Total dwellings;Zwartewaterland;2010;2150.0;3550.0;;
6202;Total dwellings;Zwartewaterland;2011;1700.0;3550.0;;
6203;Total dwellings;Zwartewaterland;2012;1800.0;3500.0;;
6204;Total dwellings;Zwartewaterland;2013;1900.0;3400.0;;
6205;Total dwellings;Zwartewaterland;2014;1400.0;3250.0;;
6206;Total dwellings;Zwartewaterland;2015;1490.0;3160.0;;
6207;Total dwellings;Zwartewaterland;2016;1580.0;3110.0;;
6208;Total dwellings;Zwartewaterland;2017;1490.0;3080.0;;
6209;Total dwellings;Zwartewaterland;2018;1500.0;3050.0;;
6210;Total dwellings;Zwartewaterland;2019;1390.0;2960.0;;
6211;Total dwellings;Zwartewaterland;2020;1330.0;3020.0;;
6212;Total dwellings;Zwartewaterland;2021;1500.0;3080.0;2700.0;
6213;Total dwellings;Zwartewaterland;2022;1180.0;2940.0;2350.0;
6214;Total dwellings;Zwijndrecht;2010;1750.0;3200.0;;
6215;Total dwellings;Zwijndrecht;2011;1350.0;3150.0;;
6216;Total dwellings;Zwijndrecht;2012;1450.0;3100.0;;
6217;Total dwellings;Zwijndrecht;2013;1500.0;3050.0;;
6218;Total dwellings;Zwijndrecht;2014;1150.0;2950.0;;
6219;Total dwellings;Zwijndrecht;2015;1230.0;2900.0;;
6220;Total dwellings;Zwijndrecht;2016;1270.0;2870.0;;
6221;Total dwellings;Zwijndrecht;2017;1260.0;2810.0;;
6222;Total dwellings;Zwijndrecht;2018;1200.0;2760.0;;
6223;Total dwellings;Zwijndrecht;2019;1120.0;2690.0;;
6224;Total dwellings;Zwijndrecht;2020;1070.0;2710.0;;
6225;Total dwellings;Zwijndrecht;2021;1190.0;2720.0;2510.0;
6226;Total dwellings;Zwijndrecht;2022;920.0;2560.0;2250.0;
6227;Total dwellings;Zwolle;2010;1750.0;3050.0;;
6228;Total dwellings;Zwolle;2011;1350.0;3050.0;;
6229;Total dwellings;Zwolle;2012;1450.0;3050.0;;
6230;Total dwellings;Zwolle;2013;1500.0;3000.0;;
6231;Total dwellings;Zwolle;2014;1100.0;2900.0;;
6232;Total dwellings;Zwolle;2015;1180.0;2800.0;;
6233;Total dwellings;Zwolle;2016;1220.0;2730.0;;
6234;Total dwellings;Zwolle;2017;1180.0;2670.0;;
6235;Total dwellings;Zwolle;2018;1170.0;2580.0;;
6236;Total dwellings;Zwolle;2019;1070.0;2500.0;;
6237;Total dwellings;Zwolle;2020;1020.0;2500.0;;
6238;Total dwellings;Zwolle;2021;1140.0;2560.0;2190.0;
6239;Total dwellings;Zwolle;2022;890.0;2410.0;1930.0;
6240;Total dwellings;Abroad;2010;;;;
6241;Total dwellings;Abroad;2011;;;;
6242;Total dwellings;Abroad;2012;;;;
6243;Total dwellings;Abroad;2013;;;;
6244;Total dwellings;Abroad;2014;;;;
6245;Total dwellings;Abroad;2015;;;;
6246;Total dwellings;Abroad;2016;;;;
