ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
4435;Combined company halls;Production of building projects;2024 2nd quarter;546.0
4436;Combined company halls;Production of building projects;2024 July;175.0
4437;Combined company halls;Production of building projects;2024 August;94.0
4438;Combined company halls;Production of building projects;2024 September;205.0
4439;Combined company halls;Production of building projects;2024 3rd quarter;474.0
4440;Combined company halls;Production of building projects;2024 October;221.0
4441;Combined company halls;Production of building projects;2024 November;195.0
4442;Combined company halls;Production of building projects;2024 December;161.0
4443;Combined company halls;Production of building projects;2024 4th quarter;576.0
4444;Combined company halls;Production of building projects;2024;2128.0
4445;Combined company halls;Production of building projects;2025 January;186.0
4446;Combined company halls;Remaining production of buildings;2015 January;547.0
4447;Combined company halls;Remaining production of buildings;2015 February;511.0
4448;Combined company halls;Remaining production of buildings;2015 March;499.0
4449;Combined company halls;Remaining production of buildings;2015 1st quarter;499.0
4450;Combined company halls;Remaining production of buildings;2015 April;497.0
4451;Combined company halls;Remaining production of buildings;2015 May;517.0
4452;Combined company halls;Remaining production of buildings;2015 June;552.0
4453;Combined company halls;Remaining production of buildings;2015 2nd quarter;552.0
4454;Combined company halls;Remaining production of buildings;2015 July;535.0
4455;Combined company halls;Remaining production of buildings;2015 August;562.0
4456;Combined company halls;Remaining production of buildings;2015 September;540.0
4457;Combined company halls;Remaining production of buildings;2015 3rd quarter;540.0
4458;Combined company halls;Remaining production of buildings;2015 October;527.0
4459;Combined company halls;Remaining production of buildings;2015 November;509.0
4460;Combined company halls;Remaining production of buildings;2015 December;515.0
4461;Combined company halls;Remaining production of buildings;2015 4th quarter;515.0
4462;Combined company halls;Remaining production of buildings;2015;515.0
4463;Combined company halls;Remaining production of buildings;2016 January;534.0
4464;Combined company halls;Remaining production of buildings;2016 February;532.0
4465;Combined company halls;Remaining production of buildings;2016 March;519.0
4466;Combined company halls;Remaining production of buildings;2016 1st quarter;519.0
4467;Combined company halls;Remaining production of buildings;2016 April;529.0
4468;Combined company halls;Remaining production of buildings;2016 May;561.0
4469;Combined company halls;Remaining production of buildings;2016 June;578.0
4470;Combined company halls;Remaining production of buildings;2016 2nd quarter;578.0
4471;Combined company halls;Remaining production of buildings;2016 July;604.0
4472;Combined company halls;Remaining production of buildings;2016 August;682.0
4473;Combined company halls;Remaining production of buildings;2016 September;669.0
4474;Combined company halls;Remaining production of buildings;2016 3rd quarter;669.0
4475;Combined company halls;Remaining production of buildings;2016 October;691.0
4476;Combined company halls;Remaining production of buildings;2016 November;739.0
4477;Combined company halls;Remaining production of buildings;2016 December;730.0
4478;Combined company halls;Remaining production of buildings;2016 4th quarter;730.0
4479;Combined company halls;Remaining production of buildings;2016;730.0
4480;Combined company halls;Remaining production of buildings;2017 January;788.0
4481;Combined company halls;Remaining production of buildings;2017 February;859.0
4482;Combined company halls;Remaining production of buildings;2017 March;818.0
4483;Combined company halls;Remaining production of buildings;2017 1st quarter;818.0
4484;Combined company halls;Remaining production of buildings;2017 April;907.0
4485;Combined company halls;Remaining production of buildings;2017 May;923.0
4486;Combined company halls;Remaining production of buildings;2017 June;889.0
4487;Combined company halls;Remaining production of buildings;2017 2nd quarter;889.0
4488;Combined company halls;Remaining production of buildings;2017 July;900.0
4489;Combined company halls;Remaining production of buildings;2017 August;918.0
4490;Combined company halls;Remaining production of buildings;2017 September;1015.0
4491;Combined company halls;Remaining production of buildings;2017 3rd quarter;1015.0
4492;Combined company halls;Remaining production of buildings;2017 October;998.0
4493;Combined company halls;Remaining production of buildings;2017 November;993.0
4494;Combined company halls;Remaining production of buildings;2017 December;1045.0
4495;Combined company halls;Remaining production of buildings;2017 4th quarter;1045.0
4496;Combined company halls;Remaining production of buildings;2017;1045.0
4497;Combined company halls;Remaining production of buildings;2018 January;1027.0
4498;Combined company halls;Remaining production of buildings;2018 February;1046.0
4499;Combined company halls;Remaining production of buildings;2018 March;1007.0
4500;Combined company halls;Remaining production of buildings;2018 1st quarter;1007.0
4501;Combined company halls;Remaining production of buildings;2018 April;992.0
4502;Combined company halls;Remaining production of buildings;2018 May;1007.0
4503;Combined company halls;Remaining production of buildings;2018 June;1072.0
4504;Combined company halls;Remaining production of buildings;2018 2nd quarter;1072.0
4505;Combined company halls;Remaining production of buildings;2018 July;1113.0
4506;Combined company halls;Remaining production of buildings;2018 August;1150.0
4507;Combined company halls;Remaining production of buildings;2018 September;1174.0
4508;Combined company halls;Remaining production of buildings;2018 3rd quarter;1174.0
4509;Combined company halls;Remaining production of buildings;2018 October;1118.0
4510;Combined company halls;Remaining production of buildings;2018 November;1096.0
4511;Combined company halls;Remaining production of buildings;2018 December;1104.0
4512;Combined company halls;Remaining production of buildings;2018 4th quarter;1104.0
4513;Combined company halls;Remaining production of buildings;2018;1104.0
4514;Combined company halls;Remaining production of buildings;2019 January;1166.0
4515;Combined company halls;Remaining production of buildings;2019 February;1164.0
4516;Combined company halls;Remaining production of buildings;2019 March;1129.0
4517;Combined company halls;Remaining production of buildings;2019 1st quarter;1129.0
4518;Combined company halls;Remaining production of buildings;2019 April;1137.0
4519;Combined company halls;Remaining production of buildings;2019 May;1144.0
4520;Combined company halls;Remaining production of buildings;2019 June;1181.0
4521;Combined company halls;Remaining production of buildings;2019 2nd quarter;1181.0
4522;Combined company halls;Remaining production of buildings;2019 July;1152.0
4523;Combined company halls;Remaining production of buildings;2019 August;1268.0
4524;Combined company halls;Remaining production of buildings;2019 September;1250.0
4525;Combined company halls;Remaining production of buildings;2019 3rd quarter;1250.0
4526;Combined company halls;Remaining production of buildings;2019 October;1211.0
4527;Combined company halls;Remaining production of buildings;2019 November;1174.0
4528;Combined company halls;Remaining production of buildings;2019 December;1232.0
4529;Combined company halls;Remaining production of buildings;2019 4th quarter;1232.0
4530;Combined company halls;Remaining production of buildings;2019;1232.0
4531;Combined company halls;Remaining production of buildings;2020 January;1286.0
4532;Combined company halls;Remaining production of buildings;2020 February;1302.0
4533;Combined company halls;Remaining production of buildings;2020 March;1249.0
4534;Combined company halls;Remaining production of buildings;2020 1st quarter;1249.0
4535;Combined company halls;Remaining production of buildings;2020 April;1264.0
4536;Combined company halls;Remaining production of buildings;2020 May;1269.0
4537;Combined company halls;Remaining production of buildings;2020 June;1314.0
4538;Combined company halls;Remaining production of buildings;2020 2nd quarter;1314.0
4539;Combined company halls;Remaining production of buildings;2020 July;1377.0
4540;Combined company halls;Remaining production of buildings;2020 August;1512.0
4541;Combined company halls;Remaining production of buildings;2020 September;1512.0
4542;Combined company halls;Remaining production of buildings;2020 3rd quarter;1512.0
4543;Combined company halls;Remaining production of buildings;2020 October;1503.0
4544;Combined company halls;Remaining production of buildings;2020 November;1414.0
4545;Combined company halls;Remaining production of buildings;2020 December;1450.0
4546;Combined company halls;Remaining production of buildings;2020 4th quarter;1450.0
4547;Combined company halls;Remaining production of buildings;2020;1450.0
4548;Combined company halls;Remaining production of buildings;2021 January;1437.0
4549;Combined company halls;Remaining production of buildings;2021 February;1436.0
4550;Combined company halls;Remaining production of buildings;2021 March;1392.0
4551;Combined company halls;Remaining production of buildings;2021 1st quarter;1392.0
4552;Combined company halls;Remaining production of buildings;2021 April;1380.0
4553;Combined company halls;Remaining production of buildings;2021 May;1400.0
4554;Combined company halls;Remaining production of buildings;2021 June;1375.0
4555;Combined company halls;Remaining production of buildings;2021 2nd quarter;1375.0
4556;Combined company halls;Remaining production of buildings;2021 July;1375.0
4557;Combined company halls;Remaining production of buildings;2021 August;1433.0
4558;Combined company halls;Remaining production of buildings;2021 September;1390.0
4559;Combined company halls;Remaining production of buildings;2021 3rd quarter;1390.0
4560;Combined company halls;Remaining production of buildings;2021 October;1429.0
4561;Combined company halls;Remaining production of buildings;2021 November;1416.0
4562;Combined company halls;Remaining production of buildings;2021 December;1447.0
4563;Combined company halls;Remaining production of buildings;2021 4th quarter;1447.0
4564;Combined company halls;Remaining production of buildings;2021;1447.0
4565;Combined company halls;Remaining production of buildings;2022 January;1460.0
4566;Combined company halls;Remaining production of buildings;2022 February;1485.0
4567;Combined company halls;Remaining production of buildings;2022 March;1548.0
4568;Combined company halls;Remaining production of buildings;2022 1st quarter;1548.0
4569;Combined company halls;Remaining production of buildings;2022 April;1515.0
4570;Combined company halls;Remaining production of buildings;2022 May;1534.0
4571;Combined company halls;Remaining production of buildings;2022 June;1486.0
4572;Combined company halls;Remaining production of buildings;2022 2nd quarter;1486.0
4573;Combined company halls;Remaining production of buildings;2022 July;1559.0
4574;Combined company halls;Remaining production of buildings;2022 August;1797.0
4575;Combined company halls;Remaining production of buildings;2022 September;1817.0
4576;Combined company halls;Remaining production of buildings;2022 3rd quarter;1817.0
4577;Combined company halls;Remaining production of buildings;2022 October;1957.0
4578;Combined company halls;Remaining production of buildings;2022 November;1863.0
4579;Combined company halls;Remaining production of buildings;2022 December;2060.0
4580;Combined company halls;Remaining production of buildings;2022 4th quarter;2060.0
4581;Combined company halls;Remaining production of buildings;2022;2060.0
4582;Combined company halls;Remaining production of buildings;2023 January;2049.0
4583;Combined company halls;Remaining production of buildings;2023 February;2113.0
4584;Combined company halls;Remaining production of buildings;2023 March;2260.0
4585;Combined company halls;Remaining production of buildings;2023 1st quarter;2260.0
4586;Combined company halls;Remaining production of buildings;2023 April;2100.0
4587;Combined company halls;Remaining production of buildings;2023 May;2050.0
4588;Combined company halls;Remaining production of buildings;2023 June;2023.0
4589;Combined company halls;Remaining production of buildings;2023 2nd quarter;2023.0
4590;Combined company halls;Remaining production of buildings;2023 July;1983.0
4591;Combined company halls;Remaining production of buildings;2023 August;1963.0
4592;Combined company halls;Remaining production of buildings;2023 September;1825.0
4593;Combined company halls;Remaining production of buildings;2023 3rd quarter;1825.0
4594;Combined company halls;Remaining production of buildings;2023 October;1724.0
4595;Combined company halls;Remaining production of buildings;2023 November;1613.0
4596;Combined company halls;Remaining production of buildings;2023 December;1574.0
4597;Combined company halls;Remaining production of buildings;2023 4th quarter;1574.0
4598;Combined company halls;Remaining production of buildings;2023;1574.0
4599;Combined company halls;Remaining production of buildings;2024 January;1565.0
4600;Combined company halls;Remaining production of buildings;2024 February;1670.0
4601;Combined company halls;Remaining production of buildings;2024 March;1618.0
4602;Combined company halls;Remaining production of buildings;2024 1st quarter;1618.0
4603;Combined company halls;Remaining production of buildings;2024 April;1544.0
4604;Combined company halls;Remaining production of buildings;2024 May;1498.0
4605;Combined company halls;Remaining production of buildings;2024 June;1708.0
4606;Combined company halls;Remaining production of buildings;2024 2nd quarter;1708.0
4607;Combined company halls;Remaining production of buildings;2024 July;1684.0
4608;Combined company halls;Remaining production of buildings;2024 August;1767.0
4609;Combined company halls;Remaining production of buildings;2024 September;1870.0
4610;Combined company halls;Remaining production of buildings;2024 3rd quarter;1870.0
4611;Combined company halls;Remaining production of buildings;2024 October;1763.0
4612;Combined company halls;Remaining production of buildings;2024 November;1698.0
4613;Combined company halls;Remaining production of buildings;2024 December;1723.0
4614;Combined company halls;Remaining production of buildings;2024 4th quarter;1723.0
4615;Combined company halls;Remaining production of buildings;2024;1723.0
4616;Combined company halls;Remaining production of buildings;2025 January;1609.0
4617;Combined company halls;Building projects completed;2015 January;44.0
4618;Combined company halls;Building projects completed;2015 February;52.0
4619;Combined company halls;Building projects completed;2015 March;72.0
4620;Combined company halls;Building projects completed;2015 1st quarter;168.0
4621;Combined company halls;Building projects completed;2015 April;63.0
4622;Combined company halls;Building projects completed;2015 May;55.0
4623;Combined company halls;Building projects completed;2015 June;110.0
4624;Combined company halls;Building projects completed;2015 2nd quarter;227.0
4625;Combined company halls;Building projects completed;2015 July;27.0
4626;Combined company halls;Building projects completed;2015 August;13.0
4627;Combined company halls;Building projects completed;2015 September;47.0
4628;Combined company halls;Building projects completed;2015 3rd quarter;87.0
4629;Combined company halls;Building projects completed;2015 October;68.0
4630;Combined company halls;Building projects completed;2015 November;45.0
4631;Combined company halls;Building projects completed;2015 December;56.0
4632;Combined company halls;Building projects completed;2015 4th quarter;169.0
4633;Combined company halls;Building projects completed;2015;652.0
4634;Combined company halls;Building projects completed;2016 January;62.0
4635;Combined company halls;Building projects completed;2016 February;62.0
4636;Combined company halls;Building projects completed;2016 March;52.0
4637;Combined company halls;Building projects completed;2016 1st quarter;177.0
4638;Combined company halls;Building projects completed;2016 April;74.0
4639;Combined company halls;Building projects completed;2016 May;45.0
4640;Combined company halls;Building projects completed;2016 June;63.0
4641;Combined company halls;Building projects completed;2016 2nd quarter;183.0
4642;Combined company halls;Building projects completed;2016 July;147.0
4643;Combined company halls;Building projects completed;2016 August;26.0
4644;Combined company halls;Building projects completed;2016 September;73.0
4645;Combined company halls;Building projects completed;2016 3rd quarter;247.0
4646;Combined company halls;Building projects completed;2016 October;40.0
4647;Combined company halls;Building projects completed;2016 November;126.0
4648;Combined company halls;Building projects completed;2016 December;108.0
4649;Combined company halls;Building projects completed;2016 4th quarter;274.0
4650;Combined company halls;Building projects completed;2016;880.0
4651;Combined company halls;Building projects completed;2017 January;47.0
4652;Combined company halls;Building projects completed;2017 February;50.0
4653;Combined company halls;Building projects completed;2017 March;53.0
4654;Combined company halls;Building projects completed;2017 1st quarter;151.0
4655;Combined company halls;Building projects completed;2017 April;87.0
4656;Combined company halls;Building projects completed;2017 May;56.0
4657;Combined company halls;Building projects completed;2017 June;67.0
4658;Combined company halls;Building projects completed;2017 2nd quarter;210.0
4659;Combined company halls;Building projects completed;2017 July;74.0
4660;Combined company halls;Building projects completed;2017 August;48.0
4661;Combined company halls;Building projects completed;2017 September;88.0
4662;Combined company halls;Building projects completed;2017 3rd quarter;209.0
4663;Combined company halls;Building projects completed;2017 October;98.0
4664;Combined company halls;Building projects completed;2017 November;76.0
4665;Combined company halls;Building projects completed;2017 December;67.0
4666;Combined company halls;Building projects completed;2017 4th quarter;241.0
4667;Combined company halls;Building projects completed;2017;812.0
4668;Combined company halls;Building projects completed;2018 January;79.0
4669;Combined company halls;Building projects completed;2018 February;66.0
4670;Combined company halls;Building projects completed;2018 March;72.0
4671;Combined company halls;Building projects completed;2018 1st quarter;217.0
4672;Combined company halls;Building projects completed;2018 April;90.0
4673;Combined company halls;Building projects completed;2018 May;88.0
4674;Combined company halls;Building projects completed;2018 June;101.0
4675;Combined company halls;Building projects completed;2018 2nd quarter;279.0
4676;Combined company halls;Building projects completed;2018 July;125.0
4677;Combined company halls;Building projects completed;2018 August;49.0
4678;Combined company halls;Building projects completed;2018 September;100.0
4679;Combined company halls;Building projects completed;2018 3rd quarter;274.0
4680;Combined company halls;Building projects completed;2018 October;106.0
4681;Combined company halls;Building projects completed;2018 November;106.0
4682;Combined company halls;Building projects completed;2018 December;77.0
4683;Combined company halls;Building projects completed;2018 4th quarter;289.0
4684;Combined company halls;Building projects completed;2018;1059.0
4685;Combined company halls;Building projects completed;2019 January;110.0
4686;Combined company halls;Building projects completed;2019 February;87.0
4687;Combined company halls;Building projects completed;2019 March;105.0
4688;Combined company halls;Building projects completed;2019 1st quarter;301.0
4689;Combined company halls;Building projects completed;2019 April;100.0
4690;Combined company halls;Building projects completed;2019 May;144.0
4691;Combined company halls;Building projects completed;2019 June;92.0
4692;Combined company halls;Building projects completed;2019 2nd quarter;336.0
4693;Combined company halls;Building projects completed;2019 July;115.0
4694;Combined company halls;Building projects completed;2019 August;52.0
4695;Combined company halls;Building projects completed;2019 September;153.0
4696;Combined company halls;Building projects completed;2019 3rd quarter;319.0
4697;Combined company halls;Building projects completed;2019 October;166.0
4698;Combined company halls;Building projects completed;2019 November;130.0
4699;Combined company halls;Building projects completed;2019 December;86.0
4700;Combined company halls;Building projects completed;2019 4th quarter;383.0
4701;Combined company halls;Building projects completed;2019;1339.0
4702;Combined company halls;Building projects completed;2020 January;144.0
4703;Combined company halls;Building projects completed;2020 February;207.0
4704;Combined company halls;Building projects completed;2020 March;154.0
4705;Combined company halls;Building projects completed;2020 1st quarter;505.0
4706;Combined company halls;Building projects completed;2020 April;198.0
4707;Combined company halls;Building projects completed;2020 May;96.0
4708;Combined company halls;Building projects completed;2020 June;116.0
4709;Combined company halls;Building projects completed;2020 2nd quarter;410.0
4710;Combined company halls;Building projects completed;2020 July;113.0
4711;Combined company halls;Building projects completed;2020 August;53.0
4712;Combined company halls;Building projects completed;2020 September;237.0
4713;Combined company halls;Building projects completed;2020 3rd quarter;403.0
4714;Combined company halls;Building projects completed;2020 October;175.0
4715;Combined company halls;Building projects completed;2020 November;164.0
4716;Combined company halls;Building projects completed;2020 December;116.0
4717;Combined company halls;Building projects completed;2020 4th quarter;456.0
4718;Combined company halls;Building projects completed;2020;1774.0
4719;Combined company halls;Building projects completed;2021 January;110.0
4720;Combined company halls;Building projects completed;2021 February;114.0
4721;Combined company halls;Building projects completed;2021 March;123.0
4722;Combined company halls;Building projects completed;2021 1st quarter;347.0
4723;Combined company halls;Building projects completed;2021 April;151.0
4724;Combined company halls;Building projects completed;2021 May;108.0
4725;Combined company halls;Building projects completed;2021 June;139.0
4726;Combined company halls;Building projects completed;2021 2nd quarter;399.0
4727;Combined company halls;Building projects completed;2021 July;187.0
4728;Combined company halls;Building projects completed;2021 August;54.0
4729;Combined company halls;Building projects completed;2021 September;136.0
4730;Combined company halls;Building projects completed;2021 3rd quarter;377.0
4731;Combined company halls;Building projects completed;2021 October;118.0
4732;Combined company halls;Building projects completed;2021 November;169.0
4733;Combined company halls;Building projects completed;2021 December;137.0
4734;Combined company halls;Building projects completed;2021 4th quarter;424.0
4735;Combined company halls;Building projects completed;2021;1547.0
4736;Combined company halls;Building projects completed;2022 January;120.0
4737;Combined company halls;Building projects completed;2022 February;163.0
4738;Combined company halls;Building projects completed;2022 March;263.0
4739;Combined company halls;Building projects completed;2022 1st quarter;547.0
4740;Combined company halls;Building projects completed;2022 April;154.0
4741;Combined company halls;Building projects completed;2022 May;164.0
4742;Combined company halls;Building projects completed;2022 June;218.0
4743;Combined company halls;Building projects completed;2022 2nd quarter;536.0
4744;Combined company halls;Building projects completed;2022 July;185.0
4745;Combined company halls;Building projects completed;2022 August;156.0
4746;Combined company halls;Building projects completed;2022 September;201.0
4747;Combined company halls;Building projects completed;2022 3rd quarter;543.0
4748;Combined company halls;Building projects completed;2022 October;161.0
4749;Combined company halls;Building projects completed;2022 November;165.0
4750;Combined company halls;Building projects completed;2022 December;171.0
4751;Combined company halls;Building projects completed;2022 4th quarter;497.0
4752;Combined company halls;Building projects completed;2022;2123.0
4753;Combined company halls;Building projects completed;2023 January;232.0
4754;Combined company halls;Building projects completed;2023 February;467.0
4755;Combined company halls;Building projects completed;2023 March;120.0
4756;Combined company halls;Building projects completed;2023 1st quarter;819.0
4757;Combined company halls;Building projects completed;2023 April;234.0
4758;Combined company halls;Building projects completed;2023 May;116.0
4759;Combined company halls;Building projects completed;2023 June;207.0
4760;Combined company halls;Building projects completed;2023 2nd quarter;557.0
4761;Combined company halls;Building projects completed;2023 July;169.0
4762;Combined company halls;Building projects completed;2023 August;121.0
4763;Combined company halls;Building projects completed;2023 September;229.0
4764;Combined company halls;Building projects completed;2023 3rd quarter;519.0
4765;Combined company halls;Building projects completed;2023 October;246.0
4766;Combined company halls;Building projects completed;2023 November;172.0
4767;Combined company halls;Building projects completed;2023 December;166.0
4768;Combined company halls;Building projects completed;2023 4th quarter;584.0
4769;Combined company halls;Building projects completed;2023;2480.0
4770;Combined company halls;Building projects completed;2024 January;119.0
4771;Combined company halls;Building projects completed;2024 February;285.0
4772;Combined company halls;Building projects completed;2024 March;166.0
4773;Combined company halls;Building projects completed;2024 1st quarter;570.0
4774;Combined company halls;Building projects completed;2024 April;128.0
4775;Combined company halls;Building projects completed;2024 May;265.0
4776;Combined company halls;Building projects completed;2024 June;193.0
4777;Combined company halls;Building projects completed;2024 2nd quarter;585.0
4778;Combined company halls;Building projects completed;2024 July;174.0
4779;Combined company halls;Building projects completed;2024 August;84.0
4780;Combined company halls;Building projects completed;2024 September;265.0
4781;Combined company halls;Building projects completed;2024 3rd quarter;523.0
4782;Combined company halls;Building projects completed;2024 October;341.0
4783;Combined company halls;Building projects completed;2024 November;138.0
4784;Combined company halls;Building projects completed;2024 December;152.0
4785;Combined company halls;Building projects completed;2024 4th quarter;631.0
4786;Combined company halls;Building projects completed;2024;2310.0
4787;Combined company halls;Building projects completed;2025 January;155.0
4788;Halls and warehouses;Orders received by contractors;2015 January;24.0
4789;Halls and warehouses;Orders received by contractors;2015 February;68.0
4790;Halls and warehouses;Orders received by contractors;2015 March;125.0
4791;Halls and warehouses;Orders received by contractors;2015 1st quarter;217.0
4792;Halls and warehouses;Orders received by contractors;2015 April;37.0
4793;Halls and warehouses;Orders received by contractors;2015 May;61.0
4794;Halls and warehouses;Orders received by contractors;2015 June;58.0
4795;Halls and warehouses;Orders received by contractors;2015 2nd quarter;156.0
4796;Halls and warehouses;Orders received by contractors;2015 July;75.0
4797;Halls and warehouses;Orders received by contractors;2015 August;30.0
4798;Halls and warehouses;Orders received by contractors;2015 September;60.0
4799;Halls and warehouses;Orders received by contractors;2015 3rd quarter;165.0
4800;Halls and warehouses;Orders received by contractors;2015 October;43.0
4801;Halls and warehouses;Orders received by contractors;2015 November;61.0
4802;Halls and warehouses;Orders received by contractors;2015 December;36.0
4803;Halls and warehouses;Orders received by contractors;2015 4th quarter;139.0
4804;Halls and warehouses;Orders received by contractors;2015;677.0
4805;Halls and warehouses;Orders received by contractors;2016 January;47.0
4806;Halls and warehouses;Orders received by contractors;2016 February;39.0
4807;Halls and warehouses;Orders received by contractors;2016 March;29.0
4808;Halls and warehouses;Orders received by contractors;2016 1st quarter;115.0
4809;Halls and warehouses;Orders received by contractors;2016 April;56.0
4810;Halls and warehouses;Orders received by contractors;2016 May;64.0
4811;Halls and warehouses;Orders received by contractors;2016 June;92.0
4812;Halls and warehouses;Orders received by contractors;2016 2nd quarter;212.0
4813;Halls and warehouses;Orders received by contractors;2016 July;40.0
4814;Halls and warehouses;Orders received by contractors;2016 August;39.0
4815;Halls and warehouses;Orders received by contractors;2016 September;57.0
4816;Halls and warehouses;Orders received by contractors;2016 3rd quarter;136.0
4817;Halls and warehouses;Orders received by contractors;2016 October;51.0
4818;Halls and warehouses;Orders received by contractors;2016 November;56.0
4819;Halls and warehouses;Orders received by contractors;2016 December;62.0
4820;Halls and warehouses;Orders received by contractors;2016 4th quarter;169.0
4821;Halls and warehouses;Orders received by contractors;2016;631.0
4822;Halls and warehouses;Orders received by contractors;2017 January;34.0
4823;Halls and warehouses;Orders received by contractors;2017 February;128.0
4824;Halls and warehouses;Orders received by contractors;2017 March;111.0
4825;Halls and warehouses;Orders received by contractors;2017 1st quarter;272.0
4826;Halls and warehouses;Orders received by contractors;2017 April;53.0
4827;Halls and warehouses;Orders received by contractors;2017 May;89.0
4828;Halls and warehouses;Orders received by contractors;2017 June;101.0
4829;Halls and warehouses;Orders received by contractors;2017 2nd quarter;243.0
4830;Halls and warehouses;Orders received by contractors;2017 July;147.0
4831;Halls and warehouses;Orders received by contractors;2017 August;50.0
4832;Halls and warehouses;Orders received by contractors;2017 September;76.0
4833;Halls and warehouses;Orders received by contractors;2017 3rd quarter;273.0
4834;Halls and warehouses;Orders received by contractors;2017 October;115.0
4835;Halls and warehouses;Orders received by contractors;2017 November;137.0
4836;Halls and warehouses;Orders received by contractors;2017 December;82.0
4837;Halls and warehouses;Orders received by contractors;2017 4th quarter;334.0
4838;Halls and warehouses;Orders received by contractors;2017;1122.0
4839;Halls and warehouses;Orders received by contractors;2018 January;88.0
4840;Halls and warehouses;Orders received by contractors;2018 February;154.0
4841;Halls and warehouses;Orders received by contractors;2018 March;89.0
4842;Halls and warehouses;Orders received by contractors;2018 1st quarter;331.0
4843;Halls and warehouses;Orders received by contractors;2018 April;80.0
4844;Halls and warehouses;Orders received by contractors;2018 May;153.0
4845;Halls and warehouses;Orders received by contractors;2018 June;126.0
4846;Halls and warehouses;Orders received by contractors;2018 2nd quarter;359.0
4847;Halls and warehouses;Orders received by contractors;2018 July;82.0
4848;Halls and warehouses;Orders received by contractors;2018 August;99.0
4849;Halls and warehouses;Orders received by contractors;2018 September;140.0
4850;Halls and warehouses;Orders received by contractors;2018 3rd quarter;322.0
4851;Halls and warehouses;Orders received by contractors;2018 October;99.0
4852;Halls and warehouses;Orders received by contractors;2018 November;132.0
4853;Halls and warehouses;Orders received by contractors;2018 December;89.0
4854;Halls and warehouses;Orders received by contractors;2018 4th quarter;320.0
4855;Halls and warehouses;Orders received by contractors;2018;1332.0
4856;Halls and warehouses;Orders received by contractors;2019 January;112.0
4857;Halls and warehouses;Orders received by contractors;2019 February;159.0
4858;Halls and warehouses;Orders received by contractors;2019 March;106.0
4859;Halls and warehouses;Orders received by contractors;2019 1st quarter;378.0
4860;Halls and warehouses;Orders received by contractors;2019 April;113.0
4861;Halls and warehouses;Orders received by contractors;2019 May;90.0
4862;Halls and warehouses;Orders received by contractors;2019 June;36.0
4863;Halls and warehouses;Orders received by contractors;2019 2nd quarter;240.0
4864;Halls and warehouses;Orders received by contractors;2019 July;149.0
4865;Halls and warehouses;Orders received by contractors;2019 August;58.0
4866;Halls and warehouses;Orders received by contractors;2019 September;75.0
4867;Halls and warehouses;Orders received by contractors;2019 3rd quarter;282.0
4868;Halls and warehouses;Orders received by contractors;2019 October;83.0
4869;Halls and warehouses;Orders received by contractors;2019 November;102.0
4870;Halls and warehouses;Orders received by contractors;2019 December;121.0
4871;Halls and warehouses;Orders received by contractors;2019 4th quarter;307.0
4872;Halls and warehouses;Orders received by contractors;2019;1206.0
4873;Halls and warehouses;Orders received by contractors;2020 January;42.0
4874;Halls and warehouses;Orders received by contractors;2020 February;61.0
4875;Halls and warehouses;Orders received by contractors;2020 March;77.0
4876;Halls and warehouses;Orders received by contractors;2020 1st quarter;180.0
4877;Halls and warehouses;Orders received by contractors;2020 April;216.0
4878;Halls and warehouses;Orders received by contractors;2020 May;53.0
4879;Halls and warehouses;Orders received by contractors;2020 June;73.0
4880;Halls and warehouses;Orders received by contractors;2020 2nd quarter;342.0
4881;Halls and warehouses;Orders received by contractors;2020 July;89.0
4882;Halls and warehouses;Orders received by contractors;2020 August;61.0
4883;Halls and warehouses;Orders received by contractors;2020 September;118.0
4884;Halls and warehouses;Orders received by contractors;2020 3rd quarter;267.0
4885;Halls and warehouses;Orders received by contractors;2020 October;76.0
4886;Halls and warehouses;Orders received by contractors;2020 November;187.0
4887;Halls and warehouses;Orders received by contractors;2020 December;40.0
4888;Halls and warehouses;Orders received by contractors;2020 4th quarter;303.0
4889;Halls and warehouses;Orders received by contractors;2020;1092.0
4890;Halls and warehouses;Orders received by contractors;2021 January;50.0
4891;Halls and warehouses;Orders received by contractors;2021 February;132.0
4892;Halls and warehouses;Orders received by contractors;2021 March;145.0
4893;Halls and warehouses;Orders received by contractors;2021 1st quarter;327.0
4894;Halls and warehouses;Orders received by contractors;2021 April;91.0
4895;Halls and warehouses;Orders received by contractors;2021 May;45.0
4896;Halls and warehouses;Orders received by contractors;2021 June;95.0
4897;Halls and warehouses;Orders received by contractors;2021 2nd quarter;231.0
4898;Halls and warehouses;Orders received by contractors;2021 July;165.0
4899;Halls and warehouses;Orders received by contractors;2021 August;58.0
4900;Halls and warehouses;Orders received by contractors;2021 September;115.0
4901;Halls and warehouses;Orders received by contractors;2021 3rd quarter;338.0
4902;Halls and warehouses;Orders received by contractors;2021 October;141.0
4903;Halls and warehouses;Orders received by contractors;2021 November;176.0
4904;Halls and warehouses;Orders received by contractors;2021 December;126.0
4905;Halls and warehouses;Orders received by contractors;2021 4th quarter;444.0
4906;Halls and warehouses;Orders received by contractors;2021;1340.0
4907;Halls and warehouses;Orders received by contractors;2022 January;52.0
4908;Halls and warehouses;Orders received by contractors;2022 February;48.0
4909;Halls and warehouses;Orders received by contractors;2022 March;112.0
