ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
6115;Maritime transport;Imports;1 Foodstuffs and animal fodder;America;2017;5317;4848;5785;9.0;1;;9351;8342;10359;11.0;2;9.0
6116;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2007;1316;1019;1613;23.0;0;;2758;1977;3540;28.0;1;
6117;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2008;1909;1546;2272;19.0;1;;3804;3057;4551;20.0;1;5.0
6118;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2009;1670;1376;1964;18.0;1;;3941;3219;4663;18.0;1;9.0
6119;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2010;1807;1452;2161;20.0;1;;3692;2951;4434;20.0;1;9.0
6120;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2011;2527;2095;2960;17.0;1;;4050;3357;4743;17.0;1;9.0
6121;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2012;3245;2721;3770;16.0;1;;5195;4416;5974;15.0;1;5.0
6122;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2013;3201;2717;3686;15.0;1;;5537;4714;6361;15.0;1;9.0
6123;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2014;3077;2601;3553;15.0;1;;4520;3759;5281;17.0;1;1.0
6124;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2015;3285;2820;3750;14.0;1;;4680;3943;5418;16.0;1;9.0
6125;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2016;3035;2600;3470;14.0;1;;4060;3378;4743;17.0;1;1.0
6126;Maritime transport;Imports;1 Foodstuffs and animal fodder;Asia;2017;3596;3074;4118;15.0;1;;4261;3499;5023;18.0;1;9.0
6127;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2007;2111;1897;2326;10.0;1;;2396;2080;2712;13.0;1;
6128;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2008;2552;2295;2808;10.0;1;;3029;2651;3407;12.0;1;5.0
6129;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2009;2000;1777;2222;11.0;1;;2732;2392;3072;12.0;1;9.0
6130;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2010;2033;1812;2254;11.0;1;;2464;2145;2783;13.0;1;9.0
6131;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2011;2983;2680;3285;10.0;1;;3153;2765;3542;12.0;1;5.0
6132;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2012;3255;2923;3586;10.0;1;;3362;2983;3740;11.0;1;9.0
6133;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2013;3497;3147;3846;10.0;1;;3847;3431;4263;11.0;1;5.0
6134;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2014;3450;3081;3818;11.0;1;;3679;3259;4099;11.0;1;9.0
6135;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2015;3531;3126;3935;11.0;1;;3561;3141;3982;12.0;1;9.0
6136;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2016;3704;3301;4106;11.0;1;;3787;3348;4226;12.0;1;9.0
6137;Maritime transport;Imports;1 Foodstuffs and animal fodder;Europe;2017;4072;3678;4466;10.0;1;;4567;4054;5080;11.0;1;5.0
6138;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2007;86;0;179;;0;;56;0;121;;0;
6139;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2008;129;14;243;89.0;0;;127;14;240;89.0;0;9.0
6140;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2009;178;55;301;69.0;0;;341;115;567;66.0;0;9.0
6141;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2010;97;10;185;90.0;0;;96;7;185;93.0;0;1.0
6142;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2011;237;39;435;83.0;0;;253;10;496;96.0;0;9.0
6143;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2012;302;70;533;77.0;0;;437;178;696;59.0;0;9.0
6144;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2013;205;20;390;90.0;0;;254;55;453;78.0;0;1.0
6145;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2014;204;4;404;98.0;0;;194;0;446;;0;9.0
6146;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2015;174;5;343;97.0;0;;200;0;413;;0;9.0
6147;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2016;232;28;435;88.0;0;;282;31;532;89.0;0;9.0
6148;Maritime transport;Imports;1 Foodstuffs and animal fodder;Oceania;2017;380;127;633;67.0;0;;479;164;794;66.0;0;9.0
6149;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2007;1;0;2;;0;;1;0;1;;0;
6150;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
6151;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
6152;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
6153;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2011;0;0;4;83.0;0;;0;0;4;96.0;0;
6154;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
6155;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2013;0;0;2;90.0;0;;0;0;2;78.0;0;
6156;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2014;0;0;7;98.0;0;;0;0;3;;0;9.0
6157;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2015;0;0;9;97.0;0;;0;0;1;;0;9.0
6158;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2016;0;0;8;88.0;0;;0;0;1;89.0;0;9.0
6159;Maritime transport;Imports;1 Foodstuffs and animal fodder;Unspecified countries and areas;2017;0;0;4;67.0;0;;0;0;2;66.0;0;9.0
6160;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2007;1661;1589;1733;4.0;1;;25995;24163;27827;7.0;7;
6161;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2008;1914;1826;2003;5.0;1;5.0;18547;17249;19845;7.0;5;1.0
6162;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2009;1427;1362;1492;5.0;1;1.0;19235;17813;20656;7.0;6;9.0
6163;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2010;1675;1591;1759;5.0;1;5.0;20972;19424;22520;7.0;6;4.0
6164;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2011;2033;1941;2126;5.0;1;5.0;22429;21104;23754;6.0;6;4.0
6165;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2012;2322;2220;2425;4.0;1;5.0;25324;23536;27113;7.0;7;5.0
6166;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2013;1901;1817;1986;4.0;0;1.0;25694;23912;27475;7.0;7;9.0
6167;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2014;1721;1643;1799;5.0;0;2.0;24502;22766;26238;7.0;7;9.0
6168;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2015;1892;1808;1976;4.0;1;4.0;27961;26012;29910;7.0;7;5.0
6169;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2016;1832;1757;1907;4.0;0;9.0;28340;26484;30197;7.0;7;9.0
6170;Maritime transport;Imports;2 Solid mineral fuels;Total all continents;2017;2191;2094;2288;4.0;1;5.0;24064;22446;25682;7.0;6;1.0
6171;Maritime transport;Imports;2 Solid mineral fuels;Africa;2007;378;337;419;11.0;0;;6820;5703;7937;16.0;2;
6172;Maritime transport;Imports;2 Solid mineral fuels;Africa;2008;395;347;442;12.0;0;;4263;3535;4991;17.0;1;1.0
6173;Maritime transport;Imports;2 Solid mineral fuels;Africa;2009;275;243;308;12.0;0;;4125;3377;4874;18.0;1;9.0
6174;Maritime transport;Imports;2 Solid mineral fuels;Africa;2010;122;106;138;13.0;0;;2029;1637;2421;19.0;1;1.0
6175;Maritime transport;Imports;2 Solid mineral fuels;Africa;2011;102;89;116;13.0;0;;1207;960;1454;20.0;0;1.0
6176;Maritime transport;Imports;2 Solid mineral fuels;Africa;2012;111;97;125;13.0;0;;1434;1158;1710;19.0;0;9.0
6177;Maritime transport;Imports;2 Solid mineral fuels;Africa;2013;202;178;226;12.0;0;;3169;2591;3748;18.0;1;5.0
6178;Maritime transport;Imports;2 Solid mineral fuels;Africa;2014;247;218;277;12.0;0;;4105;3393;4816;17.0;1;5.0
6179;Maritime transport;Imports;2 Solid mineral fuels;Africa;2015;152;133;171;12.0;0;;2446;1983;2910;19.0;1;1.0
6180;Maritime transport;Imports;2 Solid mineral fuels;Africa;2016;99;87;111;12.0;0;;1505;1222;1787;19.0;0;1.0
6181;Maritime transport;Imports;2 Solid mineral fuels;Africa;2017;134;118;151;12.0;0;;1719;1390;2047;19.0;0;9.0
6182;Maritime transport;Imports;2 Solid mineral fuels;America;2007;787;722;853;8.0;0;;11745;10361;13128;12.0;3;
6183;Maritime transport;Imports;2 Solid mineral fuels;America;2008;1145;1044;1247;9.0;0;;10825;9639;12011;11.0;3;9.0
6184;Maritime transport;Imports;2 Solid mineral fuels;America;2009;779;715;844;8.0;0;;10110;8943;11277;12.0;3;9.0
6185;Maritime transport;Imports;2 Solid mineral fuels;America;2010;1064;958;1170;10.0;0;;13160;11679;14641;11.0;4;5.0
6186;Maritime transport;Imports;2 Solid mineral fuels;America;2011;1416;1285;1546;9.0;0;;16405;14982;17828;9.0;4;5.0
6187;Maritime transport;Imports;2 Solid mineral fuels;America;2012;1725;1590;1860;8.0;0;;18917;17001;20832;10.0;5;5.0
6188;Maritime transport;Imports;2 Solid mineral fuels;America;2013;1223;1128;1318;8.0;0;;16826;15094;18558;10.0;4;1.0
6189;Maritime transport;Imports;2 Solid mineral fuels;America;2014;978;898;1058;8.0;0;;13936;12358;15514;11.0;4;1.0
6190;Maritime transport;Imports;2 Solid mineral fuels;America;2015;1004;923;1086;8.0;0;;14781;13134;16428;11.0;4;9.0
6191;Maritime transport;Imports;2 Solid mineral fuels;America;2016;945;877;1012;7.0;0;;14740;13258;16221;10.0;4;9.0
6192;Maritime transport;Imports;2 Solid mineral fuels;America;2017;899;823;975;8.0;0;;10419;9201;11637;12.0;3;1.0
6193;Maritime transport;Imports;2 Solid mineral fuels;Asia;2007;112;89;135;20.0;0;;1713;1257;2170;27.0;0;
6194;Maritime transport;Imports;2 Solid mineral fuels;Asia;2008;88;70;106;21.0;0;;876;644;1108;27.0;0;1.0
6195;Maritime transport;Imports;2 Solid mineral fuels;Asia;2009;42;33;52;23.0;0;;565;406;724;28.0;0;1.0
6196;Maritime transport;Imports;2 Solid mineral fuels;Asia;2010;6;5;6;14.0;0;;31;23;40;28.0;0;1.0
6197;Maritime transport;Imports;2 Solid mineral fuels;Asia;2011;5;5;6;13.0;0;;22;17;26;20.0;0;1.0
6198;Maritime transport;Imports;2 Solid mineral fuels;Asia;2012;8;6;11;28.0;0;;59;26;91;55.0;0;5.0
6199;Maritime transport;Imports;2 Solid mineral fuels;Asia;2013;3;2;5;37.0;0;;18;0;36;98.0;0;1.0
6200;Maritime transport;Imports;2 Solid mineral fuels;Asia;2014;4;4;5;18.0;0;;18;13;23;30.0;0;9.0
6201;Maritime transport;Imports;2 Solid mineral fuels;Asia;2015;15;13;18;16.0;0;;105;83;127;21.0;0;5.0
6202;Maritime transport;Imports;2 Solid mineral fuels;Asia;2016;3;2;3;14.0;0;;17;13;21;24.0;0;1.0
6203;Maritime transport;Imports;2 Solid mineral fuels;Asia;2017;25;15;35;40.0;0;;235;131;340;44.0;0;5.0
6204;Maritime transport;Imports;2 Solid mineral fuels;Europe;2007;227;162;292;29.0;0;;3632;2461;4803;32.0;1;
6205;Maritime transport;Imports;2 Solid mineral fuels;Europe;2008;179;137;220;23.0;0;;1835;1376;2295;25.0;0;1.0
6206;Maritime transport;Imports;2 Solid mineral fuels;Europe;2009;250;183;316;27.0;0;;3710;2536;4885;32.0;1;5.0
6207;Maritime transport;Imports;2 Solid mineral fuels;Europe;2010;398;264;533;34.0;0;;5185;3323;7048;36.0;1;9.0
6208;Maritime transport;Imports;2 Solid mineral fuels;Europe;2011;367;239;494;35.0;0;;4084;2697;5470;34.0;1;9.0
6209;Maritime transport;Imports;2 Solid mineral fuels;Europe;2012;357;225;489;37.0;0;;4221;2580;5862;39.0;1;9.0
6210;Maritime transport;Imports;2 Solid mineral fuels;Europe;2013;287;186;387;35.0;0;;4115;2588;5642;37.0;1;9.0
6211;Maritime transport;Imports;2 Solid mineral fuels;Europe;2014;326;236;416;28.0;0;;4851;3329;6374;31.0;1;9.0
6212;Maritime transport;Imports;2 Solid mineral fuels;Europe;2015;530;369;690;30.0;0;;8810;6098;11523;31.0;2;5.0
6213;Maritime transport;Imports;2 Solid mineral fuels;Europe;2016;544;391;698;28.0;0;;9444;6847;12041;28.0;2;9.0
6214;Maritime transport;Imports;2 Solid mineral fuels;Europe;2017;774;573;975;26.0;0;;9063;6798;11329;25.0;2;9.0
6215;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2007;156;131;181;16.0;0;;2085;1628;2541;22.0;1;
6216;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2008;108;89;127;18.0;0;;747;559;936;25.0;0;1.0
6217;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2009;81;69;93;15.0;0;;724;576;873;21.0;0;9.0
6218;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2010;85;74;96;13.0;0;;566;458;674;19.0;0;1.0
6219;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2011;143;125;162;13.0;0;;712;577;847;19.0;0;5.0
6220;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2012;121;106;136;12.0;0;;694;562;826;19.0;0;9.0
6221;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2013;186;163;209;12.0;0;;1565;1266;1864;19.0;0;5.0
6222;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2014;165;145;185;12.0;0;;1593;1296;1889;19.0;0;9.0
6223;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2015;190;168;213;12.0;0;;1818;1478;2158;19.0;0;9.0
6224;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2016;242;215;269;11.0;0;;2635;2181;3088;17.0;1;5.0
6225;Maritime transport;Imports;2 Solid mineral fuels;Oceania;2017;359;319;399;11.0;0;;2627;2165;3089;18.0;1;9.0
6226;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
6227;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
6228;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
6229;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
6230;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2011;0;0;0;;0;;0;0;0;;0;
6231;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
6232;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2013;0;0;0;;0;;0;0;0;;0;
6233;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2014;0;0;0;;0;;0;0;0;;0;
6234;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2015;0;0;0;;0;;0;0;0;;0;
6235;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2016;0;0;0;;0;;0;0;1;17.0;0;
6236;Maritime transport;Imports;2 Solid mineral fuels;Unspecified countries and areas;2017;0;0;0;;0;;0;0;0;;0;
6237;Maritime transport;Imports;3 Petroleum products;Total all continents;2007;22804;21164;24444;7.0;7;;74525;68817;80232;8.0;20;
6238;Maritime transport;Imports;3 Petroleum products;Total all continents;2008;39304;37161;41447;5.0;12;5.0;90114;83408;96821;7.0;24;5.0
6239;Maritime transport;Imports;3 Petroleum products;Total all continents;2009;29542;27950;31133;5.0;11;1.0;95721;88833;102610;7.0;27;9.0
6240;Maritime transport;Imports;3 Petroleum products;Total all continents;2010;43864;41758;45970;5.0;13;5.0;101735;94155;109314;7.0;27;9.0
6241;Maritime transport;Imports;3 Petroleum products;Total all continents;2011;57362;54637;60087;5.0;16;5.0;96039;89654;102424;7.0;25;9.0
6242;Maritime transport;Imports;3 Petroleum products;Total all continents;2012;69353;65957;72749;5.0;18;5.0;105609;98465;112753;7.0;28;4.0
6243;Maritime transport;Imports;3 Petroleum products;Total all continents;2013;64868;61602;68133;5.0;17;2.0;112741;105782;119700;6.0;29;4.0
6244;Maritime transport;Imports;3 Petroleum products;Total all continents;2014;56849;53779;59919;5.0;15;1.0;103244;95666;110823;7.0;27;2.0
6245;Maritime transport;Imports;3 Petroleum products;Total all continents;2015;42268;39929;44607;6.0;11;1.0;121909;113727;130091;7.0;31;5.0
6246;Maritime transport;Imports;3 Petroleum products;Total all continents;2016;33869;31913;35824;6.0;9;1.0;122715;114230;131199;7.0;31;9.0
6247;Maritime transport;Imports;3 Petroleum products;Total all continents;2017;39702;37422;41983;6.0;10;5.0;111974;103716;120233;7.0;27;2.0
6248;Maritime transport;Imports;3 Petroleum products;Africa;2007;4955;3823;6087;23.0;2;;15610;12521;18699;20.0;4;
6249;Maritime transport;Imports;3 Petroleum products;Africa;2008;6801;5794;7808;15.0;2;;14892;12221;17564;18.0;4;9.0
6250;Maritime transport;Imports;3 Petroleum products;Africa;2009;3908;3308;4508;15.0;1;;12227;9975;14479;18.0;4;1.0
6251;Maritime transport;Imports;3 Petroleum products;Africa;2010;6065;5090;7041;16.0;2;;13408;10749;16066;20.0;4;9.0
6252;Maritime transport;Imports;3 Petroleum products;Africa;2011;8184;7047;9322;14.0;2;;13374;11134;15615;17.0;3;9.0
6253;Maritime transport;Imports;3 Petroleum products;Africa;2012;12502;10957;14046;12.0;3;;19066;16192;21941;15.0;5;5.0
6254;Maritime transport;Imports;3 Petroleum products;Africa;2013;10875;9581;12168;12.0;3;;18987;16214;21760;15.0;5;9.0
6255;Maritime transport;Imports;3 Petroleum products;Africa;2014;9034;7908;10161;12.0;2;;15609;13142;18076;16.0;4;1.0
6256;Maritime transport;Imports;3 Petroleum products;Africa;2015;6127;5287;6966;14.0;2;;16866;14095;19637;16.0;4;9.0
6257;Maritime transport;Imports;3 Petroleum products;Africa;2016;2862;2406;3318;16.0;1;;9231;7485;10977;19.0;2;1.0
6258;Maritime transport;Imports;3 Petroleum products;Africa;2017;3884;3302;4467;15.0;1;;10337;8490;12183;18.0;3;9.0
6259;Maritime transport;Imports;3 Petroleum products;America;2007;463;298;628;36.0;0;;1563;982;2144;37.0;0;
6260;Maritime transport;Imports;3 Petroleum products;America;2008;2017;1518;2515;25.0;1;;4375;3175;5576;27.0;1;5.0
6261;Maritime transport;Imports;3 Petroleum products;America;2009;1048;724;1372;31.0;0;;3441;2314;4568;33.0;1;9.0
6262;Maritime transport;Imports;3 Petroleum products;America;2010;980;645;1315;34.0;0;;2211;1403;3019;37.0;1;1.0
6263;Maritime transport;Imports;3 Petroleum products;America;2011;2727;2164;3290;21.0;1;;4587;3481;5693;24.0;1;5.0
6264;Maritime transport;Imports;3 Petroleum products;America;2012;3397;2648;4146;22.0;1;;5226;3940;6513;25.0;1;9.0
6265;Maritime transport;Imports;3 Petroleum products;America;2013;3159;2502;3815;21.0;1;;5604;4305;6903;23.0;1;9.0
6266;Maritime transport;Imports;3 Petroleum products;America;2014;2584;2161;3006;16.0;1;;4454;3550;5359;20.0;1;1.0
6267;Maritime transport;Imports;3 Petroleum products;America;2015;2194;1742;2646;21.0;1;;6069;4621;7516;24.0;2;5.0
6268;Maritime transport;Imports;3 Petroleum products;America;2016;1657;1305;2009;21.0;0;;5265;3907;6623;26.0;1;9.0
6269;Maritime transport;Imports;3 Petroleum products;America;2017;1688;1262;2114;25.0;0;;4398;3138;5658;29.0;1;9.0
6270;Maritime transport;Imports;3 Petroleum products;Asia;2007;1804;3;3604;100.0;1;;3452;0;8049;;1;
6271;Maritime transport;Imports;3 Petroleum products;Asia;2008;4396;2649;6143;40.0;1;;8727;4591;12864;47.0;2;9.0
6272;Maritime transport;Imports;3 Petroleum products;Asia;2009;3477;2512;4442;28.0;1;;11287;7810;14764;31.0;3;9.0
6273;Maritime transport;Imports;3 Petroleum products;Asia;2010;4782;3262;6301;32.0;1;;11356;7336;15375;35.0;3;9.0
6274;Maritime transport;Imports;3 Petroleum products;Asia;2011;8360;6331;10389;24.0;2;;13626;9829;17422;28.0;4;9.0
6275;Maritime transport;Imports;3 Petroleum products;Asia;2012;7807;5661;9954;27.0;2;;11866;8283;15450;30.0;3;9.0
6276;Maritime transport;Imports;3 Petroleum products;Asia;2013;6861;5137;8586;25.0;2;;11421;8252;14590;28.0;3;9.0
6277;Maritime transport;Imports;3 Petroleum products;Asia;2014;6423;4797;8049;25.0;2;;11234;8033;14435;28.0;3;9.0
6278;Maritime transport;Imports;3 Petroleum products;Asia;2015;4665;3509;5821;25.0;1;;12925;9379;16471;27.0;3;9.0
6279;Maritime transport;Imports;3 Petroleum products;Asia;2016;4223;3175;5270;25.0;1;;14240;10385;18096;27.0;4;9.0
6280;Maritime transport;Imports;3 Petroleum products;Asia;2017;5235;4058;6411;22.0;1;;15210;11531;18888;24.0;4;9.0
6281;Maritime transport;Imports;3 Petroleum products;Europe;2007;15582;13379;17785;14.0;5;;53899;47415;60383;12.0;14;
6282;Maritime transport;Imports;3 Petroleum products;Europe;2008;26090;22047;30134;15.0;8;;62119;52616;71622;15.0;17;5.0
6283;Maritime transport;Imports;3 Petroleum products;Europe;2009;21108;17962;24255;15.0;8;;68766;58592;78940;15.0;20;9.0
6284;Maritime transport;Imports;3 Petroleum products;Europe;2010;32037;27456;36618;14.0;10;;74760;63785;85734;15.0;20;9.0
6285;Maritime transport;Imports;3 Petroleum products;Europe;2011;38029;32518;43541;14.0;11;;64310;55693;72928;13.0;17;1.0
6286;Maritime transport;Imports;3 Petroleum products;Europe;2012;45632;39449;51814;14.0;12;;69428;60402;78454;13.0;18;9.0
6287;Maritime transport;Imports;3 Petroleum products;Europe;2013;43972;37586;50357;15.0;11;;76727;66802;86653;13.0;20;9.0
6288;Maritime transport;Imports;3 Petroleum products;Europe;2014;38799;33201;44398;14.0;10;;71929;62023;81835;14.0;19;9.0
6289;Maritime transport;Imports;3 Petroleum products;Europe;2015;29283;25444;33121;13.0;8;;86049;76090;96007;12.0;22;5.0
6290;Maritime transport;Imports;3 Petroleum products;Europe;2016;25127;22305;27949;11.0;7;;93979;84405;103552;10.0;23;9.0
6291;Maritime transport;Imports;3 Petroleum products;Europe;2017;28896;25631;32160;11.0;7;;82030;72984;91076;11.0;20;1.0
6292;Maritime transport;Imports;3 Petroleum products;Oceania;2007;0;0;0;;0;;0;0;0;;0;
6293;Maritime transport;Imports;3 Petroleum products;Oceania;2008;0;0;0;;0;;0;0;0;;0;
6294;Maritime transport;Imports;3 Petroleum products;Oceania;2009;0;0;0;;0;;0;0;0;;0;
6295;Maritime transport;Imports;3 Petroleum products;Oceania;2010;0;0;1;;0;;0;0;1;;0;
6296;Maritime transport;Imports;3 Petroleum products;Oceania;2011;0;0;0;;0;;0;0;0;;0;
6297;Maritime transport;Imports;3 Petroleum products;Oceania;2012;0;0;0;;0;;0;0;0;;0;
6298;Maritime transport;Imports;3 Petroleum products;Oceania;2013;0;0;0;;0;;0;0;0;;0;
6299;Maritime transport;Imports;3 Petroleum products;Oceania;2014;0;0;0;;0;;0;0;0;;0;
6300;Maritime transport;Imports;3 Petroleum products;Oceania;2015;0;0;0;;0;;0;0;0;;0;
6301;Maritime transport;Imports;3 Petroleum products;Oceania;2016;0;0;0;;0;;0;0;0;;0;
6302;Maritime transport;Imports;3 Petroleum products;Oceania;2017;0;0;0;;0;;0;0;0;;0;
6303;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2007;0;0;11;;0;;0;0;43;;0;
6304;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2008;0;0;8;;0;;0;0;25;;0;9.0
6305;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2009;0;0;25;;0;;0;0;90;;0;9.0
6306;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2010;0;0;58;;0;;0;0;158;;0;9.0
6307;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2011;61;47;76;24.0;0;;141;97;185;31.0;0;1.0
6308;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2012;15;7;23;52.0;0;;21;6;37;74.0;0;1.0
6309;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2013;1;1;2;52.0;0;;2;1;4;74.0;0;1.0
6310;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2014;9;0;19;;0;;18;0;44;;0;9.0
6311;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2015;0;0;437;19.0;0;;0;0;1015;21.0;0;9.0
6312;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2016;0;0;443;18.0;0;;0;0;1445;20.0;0;9.0
6313;Maritime transport;Imports;3 Petroleum products;Unspecified countries and areas;2017;0;0;573;1251.0;0;;0;0;1639;386.0;0;9.0
6314;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2007;2550;2445;2655;4.0;1;;13034;12162;13906;7.0;3;
6315;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2008;2701;2599;2803;4.0;1;4.0;12490;11853;13127;5.0;3;9.0
6316;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2009;1078;1032;1125;4.0;0;1.0;7893;7383;8402;6.0;2;1.0
6317;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2010;2260;2161;2359;4.0;1;5.0;11039;10328;11751;6.0;3;5.0
6318;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2011;2887;2772;3003;4.0;1;5.0;9590;8888;10293;7.0;2;1.0
6319;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2012;2604;2507;2702;4.0;1;2.0;8580;7889;9270;8.0;2;1.0
6320;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2013;1881;1802;1961;4.0;0;1.0;9396;8604;10188;8.0;2;4.0
6321;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2014;1746;1677;1815;4.0;0;2.0;9269;8516;10021;8.0;2;9.0
6322;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2015;1481;1418;1543;4.0;0;1.0;9611;8813;10409;8.0;2;9.0
6323;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2016;1077;1027;1128;5.0;0;1.0;8292;7629;8955;8.0;2;1.0
6324;Maritime transport;Imports;4 Ores and metal waste;Total all continents;2017;1494;1422;1566;5.0;0;5.0;9718;9010;10426;7.0;2;5.0
6325;Maritime transport;Imports;4 Ores and metal waste;Africa;2007;235;214;256;9.0;0;;2322;1947;2698;16.0;1;
