ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2017Totaal_1;WmoClienten2016InstroomWlz2017_2;SamenloopWmoWlz2016Wlz2017_3;WmoClientenGebruikWlz2017Totaal_4;WmoClienten2016InstroomWlzIn2017_5;SamenloopWmoWlz2016WlzIn2017_6;WmoClientenGebruikWlz2017Totaal_7;WmoClienten2016InstroomWlzIn2017_8;SamenloopWmoWlz2016WlzIn2017_9
165;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Kaag en Braassem;;;;;;;;;
166;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Kampen;225.0;75.0;145.0;16.85;5.79;11.06;5.0;2.0;4.0
167;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Kapelle;;;;;;;;;
168;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Katwijk;605.0;125.0;480.0;21.58;4.44;17.14;12.0;2.0;9.0
169;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Kerkrade;390.0;195.0;195.0;13.93;7.04;6.9;10.0;5.0;5.0
170;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Koggenland;;;;;;;;;
171;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Kollumerland en Nieuwkruisland;180.0;25.0;155.0;24.0;3.33;20.67;17.0;2.0;15.0
172;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Korendijk;;;;;;;;;
173;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Krimpen aan den IJssel;315.0;70.0;245.0;21.53;4.9;16.62;13.0;3.0;10.0
174;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Krimpenerwaard;;;;;;;;;
175;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Laarbeek;;;;;;;;;
176;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Landerd;;;;;;;;;
177;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Landgraaf;690.0;135.0;560.0;22.3;4.32;17.98;21.0;4.0;17.0
178;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Landsmeer;120.0;30.0;90.0;18.42;4.41;14.0;13.0;3.0;10.0
179;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Langedijk;135.0;35.0;105.0;17.15;4.13;13.02;6.0;1.0;5.0
180;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Lansingerland;400.0;70.0;330.0;23.36;4.03;19.33;9.0;2.0;7.0
181;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Laren (NH.);90.0;15.0;75.0;25.79;4.01;21.78;10.0;2.0;8.0
182;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leek;385.0;60.0;325.0;27.46;4.3;23.15;24.0;4.0;20.0
183;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leerdam;195.0;55.0;140.0;18.29;5.02;13.27;11.0;3.0;8.0
184;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leeuwarden;;;;;;;;;
185;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leeuwarderadeel;190.0;30.0;160.0;29.23;4.77;24.46;22.0;4.0;19.0
186;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leiden;1000.0;225.0;780.0;15.61;3.48;12.13;9.0;2.0;7.0
187;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leiderdorp;305.0;60.0;240.0;18.43;3.71;14.72;14.0;3.0;11.0
188;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leidschendam-Voorburg;525.0;175.0;350.0;18.61;6.23;12.38;8.0;3.0;6.0
189;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Lelystad;;;;;;;;;
190;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leudal;460.0;100.0;360.0;19.73;4.38;15.36;15.0;3.0;12.0
191;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Leusden;270.0;80.0;190.0;16.32;4.96;11.37;11.0;3.0;8.0
192;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Lingewaal;85.0;20.0;60.0;16.25;4.26;11.99;9.0;2.0;7.0
193;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Lingewaard;425.0;110.0;315.0;18.56;4.73;13.83;11.0;3.0;8.0
194;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Lisse;175.0;50.0;125.0;15.34;4.34;10.99;9.0;3.0;7.0
195;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Littenseradiel;;;;;;;;;
196;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Lochem;150.0;55.0;95.0;19.37;7.2;12.17;5.0;2.0;3.0
197;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Loon op Zand;355.0;70.0;280.0;21.55;4.38;17.16;18.0;4.0;15.0
