ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Omschrijving_45;Code_46;Omschrijving_47;Inwonertal_48;Omgevingsadressendichtheid_49
188;Leidschendam-Voorburg;GM1916    ;Leidschendam-Voorburg                             ;Leidschendam+Voorburg                             ;AM34      ;Zuid-Holland Centraal                             ;AR07      ;Den Haag                                          ;CR26      ;Agglomeratie 's-Gravenhage                        ;CS260     ;Agglomeratie 's-Gravenhage                        ;CP2601    ;Aggl. 's-Gravenhage excl. Zoetermeer              ;GG7014    ;GGD Haaglanden                                    ;JZ24      ;Haaglanden                                        ;KK45      ;Zuidwest                                          ;LB2804    ;Westelijk Rijnland                                ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL33      ;Zuid-Holland                                      ;NL332     ;Agglomeratie 's-Gravenhage                        ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;RT13      ;Gerechtshof Den Haag                              ;TR17      ;Overig Nederland                                  ;VR15      ;Haaglanden                                        ;ZK10      ;Haaglanden                                        ;5;50 000 tot 100 000 inwoners                       ;1;Zeer sterk stedelijk     ;74604;2840
189;Lelystad;GM0995    ;Lelystad                                          ;Lelystad                                          ;AM11      ;Flevoland                                         ;AR04      ;Midden-Nederland                                  ;CR40      ;Flevoland                                         ;CS400     ;Flevoland                                         ;CP4002    ;Flevoland-Midden                                  ;GG2209    ;GGD Flevoland                                     ;JZ08      ;Flevoland                                         ;KK41      ;Noordwest                                         ;LB2402    ;Zuidelijke IJsselmeerpolders                      ;LG06      ;IJsselmeerpolders                                 ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL23      ;Flevoland                                         ;NL230     ;Flevoland                                         ;PV24      ;Flevoland                                         ;RE03      ;Midden-Nederland                                  ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR03      ;IJsselmeerkust                                    ;VR25      ;Flevoland                                         ;ZK07      ;Flevoland                                         ;5;50 000 tot 100 000 inwoners                       ;3;Matig stedelijk          ;76937;1358
190;Leudal;GM1640    ;Leudal                                            ;Leudal                                            ;AM33      ;Midden-Limburg                                    ;AR09      ;Limburg                                           ;CR38      ;Midden-Limburg                                    ;CS380     ;Midden-Limburg                                    ;CP3800    ;Midden-Limburg                                    ;GG6011    ;GGD Limburg-Noord                                 ;JZ43      ;Midden-Limburg West                               ;KK44      ;Zuid                                              ;LB3101    ;Noord-Limburg                                     ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL42      ;Limburg (NL)                                      ;NL422     ;Midden-Limburg                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;TR14      ;O.-Brabant, N.- en M.-Limburg, Nijmegen           ;VR23      ;Limburg-Noord                                     ;ZK17      ;Noord- en Midden-Limburg                          ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;35878;379
191;Leusden;GM0327    ;Leusden                                           ;Leusden                                           ;AM14      ;Amersfoort                                        ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2514    ;GGD Regio Utrecht                                 ;JZ20      ;Eemland                                           ;KK41      ;Noordwest                                         ;LB2605    ;Zandgebied in Utrecht                             ;LG05      ;Centraal Veehouderijgebied                        ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL31      ;Utrecht                                           ;NL310     ;Utrecht                                           ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;29677;1209
192;Lingewaal;GM0733    ;Lingewaal                                         ;Lingewaal                                         ;AM35      ;Gorinchem                                         ;AR03      ;Gelderland                                        ;CR16      ;Zuidwest-Gelderland                               ;CS160     ;Zuidwest-Gelderland                               ;CP1600    ;Zuidwest-Gelderland                               ;GG2014    ;GGD Gelderland-Zuid                               ;JZ30      ;Rivierenland                                      ;KK43      ;Oost                                              ;LB2505    ;Veluwezoom en Betuwe                              ;LG10      ;Rivierengebied                                    ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL22      ;Gelderland                                        ;NL224     ;Zuidwest-Gelderland                               ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR09      ;Gelders Rivierengebied                            ;VR08      ;Gelderland-Zuid                                   ;ZK16      ;Nijmegen                                          ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;11158;317
193;Lingewaard;GM1705    ;Lingewaard                                        ;Lingewaard                                        ;AM07      ;Midden-Gelderland                                 ;AR03      ;Gelderland                                        ;CR15      ;Arnhem/Nijmegen                                   ;CS150     ;Arnhem/Nijmegen                                   ;CP1500    ;Arnhem/Nijmegen                                   ;GG1911    ;Veiligheids- en Gezondheidsregio Gelderland-Midden;JZ28      ;Arnhem                                            ;KK43      ;Oost                                              ;LB2504    ;Oostelijke Betuwe en Nijmegen                     ;LG10      ;Rivierengebied                                    ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL22      ;Gelderland                                        ;NL226     ;Arnhem/Nijmegen                                   ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR09      ;Gelders Rivierengebied                            ;VR07      ;Gelderland-Midden                                 ;ZK04      ;Arnhem                                            ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;46182;942
194;Lisse;GM0553    ;Lisse                                             ;Lisse                                             ;AM19      ;Holland Rijnland                                  ;AR07      ;Den Haag                                          ;CR25      ;Agglomeratie Leiden en Bollenstreek               ;CS250     ;Agglomeratie Leiden en Bollenstreek               ;CP2500    ;Agglomeratie Leiden en Bollenstreek               ;GG4506    ;GGD Hollands-Midden                               ;JZ18      ;Holland Rijnland                                  ;KK45      ;Zuidwest                                          ;LB2808    ;Bollenstreek                                      ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL33      ;Zuid-Holland                                      ;NL337     ;Agglomeratie Leiden en Bollenstreek               ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;RT13      ;Gerechtshof Den Haag                              ;TR17      ;Overig Nederland                                  ;VR16      ;Hollands-Midden                                   ;ZK28      ;Zuid-Holland Noord                                ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;22717;1602
195;Littenseradiel;GM0140    ;Littenseradiel                                    ;Littenseradiel                                    ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2102    ;Weidestreek in Friesland                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL12      ;Friesland (NL)                                    ;NL121     ;Noord-Friesland                                   ;PV21      ;Friesland                                         ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR17      ;Overig Nederland                                  ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;10746;130
196;Lochem;GM0262    ;Lochem                                            ;Lochem                                            ;AM06      ;Stedendriehoek en Noordwest Veluwe                ;AR03      ;Gelderland                                        ;CR14      ;Achterhoek                                        ;CS140     ;Achterhoek                                        ;CP1400    ;Achterhoek                                        ;GG1413    ;GGD Noord- en Oost-Gelderland                     ;JZ17      ;Midden IJssel / Oost Veluwe                       ;KK43      ;Oost                                              ;LB2508    ;Achterhoek                                        ;LG04      ;Oostelijk Veehouderijgebied                       ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL22      ;Gelderland                                        ;NL225     ;Achterhoek                                        ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR10      ;Achterhoek                                        ;VR06      ;Noord- en Oost-Gelderland                         ;ZK03      ;Apeldoorn/Zutphen                                 ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;33545;592
197;Loon op Zand;GM0809    ;Loon op Zand                                      ;Loon op Zand                                      ;AM26      ;Midden-Brabant                                    ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5406    ;GGD Hart voor Brabant                             ;JZ35      ;Midden-Brabant                                    ;KK44      ;Zuid                                              ;LB3008    ;Midden-Noord-Brabant                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL41      ;Noord-Brabant                                     ;NL412     ;Midden-Noord-Brabant                              ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland - West-Brabant                            ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;ZK12      ;Midden-Brabant                                    ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;23093;1050
198;Lopik;GM0331    ;Lopik                                             ;Lopik                                             ;AM13      ;Midden-Utrecht                                    ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1701    ;Utrecht-West                                      ;GG2514    ;GGD Regio Utrecht                                 ;JZ26      ;Lekstroom                                         ;KK41      ;Noordwest                                         ;LB2602    ;Westelijk Weidegebied in Utrecht                  ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL31      ;Utrecht                                           ;NL310     ;Utrecht                                           ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR17      ;Overig Nederland                                  ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;14208;360
199;Loppersum;GM0024    ;Loppersum                                         ;Loppersum                                         ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR02      ;Delfzijl en omgeving                              ;CS020     ;Delfzijl en omgeving                              ;CP0200    ;Delfzijl en omgeving                              ;GG0111    ;GGD Groningen                                     ;JZ01      ;Groningen                                         ;KK42      ;Noord                                             ;LB2006    ;Oostelijk Hogeland                                ;LG01      ;Bouwhoek en Hogeland                              ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL11      ;Groningen                                         ;NL112     ;Delfzijl en omgeving                              ;PV20      ;Groningen                                         ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR17      ;Overig Nederland                                  ;VR01      ;Groningen                                         ;ZK09      ;Groningen                                         ;2;5 000 tot 10 000 inwoners                         ;5;Niet stedelijk           ;9914;208
200;Losser;GM0168    ;Losser                                            ;Losser                                            ;AM05      ;Twente                                            ;AR06      ;Overijssel                                        ;CR12      ;Twente                                            ;CS120     ;Twente                                            ;CP1200    ;Twente                                            ;GG1106    ;GGD Regio Twente                                  ;JZ14      ;Twente                                            ;KK43      ;Oost                                              ;LB2303    ;Twente                                            ;LG04      ;Oostelijk Veehouderijgebied                       ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL21      ;Overijssel                                        ;NL213     ;Twente                                            ;PV23      ;Overijssel                                        ;RE02      ;Oost-Nederland                                    ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR11      ;Twente, Salland en Vechtstreek                    ;VR05      ;Twente                                            ;ZK22      ;Twente                                            ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;22482;735
201;Maasdriel;GM0263    ;Maasdriel                                         ;Maasdriel                                         ;AM10      ;Rivierenland                                      ;AR03      ;Gelderland                                        ;CR16      ;Zuidwest-Gelderland                               ;CS160     ;Zuidwest-Gelderland                               ;CP1600    ;Zuidwest-Gelderland                               ;GG2014    ;GGD Gelderland-Zuid                               ;JZ30      ;Rivierenland                                      ;KK43      ;Oost                                              ;LB2506    ;Bommelerwaard                                     ;LG10      ;Rivierengebied                                    ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL22      ;Gelderland                                        ;NL224     ;Zuidwest-Gelderland                               ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR09      ;Gelders Rivierengebied                            ;VR08      ;Gelderland-Zuid                                   ;ZK19      ;Noordoost-Brabant                                 ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;24250;480
202;Maasgouw;GM1641    ;Maasgouw                                          ;Maasgouw                                          ;AM33      ;Midden-Limburg                                    ;AR09      ;Limburg                                           ;CR38      ;Midden-Limburg                                    ;CS380     ;Midden-Limburg                                    ;CP3800    ;Midden-Limburg                                    ;GG6011    ;GGD Limburg-Noord                                 ;JZ42      ;Midden-Limburg Oost                               ;KK44      ;Zuid                                              ;LB3101    ;Noord-Limburg                                     ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL42      ;Limburg (NL)                                      ;NL422     ;Midden-Limburg                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;TR14      ;O.-Brabant, N.- en M.-Limburg, Nijmegen           ;VR23      ;Limburg-Noord                                     ;ZK17      ;Noord- en Midden-Limburg                          ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;23774;432
203;Maassluis;GM0556    ;Maassluis                                         ;Maassluis                                         ;AM22      ;Rijnmond                                          ;AR08      ;Rotterdam                                         ;CR29      ;Groot-Rijnmond                                    ;CS291     ;Rijnmond                                          ;CP2910    ;Rijnmond                                          ;GG4607    ;GGD Rotterdam-Rijnmond                            ;JZ29      ;Rijnmond                                          ;KK45      ;Zuidwest                                          ;LB2802    ;Rotterdam en omgeving                             ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL33      ;Zuid-Holland                                      ;NL339     ;Groot-Rijnmond                                    ;PV28      ;Zuid-Holland                                      ;RE07      ;Rotterdam                                         ;RT13      ;Gerechtshof Den Haag                              ;TR17      ;Overig Nederland                                  ;VR17      ;Rotterdam-Rijnmond                                ;ZK33      ;Westland Schieland Delfland                       ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;32450;1969
204;Maastricht;GM0935    ;Maastricht                                        ;Maastricht                                        ;AM30      ;Zuid-Limburg                                      ;AR09      ;Limburg                                           ;CR39      ;Zuid-Limburg                                      ;CS390     ;Zuid-Limburg                                      ;CP3900    ;Zuid-Limburg                                      ;GG6106    ;GGD Zuid-Limburg                                  ;JZ41      ;Zuid-Limburg                                      ;KK44      ;Zuid                                              ;LB3102    ;Zuid-Limburg                                      ;LG14      ;Zuid-Limburg                                      ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL42      ;Limburg (NL)                                      ;NL423     ;Zuid-Limburg                                      ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;TR15      ;Zuid-Limburg                                      ;VR24      ;Limburg-Zuid                                      ;ZK31      ;Zuid-Limburg                                      ;6;100 000 tot 150 000 inwoners                      ;2;Sterk stedelijk          ;122753;2392
205;De Marne;GM1663    ;De Marne                                          ;Marne De                                          ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR03      ;Overig Groningen                                  ;CS030     ;Overig Groningen                                  ;CP0300    ;Overig Groningen                                  ;GG0111    ;GGD Groningen                                     ;JZ01      ;Groningen                                         ;KK42      ;Noord                                             ;LB2001    ;De Marne                                          ;LG01      ;Bouwhoek en Hogeland                              ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL11      ;Groningen                                         ;NL113     ;Overig Groningen                                  ;PV20      ;Groningen                                         ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR17      ;Overig Nederland                                  ;VR01      ;Groningen                                         ;ZK09      ;Groningen                                         ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;10088;155
206;Marum;GM0025    ;Marum                                             ;Marum                                             ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR03      ;Overig Groningen                                  ;CS030     ;Overig Groningen                                  ;CP0300    ;Overig Groningen                                  ;GG0111    ;GGD Groningen                                     ;JZ01      ;Groningen                                         ;KK42      ;Noord                                             ;LB2005    ;Groninger zuidelijk Westerkwartier                ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL11      ;Groningen                                         ;NL113     ;Overig Groningen                                  ;PV20      ;Groningen                                         ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR17      ;Overig Nederland                                  ;VR01      ;Groningen                                         ;ZK09      ;Groningen                                         ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;10388;336
207;Medemblik;GM0420    ;Medemblik                                         ;Medemblik                                         ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR18      ;Kop van Noord-Holland                             ;CS180     ;Kop van Noord-Holland                             ;CP1800    ;Kop van Noord-Holland                             ;GG2707    ;GGD Hollands-Noorden                              ;JZ05      ;West Friesland                                    ;KK41      ;Noordwest                                         ;LB2705    ;West-Friesland en omgeving                        ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL32      ;Noord-Holland                                     ;NL321     ;Kop van Noord-Holland                             ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;RT11      ;Gerechtshof Amsterdam                             ;TR03      ;IJsselmeerkust                                    ;VR10      ;Noord-Holland-Noord                               ;ZK18      ;Noord-Holland Noord                               ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;44058;515
208;Meerssen;GM0938    ;Meerssen                                          ;Meerssen                                          ;AM30      ;Zuid-Limburg                                      ;AR09      ;Limburg                                           ;CR39      ;Zuid-Limburg                                      ;CS390     ;Zuid-Limburg                                      ;CP3900    ;Zuid-Limburg                                      ;GG6106    ;GGD Zuid-Limburg                                  ;JZ41      ;Zuid-Limburg                                      ;KK44      ;Zuid                                              ;LB3102    ;Zuid-Limburg                                      ;LG14      ;Zuid-Limburg                                      ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL42      ;Limburg (NL)                                      ;NL423     ;Zuid-Limburg                                      ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;TR15      ;Zuid-Limburg                                      ;VR24      ;Limburg-Zuid                                      ;ZK31      ;Zuid-Limburg                                      ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;19072;611
209;Meierijstad;GM1948    ;Meierijstad                                       ;Meierijstad                                       ;AM27      ;Noordoost-Brabant                                 ;AR10      ;Oost-Brabant                                      ;CR35      ;Noordoost-Noord-Brabant                           ;CS352     ;Overig Noordoost-Noord-Brabant                    ;CP3520    ;Overig Noordoost-Noord-Brabant                    ;GG5406    ;GGD Hart voor Brabant                             ;JZ33      ;Noordoost Brabant                                 ;KK44      ;Zuid                                              ;LB3010    ;Westelijk Peelgebied                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL41      ;Noord-Brabant                                     ;NL413     ;Noordoost-Noord-Brabant                           ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;TR13      ;West- en Midden-Brabant                           ;VR21      ;Brabant-Noord                                     ;ZK19      ;Noordoost-Brabant                                 ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;79869;966
210;Menameradiel;GM1908    ;Menameradiel                                      ;Menameradiel                                      ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2101    ;Noordelijk Friesland                              ;LG01      ;Bouwhoek en Hogeland                              ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL12      ;Friesland (NL)                                    ;NL121     ;Noord-Friesland                                   ;PV21      ;Friesland                                         ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR17      ;Overig Nederland                                  ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;13454;263
211;Menterwolde;GM1987    ;Menterwolde                                       ;Menterwolde                                       ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR01      ;Oost-Groningen                                    ;CS010     ;Oost-Groningen                                    ;CP0100    ;Oost-Groningen                                    ;GG0111    ;GGD Groningen                                     ;JZ01      ;Groningen                                         ;KK42      ;Noord                                             ;LB2003    ;Oostelijke Bouwstreek in Groningen                ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL11      ;Groningen                                         ;NL111     ;Oost-Groningen                                    ;PV20      ;Groningen                                         ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR17      ;Overig Nederland                                  ;VR01      ;Groningen                                         ;ZK09      ;Groningen                                         ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;12162;357
212;Meppel;GM0119    ;Meppel                                            ;Meppel                                            ;AM36      ;Regio Zwolle                                      ;AR05      ;Noord-Nederland                                   ;CR09      ;Zuidwest-Drenthe                                  ;CS090     ;Zuidwest-Drenthe                                  ;CP0900    ;Zuidwest-Drenthe                                  ;GG0706    ;GGD Drenthe                                       ;JZ04      ;Drenthe                                           ;KK42      ;Noord                                             ;LB2203    ;Zuidwestelijk Weidegebied in Drenthe              ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL13      ;Drenthe                                           ;NL133     ;Zuidwest-Drenthe                                  ;PV22      ;Drenthe                                           ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;VR03      ;Drenthe                                           ;ZK06      ;Drenthe                                           ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;33025;1255
213;Middelburg (Z.);GM0687    ;Middelburg                                        ;Middelburg                                        ;AM24      ;Zeeland                                           ;AR11      ;Zeeland-West-Brabant                              ;CR32      ;Overig Zeeland                                    ;CS320     ;Overig Zeeland                                    ;CP3200    ;Overig Zeeland                                    ;GG5006    ;GGD Zeeland                                       ;JZ38      ;Zeeland                                           ;KK45      ;Zuidwest                                          ;LB2902    ;Walcheren en Zuid-Beveland                        ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL34      ;Zeeland                                           ;NL342     ;Overig Zeeland                                    ;PV29      ;Zeeland                                           ;RE08      ;Zeeland - West-Brabant                            ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;TR04      ;Deltagebied                                       ;VR19      ;Zeeland                                           ;ZK27      ;Zeeland                                           ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;48019;1735
214;Midden-Delfland;GM1842    ;Midden-Delfland                                   ;Midden+Delfland                                   ;AM21      ;Haaglanden                                        ;AR07      ;Den Haag                                          ;CR27      ;Delft en Westland                                 ;CS270     ;Delft en Westland                                 ;CP2700    ;Delft en Westland                                 ;GG7014    ;GGD Haaglanden                                    ;JZ24      ;Haaglanden                                        ;KK45      ;Zuidwest                                          ;LB2809    ;Westland en Zuidhollandse Droogmakerijen          ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL33      ;Zuid-Holland                                      ;NL333     ;Delft en Westland                                 ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;RT13      ;Gerechtshof Den Haag                              ;TR17      ;Overig Nederland                                  ;VR15      ;Haaglanden                                        ;ZK33      ;Westland Schieland Delfland                       ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;19034;1292
215;Midden-Drenthe;GM1731    ;Midden-Drenthe                                    ;Midden+Drenthe                                    ;AM03      ;Drenthe                                           ;AR05      ;Noord-Nederland                                   ;CR07      ;Noord-Drenthe                                     ;CS070     ;Noord-Drenthe                                     ;CP0700    ;Noord-Drenthe                                     ;GG0706    ;GGD Drenthe                                       ;JZ04      ;Drenthe                                           ;KK42      ;Noord                                             ;LB2202    ;Smilde en Centraal Zandgebied in Drenthe          ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL13      ;Drenthe                                           ;NL131     ;Noord-Drenthe                                     ;PV22      ;Drenthe                                           ;RE01      ;Noord-Nederland                                   ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;VR03      ;Drenthe                                           ;ZK06      ;Drenthe                                           ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;33399;397
