ID;WayOfEnding;TypeOfPerson;Regions;Periods;EndedDebtRestructuringPlans_1;AverageDuration_2
5283;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2010 4th quarter;292.0;37.0
5284;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2010;1131.0;38.0
5285;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2011 1st quarter;223.0;38.0
5286;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2011 2nd quarter;201.0;36.0
5287;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2011 3rd quarter;182.0;37.0
5288;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2011 4th quarter;244.0;36.0
5289;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2011;850.0;37.0
5290;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2012 1st quarter;193.0;36.0
5291;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2012 2nd quarter;246.0;36.0
5292;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2012 3rd quarter;220.0;37.0
5293;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2012 4th quarter;271.0;37.0
5294;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2012;930.0;36.0
5295;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2013 1st quarter;244.0;36.0
5296;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2013 2nd quarter;303.0;36.0
5297;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2013 3rd quarter;277.0;35.0
5298;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2013 4th quarter;306.0;35.0
5299;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2013;1130.0;36.0
5300;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2014 1st quarter;291.0;36.0
5301;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2014 2nd quarter;375.0;36.0
5302;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2014 3rd quarter;458.0;37.0
5303;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2014 4th quarter;440.0;36.0
5304;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2014;1564.0;37.0
5305;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2015 1st quarter;415.0;36.0
5306;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2015 2nd quarter;499.0;35.0
5307;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2015 3rd quarter;478.0;35.0
5308;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2015 4th quarter;493.0;35.0
5309;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2015;1885.0;36.0
5310;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2016 1st quarter;454.0;36.0
5311;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2016 2nd quarter;463.0;35.0
5312;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2016 3rd quarter;441.0;36.0
5313;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2016 4th quarter;489.0;36.0
5314;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2016;1847.0;36.0
5315;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2017 1st quarter;501.0;35.0
5316;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2017 2nd quarter;550.0;36.0
5317;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2017 3rd quarter;507.0;36.0
5318;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2017 4th quarter;491.0;36.0
5319;Ended by clean slate;Natural persons total;North of the Netherlands (LD);2017;2049.0;36.0
5320;Ended by clean slate;Natural persons total;East of the Netherlands (LD);1999 1st quarter;2.0;0.0
5321;Ended by clean slate;Natural persons total;East of the Netherlands (LD);1999 2nd quarter;4.0;1.0
5322;Ended by clean slate;Natural persons total;East of the Netherlands (LD);1999 3rd quarter;5.0;1.0
5323;Ended by clean slate;Natural persons total;East of the Netherlands (LD);1999 4th quarter;1.0;0.0
5324;Ended by clean slate;Natural persons total;East of the Netherlands (LD);1999;12.0;1.0
5325;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2000 1st quarter;14.0;9.0
5326;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2000 2nd quarter;21.0;11.0
5327;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2000 3rd quarter;30.0;13.0
5328;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2000 4th quarter;46.0;14.0
5329;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2000;111.0;12.0
5330;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2001 1st quarter;77.0;16.0
5331;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2001 2nd quarter;73.0;17.0
5332;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2001 3rd quarter;64.0;18.0
5333;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2001 4th quarter;87.0;21.0
5334;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2001;301.0;18.0
5335;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2002 1st quarter;148.0;26.0
5336;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2002 2nd quarter;245.0;30.0
5337;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2002 3rd quarter;373.0;31.0
5338;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2002 4th quarter;458.0;33.0
5339;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2002;1224.0;31.0
5340;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2003 1st quarter;491.0;33.0
5341;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2003 2nd quarter;483.0;32.0
5342;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2003 3rd quarter;506.0;31.0
5343;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2003 4th quarter;578.0;32.0
5344;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2003;2058.0;32.0
5345;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2004 1st quarter;496.0;31.0
5346;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2004 2nd quarter;453.0;32.0
5347;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2004 3rd quarter;460.0;31.0
5348;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2004 4th quarter;502.0;32.0
5349;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2004;1911.0;32.0
5350;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2005 1st quarter;467.0;32.0
5351;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2005 2nd quarter;489.0;31.0
5352;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2005 3rd quarter;513.0;31.0
5353;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2005 4th quarter;425.0;31.0
5354;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2005;1894.0;31.0
5355;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2006 1st quarter;409.0;30.0
5356;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2006 2nd quarter;530.0;32.0
5357;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2006 3rd quarter;492.0;33.0
5358;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2006 4th quarter;440.0;34.0
5359;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2006;1871.0;33.0
5360;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2007 1st quarter;439.0;34.0
5361;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2007 2nd quarter;417.0;34.0
5362;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2007 3rd quarter;520.0;35.0
5363;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2007 4th quarter;656.0;35.0
5364;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2007;2032.0;35.0
5365;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2008 1st quarter;666.0;35.0
5366;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2008 2nd quarter;637.0;35.0
5367;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2008 3rd quarter;678.0;35.0
5368;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2008 4th quarter;702.0;36.0
5369;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2008;2683.0;35.0
5370;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2009 1st quarter;619.0;36.0
5371;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2009 2nd quarter;646.0;36.0
5372;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2009 3rd quarter;603.0;36.0
5373;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2009 4th quarter;570.0;37.0
5374;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2009;2438.0;36.0
5375;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2010 1st quarter;677.0;37.0
5376;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2010 2nd quarter;720.0;37.0
5377;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2010 3rd quarter;584.0;36.0
5378;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2010 4th quarter;668.0;38.0
5379;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2010;2649.0;37.0
5380;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2011 1st quarter;544.0;37.0
5381;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2011 2nd quarter;444.0;36.0
5382;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2011 3rd quarter;490.0;36.0
5383;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2011 4th quarter;465.0;37.0
5384;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2011;1943.0;37.0
5385;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2012 1st quarter;364.0;36.0
5386;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2012 2nd quarter;410.0;35.0
5387;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2012 3rd quarter;368.0;36.0
5388;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2012 4th quarter;434.0;34.0
5389;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2012;1576.0;35.0
5390;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2013 1st quarter;439.0;35.0
5391;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2013 2nd quarter;486.0;36.0
5392;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2013 3rd quarter;471.0;37.0
5393;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2013 4th quarter;602.0;37.0
5394;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2013;1998.0;36.0
5395;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2014 1st quarter;668.0;37.0
5396;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2014 2nd quarter;611.0;36.0
5397;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2014 3rd quarter;639.0;37.0
5398;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2014 4th quarter;734.0;37.0
5399;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2014;2652.0;37.0
5400;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2015 1st quarter;709.0;37.0
5401;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2015 2nd quarter;638.0;37.0
5402;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2015 3rd quarter;572.0;37.0
5403;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2015 4th quarter;717.0;37.0
5404;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2015;2636.0;37.0
5405;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2016 1st quarter;631.0;36.0
5406;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2016 2nd quarter;494.0;35.0
5407;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2016 3rd quarter;475.0;36.0
5408;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2016 4th quarter;582.0;36.0
5409;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2016;2182.0;36.0
5410;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2017 1st quarter;503.0;35.0
5411;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2017 2nd quarter;481.0;35.0
5412;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2017 3rd quarter;555.0;36.0
5413;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2017 4th quarter;542.0;36.0
5414;Ended by clean slate;Natural persons total;East of the Netherlands (LD);2017;2081.0;36.0
5415;Ended by clean slate;Natural persons total;West of the Netherlands (LD);1999 1st quarter;1.0;0.0
5416;Ended by clean slate;Natural persons total;West of the Netherlands (LD);1999 2nd quarter;7.0;0.0
5417;Ended by clean slate;Natural persons total;West of the Netherlands (LD);1999 3rd quarter;9.0;0.0
5418;Ended by clean slate;Natural persons total;West of the Netherlands (LD);1999 4th quarter;12.0;1.0
5419;Ended by clean slate;Natural persons total;West of the Netherlands (LD);1999;29.0;0.0
5420;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2000 1st quarter;13.0;6.0
5421;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2000 2nd quarter;14.0;10.0
5422;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2000 3rd quarter;19.0;12.0
5423;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2000 4th quarter;27.0;12.0
5424;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2000;73.0;10.0
5425;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2001 1st quarter;42.0;10.0
5426;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2001 2nd quarter;34.0;17.0
5427;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2001 3rd quarter;54.0;19.0
5428;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2001 4th quarter;72.0;22.0
5429;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2001;202.0;18.0
5430;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2002 1st quarter;205.0;30.0
5431;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2002 2nd quarter;297.0;33.0
5432;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2002 3rd quarter;389.0;35.0
5433;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2002 4th quarter;448.0;35.0
5434;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2002;1339.0;34.0
5435;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2003 1st quarter;506.0;35.0
5436;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2003 2nd quarter;653.0;34.0
5437;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2003 3rd quarter;651.0;34.0
5438;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2003 4th quarter;641.0;34.0
5439;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2003;2451.0;34.0
5440;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2004 1st quarter;474.0;35.0
5441;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2004 2nd quarter;581.0;34.0
5442;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2004 3rd quarter;598.0;36.0
5443;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2004 4th quarter;556.0;36.0
5444;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2004;2209.0;35.0
5445;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2005 1st quarter;627.0;37.0
5446;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2005 2nd quarter;631.0;36.0
5447;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2005 3rd quarter;611.0;36.0
5448;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2005 4th quarter;560.0;36.0
5449;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2005;2429.0;36.0
5450;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2006 1st quarter;528.0;36.0
5451;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2006 2nd quarter;681.0;37.0
5452;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2006 3rd quarter;689.0;37.0
5453;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2006 4th quarter;781.0;37.0
5454;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2006;2679.0;37.0
5455;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2007 1st quarter;790.0;37.0
5456;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2007 2nd quarter;1088.0;40.0
5457;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2007 3rd quarter;952.0;38.0
5458;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2007 4th quarter;951.0;38.0
5459;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2007;3781.0;38.0
5460;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2008 1st quarter;1181.0;38.0
5461;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2008 2nd quarter;1109.0;38.0
5462;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2008 3rd quarter;968.0;38.0
5463;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2008 4th quarter;1131.0;39.0
5464;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2008;4389.0;39.0
5465;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2009 1st quarter;1119.0;40.0
5466;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2009 2nd quarter;1158.0;41.0
5467;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2009 3rd quarter;1090.0;41.0
5468;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2009 4th quarter;1252.0;42.0
5469;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2009;4619.0;41.0
5470;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2010 1st quarter;1085.0;41.0
5471;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2010 2nd quarter;1131.0;41.0
5472;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2010 3rd quarter;1167.0;41.0
5473;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2010 4th quarter;1447.0;41.0
5474;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2010;4830.0;41.0
5475;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2011 1st quarter;1015.0;41.0
5476;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2011 2nd quarter;866.0;41.0
5477;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2011 3rd quarter;814.0;41.0
5478;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2011 4th quarter;768.0;42.0
5479;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2011;3463.0;41.0
5480;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2012 1st quarter;755.0;41.0
5481;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2012 2nd quarter;714.0;41.0
5482;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2012 3rd quarter;683.0;39.0
5483;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2012 4th quarter;799.0;41.0
5484;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2012;2951.0;41.0
5485;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2013 1st quarter;794.0;40.0
5486;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2013 2nd quarter;829.0;41.0
5487;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2013 3rd quarter;850.0;39.0
5488;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2013 4th quarter;942.0;40.0
5489;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2013;3415.0;40.0
5490;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2014 1st quarter;959.0;39.0
5491;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2014 2nd quarter;1178.0;39.0
5492;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2014 3rd quarter;1233.0;39.0
5493;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2014 4th quarter;1162.0;38.0
5494;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2014;4532.0;39.0
5495;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2015 1st quarter;1232.0;38.0
5496;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2015 2nd quarter;1125.0;39.0
5497;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2015 3rd quarter;1304.0;38.0
5498;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2015 4th quarter;1209.0;38.0
5499;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2015;4870.0;38.0
5500;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2016 1st quarter;1195.0;38.0
5501;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2016 2nd quarter;1065.0;37.0
5502;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2016 3rd quarter;1097.0;37.0
5503;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2016 4th quarter;1155.0;37.0
5504;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2016;4512.0;37.0
5505;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2017 1st quarter;930.0;37.0
5506;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2017 2nd quarter;1106.0;38.0
5507;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2017 3rd quarter;974.0;38.0
5508;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2017 4th quarter;1072.0;38.0
5509;Ended by clean slate;Natural persons total;West of the Netherlands (LD);2017;4082.0;38.0
5510;Ended by clean slate;Natural persons total;South of the Netherlands (LD);1999 1st quarter;10.0;0.0
5511;Ended by clean slate;Natural persons total;South of the Netherlands (LD);1999 2nd quarter;14.0;0.0
5512;Ended by clean slate;Natural persons total;South of the Netherlands (LD);1999 3rd quarter;12.0;0.0
5513;Ended by clean slate;Natural persons total;South of the Netherlands (LD);1999 4th quarter;17.0;1.0
5514;Ended by clean slate;Natural persons total;South of the Netherlands (LD);1999;53.0;0.0
5515;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2000 1st quarter;17.0;3.0
5516;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2000 2nd quarter;14.0;6.0
5517;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2000 3rd quarter;39.0;9.0
5518;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2000 4th quarter;17.0;12.0
5519;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2000;87.0;8.0
5520;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2001 1st quarter;34.0;13.0
5521;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2001 2nd quarter;38.0;11.0
5522;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2001 3rd quarter;33.0;16.0
5523;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2001 4th quarter;56.0;20.0
5524;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2001;161.0;15.0
5525;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2002 1st quarter;95.0;31.0
5526;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2002 2nd quarter;203.0;33.0
5527;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2002 3rd quarter;172.0;34.0
5528;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2002 4th quarter;243.0;35.0
5529;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2002;713.0;33.0
5530;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2003 1st quarter;299.0;36.0
5531;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2003 2nd quarter;256.0;35.0
5532;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2003 3rd quarter;329.0;35.0
5533;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2003 4th quarter;356.0;35.0
5534;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2003;1240.0;35.0
5535;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2004 1st quarter;230.0;36.0
5536;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2004 2nd quarter;296.0;35.0
5537;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2004 3rd quarter;211.0;35.0
5538;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2004 4th quarter;231.0;36.0
5539;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2004;968.0;35.0
5540;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2005 1st quarter;201.0;36.0
5541;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2005 2nd quarter;259.0;39.0
5542;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2005 3rd quarter;307.0;39.0
5543;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2005 4th quarter;403.0;41.0
5544;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2005;1170.0;39.0
5545;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2006 1st quarter;375.0;39.0
5546;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2006 2nd quarter;402.0;39.0
5547;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2006 3rd quarter;311.0;40.0
5548;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2006 4th quarter;416.0;38.0
5549;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2006;1504.0;39.0
5550;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2007 1st quarter;418.0;38.0
5551;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2007 2nd quarter;438.0;40.0
5552;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2007 3rd quarter;397.0;39.0
5553;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2007 4th quarter;549.0;38.0
5554;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2007;1802.0;39.0
5555;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2008 1st quarter;425.0;38.0
5556;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2008 2nd quarter;434.0;38.0
5557;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2008 3rd quarter;417.0;40.0
5558;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2008 4th quarter;566.0;40.0
5559;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2008;1842.0;39.0
5560;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2009 1st quarter;485.0;40.0
5561;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2009 2nd quarter;564.0;39.0
5562;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2009 3rd quarter;568.0;40.0
5563;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2009 4th quarter;473.0;40.0
5564;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2009;2090.0;40.0
5565;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2010 1st quarter;636.0;40.0
5566;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2010 2nd quarter;563.0;39.0
5567;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2010 3rd quarter;533.0;40.0
5568;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2010 4th quarter;480.0;40.0
5569;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2010;2212.0;40.0
5570;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2011 1st quarter;657.0;42.0
5571;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2011 2nd quarter;435.0;40.0
5572;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2011 3rd quarter;460.0;41.0
5573;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2011 4th quarter;427.0;40.0
5574;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2011;1979.0;41.0
5575;Ended by clean slate;Natural persons total;South of the Netherlands (LD);2012 1st quarter;438.0;40.0
