ID;OriginDestination;Periods;NetEnergyConsumption_1;TapWaterUse_2;SolidWasteProduction_3;HeavyMetalsToWater_4;NutrientsToWater_5;ClimateChangeGreenhouseGases_6;Acidification_7;OzoneLayerDepletion_8;FineDust_9;RevenuesEnvironmentalFeesAndTaxes_10;EnvironmentalExpenditure_11;EnvironmentalInvestment_12;LabourInputOfEmployedPersons_13;GrossValueAddedAtBasicPrices_14;LabourInputOfEmployedPersons_15;OutputAtBasicPrices_16;GrossValueAddedAtBasicPrices_17;GrossFixedCapitalFormation_18
343;23 Manufacture of building materials;1996;38.0;;;0.0;4.0;2609.0;0.3;0.0;1.9;29.0;;;;;31.0;5414.0;1946.0;205.0
344;23 Manufacture of building materials;1997;38.0;;;0.0;5.0;2645.0;0.3;0.0;1.0;29.0;;;;;31.0;5549.0;1875.0;218.0
345;23 Manufacture of building materials;1998;36.0;;;0.0;6.0;2636.0;0.3;0.0;0.7;30.0;;;;;32.0;5737.0;1909.0;244.0
346;23 Manufacture of building materials;1999;37.0;;;0.0;7.0;2772.0;0.2;0.0;0.9;36.0;;;;;32.0;6029.0;2003.0;238.0
347;23 Manufacture of building materials;2000;38.0;;;0.0;8.0;2739.0;0.2;0.3;1.2;31.0;;;;;32.0;6280.0;2097.0;239.0
348;23 Manufacture of building materials;2001;37.0;;;0.0;8.0;2697.0;0.3;0.0;1.5;36.0;;;;;33.0;6203.0;2103.0;268.0
349;23 Manufacture of building materials;2002;33.0;;960.0;0.0;8.0;2396.0;0.3;0.0;2.1;34.0;;;;;32.0;5881.0;1985.0;252.0
350;23 Manufacture of building materials;2003;32.0;2.7;902.0;0.0;8.0;2307.0;0.2;0.0;1.1;42.0;;;;;30.0;5570.0;1855.0;176.0
351;23 Manufacture of building materials;2004;33.0;2.5;810.0;0.0;8.0;2348.0;0.2;0.0;1.2;39.0;;;;;29.0;5677.0;1994.0;172.0
352;23 Manufacture of building materials;2005;33.0;2.3;840.0;0.0;9.0;2307.0;0.2;0.0;1.2;50.0;;;;;28.0;5738.0;2018.0;153.0
353;23 Manufacture of building materials;2006;33.0;2.4;849.0;0.0;10.0;2283.0;0.2;0.0;1.3;60.0;;;;;28.0;6160.0;2170.0;234.0
354;23 Manufacture of building materials;2007;34.0;2.5;833.0;0.0;9.0;2377.0;0.2;0.0;1.3;52.0;;;;;28.0;6429.0;2230.0;253.0
355;23 Manufacture of building materials;2008;34.0;2.7;931.0;0.0;9.0;2342.0;0.2;0.0;1.2;66.0;43.0;12.0;;;28.0;6437.0;2211.0;322.0
356;23 Manufacture of building materials;2009;31.0;2.5;775.0;0.0;6.0;2143.0;0.2;0.0;1.2;60.0;39.0;8.0;;;27.0;5496.0;1885.0;236.0
357;23 Manufacture of building materials;2010;32.0;2.3;725.0;0.0;6.0;2136.0;0.2;0.0;1.2;49.0;;;;;26.0;5150.0;1729.0;205.0
358;23 Manufacture of building materials;2011;28.0;2.2;;;;1971.0;0.2;0.0;1.2;51.0;;;;;25.0;5431.0;1850.0;208.0
359;23 Manufacture of building materials;2012;27.0;;;;;1828.0;0.2;0.0;1.2;44.0;;;;;25.0;5112.0;1717.0;
360;24-25 Man. of basic metals and -products;1995;154.0;;;6.0;236.0;10152.0;0.6;0.0;7.1;66.0;;;;;117.0;18797.0;6295.0;570.0
361;24-25 Man. of basic metals and -products;1996;155.0;;;5.0;120.0;10606.0;0.6;0.0;5.4;71.0;;;;;119.0;19363.0;6407.0;674.0
362;24-25 Man. of basic metals and -products;1997;164.0;;;4.0;107.0;10709.0;0.5;0.0;4.4;77.0;;;;;120.0;20443.0;6491.0;770.0
363;24-25 Man. of basic metals and -products;1998;156.0;;;4.0;111.0;10343.0;0.4;0.0;4.8;84.0;;;;;121.0;21486.0;6650.0;957.0
364;24-25 Man. of basic metals and -products;1999;150.0;;;3.0;116.0;8694.0;0.4;0.0;4.1;96.0;;;;;121.0;21401.0;6584.0;944.0
365;24-25 Man. of basic metals and -products;2000;146.0;;;3.0;98.0;8285.0;0.4;0.0;3.6;96.0;;;;;121.0;22331.0;7059.0;1244.0
366;24-25 Man. of basic metals and -products;2001;150.0;;;3.0;95.0;8405.0;0.4;0.0;3.2;100.0;;;;;121.0;21967.0;7030.0;825.0
367;24-25 Man. of basic metals and -products;2002;151.0;;2854.0;2.0;96.0;9307.0;0.4;0.0;3.1;73.0;;;;;119.0;21468.0;6883.0;712.0
368;24-25 Man. of basic metals and -products;2003;154.0;29.7;2894.0;2.0;92.0;8017.0;0.4;0.0;3.0;76.0;;;;;114.0;21029.0;6798.0;730.0
369;24-25 Man. of basic metals and -products;2004;160.0;31.2;3199.0;2.0;94.0;7849.0;0.4;0.0;3.0;88.0;;;;;111.0;22108.0;7232.0;664.0
370;24-25 Man. of basic metals and -products;2005;159.0;30.5;3284.0;1.0;98.0;7819.0;0.4;0.0;2.7;123.0;;;;;109.0;22611.0;7451.0;703.0
371;24-25 Man. of basic metals and -products;2006;148.0;31.0;3023.0;2.0;116.0;7578.0;0.4;0.0;2.6;131.0;;;;;108.0;23561.0;7687.0;907.0
372;24-25 Man. of basic metals and -products;2007;159.0;32.1;2933.0;2.0;113.0;7889.0;0.4;0.0;2.7;104.0;;;;;110.0;25385.0;8352.0;1196.0
373;24-25 Man. of basic metals and -products;2008;155.0;34.3;3086.0;1.0;131.0;7845.0;0.4;0.0;2.5;138.0;;;;;112.0;25655.0;8367.0;1099.0
374;24-25 Man. of basic metals and -products;2009;125.0;28.9;2185.0;1.0;86.0;6621.0;0.2;0.0;2.1;121.0;;;;;105.0;21562.0;7080.0;1147.0
375;24-25 Man. of basic metals and -products;2010;143.0;28.9;2101.0;1.0;79.0;7453.0;0.3;0.0;2.3;146.0;;;;;102.0;24199.0;8175.0;710.0
376;24-25 Man. of basic metals and -products;2011;152.0;27.3;;;;7512.0;0.4;0.0;2.4;147.0;;;;;102.0;25032.0;8510.0;714.0
377;24-25 Man. of basic metals and -products;2012;140.0;;;;;7037.0;0.4;0.0;2.0;141.0;;;;;101.0;24533.0;8250.0;
378;24 Manufacture of basic metals;1995;143.0;;;3.0;145.0;9723.0;0.6;0.0;6.4;37.0;;;;;26.0;6377.0;1937.0;184.0
379;24 Manufacture of basic metals;1996;143.0;;;3.0;90.0;10160.0;0.5;0.0;5.4;44.0;;;;;25.0;6297.0;1931.0;244.0
380;24 Manufacture of basic metals;1997;147.0;;;3.0;80.0;10288.0;0.5;0.0;4.4;52.0;;;;;26.0;6831.0;2085.0;282.0
381;24 Manufacture of basic metals;1998;144.0;;;2.0;90.0;9890.0;0.4;0.0;4.5;53.0;;;;;26.0;7184.0;2119.0;374.0
382;24 Manufacture of basic metals;1999;138.0;;;2.0;92.0;8184.0;0.4;0.0;3.6;59.0;;;;;25.0;7034.0;2060.0;345.0
383;24 Manufacture of basic metals;2000;134.0;;;2.0;76.0;7811.0;0.4;0.0;2.9;58.0;;;;;25.0;7222.0;2163.0;639.0
384;24 Manufacture of basic metals;2001;138.0;;;2.0;70.0;7914.0;0.4;0.0;2.6;59.0;;;;;24.0;7022.0;2137.0;315.0
385;24 Manufacture of basic metals;2002;139.0;;2437.0;1.0;67.0;8805.0;0.4;0.0;2.5;34.0;;;;;23.0;6972.0;2192.0;250.0
386;24 Manufacture of basic metals;2003;144.0;27.4;2492.0;1.0;60.0;7558.0;0.4;0.0;2.5;34.0;;;;;22.0;7028.0;2269.0;311.0
387;24 Manufacture of basic metals;2004;149.0;29.0;2771.0;1.0;61.0;7398.0;0.4;0.0;2.5;41.0;;;;;21.0;7741.0;2567.0;231.0
388;24 Manufacture of basic metals;2005;148.0;28.2;2843.0;1.0;66.0;7368.0;0.4;0.0;2.1;63.0;;;;;21.0;7531.0;2488.0;270.0
389;24 Manufacture of basic metals;2006;138.0;28.7;2558.0;1.0;66.0;7154.0;0.4;0.0;2.1;71.0;;;;;21.0;7809.0;2548.0;373.0
390;24 Manufacture of basic metals;2007;149.0;29.6;2475.0;1.0;70.0;7462.0;0.4;0.0;2.2;42.0;;;;;21.0;8220.0;2729.0;527.0
391;24 Manufacture of basic metals;2008;144.0;31.5;2655.0;1.0;76.0;7437.0;0.4;0.0;2.0;64.0;86.0;15.0;;;21.0;8107.0;2730.0;360.0
392;24 Manufacture of basic metals;2009;114.0;26.5;1812.0;0.0;68.0;6190.0;0.2;0.0;1.7;47.0;67.0;15.0;;;21.0;6404.0;2184.0;620.0
393;24 Manufacture of basic metals;2010;131.0;26.5;1697.0;0.0;69.0;6993.0;0.3;0.0;1.9;67.0;;;;;20.0;7973.0;2813.0;257.0
394;24 Manufacture of basic metals;2011;142.0;25.0;;;;7111.0;0.3;0.0;1.9;74.0;;;;;20.0;7824.0;2692.0;260.0
395;24 Manufacture of basic metals;2012;129.0;;;;;6570.0;0.4;0.0;1.5;72.0;;;;;19.0;7776.0;2631.0;
396;25 Manufacture of metal products;1995;11.0;;;2.0;91.0;429.0;0.0;0.0;0.7;29.0;;;;;91.0;12392.0;4298.0;386.0
397;25 Manufacture of metal products;1996;11.0;;;2.0;30.0;446.0;0.0;0.0;0.0;27.0;;;;;94.0;13027.0;4417.0;430.0
398;25 Manufacture of metal products;1997;17.0;;;2.0;27.0;420.0;0.0;0.0;0.0;25.0;;;;;94.0;13589.0;4361.0;488.0
399;25 Manufacture of metal products;1998;12.0;;;1.0;22.0;453.0;0.0;0.0;0.3;31.0;;;;;95.0;14277.0;4481.0;583.0
400;25 Manufacture of metal products;1999;13.0;;;1.0;23.0;510.0;0.0;0.0;0.5;37.0;;;;;96.0;14331.0;4470.0;599.0
401;25 Manufacture of metal products;2000;12.0;;;1.0;21.0;474.0;0.0;0.0;0.7;38.0;;;;;96.0;15051.0;4824.0;605.0
402;25 Manufacture of metal products;2001;12.0;;;1.0;26.0;490.0;0.0;0.0;0.6;42.0;;;;;96.0;14885.0;4821.0;510.0
403;25 Manufacture of metal products;2002;12.0;;416.0;1.0;29.0;502.0;0.0;0.0;0.6;39.0;;;;;96.0;14448.0;4643.0;462.0
404;25 Manufacture of metal products;2003;11.0;2.3;401.0;1.0;32.0;459.0;0.0;0.0;0.6;42.0;;;;;93.0;13981.0;4511.0;419.0
405;25 Manufacture of metal products;2004;11.0;2.2;428.0;1.0;33.0;451.0;0.0;0.0;0.6;48.0;;;;;89.0;14391.0;4677.0;433.0
406;25 Manufacture of metal products;2005;11.0;2.2;441.0;1.0;32.0;451.0;0.0;0.0;0.5;60.0;;;;;88.0;15080.0;4963.0;433.0
407;25 Manufacture of metal products;2006;11.0;2.3;465.0;1.0;50.0;424.0;0.0;0.0;0.5;60.0;;;;;87.0;15752.0;5139.0;534.0
408;25 Manufacture of metal products;2007;10.0;2.5;457.0;1.0;44.0;428.0;0.0;0.0;0.5;63.0;;;;;90.0;17178.0;5624.0;669.0
409;25 Manufacture of metal products;2008;11.0;2.8;432.0;0.0;54.0;408.0;0.0;0.0;0.5;75.0;42.0;8.0;;;91.0;17571.0;5637.0;739.0
410;25 Manufacture of metal products;2009;11.0;2.4;374.0;0.0;18.0;431.0;0.0;0.0;0.4;74.0;36.0;6.0;;;84.0;15173.0;4860.0;527.0
411;25 Manufacture of metal products;2010;12.0;2.4;404.0;0.0;11.0;460.0;0.0;0.0;0.4;79.0;;;;;82.0;16345.0;5450.0;453.0
412;25 Manufacture of metal products;2011;11.0;2.3;;;;400.0;0.0;0.0;0.5;74.0;;;;;82.0;17311.0;5781.0;454.0
413;25 Manufacture of metal products;2012;10.0;;;;;468.0;0.0;0.0;0.4;69.0;;;;;82.0;16858.0;5594.0;
414;26-27 Elektrical and electron. Industry;1995;22.0;;;1.0;56.0;461.0;0.0;3.5;0.1;17.0;;;;;77.0;13518.0;3285.0;621.0
415;26-27 Elektrical and electron. Industry;1996;22.0;;;1.0;54.0;424.0;0.0;2.6;0.1;23.0;;;;;77.0;14144.0;3191.0;552.0
416;26-27 Elektrical and electron. Industry;1997;17.0;;;1.0;52.0;393.0;0.1;1.7;0.0;20.0;;;;;79.0;15532.0;3115.0;588.0
417;26-27 Elektrical and electron. Industry;1998;23.0;;;1.0;50.0;405.0;0.1;0.9;0.0;24.0;;;;;76.0;15739.0;3221.0;782.0
418;26-27 Elektrical and electron. Industry;1999;23.0;;;1.0;49.0;362.0;0.1;0.0;0.0;26.0;;;;;76.0;16795.0;3552.0;687.0
419;26-27 Elektrical and electron. Industry;2000;25.0;;;1.0;48.0;528.0;0.0;0.0;0.0;25.0;;;;;76.0;18749.0;4654.0;696.0
420;26-27 Elektrical and electron. Industry;2001;21.0;;;1.0;55.0;473.0;0.0;0.0;0.0;19.0;;;;;76.0;17351.0;3678.0;785.0
421;26-27 Elektrical and electron. Industry;2002;19.0;;174.0;1.0;60.0;405.0;0.0;0.0;0.0;25.0;;;;;74.0;15039.0;2915.0;589.0
422;26-27 Elektrical and electron. Industry;2003;21.0;2.4;160.0;1.0;64.0;462.0;0.0;0.0;0.0;25.0;;;;;68.0;14674.0;2686.0;559.0
423;26-27 Elektrical and electron. Industry;2004;22.0;2.3;127.0;1.0;66.0;484.0;0.0;0.0;0.0;26.0;;;;;66.0;14978.0;2772.0;512.0
424;26-27 Elektrical and electron. Industry;2005;24.0;2.2;115.0;0.0;79.0;485.0;0.0;0.0;0.0;37.0;;;;;63.0;15199.0;2921.0;531.0
425;26-27 Elektrical and electron. Industry;2006;24.0;2.3;129.0;0.0;157.0;481.0;0.0;0.0;0.0;39.0;;;;;63.0;15758.0;3002.0;645.0
426;26-27 Elektrical and electron. Industry;2007;24.0;2.3;127.0;1.0;189.0;490.0;0.0;0.0;0.0;32.0;;;;;62.0;15798.0;3269.0;966.0
427;26-27 Elektrical and electron. Industry;2008;26.0;2.5;83.0;0.0;46.0;434.0;0.0;0.0;0.0;37.0;;;;;64.0;16043.0;3306.0;871.0
428;26-27 Elektrical and electron. Industry;2009;28.0;2.2;69.0;0.0;6.0;452.0;0.0;0.0;0.0;44.0;;;;;61.0;14248.0;2788.0;996.0
429;26-27 Elektrical and electron. Industry;2010;24.0;2.3;77.0;0.0;9.0;484.0;0.0;0.0;0.1;45.0;;;;;59.0;15431.0;3132.0;623.0
430;26-27 Elektrical and electron. Industry;2011;25.0;2.1;;;;381.0;0.0;0.0;0.0;44.0;;;;;60.0;16059.0;3309.0;689.0
431;26-27 Elektrical and electron. Industry;2012;22.0;;;;;345.0;0.0;0.0;0.0;41.0;;;;;59.0;16366.0;3390.0;
432;28 Manufacture of machinery n.e.c.;1995;10.0;;;1.0;50.0;266.0;0.0;0.0;0.1;26.0;;;;;69.0;10610.0;3097.0;307.0
433;28 Manufacture of machinery n.e.c.;1996;11.0;;;1.0;51.0;319.0;0.0;0.0;0.1;29.0;;;;;70.0;11605.0;3339.0;393.0
434;28 Manufacture of machinery n.e.c.;1997;11.0;;;1.0;50.0;301.0;0.0;0.0;0.0;24.0;;;;;72.0;12675.0;3681.0;398.0
435;28 Manufacture of machinery n.e.c.;1998;11.0;;;1.0;49.0;322.0;0.0;0.0;0.1;25.0;;;;;76.0;13056.0;3534.0;547.0
436;28 Manufacture of machinery n.e.c.;1999;12.0;;;1.0;47.0;330.0;0.0;0.0;0.0;31.0;;;;;77.0;13264.0;3480.0;486.0
437;28 Manufacture of machinery n.e.c.;2000;11.0;;;1.0;48.0;313.0;0.0;0.0;0.0;35.0;;;;;76.0;15094.0;4493.0;523.0
438;28 Manufacture of machinery n.e.c.;2001;11.0;;;1.0;60.0;293.0;0.0;0.0;0.1;33.0;;;;;78.0;14948.0;4188.0;603.0
439;28 Manufacture of machinery n.e.c.;2002;11.0;;132.0;1.0;72.0;275.0;0.0;0.0;0.0;31.0;;;;;73.0;14669.0;4051.0;433.0
440;28 Manufacture of machinery n.e.c.;2003;11.0;1.7;126.0;1.0;84.0;273.0;0.0;0.0;0.0;30.0;;;;;71.0;14301.0;4286.0;386.0
441;28 Manufacture of machinery n.e.c.;2004;11.0;1.7;121.0;1.0;96.0;250.0;0.0;0.0;0.0;33.0;;;;;70.0;15503.0;4841.0;373.0
442;28 Manufacture of machinery n.e.c.;2005;11.0;1.7;123.0;1.0;88.0;257.0;0.0;0.0;0.0;38.0;;;;;70.0;15704.0;4871.0;394.0
443;28 Manufacture of machinery n.e.c.;2006;11.0;1.8;120.0;0.0;77.0;269.0;0.0;0.0;0.1;44.0;;;;;71.0;17178.0;5287.0;482.0
444;28 Manufacture of machinery n.e.c.;2007;10.0;1.9;120.0;0.0;65.0;262.0;0.0;0.0;0.0;42.0;;;;;73.0;18443.0;5719.0;728.0
445;28 Manufacture of machinery n.e.c.;2008;10.0;2.0;145.0;0.0;54.0;312.0;0.0;0.0;0.1;52.0;37.0;16.0;;;74.0;17807.0;5479.0;600.0
446;28 Manufacture of machinery n.e.c.;2009;10.0;1.7;128.0;0.0;8.0;305.0;0.0;0.0;0.1;46.0;34.0;14.0;;;74.0;15018.0;4494.0;759.0
447;28 Manufacture of machinery n.e.c.;2010;10.0;1.9;170.0;0.0;11.0;297.0;0.0;0.0;0.1;52.0;;;;;70.0;17899.0;5738.0;742.0
448;28 Manufacture of machinery n.e.c.;2011;9.0;1.9;;;;235.0;0.0;0.0;0.1;54.0;;;;;72.0;19950.0;6459.0;975.0
449;28 Manufacture of machinery n.e.c.;2012;8.0;;;;;281.0;0.0;0.0;0.1;55.0;;;;;73.0;19179.0;6105.0;
450;29-30 Transport equipment;1995;7.0;;;3.0;6.0;195.0;0.0;0.1;0.0;16.0;;;;;47.0;9127.0;1847.0;991.0
451;29-30 Transport equipment;1996;7.0;;;3.0;7.0;200.0;0.0;0.1;0.0;13.0;;;;;44.0;9653.0;1885.0;283.0
452;29-30 Transport equipment;1997;7.0;;;3.0;7.0;198.0;0.0;0.0;0.0;13.0;;;;;44.0;10515.0;2091.0;265.0
453;29-30 Transport equipment;1998;7.0;;;3.0;8.0;193.0;0.0;0.0;0.0;15.0;;;;;46.0;12255.0;2473.0;411.0
454;29-30 Transport equipment;1999;7.0;;;3.0;8.0;178.0;0.0;0.0;0.0;16.0;;;;;47.0;12720.0;2688.0;388.0
455;29-30 Transport equipment;2000;7.0;;;3.0;8.0;185.0;0.0;0.0;0.0;17.0;;;;;47.0;12798.0;2699.0;220.0
456;29-30 Transport equipment;2001;7.0;;;3.0;8.0;197.0;0.0;6.4;0.0;17.0;;;;;46.0;13021.0;3069.0;293.0
457;29-30 Transport equipment;2002;7.0;;226.0;3.0;7.0;191.0;0.0;7.0;0.0;23.0;;;;;45.0;12566.0;2986.0;195.0
458;29-30 Transport equipment;2003;7.0;2.2;216.0;3.0;6.0;187.0;0.0;0.0;0.0;17.0;;;;;44.0;12322.0;2915.0;259.0
459;29-30 Transport equipment;2004;7.0;1.7;203.0;3.0;6.0;178.0;0.0;0.0;0.0;17.0;;;;;41.0;12429.0;2937.0;245.0
460;29-30 Transport equipment;2005;6.0;1.6;185.0;3.0;6.0;168.0;0.0;0.0;0.0;19.0;;;;;39.0;12205.0;2929.0;299.0
461;29-30 Transport equipment;2006;6.0;1.6;161.0;3.0;5.0;147.0;0.0;0.0;0.0;23.0;;;;;39.0;12734.0;2964.0;286.0
462;29-30 Transport equipment;2007;6.0;1.8;168.0;3.0;4.0;147.0;0.0;0.0;0.0;22.0;;;;;39.0;14744.0;3347.0;400.0
463;29-30 Transport equipment;2008;7.0;1.9;190.0;3.0;4.0;174.0;0.0;0.0;0.0;30.0;;;;;40.0;15110.0;3392.0;399.0
464;29-30 Transport equipment;2009;7.0;1.6;130.0;3.0;3.0;177.0;0.0;0.0;0.0;31.0;;;;;40.0;9599.0;2180.0;262.0
465;29-30 Transport equipment;2010;7.0;1.5;114.0;3.0;4.0;187.0;0.0;0.0;0.0;39.0;;;;;38.0;11353.0;2705.0;233.0
466;29-30 Transport equipment;2011;5.0;1.5;;;;124.0;0.0;0.0;0.0;42.0;;;;;38.0;13612.0;3314.0;269.0
467;29-30 Transport equipment;2012;5.0;;;;;142.0;0.0;0.0;0.0;37.0;;;;;39.0;12506.0;3047.0;
468;31-33 Other manufacturing and repair;1995;7.0;;;0.0;0.0;471.0;0.0;0.4;0.1;23.0;;;;;170.0;13458.0;5694.0;531.0
469;31-33 Other manufacturing and repair;1996;8.0;;;0.0;0.0;498.0;0.0;0.3;0.1;31.0;;;;;171.0;13663.0;5931.0;482.0
470;31-33 Other manufacturing and repair;1997;8.0;;;0.0;0.0;466.0;0.0;0.2;0.1;27.0;;;;;175.0;14151.0;6119.0;513.0
471;31-33 Other manufacturing and repair;1998;8.0;;;0.0;0.0;459.0;0.0;0.1;0.1;27.0;;;;;180.0;15112.0;6652.0;574.0
472;31-33 Other manufacturing and repair;1999;9.0;;;0.0;0.0;474.0;0.0;0.0;0.1;37.0;;;;;181.0;15483.0;6805.0;646.0
473;31-33 Other manufacturing and repair;2000;9.0;;;0.0;0.0;455.0;0.0;0.0;0.1;41.0;;;;;182.0;15990.0;6933.0;615.0
474;31-33 Other manufacturing and repair;2001;7.0;;;0.0;0.0;464.0;0.0;0.9;0.1;36.0;;;;;181.0;16135.0;7123.0;636.0
475;31-33 Other manufacturing and repair;2002;8.0;;287.0;0.0;0.0;470.0;0.0;1.0;0.1;40.0;;;;;180.0;15902.0;7109.0;531.0
476;31-33 Other manufacturing and repair;2003;7.0;0.7;271.0;0.0;0.0;457.0;0.0;0.0;0.1;39.0;;;;;178.0;15535.0;7026.0;524.0
477;31-33 Other manufacturing and repair;2004;8.0;0.7;309.0;0.0;0.0;464.0;0.0;0.0;0.1;40.0;;;;;176.0;15604.0;7070.0;464.0
478;31-33 Other manufacturing and repair;2005;8.0;0.7;309.0;0.0;0.0;455.0;0.0;0.0;0.1;50.0;;;;;173.0;15926.0;7191.0;453.0
479;31-33 Other manufacturing and repair;2006;10.0;0.7;296.0;0.0;0.0;432.0;0.0;0.0;0.1;55.0;;;;;174.0;16554.0;7404.0;570.0
480;31-33 Other manufacturing and repair;2007;8.0;0.7;297.0;0.0;0.0;416.0;0.0;0.0;0.1;55.0;;;;;175.0;17494.0;7832.0;656.0
481;31-33 Other manufacturing and repair;2008;8.0;0.8;294.0;0.0;0.0;469.0;0.0;0.0;0.1;67.0;;;;;177.0;17791.0;8049.0;791.0
482;31-33 Other manufacturing and repair;2009;7.0;0.7;265.0;0.0;0.0;408.0;0.0;0.0;0.1;66.0;;;;;176.0;16444.0;7509.0;835.0
483;31-33 Other manufacturing and repair;2010;9.0;0.6;263.0;0.0;0.0;447.0;0.0;0.0;0.1;57.0;;;;;174.0;16456.0;7615.0;793.0
484;31-33 Other manufacturing and repair;2011;10.0;0.6;;;;483.0;0.0;0.0;0.1;53.0;;;;;170.0;16527.0;7593.0;688.0
485;31-33 Other manufacturing and repair;2012;7.0;;;;;562.0;0.0;0.0;0.1;53.0;;;;;169.0;16725.0;7628.0;
486;D Electricity and gas supply;1995;346.0;;;0.0;1.0;47725.0;1.8;0.0;0.6;330.0;;;0.0;15.0;29.0;22481.0;5145.0;2071.0
487;D Electricity and gas supply;1996;343.0;;;0.0;13.0;48344.0;1.8;0.0;0.5;357.0;;;0.0;13.0;28.0;23645.0;5386.0;2994.0
488;D Electricity and gas supply;1997;330.0;;;0.0;16.0;48710.0;1.5;0.0;0.4;334.0;;;0.0;15.0;27.0;23381.0;4891.0;1658.0
489;D Electricity and gas supply;1998;341.0;;;0.0;16.0;50435.0;1.4;0.0;0.6;331.0;;;0.0;16.0;27.0;23735.0;4907.0;1611.0
490;D Electricity and gas supply;1999;318.0;;;0.0;13.0;47489.0;1.5;0.0;0.4;306.0;;;0.0;13.0;26.0;23840.0;4773.0;1486.0
491;D Electricity and gas supply;2000;329.0;;;0.0;6.0;49023.0;1.5;0.0;0.3;293.0;;;0.0;9.0;25.0;24525.0;4979.0;1287.0
492;D Electricity and gas supply;2001;362.0;;;0.0;20.0;53000.0;1.5;0.0;0.4;295.0;;;0.0;9.0;25.0;25200.0;5214.0;1064.0
493;D Electricity and gas supply;2002;373.0;;1676.0;0.0;24.0;54495.0;1.5;0.0;0.5;232.0;;;0.0;7.0;25.0;25447.0;5943.0;950.0
494;D Electricity and gas supply;2003;376.0;3.7;1581.0;0.0;22.0;54946.0;1.5;0.0;0.5;250.0;;;0.0;14.0;24.0;25544.0;5839.0;1025.0
495;D Electricity and gas supply;2004;384.0;1.7;1507.0;0.0;14.0;56764.0;1.3;0.0;0.4;70.0;;;0.0;15.0;23.0;25940.0;5877.0;1281.0
496;D Electricity and gas supply;2005;375.0;1.6;1349.0;0.0;38.0;55319.0;1.2;0.0;0.5;36.0;;;1.0;-35.0;23.0;27334.0;6933.0;1233.0
497;D Electricity and gas supply;2006;348.0;1.8;1324.0;0.0;0.0;50990.0;1.1;0.0;0.4;38.0;;;1.0;71.0;23.0;27228.0;6757.0;1876.0
498;D Electricity and gas supply;2007;360.0;2.2;1313.0;0.0;2.0;52853.0;0.9;0.0;0.3;36.0;;;1.0;213.0;23.0;27014.0;6616.0;2299.0
499;D Electricity and gas supply;2008;362.0;2.9;1350.0;0.0;99.0;52853.0;0.7;0.0;0.3;47.0;186.0;541.0;1.0;419.0;24.0;28037.0;6853.0;1827.0
500;D Electricity and gas supply;2009;376.0;9.2;1243.0;0.0;21.0;53441.0;0.7;0.0;0.3;37.0;224.0;206.0;1.0;370.0;23.0;27797.0;6933.0;1934.0
501;D Electricity and gas supply;2010;380.0;12.1;1132.0;0.0;24.0;56126.0;0.7;0.0;0.3;38.0;;;1.0;374.0;25.0;29590.0;7435.0;2575.0
502;D Electricity and gas supply;2011;341.0;12.0;;;;51717.0;0.6;0.0;0.1;93.0;;;1.0;416.0;25.0;27826.0;6991.0;2313.0
503;D Electricity and gas supply;2012;319.0;;;;;49178.0;0.6;0.0;0.1;69.0;;;;;25.0;27599.0;6853.0;1927.0
504;E Water supply and waste management;1995;32.0;;;26.0;7800.0;4608.0;0.1;111.6;0.2;146.0;;;22.0;1628.0;31.0;6977.0;3033.0;1611.0
505;E Water supply and waste management;1996;37.0;;;24.0;7470.0;5396.0;0.1;80.9;0.1;146.0;;;23.0;1751.0;31.0;7405.0;3168.0;1422.0
506;E Water supply and waste management;1997;43.0;;;23.0;7033.0;6147.0;0.1;78.0;0.1;151.0;;;25.0;1990.0;32.0;7985.0;3387.0;1785.0
507;E Water supply and waste management;1998;46.0;;;25.0;7209.0;6441.0;0.1;75.0;0.1;158.0;;;26.0;2111.0;33.0;8511.0;3365.0;1219.0
508;E Water supply and waste management;1999;48.0;;;25.0;6650.0;6666.0;0.2;112.4;0.1;176.0;;;27.0;2414.0;34.0;9223.0;3704.0;1259.0
509;E Water supply and waste management;2000;49.0;;;23.0;6173.0;6845.0;0.1;119.0;0.1;200.0;;;28.0;2620.0;34.0;9615.0;3855.0;1196.0
510;E Water supply and waste management;2001;48.0;;;24.0;6393.0;6638.0;0.1;122.0;0.1;209.0;;;29.0;2727.0;35.0;9721.0;3845.0;1247.0
511;E Water supply and waste management;2002;52.0;;3061.0;22.0;6200.0;6908.0;0.1;118.0;0.1;219.0;;;30.0;2920.0;36.0;10154.0;4010.0;1322.0
512;E Water supply and waste management;2003;53.0;3.5;3017.0;20.0;5583.0;6907.0;0.1;107.4;0.1;215.0;;;31.0;3187.0;37.0;10402.0;4102.0;1445.0
513;E Water supply and waste management;2004;58.0;3.6;3745.0;16.0;5497.0;7492.0;0.1;105.9;0.1;224.0;;;30.0;3192.0;35.0;10365.0;4005.0;1503.0
514;E Water supply and waste management;2005;61.0;3.0;2881.0;14.0;5134.0;7409.0;0.1;105.2;0.1;246.0;;;30.0;3082.0;35.0;10097.0;3943.0;1699.0
515;E Water supply and waste management;2006;62.0;3.8;1943.0;12.0;4756.0;7594.0;0.1;106.2;0.3;275.0;;;29.0;3338.0;34.0;10258.0;4019.0;1521.0
