ID;Sex;Age;Periods;TotalFatalAccidents_1;TotalTransportAccidents_2;Pedestrian_3;Bicycle_4;MopedsAndLightMopeds_5;MotorisedDisabledVehicle_6;Motorcycle_7;PassengerCar_8;DeliveryVanLorry_9;OtherUnknown_10;AccidentalFall_11;AccidentalDrowning_12;TotalAccidentalPoisoningIncIntent_13;Medicine_14;IllegalDrugsNarcotics_15;Alcohol_16;OtherUnknown_17;TotalOtherFatalAccidents_18;MechanicalEffect_19;SmokeFireAndFlames_20;Suffocation_21;OtherIncludingSequelae_22;TotalFatalAccidents_23;TransportAccidents_24;AccidentalFall_25;AccidentalDrowning_26;AccidentalPoisoningIncIntentUnknown_27;OtherFatalAccidents_28
312;Men;30 to 40 years;2000;210;119;9;11;3;0;20;60;12;4;10;9;37;7;27;1;2;35;18;4;3;10;15.6;8.8;0.7;0.7;2.8;2.6
313;Men;30 to 40 years;2001;219;132;4;10;5;0;35;61;10;7;16;6;35;1;32;0;2;30;13;4;4;9;16.2;9.8;1.2;0.4;2.6;2.2
314;Men;30 to 40 years;2002;213;125;6;10;9;0;31;56;5;8;13;7;37;9;25;2;1;31;7;6;7;11;15.9;9.3;1.0;0.5;2.8;2.3
315;Men;30 to 40 years;2003;223;132;3;8;12;0;27;66;8;8;19;8;36;1;27;7;1;28;9;4;3;12;16.9;10.0;1.4;0.6;2.7;2.1
316;Men;30 to 40 years;2004;165;79;5;4;1;0;20;39;4;6;15;3;42;3;38;1;0;26;8;2;1;15;12.8;6.2;1.2;0.2;3.3;2.0
317;Men;30 to 40 years;2005;181;91;6;3;2;0;28;43;5;4;18;6;34;1;29;3;1;32;14;1;6;11;14.5;7.3;1.4;0.5;2.7;2.6
318;Men;30 to 40 years;2006;149;72;2;7;5;0;14;36;2;6;18;3;29;3;24;2;0;27;8;2;5;12;12.3;6.0;1.5;0.2;2.4;2.2
319;Men;30 to 40 years;2007;127;65;4;1;3;0;12;34;9;2;11;3;29;3;25;1;0;19;7;2;5;5;10.8;5.6;0.9;0.3;2.5;1.6
320;Men;30 to 40 years;2008;150;73;2;5;4;0;13;43;5;1;18;8;34;2;29;2;1;17;6;2;3;6;13.2;6.4;1.6;0.7;3.0;1.5
321;Men;30 to 40 years;2009;131;67;4;5;2;0;17;31;5;3;8;3;43;3;37;0;3;10;3;4;1;2;11.8;6.0;0.7;0.3;3.9;0.9
322;Men;30 to 40 years;2010;114;54;5;4;3;0;10;26;1;5;12;5;25;3;20;2;0;18;6;0;5;7;10.6;5.0;1.1;0.5;2.3;1.7
323;Men;30 to 40 years;2011;109;47;4;1;2;0;7;22;6;5;12;5;28;3;21;2;2;17;9;1;2;5;10.4;4.5;1.1;0.5;2.7;1.6
324;Men;30 to 40 years;2012;106;54;5;3;4;1;12;20;4;5;11;3;23;1;18;1;3;15;5;1;5;4;10.3;5.2;1.1;0.3;2.2;1.5
325;Men;30 to 40 years;2013;71;26;4;4;0;0;4;12;1;1;11;4;18;3;15;0;0;12;5;1;3;3;7.0;2.6;1.1;0.4;1.8;1.2
326;Men;30 to 40 years;2014;86;35;1;4;2;0;9;15;2;2;13;5;19;5;13;0;1;14;2;1;4;7;8.5;3.5;1.3;0.5;1.9;1.4
327;Men;30 to 40 years;2015;106;46;4;3;4;0;6;23;2;4;10;8;36;7;23;2;4;6;3;0;0;3;10.5;4.5;1.0;0.8;3.6;0.6
328;Men;30 to 40 years;2016;95;35;2;3;4;0;7;13;5;1;4;7;35;5;28;2;0;14;3;6;0;5;9.3;3.4;0.4;0.7;3.4;1.4
329;Men;30 to 40 years;2017;107;50;1;8;1;0;12;17;8;3;4;8;30;6;22;1;1;15;6;1;1;7;10.3;4.8;0.4;0.8;2.9;1.4
330;Men;40 to 50 years;1996;174;103;5;9;2;0;12;51;5;19;33;7;12;2;8;1;1;19;9;5;1;4;14.6;8.6;2.8;0.6;1.0;1.6
331;Men;40 to 50 years;1997;180;101;4;13;3;1;11;51;7;11;26;11;23;4;16;0;3;19;6;3;4;6;15.2;8.6;2.2;0.9;1.9;1.6
332;Men;40 to 50 years;1998;179;89;8;8;1;0;18;42;6;6;35;13;19;5;11;2;1;23;8;6;5;4;15.2;7.6;3.0;1.1;1.6;2.0
333;Men;40 to 50 years;1999;159;85;5;12;4;0;7;49;3;5;29;5;18;1;13;2;2;22;6;9;2;5;13.4;7.2;2.4;0.4;1.5;1.9
334;Men;40 to 50 years;2000;192;93;6;11;8;0;19;34;5;10;34;12;24;2;17;2;3;29;15;6;2;6;16.0;7.8;2.8;1.0;2.0;2.4
335;Men;40 to 50 years;2001;199;87;7;12;4;0;9;41;7;7;40;14;36;1;29;2;4;22;7;1;4;10;16.4;7.2;3.3;1.2;3.0;1.8
336;Men;40 to 50 years;2002;197;99;6;11;1;0;21;45;6;9;23;16;26;5;11;4;6;33;5;7;6;15;16.0;8.1;1.9;1.3;2.1;2.7
337;Men;40 to 50 years;2003;207;99;5;9;3;0;19;41;12;10;38;5;30;7;17;4;2;35;12;6;3;14;16.6;8.0;3.1;0.4;2.4;2.8
338;Men;40 to 50 years;2004;196;79;7;10;5;0;18;32;4;3;33;10;33;6;23;2;2;41;13;6;4;18;15.6;6.3;2.6;0.8;2.6;3.3
339;Men;40 to 50 years;2005;156;69;3;7;2;1;16;26;6;8;29;10;24;5;16;2;1;24;6;5;6;7;12.2;5.4;2.3;0.8;1.9;1.9
340;Men;40 to 50 years;2006;154;69;4;9;5;2;13;24;5;7;22;7;20;2;14;3;1;36;12;2;8;14;12.0;5.4;1.7;0.5;1.6;2.8
341;Men;40 to 50 years;2007;162;65;4;13;2;2;17;21;4;2;32;10;25;3;15;7;0;30;10;3;4;13;12.6;5.0;2.5;0.8;1.9;2.3
342;Men;40 to 50 years;2008;168;69;4;11;3;1;17;19;8;6;21;7;37;6;24;3;4;34;11;5;3;15;13.0;5.3;1.6;0.5;2.9;2.6
343;Men;40 to 50 years;2009;155;57;3;10;5;0;9;20;3;7;27;10;32;5;20;4;3;29;9;3;7;10;11.9;4.4;2.1;0.8;2.5;2.2
344;Men;40 to 50 years;2010;145;61;4;6;3;0;12;21;3;12;25;4;24;2;15;5;2;31;10;4;4;13;11.1;4.7;1.9;0.3;1.8;2.4
345;Men;40 to 50 years;2011;130;58;3;8;5;0;12;24;3;3;13;10;28;4;20;3;1;21;11;0;3;7;10.0;4.4;1.0;0.8;2.1;1.6
346;Men;40 to 50 years;2012;133;58;3;11;4;0;14;20;3;3;24;2;29;1;27;1;0;20;6;2;4;8;10.3;4.5;1.9;0.2;2.2;1.5
347;Men;40 to 50 years;2013;137;45;3;9;4;0;4;16;4;5;28;10;24;3;19;1;1;30;8;5;5;12;10.7;3.5;2.2;0.8;1.9;2.3
348;Men;40 to 50 years;2014;106;42;3;12;5;0;13;6;1;2;12;6;27;5;14;8;0;19;7;3;2;7;8.5;3.4;1.0;0.5;2.2;1.5
349;Men;40 to 50 years;2015;127;42;3;4;3;1;14;14;2;1;20;3;33;4;26;1;2;29;11;5;3;10;10.4;3.4;1.6;0.2;2.7;2.4
350;Men;40 to 50 years;2016;137;46;2;11;3;0;8;13;3;6;29;9;36;8;24;3;1;17;4;2;4;7;11.5;3.9;2.4;0.8;3.0;1.4
351;Men;40 to 50 years;2017;149;42;4;6;4;1;9;13;1;4;16;7;65;5;51;5;4;19;8;2;5;4;12.8;3.6;1.4;0.6;5.6;1.6
352;Men;50 to 60 years;1996;160;90;5;12;4;0;12;35;3;19;32;4;5;2;0;1;2;29;12;3;2;12;18.3;10.3;3.7;0.5;0.6;3.3
353;Men;50 to 60 years;1997;163;85;11;17;3;1;6;37;2;8;38;9;5;1;3;0;1;26;13;4;4;5;17.6;9.2;4.1;1.0;0.5;2.8
354;Men;50 to 60 years;1998;156;69;10;20;3;0;3;26;1;6;39;9;13;5;6;2;0;26;11;4;1;10;16.1;7.1;4.0;0.9;1.3;2.7
355;Men;50 to 60 years;1999;174;85;7;19;6;0;6;30;7;10;49;7;6;1;3;1;1;27;7;6;4;10;17.4;8.5;4.9;0.7;0.6;2.7
356;Men;50 to 60 years;2000;188;88;7;12;4;0;13;38;6;8;52;15;7;1;2;3;1;26;11;4;4;7;18.2;8.5;5.0;1.5;0.7;2.5
357;Men;50 to 60 years;2001;190;81;7;21;5;0;5;31;6;6;63;10;7;1;3;1;2;29;13;2;5;9;18.0;7.7;6.0;0.9;0.7;2.7
358;Men;50 to 60 years;2002;162;59;3;8;4;1;6;23;8;6;41;11;17;3;7;5;2;34;10;10;3;11;15.0;5.4;3.8;1.0;1.6;3.1
359;Men;50 to 60 years;2003;179;75;5;17;3;0;8;31;6;5;47;13;16;2;8;4;2;28;11;3;6;8;16.2;6.8;4.3;1.2;1.4;2.5
360;Men;50 to 60 years;2004;187;69;4;11;4;1;10;32;2;5;47;14;25;8;7;8;2;32;6;4;4;18;16.7;6.2;4.2;1.3;2.2;2.9
361;Men;50 to 60 years;2005;189;76;9;15;4;1;11;26;4;6;59;9;12;1;5;4;2;33;12;3;6;12;16.7;6.7;5.2;0.8;1.1;2.9
362;Men;50 to 60 years;2006;155;51;6;10;2;0;6;16;7;4;41;13;12;1;9;2;0;38;11;6;11;10;13.6;4.5;3.6;1.1;1.1;3.3
363;Men;50 to 60 years;2007;195;72;11;11;4;0;10;27;3;6;65;7;10;1;7;1;1;41;12;2;8;19;17.3;6.4;5.8;0.6;0.9;3.6
364;Men;50 to 60 years;2008;174;73;5;13;5;2;12;20;9;7;50;7;17;6;6;5;0;27;4;6;4;13;15.5;6.5;4.4;0.6;1.5;2.4
365;Men;50 to 60 years;2009;173;52;3;12;3;1;6;17;4;6;61;10;15;3;9;1;2;35;7;1;4;23;15.3;4.6;5.4;0.9;1.3;3.1
366;Men;50 to 60 years;2010;157;64;5;12;0;3;12;12;3;17;41;8;9;1;5;2;1;35;6;6;9;14;13.8;5.6;3.6;0.7;0.8;3.1
367;Men;50 to 60 years;2011;149;56;3;14;4;1;11;14;3;6;41;11;13;3;8;0;2;28;6;3;3;16;12.9;4.8;3.5;1.0;1.1;2.4
368;Men;50 to 60 years;2012;182;68;5;10;9;1;11;19;2;11;51;17;12;2;6;2;2;34;9;3;4;18;15.5;5.8;4.4;1.5;1.0;2.9
369;Men;50 to 60 years;2013;163;54;4;11;6;1;7;12;6;7;46;9;16;3;9;3;1;38;14;2;6;16;13.7;4.6;3.9;0.8;1.3;3.2
370;Men;50 to 60 years;2014;153;45;3;10;4;0;6;13;3;6;47;7;22;5;11;4;2;32;15;2;6;9;12.7;3.7;3.9;0.6;1.8;2.7
371;Men;50 to 60 years;2015;162;52;8;9;3;3;5;15;4;5;57;12;16;4;10;2;0;25;9;1;2;13;13.3;4.3;4.7;1.0;1.3;2.0
372;Men;50 to 60 years;2016;174;56;0;7;9;0;8;23;6;3;54;5;27;2;18;5;2;32;9;4;5;14;14.1;4.5;4.4;0.4;2.2;2.6
373;Men;50 to 60 years;2017;188;51;2;11;2;0;7;20;2;7;56;12;33;4;24;2;3;36;9;4;2;21;15.1;4.1;4.5;1.0;2.6;2.9
374;Men;60 to 70 years;1996;146;73;9;17;2;1;1;29;3;11;47;4;2;1;0;1;0;20;3;7;2;8;23.1;11.5;7.4;0.6;0.3;3.2
375;Men;60 to 70 years;1997;123;57;10;15;4;1;1;20;2;4;41;9;3;0;1;0;2;13;3;2;4;4;19.2;8.9;6.4;1.4;0.5;2.0
376;Men;60 to 70 years;1998;136;62;3;21;3;0;1;28;1;5;55;6;2;1;1;0;0;11;2;0;1;8;21.0;9.6;8.5;0.9;0.3;1.7
377;Men;60 to 70 years;1999;156;74;12;19;5;1;1;30;3;3;52;10;3;0;2;0;1;17;3;5;2;7;23.7;11.2;7.9;1.5;0.5;2.6
378;Men;60 to 70 years;2000;137;62;10;20;7;0;1;21;0;3;49;3;7;1;2;1;3;16;6;2;1;7;20.5;9.3;7.3;0.4;1.0;2.4
379;Men;60 to 70 years;2001;156;55;6;15;3;1;1;22;3;4;66;8;4;3;0;1;0;23;2;8;1;12;22.9;8.1;9.7;1.2;0.6;3.4
380;Men;60 to 70 years;2002;149;51;5;13;2;4;4;15;1;7;71;11;3;2;0;1;0;13;3;2;3;5;21.5;7.4;10.3;1.6;0.4;1.9
381;Men;60 to 70 years;2003;171;70;9;23;5;0;1;23;3;6;65;11;4;3;0;0;1;21;4;2;4;11;24.1;9.9;9.2;1.6;0.6;3.0
382;Men;60 to 70 years;2004;157;48;2;12;3;2;2;16;2;9;63;14;8;3;0;1;4;24;4;1;3;16;21.5;6.6;8.6;1.9;1.1;3.3
383;Men;60 to 70 years;2005;160;46;5;13;2;4;3;13;1;5;63;16;10;4;2;3;1;25;4;6;5;10;21.3;6.1;8.4;2.1;1.3;3.3
384;Men;60 to 70 years;2006;195;59;5;21;5;0;5;17;1;5;72;16;5;4;0;1;0;43;8;4;6;25;24.8;7.5;9.2;2.0;0.6;5.5
385;Men;60 to 70 years;2007;158;46;7;11;5;1;1;15;3;3;73;8;5;1;1;1;2;26;3;1;6;16;19.0;5.5;8.8;1.0;0.6;3.1
386;Men;60 to 70 years;2008;172;47;2;17;3;0;2;17;3;3;71;13;7;1;3;2;1;34;2;1;9;22;19.7;5.4;8.1;1.5;0.8;3.9
387;Men;60 to 70 years;2009;206;52;3;23;2;1;5;12;3;3;107;10;9;5;2;1;1;28;5;3;4;16;22.8;5.7;11.8;1.1;1.0;3.1
388;Men;60 to 70 years;2010;210;65;2;15;8;2;2;10;3;23;93;12;3;0;1;1;1;37;3;5;11;18;22.5;7.0;10.0;1.3;0.3;4.0
389;Men;60 to 70 years;2011;221;62;5;24;3;3;2;12;5;8;104;9;12;3;5;2;2;34;6;3;7;18;23.1;6.5;10.9;0.9;1.3;3.6
390;Men;60 to 70 years;2012;200;56;3;26;4;3;2;11;3;4;97;9;13;6;5;0;2;25;5;0;3;17;20.4;5.7;9.9;0.9;1.3;2.5
391;Men;60 to 70 years;2013;195;40;3;15;5;2;1;7;1;6;102;5;11;2;3;5;1;37;9;2;3;23;19.5;4.0;10.2;0.5;1.1;3.7
392;Men;60 to 70 years;2014;211;50;2;19;6;1;3;13;2;4;111;17;6;4;1;1;0;27;3;5;4;15;20.7;4.9;10.9;1.7;0.6;2.7
393;Men;60 to 70 years;2015;226;57;2;16;4;3;4;18;0;10;123;8;9;1;5;2;1;29;4;1;2;22;21.8;5.5;11.9;0.8;0.9;2.8
394;Men;60 to 70 years;2016;243;55;2;19;1;5;5;17;1;5;129;13;14;4;8;1;1;32;4;3;4;21;23.4;5.3;12.4;1.2;1.3;3.1
395;Men;60 to 70 years;2017;240;58;1;23;7;0;9;13;1;4;116;8;16;4;10;2;0;42;3;4;3;32;23.2;5.6;11.2;0.8;1.5;4.1
396;Men;70 to 80 years;1996;253;91;9;45;9;1;1;22;0;4;139;1;1;1;0;0;0;21;1;9;5;6;64.0;23.0;35.1;0.3;0.3;5.3
397;Men;70 to 80 years;1997;215;76;9;30;5;3;1;24;0;4;117;2;2;1;0;0;1;18;4;4;2;8;53.4;18.9;29.1;0.5;0.5;4.5
398;Men;70 to 80 years;1998;221;84;11;24;3;1;3;33;0;9;119;3;1;0;0;0;1;14;2;2;1;9;53.9;20.5;29.0;0.7;0.2;3.4
399;Men;70 to 80 years;1999;221;88;15;26;11;0;0;30;2;4;114;4;0;0;0;0;0;15;2;1;4;8;52.7;21.0;27.2;1.0;0.0;3.6
400;Men;70 to 80 years;2000;232;80;6;24;11;1;1;34;1;2;129;10;3;2;0;1;0;10;2;3;1;4;54.5;18.8;30.3;2.3;0.7;2.3
401;Men;70 to 80 years;2001;257;79;9;30;12;0;0;26;0;2;154;8;1;0;0;0;1;15;1;3;0;11;59.5;18.3;35.7;1.9;0.2;3.5
402;Men;70 to 80 years;2002;243;72;5;28;4;2;1;23;2;7;136;10;5;2;0;1;2;20;3;5;1;11;55.5;16.4;31.1;2.3;1.1;4.6
403;Men;70 to 80 years;2003;260;70;7;27;8;4;0;17;0;7;161;3;3;0;0;1;2;23;1;2;8;12;58.6;15.8;36.3;0.7;0.7;5.2
404;Men;70 to 80 years;2004;258;68;10;24;8;5;0;17;0;4;149;6;6;3;0;0;3;29;4;4;6;15;57.4;15.1;33.1;1.3;1.3;6.4
405;Men;70 to 80 years;2005;279;73;5;31;8;5;1;18;0;5;164;10;3;2;0;0;1;29;3;4;7;15;61.0;15.9;35.8;2.2;0.7;6.3
406;Men;70 to 80 years;2006;296;63;4;27;8;4;0;17;1;2;185;7;4;2;2;0;0;37;0;5;7;25;63.4;13.5;39.6;1.5;0.9;7.9
407;Men;70 to 80 years;2007;283;69;10;29;4;1;0;16;3;6;169;5;4;3;0;1;0;36;0;0;7;29;59.4;14.5;35.5;1.0;0.8;7.6
408;Men;70 to 80 years;2008;308;65;6;28;6;3;0;17;0;5;175;6;2;0;1;0;1;60;3;7;12;38;63.2;13.3;35.9;1.2;0.4;12.3
409;Men;70 to 80 years;2009;295;61;5;32;4;2;1;17;0;0;169;6;3;2;0;0;1;56;3;3;15;35;58.9;12.2;33.8;1.2;0.6;11.2
410;Men;70 to 80 years;2010;327;56;5;24;2;0;1;15;1;8;200;7;3;1;1;0;1;61;6;1;9;45;63.6;10.9;38.9;1.4;0.6;11.9
411;Men;70 to 80 years;2011;317;59;6;29;5;4;0;11;1;3;191;11;3;2;0;0;1;53;2;4;3;44;60.0;11.2;36.2;2.1;0.6;10.0
412;Men;70 to 80 years;2012;337;64;6;32;7;3;2;12;0;2;212;9;7;3;1;0;3;45;5;1;4;35;62.2;11.8;39.1;1.7;1.3;8.3
413;Men;70 to 80 years;2013;330;69;5;37;3;9;0;9;1;5;197;5;6;3;1;0;2;53;2;7;2;42;59.0;12.3;35.2;0.9;1.1;9.5
414;Men;70 to 80 years;2014;377;66;4;33;3;7;2;15;0;2;252;4;3;2;1;0;0;52;4;3;4;41;64.8;11.3;43.3;0.7;0.5;8.9
415;Men;70 to 80 years;2015;414;62;2;28;3;10;0;14;0;5;269;9;8;3;2;1;2;66;2;3;3;58;68.8;10.3;44.7;1.5;1.3;11.0
416;Men;70 to 80 years;2016;448;66;3;30;5;3;0;17;0;8;319;13;5;1;2;1;1;45;3;2;3;37;70.7;10.4;50.3;2.1;0.8;7.1
417;Men;70 to 80 years;2017;450;78;7;36;5;5;2;11;1;11;302;6;6;3;2;0;1;58;1;3;6;48;66.4;11.5;44.6;0.9;0.9;8.6
418;Men;80 years or older;1996;388;59;7;25;8;0;0;17;0;2;306;2;2;0;0;0;2;19;2;8;3;6;266.1;40.5;209.8;1.4;1.4;13.0
419;Men;80 years or older;1997;403;63;12;28;7;1;0;13;0;2;309;4;2;0;0;0;2;25;2;9;3;11;273.1;42.7;209.4;2.7;1.4;16.9
420;Men;80 years or older;1998;352;44;11;16;2;0;2;10;0;3;291;1;1;1;0;0;0;15;1;8;4;2;236.2;29.5;195.3;0.7;0.7;10.1
421;Men;80 years or older;1999;400;61;12;23;6;1;1;18;0;0;320;2;1;0;0;0;1;16;1;8;1;6;265.9;40.6;212.8;1.3;0.7;10.6
422;Men;80 years or older;2000;421;53;11;23;5;2;0;10;0;2;343;5;3;1;0;0;2;17;0;10;3;4;272.1;34.3;221.7;3.2;1.9;11.0
423;Men;80 years or older;2001;489;58;16;23;4;3;0;11;1;0;408;3;2;1;1;0;0;18;1;6;1;10;303.5;36.0;253.2;1.9;1.2;11.2
424;Men;80 years or older;2002;475;76;14;21;12;5;0;23;0;1;378;6;1;0;0;0;1;14;2;3;3;6;284.5;45.5;226.4;3.6;0.6;8.4
425;Men;80 years or older;2003;494;70;7;28;8;5;0;18;1;3;387;2;4;3;0;0;1;31;2;8;11;10;285.8;40.5;223.9;1.2;2.3;17.9
426;Men;80 years or older;2004;531;70;9;24;4;10;0;22;0;1;406;3;3;1;0;0;2;49;1;6;12;30;296.6;39.1;226.8;1.7;1.7;27.4
427;Men;80 years or older;2005;592;57;10;20;6;3;0;14;0;4;457;4;3;1;0;0;2;71;1;4;9;57;319.8;30.8;246.9;2.2;1.6;38.4
428;Men;80 years or older;2006;634;65;8;26;4;8;0;16;0;3;483;5;1;0;0;0;1;80;3;5;10;62;331.2;34.0;252.3;2.6;0.5;41.8
429;Men;80 years or older;2007;644;68;5;35;8;5;0;11;2;2;470;8;1;1;0;0;0;97;0;3;13;81;324.7;34.3;237.0;4.0;0.5;48.9
430;Men;80 years or older;2008;654;52;2;22;5;10;0;9;1;3;495;3;2;1;0;0;1;102;3;4;13;82;317.8;25.3;240.5;1.5;1.0;49.6
431;Men;80 years or older;2009;730;71;4;25;11;6;0;22;1;2;535;4;6;5;0;0;1;114;1;4;13;96;341.1;33.2;250.0;1.9;2.8;53.3
432;Men;80 years or older;2010;790;67;8;31;3;8;0;16;0;1;594;6;4;2;0;0;2;119;1;3;13;102;353.8;30.0;266.0;2.7;1.8;53.3
433;Men;80 years or older;2011;816;81;9;45;3;9;0;14;0;1;619;4;4;1;0;0;3;108;0;5;6;97;349.8;34.7;265.4;1.7;1.7;46.3
434;Men;80 years or older;2012;903;71;4;38;4;11;0;12;0;2;701;5;5;3;1;0;1;121;1;3;3;114;371.8;29.2;288.6;2.1;2.1;49.8
435;Men;80 years or older;2013;1000;71;7;29;5;16;0;12;0;2;812;6;3;2;0;0;1;108;5;4;2;97;397.2;28.2;322.5;2.4;1.2;42.9
436;Men;80 years or older;2014;1077;74;9;29;4;14;0;11;1;6;819;5;6;4;0;0;2;173;0;6;13;154;412.3;28.3;313.5;1.9;2.3;66.2
437;Men;80 years or older;2015;1213;98;6;39;4;20;0;19;0;10;930;11;11;6;0;0;5;163;7;6;3;147;447.6;36.2;343.1;4.1;4.1;60.1
438;Men;80 years or older;2016;1372;109;7;46;4;21;0;21;1;9;1071;3;9;7;0;0;2;180;3;9;6;162;488.9;38.8;381.7;1.1;3.2;64.1
439;Men;80 years or older;2017;1399;91;5;44;8;14;0;10;0;10;1120;8;8;3;1;0;4;172;3;6;4;159;481.5;31.3;385.5;2.8;2.8;59.2
440;Women;Total all ages;1996;1523;363;62;85;19;0;8;161;3;25;1017;19;36;8;12;3;13;88;12;36;13;27;19.4;4.6;13.0;0.2;0.5;1.1
441;Women;Total all ages;1997;1440;350;56;97;16;5;12;152;2;10;970;15;23;4;10;2;7;82;11;27;16;28;18.2;4.4;12.3;0.2;0.3;1.0
442;Women;Total all ages;1998;1387;309;52;71;15;1;6;154;0;10;964;10;18;8;5;2;3;86;2;39;14;31;17.5;3.9;12.1;0.1;0.2;1.1
443;Women;Total all ages;1999;1553;305;36;65;21;7;7;150;3;16;1138;18;19;5;9;1;4;73;6;28;17;22;19.4;3.8;14.2;0.2;0.2;0.9
444;Women;Total all ages;2000;1495;291;26;83;18;3;6;138;6;11;1040;34;32;9;12;2;9;98;14;29;23;32;18.6;3.6;12.9;0.4;0.4;1.2
445;Women;Total all ages;2001;1732;261;38;70;8;3;5;122;5;10;1316;17;37;11;18;2;6;101;9;32;20;40;21.4;3.2;16.2;0.2;0.5;1.2
446;Women;Total all ages;2002;1574;269;45;61;18;0;7;126;5;7;1156;27;37;14;8;5;10;85;8;20;13;44;19.3;3.3;14.2;0.3;0.5;1.0
447;Women;Total all ages;2003;1689;281;39;79;18;2;5;114;13;11;1226;23;44;23;13;4;4;115;10;22;23;60;20.6;3.4;15.0;0.3;0.5;1.4
448;Women;Total all ages;2004;1587;251;24;69;10;8;8;118;5;9;1107;25;44;18;11;7;8;160;4;16;40;100;19.3;3.1;13.5;0.3;0.5;1.9
449;Women;Total all ages;2005;1664;214;32;72;8;2;3;88;2;7;1155;17;46;21;14;2;9;232;7;36;34;155;20.2;2.6;14.0;0.2;0.6;2.8
450;Women;Total all ages;2006;1753;232;27;86;7;7;5;89;4;7;1189;21;42;21;14;2;5;269;5;28;37;199;21.2;2.8;14.4;0.3;0.5;3.3
451;Women;Total all ages;2007;1771;224;35;70;10;4;3;85;6;11;1184;15;37;14;16;4;3;311;6;17;36;252;21.4;2.7;14.3;0.2;0.4;3.8
452;Women;Total all ages;2008;1868;189;30;64;6;6;3;77;1;2;1255;21;45;23;14;5;3;358;5;23;48;282;22.5;2.3;15.1;0.3;0.5;4.3
453;Women;Total all ages;2009;1891;198;33;54;15;3;5;78;2;8;1299;22;44;16;15;7;6;328;8;13;39;268;22.6;2.4;15.6;0.3;0.5;3.9
454;Women;Total all ages;2010;1928;202;31;49;10;5;6;54;3;44;1328;15;40;16;17;3;4;343;5;19;44;275;23.0;2.4;15.8;0.2;0.5;4.1
455;Women;Total all ages;2011;2002;200;29;57;10;12;1;73;1;17;1431;12;37;13;14;3;7;322;6;9;30;277;23.7;2.4;17.0;0.1;0.4;3.8
456;Women;Total all ages;2012;2275;186;24;68;8;4;3;68;1;10;1688;17;39;12;17;1;9;345;6;14;19;306;26.9;2.2;20.0;0.2;0.5;4.1
457;Women;Total all ages;2013;2236;154;20;66;15;7;0;40;0;6;1676;25;51;18;26;3;4;330;5;12;16;297;26.4;1.8;19.8;0.3;0.6;3.9
458;Women;Total all ages;2014;2370;165;15;60;10;6;2;61;1;10;1768;23;48;32;9;4;3;366;8;16;19;323;27.8;1.9;20.8;0.3;0.6;4.3
459;Women;Total all ages;2015;2701;155;17;64;8;5;1;52;0;8;2068;19;46;21;20;2;3;413;11;21;21;360;31.6;1.8;24.2;0.2;0.5;4.8
460;Women;Total all ages;2016;2945;182;24;65;8;8;1;62;2;12;2266;21;44;23;16;1;4;432;12;15;20;385;34.3;2.1;26.4;0.2;0.5;5.0
461;Women;Total all ages;2017;3117;164;27;59;5;6;1;58;2;6;2409;18;44;13;24;3;4;482;8;15;15;444;36.1;1.9;27.9;0.2;0.5;5.6
462;Women;younger than 15 years;1996;53;30;4;14;2;0;0;6;0;4;2;13;1;1;0;0;0;7;1;4;2;0;3.8;2.2;0.1;0.9;0.1;0.5
463;Women;younger than 15 years;1997;57;33;9;14;0;0;0;9;0;1;2;9;1;1;0;0;0;12;5;4;2;1;4.1;2.4;0.1;0.6;0.1;0.9
464;Women;younger than 15 years;1998;36;18;5;8;0;0;0;5;0;0;4;5;0;0;0;0;0;9;0;2;5;2;2.5;1.3;0.3;0.4;0.0;0.6
465;Women;younger than 15 years;1999;49;29;3;12;0;0;1;10;1;2;2;10;1;1;0;0;0;7;1;1;3;2;3.4;2.0;0.1;0.7;0.1;0.5
466;Women;younger than 15 years;2000;45;21;2;13;0;0;0;4;1;1;2;12;0;0;0;0;0;10;2;5;3;0;3.1;1.5;0.1;0.8;0.0;0.7
467;Women;younger than 15 years;2001;36;15;2;5;0;0;0;6;0;2;1;6;2;0;0;0;2;12;2;1;6;3;2.5;1.0;0.1;0.4;0.1;0.8
468;Women;younger than 15 years;2002;34;13;6;6;0;0;0;1;0;0;1;11;2;1;1;0;0;7;0;2;2;3;2.3;0.9;0.1;0.8;0.1;0.5
469;Women;younger than 15 years;2003;41;24;3;11;0;0;0;6;1;3;0;2;1;0;0;0;1;14;3;2;7;2;2.8;1.6;0.0;0.1;0.1;1.0
470;Women;younger than 15 years;2004;45;23;1;15;0;0;1;3;0;3;4;10;1;0;0;0;1;7;2;1;2;2;3.1;1.6;0.3;0.7;0.1;0.5
471;Women;younger than 15 years;2005;34;16;4;8;0;0;0;3;0;1;2;6;1;0;0;0;1;9;1;2;5;1;2.3;1.1;0.1;0.4;0.1;0.6
472;Women;younger than 15 years;2006;36;22;3;7;0;0;0;9;0;3;3;3;1;0;0;0;1;7;0;1;3;3;2.5;1.5;0.2;0.2;0.1;0.5
473;Women;younger than 15 years;2007;29;19;2;10;0;0;0;5;0;2;0;2;0;0;0;0;0;8;3;4;1;0;2.0;1.3;0.0;0.1;0.0;0.6
