ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
5723;Total natural persons;Zuid-Nederland (LD);2008 January;
5724;Total natural persons;Zuid-Nederland (LD);2008 February;
5725;Total natural persons;Zuid-Nederland (LD);2008 March;
5726;Total natural persons;Zuid-Nederland (LD);2008 1st quarter;
5727;Total natural persons;Zuid-Nederland (LD);2008 April;
5728;Total natural persons;Zuid-Nederland (LD);2008 May;
5729;Total natural persons;Zuid-Nederland (LD);2008 June;
5730;Total natural persons;Zuid-Nederland (LD);2008 2nd quarter;
5731;Total natural persons;Zuid-Nederland (LD);2008 July;
5732;Total natural persons;Zuid-Nederland (LD);2008 August;
5733;Total natural persons;Zuid-Nederland (LD);2008 September;
5734;Total natural persons;Zuid-Nederland (LD);2008 3rd quarter;
5735;Total natural persons;Zuid-Nederland (LD);2008 October;
5736;Total natural persons;Zuid-Nederland (LD);2008 November;
5737;Total natural persons;Zuid-Nederland (LD);2008 December;
5738;Total natural persons;Zuid-Nederland (LD);2008 4th quarter;
5739;Total natural persons;Zuid-Nederland (LD);2008;
5740;Total natural persons;Zuid-Nederland (LD);2009 January;73.0
5741;Total natural persons;Zuid-Nederland (LD);2009 February;37.0
5742;Total natural persons;Zuid-Nederland (LD);2009 March;77.0
5743;Total natural persons;Zuid-Nederland (LD);2009 1st quarter;187.0
5744;Total natural persons;Zuid-Nederland (LD);2009 April;76.0
5745;Total natural persons;Zuid-Nederland (LD);2009 May;53.0
5746;Total natural persons;Zuid-Nederland (LD);2009 June;58.0
5747;Total natural persons;Zuid-Nederland (LD);2009 2nd quarter;187.0
5748;Total natural persons;Zuid-Nederland (LD);2009 July;68.0
5749;Total natural persons;Zuid-Nederland (LD);2009 August;65.0
5750;Total natural persons;Zuid-Nederland (LD);2009 September;63.0
5751;Total natural persons;Zuid-Nederland (LD);2009 3rd quarter;196.0
5752;Total natural persons;Zuid-Nederland (LD);2009 October;68.0
5753;Total natural persons;Zuid-Nederland (LD);2009 November;81.0
5754;Total natural persons;Zuid-Nederland (LD);2009 December;85.0
5755;Total natural persons;Zuid-Nederland (LD);2009 4th quarter;234.0
5756;Total natural persons;Zuid-Nederland (LD);2009;804.0
5757;Total natural persons;Zuid-Nederland (LD);2010 January;55.0
5758;Total natural persons;Zuid-Nederland (LD);2010 February;77.0
5759;Total natural persons;Zuid-Nederland (LD);2010 March;76.0
5760;Total natural persons;Zuid-Nederland (LD);2010 1st quarter;208.0
5761;Total natural persons;Zuid-Nederland (LD);2010 April;62.0
5762;Total natural persons;Zuid-Nederland (LD);2010 May;60.0
5763;Total natural persons;Zuid-Nederland (LD);2010 June;76.0
5764;Total natural persons;Zuid-Nederland (LD);2010 2nd quarter;198.0
5765;Total natural persons;Zuid-Nederland (LD);2010 July;58.0
5766;Total natural persons;Zuid-Nederland (LD);2010 August;90.0
5767;Total natural persons;Zuid-Nederland (LD);2010 September;59.0
5768;Total natural persons;Zuid-Nederland (LD);2010 3rd quarter;207.0
5769;Total natural persons;Zuid-Nederland (LD);2010 October;57.0
5770;Total natural persons;Zuid-Nederland (LD);2010 November;61.0
5771;Total natural persons;Zuid-Nederland (LD);2010 December;46.0
5772;Total natural persons;Zuid-Nederland (LD);2010 4th quarter;164.0
5773;Total natural persons;Zuid-Nederland (LD);2010;777.0
5774;Total natural persons;Zuid-Nederland (LD);2011 January;51.0
5775;Total natural persons;Zuid-Nederland (LD);2011 February;64.0
5776;Total natural persons;Zuid-Nederland (LD);2011 March;95.0
5777;Total natural persons;Zuid-Nederland (LD);2011 1st quarter;210.0
5778;Total natural persons;Zuid-Nederland (LD);2011 April;62.0
5779;Total natural persons;Zuid-Nederland (LD);2011 May;68.0
5780;Total natural persons;Zuid-Nederland (LD);2011 June;64.0
5781;Total natural persons;Zuid-Nederland (LD);2011 2nd quarter;194.0
5782;Total natural persons;Zuid-Nederland (LD);2011 July;61.0
5783;Total natural persons;Zuid-Nederland (LD);2011 August;68.0
5784;Total natural persons;Zuid-Nederland (LD);2011 September;48.0
5785;Total natural persons;Zuid-Nederland (LD);2011 3rd quarter;177.0
5786;Total natural persons;Zuid-Nederland (LD);2011 October;69.0
5787;Total natural persons;Zuid-Nederland (LD);2011 November;102.0
5788;Total natural persons;Zuid-Nederland (LD);2011 December;69.0
5789;Total natural persons;Zuid-Nederland (LD);2011 4th quarter;240.0
5790;Total natural persons;Zuid-Nederland (LD);2011;821.0
5791;Total natural persons;Zuid-Nederland (LD);2012 January;93.0
5792;Total natural persons;Zuid-Nederland (LD);2012 February;77.0
5793;Total natural persons;Zuid-Nederland (LD);2012 March;76.0
5794;Total natural persons;Zuid-Nederland (LD);2012 1st quarter;246.0
5795;Total natural persons;Zuid-Nederland (LD);2012 April;51.0
5796;Total natural persons;Zuid-Nederland (LD);2012 May;79.0
5797;Total natural persons;Zuid-Nederland (LD);2012 June;62.0
5798;Total natural persons;Zuid-Nederland (LD);2012 2nd quarter;192.0
5799;Total natural persons;Zuid-Nederland (LD);2012 July;69.0
5800;Total natural persons;Zuid-Nederland (LD);2012 August;62.0
5801;Total natural persons;Zuid-Nederland (LD);2012 September;64.0
5802;Total natural persons;Zuid-Nederland (LD);2012 3rd quarter;195.0
5803;Total natural persons;Zuid-Nederland (LD);2012 October;81.0
5804;Total natural persons;Zuid-Nederland (LD);2012 November;99.0
5805;Total natural persons;Zuid-Nederland (LD);2012 December;54.0
5806;Total natural persons;Zuid-Nederland (LD);2012 4th quarter;234.0
5807;Total natural persons;Zuid-Nederland (LD);2012;867.0
5808;Total natural persons;Zuid-Nederland (LD);2013 January;72.0
5809;Total natural persons;Zuid-Nederland (LD);2013 February;74.0
5810;Total natural persons;Zuid-Nederland (LD);2013 March;96.0
5811;Total natural persons;Zuid-Nederland (LD);2013 1st quarter;242.0
5812;Total natural persons;Zuid-Nederland (LD);2013 April;78.0
5813;Total natural persons;Zuid-Nederland (LD);2013 May;97.0
5814;Total natural persons;Zuid-Nederland (LD);2013 June;80.0
5815;Total natural persons;Zuid-Nederland (LD);2013 2nd quarter;255.0
5816;Total natural persons;Zuid-Nederland (LD);2013 July;88.0
5817;Total natural persons;Zuid-Nederland (LD);2013 August;54.0
5818;Total natural persons;Zuid-Nederland (LD);2013 September;66.0
5819;Total natural persons;Zuid-Nederland (LD);2013 3rd quarter;208.0
5820;Total natural persons;Zuid-Nederland (LD);2013 October;82.0
5821;Total natural persons;Zuid-Nederland (LD);2013 November;69.0
5822;Total natural persons;Zuid-Nederland (LD);2013 December;86.0
5823;Total natural persons;Zuid-Nederland (LD);2013 4th quarter;237.0
5824;Total natural persons;Zuid-Nederland (LD);2013;942.0
5825;Total natural persons;Zuid-Nederland (LD);2014 January;83.0
5826;Total natural persons;Zuid-Nederland (LD);2014 February;76.0
5827;Total natural persons;Zuid-Nederland (LD);2014 March;48.0
5828;Total natural persons;Zuid-Nederland (LD);2014 1st quarter;207.0
5829;Total natural persons;Zuid-Nederland (LD);2014 April;76.0
5830;Total natural persons;Zuid-Nederland (LD);2014 May;53.0
5831;Total natural persons;Zuid-Nederland (LD);2014 June;31.0
5832;Total natural persons;Zuid-Nederland (LD);2014 2nd quarter;160.0
5833;Total natural persons;Zuid-Nederland (LD);2014 July;45.0
5834;Total natural persons;Zuid-Nederland (LD);2014 August;33.0
5835;Total natural persons;Zuid-Nederland (LD);2014 September;59.0
5836;Total natural persons;Zuid-Nederland (LD);2014 3rd quarter;137.0
5837;Total natural persons;Zuid-Nederland (LD);2014 October;58.0
5838;Total natural persons;Zuid-Nederland (LD);2014 November;58.0
5839;Total natural persons;Zuid-Nederland (LD);2014 December;55.0
5840;Total natural persons;Zuid-Nederland (LD);2014 4th quarter;171.0
5841;Total natural persons;Zuid-Nederland (LD);2014;675.0
5842;Total natural persons;Zuid-Nederland (LD);2015 January;37.0
5843;Total natural persons;Zuid-Nederland (LD);2015 February;39.0
5844;Total natural persons;Zuid-Nederland (LD);2015 March;48.0
5845;Total natural persons;Zuid-Nederland (LD);2015 1st quarter;124.0
5846;Total natural persons;Zuid-Nederland (LD);2015 April;35.0
5847;Total natural persons;Zuid-Nederland (LD);2015 May;27.0
5848;Total natural persons;Zuid-Nederland (LD);2015 June;24.0
5849;Total natural persons;Zuid-Nederland (LD);2015 2nd quarter;86.0
5850;Total natural persons;Zuid-Nederland (LD);2015 July;36.0
5851;Total natural persons;Zuid-Nederland (LD);2015 August;24.0
5852;Total natural persons;Zuid-Nederland (LD);2015 September;46.0
5853;Total natural persons;Zuid-Nederland (LD);2015 3rd quarter;106.0
5854;Total natural persons;Zuid-Nederland (LD);2015 October;35.0
5855;Total natural persons;Zuid-Nederland (LD);2015 November;34.0
5856;Total natural persons;Zuid-Nederland (LD);2015 December;45.0
5857;Total natural persons;Zuid-Nederland (LD);2015 4th quarter;114.0
5858;Total natural persons;Zuid-Nederland (LD);2015;430.0
5859;Total natural persons;Zuid-Nederland (LD);2016 January;33.0
5860;Total natural persons;Zuid-Nederland (LD);2016 February;19.0
5861;Total natural persons;Zuid-Nederland (LD);2016 March;40.0
5862;Total natural persons;Zuid-Nederland (LD);2016 1st quarter;92.0
5863;Total natural persons;Zuid-Nederland (LD);2016 April;37.0
5864;Total natural persons;Zuid-Nederland (LD);2016 May;34.0
5865;Total natural persons;Zuid-Nederland (LD);2016 June;30.0
5866;Total natural persons;Zuid-Nederland (LD);2016 2nd quarter;101.0
5867;Total natural persons;Zuid-Nederland (LD);2016 July;24.0
5868;Total natural persons;Zuid-Nederland (LD);2016 August;31.0
5869;Total natural persons;Zuid-Nederland (LD);2016 September;27.0
5870;Total natural persons;Zuid-Nederland (LD);2016 3rd quarter;82.0
5871;Total natural persons;Zuid-Nederland (LD);2016 October;28.0
5872;Total natural persons;Zuid-Nederland (LD);2016 November;17.0
5873;Total natural persons;Zuid-Nederland (LD);2016 December;23.0
5874;Total natural persons;Zuid-Nederland (LD);2016 4th quarter;68.0
5875;Total natural persons;Zuid-Nederland (LD);2016;343.0
5876;Total natural persons;Zuid-Nederland (LD);2017 January;30.0
5877;Total natural persons;Zuid-Nederland (LD);2017 February;26.0
5878;Total natural persons;Zuid-Nederland (LD);2017 March;31.0
5879;Total natural persons;Zuid-Nederland (LD);2017 1st quarter;87.0
5880;Total natural persons;Zuid-Nederland (LD);2017 April;30.0
5881;Total natural persons;Zuid-Nederland (LD);2017 May;26.0
5882;Total natural persons;Zuid-Nederland (LD);2017 June;22.0
5883;Total natural persons;Zuid-Nederland (LD);2017 2nd quarter;78.0
5884;Total natural persons;Zuid-Nederland (LD);2017 July;20.0
5885;Total natural persons;Zuid-Nederland (LD);2017 August;35.0
5886;Total natural persons;Zuid-Nederland (LD);2017 September;24.0
5887;Total natural persons;Zuid-Nederland (LD);2017 3rd quarter;79.0
5888;Total natural persons;Zuid-Nederland (LD);2017 October;32.0
5889;Total natural persons;Zuid-Nederland (LD);2017 November;23.0
5890;Total natural persons;Zuid-Nederland (LD);2017 December;13.0
5891;Total natural persons;Zuid-Nederland (LD);2017 4th quarter;68.0
5892;Total natural persons;Zuid-Nederland (LD);2017;312.0
5893;Total natural persons;Zuid-Nederland (LD);2018 January;18.0
5894;Total natural persons;Zuid-Nederland (LD);2018 February;15.0
5895;Total natural persons;Zuid-Nederland (LD);2018 March;26.0
5896;Total natural persons;Zuid-Nederland (LD);2018 1st quarter;59.0
5897;Total natural persons;Zuid-Nederland (LD);2018 April;18.0
5898;Total natural persons;Zuid-Nederland (LD);2018 May;25.0
5899;Total natural persons;Zuid-Nederland (LD);2018 June;15.0
5900;Total natural persons;Zuid-Nederland (LD);2018 2nd quarter;58.0
5901;Total natural persons;Zuid-Nederland (LD);2018 July;15.0
5902;Total natural persons;Zuid-Nederland (LD);2018 August;15.0
5903;Total natural persons;Zuid-Nederland (LD);2018 September;14.0
5904;Total natural persons;Zuid-Nederland (LD);2018 3rd quarter;44.0
5905;Total natural persons;Zuid-Nederland (LD);2018 October;19.0
5906;Total natural persons;Zuid-Nederland (LD);2018 November;19.0
5907;Total natural persons;Zuid-Nederland (LD);2018 December;10.0
5908;Total natural persons;Zuid-Nederland (LD);2018 4th quarter;48.0
5909;Total natural persons;Zuid-Nederland (LD);2018;209.0
5910;Total natural persons;Zuid-Nederland (LD);2019 January;29.0
5911;Total natural persons;Zuid-Nederland (LD);2019 February;20.0
5912;Total natural persons;Zuid-Nederland (LD);2019 March;23.0
5913;Total natural persons;Zuid-Nederland (LD);2019 1st quarter;72.0
5914;Total natural persons;Zuid-Nederland (LD);2019 April;25.0
5915;Total natural persons;Zuid-Nederland (LD);2019 May;11.0
5916;Total natural persons;Zuid-Nederland (LD);2019 June;16.0
5917;Total natural persons;Zuid-Nederland (LD);2019 2nd quarter;52.0
5918;Total natural persons;Zuid-Nederland (LD);2019 July;13.0
5919;Total natural persons;Zuid-Nederland (LD);2019 August;20.0
5920;Total natural persons;Zuid-Nederland (LD);2019 September;20.0
5921;Total natural persons;Zuid-Nederland (LD);2019 3rd quarter;53.0
5922;Total natural persons;Zuid-Nederland (LD);2019 October;25.0
5923;Total natural persons;Zuid-Nederland (LD);2019 November;29.0
5924;Total natural persons;Zuid-Nederland (LD);2019 December;18.0
5925;Total natural persons;Zuid-Nederland (LD);2019 4th quarter;72.0
5926;Total natural persons;Zuid-Nederland (LD);2019;249.0
5927;Total natural persons;Zuid-Nederland (LD);2020 January;29.0
5928;Total natural persons;Zuid-Nederland (LD);2020 February;14.0
5929;Total natural persons;Zuid-Nederland (LD);2020 March;14.0
5930;Total natural persons;Zuid-Nederland (LD);2020 1st quarter;57.0
5931;Total natural persons;Zuid-Nederland (LD);2020 April;11.0
5932;Total natural persons;Zuid-Nederland (LD);2020 May;19.0
5933;Total natural persons;Zuid-Nederland (LD);2020 June;12.0
5934;Total natural persons;Zuid-Nederland (LD);2020 2nd quarter;42.0
5935;Total natural persons;Zuid-Nederland (LD);2020 July;9.0
5936;Total natural persons;Zuid-Nederland (LD);2020 August;10.0
5937;Total natural persons;Zuid-Nederland (LD);2020 September;26.0
5938;Total natural persons;Zuid-Nederland (LD);2020 3rd quarter;45.0
5939;Total natural persons;Zuid-Nederland (LD);2020 October;15.0
5940;Total natural persons;Zuid-Nederland (LD);2020 November;9.0
5941;Total natural persons;Zuid-Nederland (LD);2020 December;22.0
5942;Total natural persons;Zuid-Nederland (LD);2020 4th quarter;46.0
5943;Total natural persons;Zuid-Nederland (LD);2020;190.0
5944;Total natural persons;Zuid-Nederland (LD);2021 January;14.0
5945;Total natural persons;Zuid-Nederland (LD);2021 February;10.0
5946;Total natural persons;Zuid-Nederland (LD);2021 March;6.0
5947;Total natural persons;Zuid-Nederland (LD);2021 1st quarter;30.0
5948;Total natural persons;Zuid-Nederland (LD);2021 April;16.0
5949;Total natural persons;Zuid-Nederland (LD);2021 May;11.0
5950;Total natural persons;Zuid-Nederland (LD);2021 June;9.0
5951;Total natural persons;Zuid-Nederland (LD);2021 2nd quarter;36.0
5952;Total natural persons;Zuid-Nederland (LD);2021 July;10.0
5953;Total natural persons;Zuid-Nederland (LD);2021 August;11.0
5954;Total natural persons;Zuid-Nederland (LD);2021 September;7.0
5955;Total natural persons;Zuid-Nederland (LD);2021 3rd quarter;28.0
5956;Total natural persons;Zuid-Nederland (LD);2021 October;17.0
5957;Total natural persons;Zuid-Nederland (LD);2021 November;6.0
5958;Total natural persons;Zuid-Nederland (LD);2021 December;7.0
5959;Total natural persons;Zuid-Nederland (LD);2021 4th quarter;30.0
5960;Total natural persons;Zuid-Nederland (LD);2021;124.0
5961;Total natural persons;Zuid-Nederland (LD);2022 January;7.0
5962;Total natural persons;Zuid-Nederland (LD);2022 February;12.0
5963;Total natural persons;Zuid-Nederland (LD);2022 March;11.0
5964;Total natural persons;Zuid-Nederland (LD);2022 1st quarter;30.0
5965;Total natural persons;Zuid-Nederland (LD);2022 April;11.0
5966;Total natural persons;Zuid-Nederland (LD);2022 May;12.0
5967;Total natural persons;Zuid-Nederland (LD);2022 June;8.0
5968;Total natural persons;Zuid-Nederland (LD);2022 2nd quarter;31.0
5969;Total natural persons;Zuid-Nederland (LD);2022 July;10.0
5970;Total natural persons;Zuid-Nederland (LD);2022 August;9.0
5971;Total natural persons;Zuid-Nederland (LD);2022 September;6.0
5972;Total natural persons;Zuid-Nederland (LD);2022 3rd quarter;25.0
5973;Total natural persons;Zuid-Nederland (LD);2022 October;14.0
5974;Total natural persons;Zuid-Nederland (LD);2022 November;16.0
5975;Total natural persons;Zuid-Nederland (LD);2022 December;14.0
5976;Total natural persons;Zuid-Nederland (LD);2022 4th quarter;44.0
5977;Total natural persons;Zuid-Nederland (LD);2022;130.0
5978;Total natural persons;Zuid-Nederland (LD);2023 January;16.0
5979;Total natural persons;Zuid-Nederland (LD);2023 February;12.0
5980;Total natural persons;Zuid-Nederland (LD);2023 March;7.0
5981;Total natural persons;Zuid-Nederland (LD);2023 1st quarter;35.0
5982;Total natural persons;Zuid-Nederland (LD);2023 April;11.0
5983;Total natural persons;Zuid-Nederland (LD);2023 May;15.0
5984;Total natural persons;Zuid-Nederland (LD);2023 June;9.0
5985;Total natural persons;Zuid-Nederland (LD);2023 2nd quarter;35.0
5986;Total natural persons;Zuid-Nederland (LD);2023 July;18.0
5987;Total natural persons;Zuid-Nederland (LD);2023 August;15.0
5988;Total natural persons;Zuid-Nederland (LD);2023 September;22.0
5989;Total natural persons;Zuid-Nederland (LD);2023 3rd quarter;55.0
5990;Total natural persons;Zuid-Nederland (LD);2023 October;15.0
5991;Total natural persons;Zuid-Nederland (LD);2023 November;8.0
5992;Total natural persons;Zuid-Nederland (LD);2023 December;17.0
5993;Total natural persons;Zuid-Nederland (LD);2023 4th quarter;40.0
5994;Total natural persons;Zuid-Nederland (LD);2023;165.0
5995;Total natural persons;Zuid-Nederland (LD);2024 January;27.0
5996;Total natural persons;Zuid-Nederland (LD);2024 February;13.0
5997;Total natural persons;Zuid-Nederland (LD);2024 March;16.0
5998;Total natural persons;Zuid-Nederland (LD);2024 1st quarter;56.0
5999;Total natural persons;Zuid-Nederland (LD);2024 April;9.0
6000;Total natural persons;Zuid-Nederland (LD);2024 May;17.0
6001;Total natural persons;Zuid-Nederland (LD);2024 June;6.0
6002;Total natural persons;Zuid-Nederland (LD);2024 2nd quarter;32.0
6003;Total natural persons;Zuid-Nederland (LD);2024 July;27.0
6004;Total natural persons;Zuid-Nederland (LD);2024 August;14.0
6005;Total natural persons;Zuid-Nederland (LD);2024 September;23.0
6006;Total natural persons;Zuid-Nederland (LD);2024 3rd quarter;64.0
6007;Total natural persons;Zuid-Nederland (LD);2024 October;20.0
6008;Total natural persons;Zuid-Nederland (LD);2024 November;16.0
6009;Total natural persons;Zuid-Nederland (LD);2024 December;15.0
6010;Total natural persons;Zuid-Nederland (LD);2024 4th quarter;51.0
6011;Total natural persons;Zuid-Nederland (LD);2024;203.0
6012;Total natural persons;Zuid-Nederland (LD);2025 January;18.0
6013;Total natural persons;Zuid-Nederland (LD);2025 February;20.0
6014;Total natural persons;Zuid-Nederland (LD);2025 March;11.0
6015;Total natural persons;Zuid-Nederland (LD);2025 1st quarter;49.0
6016;Total natural persons;Groningen (PV);1981 January;
6017;Total natural persons;Groningen (PV);1981 February;
6018;Total natural persons;Groningen (PV);1981 March;
6019;Total natural persons;Groningen (PV);1981 1st quarter;
6020;Total natural persons;Groningen (PV);1981 April;
6021;Total natural persons;Groningen (PV);1981 May;
6022;Total natural persons;Groningen (PV);1981 June;
6023;Total natural persons;Groningen (PV);1981 2nd quarter;
6024;Total natural persons;Groningen (PV);1981 July;
6025;Total natural persons;Groningen (PV);1981 August;
6026;Total natural persons;Groningen (PV);1981 September;
6027;Total natural persons;Groningen (PV);1981 3rd quarter;
6028;Total natural persons;Groningen (PV);1981 October;
6029;Total natural persons;Groningen (PV);1981 November;
6030;Total natural persons;Groningen (PV);1981 December;
6031;Total natural persons;Groningen (PV);1981 4th quarter;
6032;Total natural persons;Groningen (PV);1981;
6033;Total natural persons;Groningen (PV);1982 January;
6034;Total natural persons;Groningen (PV);1982 February;
6035;Total natural persons;Groningen (PV);1982 March;
6036;Total natural persons;Groningen (PV);1982 1st quarter;
6037;Total natural persons;Groningen (PV);1982 April;
6038;Total natural persons;Groningen (PV);1982 May;
6039;Total natural persons;Groningen (PV);1982 June;
6040;Total natural persons;Groningen (PV);1982 2nd quarter;
6041;Total natural persons;Groningen (PV);1982 July;
6042;Total natural persons;Groningen (PV);1982 August;
6043;Total natural persons;Groningen (PV);1982 September;
6044;Total natural persons;Groningen (PV);1982 3rd quarter;
6045;Total natural persons;Groningen (PV);1982 October;
6046;Total natural persons;Groningen (PV);1982 November;
6047;Total natural persons;Groningen (PV);1982 December;
6048;Total natural persons;Groningen (PV);1982 4th quarter;
6049;Total natural persons;Groningen (PV);1982;
6050;Total natural persons;Groningen (PV);1983 January;
6051;Total natural persons;Groningen (PV);1983 February;
6052;Total natural persons;Groningen (PV);1983 March;
6053;Total natural persons;Groningen (PV);1983 1st quarter;
6054;Total natural persons;Groningen (PV);1983 April;
6055;Total natural persons;Groningen (PV);1983 May;
6056;Total natural persons;Groningen (PV);1983 June;
6057;Total natural persons;Groningen (PV);1983 2nd quarter;
6058;Total natural persons;Groningen (PV);1983 July;
6059;Total natural persons;Groningen (PV);1983 August;
6060;Total natural persons;Groningen (PV);1983 September;
6061;Total natural persons;Groningen (PV);1983 3rd quarter;
6062;Total natural persons;Groningen (PV);1983 October;
6063;Total natural persons;Groningen (PV);1983 November;
6064;Total natural persons;Groningen (PV);1983 December;
6065;Total natural persons;Groningen (PV);1983 4th quarter;
6066;Total natural persons;Groningen (PV);1983;
6067;Total natural persons;Groningen (PV);1984 January;
6068;Total natural persons;Groningen (PV);1984 February;
6069;Total natural persons;Groningen (PV);1984 March;
6070;Total natural persons;Groningen (PV);1984 1st quarter;
6071;Total natural persons;Groningen (PV);1984 April;
6072;Total natural persons;Groningen (PV);1984 May;
6073;Total natural persons;Groningen (PV);1984 June;
6074;Total natural persons;Groningen (PV);1984 2nd quarter;
6075;Total natural persons;Groningen (PV);1984 July;
6076;Total natural persons;Groningen (PV);1984 August;
6077;Total natural persons;Groningen (PV);1984 September;
6078;Total natural persons;Groningen (PV);1984 3rd quarter;
6079;Total natural persons;Groningen (PV);1984 October;
6080;Total natural persons;Groningen (PV);1984 November;
6081;Total natural persons;Groningen (PV);1984 December;
6082;Total natural persons;Groningen (PV);1984 4th quarter;
6083;Total natural persons;Groningen (PV);1984;
6084;Total natural persons;Groningen (PV);1985 January;
6085;Total natural persons;Groningen (PV);1985 February;
6086;Total natural persons;Groningen (PV);1985 March;
6087;Total natural persons;Groningen (PV);1985 1st quarter;
6088;Total natural persons;Groningen (PV);1985 April;
6089;Total natural persons;Groningen (PV);1985 May;
6090;Total natural persons;Groningen (PV);1985 June;
6091;Total natural persons;Groningen (PV);1985 2nd quarter;
6092;Total natural persons;Groningen (PV);1985 july;
6093;Total natural persons;Groningen (PV);1985 August;
6094;Total natural persons;Groningen (PV);1985 September;
6095;Total natural persons;Groningen (PV);1985 3rd quarter;
6096;Total natural persons;Groningen (PV);1985 October;
6097;Total natural persons;Groningen (PV);1985 November;
6098;Total natural persons;Groningen (PV);1985 December;
6099;Total natural persons;Groningen (PV);1985 4th quarter;
6100;Total natural persons;Groningen (PV);1985;
6101;Total natural persons;Groningen (PV);1986 January;
6102;Total natural persons;Groningen (PV);1986 February;
6103;Total natural persons;Groningen (PV);1986 March;
6104;Total natural persons;Groningen (PV);1986 1st quarter;
6105;Total natural persons;Groningen (PV);1986 April;
6106;Total natural persons;Groningen (PV);1986 May;
6107;Total natural persons;Groningen (PV);1986 June;
6108;Total natural persons;Groningen (PV);1986 2nd quarter;
6109;Total natural persons;Groningen (PV);1986 July;
6110;Total natural persons;Groningen (PV);1986 August;
6111;Total natural persons;Groningen (PV);1986 September;
6112;Total natural persons;Groningen (PV);1986 3rd quarter;
6113;Total natural persons;Groningen (PV);1986 October;
6114;Total natural persons;Groningen (PV);1986 November;
6115;Total natural persons;Groningen (PV);1986 December;
6116;Total natural persons;Groningen (PV);1986 4th quarter;
6117;Total natural persons;Groningen (PV);1986;
6118;Total natural persons;Groningen (PV);1987 January;
6119;Total natural persons;Groningen (PV);1987 February;
6120;Total natural persons;Groningen (PV);1987 March;
6121;Total natural persons;Groningen (PV);1987 1st quarter;
6122;Total natural persons;Groningen (PV);1987 April;
6123;Total natural persons;Groningen (PV);1987 May;
6124;Total natural persons;Groningen (PV);1987 June;
6125;Total natural persons;Groningen (PV);1987 2nd quarter;
6126;Total natural persons;Groningen (PV);1987 July;
6127;Total natural persons;Groningen (PV);1987 August;
6128;Total natural persons;Groningen (PV);1987 September;
6129;Total natural persons;Groningen (PV);1987 3rd quarter;
6130;Total natural persons;Groningen (PV);1987 October;
6131;Total natural persons;Groningen (PV);1987 November;
6132;Total natural persons;Groningen (PV);1987 December;
6133;Total natural persons;Groningen (PV);1987 4th quarter;
6134;Total natural persons;Groningen (PV);1987;
6135;Total natural persons;Groningen (PV);1988 January;
6136;Total natural persons;Groningen (PV);1988 February;
6137;Total natural persons;Groningen (PV);1988 March;
6138;Total natural persons;Groningen (PV);1988 1st quarter;
6139;Total natural persons;Groningen (PV);1988 April;
6140;Total natural persons;Groningen (PV);1988 May;
6141;Total natural persons;Groningen (PV);1988 June;
6142;Total natural persons;Groningen (PV);1988 2nd quarter;
6143;Total natural persons;Groningen (PV);1988 July;
6144;Total natural persons;Groningen (PV);1988 August;
6145;Total natural persons;Groningen (PV);1988 September;
6146;Total natural persons;Groningen (PV);1988 3rd quarter;
6147;Total natural persons;Groningen (PV);1988 October;
6148;Total natural persons;Groningen (PV);1988 November;
6149;Total natural persons;Groningen (PV);1988 December;
6150;Total natural persons;Groningen (PV);1988 4th quarter;
6151;Total natural persons;Groningen (PV);1988;
6152;Total natural persons;Groningen (PV);1989 January;
6153;Total natural persons;Groningen (PV);1989 February;
6154;Total natural persons;Groningen (PV);1989 March;
6155;Total natural persons;Groningen (PV);1989 1st quarter;
6156;Total natural persons;Groningen (PV);1989 April;
6157;Total natural persons;Groningen (PV);1989 May;
6158;Total natural persons;Groningen (PV);1989 June;
6159;Total natural persons;Groningen (PV);1989 2nd quarter;
6160;Total natural persons;Groningen (PV);1989 July;
6161;Total natural persons;Groningen (PV);1989 August;
6162;Total natural persons;Groningen (PV);1989 September;
6163;Total natural persons;Groningen (PV);1989 3rd quarter;
6164;Total natural persons;Groningen (PV);1989 October;
6165;Total natural persons;Groningen (PV);1989 November;
6166;Total natural persons;Groningen (PV);1989 December;
6167;Total natural persons;Groningen (PV);1989 4th quarter;
6168;Total natural persons;Groningen (PV);1989;
6169;Total natural persons;Groningen (PV);1990 January;
6170;Total natural persons;Groningen (PV);1990 February;
6171;Total natural persons;Groningen (PV);1990 March;
6172;Total natural persons;Groningen (PV);1990 1st quarter;
6173;Total natural persons;Groningen (PV);1990 April;
6174;Total natural persons;Groningen (PV);1990 May;
6175;Total natural persons;Groningen (PV);1990 June;
6176;Total natural persons;Groningen (PV);1990 2nd quarter;
6177;Total natural persons;Groningen (PV);1990 July;
6178;Total natural persons;Groningen (PV);1990 August;
6179;Total natural persons;Groningen (PV);1990 September;
6180;Total natural persons;Groningen (PV);1990 3rd quarter;
6181;Total natural persons;Groningen (PV);1990 October;
6182;Total natural persons;Groningen (PV);1990 November;
6183;Total natural persons;Groningen (PV);1990 December;
6184;Total natural persons;Groningen (PV);1990 4th quarter;
6185;Total natural persons;Groningen (PV);1990;
6186;Total natural persons;Groningen (PV);1991 January;
6187;Total natural persons;Groningen (PV);1991 February;
6188;Total natural persons;Groningen (PV);1991 March;
6189;Total natural persons;Groningen (PV);1991 1st quarter;
