ID;WijkenEnBuurten1995;Regioaanduiding_1;Gemeentenaam_2;Gemeentecode_3;Wijkcode_4;Stedelijkheid_5;Buurtcode_6;OmgevingsadressendichtheidPerKm2_7;MeestVoorkomendeNumeriekePostcode_8;AdressenMetDezelfdePostcode_9;AantalInwoners_10;Mannen_11;Vrouwen_12;Leeftijd014Jaar_13;Leeftijd1524Jaar_14;Leeftijd2544Jaar_15;Leeftijd4564Jaar_16;Leeftijd65JaarEnOuder_17;AantalGezinnen_18;NietInGezinsverbandLevendePersonen_19;GezinnenMetKinderen_20;GemiddeldeGezinsgrootte_21;Bevolkingsdichtheid_22;Allochtonen_23;GemiddeldBesteedbaarInkomenPerInw_24;GemiddeldInkomenPerInkomensontvanger_25;InkomensontvangersMetLaagInkomen_26;InkomensontvangersMetHoogInkomen_27;NietActieveInkomensontvangers_28;TotaleOppervlakteInKm2_29;OppervlakteLandInKm2_30;Woningvoorraad_31;AantalVestigingenVanBedrijven_32;Nijverheid_33;TotaalCommercieleDienstverlening_34;Groothandel_35;Detailhandel_36;Horeca_37;OverigeDienstverlening_38;ZakelijkeDienstverlening_39;OverigeDienstverlening_40
5366;3110202;B;Breukelen                               ;311;02;5.0;02;226.0;3621.0;1.0;220;110;120;19.0;15.0;24.0;30.0;12.0;60.0;11.0;67.0;3.3;40;;8236.0;17221.0;30.0;44.0;;6.1;5.5;70;4;21.0;79.0;33.0;1.0;5.0;1.0;10.0;29.0
5367;3110203;B;Breukelen                               ;311;02;5.0;03;477.0;3621.0;1.0;330;170;160;19.0;16.0;29.0;24.0;11.0;80.0;13.0;74.0;3.3;60;;9824.0;16245.0;29.0;17.0;;5.5;5.2;120;3;;;;;;;;
5368;31103;W;Breukelen                               ;311;03;5.0;  ;233.0;;;3210;1610;1600;21.0;14.0;33.0;22.0;10.0;840.0;14.0;68.0;3.3;170;0.0;9053.0;15950.0;29.0;31.0;8.0;19.5;18.7;1120;5;27.0;54.0;8.0;13.0;2.0;20.0;13.0;18.0
5369;3110300;B;Breukelen                               ;311;03;5.0;00;283.0;3628.0;1.0;2380;1180;1200;22.0;14.0;33.0;22.0;10.0;610.0;15.0;68.0;3.3;2760;0.0;8985.0;15723.0;29.0;31.0;10.0;0.9;0.9;860;4;24.0;55.0;4.0;17.0;1.0;20.0;15.0;18.0
5370;3110302;B;Breukelen                               ;311;03;5.0;02;16.0;3628.0;1.0;160;80;80;23.0;17.0;22.0;30.0;8.0;40.0;7.0;;;50;;8191.0;17743.0;;40.0;;3.4;3.3;50;1;;;;;;;;
5371;3110304;B;Breukelen                               ;311;03;5.0;04;14.0;3628.0;1.0;120;70;60;19.0;;35.0;26.0;;30.0;16.0;;;40;;9189.0;17811.0;;;;3.2;3.2;40;1;;;;;;;;
5372;3110305;B;Breukelen                               ;311;03;5.0;05;99.0;3628.0;1.0;490;250;230;20.0;15.0;33.0;22.0;10.0;140.0;8.0;66.0;3.4;70;;9892.0;16381.0;29.0;33.0;;7.7;7.3;150;3;;;;;;;;
5373;3110309;B;Breukelen                               ;311;03;5.0;09;30.0;3628.0;1.0;60;30;30;;;45.0;21.0;;20.0;;;;10;;;;;;;4.4;4.1;20;2;;;;;;;;
5374;312;G;Bunnik                                  ;312;  ;4.0;  ;519.0;;;14120;7010;7110;19.0;12.0;30.0;26.0;12.0;3890.0;15.0;62.0;3.1;380;1.0;10097.0;16245.0;32.0;33.0;14.0;37.6;37.0;5270;7;15.0;61.0;10.0;15.0;3.0;24.0;14.0;20.0
5375;31200;W;Bunnik                                  ;312;00;4.0;  ;598.0;;;6880;3400;3470;15.0;13.0;25.0;31.0;15.0;1980.0;15.0;56.0;3.0;520;1.0;10777.0;16495.0;34.0;34.0;16.0;13.6;13.2;2690;6;14.0;61.0;11.0;14.0;3.0;24.0;14.0;20.0
5376;3120000;B;Bunnik                                  ;312;00;4.0;00;632.0;3981.0;1.0;6250;3060;3190;15.0;13.0;24.0;32.0;16.0;1820.0;14.0;55.0;2.9;1780;2.0;10913.0;16654.0;34.0;36.0;16.0;3.6;3.5;2490;6;13.0;61.0;10.0;14.0;3.0;26.0;13.0;21.0
5377;3120001;B;Bunnik                                  ;312;00;5.0;01;402.0;3981.0;1.0;160;80;70;10.0;22.0;26.0;29.0;13.0;40.0;28.0;;;270;;9824.0;14816.0;42.0;28.0;;0.6;0.6;70;3;;;;;;;;
5378;3120008;B;Bunnik                                  ;312;00;5.0;08;229.0;3981.0;1.0;270;150;120;17.0;14.0;26.0;30.0;14.0;70.0;21.0;65.0;3.2;120;;10074.0;14839.0;18.0;20.0;;2.5;2.3;80;1;;;;;;;;
5379;3120009;B;Bunnik                                  ;312;00;5.0;09;142.0;3981.0;1.0;200;110;90;18.0;17.0;34.0;23.0;8.0;60.0;13.0;66.0;3.3;30;;8213.0;14430.0;23.0;;;6.9;6.8;50;1;;;;;;;;
5380;31201;W;Bunnik                                  ;312;01;4.0;  ;553.0;;;5040;2520;2520;23.0;10.0;37.0;22.0;8.0;1380.0;14.0;67.0;3.1;720;1.0;9779.0;16586.0;28.0;34.0;12.0;7.0;6.9;1860;5;11.0;64.0;7.0;16.0;4.0;25.0;17.0;20.0
5381;3120100;B;Bunnik                                  ;312;01;4.0;00;568.0;3984.0;1.0;4790;2380;2400;23.0;9.0;37.0;22.0;8.0;1310.0;14.0;66.0;3.1;7720;1.0;9892.0;16790.0;27.0;35.0;12.0;0.6;0.6;1790;5;10.0;63.0;7.0;16.0;5.0;26.0;17.0;19.0
5382;3120109;B;Bunnik                                  ;312;01;5.0;09;212.0;3984.0;1.0;270;140;130;20.0;15.0;29.0;25.0;11.0;60.0;15.0;70.0;3.4;40;;8100.0;13523.0;37.0;18.0;;6.4;6.3;80;2;;;;;;;;
5383;31202;W;Bunnik                                  ;312;02;5.0;  ;172.0;;;2190;1090;1110;24.0;14.0;30.0;20.0;11.0;550.0;15.0;73.0;3.4;130;3.0;8554.0;14430.0;36.0;26.0;13.0;17.0;16.8;710;4;23.0;53.0;7.0;19.0;4.0;23.0;8.0;15.0
5384;3120200;B;Bunnik                                  ;312;02;5.0;00;194.0;3985.0;1.0;1680;820;870;23.0;14.0;31.0;20.0;11.0;420.0;16.0;73.0;3.4;4320;3.0;8508.0;14566.0;35.0;27.0;11.0;0.4;0.4;560;4;21.0;50.0;7.0;19.0;5.0;28.0;8.0;12.0
5385;3120209;B;Bunnik                                  ;312;02;5.0;09;88.0;3985.0;1.0;500;260;250;25.0;15.0;28.0;20.0;13.0;120.0;12.0;70.0;3.6;30;;8713.0;14090.0;39.0;25.0;18.0;16.6;16.4;140;2;;;;;;;;
5386;313;G;Bunschoten                              ;313;  ;4.0;  ;852.0;;;19130;9680;9460;25.0;17.0;30.0;20.0;8.0;;;;;610;2.0;7782.0;13999.0;37.0;24.0;13.0;35.6;31.3;6090;7;15.0;75.0;8.0;45.0;4.0;10.0;6.0;12.0
5387;31300;W;Bunschoten                              ;313;00;4.0;  ;871.0;;;19140;9680;9460;25.0;17.0;30.0;20.0;8.0;;;;;610;2.0;7782.0;13999.0;37.0;24.0;13.0;31.7;31.3;6090;7;15.0;75.0;8.0;45.0;4.0;10.0;6.0;12.0
5388;3130000;B;Bunschoten                              ;313;00;4.0;00;744.0;3751.0;3.0;2780;1430;1350;22.0;18.0;30.0;21.0;9.0;;;;;1830;3.0;8100.0;13636.0;38.0;18.0;14.0;1.5;1.5;950;5;22.0;65.0;15.0;27.0;1.0;12.0;7.0;15.0
5389;3130001;B;Bunschoten                              ;313;00;4.0;01;973.0;3751.0;5.0;3670;1840;1840;20.0;17.0;28.0;22.0;13.0;;;;;3810;1.0;8145.0;13318.0;37.0;18.0;18.0;1.0;1.0;1310;6;13.0;80.0;5.0;53.0;7.0;7.0;4.0;11.0
5390;3130002;B;Bunschoten                              ;313;00;5.0;02;51.0;3754.0;1.0;680;350;320;24.0;17.0;26.0;23.0;9.0;;;;;220;;8486.0;15088.0;40.0;29.0;;3.3;3.2;220;3;;;;;;;;
5391;3130003;B;Bunschoten                              ;313;00;4.0;03;946.0;3752.0;1.0;2860;1440;1430;19.0;20.0;20.0;29.0;12.0;;;;;5770;2.0;8168.0;13228.0;42.0;21.0;18.0;0.5;0.5;890;4;10.0;80.0;4.0;58.0;3.0;10.0;9.0;6.0
5392;3130004;B;Bunschoten                              ;313;00;3.0;04;1126.0;3752.0;1.0;3840;1940;1910;25.0;19.0;29.0;23.0;4.0;;;;;6570;2.0;7850.0;15043.0;34.0;31.0;11.0;0.6;0.6;1170;4;11.0;72.0;12.0;38.0;1.0;17.0;11.0;10.0
5393;3130005;B;Bunschoten                              ;313;00;4.0;05;801.0;3752.0;1.0;4800;2440;2370;35.0;13.0;39.0;10.0;2.0;;;;;8810;4.0;6875.0;14657.0;32.0;29.0;9.0;0.6;0.5;1420;4;14.0;71.0;3.0;51.0;1.0;15.0;7.0;9.0
5394;3130008;B;Bunschoten                              ;313;00;5.0;08;71.0;3751.0;2.0;220;120;100;14.0;19.0;22.0;32.0;12.0;;;;;30;;7624.0;13069.0;41.0;18.0;;8.8;8.8;70;2;;;;;;;;
5395;3130009;B;Bunschoten                              ;313;00;4.0;09;619.0;3751.0;2.0;280;130;150;18.0;17.0;27.0;24.0;14.0;;;;;20;;9030.0;13681.0;38.0;;;15.3;15.2;80;1;;;;;;;;
5396;314;G;Cothen                                  ;314;  ;5.0;  ;234.0;;;2610;1320;1290;20.0;15.0;33.0;25.0;7.0;710.0;13.0;68.0;3.2;220;;8803.0;15020.0;31.0;25.0;11.0;11.9;11.7;930;4;23.0;59.0;12.0;13.0;4.0;18.0;14.0;16.0
5397;31400;W;Cothen                                  ;314;00;5.0;  ;234.0;;;2610;1320;1290;20.0;15.0;33.0;25.0;7.0;710.0;13.0;68.0;3.2;220;;8803.0;15020.0;31.0;25.0;11.0;11.9;11.7;940;4;23.0;59.0;12.0;13.0;4.0;18.0;14.0;16.0
5398;3140000;B;Cothen                                  ;314;00;5.0;00;261.0;3945.0;1.0;2190;1100;1100;20.0;14.0;33.0;25.0;7.0;590.0;14.0;66.0;3.2;2460;;8713.0;14816.0;31.0;23.0;11.0;0.9;0.9;830;4;27.0;52.0;7.0;17.0;4.0;21.0;15.0;11.0
5399;3140009;B;Cothen                                  ;314;00;5.0;09;62.0;3945.0;1.0;420;220;190;20.0;19.0;30.0;24.0;8.0;110.0;9.0;75.0;3.5;40;;9257.0;16109.0;31.0;34.0;9.0;11.0;10.9;110;2;;;;;;;;
5400;315;G;Doorn                                   ;315;  ;5.0;  ;497.0;;;10320;4790;5530;15.0;13.0;26.0;25.0;20.0;2510.0;28.0;55.0;2.9;460;2.0;10641.0;15746.0;36.0;30.0;21.0;22.3;22.3;4200;6;11.0;65.0;7.0;17.0;5.0;24.0;17.0;19.0
5401;31500;W;Doorn                                   ;315;00;4.0;  ;508.0;;;10320;4790;5530;15.0;13.0;26.0;25.0;20.0;2520.0;28.0;55.0;2.9;470;2.0;10641.0;15746.0;36.0;30.0;21.0;22.3;22.3;4200;6;11.0;65.0;7.0;17.0;5.0;24.0;17.0;19.0
5402;3150000;B;Doorn                                   ;315;00;4.0;00;687.0;3941.0;1.0;3140;1460;1680;15.0;13.0;26.0;26.0;20.0;800.0;25.0;56.0;2.9;2830;1.0;10505.0;16200.0;35.0;32.0;14.0;1.1;1.1;1230;6;14.0;69.0;7.0;25.0;4.0;17.0;13.0;20.0
5403;3150001;B;Doorn                                   ;315;00;5.0;01;251.0;3941.0;1.0;890;340;550;8.0;8.0;13.0;16.0;54.0;180.0;46.0;42.0;2.7;680;;15519.0;18673.0;21.0;47.0;17.0;1.3;1.3;590;3;;;;;;;;
5404;3150002;B;Doorn                                   ;315;00;5.0;02;399.0;3941.0;1.0;1900;890;1020;13.0;11.0;19.0;29.0;27.0;530.0;22.0;46.0;2.8;970;1.0;12275.0;17675.0;36.0;36.0;16.0;2.0;2.0;770;4;7.0;67.0;11.0;6.0;2.0;26.0;23.0;26.0
5405;3150003;B;Doorn                                   ;315;00;4.0;03;557.0;3941.0;1.0;1340;620;730;14.0;15.0;28.0;25.0;18.0;330.0;30.0;54.0;2.9;980;2.0;9620.0;13772.0;37.0;21.0;23.0;1.4;1.4;590;4;6.0;61.0;6.0;11.0;7.0;33.0;21.0;17.0
5406;3150004;B;Doorn                                   ;315;00;4.0;04;553.0;3941.0;1.0;2180;1040;1130;20.0;13.0;31.0;28.0;8.0;560.0;18.0;66.0;3.2;5480;4.0;8985.0;14657.0;33.0;24.0;15.0;0.4;0.4;870;3;;;;;;;;
5407;3150007;B;Doorn                                   ;315;00;5.0;07;111.0;3941.0;1.0;90;40;40;;17.0;18.0;38.0;;30.0;22.0;;;20;;12252.0;20806.0;;;;4.5;4.5;40;2;;;;;;;;
5408;3150008;B;Doorn                                   ;315;00;5.0;08;225.0;3941.0;1.0;560;290;280;7.0;31.0;48.0;10.0;4.0;40.0;77.0;;;110;4.0;8531.0;11118.0;71.0;10.0;65.0;5.3;5.3;60;2;;;;;;;;
5409;3150009;B;Doorn                                   ;315;00;5.0;09;152.0;3941.0;1.0;200;100;100;20.0;17.0;24.0;26.0;14.0;60.0;15.0;66.0;3.3;30;;7918.0;13364.0;40.0;26.0;;6.3;6.3;60;2;;;;;;;;
5410;316;G;Driebergen-Rijsenburg                   ;316;  ;4.0;  ;956.0;;;18550;8860;9690;18.0;13.0;27.0;24.0;17.0;4740.0;22.0;61.0;3.1;700;4.0;9620.0;15270.0;37.0;27.0;19.0;26.4;26.4;7160;7;13.0;67.0;8.0;16.0;4.0;21.0;20.0;18.0
5411;31600;W;Driebergen-Rijsenburg                   ;316;00;4.0;  ;959.0;;;18550;8870;9690;18.0;13.0;27.0;24.0;17.0;4750.0;22.0;61.0;3.1;700;4.0;9620.0;15270.0;37.0;27.0;19.0;26.4;26.4;7160;7;13.0;67.0;8.0;16.0;4.0;21.0;20.0;18.0
5412;3160000;B;Driebergen-Rijsenburg                   ;316;00;4.0;00;933.0;3971.0;1.0;6290;2960;3350;15.0;13.0;25.0;27.0;20.0;1650.0;23.0;56.0;3.0;1570;1.0;10664.0;15996.0;36.0;29.0;21.0;4.0;4.0;2450;6;15.0;69.0;7.0;26.0;7.0;16.0;15.0;14.0
5413;3160001;B;Driebergen-Rijsenburg                   ;316;00;3.0;01;1080.0;3972.0;1.0;7090;3410;3680;17.0;15.0;25.0;26.0;17.0;1820.0;21.0;61.0;3.1;2960;8.0;9030.0;14408.0;40.0;25.0;20.0;2.4;2.4;2810;5;8.0;59.0;8.0;10.0;1.0;32.0;21.0;19.0
5414;3160002;B;Driebergen-Rijsenburg                   ;316;00;4.0;02;767.0;3971.0;1.0;1490;660;840;13.0;11.0;20.0;23.0;33.0;350.0;33.0;49.0;2.8;1290;1.0;10369.0;15928.0;35.0;31.0;18.0;1.2;1.2;620;4;9.0;70.0;5.0;10.0;3.0;21.0;28.0;23.0
5415;3160003;B;Driebergen-Rijsenburg                   ;316;00;4.0;03;998.0;3972.0;1.0;2930;1450;1470;28.0;10.0;40.0;16.0;7.0;750.0;15.0;72.0;3.3;2780;1.0;8735.0;15270.0;32.0;28.0;11.0;1.1;1.1;1050;4;14.0;64.0;12.0;9.0;5.0;21.0;22.0;17.0
5416;3160004;B;Driebergen-Rijsenburg                   ;316;00;5.0;04;303.0;3972.0;1.0;40;30;10;;;;;;10.0;;;;60;;;;;;;0.6;0.6;10;3;;;;;;;;
5417;3160008;B;Driebergen-Rijsenburg                   ;316;00;5.0;08;94.0;3972.0;1.0;350;190;160;24.0;17.0;28.0;21.0;11.0;80.0;22.0;72.0;3.8;30;;9371.0;17153.0;35.0;21.0;25.0;10.3;10.3;90;1;;;;;;;;
5418;3160009;B;Driebergen-Rijsenburg                   ;316;00;5.0;09;352.0;3971.0;1.0;340;180;170;21.0;14.0;31.0;24.0;11.0;90.0;15.0;68.0;3.2;50;;8554.0;13046.0;44.0;;40.0;6.9;6.9;120;3;;;;;;;;
5419;317;G;Eemnes                                  ;317;  ;4.0;  ;677.0;;;8120;4030;4090;22.0;13.0;34.0;24.0;7.0;2150.0;15.0;70.0;3.2;260;1.0;9212.0;15565.0;31.0;29.0;13.0;33.7;31.1;3020;6;22.0;63.0;15.0;13.0;3.0;15.0;16.0;15.0
5420;31700;W;Eemnes                                  ;317;00;4.0;  ;682.0;;;8120;4030;4080;22.0;13.0;34.0;24.0;7.0;2150.0;15.0;70.0;3.2;260;1.0;9212.0;15587.0;31.0;30.0;13.0;31.3;31.0;3020;6;22.0;63.0;15.0;13.0;3.0;15.0;16.0;15.0
5421;3170000;B;Eemnes                                  ;317;00;4.0;00;593.0;3755.0;1.0;340;160;170;15.0;14.0;24.0;32.0;15.0;90.0;15.0;60.0;3.0;790;;10550.0;15678.0;38.0;34.0;;0.4;0.4;120;2;;;;;;;;
5422;3170001;B;Eemnes                                  ;317;00;5.0;01;348.0;3755.0;1.0;250;130;120;20.0;11.0;27.0;27.0;15.0;70.0;11.0;63.0;3.2;220;;8803.0;19513.0;32.0;30.0;;1.1;1.1;80;2;;;;;;;;
5423;3170002;B;Eemnes                                  ;317;00;4.0;02;814.0;3755.0;1.0;1640;830;810;18.0;11.0;27.0;30.0;14.0;470.0;14.0;60.0;3.0;3010;;9756.0;15860.0;35.0;29.0;18.0;0.5;0.5;630;4;24.0;57.0;7.0;20.0;4.0;19.0;15.0;11.0
5424;3170003;B;Eemnes                                  ;317;00;5.0;03;264.0;3755.0;1.0;500;250;250;18.0;13.0;27.0;29.0;13.0;140.0;13.0;63.0;3.1;410;;10323.0;16200.0;36.0;29.0;;1.2;1.2;180;3;;;;;;;;
5425;3170004;B;Eemnes                                  ;317;00;4.0;04;755.0;3755.0;1.0;3970;1950;2020;25.0;15.0;34.0;23.0;3.0;1030.0;14.0;76.0;3.3;6520;2.0;8781.0;15655.0;29.0;33.0;13.0;0.6;0.6;1390;4;18.0;59.0;12.0;11.0;2.0;23.0;21.0;13.0
5426;3170005;B;Eemnes                                  ;317;00;4.0;05;634.0;3755.0;1.0;1120;550;570;24.0;12.0;52.0;9.0;4.0;270.0;25.0;73.0;3.1;3330;;9121.0;14090.0;28.0;21.0;8.0;0.3;0.3;510;3;;;;;;;;
5427;3170008;B;Eemnes                                  ;317;00;5.0;08;225.0;3755.0;1.0;150;80;70;10.0;15.0;28.0;33.0;13.0;40.0;16.0;;;110;;11231.0;14090.0;37.0;;;1.3;1.3;50;2;;;;;;;;
5428;3170009;B;Eemnes                                  ;317;00;5.0;09;203.0;3755.0;1.0;140;80;60;18.0;15.0;31.0;27.0;9.0;30.0;15.0;;;10;;8145.0;13954.0;35.0;;;25.8;25.4;40;2;;;;;;;;
5429;318;G;Harmelen                                ;318;  ;4.0;  ;594.0;;;7990;3980;4010;21.0;14.0;32.0;23.0;10.0;2050.0;17.0;68.0;3.2;340;1.0;9484.0;15315.0;35.0;29.0;11.0;23.8;23.4;2910;6;24.0;61.0;8.0;16.0;5.0;15.0;13.0;18.0
5430;31800;W;Harmelen                                ;318;00;4.0;  ;600.0;;;7990;3970;4000;21.0;14.0;32.0;23.0;10.0;2060.0;17.0;68.0;3.2;340;1.0;9484.0;15315.0;35.0;29.0;11.0;23.8;23.4;2900;6;24.0;61.0;8.0;16.0;5.0;15.0;13.0;18.0
5431;3180000;B;Harmelen                                ;318;00;4.0;00;683.0;3481.0;1.0;6550;3280;3270;22.0;13.0;34.0;23.0;8.0;1720.0;16.0;67.0;3.2;5900;2.0;9575.0;15587.0;32.0;30.0;12.0;1.1;1.1;2490;5;13.0;65.0;7.0;21.0;5.0;21.0;16.0;16.0
5432;3180001;B;Harmelen                                ;318;00;5.0;01;117.0;3481.0;1.0;240;130;110;26.0;15.0;30.0;23.0;6.0;60.0;10.0;73.0;3.6;380;;6943.0;14090.0;53.0;;;0.7;0.6;70;2;;;;;;;;
5433;3180003;B;Harmelen                                ;318;00;5.0;03;100.0;3481.0;1.0;340;170;170;21.0;19.0;25.0;27.0;8.0;90.0;5.0;74.0;3.6;120;;10664.0;16563.0;40.0;26.0;;2.9;2.9;110;3;;;;;;;;
5434;3180004;B;Harmelen                                ;318;00;5.0;04;19.0;3481.0;1.0;120;60;70;21.0;;35.0;29.0;;30.0;12.0;;;30;;10051.0;19263.0;;38.0;;5.5;5.4;40;1;;;;;;;;
5435;3180005;B;Harmelen                                ;318;00;5.0;05;111.0;3481.0;1.0;170;90;80;20.0;25.0;24.0;21.0;10.0;40.0;8.0;;;30;;8395.0;13568.0;45.0;19.0;;5.5;5.4;50;1;;;;;;;;
5436;3180009;B;Harmelen                                ;318;00;5.0;09;247.0;3481.0;1.0;560;250;300;11.0;11.0;20.0;21.0;37.0;120.0;39.0;56.0;3.0;70;;8939.0;12366.0;54.0;16.0;;8.1;8.0;150;3;;;;;;;;
5437;321;G;Houten                                  ;321;  ;3.0;  ;1264.0;;;30740;15280;15460;29.0;10.0;39.0;15.0;8.0;7870.0;13.0;71.0;3.4;550;2.0;8849.0;15610.0;30.0;31.0;11.0;59.0;55.9;10830;7;17.0;63.0;11.0;13.0;3.0;20.0;17.0;19.0
5438;32100;W;Houten                                  ;321;00;3.0;  ;1353.0;;;15850;7850;8000;30.0;10.0;38.0;15.0;7.0;4040.0;12.0;72.0;3.5;1280;2.0;9030.0;16313.0;29.0;33.0;10.0;12.8;12.4;5330;6;20.0;60.0;13.0;11.0;1.0;20.0;17.0;19.0
5439;3210000;B;Houten                                  ;321;00;3.0;00;1339.0;3991.0;2.0;2540;1270;1270;19.0;13.0;29.0;27.0;13.0;680.0;17.0;61.0;3.1;5210;1.0;9643.0;15224.0;33.0;29.0;15.0;0.5;0.5;1030;5;24.0;62.0;6.0;19.0;4.0;14.0;13.0;19.0
5440;3210001;B;Houten                                  ;321;00;2.0;01;1746.0;3991.0;1.0;1110;550;570;25.0;14.0;27.0;26.0;8.0;310.0;8.0;68.0;3.4;6560;2.0;9892.0;16018.0;34.0;33.0;15.0;0.2;0.2;390;3;;;;;;;;
5441;3210002;B;Houten                                  ;321;00;2.0;02;1918.0;3991.0;1.0;1140;570;570;30.0;14.0;34.0;17.0;5.0;280.0;10.0;74.0;3.6;9260;2.0;7782.0;14861.0;37.0;28.0;12.0;0.1;0.1;360;2;;;;;;;;
5442;3210003;B;Houten                                  ;321;00;2.0;03;1759.0;3992.0;1.0;3380;1680;1700;31.0;9.0;40.0;14.0;6.0;830.0;13.0;76.0;3.5;5860;2.0;9008.0;16359.0;29.0;37.0;9.0;0.6;0.6;1140;4;14.0;52.0;5.0;6.0;0.0;34.0;27.0;14.0
5443;3210004;B;Houten                                  ;321;00;4.0;04;540.0;3991.0;1.0;350;180;180;38.0;;42.0;14.0;;90.0;5.0;81.0;3.7;1210;;10800.0;20329.0;15.0;53.0;;0.3;0.3;100;1;;;;;;;;
5444;3210005;B;Houten                                  ;321;00;3.0;05;1162.0;3991.0;1.0;3200;1570;1630;36.0;6.0;43.0;9.0;6.0;820.0;9.0;77.0;3.6;5760;2.0;7692.0;15111.0;32.0;30.0;11.0;0.6;0.6;1010;3;;;;;;;;
5445;3210006;B;Houten                                  ;321;00;3.0;06;1141.0;3992.0;1.0;3530;1720;1810;36.0;7.0;45.0;9.0;4.0;880.0;10.0;75.0;3.6;7110;2.0;8962.0;17198.0;23.0;37.0;5.0;0.5;0.5;1120;3;;;;;;;;
5446;3210007;B;Houten                                  ;321;00;5.0;07;366.0;3991.0;1.0;0;0;0;;;;;;0.0;;;;0;;;;;;;0.1;0.1;0;1;;;;;;;;
5447;3210008;B;Houten                                  ;321;00;5.0;08;273.0;3992.0;1.0;0;0;0;;;;;;0.0;;;;0;;;;;;;0.4;0.4;0;1;;;;;;;;
5448;3210009;B;Houten                                  ;321;00;5.0;09;399.0;3992.0;5.0;590;320;280;19.0;18.0;29.0;21.0;12.0;140.0;15.0;72.0;3.4;60;;13137.0;22031.0;30.0;30.0;9.0;9.6;9.2;170;5;25.0;70.0;28.0;9.0;1.0;5.0;11.0;22.0
5449;32101;W;Houten                                  ;321;01;3.0;  ;1482.0;;;11830;5850;5990;29.0;8.0;42.0;12.0;8.0;3020.0;16.0;70.0;3.3;1670;2.0;8622.0;15020.0;30.0;28.0;12.0;7.1;7.1;4440;6;8.0;71.0;9.0;19.0;4.0;21.0;21.0;18.0
5450;3210100;B;Houten                                  ;321;01;2.0;00;1883.0;3995.0;1.0;1400;650;740;11.0;9.0;40.0;13.0;27.0;280.0;47.0;42.0;2.6;4880;3.0;11163.0;13500.0;34.0;19.0;17.0;0.3;0.3;830;5;6.0;76.0;8.0;30.0;6.0;19.0;16.0;15.0
5451;3210101;B;Houten                                  ;321;01;2.0;01;1631.0;3993.0;1.0;3120;1550;1560;30.0;10.0;41.0;14.0;5.0;830.0;11.0;74.0;3.3;8480;3.0;7805.0;14589.0;31.0;29.0;16.0;0.4;0.4;1090;3;;;;;;;;
5452;3210102;B;Houten                                  ;321;01;2.0;02;1576.0;3994.0;1.0;2140;1060;1080;32.0;8.0;42.0;13.0;5.0;540.0;13.0;75.0;3.5;3490;3.0;8894.0;15111.0;33.0;28.0;8.0;0.6;0.6;760;3;;;;;;;;
5453;3210103;B;Houten                                  ;321;01;3.0;03;1099.0;3993.0;1.0;3080;1520;1560;34.0;8.0;44.0;10.0;5.0;780.0;11.0;77.0;3.5;7520;2.0;7555.0;15088.0;31.0;31.0;10.0;0.4;0.4;1020;3;;;;;;;;
5454;3210104;B;Houten                                  ;321;01;3.0;04;1262.0;3994.0;1.0;1840;930;920;30.0;5.0;45.0;12.0;7.0;510.0;11.0;60.0;3.2;6640;2.0;9756.0;17130.0;17.0;34.0;6.0;0.3;0.3;670;3;;;;;;;;
5455;3210109;B;Houten                                  ;321;01;5.0;09;333.0;3994.0;1.0;260;140;120;19.0;23.0;22.0;29.0;7.0;60.0;10.0;77.0;3.7;50;;8350.0;16676.0;23.0;37.0;;5.2;5.1;80;1;;;;;;;;
5456;32102;W;Houten                                  ;321;02;5.0;  ;40.0;;;650;350;300;17.0;16.0;31.0;27.0;9.0;170.0;10.0;71.0;3.3;220;;9552.0;14975.0;32.0;30.0;8.0;3.4;3.0;220;3;;;;;;;;
5457;3210200;B;Houten                                  ;321;02;5.0;00;46.0;3999.0;1.0;420;230;190;21.0;14.0;33.0;22.0;10.0;110.0;9.0;76.0;3.3;300;;9416.0;15134.0;29.0;28.0;;1.6;1.4;140;2;;;;;;;;
5458;3210209;B;Houten                                  ;321;02;5.0;09;30.0;3999.0;1.0;230;130;110;12.0;19.0;26.0;35.0;8.0;60.0;14.0;61.0;3.2;140;;10074.0;14521.0;41.0;36.0;;1.8;1.6;90;1;;;;;;;;
5459;32103;W;Houten                                  ;321;03;5.0;  ;38.0;;;610;310;290;17.0;15.0;31.0;27.0;11.0;160.0;16.0;66.0;3.2;100;;8009.0;14090.0;34.0;21.0;15.0;6.5;6.2;220;3;;;;;;;;
5460;3210300;B;Houten                                  ;321;03;5.0;00;41.0;3997.0;1.0;400;210;190;17.0;12.0;34.0;27.0;9.0;110.0;14.0;63.0;3.1;480;;7964.0;14339.0;34.0;24.0;15.0;0.8;0.8;190;3;;;;;;;;
5461;3210309;B;Houten                                  ;321;03;5.0;09;32.0;3997.0;1.0;220;100;110;17.0;18.0;26.0;26.0;13.0;60.0;18.0;71.0;3.3;40;;8100.0;13523.0;34.0;16.0;;5.6;5.4;30;1;;;;;;;;
5462;32104;W;Houten                                  ;321;04;5.0;  ;90.0;;;1810;920;880;20.0;13.0;32.0;24.0;11.0;470.0;14.0;69.0;3.3;60;1.0;8667.0;14339.0;34.0;24.0;14.0;29.2;27.2;630;4;31.0;50.0;10.0;7.0;2.0;19.0;8.0;22.0
