ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
774;Maasbracht;02 jan 1839 ;01 jan 2007 ;GM0933  ;Limburg                            ;L.             ;18390102;20070101    
775;Maasbree;02 jan 1839 ;01 jan 2010 ;GM0934  ;Limburg                            ;L.             ;18390102;20100101    
776;Maasdam;01 jan 1830 ;01 jan 1984 ;GM0554  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
777;Maasdonk;01 jan 1993 ;01 jan 2015 ;GM1671  ;Noord-Brabant                      ;NB.            ;19930101;20150101    
778;Maasdriel;01 aug 1944 ;            ;GM0263  ;Gelderland                         ;Gld.           ;19440801;            
779;Maasgouw;01 jan 2007 ;            ;GM1641  ;Limburg                            ;L.             ;20070101;            
780;Maashees en Overloon;01 jan 1830 ;01 mei 1942 ;GM1109  ;Noord-Brabant                      ;NB.            ;18300101;19420501    
781;Maashorst;01 jan 2022 ;            ;GM1991  ;Noord-Brabant                      ;NB.            ;20220101;            
782;Maasland;01 jan 1830 ;01 jan 2004 ;GM0555  ;Zuid-Holland                       ;ZH.            ;18300101;20040101    
783;Maasniel;02 jan 1839 ;01 aug 1959 ;GM1110  ;Limburg                            ;L.             ;18390102;19590801    
784;Maassluis;01 jan 1830 ;            ;GM0556  ;Zuid-Holland                       ;ZH.            ;18300101;            
785;Maastricht;01 jan 1830 ;            ;GM0935  ;Limburg                            ;L.             ;18300101;            
786;Made;01 jan 1997 ;25 apr 1998 ;GM1665  ;Noord-Brabant                      ;NB.            ;19970101;19980425    
787;Made en Drimmelen;01 jan 1830 ;01 jan 1997 ;GM0812  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
788;Margraten;02 jan 1839 ;01 jan 2011 ;GM0936  ;Limburg                            ;L.             ;18390102;20110101    
789;Mariekerke;01 jul 1966 ;01 jan 1997 ;GM0686  ;Zeeland                            ;Z.             ;19660701;19970101    
790;Markelo;01 jan 1830 ;01 jan 2001 ;GM0169  ;Overijssel                         ;O.             ;18300101;20010101    
791;Marken;01 jan 1830 ;01 jan 1991 ;GM0419  ;Noord-Holland                      ;NH.            ;18300101;19910101    
792;De Marne;01 jan 1992 ;01 jan 2019 ;GM1663  ;Groningen                          ;Gr.            ;19920101;20190101    
793;Marum;01 jan 1830 ;01 jan 2019 ;GM0025  ;Groningen                          ;Gr.            ;18300101;20190101    
794;Maurik;01 jan 1830 ;01 jan 1999 ;GM0264  ;Gelderland                         ;Gld.           ;18300101;19990101    
795;Medemblik;01 jan 1830 ;            ;GM0420  ;Noord-Holland                      ;NH.            ;18300101;            
796;Meeden;01 jan 1830 ;01 jan 1990 ;GM0026  ;Groningen                          ;Gr.            ;18300101;19900101    
797;Meerdervoort;01 jan 1830 ;01 sep 1855 ;GM1343  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
798;Meerkerk;01 jan 1830 ;01 jan 1986 ;GM0557  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
799;Meerlo;02 jan 1839 ;01 jul 1969 ;GM0937  ;Limburg                            ;L.             ;18390102;19690701    
800;Meerlo-Wanssum;01 jul 1969 ;01 jan 2010 ;GM0993  ;Limburg                            ;L.             ;19690701;20100101    
801;Meerssen;02 jan 1839 ;            ;GM0938  ;Limburg                            ;L.             ;18390102;            
802;Meeuwen;08 jan 1908 ;01 mei 1923 ;GM1111  ;Noord-Brabant                      ;NB.            ;19080108;19230501    
803;Meeuwen, Heel en Babyloniënbroek;01 jan 1830 ;08 jan 1908 ;GM1264  ;Noord-Brabant                      ;NB.            ;18300101;19080108    
804;Megen, Haren en Macharen;01 jan 1830 ;01 jan 1994 ;GM0813  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
805;Meierijstad;01 jan 2017 ;            ;GM1948  ;Noord-Brabant                      ;NB.            ;20170101;            
806;Meijel;02 jan 1839 ;01 jan 2010 ;GM0941  ;Limburg                            ;L.             ;18390102;20100101    
807;Melick en Herkenbosch;02 jan 1839 ;01 jan 1993 ;GM0939  ;Limburg                            ;L.             ;18390102;19930101    
808;Meliskerke;01 jan 1830 ;01 jul 1966 ;GM1112  ;Zeeland                            ;Z.             ;18300101;19660701    
809;Melissant;01 jan 1830 ;01 jan 1966 ;GM1113  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
810;Menaldumadeel;01 jan 1830 ;01 jan 2011 ;GM0083  ;Friesland                          ;F.             ;18300101;20110101    
811;Menameradiel;01 jan 2011 ;01 jan 2018 ;GM1908  ;Friesland                          ;F.             ;20110101;20180101    
812;Menterwolde;01 feb 1991 ;01 jan 2018 ;GM1987  ;Groningen                          ;Gr.            ;19910201;20180101    
813;Meppel;01 jan 1830 ;            ;GM0119  ;Drenthe                            ;D.             ;18300101;            
814;Merkelbeek;02 jan 1839 ;01 jan 1982 ;GM0940  ;Limburg                            ;L.             ;18390102;19820101    
815;Mesch;02 jan 1839 ;01 jan 1943 ;GM1114  ;Limburg                            ;L.             ;18390102;19430101    
816;Mheer;02 jan 1839 ;01 jan 1982 ;GM0942  ;Limburg                            ;L.             ;18390102;19820101    
817;Middelburg (Z.);01 jan 1830 ;            ;GM0687  ;Zeeland                            ;Z.             ;18300101;            
818;Middelburg (ZH.);01 jan 1830 ;01 sep 1855 ;GM1344  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
819;Middelharnis;01 jan 1830 ;01 jan 2013 ;GM0559  ;Zuid-Holland                       ;ZH.            ;18300101;20130101    
820;Middelie;01 jan 1830 ;01 aug 1970 ;GM0421  ;Noord-Holland                      ;NH.            ;18300101;19700801    
821;Middelstum;01 jan 1830 ;01 jan 1990 ;GM0027  ;Groningen                          ;Gr.            ;18300101;19900101    
822;Midden-Delfland;01 jan 2004 ;            ;GM1842  ;Zuid-Holland                       ;ZH.            ;20040101;            
823;Midden-Drenthe;01 jan 2000 ;            ;GM1731  ;Drenthe                            ;D.             ;20000101;            
824;Midden-Groningen;01 jan 2018 ;            ;GM1952  ;Groningen                          ;Gr.            ;20180101;            
825;Middenschouwen;01 jan 1961 ;01 jan 1997 ;GM0688  ;Zeeland                            ;Z.             ;19610101;19970101    
826;Middenveld;01 jan 1998 ;01 jan 2000 ;GM1697  ;Drenthe                            ;D.             ;19980101;20000101    
827;Midwolda;01 jan 1830 ;01 jan 1990 ;GM0028  ;Groningen                          ;Gr.            ;18300101;19900101    
828;Midwoud;01 jan 1830 ;01 jan 1979 ;GM0422  ;Noord-Holland                      ;NH.            ;18300101;19790101    
829;Mierlo;01 jan 1830 ;01 jan 2004 ;GM0814  ;Noord-Brabant                      ;NB.            ;18300101;20040101    
830;Mijdrecht;01 jan 1830 ;01 jan 1989 ;GM0336  ;Utrecht                            ;U.             ;18300101;19890101    
831;De Mijl;01 jan 1830 ;27 dec 1856 ;GM1345  ;Zuid-Holland                       ;ZH.            ;18300101;18561227    
832;Mijnsheerenland;01 jan 1830 ;01 jan 1984 ;GM0564  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
833;Mill en Sint Hubert;01 jan 1830 ;01 jan 2022 ;GM0815  ;Noord-Brabant                      ;NB.            ;18300101;20220101    
834;Millingen;01 jan 1830 ;01 jan 1954 ;GM1259  ;Gelderland                         ;Gld.           ;18300101;19540101    
835;Millingen aan de Rijn;01 jan 1954 ;01 jan 2015 ;GM0265  ;Gelderland                         ;Gld.           ;19540101;20150101    
836;Moerdijk;04 apr 1998 ;            ;GM1709  ;Noord-Brabant                      ;NB.            ;19980404;            
837;Moergestel;01 jan 1830 ;01 jan 1997 ;GM0816  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
838;Moerhuizen;01 jan 1991 ;01 feb 1992 ;GM0647  ;Zuid-Holland                       ;ZH.            ;19910101;19920201    
839;Moerkapelle;01 jan 1830 ;01 jan 1991 ;GM0560  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
840;Molenaarsgraaf;01 jan 1830 ;01 jan 1986 ;GM0561  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
841;Molenlanden;01 jan 2019 ;            ;GM1978  ;Zuid-Holland                       ;ZH.            ;20190101;            
842;Molenwaard;01 jan 2013 ;01 jan 2019 ;GM1927  ;Zuid-Holland                       ;ZH.            ;20130101;20190101    
843;Monnickendam;01 jan 1830 ;01 jan 1991 ;GM0423  ;Noord-Holland                      ;NH.            ;18300101;19910101    
844;Monster;01 jan 1830 ;01 jan 2004 ;GM0562  ;Zuid-Holland                       ;ZH.            ;18300101;20040101    
845;Montferland;01 jan 2005 ;            ;GM1955  ;Gelderland                         ;Gld.           ;20050101;            
846;Montfoort;01 jan 1830 ;            ;GM0335  ;Utrecht                            ;U.             ;18300101;            
847;Montfort;02 jan 1839 ;01 jan 1991 ;GM0943  ;Limburg                            ;L.             ;18390102;19910101    
848;Mook en Middelaar;02 jan 1839 ;            ;GM0944  ;Limburg                            ;L.             ;18390102;            
849;Moordrecht;01 jan 1830 ;01 jan 2010 ;GM0563  ;Zuid-Holland                       ;ZH.            ;18300101;20100101    
850;Muiden;01 jan 1830 ;01 jan 2016 ;GM0424  ;Noord-Holland                      ;NH.            ;18300101;20160101    
851;Munstergeleen;02 jan 1839 ;01 jan 1982 ;GM0945  ;Limburg                            ;L.             ;18390102;19820101    
852;Muntendam;01 jan 1830 ;01 jan 1990 ;GM0029  ;Groningen                          ;Gr.            ;18300101;19900101    
853;Naaldwijk;01 jan 1830 ;01 jan 2004 ;GM0565  ;Zuid-Holland                       ;ZH.            ;18300101;20040101    
854;Naarden;01 jan 1830 ;01 jan 2016 ;GM0425  ;Noord-Holland                      ;NH.            ;18300101;20160101    
855;Naters;01 jan 1830 ;11 jul 1855 ;GM1346  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
856;Neder-Betuwe;01 apr 2003 ;            ;GM1740  ;Gelderland                         ;Gld.           ;20030401;            
857;Nederhemert;01 jan 1830 ;01 jul 1955 ;GM1115  ;Gelderland                         ;Gld.           ;18300101;19550701    
858;Nederhorst den Berg;01 jan 1830 ;01 jan 2002 ;GM0426  ;Noord-Holland                      ;NH.            ;18300101;20020101    
859;Nederlek;01 jan 1985 ;01 jan 2015 ;GM0643  ;Zuid-Holland                       ;ZH.            ;19850101;20150101    
860;Nederslingelandt;01 jan 1830 ;13 jun 1857 ;GM1347  ;Zuid-Holland                       ;ZH.            ;18300101;18570613    
861;Nederweert;02 jan 1839 ;            ;GM0946  ;Limburg                            ;L.             ;18390102;            
862;Neede;01 jan 1830 ;01 jan 2005 ;GM0266  ;Gelderland                         ;Gld.           ;18300101;20050101    
863;Neer;02 jan 1839 ;01 jan 1991 ;GM0947  ;Limburg                            ;L.             ;18390102;19910101    
864;Neerijnen;01 jan 1978 ;01 jan 2019 ;GM0304  ;Gelderland                         ;Gld.           ;19780101;20190101    
865;Neeritter;02 jan 1839 ;01 jul 1942 ;GM1116  ;Limburg                            ;L.             ;18390102;19420701    
866;Nibbixwoud;01 jan 1830 ;01 jan 1979 ;GM0427  ;Noord-Holland                      ;NH.            ;18300101;19790101    
867;Niedorp;01 aug 1970 ;01 jan 2012 ;GM0412  ;Noord-Holland                      ;NH.            ;19700801;20120101    
868;Nieuw- en Sint Joosland;01 jan 1830 ;01 jul 1966 ;GM1117  ;Zeeland                            ;Z.             ;18300101;19660701    
869;Nieuw-Beijerland;01 jan 1830 ;01 jan 1984 ;GM0566  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
870;Nieuwe Pekela;01 jan 1830 ;01 jan 1990 ;GM0030  ;Groningen                          ;Gr.            ;18300101;19900101    
871;Nieuwe Tonge;01 jan 1830 ;01 jan 1966 ;GM1119  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
872;Nieuwegein;01 jul 1971 ;            ;GM0356  ;Utrecht                            ;U.             ;19710701;            
873;Nieuwendam;01 jan 1830 ;01 jan 1921 ;GM1120  ;Noord-Holland                      ;NH.            ;18300101;19210101    
874;Nieuwenhagen;02 jan 1839 ;01 jan 1982 ;GM0948  ;Limburg                            ;L.             ;18390102;19820101    
875;Nieuwenhoorn;01 jan 1830 ;01 jan 1960 ;GM1121  ;Zuid-Holland                       ;ZH.            ;18300101;19600101    
876;Nieuwe-Niedorp;01 jan 1830 ;01 aug 1970 ;GM0428  ;Noord-Holland                      ;NH.            ;18300101;19700801    
877;Nieuwer-Amstel;01 jan 1830 ;01 jan 1964 ;GM1249  ;Noord-Holland                      ;NH.            ;18300101;19640101    
878;Nieuwerkerk;01 jan 1830 ;01 jan 1961 ;GM1122  ;Zeeland                            ;Z.             ;18300101;19610101    
879;Nieuwerkerk aan den IJssel;01 jan 1830 ;01 jan 2010 ;GM0567  ;Zuid-Holland                       ;ZH.            ;18300101;20100101    
880;Nieuweschans;01 jan 1830 ;01 jan 1990 ;GM0031  ;Groningen                          ;Gr.            ;18300101;19900101    
881;Nieuw-Ginneken;01 jan 1942 ;01 jan 1997 ;GM0817  ;Noord-Brabant                      ;NB.            ;19420101;19970101    
882;Nieuw-Helvoet;01 jan 1830 ;01 jan 1960 ;GM1118  ;Zuid-Holland                       ;ZH.            ;18300101;19600101    
883;Nieuwkoop;01 jan 1830 ;            ;GM0569  ;Zuid-Holland                       ;ZH.            ;18300101;            
884;Nieuwkuijk;01 jan 1830 ;01 mei 1935 ;GM1123  ;Noord-Brabant                      ;NB.            ;18300101;19350501    
885;Nieuwland;01 jan 1830 ;01 jan 1986 ;GM0570  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
886;Nieuwland, Kortland en 's-Graveland;01 jan 1830 ;01 jan 1856 ;GM1348  ;Zuid-Holland                       ;ZH.            ;18300101;18560101    
887;Nieuw-Lekkerland;01 jan 1830 ;01 jan 2013 ;GM0571  ;Zuid-Holland                       ;ZH.            ;18300101;20130101    
888;Nieuwleusen;01 jan 1830 ;01 jan 2001 ;GM0170  ;Overijssel                         ;O.             ;18300101;20010101    
889;Nieuwolda;01 jan 1830 ;01 jan 1990 ;GM0032  ;Groningen                          ;Gr.            ;18300101;19900101    
890;Nieuwpoort;01 jan 1830 ;01 jan 1986 ;GM0572  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
891;Nieuwstadt;02 jan 1839 ;01 jan 1982 ;GM0949  ;Limburg                            ;L.             ;18390102;19820101    
892;Nieuwveen;01 jan 1830 ;01 jan 1994 ;GM0573  ;Zuid-Holland                       ;ZH.            ;18300101;19940101    
893;Nieuwveen in Delfland;01 jan 1830 ;19 nov 1832 ;GM1349  ;Zuid-Holland                       ;ZH.            ;18300101;18321119    
894;Nieuwvliet;01 jan 1830 ;01 apr 1970 ;GM0690  ;Zeeland                            ;Z.             ;18300101;19700401    
895;Nieuw-Vossemeer;01 jan 1830 ;01 jan 1997 ;GM0818  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
896;Nigtevecht;01 jan 1830 ;01 jan 1989 ;GM0337  ;Utrecht                            ;U.             ;18300101;19890101    
897;Nijefurd;01 jan 1984 ;01 jan 2011 ;GM0104  ;Friesland                          ;F.             ;19840101;20110101    
898;Nijeveen;01 jan 1830 ;01 jan 1998 ;GM0121  ;Drenthe                            ;D.             ;18300101;19980101    
899;Nijkerk;01 jan 1830 ;            ;GM0267  ;Gelderland                         ;Gld.           ;18300101;            
900;Nijmegen;01 jan 1830 ;            ;GM0268  ;Gelderland                         ;Gld.           ;18300101;            
901;Nisse;01 jan 1830 ;01 jan 1970 ;GM0691  ;Zeeland                            ;Z.             ;18300101;19700101    
902;Nissewaard;01 jan 2015 ;            ;GM1930  ;Zuid-Holland                       ;ZH.            ;20150101;            
903;Nistelrode;01 jan 1830 ;01 jan 1994 ;GM0819  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
904;Noardeast-Fryslân;01 jan 2019 ;            ;GM1970  ;Friesland                          ;F.             ;20190101;            
905;Noorbeek;02 jan 1839 ;01 jan 1982 ;GM0950  ;Limburg                            ;L.             ;18390102;19820101    
906;Noord-Beveland;01 jan 1995 ;            ;GM1695  ;Zeeland                            ;Z.             ;19950101;            
907;Noordbroek;01 jan 1830 ;01 jul 1965 ;GM1126  ;Groningen                          ;Gr.            ;18300101;19650701    
908;Noorddijk;01 jan 1830 ;01 jan 1969 ;GM1127  ;Groningen                          ;Gr.            ;18300101;19690101    
909;Noordeloos;01 jan 1830 ;01 jan 1986 ;GM0574  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
910;Noordenveld;01 jan 1998 ;            ;GM1699  ;Drenthe                            ;D.             ;19980101;            
911;Noorder-Koggenland;01 jan 1979 ;01 jan 2007 ;GM0529  ;Noord-Holland                      ;NH.            ;19790101;20070101    
912;Noordgouwe;01 jan 1830 ;01 jan 1961 ;GM1128  ;Zeeland                            ;Z.             ;18300101;19610101    
913;De Noordoostelijke Polder;07 aug 1942 ;01 jul 1962 ;GM1404  ;                                   ;               ;19420807;19620701    
914;Noordoostpolder;01 jul 1962 ;            ;GM0171  ;Flevoland                          ;Fle.           ;19620701;            
915;Noord-Polsbroek;01 jan 1830 ;13 jun 1857 ;GM1350  ;Utrecht                            ;U.             ;18300101;18570613    
916;Noord-Scharwoude;01 jan 1830 ;01 aug 1941 ;GM1124  ;Noord-Holland                      ;NH.            ;18300101;19410801    
917;Noord-Waddinxveen;01 jan 1830 ;01 jun 1870 ;GM1125  ;Zuid-Holland                       ;ZH.            ;18300101;18700601    
918;Noordwelle;01 jan 1830 ;01 jan 1961 ;GM1129  ;Zeeland                            ;Z.             ;18300101;19610101    
919;Noordwijk;01 jan 1830 ;            ;GM0575  ;Zuid-Holland                       ;ZH.            ;18300101;            
920;Noordwijkerhout;01 jan 1830 ;01 jan 2019 ;GM0576  ;Zuid-Holland                       ;ZH.            ;18300101;20190101    
921;Nootdorp;01 jan 1830 ;01 jan 2002 ;GM0577  ;Zuid-Holland                       ;ZH.            ;18300101;20020101    
922;Norg;01 jan 1830 ;01 jan 1998 ;GM0120  ;Drenthe                            ;D.             ;18300101;19980101    
923;Nuenen, Gerwen en Nederwetten;01 jan 1830 ;            ;GM0820  ;Noord-Brabant                      ;NB.            ;18300101;            
924;Nuland;01 jan 1830 ;01 jan 1993 ;GM0821  ;Noord-Brabant                      ;NB.            ;18300101;19930101    
925;Numansdorp;01 jan 1830 ;01 jan 1984 ;GM0578  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
926;Nunhem;02 jan 1839 ;01 okt 1942 ;GM1130  ;Limburg                            ;L.             ;18390102;19421001    
927;Nunspeet;01 jan 1972 ;            ;GM0302  ;Gelderland                         ;Gld.           ;19720101;            
928;Nuth;02 jan 1839 ;01 jan 2019 ;GM0951  ;Limburg                            ;L.             ;18390102;20190101    
929;Obbicht en Papenhoven;02 jan 1839 ;01 jan 1982 ;GM0952  ;Limburg                            ;L.             ;18390102;19820101    
930;Obdam;01 jan 1830 ;01 jan 2007 ;GM0429  ;Noord-Holland                      ;NH.            ;18300101;20070101    
931;Odijk;01 jan 1830 ;01 sep 1964 ;GM1131  ;Utrecht                            ;U.             ;18300101;19640901    
932;Odoorn;01 jan 1830 ;01 jan 1998 ;GM0122  ;Drenthe                            ;D.             ;18300101;19980101    
933;Oeffelt;01 jan 1830 ;01 jan 1994 ;GM0822  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
934;Oegstgeest;01 jan 1830 ;            ;GM0579  ;Zuid-Holland                       ;ZH.            ;18300101;            
935;Oerle;01 jan 1830 ;01 mei 1921 ;GM1132  ;Noord-Brabant                      ;NB.            ;18300101;19210501    
936;Ohé en Laak;02 jan 1839 ;01 jan 1991 ;GM0953  ;Limburg                            ;L.             ;18390102;19910101    
937;Oijen en Teeffelen;01 jan 1830 ;01 jan 1939 ;GM1150  ;Noord-Brabant                      ;NB.            ;18300101;19390101    
938;Oirsbeek;02 jan 1839 ;01 jan 1982 ;GM0954  ;Limburg                            ;L.             ;18390102;19820101    
939;Oirschot;01 jan 1830 ;            ;GM0823  ;Noord-Brabant                      ;NB.            ;18300101;            
940;Oisterwijk;01 jan 1830 ;            ;GM0824  ;Noord-Brabant                      ;NB.            ;18300101;            
941;Oldambt;01 jan 2010 ;            ;GM1895  ;Groningen                          ;Gr.            ;20100101;            
942;Oldebroek;01 jan 1830 ;            ;GM0269  ;Gelderland                         ;Gld.           ;18300101;            
943;Oldehove;01 jan 1830 ;01 jan 1990 ;GM0035  ;Groningen                          ;Gr.            ;18300101;19900101    
944;Oldekerk;01 jan 1830 ;01 jan 1990 ;GM0036  ;Groningen                          ;Gr.            ;18300101;19900101    
945;Oldemarkt;01 jan 1830 ;01 jan 1973 ;GM0172  ;Overijssel                         ;O.             ;18300101;19730101    
946;Oldenzaal;01 jan 1830 ;            ;GM0173  ;Overijssel                         ;O.             ;18300101;            
947;Olst;01 jan 1830 ;26 mrt 2002 ;GM0174  ;Overijssel                         ;O.             ;18300101;20020326    
948;Olst-Wijhe;26 mrt 2002 ;            ;GM1773  ;Overijssel                         ;O.             ;20020326;            
949;Ommen;01 mei 1923 ;            ;GM0175  ;Overijssel                         ;O.             ;19230501;            
950;Onderbanken;01 jan 1982 ;01 jan 2019 ;GM0881  ;Limburg                            ;L.             ;19820101;20190101    
951;Onstwedde;01 jan 1830 ;01 jan 1969 ;GM1250  ;Groningen                          ;Gr.            ;18300101;19690101    
952;Onwaard;01 jan 1830 ;01 jan 1858 ;GM1351  ;Zuid-Holland                       ;ZH.            ;18300101;18580101    
953;Ooltgensplaat;01 jan 1830 ;01 jan 1966 ;GM1133  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
954;Oost Gelre;19 mei 2006 ;            ;GM1586  ;Gelderland                         ;Gld.           ;20060519;            
955;Oost- en West-Barendrecht;01 jan 1837 ;10 dec 1886 ;GM1134  ;Zuid-Holland                       ;ZH.            ;18370101;18861210    
956;Oost- en West-Souburg;16 jul 1834 ;01 jul 1966 ;GM1135  ;Zeeland                            ;Z.             ;18340716;19660701    
957;Oost-, West- en Middelbeers;01 jan 1830 ;01 jan 1997 ;GM0825  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
958;Oost-Barendrecht;01 jan 1830 ;22 nov 1836 ;GM1352  ;Zuid-Holland                       ;ZH.            ;18300101;18361122    
959;Oostburg;01 jan 1830 ;01 jan 2003 ;GM0692  ;Zeeland                            ;Z.             ;18300101;20030101    
960;Oostdongeradeel;01 jan 1830 ;01 jan 1984 ;GM0084  ;Friesland                          ;F.             ;18300101;19840101    
961;Oosterbroek;01 jul 1965 ;01 feb 1991 ;GM0033  ;Groningen                          ;Gr.            ;19650701;19910201    
962;Oosterhesselen;01 jan 1830 ;01 jan 1998 ;GM0123  ;Drenthe                            ;D.             ;18300101;19980101    
963;Oosterhout;01 jan 1830 ;            ;GM0826  ;Noord-Brabant                      ;NB.            ;18300101;            
964;Oosterland;01 jan 1830 ;01 jan 1961 ;GM1136  ;Zeeland                            ;Z.             ;18300101;19610101    
965;Oostflakkee;01 jan 1966 ;01 jan 2013 ;GM0580  ;Zuid-Holland                       ;ZH.            ;19660101;20130101    
966;Oosthuizen;01 jan 1830 ;01 aug 1970 ;GM0430  ;Noord-Holland                      ;NH.            ;18300101;19700801    
967;Oostkapelle;01 jan 1830 ;01 jul 1966 ;GM1137  ;Zeeland                            ;Z.             ;18300101;19660701    
968;Oost-Souburg;01 jan 1830 ;16 jul 1834 ;GM1353  ;Zeeland                            ;Z.             ;18300101;18340716    
969;Ooststellingwerf;01 jan 1830 ;            ;GM0085  ;Friesland                          ;F.             ;18300101;            
970;Oostvoorne;01 jan 1830 ;01 jan 1980 ;GM0581  ;Zuid-Holland                       ;ZH.            ;18300101;19800101    
971;Oostzaan;01 jan 1830 ;            ;GM0431  ;Noord-Holland                      ;NH.            ;18300101;            
972;Ootmarsum;01 jan 1830 ;01 jan 2001 ;GM0176  ;Overijssel                         ;O.             ;18300101;20010101    
973;Openbaar Lichaam Z.IJ.P.;10 nov 1955 ;01 jan 1996 ;GM0996  ;                                   ;               ;19551110;19960101    
974;Ophemert;01 jan 1830 ;01 jan 1978 ;GM0270  ;Gelderland                         ;Gld.           ;18300101;19780101    
975;Oploo, Sint Anthonis en Ledeacker;01 jan 1830 ;01 jan 1994 ;GM0827  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
976;Opmeer;01 jan 1830 ;            ;GM0432  ;Noord-Holland                      ;NH.            ;18300101;            
977;Opperdoes;01 jan 1830 ;01 jan 1979 ;GM0433  ;Noord-Holland                      ;NH.            ;18300101;19790101    
978;Opsterland;01 jan 1830 ;            ;GM0086  ;Friesland                          ;F.             ;18300101;            
979;Oss;01 jan 1830 ;            ;GM0828  ;Noord-Brabant                      ;NB.            ;18300101;            
980;Ossendrecht;01 jan 1830 ;01 jan 1997 ;GM0829  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
981;Ossenisse;01 jan 1830 ;01 jul 1936 ;GM1138  ;Zeeland                            ;Z.             ;18300101;19360701    
982;Oterleek;01 jan 1830 ;01 aug 1970 ;GM0434  ;Noord-Holland                      ;NH.            ;18300101;19700801    
983;Ottersum;02 jan 1839 ;01 jan 1973 ;GM0955  ;Limburg                            ;L.             ;18390102;19730101    
984;Ottoland;01 jan 1830 ;01 jan 1986 ;GM0582  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
985;Oud en Nieuw Gastel;01 jan 1830 ;01 jan 1997 ;GM0831  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
986;Oud en Nieuw Mathenesse;01 jan 1830 ;27 jun 1867 ;GM1139  ;Zuid-Holland                       ;ZH.            ;18300101;18670627    
987;Oud-Alblas;01 jan 1830 ;01 jan 1986 ;GM0583  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
988;Oud-Beijerland;01 jan 1830 ;01 jan 2019 ;GM0584  ;Zuid-Holland                       ;ZH.            ;18300101;20190101    
989;Ouddorp;01 jan 1830 ;01 jan 1966 ;GM1142  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
990;Oude en Nieuwe Struiten;01 jan 1830 ;01 sep 1855 ;GM1356  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
991;Oude IJsselstreek;01 jan 2005 ;            ;GM1509  ;Gelderland                         ;Gld.           ;20050101;            
992;Oude Pekela;01 jan 1830 ;01 jan 1990 ;GM0038  ;Groningen                          ;Gr.            ;18300101;19900101    
993;Oudelande;01 jan 1830 ;01 jan 1970 ;GM0695  ;Zeeland                            ;Z.             ;18300101;19700101    
994;Oudenbosch;01 jan 1830 ;01 jan 1997 ;GM0830  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
995;Oudendijk;01 jan 1830 ;01 jan 1979 ;GM0435  ;Noord-Holland                      ;NH.            ;18300101;19790101    
996;Oudenhoorn;01 jan 1830 ;01 jan 1980 ;GM0586  ;Zuid-Holland                       ;ZH.            ;18300101;19800101    
997;Oude-Niedorp;01 jan 1830 ;01 aug 1970 ;GM0436  ;Noord-Holland                      ;NH.            ;18300101;19700801    
998;Oudenrijn;01 jan 1830 ;01 jan 1954 ;GM1144  ;Utrecht                            ;U.             ;18300101;19540101    
999;Ouder-Amstel;01 jan 1830 ;            ;GM0437  ;Noord-Holland                      ;NH.            ;18300101;            
1000;Ouderkerk;01 jan 1985 ;01 jan 2015 ;GM0644  ;Zuid-Holland                       ;ZH.            ;19850101;20150101    
1001;Ouderkerk aan den IJssel;01 jan 1830 ;01 jan 1985 ;GM0587  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
1002;Oude-Tonge;01 jan 1830 ;01 jan 1966 ;GM1143  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
1003;Oudewater;01 jan 1830 ;            ;GM0589  ;Utrecht                            ;U.             ;18300101;            
