ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalSnelgroeiendeBedrijven_1;k_10Tot50WerkzamePersonen_2;k_50Tot250WerkzamePersonen_3;k_250WerkzamePersonenOfMeer_4;NatuurlijkePersonen_5;Rechtspersonen_6
359;19-22 Raffinaderijen en chemie;2019;120;75;35;5;5;115
360;19-22 Raffinaderijen en chemie;2020;110;70;35;5;5;105
361;19-22 Raffinaderijen en chemie;2021;105;65;35;5;0;105
362;19-22 Raffinaderijen en chemie;2022;90;60;25;5;0;90
363;19-22 Raffinaderijen en chemie;2023;95;60;25;10;0;95
364;19 Aardolie-industrie;2010;0;0;0;0;0;0
365;19 Aardolie-industrie;2011;0;0;0;0;0;0
366;19 Aardolie-industrie;2012;0;0;0;0;0;0
367;19 Aardolie-industrie;2013;0;0;0;0;0;0
368;19 Aardolie-industrie;2014;0;0;0;0;0;0
369;19 Aardolie-industrie;2015;0;0;0;0;0;0
370;19 Aardolie-industrie;2016;0;0;0;0;0;0
371;19 Aardolie-industrie;2017;0;0;0;0;0;0
372;19 Aardolie-industrie;2018;0;0;0;0;0;0
373;19 Aardolie-industrie;2019;0;0;0;0;0;0
374;19 Aardolie-industrie;2020;0;0;0;0;0;0
375;19 Aardolie-industrie;2021;0;0;0;0;0;0
376;19 Aardolie-industrie;2022;0;0;0;0;0;0
377;19 Aardolie-industrie;2023;0;0;0;0;0;0
378;20-21 Chemie en farmaceutische industrie;2010;35;20;10;5;0;35
379;20-21 Chemie en farmaceutische industrie;2011;35;15;10;5;0;35
380;20-21 Chemie en farmaceutische industrie;2012;40;25;10;5;0;40
381;20-21 Chemie en farmaceutische industrie;2013;40;25;10;5;0;40
382;20-21 Chemie en farmaceutische industrie;2014;30;20;10;0;0;25
383;20-21 Chemie en farmaceutische industrie;2015;35;20;10;0;5;30
384;20-21 Chemie en farmaceutische industrie;2016;50;30;15;5;5;45
385;20-21 Chemie en farmaceutische industrie;2017;40;20;20;5;0;40
386;20-21 Chemie en farmaceutische industrie;2018;60;35;20;5;0;55
387;20-21 Chemie en farmaceutische industrie;2019;55;30;20;5;0;55
388;20-21 Chemie en farmaceutische industrie;2020;55;30;25;0;0;50
389;20-21 Chemie en farmaceutische industrie;2021;55;30;20;5;0;55
390;20-21 Chemie en farmaceutische industrie;2022;45;25;15;5;0;45
391;20-21 Chemie en farmaceutische industrie;2023;50;25;15;10;0;50
392;20 Chemische industrie;2010;25;15;5;5;0;25
393;20 Chemische industrie;2011;25;10;10;5;0;25
394;20 Chemische industrie;2012;25;15;10;0;0;25
395;20 Chemische industrie;2013;30;15;10;0;0;30
396;20 Chemische industrie;2014;20;15;5;0;0;20
397;20 Chemische industrie;2015;20;15;5;0;5;15
398;20 Chemische industrie;2016;35;20;10;0;5;30
399;20 Chemische industrie;2017;30;15;15;0;0;30
400;20 Chemische industrie;2018;50;30;20;0;0;45
401;20 Chemische industrie;2019;40;25;15;5;0;40
402;20 Chemische industrie;2020;35;20;15;0;0;35
403;20 Chemische industrie;2021;40;25;15;0;0;40
404;20 Chemische industrie;2022;30;20;10;0;0;30
405;20 Chemische industrie;2023;40;25;10;5;0;40
406;21 Farmaceutische industrie;2010;10;5;5;0;0;10
407;21 Farmaceutische industrie;2011;10;5;0;0;0;10
408;21 Farmaceutische industrie;2012;10;5;0;5;0;10
409;21 Farmaceutische industrie;2013;15;10;0;0;0;15
410;21 Farmaceutische industrie;2014;5;5;5;0;0;5
411;21 Farmaceutische industrie;2015;15;5;10;0;0;15
412;21 Farmaceutische industrie;2016;15;5;5;0;0;15
413;21 Farmaceutische industrie;2017;10;5;5;0;0;10
