ID;SoortBromfiets;RegioS;Perioden;VoertuigenMetBromfietskenteken_1;VoertuigenPer1000Inwoners_2
4414;Voertuigen met bromfietskenteken;Menterwolde;2021;;
4415;Voertuigen met bromfietskenteken;Menterwolde;2022;;
4416;Voertuigen met bromfietskenteken;Meppel;2007;1157.0;37.0
4417;Voertuigen met bromfietskenteken;Meppel;2008;1240.0;39.0
4418;Voertuigen met bromfietskenteken;Meppel;2009;1360.0;42.0
4419;Voertuigen met bromfietskenteken;Meppel;2010;1479.0;46.0
4420;Voertuigen met bromfietskenteken;Meppel;2011;1537.0;47.0
4421;Voertuigen met bromfietskenteken;Meppel;2012;1541.0;47.0
4422;Voertuigen met bromfietskenteken;Meppel;2013;1485.0;45.0
4423;Voertuigen met bromfietskenteken;Meppel;2014;1499.0;46.0
4424;Voertuigen met bromfietskenteken;Meppel;2015;1544.0;47.0
4425;Voertuigen met bromfietskenteken;Meppel;2016;1628.0;50.0
4426;Voertuigen met bromfietskenteken;Meppel;2017;1805.0;55.0
4427;Voertuigen met bromfietskenteken;Meppel;2018;1884.0;56.0
4428;Voertuigen met bromfietskenteken;Meppel;2019;1711.0;51.0
4429;Voertuigen met bromfietskenteken;Meppel;2020;1780.0;52.0
4430;Voertuigen met bromfietskenteken;Meppel;2021;1827.0;53.0
4431;Voertuigen met bromfietskenteken;Meppel;2022;1940.0;56.0
4432;Voertuigen met bromfietskenteken;Middelburg (Z.);2007;2084.0;44.0
4433;Voertuigen met bromfietskenteken;Middelburg (Z.);2008;2289.0;48.0
4434;Voertuigen met bromfietskenteken;Middelburg (Z.);2009;2467.0;52.0
4435;Voertuigen met bromfietskenteken;Middelburg (Z.);2010;2570.0;54.0
4436;Voertuigen met bromfietskenteken;Middelburg (Z.);2011;2722.0;57.0
4437;Voertuigen met bromfietskenteken;Middelburg (Z.);2012;2814.0;59.0
4438;Voertuigen met bromfietskenteken;Middelburg (Z.);2013;2815.0;59.0
4439;Voertuigen met bromfietskenteken;Middelburg (Z.);2014;2791.0;59.0
4440;Voertuigen met bromfietskenteken;Middelburg (Z.);2015;2871.0;60.0
4441;Voertuigen met bromfietskenteken;Middelburg (Z.);2016;2901.0;61.0
4442;Voertuigen met bromfietskenteken;Middelburg (Z.);2017;3023.0;63.0
4443;Voertuigen met bromfietskenteken;Middelburg (Z.);2018;3155.0;65.0
4444;Voertuigen met bromfietskenteken;Middelburg (Z.);2019;3226.0;66.0
4445;Voertuigen met bromfietskenteken;Middelburg (Z.);2020;3450.0;71.0
4446;Voertuigen met bromfietskenteken;Middelburg (Z.);2021;3737.0;76.0
4447;Voertuigen met bromfietskenteken;Middelburg (Z.);2022;3918.0;80.0
4448;Voertuigen met bromfietskenteken;Middelharnis;2007;574.0;32.0
4449;Voertuigen met bromfietskenteken;Middelharnis;2008;619.0;35.0
4450;Voertuigen met bromfietskenteken;Middelharnis;2009;719.0;40.0
4451;Voertuigen met bromfietskenteken;Middelharnis;2010;780.0;43.0
4452;Voertuigen met bromfietskenteken;Middelharnis;2011;847.0;47.0
4453;Voertuigen met bromfietskenteken;Middelharnis;2012;915.0;51.0
4454;Voertuigen met bromfietskenteken;Middelharnis;2013;;
4455;Voertuigen met bromfietskenteken;Middelharnis;2014;;
4456;Voertuigen met bromfietskenteken;Middelharnis;2015;;
4457;Voertuigen met bromfietskenteken;Middelharnis;2016;;
4458;Voertuigen met bromfietskenteken;Middelharnis;2017;;
4459;Voertuigen met bromfietskenteken;Middelharnis;2018;;
4460;Voertuigen met bromfietskenteken;Middelharnis;2019;;
4461;Voertuigen met bromfietskenteken;Middelharnis;2020;;
4462;Voertuigen met bromfietskenteken;Middelharnis;2021;;
4463;Voertuigen met bromfietskenteken;Middelharnis;2022;;
4464;Voertuigen met bromfietskenteken;Midden-Delfland;2007;1012.0;58.0
4465;Voertuigen met bromfietskenteken;Midden-Delfland;2008;1105.0;63.0
