ID;Sex;Age;ModesOfTravel;TravelMotives;Margins;Periods;StagesPerPersonPerDayAverage_1;DistanceTravelledPerStageAverage_2;AverageTravelTimePerStage_3
8347;Total male and female;52020;Car as passenger;Attending education/courses;Value;2021;0.04;11.22;21.42
8348;Total male and female;52020;Car as passenger;Attending education/courses;Value;2022;0.05;11.16;22.25
8349;Total male and female;52020;Car as passenger;Attending education/courses;Value;2023;0.05;11.06;22.71
8350;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;1999;0.03;8.94;18.7
8351;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2000;0.03;9.14;18.86
8352;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2001;0.03;9.29;18.88
8353;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2002;0.03;9.36;18.95
8354;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2003;0.03;9.5;19.28
8355;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2004;0.03;9.51;19.38
8356;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2005;0.03;9.75;19.34
8357;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2006;0.03;9.68;19.41
8358;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2007;0.03;9.98;19.47
8359;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2008;0.03;9.87;19.54
8360;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2009;0.03;9.87;19.81
8361;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2010;0.04;10.04;19.84
8362;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2011;0.04;10.22;20.01
8363;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2012;0.04;10.16;20.07
8364;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2013;0.04;10.29;20.11
8365;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2014;0.04;10.46;20.23
8366;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2015;0.04;10.38;20.3
8367;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2016;0.04;10.34;20.25
8368;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2017;0.04;10.55;20.4
8369;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2018;0.05;10.42;20.3
8370;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2019;0.04;10.34;20.21
8371;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2020;0.04;9.24;18.75
8372;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2021;0.04;9.91;19.6
8373;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2022;0.05;10.13;20.61
8374;Total male and female;52020;Car as passenger;Attending education/courses;Lower bound 95% confidence interval;2023;0.05;9.88;20.85
8375;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;1999;0.05;13.46;25.63
8376;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2000;0.05;13.63;25.49
8377;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2001;0.05;13.53;25.23
8378;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2002;0.05;13.56;25.01
8379;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2003;0.05;13.58;25.08
8380;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2004;0.05;13.46;24.92
8381;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2005;0.05;13.57;24.73
8382;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2006;0.06;13.34;24.59
8383;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2007;0.05;13.53;24.47
8384;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2008;0.05;13.21;24.34
8385;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2009;0.05;13.01;24.42
8386;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2010;0.06;12.94;24.26
8387;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2011;0.06;13.12;24.25
8388;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2012;0.05;12.89;24.14
8389;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2013;0.06;12.99;24.06
8390;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2014;0.05;13.11;24.04
8391;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2015;0.06;12.86;23.98
8392;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2016;0.06;12.7;23.75
8393;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2017;0.06;12.93;23.9
8394;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2018;0.06;12.48;23.61
8395;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2019;0.06;12.42;23.55
8396;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2020;0.05;11.9;22.74
8397;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2021;0.05;12.53;23.28
8398;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2022;0.06;12.27;23.97
8399;Total male and female;52020;Car as passenger;Attending education/courses;Upper bound 95% confidence interval;2023;0.06;12.23;24.62
8400;Total male and female;52020;Car as passenger;Leisure;Value;1999;0.34;20.05;31.54
8401;Total male and female;52020;Car as passenger;Leisure;Value;2000;0.33;19.91;31.4
8402;Total male and female;52020;Car as passenger;Leisure;Value;2001;0.33;20.39;31.38
8403;Total male and female;52020;Car as passenger;Leisure;Value;2002;0.34;20.6;31.37
8404;Total male and female;52020;Car as passenger;Leisure;Value;2003;0.33;20.89;31.37
8405;Total male and female;52020;Car as passenger;Leisure;Value;2004;0.34;21.49;31.49
8406;Total male and female;52020;Car as passenger;Leisure;Value;2005;0.33;21.79;31.38
8407;Total male and female;52020;Car as passenger;Leisure;Value;2006;0.32;21.88;31.34
8408;Total male and female;52020;Car as passenger;Leisure;Value;2007;0.31;21.86;31.36
8409;Total male and female;52020;Car as passenger;Leisure;Value;2008;0.31;21.48;31.16
8410;Total male and female;52020;Car as passenger;Leisure;Value;2009;0.32;21.81;31.17
8411;Total male and female;52020;Car as passenger;Leisure;Value;2010;0.32;21.92;31.16
8412;Total male and female;52020;Car as passenger;Leisure;Value;2011;0.3;22.51;31.22
8413;Total male and female;52020;Car as passenger;Leisure;Value;2012;0.31;22.11;31.09
8414;Total male and female;52020;Car as passenger;Leisure;Value;2013;0.31;22.66;31.01
8415;Total male and female;52020;Car as passenger;Leisure;Value;2014;0.31;23.06;31.18
8416;Total male and female;52020;Car as passenger;Leisure;Value;2015;0.3;23.2;31.03
8417;Total male and female;52020;Car as passenger;Leisure;Value;2016;0.31;22.82;30.87
8418;Total male and female;52020;Car as passenger;Leisure;Value;2017;0.31;22.88;30.72
8419;Total male and female;52020;Car as passenger;Leisure;Value;2018;0.32;23.47;30.75
8420;Total male and female;52020;Car as passenger;Leisure;Value;2019;0.31;23.69;30.78
8421;Total male and female;52020;Car as passenger;Leisure;Value;2020;0.23;21.38;30.42
8422;Total male and female;52020;Car as passenger;Leisure;Value;2021;0.25;23.61;33.14
8423;Total male and female;52020;Car as passenger;Leisure;Value;2022;0.27;22.76;31.58
8424;Total male and female;52020;Car as passenger;Leisure;Value;2023;0.29;22.93;30.88
8425;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;1999;0.29;17.4;28.34
8426;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2000;0.29;17.32;28.12
8427;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2001;0.29;17.91;28.21
8428;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2002;0.29;18.17;28.41
8429;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2003;0.29;18.42;28.49
8430;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2004;0.3;18.99;28.69
8431;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2005;0.29;19.34;28.79
8432;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2006;0.28;19.55;28.81
8433;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2007;0.28;19.65;28.94
8434;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2008;0.27;19.35;28.88
8435;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2009;0.28;19.58;29.01
8436;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2010;0.29;19.95;29.07
8437;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2011;0.27;20.58;29.29
8438;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2012;0.28;20.25;29.19
8439;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2013;0.29;20.77;29.23
8440;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2014;0.29;21.29;29.42
8441;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2015;0.28;21.34;29.35
8442;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2016;0.29;21.08;29.18
8443;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2017;0.29;21.12;28.96
8444;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2018;0.3;22.0;29.16
8445;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2019;0.29;22.28;29.16
8446;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2020;0.22;19.88;28.44
8447;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2021;0.23;22.02;31.26
8448;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2022;0.26;21.26;29.93
8449;Total male and female;52020;Car as passenger;Leisure;Lower bound 95% confidence interval;2023;0.28;21.52;29.23
8450;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;1999;0.39;22.64;35.33
8451;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2000;0.38;22.37;34.82
8452;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2001;0.38;22.93;34.65
8453;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2002;0.38;23.14;34.55
8454;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2003;0.38;23.33;34.38
8455;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2004;0.38;23.86;34.17
8456;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2005;0.37;24.15;34.05
8457;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2006;0.36;24.26;33.86
8458;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2007;0.35;24.26;33.73
8459;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2008;0.34;23.65;33.52
8460;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2009;0.35;23.94;33.36
8461;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2010;0.35;23.83;33.25
8462;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2011;0.33;24.46;33.13
8463;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2012;0.33;23.86;32.92
8464;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2013;0.34;24.5;32.87
8465;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2014;0.34;24.98;32.93
8466;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2015;0.33;24.92;32.76
8467;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2016;0.33;24.5;32.51
8468;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2017;0.33;24.6;32.34
8469;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2018;0.33;24.97;32.35
8470;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2019;0.33;25.15;32.35
8471;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2020;0.25;22.99;32.28
8472;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2021;0.26;25.24;35.15
8473;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2022;0.29;24.09;33.12
8474;Total male and female;52020;Car as passenger;Leisure;Upper bound 95% confidence interval;2023;0.31;24.46;32.55
8475;Total male and female;52020;Car as passenger;Other;Value;1999;0.07;23.17;27.13
8476;Total male and female;52020;Car as passenger;Other;Value;2000;0.07;23.09;26.93
8477;Total male and female;52020;Car as passenger;Other;Value;2001;0.07;22.29;26.63
8478;Total male and female;52020;Car as passenger;Other;Value;2002;0.07;21.45;26.33
8479;Total male and female;52020;Car as passenger;Other;Value;2003;0.08;21.17;26.11
8480;Total male and female;52020;Car as passenger;Other;Value;2004;0.07;19.61;25.74
8481;Total male and female;52020;Car as passenger;Other;Value;2005;0.07;18.99;25.48
8482;Total male and female;52020;Car as passenger;Other;Value;2006;0.07;18.31;25.17
8483;Total male and female;52020;Car as passenger;Other;Value;2007;0.07;17.59;25.03
8484;Total male and female;52020;Car as passenger;Other;Value;2008;0.07;17.15;24.72
8485;Total male and female;52020;Car as passenger;Other;Value;2009;0.07;16.77;24.54
8486;Total male and female;52020;Car as passenger;Other;Value;2010;0.07;16.98;24.55
8487;Total male and female;52020;Car as passenger;Other;Value;2011;0.06;17.13;24.38
8488;Total male and female;52020;Car as passenger;Other;Value;2012;0.07;16.98;24.31
8489;Total male and female;52020;Car as passenger;Other;Value;2013;0.07;16.5;24.07
8490;Total male and female;52020;Car as passenger;Other;Value;2014;0.06;15.96;23.91
8491;Total male and female;52020;Car as passenger;Other;Value;2015;;;
8492;Total male and female;52020;Car as passenger;Other;Value;2016;0.06;15.97;23.65
8493;Total male and female;52020;Car as passenger;Other;Value;2017;0.06;15.96;23.57
8494;Total male and female;52020;Car as passenger;Other;Value;2018;0.06;15.68;23.37
8495;Total male and female;52020;Car as passenger;Other;Value;2019;0.06;15.79;23.44
8496;Total male and female;52020;Car as passenger;Other;Value;2020;0.06;14.32;21.42
8497;Total male and female;52020;Car as passenger;Other;Value;2021;0.07;14.79;22.41
8498;Total male and female;52020;Car as passenger;Other;Value;2022;0.07;14.43;22.81
8499;Total male and female;52020;Car as passenger;Other;Value;2023;0.07;14.61;22.93
8500;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;1999;0.05;17.34;22.62
8501;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2000;0.05;17.1;22.44
8502;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2001;0.05;16.77;22.41
8503;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2002;0.06;16.41;22.24
8504;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2003;0.06;16.58;22.51
8505;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2004;0.05;15.06;22.37
8506;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2005;0.05;14.99;22.07
8507;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2006;0.05;14.39;21.94
8508;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2007;0.05;14.26;22.13
8509;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2008;0.06;14.01;21.9
8510;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2009;0.06;13.79;21.81
8511;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2010;0.06;14.41;22.15
8512;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2011;0.05;14.69;22.03
8513;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2012;0.06;14.46;22.09
8514;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2013;0.06;14.21;22.03
8515;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2014;0.05;13.89;21.91
8516;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2015;;;
8517;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2016;0.05;13.99;21.92
8518;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2017;0.05;14.21;21.94
8519;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2018;0.05;14.03;21.69
8520;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2019;0.06;14.28;21.79
8521;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2020;0.05;12.58;19.55
8522;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2021;0.06;13.23;20.7
8523;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2022;0.06;12.96;21.3
8524;Total male and female;52020;Car as passenger;Other;Lower bound 95% confidence interval;2023;0.06;13.02;21.27
8525;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;1999;0.09;29.91;32.13
8526;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2000;0.09;29.24;31.53
8527;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2001;0.09;27.92;30.99
8528;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2002;0.09;26.91;30.36
8529;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2003;0.09;26.55;30.15
8530;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2004;0.08;24.03;29.58
8531;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2005;0.08;23.34;28.87
8532;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2006;0.08;22.14;28.45
8533;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2007;0.08;21.47;28.3
8534;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2008;0.08;20.77;27.73
8535;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2009;0.08;20.06;27.32
8536;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2010;0.08;20.12;27.22
8537;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2011;0.08;20.12;26.76
8538;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2012;0.08;19.61;26.58
8539;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2013;0.08;18.92;26.24
8540;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2014;0.07;18.29;25.87
8541;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2015;;;
8542;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2016;0.07;17.84;25.49
8543;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2017;0.06;17.92;25.38
8544;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2018;0.07;17.26;25.0
8545;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2019;0.07;17.52;25.17
8546;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2020;0.07;16.15;23.28
8547;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2021;0.07;16.54;24.21
8548;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2022;0.07;15.98;24.48
8549;Total male and female;52020;Car as passenger;Other;Upper bound 95% confidence interval;2023;0.07;16.3;24.73
8550;Total male and female;52020;Train;Total;Value;1999;0.07;39.31;43.91
8551;Total male and female;52020;Train;Total;Value;2000;0.07;39.37;43.96
8552;Total male and female;52020;Train;Total;Value;2001;0.07;39.3;43.88
8553;Total male and female;52020;Train;Total;Value;2002;0.07;39.54;44.22
8554;Total male and female;52020;Train;Total;Value;2003;0.06;39.11;44.05
8555;Total male and female;52020;Train;Total;Value;2004;0.06;39.0;44.17
8556;Total male and female;52020;Train;Total;Value;2005;0.06;38.49;43.91
8557;Total male and female;52020;Train;Total;Value;2006;0.06;38.19;43.61
8558;Total male and female;52020;Train;Total;Value;2007;0.06;38.03;43.56
8559;Total male and female;52020;Train;Total;Value;2008;0.06;37.79;43.23
8560;Total male and female;52020;Train;Total;Value;2009;0.06;37.64;43.2
8561;Total male and female;52020;Train;Total;Value;2010;0.06;37.26;42.91
8562;Total male and female;52020;Train;Total;Value;2011;0.06;37.25;43.1
8563;Total male and female;52020;Train;Total;Value;2012;0.06;37.32;43.16
8564;Total male and female;52020;Train;Total;Value;2013;0.06;37.47;43.2
8565;Total male and female;52020;Train;Total;Value;2014;0.06;37.49;43.3
8566;Total male and female;52020;Train;Total;Value;2015;0.06;37.2;42.86
8567;Total male and female;52020;Train;Total;Value;2016;0.07;37.16;42.75
8568;Total male and female;52020;Train;Total;Value;2017;0.07;36.94;42.47
8569;Total male and female;52020;Train;Total;Value;2018;0.07;36.85;42.48
8570;Total male and female;52020;Train;Total;Value;2019;0.07;36.98;42.55
8571;Total male and female;52020;Train;Total;Value;2020;0.03;35.12;41.96
8572;Total male and female;52020;Train;Total;Value;2021;0.04;35.82;43.42
8573;Total male and female;52020;Train;Total;Value;2022;0.05;37.33;44.59
8574;Total male and female;52020;Train;Total;Value;2023;0.06;37.79;45.0
8575;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;1999;0.05;33.49;38.11
8576;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2000;0.05;33.91;38.22
8577;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2001;0.05;34.07;38.28
8578;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2002;0.05;34.44;39.02
8579;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2003;0.05;34.02;38.96
8580;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2004;0.05;34.29;39.37
8581;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2005;0.05;33.73;39.15
8582;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2006;0.05;33.94;39.1
8583;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2007;0.05;33.67;39.21
8584;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2008;0.05;33.79;39.05
8585;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2009;0.05;34.09;39.08
8586;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2010;0.05;33.74;38.96
8587;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2011;0.05;34.01;39.5
8588;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2012;0.05;34.09;39.89
8589;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2013;0.05;34.35;39.93
8590;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2014;0.05;34.48;40.26
8591;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2015;0.06;34.38;40.01
8592;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2016;0.06;34.44;40.02
8593;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2017;0.06;34.25;39.84
8594;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2018;0.06;34.26;39.97
8595;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2019;0.06;34.35;40.04
8596;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2020;0.03;31.52;38.1
8597;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2021;0.03;32.34;39.92
8598;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2022;0.05;34.56;41.72
8599;Total male and female;52020;Train;Total;Lower bound 95% confidence interval;2023;0.05;34.93;41.97
8600;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;1999;0.08;45.2;50.23
8601;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2000;0.08;44.96;49.87
8602;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2001;0.08;44.75;49.65
8603;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2002;0.08;44.85;49.84
8604;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2003;0.08;44.02;49.65
8605;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2004;0.08;43.82;49.44
8606;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2005;0.07;43.11;48.85
8607;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2006;0.07;42.92;48.41
8608;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2007;0.07;42.2;48.22
8609;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2008;0.07;41.89;47.62
8610;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2009;0.07;41.75;47.16
8611;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2010;0.07;40.78;46.47
8612;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2011;0.07;40.71;46.54
8613;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2012;0.07;40.58;46.63
8614;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2013;0.07;40.6;46.42
8615;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2014;0.07;40.57;46.37
8616;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2015;0.07;40.12;45.8
8617;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2016;0.07;39.96;45.55
8618;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2017;0.08;39.54;45.28
8619;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2018;0.08;39.28;44.95
8620;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2019;0.08;39.47;45.21
8621;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2020;0.04;38.85;45.65
8622;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2021;0.04;39.59;47.13
8623;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2022;0.06;40.19;47.33
8624;Total male and female;52020;Train;Total;Upper bound 95% confidence interval;2023;0.07;40.99;48.04
8625;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;1999;;;
8626;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2000;;;
8627;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2001;;;
8628;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2002;;;
8629;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2003;;;
8630;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2004;;;
8631;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2005;;;
8632;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2006;;;
8633;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2007;;;
8634;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2008;;;
8635;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2009;;;
8636;Total male and female;52020;Train;Travel to/from work, (non)-daily commute;Value;2010;;;
