ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
184;37-39 Waste management;2022;23883;18794;5089;4711;378;24690;11338;6440;2181;4259;0;-59;6971;6522;449;20968.0;16968.0;4000.0;3629.0;371.0;21754.0;10106.0;6269.0;2126.0;4143.0;;;5421.0;4982.0;439.0;-5.0;-4.0;-9.2;-10.4;5.1;-5.0;-0.7;3.2;0.8;4.5;;;-17.7;-19.5;9.2;113.9;110.8;127.2;129.8;101.9;113.5;112.2;102.7;102.6;102.8;;;128.6;130.9;102.3
185;37-39 Waste management;2023;23027;18746;4281;3864;417;23867;11170;6850;2253;4597;0;6;5841;5439;402;20165.0;16656.0;3553.0;3171.0;397.0;20942.0;9839.0;6292.0;2082.0;4210.0;;;4870.0;4492.0;374.0;-3.8;-1.8;-11.2;-12.6;6.9;-3.7;-2.6;0.4;-2.1;1.6;;;-10.2;-9.8;-14.7;114.2;112.6;120.5;121.9;105.2;114.0;113.5;108.9;108.2;109.2;;;119.9;121.1;107.4
186;F Construction;2021;139059;136886;2173;0;2173;151114;67464;852;305;547;80065;0;2733;0;2733;139059.0;136886.0;2173.0;0.0;2173.0;151114.0;67464.0;852.0;305.0;547.0;80065.0;;2733.0;0.0;2733.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
187;F Construction;2022;156022;153326;2696;0;2696;169010;77744;887;325;562;87370;0;3009;0;3009;145807.0;143336.0;2471.0;;2471.0;157988.0;71585.0;819.0;310.0;509.0;82864.0;;2720.0;;2720.0;4.9;4.7;13.7;;13.7;4.5;6.1;-3.9;1.6;-6.9;3.5;;-0.5;;-0.5;107.0;107.0;109.1;;109.1;107.0;108.6;108.3;104.8;110.4;105.4;;110.6;;110.6
188;F Construction;2023;166452;163452;3000;0;3000;180221;83471;936;324;612;92484;0;3330;0;3330;147709.0;145073.0;2633.0;;2633.0;159930.0;72846.0;803.0;280.0;522.0;83375.0;;2888.0;;2888.0;1.3;1.2;6.6;;6.6;1.2;1.8;-1.9;-9.5;2.5;0.6;;6.2;;6.2;112.7;112.7;113.9;;113.9;112.7;114.6;116.5;115.5;117.3;110.9;;115.3;;115.3
189;41 Buildings and building construction..;2021;60451;60248;203;0;203;67358;16658;276;0;276;50186;0;238;0;238;60451.0;60248.0;203.0;0.0;203.0;67358.0;16658.0;276.0;0.0;276.0;50186.0;;238.0;0.0;238.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;100.0;;100.0;;100.0
190;41 Buildings and building construction..;2022;65499;65245;254;0;254;72939;17776;278;0;278;54624;0;261;0;261;62428.0;62183.0;245.0;;245.0;69483.0;16439.0;253.0;;253.0;52540.0;;251.0;;251.0;3.3;3.2;20.7;;20.7;3.2;-1.3;-8.3;;-8.3;4.7;;5.5;;5.5;104.9;104.9;103.7;;103.7;105.0;108.1;109.9;;109.9;104.0;;104.0;;104.0
191;41 Buildings and building construction..;2023;68077;67793;284;0;284;75576;18902;300;0;300;56084;0;290;0;290;61280.0;61019.0;261.0;;261.0;67977.0;16408.0;257.0;;257.0;51034.0;;265.0;;265.0;-1.8;-1.9;6.7;;6.7;-2.2;-0.2;1.4;;1.4;-2.9;;5.7;;5.7;111.1;111.1;108.6;;108.6;111.2;115.2;116.9;;116.9;109.9;;109.3;;109.3
192;42 Constructions and construction works;2021;23244;22159;1085;0;1085;24798;10981;0;0;0;12029;0;1788;0;1788;23244.0;22159.0;1085.0;0.0;1085.0;24798.0;10981.0;0.0;0.0;0.0;12029.0;;1788.0;0.0;1788.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;;;;100.0;;100.0;;100.0
193;42 Constructions and construction works;2022;26544;25197;1347;0;1347;28123;13622;0;0;0;12548;0;1953;0;1953;23623.0;22427.0;1196.0;;1196.0;25043.0;12123.0;;;;11181.0;;1739.0;;1739.0;1.6;1.2;10.2;;10.2;1.0;10.4;;;;-7.0;;-2.7;;-2.7;112.4;112.4;112.6;;112.6;112.3;112.4;;;;112.2;;112.3;;112.3
194;42 Constructions and construction works;2023;28198;26726;1472;0;1472;29968;14447;0;0;0;13392;0;2129;0;2129;24276.0;23014.0;1262.0;;1262.0;25805.0;12406.0;;;;11561.0;;1838.0;;1838.0;2.8;2.6;5.5;;5.5;3.0;2.3;;;;3.4;;5.7;;5.7;116.2;116.1;116.7;;116.7;116.1;116.5;;;;115.8;;115.8;;115.8
195;43 Specialised construction works;2021;55364;54479;885;0;885;58958;39825;576;305;271;17850;0;707;0;707;55364.0;54479.0;885.0;0.0;885.0;58958.0;39825.0;576.0;305.0;271.0;17850.0;;707.0;0.0;707.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
196;43 Specialised construction works;2022;63979;62884;1095;0;1095;67948;46346;609;325;284;20198;0;795;0;795;59756.0;58726.0;1030.0;;1030.0;63462.0;43023.0;566.0;310.0;256.0;19143.0;;730.0;;730.0;7.9;7.8;16.4;;16.4;7.6;8.0;-1.7;1.6;-5.5;7.2;;3.3;;3.3;107.1;107.1;106.3;;106.3;107.1;107.7;107.6;104.8;110.9;105.5;;108.9;;108.9
197;43 Specialised construction works;2023;70177;68933;1244;0;1244;74677;50122;636;324;312;23008;0;911;0;911;62096.0;60985.0;1111.0;;1111.0;66080.0;44031.0;546.0;280.0;265.0;20733.0;;785.0;;785.0;3.9;3.8;7.9;;7.9;4.1;2.3;-3.4;-9.5;3.5;8.3;;7.5;;7.5;113.0;113.0;112.0;;112.0;113.0;113.8;116.4;115.5;117.7;111.0;;116.0;;116.0
198;G-I Trade, transport and vehicles repair;2021;158754;127182;31572;0;31572;163801;76284;41654;39693;1961;0;0;45863;0;45863;158754.0;127182.0;31572.0;0.0;31572.0;163801.0;76284.0;41654.0;39693.0;1961.0;0.0;;45863.0;0.0;45863.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
199;G-I Trade, transport and vehicles repair;2022;202355;164413;37942;33;37909;208818;90235;59088;56824;2264;0;0;59495;0;59495;182437.0;148780.0;33657.0;;33625.0;188514.0;81986.0;54249.0;52044.0;2205.0;;;52279.0;;52279.0;14.9;17.0;6.6;;6.5;15.1;7.5;30.2;31.1;12.4;;;14.0;;14.0;110.9;110.5;112.7;;112.7;110.8;110.1;108.9;109.2;102.7;;;113.8;;113.8
200;G-I Trade, transport and vehicles repair;2023;209117;171574;37543;40;37503;217030;94614;67208;64775;2433;0;0;55208;0;55208;180054.0;148138.0;31942.0;;31904.0;186570.0;81967.0;57248.0;54985.0;2259.0;;;47536.0;;47536.0;-1.3;-0.4;-5.1;21.2;-5.1;-1.0;0.0;5.5;5.7;2.4;;;-9.1;;-9.1;116.1;115.8;117.5;;117.5;116.3;115.4;117.4;117.8;107.7;;;116.1;;116.1
201;G Wholesale and retail trade;2021;29463;23290;6173;0;6173;31213;16758;10053;10053;0;0;0;4402;0;4402;29463.0;23290.0;6173.0;0.0;6173.0;31213.0;16758.0;10053.0;10053.0;0.0;0.0;;4402.0;0.0;4402.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
202;G Wholesale and retail trade;2022;32125;25559;6566;0;6566;33880;17996;10828;10828;0;0;0;5056;0;5056;30656.0;24289.0;6367.0;;6367.0;32313.0;17259.0;10131.0;10131.0;;;;4923.0;;4923.0;4.0;4.3;3.1;;3.1;3.5;3.0;0.8;0.8;;;;11.8;;11.8;104.8;105.2;103.1;;103.1;104.8;104.3;106.9;106.9;;;;102.7;;102.7
203;G Wholesale and retail trade;2023;34929;28487;6442;0;6442;36920;19619;12084;12084;0;0;0;5217;0;5217;31154.0;25242.0;5901.0;;5901.0;32904.0;17600.0;10499.0;10499.0;;;;4797.0;;4797.0;1.6;3.9;-7.3;;-7.3;1.8;2.0;3.6;3.6;;;;-2.6;;-2.6;112.1;112.9;109.2;;109.2;112.2;111.5;115.1;115.1;;;;108.7;;108.7
204;45 Wholesale and retail trade and..;2021;15607;15607;0;0;0;17320;7803;9517;9517;0;0;0;0;0;0;15607.0;15607.0;0.0;0.0;0.0;17320.0;7803.0;9517.0;9517.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;100.0;100.0;;;;;;
205;45 Wholesale and retail trade and..;2022;16475;16475;0;0;0;18290;8046;10244;10244;0;0;0;0;0;0;15478.0;15478.0;;;;17176.0;7596.0;9580.0;9580.0;;;;;;;-0.8;-0.8;;;;-0.8;-2.7;0.7;0.7;;;;;;;106.4;106.4;;;;106.5;105.9;106.9;106.9;;;;;;
206;45 Wholesale and retail trade and..;2023;18437;18437;0;0;0;20472;8995;11477;11477;0;0;0;0;0;0;16060.0;16060.0;;;;17827.0;7861.0;9965.0;9965.0;;;;;;;3.8;3.8;;;;3.8;3.5;4.0;4.0;;;;;;;114.8;114.8;;;;114.8;114.4;115.2;115.2;;;;;;
207;46 Wholesale trade services, except..;2021;13413;7240;6173;0;6173;13357;8955;0;0;0;0;0;4402;0;4402;13413.0;7240.0;6173.0;0.0;6173.0;13357.0;8955.0;0.0;0.0;0.0;0.0;;4402.0;0.0;4402.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;;;;;;100.0;;100.0
208;46 Wholesale trade services, except..;2022;15167;8601;6566;0;6566;15006;9950;0;0;0;0;0;5056;0;5056;14722.0;8355.0;6367.0;;6367.0;14586.0;9663.0;;;;;;4923.0;;4923.0;9.8;15.4;3.1;;3.1;9.2;7.9;;;;;;11.8;;11.8;103.0;102.9;103.1;;103.1;102.9;103.0;;;;;;102.7;;102.7
209;46 Wholesale trade services, except..;2023;15989;9547;6442;0;6442;15841;10624;0;0;0;0;0;5217;0;5217;14642.0;8743.0;5901.0;;5901.0;14534.0;9736.0;;;;;;4797.0;;4797.0;-0.5;4.6;-7.3;;-7.3;-0.4;0.8;;;;;;-2.6;;-2.6;109.2;109.2;109.2;;109.2;109.0;109.1;;;;;;108.7;;108.7
210;47 Retail trade services, except of..;2021;443;443;0;0;0;536;0;536;536;0;0;0;0;0;0;443.0;443.0;0.0;0.0;0.0;536.0;0.0;536.0;536.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;;100.0;100.0;;;;;;
211;47 Retail trade services, except of..;2022;483;483;0;0;0;584;0;584;584;0;0;0;0;0;0;456.0;456.0;;;;551.0;;551.0;551.0;;;;;;;2.9;2.9;;;;2.8;;2.8;2.8;;;;;;;105.9;105.9;;;;106.0;;106.0;106.0;;;;;;
212;47 Retail trade services, except of..;2023;503;503;0;0;0;607;0;607;607;0;0;0;0;0;0;442.0;442.0;;;;533.0;;533.0;533.0;;;;;;;-3.1;-3.1;;;;-3.3;;-3.3;-3.3;;;;;;;113.8;113.8;;;;113.9;;113.9;113.9;;;;;;
213;H Transportation and storage;2021;101735;76401;25334;0;25334;102606;53381;7837;5894;1943;0;0;41388;0;41388;101735.0;76401.0;25334.0;0.0;25334.0;102606.0;53381.0;7837.0;5894.0;1943.0;0.0;;41388.0;0.0;41388.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
214;H Transportation and storage;2022;129622;98381;31241;33;31208;130542;64046;12151;9906;2245;0;0;54345;0;54345;114581.0;87411.0;27170.0;;27138.0;115498.0;57254.0;10974.0;8788.0;2186.0;;;47270.0;;47270.0;12.6;14.4;7.2;;7.1;12.6;7.3;40.0;49.1;12.5;;;14.2;;14.2;113.1;112.5;115.0;;115.0;113.0;111.9;110.7;112.7;102.7;;;115.0;;115.0
215;H Transportation and storage;2023;127902;96945;30957;40;30917;129465;65751;13820;11470;2350;0;0;49894;0;49894;109700.0;83797.0;25905.0;;25867.0;110750.0;56624.0;11518.0;9323.0;2185.0;;;42692.0;;42692.0;-4.3;-4.1;-4.7;21.2;-4.7;-4.1;-1.1;5.0;6.1;0.0;;;-9.7;;-9.7;116.6;115.7;119.5;;119.5;116.9;116.1;120.0;123.0;107.6;;;116.9;;116.9
216;49 Land transport services and..;2021;31187;24661;6526;0;6526;31560;15998;4525;2675;1850;0;0;11037;0;11037;31187.0;24661.0;6526.0;0.0;6526.0;31560.0;15998.0;4525.0;2675.0;1850.0;0.0;;11037.0;0.0;11037.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
217;49 Land transport services and..;2022;38101;30334;7767;0;7767;38555;19531;6081;3928;2153;0;0;12943;0;12943;34814.0;27849.0;6965.0;;6965.0;35267.0;17688.0;5944.0;3834.0;2110.0;;;11635.0;;11635.0;11.6;12.9;6.7;;6.7;11.7;10.6;31.4;43.3;14.1;;;5.4;;5.4;109.4;108.9;111.5;;111.5;109.3;110.4;102.3;102.5;102.0;;;111.2;;111.2
218;49 Land transport services and..;2023;37953;30055;7898;0;7898;38486;19687;6889;4550;2339;0;0;11910;0;11910;32740.0;26063.0;6674.0;;6674.0;33232.0;16854.0;6334.0;4144.0;2189.0;;;10104.0;;10104.0;-6.0;-6.4;-4.2;;-4.2;-5.8;-4.7;6.6;8.1;3.8;;;-13.2;;-13.2;115.9;115.3;118.3;;118.3;115.8;116.8;108.8;109.8;106.8;;;117.9;;117.9
219;50 Water transport services;2021;13688;9635;4053;0;4053;13694;5489;149;149;0;0;0;8056;0;8056;13688.0;9635.0;4053.0;0.0;4053.0;13694.0;5489.0;149.0;149.0;0.0;0.0;;8056.0;0.0;8056.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
220;50 Water transport services;2022;19290;13645;5645;0;5645;19282;7451;163;163;0;0;0;11668;0;11668;14849.0;10518.0;4331.0;;4331.0;14847.0;5781.0;160.0;160.0;;;;8906.0;;8906.0;8.5;9.2;6.9;;6.9;8.4;5.3;7.4;7.4;;;;10.6;;10.6;129.9;129.7;130.3;;130.3;129.9;128.9;101.9;101.9;;;;131.0;;131.0
221;50 Water transport services;2023;16939;12614;4325;0;4325;16937;6849;234;234;0;0;0;9854;0;9854;13821.0;10364.0;3459.0;;3459.0;13826.0;5616.0;222.0;222.0;;;;8008.0;;8008.0;-6.9;-1.5;-20.1;;-20.1;-6.9;-2.9;38.7;38.7;;;;-10.1;;-10.1;122.6;121.7;125.0;;125.0;122.5;122.0;105.5;105.5;;;;123.0;;123.0
222;51 Air transport services;2021;8414;6943;1471;0;1471;8483;2111;1460;1460;0;0;0;4912;0;4912;8414.0;6943.0;1471.0;0.0;1471.0;8483.0;2111.0;1460.0;1460.0;0.0;0.0;;4912.0;0.0;4912.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
223;51 Air transport services;2022;15595;12217;3378;0;3378;15759;3242;4267;4267;0;0;0;8250;0;8250;13072.0;10330.0;2742.0;;2742.0;13194.0;2801.0;3304.0;3304.0;;;;7089.0;;7089.0;55.4;48.8;86.4;;86.4;55.5;32.7;126.3;126.3;;;;44.3;;44.3;119.3;118.3;123.2;;123.2;119.4;115.7;129.1;129.1;;;;116.4;;116.4
224;51 Air transport services;2023;16999;13743;3256;0;3256;17638;3518;5164;5164;0;0;0;8956;0;8956;14213.0;11557.0;2669.0;;2669.0;14345.0;3057.0;3563.0;3563.0;;;;7729.0;;7729.0;8.7;11.9;-2.7;;-2.7;8.7;9.1;7.8;7.8;;;;9.0;;9.0;119.6;118.9;122.0;;122.0;123.0;115.1;144.9;144.9;;;;115.9;;115.9
225;52 Warehousing and support services..;2021;27973;22404;5569;0;5569;28012;17143;671;578;93;0;0;10198;0;10198;27973.0;22404.0;5569.0;0.0;5569.0;28012.0;17143.0;671.0;578.0;93.0;0.0;;10198.0;0.0;10198.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
226;52 Warehousing and support services..;2022;34891;28385;6506;33;6473;34812;20313;726;634;92;0;0;13773;0;13773;31088.0;25497.0;5591.0;;5559.0;31053.0;18069.0;676.0;600.0;76.0;;;12308.0;;12308.0;11.1;13.8;0.4;;-0.2;10.9;5.4;0.7;3.8;-18.3;;;20.7;;20.7;112.2;111.3;116.4;;116.4;112.1;112.4;107.4;105.7;121.1;;;111.9;;111.9
227;52 Warehousing and support services..;2023;31787;24979;6808;40;6768;31741;19984;745;734;11;0;0;11012;0;11012;27620.0;21958.0;5632.0;;5594.0;27640.0;17295.0;645.0;646.0;8.0;;;9696.0;;9696.0;-11.2;-13.9;0.7;21.2;0.6;-11.0;-4.3;-4.5;7.7;-89.1;;;-21.2;;-21.2;115.1;113.8;120.9;;121.0;114.8;115.5;115.5;113.6;133.2;;;113.6;;113.6
228;53 Postal and courier services;2021;20473;12758;7715;0;7715;20857;12640;1032;1032;0;0;0;7185;0;7185;20473.0;12758.0;7715.0;0.0;7715.0;20857.0;12640.0;1032.0;1032.0;0.0;0.0;;7185.0;0.0;7185.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
229;53 Postal and courier services;2022;21745;13800;7945;0;7945;22134;13509;914;914;0;0;0;7711;0;7711;20758.0;13217.0;7541.0;;7541.0;21137.0;12915.0;890.0;890.0;;;;7332.0;;7332.0;1.4;3.6;-2.3;;-2.3;1.3;2.2;-13.8;-13.8;;;;2.0;;2.0;104.8;104.4;105.4;;105.4;104.7;104.6;102.7;102.7;;;;105.2;;105.2
230;53 Postal and courier services;2023;24224;15554;8670;0;8670;24663;15713;788;788;0;0;0;8162;0;8162;21345.0;13760.0;7587.0;;7587.0;21744.0;13874.0;733.0;733.0;;;;7136.0;;7136.0;2.8;4.1;0.6;;0.6;2.9;7.4;-17.6;-17.6;;;;-2.7;;-2.7;113.5;113.0;114.3;;114.3;113.4;113.3;107.5;107.5;;;;114.4;;114.4
231;I Accommodation and food services;2021;27556;27491;65;0;65;29982;6145;23764;23746;18;0;0;73;0;73;27556.0;27491.0;65.0;0.0;65.0;29982.0;6145.0;23764.0;23746.0;18.0;0.0;;73.0;0.0;73.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
232;I Accommodation and food services;2022;40608;40473;135;0;135;44396;8193;36109;36090;19;0;0;94;0;94;37200.0;37080.0;120.0;;120.0;40703.0;7473.0;33144.0;33125.0;19.0;;;86.0;;86.0;35.0;34.9;84.6;;84.6;35.8;21.6;39.5;39.5;5.6;;;17.8;;17.8;109.2;109.2;112.5;;112.5;109.1;109.6;108.9;109.0;100.0;;;109.3;;109.3
233;I Accommodation and food services;2023;46286;46142;144;0;144;50645;9244;41304;41221;83;0;0;97;0;97;39359.0;39237.0;123.0;;123.0;43080.0;7772.0;35229.0;35158.0;75.0;;;81.0;;81.0;5.8;5.8;2.2;;2.2;5.8;4.0;6.3;6.1;294.7;;;-6.4;;-6.4;117.6;117.6;117.4;;117.4;117.6;118.9;117.2;117.2;110.7;;;120.5;;120.5
234;55 Accommodation services;2021;6873;6841;32;0;32;7634;1045;6589;6571;18;0;0;0;0;0;6873.0;6841.0;32.0;0.0;32.0;7634.0;1045.0;6589.0;6571.0;18.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;;;
235;55 Accommodation services;2022;9805;9737;68;0;68;10930;1541;9389;9370;19;0;0;0;0;0;8639.0;8581.0;58.0;;58.0;9668.0;1285.0;8383.0;8364.0;19.0;;;;;;25.7;25.4;81.3;;81.3;26.6;23.0;27.2;27.3;5.6;;;;;;113.5;113.5;117.2;;117.2;113.1;119.9;112.0;112.0;100.0;;;;;
236;55 Accommodation services;2023;11069;11003;66;0;66;12354;1773;10581;10560;21;0;0;0;0;0;9337.0;9281.0;56.0;;56.0;10436.0;1361.0;9077.0;9058.0;19.0;;;;;;8.1;8.2;-2.9;;-2.9;7.9;5.9;8.3;8.3;0.0;;;;;;118.6;118.6;117.2;;117.2;118.4;130.3;116.6;116.6;110.5;;;;;
237;56 Food and beverage serving services;2021;20683;20650;33;0;33;22348;5100;17175;17175;0;0;0;73;0;73;20683.0;20650.0;33.0;0.0;33.0;22348.0;5100.0;17175.0;17175.0;0.0;0.0;;73.0;0.0;73.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
238;56 Food and beverage serving services;2022;30803;30736;67;0;67;33466;6652;26720;26720;0;0;0;94;0;94;28561.0;28499.0;62.0;;62.0;31035.0;6188.0;24761.0;24761.0;;;;86.0;;86.0;38.1;38.0;87.9;;87.9;38.9;21.3;44.2;44.2;;;;17.8;;17.8;107.8;107.8;108.1;;108.1;107.8;107.5;107.9;107.9;;;;109.3;;109.3
239;56 Food and beverage serving services;2023;35217;35139;78;0;78;38291;7471;30723;30661;62;0;0;97;0;97;30012.0;29945.0;67.0;;67.0;32635.0;6408.0;26145.0;26094.0;;;;81.0;;81.0;5.1;5.1;7.5;;7.5;5.2;3.6;5.6;5.4;;;;-6.4;;-6.4;117.3;117.3;117.1;;117.1;117.3;116.6;117.5;117.5;;;;120.5;;120.5
240;J Information and communication;2021;104742;87387;17355;2063;15292;111621;56512;14189;13785;404;18346;174;22400;2059;20341;104742.0;87387.0;17355.0;2063.0;15292.0;111621.0;56512.0;14189.0;13785.0;404.0;18346.0;;22400.0;2059.0;20341.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
241;J Information and communication;2022;118404;98439;19965;2077;17888;125681;62807;14924;14529;395;20205;212;27533;2310;25223;115856.0;96288.0;19568.0;2019.0;17549.0;122983.0;61135.0;15076.0;14692.0;384.0;19657.0;;26913.0;2164.0;24749.0;10.6;10.2;12.8;-2.1;14.8;10.2;8.2;6.3;6.6;-5.0;7.1;;20.1;5.1;21.7;102.2;102.2;102.0;102.9;101.9;102.2;102.7;99.0;98.9;102.9;102.8;;102.3;106.7;101.9
242;J Information and communication;2023;124984;103953;21031;2209;18822;132655;67051;15217;14818;399;21995;-30;28422;2542;25880;117515.0;97598.0;19917.0;2062.0;17855.0;124885.0;62702.0;15131.0;14758.0;373.0;20460.0;;26621.0;2270.0;24345.0;1.4;1.4;1.8;2.1;1.7;1.5;2.6;0.4;0.4;-2.8;4.1;;-1.1;4.9;-1.6;106.4;106.5;105.6;107.1;105.4;106.2;106.9;100.6;100.4;106.9;107.5;;106.8;112.0;106.3
243;58-60 Publishing, audio-visual..;2021;20227;16785;3442;2063;1379;23361;12434;5146;4745;401;1559;174;4048;2059;1989;20227.0;16785.0;3442.0;2063.0;1379.0;23361.0;12434.0;5146.0;4745.0;401.0;1559.0;;4048.0;2059.0;1989.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
244;58-60 Publishing, audio-visual..;2022;22350;18553;3797;2077;1720;25796;13723;5490;5099;391;1820;212;4551;2310;2241;21663.0;18028.0;3635.0;2019.0;1616.0;24928.0;13255.0;5319.0;4939.0;380.0;1822.0;;4330.0;2164.0;2166.0;7.1;7.4;5.6;-2.1;17.2;6.7;6.6;3.4;4.1;-5.2;16.9;;7.0;5.1;8.9;103.2;102.9;104.5;102.9;106.4;103.5;103.5;103.2;103.2;102.9;99.9;;105.1;106.7;103.5
245;58-60 Publishing, audio-visual..;2023;23521;19537;3984;2209;1775;27147;14650;5771;5376;395;1943;-30;4813;2542;2271;21721.0;18080.0;3641.0;2062.0;1580.0;25087.0;13546.0;5337.0;4968.0;369.0;1864.0;;4377.0;2270.0;2104.0;0.3;0.3;0.2;2.1;-2.2;0.6;2.2;0.3;0.6;-2.8;2.3;;1.1;4.9;-2.9;108.3;108.1;109.4;107.1;112.3;108.2;108.2;108.1;108.2;107.0;104.2;;110.0;112.0;107.9
246;58 Publishing services;2021;15229;12502;2727;1910;817;18161;9229;3841;3839;2;1559;138;3394;1861;1533;15229.0;12502.0;2727.0;1910.0;817.0;18161.0;9229.0;3841.0;3839.0;2.0;1559.0;;3394.0;1861.0;1533.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
247;58 Publishing services;2022;16634;13570;3064;1984;1080;19870;10012;4022;4021;1;1820;154;3862;2152;1710;16203.0;13271.0;2932.0;1936.0;996.0;19272.0;9730.0;3897.0;3896.0;1.0;1822.0;;3678.0;2029.0;1649.0;6.4;6.2;7.5;1.4;21.9;6.1;5.4;1.5;1.5;-50.0;16.9;;8.4;9.0;7.6;102.7;102.3;104.5;102.5;108.4;103.1;102.9;103.2;103.2;100.0;99.9;;105.0;106.1;103.7
248;58 Publishing services;2023;17668;14401;3267;2124;1143;21066;10694;4272;4271;1;1943;-33;4190;2379;1811;16428.0;13428.0;2999.0;1995.0;1005.0;19595.0;9991.0;3951.0;3950.0;1.0;1864.0;;3828.0;2145.0;1683.0;1.4;1.2;2.3;3.0;0.9;1.7;2.7;1.4;1.4;0.0;2.3;;4.1;5.7;2.0;107.5;107.2;108.9;106.5;113.7;107.5;107.0;108.1;108.1;100.0;104.2;;109.4;110.9;107.6
249;59-60 Audio-visual and broadcasting;2021;4998;4283;715;153;562;5200;3205;1305;906;399;0;36;654;198;456;4998.0;4283.0;715.0;153.0;562.0;5200.0;3205.0;1305.0;906.0;399.0;0.0;;654.0;198.0;456.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
