ID;RegionAndCompanyCharacteristics;Periods;PronouncedBankruptciesCompanies_1;k_0105AgricultureHuntingFishing_2;k_1037ManufacturingMiningQuarrying_3;k_45Construction_4;k_5052RepairOfConsumerGoodsAndTrade_5;k_55HotelsAndRestaurants_6;k_6064TransportStorageCommunication_7;k_6567FinancialIntermediation_8;k_7075BusinessIntermediation_9;k_80EducationAndOthers_10;OtherUnknownEconomicActivity_11
474;5-10 employees;2011;1004.0;24.0;130.0;204.0;203.0;66.0;51.0;21.0;251.0;54.0;0.0
475;10-20 employees;1993;411.0;12.0;117.0;77.0;97.0;12.0;36.0;5.0;51.0;4.0;0.0
476;10-20 employees;1994;343.0;6.0;104.0;66.0;72.0;14.0;18.0;3.0;52.0;8.0;0.0
477;10-20 employees;1995;258.0;8.0;60.0;50.0;62.0;15.0;22.0;6.0;28.0;7.0;0.0
478;10-20 employees;1996;279.0;7.0;66.0;54.0;72.0;13.0;28.0;1.0;36.0;2.0;0.0
479;10-20 employees;1997;265.0;3.0;66.0;52.0;56.0;7.0;33.0;8.0;31.0;9.0;0.0
480;10-20 employees;1998;304.0;11.0;73.0;64.0;61.0;11.0;18.0;4.0;48.0;14.0;0.0
481;10-20 employees;1999;303.0;7.0;66.0;66.0;73.0;12.0;18.0;3.0;48.0;10.0;0.0
482;10-20 employees;2000;376.0;3.0;82.0;50.0;88.0;16.0;35.0;7.0;75.0;20.0;0.0
483;10-20 employees;2001;422.0;5.0;72.0;64.0;92.0;19.0;30.0;23.0;95.0;22.0;0.0
484;10-20 employees;2002;488.0;7.0;107.0;64.0;85.0;24.0;31.0;18.0;137.0;15.0;0.0
485;10-20 employees;2003;752.0;18.0;149.0;117.0;122.0;27.0;71.0;25.0;194.0;29.0;0.0
486;10-20 employees;2004;736.0;25.0;131.0;120.0;142.0;35.0;43.0;23.0;191.0;26.0;0.0
487;10-20 employees;2005;692.0;17.0;98.0;115.0;145.0;49.0;75.0;20.0;135.0;35.0;3.0
488;10-20 employees;2006;579.0;19.0;86.0;107.0;103.0;34.0;52.0;24.0;126.0;27.0;1.0
489;10-20 employees;2007;443.0;8.0;67.0;75.0;91.0;16.0;24.0;18.0;115.0;29.0;0.0
490;10-20 employees;2008;495.0;12.0;84.0;94.0;92.0;18.0;40.0;21.0;107.0;27.0;0.0
491;10-20 employees;2009;851.0;27.0;160.0;111.0;149.0;32.0;61.0;27.0;221.0;63.0;0.0
492;10-20 employees;2010;841.0;25.0;148.0;174.0;125.0;40.0;71.0;17.0;183.0;57.0;1.0
493;10-20 employees;2011;808.0;27.0;132.0;160.0;176.0;30.0;74.0;12.0;151.0;46.0;0.0
494;20-50 employees;1993;306.0;7.0;105.0;70.0;53.0;5.0;27.0;1.0;36.0;2.0;0.0
495;20-50 employees;1994;265.0;4.0;90.0;59.0;36.0;5.0;21.0;1.0;47.0;2.0;0.0
496;20-50 employees;1995;181.0;3.0;53.0;40.0;39.0;12.0;10.0;0.0;21.0;3.0;0.0
497;20-50 employees;1996;189.0;3.0;57.0;37.0;48.0;3.0;15.0;1.0;18.0;7.0;0.0
498;20-50 employees;1997;155.0;2.0;42.0;29.0;35.0;4.0;23.0;0.0;16.0;4.0;0.0
499;20-50 employees;1998;145.0;4.0;39.0;30.0;26.0;4.0;20.0;2.0;15.0;5.0;0.0
500;20-50 employees;1999;191.0;1.0;54.0;41.0;40.0;2.0;24.0;3.0;20.0;6.0;0.0
501;20-50 employees;2000;221.0;1.0;55.0;34.0;46.0;4.0;21.0;8.0;42.0;10.0;0.0
502;20-50 employees;2001;272.0;10.0;66.0;40.0;50.0;4.0;21.0;8.0;62.0;11.0;0.0
503;20-50 employees;2002;299.0;3.0;84.0;53.0;45.0;8.0;22.0;12.0;61.0;11.0;0.0
504;20-50 employees;2003;545.0;13.0;164.0;77.0;73.0;9.0;58.0;13.0;117.0;21.0;0.0
505;20-50 employees;2004;526.0;17.0;119.0;71.0;101.0;15.0;51.0;11.0;131.0;9.0;1.0
506;20-50 employees;2005;391.0;5.0;99.0;46.0;84.0;21.0;42.0;11.0;70.0;12.0;1.0
507;20-50 employees;2006;278.0;6.0;65.0;54.0;38.0;7.0;35.0;7.0;51.0;12.0;3.0
508;20-50 employees;2007;267.0;11.0;57.0;52.0;42.0;12.0;21.0;6.0;54.0;11.0;1.0
509;20-50 employees;2008;325.0;8.0;54.0;49.0;52.0;10.0;38.0;14.0;79.0;21.0;0.0
510;20-50 employees;2009;687.0;11.0;139.0;89.0;155.0;16.0;51.0;17.0;178.0;31.0;0.0
511;20-50 employees;2010;631.0;11.0;135.0;110.0;113.0;17.0;61.0;9.0;147.0;28.0;0.0
512;20-50 employees;2011;572.0;24.0;131.0;111.0;96.0;14.0;50.0;5.0;113.0;28.0;0.0
513;50-100 employees;1993;97.0;1.0;52.0;14.0;11.0;1.0;9.0;0.0;9.0;0.0;0.0
514;50-100 employees;1994;81.0;2.0;35.0;15.0;12.0;1.0;6.0;0.0;7.0;3.0;0.0
515;50-100 employees;1995;57.0;2.0;19.0;14.0;15.0;0.0;1.0;0.0;5.0;1.0;0.0
516;50-100 employees;1996;43.0;4.0;12.0;7.0;8.0;1.0;3.0;0.0;8.0;0.0;0.0
517;50-100 employees;1997;58.0;2.0;25.0;5.0;5.0;1.0;12.0;0.0;6.0;2.0;0.0
518;50-100 employees;1998;24.0;0.0;8.0;6.0;1.0;0.0;3.0;1.0;5.0;0.0;0.0
519;50-100 employees;1999;39.0;0.0;11.0;6.0;5.0;2.0;5.0;0.0;8.0;2.0;0.0
520;50-100 employees;2000;53.0;0.0;12.0;8.0;11.0;0.0;5.0;2.0;12.0;3.0;0.0
521;50-100 employees;2001;76.0;1.0;30.0;7.0;10.0;0.0;5.0;0.0;20.0;3.0;0.0
522;50-100 employees;2002;93.0;0.0;37.0;11.0;17.0;0.0;6.0;0.0;22.0;0.0;0.0
523;50-100 employees;2003;154.0;2.0;52.0;21.0;26.0;3.0;10.0;4.0;35.0;1.0;0.0
524;50-100 employees;2004;131.0;1.0;39.0;15.0;23.0;1.0;7.0;6.0;32.0;7.0;0.0
525;50-100 employees;2005;96.0;2.0;27.0;8.0;14.0;4.0;15.0;4.0;16.0;6.0;0.0
526;50-100 employees;2006;54.0;0.0;14.0;10.0;7.0;0.0;5.0;0.0;14.0;4.0;0.0
527;50-100 employees;2007;79.0;3.0;22.0;13.0;9.0;0.0;4.0;1.0;15.0;11.0;1.0
528;50-100 employees;2008;108.0;0.0;24.0;6.0;32.0;0.0;10.0;14.0;15.0;7.0;0.0
529;50-100 employees;2009;213.0;3.0;49.0;19.0;56.0;0.0;21.0;4.0;50.0;11.0;0.0
530;50-100 employees;2010;264.0;1.0;53.0;60.0;47.0;3.0;24.0;0.0;65.0;11.0;0.0
531;50-100 employees;2011;223.0;0.0;61.0;44.0;28.0;0.0;18.0;1.0;50.0;21.0;0.0
532;100 employees or more;1993;39.0;0.0;24.0;2.0;3.0;1.0;2.0;1.0;1.0;5.0;0.0
533;100 employees or more;1994;27.0;1.0;17.0;2.0;2.0;0.0;2.0;0.0;3.0;0.0;0.0
534;100 employees or more;1995;31.0;1.0;15.0;3.0;2.0;1.0;2.0;0.0;6.0;1.0;0.0
535;100 employees or more;1996;26.0;1.0;9.0;2.0;3.0;1.0;8.0;0.0;2.0;0.0;0.0
536;100 employees or more;1997;37.0;0.0;6.0;2.0;20.0;0.0;8.0;0.0;1.0;0.0;0.0
537;100 employees or more;1998;20.0;0.0;3.0;5.0;1.0;0.0;1.0;0.0;10.0;0.0;0.0
538;100 employees or more;1999;12.0;0.0;2.0;2.0;2.0;0.0;1.0;0.0;4.0;1.0;0.0
539;100 employees or more;2000;35.0;0.0;21.0;1.0;1.0;1.0;3.0;0.0;2.0;6.0;0.0
540;100 employees or more;2001;97.0;0.0;27.0;1.0;19.0;5.0;2.0;2.0;28.0;13.0;0.0
541;100 employees or more;2002;57.0;0.0;12.0;11.0;17.0;0.0;2.0;0.0;14.0;1.0;0.0
542;100 employees or more;2003;89.0;1.0;29.0;16.0;5.0;2.0;3.0;1.0;28.0;4.0;0.0
543;100 employees or more;2004;60.0;0.0;15.0;7.0;7.0;1.0;3.0;2.0;21.0;4.0;0.0
544;100 employees or more;2005;79.0;0.0;24.0;4.0;25.0;1.0;9.0;1.0;13.0;2.0;0.0
545;100 employees or more;2006;60.0;1.0;20.0;4.0;3.0;0.0;15.0;0.0;17.0;0.0;0.0
546;100 employees or more;2007;48.0;0.0;10.0;7.0;5.0;0.0;5.0;6.0;9.0;6.0;0.0
547;100 employees or more;2008;38.0;0.0;11.0;2.0;16.0;0.0;3.0;1.0;3.0;2.0;0.0
548;100 employees or more;2009;141.0;0.0;43.0;14.0;26.0;1.0;10.0;9.0;22.0;16.0;0.0
549;100 employees or more;2010;184.0;0.0;72.0;9.0;15.0;0.0;9.0;23.0;43.0;13.0;0.0
550;100 employees or more;2011;178.0;0.0;50.0;29.0;12.0;11.0;1.0;5.0;49.0;21.0;0.0
551;Unknown;1993;945.0;36.0;102.0;97.0;268.0;120.0;56.0;43.0;137.0;68.0;18.0
552;Unknown;1994;945.0;27.0;82.0;94.0;221.0;132.0;57.0;67.0;136.0;99.0;30.0
553;Unknown;1995;1027.0;26.0;70.0;104.0;247.0;134.0;53.0;94.0;183.0;66.0;50.0
554;Unknown;1996;1023.0;24.0;94.0;93.0;237.0;130.0;50.0;82.0;206.0;70.0;37.0
555;Unknown;1997;852.0;24.0;80.0;53.0;175.0;106.0;54.0;96.0;171.0;58.0;35.0
556;Unknown;1998;706.0;13.0;77.0;62.0;150.0;93.0;27.0;77.0;133.0;61.0;13.0
557;Unknown;1999;489.0;17.0;55.0;52.0;85.0;40.0;23.0;59.0;114.0;30.0;14.0
558;Unknown;2000;590.0;9.0;58.0;67.0;104.0;51.0;31.0;68.0;138.0;38.0;26.0
559;Unknown;2001;738.0;7.0;65.0;104.0;109.0;30.0;63.0;94.0;194.0;42.0;30.0
560;Unknown;2002;703.0;12.0;61.0;86.0;127.0;18.0;45.0;90.0;220.0;27.0;17.0
561;Unknown;2003;221.0;3.0;4.0;10.0;23.0;8.0;6.0;73.0;47.0;15.0;32.0
562;Unknown;2004;270.0;8.0;7.0;15.0;24.0;19.0;9.0;109.0;33.0;23.0;23.0
563;Unknown;2005;213.0;2.0;16.0;27.0;39.0;19.0;17.0;2.0;46.0;31.0;14.0
564;Unknown;2006;256.0;11.0;12.0;32.0;57.0;34.0;21.0;3.0;47.0;31.0;8.0
565;Unknown;2007;953.0;14.0;46.0;83.0;191.0;57.0;47.0;216.0;232.0;66.0;1.0
566;Unknown;2008;859.0;10.0;47.0;83.0;177.0;41.0;38.0;179.0;217.0;66.0;1.0
567;Unknown;2009;1463.0;17.0;85.0;130.0;240.0;57.0;113.0;373.0;342.0;106.0;0.0
568;Unknown;2010;1489.0;23.0;85.0;128.0;260.0;70.0;73.0;356.0;383.0;111.0;0.0
569;Unknown;2011;1809.0;17.0;76.0;162.0;312.0;124.0;76.0;421.0;493.0;124.0;4.0
570;< 1 year;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
571;< 1 year;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
572;< 1 year;1995;174.0;2.0;22.0;17.0;71.0;14.0;14.0;4.0;20.0;9.0;1.0
573;< 1 year;1996;189.0;1.0;17.0;36.0;58.0;14.0;11.0;4.0;35.0;11.0;2.0
574;< 1 year;1997;154.0;1.0;10.0;26.0;57.0;15.0;13.0;4.0;17.0;11.0;0.0
575;< 1 year;1998;160.0;0.0;18.0;30.0;47.0;8.0;15.0;6.0;27.0;9.0;0.0
576;< 1 year;1999;146.0;0.0;14.0;36.0;39.0;3.0;5.0;3.0;41.0;5.0;0.0
577;< 1 year;2000;130.0;3.0;10.0;26.0;34.0;6.0;8.0;10.0;29.0;4.0;0.0
578;< 1 year;2001;152.0;0.0;13.0;28.0;25.0;10.0;16.0;4.0;49.0;6.0;1.0
579;< 1 year;2002;141.0;0.0;10.0;20.0;32.0;4.0;12.0;10.0;46.0;6.0;1.0
580;< 1 year;2003;160.0;2.0;12.0;35.0;27.0;8.0;9.0;14.0;43.0;8.0;2.0
581;< 1 year;2004;195.0;2.0;9.0;24.0;49.0;12.0;16.0;18.0;44.0;20.0;1.0
582;< 1 year;2005;163.0;4.0;11.0;24.0;46.0;8.0;8.0;15.0;35.0;8.0;4.0
583;< 1 year;2006;169.0;2.0;3.0;28.0;33.0;14.0;9.0;11.0;47.0;21.0;1.0
584;< 1 year;2007;;;;;;;;;;;
585;< 1 year;2008;;;;;;;;;;;
586;< 1 year;2009;;;;;;;;;;;
587;< 1 year;2010;;;;;;;;;;;
588;< 1 year;2011;;;;;;;;;;;
589;1-2 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
590;1-2 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
591;1-2 yrs;1995;404.0;8.0;43.0;55.0;134.0;31.0;30.0;9.0;70.0;24.0;0.0
592;1-2 yrs;1996;429.0;6.0;41.0;72.0;142.0;41.0;32.0;12.0;70.0;12.0;1.0
593;1-2 yrs;1997;421.0;8.0;47.0;77.0;127.0;33.0;31.0;17.0;62.0;19.0;0.0
594;1-2 yrs;1998;444.0;7.0;46.0;75.0;135.0;27.0;40.0;12.0;77.0;25.0;0.0
595;1-2 yrs;1999;338.0;5.0;35.0;57.0;93.0;18.0;35.0;12.0;66.0;17.0;0.0
596;1-2 yrs;2000;390.0;4.0;31.0;72.0;96.0;26.0;27.0;13.0;101.0;20.0;0.0
597;1-2 yrs;2001;509.0;9.0;35.0;79.0;110.0;23.0;37.0;22.0;169.0;25.0;0.0
598;1-2 yrs;2002;459.0;4.0;30.0;79.0;84.0;9.0;24.0;40.0;165.0;24.0;0.0
599;1-2 yrs;2003;541.0;8.0;45.0;86.0;110.0;28.0;42.0;46.0;149.0;24.0;3.0
600;1-2 yrs;2004;546.0;6.0;51.0;59.0;132.0;44.0;37.0;47.0;127.0;39.0;4.0
601;1-2 yrs;2005;555.0;4.0;43.0;86.0;138.0;34.0;52.0;46.0;114.0;35.0;3.0
602;1-2 yrs;2006;570.0;11.0;42.0;76.0;161.0;58.0;39.0;33.0;114.0;32.0;4.0
603;1-2 yrs;2007;;;;;;;;;;;
604;1-2 yrs;2008;;;;;;;;;;;
605;1-2 yrs;2009;;;;;;;;;;;
606;1-2 yrs;2010;;;;;;;;;;;
607;1-2 yrs;2011;;;;;;;;;;;
608;2-3 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
609;2-3 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
610;2-3 yrs;1995;464.0;13.0;50.0;51.0;166.0;41.0;31.0;21.0;72.0;19.0;0.0
611;2-3 yrs;1996;452.0;8.0;55.0;64.0;158.0;20.0;38.0;13.0;69.0;27.0;0.0
612;2-3 yrs;1997;424.0;6.0;42.0;70.0;152.0;27.0;33.0;16.0;61.0;17.0;0.0
613;2-3 yrs;1998;408.0;3.0;37.0;55.0;133.0;23.0;38.0;22.0;74.0;23.0;0.0
614;2-3 yrs;1999;313.0;9.0;28.0;46.0;85.0;24.0;26.0;11.0;70.0;14.0;0.0
615;2-3 yrs;2000;344.0;6.0;24.0;57.0;86.0;22.0;27.0;21.0;80.0;20.0;1.0
616;2-3 yrs;2001;431.0;6.0;32.0;77.0;116.0;23.0;21.0;19.0;121.0;16.0;0.0
617;2-3 yrs;2002;456.0;9.0;38.0;58.0;103.0;19.0;24.0;36.0;147.0;20.0;2.0
618;2-3 yrs;2003;632.0;8.0;46.0;102.0;115.0;31.0;44.0;60.0;195.0;29.0;2.0
619;2-3 yrs;2004;567.0;8.0;48.0;89.0;105.0;35.0;47.0;71.0;132.0;31.0;1.0
620;2-3 yrs;2005;621.0;14.0;39.0;80.0;138.0;29.0;56.0;63.0;166.0;27.0;9.0
621;2-3 yrs;2006;575.0;16.0;44.0;74.0;131.0;53.0;39.0;50.0;138.0;27.0;3.0
622;2-3 yrs;2007;;;;;;;;;;;
623;2-3 yrs;2008;;;;;;;;;;;
624;2-3 yrs;2009;;;;;;;;;;;
625;2-3 yrs;2010;;;;;;;;;;;
626;2-3 yrs;2011;;;;;;;;;;;
627;3-4 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
628;3-4 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
629;3-4 yrs;1995;358.0;6.0;44.0;45.0;119.0;15.0;25.0;7.0;77.0;20.0;0.0
630;3-4 yrs;1996;353.0;5.0;42.0;50.0;125.0;16.0;23.0;11.0;65.0;16.0;0.0
631;3-4 yrs;1997;383.0;6.0;37.0;46.0;134.0;18.0;32.0;14.0;71.0;25.0;0.0
632;3-4 yrs;1998;329.0;9.0;40.0;61.0;93.0;18.0;22.0;13.0;55.0;18.0;0.0
633;3-4 yrs;1999;273.0;6.0;23.0;41.0;89.0;9.0;29.0;10.0;57.0;9.0;0.0
634;3-4 yrs;2000;268.0;11.0;19.0;40.0;72.0;8.0;31.0;13.0;65.0;9.0;0.0
635;3-4 yrs;2001;366.0;6.0;47.0;51.0;82.0;14.0;25.0;16.0;109.0;16.0;0.0
636;3-4 yrs;2002;366.0;3.0;38.0;44.0;87.0;13.0;28.0;26.0;106.0;21.0;0.0
637;3-4 yrs;2003;602.0;8.0;48.0;100.0;121.0;22.0;34.0;57.0;185.0;22.0;5.0
638;3-4 yrs;2004;593.0;12.0;41.0;91.0;127.0;25.0;24.0;85.0;161.0;25.0;2.0
639;3-4 yrs;2005;596.0;7.0;48.0;75.0;119.0;42.0;39.0;66.0;157.0;35.0;8.0
640;3-4 yrs;2006;477.0;6.0;31.0;61.0;122.0;44.0;25.0;52.0;110.0;22.0;4.0
641;3-4 yrs;2007;;;;;;;;;;;
642;3-4 yrs;2008;;;;;;;;;;;
643;3-4 yrs;2009;;;;;;;;;;;
644;3-4 yrs;2010;;;;;;;;;;;
645;3-4 yrs;2011;;;;;;;;;;;
646;4-5 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
647;4-5 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
648;4-5 yrs;1995;335.0;9.0;33.0;42.0;106.0;21.0;21.0;15.0;80.0;8.0;0.0
649;4-5 yrs;1996;283.0;4.0;30.0;49.0;91.0;19.0;20.0;5.0;56.0;9.0;0.0
650;4-5 yrs;1997;273.0;5.0;43.0;40.0;74.0;12.0;12.0;8.0;64.0;15.0;0.0
651;4-5 yrs;1998;284.0;4.0;33.0;44.0;81.0;19.0;24.0;5.0;58.0;16.0;0.0
652;4-5 yrs;1999;217.0;3.0;22.0;40.0;77.0;9.0;14.0;13.0;32.0;7.0;0.0
653;4-5 yrs;2000;266.0;2.0;28.0;46.0;85.0;8.0;19.0;9.0;53.0;16.0;0.0
654;4-5 yrs;2001;282.0;3.0;30.0;44.0;72.0;12.0;20.0;15.0;73.0;13.0;0.0
655;4-5 yrs;2002;343.0;6.0;35.0;47.0;68.0;10.0;30.0;23.0;107.0;16.0;1.0
656;4-5 yrs;2003;523.0;14.0;49.0;58.0;108.0;17.0;41.0;47.0;156.0;27.0;6.0
657;4-5 yrs;2004;509.0;17.0;29.0;61.0;102.0;17.0;33.0;65.0;153.0;29.0;3.0
658;4-5 yrs;2005;525.0;9.0;43.0;75.0;103.0;21.0;32.0;63.0;140.0;33.0;6.0
659;4-5 yrs;2006;427.0;7.0;27.0;58.0;89.0;24.0;32.0;49.0;103.0;31.0;7.0
660;4-5 yrs;2007;;;;;;;;;;;
661;4-5 yrs;2008;;;;;;;;;;;
662;4-5 yrs;2009;;;;;;;;;;;
663;4-5 yrs;2010;;;;;;;;;;;
664;4-5 yrs;2011;;;;;;;;;;;
665;5-6 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
666;5-6 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
667;5-6 yrs;1995;290.0;14.0;31.0;41.0;82.0;19.0;18.0;17.0;57.0;10.0;1.0
668;5-6 yrs;1996;237.0;7.0;34.0;40.0;85.0;6.0;12.0;5.0;39.0;9.0;0.0
669;5-6 yrs;1997;248.0;9.0;29.0;40.0;84.0;11.0;21.0;10.0;35.0;9.0;0.0
670;5-6 yrs;1998;208.0;3.0;26.0;26.0;67.0;9.0;13.0;8.0;45.0;11.0;0.0
671;5-6 yrs;1999;183.0;2.0;23.0;37.0;50.0;6.0;14.0;6.0;35.0;10.0;0.0
672;5-6 yrs;2000;206.0;1.0;20.0;38.0;65.0;8.0;15.0;9.0;42.0;8.0;0.0
673;5-6 yrs;2001;260.0;3.0;31.0;41.0;71.0;13.0;18.0;13.0;62.0;8.0;0.0
674;5-6 yrs;2002;267.0;3.0;35.0;30.0;55.0;8.0;21.0;26.0;82.0;7.0;0.0
675;5-6 yrs;2003;418.0;11.0;40.0;58.0;80.0;8.0;29.0;41.0;133.0;16.0;2.0
676;5-6 yrs;2004;499.0;26.0;41.0;62.0;115.0;20.0;13.0;54.0;144.0;23.0;1.0
677;5-6 yrs;2005;473.0;12.0;26.0;87.0;84.0;32.0;27.0;59.0;121.0;25.0;0.0
678;5-6 yrs;2006;441.0;13.0;22.0;69.0;96.0;27.0;25.0;48.0;110.0;23.0;8.0
679;5-6 yrs;2007;;;;;;;;;;;
680;5-6 yrs;2008;;;;;;;;;;;
681;5-6 yrs;2009;;;;;;;;;;;
682;5-6 yrs;2010;;;;;;;;;;;
683;5-6 yrs;2011;;;;;;;;;;;
684;6-7 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
685;6-7 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
686;6-7 yrs;1995;219.0;6.0;33.0;25.0;66.0;9.0;10.0;9.0;52.0;8.0;1.0
687;6-7 yrs;1996;192.0;8.0;15.0;35.0;56.0;9.0;9.0;14.0;41.0;4.0;1.0
688;6-7 yrs;1997;180.0;5.0;14.0;23.0;62.0;11.0;13.0;8.0;34.0;9.0;1.0
689;6-7 yrs;1998;173.0;3.0;24.0;22.0;46.0;14.0;12.0;6.0;38.0;7.0;1.0
690;6-7 yrs;1999;149.0;3.0;18.0;14.0;64.0;8.0;8.0;6.0;23.0;5.0;0.0
691;6-7 yrs;2000;183.0;1.0;23.0;24.0;52.0;8.0;12.0;8.0;40.0;15.0;0.0
692;6-7 yrs;2001;209.0;1.0;24.0;35.0;51.0;5.0;18.0;13.0;46.0;16.0;0.0
693;6-7 yrs;2002;209.0;5.0;26.0;33.0;47.0;3.0;18.0;14.0;55.0;7.0;1.0
694;6-7 yrs;2003;346.0;7.0;42.0;42.0;73.0;13.0;25.0;31.0;99.0;12.0;2.0
695;6-7 yrs;2004;378.0;13.0;36.0;60.0;76.0;11.0;24.0;41.0;93.0;22.0;2.0
696;6-7 yrs;2005;399.0;12.0;29.0;46.0;99.0;14.0;32.0;48.0;89.0;28.0;2.0
697;6-7 yrs;2006;366.0;16.0;31.0;43.0;83.0;29.0;20.0;43.0;87.0;13.0;1.0
698;6-7 yrs;2007;;;;;;;;;;;
699;6-7 yrs;2008;;;;;;;;;;;
700;6-7 yrs;2009;;;;;;;;;;;
701;6-7 yrs;2010;;;;;;;;;;;
702;6-7 yrs;2011;;;;;;;;;;;
703;7-8 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
704;7-8 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
705;7-8 yrs;1995;168.0;5.0;21.0;16.0;55.0;7.0;15.0;2.0;42.0;3.0;2.0
706;7-8 yrs;1996;168.0;5.0;29.0;20.0;47.0;12.0;9.0;7.0;31.0;7.0;1.0
707;7-8 yrs;1997;132.0;1.0;12.0;10.0;43.0;3.0;9.0;8.0;40.0;4.0;2.0
708;7-8 yrs;1998;154.0;4.0;21.0;17.0;47.0;8.0;6.0;6.0;35.0;9.0;1.0
709;7-8 yrs;1999;121.0;2.0;9.0;16.0;47.0;3.0;6.0;4.0;32.0;2.0;0.0
710;7-8 yrs;2000;155.0;5.0;20.0;15.0;42.0;7.0;14.0;14.0;29.0;8.0;1.0
711;7-8 yrs;2001;167.0;2.0;16.0;22.0;57.0;6.0;12.0;7.0;38.0;7.0;0.0
712;7-8 yrs;2002;193.0;4.0;20.0;18.0;55.0;4.0;13.0;13.0;52.0;12.0;2.0
713;7-8 yrs;2003;305.0;6.0;40.0;27.0;62.0;14.0;18.0;35.0;84.0;18.0;1.0
714;7-8 yrs;2004;316.0;7.0;29.0;38.0;82.0;8.0;19.0;41.0;80.0;11.0;1.0
715;7-8 yrs;2005;351.0;11.0;31.0;44.0;81.0;24.0;20.0;41.0;79.0;16.0;4.0
716;7-8 yrs;2006;287.0;8.0;21.0;44.0;62.0;27.0;15.0;28.0;68.0;13.0;1.0
717;7-8 yrs;2007;;;;;;;;;;;
718;7-8 yrs;2008;;;;;;;;;;;
719;7-8 yrs;2009;;;;;;;;;;;
720;7-8 yrs;2010;;;;;;;;;;;
721;7-8 yrs;2011;;;;;;;;;;;
722;8-9 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
723;8-9 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
724;8-9 yrs;1995;148.0;1.0;20.0;12.0;61.0;9.0;1.0;3.0;34.0;7.0;0.0
725;8-9 yrs;1996;125.0;1.0;12.0;16.0;41.0;10.0;11.0;3.0;27.0;4.0;0.0
726;8-9 yrs;1997;131.0;2.0;18.0;15.0;39.0;8.0;5.0;7.0;30.0;7.0;0.0
727;8-9 yrs;1998;128.0;2.0;13.0;27.0;44.0;5.0;7.0;4.0;18.0;8.0;0.0
728;8-9 yrs;1999;116.0;1.0;16.0;10.0;42.0;6.0;13.0;3.0;24.0;1.0;0.0
729;8-9 yrs;2000;109.0;1.0;14.0;22.0;30.0;2.0;5.0;3.0;25.0;7.0;0.0
730;8-9 yrs;2001;129.0;2.0;13.0;15.0;46.0;6.0;6.0;7.0;27.0;7.0;0.0
731;8-9 yrs;2002;197.0;5.0;26.0;26.0;46.0;12.0;13.0;11.0;51.0;6.0;1.0
732;8-9 yrs;2003;239.0;4.0;29.0;39.0;46.0;8.0;12.0;21.0;66.0;14.0;0.0
733;8-9 yrs;2004;325.0;14.0;24.0;47.0;76.0;16.0;19.0;33.0;79.0;14.0;3.0
734;8-9 yrs;2005;292.0;5.0;26.0;30.0;73.0;17.0;19.0;45.0;57.0;13.0;7.0
735;8-9 yrs;2006;269.0;6.0;26.0;34.0;57.0;15.0;18.0;29.0;65.0;14.0;5.0
736;8-9 yrs;2007;;;;;;;;;;;
737;8-9 yrs;2008;;;;;;;;;;;
738;8-9 yrs;2009;;;;;;;;;;;
739;8-9 yrs;2010;;;;;;;;;;;
740;8-9 yrs;2011;;;;;;;;;;;
741;9-10 yrs;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
742;9-10 yrs;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
743;9-10 yrs;1995;112.0;3.0;12.0;16.0;42.0;6.0;3.0;4.0;18.0;8.0;0.0
