ID;RelatieMetDeOverledene;KenmerkenVanDeVerkrijger;Perioden;AantalVerkrijgers_1;TotaalBrutoVerkrijging_2;GemiddeldBrutoVerkrijging_3;MediaanBrutoVerkrijging_4;TotaalVerschuldigdeBelasting_5;GemiddeldVerschuldigdeBelasting_6;MediaanVerschuldigdeBelasting_7;TotaalNettoVerkrijging_8;GemiddeldNettoVerkrijging_9;MediaanNettoVerkrijging_10
323;Relatie met overledene: totaal;SEC: onbekend;2010;40.7;2917.5;71.7;28.7;358.1;8.8;1.2;2559.4;62.9;26.3
324;Relatie met overledene: totaal;SEC: onbekend;2011;25.2;2179.7;86.4;25.5;255.1;10.1;1.3;1924.6;76.3;22.8
325;Relatie met overledene: totaal;SEC: onbekend;2012;26.4;1753.2;66.3;23.2;235.9;8.9;1.2;1517.3;57.4;20.4
326;Relatie met overledene: totaal;SEC: onbekend;2013;23.3;1618.5;69.5;24.5;214.2;9.2;1.4;1404.3;60.3;21.6
327;Relatie met overledene: totaal;SEC: onbekend;2014;21.2;1494.5;70.3;23.2;210.5;9.9;1.2;1284.0;60.4;20.5
328;Relatie met overledene: totaal;SEC: onbekend;2015;20.1;1589.7;79.1;23.1;210.4;10.5;1.3;1379.3;68.6;20.3
329;Relatie met overledene: totaal;SEC: onbekend;2016;19.3;1695.8;87.8;25.7;227.0;11.7;1.4;1468.8;76.0;23.1
330;Relatie met overledene: totaal;SEC: onbekend;2017;12.3;1165.6;95.1;21.8;121.5;9.9;0.9;1044.1;85.1;20.2
331;Relatie met overledene: totaal;SEC: onbekend;2018;13.7;1255.1;91.4;20.6;132.3;9.6;0.6;1122.8;81.8;20.4
332;Relatie met overledene: totaal;SEC: onbekend;2019;13.6;1228.0;90.6;20.9;141.4;10.4;0.7;1086.7;80.2;20.6
333;Relatie met overledene: totaal;SEC: onbekend;2020;15.3;1433.8;93.6;22.5;166.2;10.9;0.8;1267.6;82.8;20.9
334;Relatie met overledene: totaal;SEC: onbekend;2021;15.3;1418.4;92.7;24.6;192.8;12.6;1.0;1225.6;80.1;22.6
