ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;PurchaseValueOfSales_9;Total_10;GrossWagesAndSalaries_11;Total_12;EmployerPaidSocialInsurancePremiums_13;PensionAndEarlyRetirementPremiums_14;OtherSocialInsuranceCosts_15;OtherPersonnelCosts_16;Total_17;CostsOfEnergyUse_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;CostsOfOtherServices_24;OtherLiabilities_25;DepreciationFixedAssets_26;OperatingResults_27;NetFinancialIncome_28;BalanceOfProvisions_29;NetExtraordinaryIncome_30;PreTaxResults_31
181;N Renting and other business support;2010;648.6;458.2;409.9;302.2;49584.0;48994.0;589.0;45817.0;19822.0;16348.0;11675.0;2311.0;1690.0;621.0;82.0;2280.0;5802.0;167.0;954.0;251.0;849.0;1032.0;284.0;755.0;1511.0;3845.0;3767.0;-223.0;-34.0;36.0;3545.0
182;N Renting and other business support;2011;622.8;460.6;398.3;310.2;52897.0;52406.0;492.0;48779.0;22344.0;17053.0;12152.0;2439.0;1780.0;658.0;86.0;2377.0;6044.0;150.0;949.0;274.0;890.0;1006.0;273.0;767.0;1735.0;3339.0;4118.0;-243.0;-59.0;-47.0;3769.0
183;N Renting and other business support;2012;604.2;459.5;393.4;316.4;53605.0;53107.0;498.0;49179.0;22720.0;16855.0;11938.0;2503.0;1845.0;658.0;91.0;2323.0;5815.0;150.0;966.0;285.0;874.0;786.0;261.0;712.0;1780.0;3789.0;4426.0;-307.0;-112.0;84.0;4091.0
184;N Renting and other business support;2013;622.8;457.3;397.2;316.4;54343.0;53868.0;475.0;49511.0;22435.0;17795.0;12488.0;2668.0;1984.0;685.0;87.0;2551.0;5645.0;155.0;945.0;291.0;873.0;748.0;245.0;698.0;1691.0;3636.0;4832.0;-144.0;-50.0;-124.0;4515.0
185;77 Renting and leasing of tangible goods;2009;28.3;39.0;23.1;30.4;10638.0;10482.0;156.0;10147.0;4588.0;1235.0;903.0;181.0;113.0;68.0;8.0;144.0;1168.0;32.0;233.0;47.0;147.0;137.0;43.0;235.0;293.0;3156.0;491.0;356.0;-46.0;-40.0;762.0
186;77 Renting and leasing of tangible goods;2010;29.3;40.5;24.2;31.4;10627.0;10395.0;232.0;9840.0;4396.0;1276.0;916.0;196.0;124.0;72.0;7.0;159.0;1145.0;30.0;203.0;50.0;160.0;187.0;45.0;155.0;317.0;3022.0;787.0;-134.0;-27.0;14.0;640.0
187;77 Renting and leasing of tangible goods;2011;29.8;39.2;24.3;31.4;11108.0;10968.0;141.0;10218.0;5365.0;1324.0;971.0;199.0;126.0;73.0;8.0;147.0;1062.0;27.0;198.0;44.0;151.0;140.0;38.0;130.0;335.0;2466.0;890.0;-135.0;-19.0;-12.0;724.0
188;77 Renting and leasing of tangible goods;2012;33.8;44.1;27.2;35.2;11748.0;11571.0;177.0;10940.0;5390.0;1516.0;1102.0;242.0;152.0;89.0;6.0;166.0;1151.0;30.0;221.0;52.0;167.0;142.0;49.0;179.0;311.0;2883.0;807.0;-161.0;-50.0;104.0;701.0
189;77 Renting and leasing of tangible goods;2013;32.1;42.0;26.2;34.0;11796.0;11659.0;138.0;10922.0;5566.0;1450.0;1042.0;239.0;152.0;87.0;5.0;163.0;1116.0;29.0;213.0;57.0;189.0;158.0;41.0;150.0;279.0;2790.0;875.0;-68.0;-27.0;4.0;783.0
190;771 Renting of motor vehicles;2009;6.6;7.7;5.5;6.2;5720.0;5685.0;35.0;5483.0;2524.0;318.0;232.0;53.0;30.0;23.0;2.0;32.0;254.0;4.0;45.0;5.0;26.0;28.0;12.0;35.0;100.0;2387.0;237.0;-36.0;-33.0;-154.0;13.0
191;771 Renting of motor vehicles;2010;5.9;6.8;4.8;5.4;5455.0;5421.0;34.0;5171.0;2380.0;289.0;209.0;48.0;27.0;21.0;1.0;32.0;256.0;6.0;48.0;5.0;25.0;33.0;9.0;27.0;104.0;2245.0;284.0;-42.0;-17.0;7.0;232.0
192;771 Renting of motor vehicles;2011;6.9;7.6;5.8;6.4;6229.0;6194.0;35.0;5787.0;3220.0;352.0;258.0;58.0;33.0;25.0;1.0;35.0;301.0;5.0;45.0;6.0;23.0;35.0;12.0;38.0;138.0;1915.0;442.0;-94.0;-13.0;2.0;337.0
193;771 Renting of motor vehicles;2012;7.3;8.2;6.4;6.9;6554.0;6499.0;55.0;6156.0;3347.0;379.0;283.0;65.0;39.0;26.0;0.0;32.0;270.0;6.0;51.0;7.0;19.0;35.0;10.0;43.0;100.0;2161.0;397.0;-87.0;-55.0;38.0;294.0
194;771 Renting of motor vehicles;2013;6.7;7.5;5.7;6.2;6357.0;6315.0;42.0;5954.0;3291.0;335.0;244.0;64.0;36.0;28.0;0.0;27.0;263.0;5.0;53.0;6.0;28.0;38.0;8.0;37.0;87.0;2065.0;403.0;-35.0;-21.0;-10.0;337.0
195;772 Renting of consumergoods;2009;8.8;14.1;6.4;10.1;1431.0;1370.0;62.0;1381.0;525.0;279.0;196.0;37.0;28.0;9.0;1.0;45.0;348.0;16.0;98.0;21.0;42.0;27.0;10.0;27.0;107.0;229.0;50.0;-65.0;-4.0;-3.0;-22.0
196;772 Renting of consumergoods;2010;7.9;13.5;5.9;9.6;1432.0;1378.0;54.0;1295.0;532.0;276.0;189.0;39.0;28.0;11.0;2.0;46.0;250.0;10.0;55.0;14.0;47.0;31.0;10.0;28.0;56.0;237.0;137.0;-15.0;-5.0;0.0;117.0
197;772 Renting of consumergoods;2011;8.9;13.5;6.5;10.0;1254.0;1214.0;41.0;1108.0;452.0;277.0;199.0;38.0;27.0;11.0;4.0;37.0;235.0;11.0;57.0;13.0;44.0;26.0;7.0;22.0;55.0;144.0;146.0;-6.0;-3.0;1.0;138.0
198;772 Renting of consumergoods;2012;10.3;15.2;7.4;11.2;1529.0;1506.0;24.0;1365.0;559.0;338.0;242.0;51.0;35.0;16.0;2.0;44.0;250.0;11.0;65.0;13.0;48.0;23.0;8.0;22.0;60.0;218.0;164.0;-18.0;-2.0;66.0;210.0
199;772 Renting of consumergoods;2013;10.4;15.2;7.6;11.2;1494.0;1474.0;20.0;1332.0;544.0;336.0;242.0;52.0;39.0;14.0;1.0;40.0;249.0;11.0;59.0;15.0;51.0;25.0;9.0;23.0;57.0;203.0;161.0;-17.0;0.0;2.0;148.0
200;78 Employment activities;2009;320.5;62.9;201.9;51.1;19961.0;19817.0;145.0;18803.0;8031.0;8533.0;6299.0;1150.0;902.0;248.0;40.0;1044.0;1981.0;41.0;338.0;72.0;393.0;222.0;112.0;268.0;536.0;258.0;1158.0;-99.0;-30.0;-51.0;978.0
201;78 Employment activities;2010;349.3;81.4;220.2;63.9;18895.0;18787.0;109.0;18046.0;7763.0;8247.0;5906.0;1094.0;840.0;254.0;34.0;1213.0;1787.0;35.0;328.0;58.0;323.0;194.0;80.0;226.0;541.0;249.0;849.0;-16.0;-12.0;-23.0;798.0
202;78 Employment activities;2011;318.7;83.5;206.2;66.0;20724.0;20625.0;99.0;19727.0;9120.0;8473.0;6128.0;1153.0;890.0;263.0;36.0;1157.0;1860.0;35.0;325.0;69.0;331.0;206.0;83.0;246.0;565.0;275.0;997.0;28.0;-45.0;-4.0;975.0
203;78 Employment activities;2012;297.4;80.6;195.4;65.6;20198.0;20102.0;96.0;19241.0;9018.0;8158.0;5771.0;1129.0;898.0;231.0;38.0;1220.0;1755.0;34.0;314.0;70.0;305.0;191.0;75.0;233.0;533.0;311.0;957.0;5.0;-51.0;-5.0;906.0
204;78 Employment activities;2013;321.9;76.3;202.9;61.0;20300.0;20174.0;126.0;19330.0;8730.0;8748.0;6112.0;1229.0;968.0;262.0;43.0;1363.0;1631.0;30.0;287.0;63.0;273.0;161.0;63.0;225.0;529.0;221.0;971.0;15.0;-19.0;-36.0;931.0
205;781 Employment placement agencies;2009;13.5;11.0;11.2;8.9;1727.0;1713.0;14.0;1607.0;606.0;691.0;543.0;87.0;69.0;19.0;3.0;58.0;279.0;8.0;51.0;9.0;46.0;33.0;28.0;45.0;60.0;31.0;119.0;2.0;-2.0;1.0;121.0
206;781 Employment placement agencies;2010;15.5;15.7;11.0;10.8;1372.0;1363.0;9.0;1233.0;369.0;576.0;402.0;68.0;50.0;18.0;2.0;105.0;259.0;4.0;49.0;6.0;37.0;31.0;16.0;27.0;89.0;30.0;139.0;10.0;-1.0;2.0;150.0
207;781 Employment placement agencies;2011;16.7;14.3;12.2;11.6;1608.0;1599.0;9.0;1370.0;484.0;582.0;443.0;77.0;58.0;19.0;4.0;58.0;271.0;4.0;48.0;9.0;37.0;31.0;16.0;26.0;99.0;33.0;238.0;-5.0;-1.0;1.0;232.0
208;781 Employment placement agencies;2012;16.3;15.6;12.5;12.9;1721.0;1710.0;11.0;1531.0;578.0;649.0;480.0;89.0;68.0;20.0;4.0;76.0;279.0;5.0;52.0;9.0;40.0;31.0;18.0;30.0;96.0;25.0;190.0;6.0;-1.0;5.0;199.0
209;781 Employment placement agencies;2013;14.4;14.9;11.5;12.5;1646.0;1637.0;9.0;1433.0;548.0;603.0;471.0;84.0;65.0;19.0;3.0;45.0;260.0;5.0;46.0;9.0;38.0;31.0;15.0;22.0;96.0;23.0;213.0;8.0;0.0;1.0;222.0
210;782 Provision of temporary employment;2009;250.6;51.0;175.9;41.5;17794.0;17663.0;130.0;16776.0;7347.0;7528.0;5502.0;1012.0;793.0;219.0;37.0;977.0;1678.0;33.0;283.0;61.0;344.0;184.0;83.0;220.0;470.0;223.0;1018.0;-101.0;-28.0;-50.0;838.0
211;782 Provision of temporary employment;2010;281.5;64.9;194.9;52.4;16983.0;16884.0;100.0;16291.0;7264.0;7305.0;5209.0;973.0;748.0;225.0;26.0;1097.0;1505.0;31.0;276.0;52.0;284.0;159.0;63.0;195.0;445.0;217.0;692.0;-26.0;-11.0;-25.0;630.0
212;782 Provision of temporary employment;2011;256.5;67.8;176.8;53.1;18403.0;18313.0;90.0;17672.0;8478.0;7401.0;5294.0;998.0;767.0;232.0;28.0;1080.0;1555.0;30.0;271.0;59.0;290.0;168.0;65.0;214.0;459.0;238.0;731.0;33.0;-43.0;-4.0;716.0
213;782 Provision of temporary employment;2012;246.3;63.5;170.3;51.3;17803.0;17720.0;84.0;17070.0;8256.0;7093.0;4963.0;973.0;773.0;199.0;28.0;1129.0;1441.0;29.0;256.0;60.0;262.0;153.0;56.0;199.0;426.0;281.0;733.0;1.0;-50.0;-9.0;675.0
214;782 Provision of temporary employment;2013;256.6;58.9;172.1;46.4;17577.0;17461.0;116.0;16865.0;7868.0;7478.0;5105.0;1040.0;815.0;224.0;32.0;1302.0;1326.0;25.0;233.0;53.0;231.0;124.0;47.0;194.0;419.0;193.0;712.0;7.0;-19.0;-36.0;665.0
215;78203 Job pools (employment projects);2009;11.0;1.4;9.3;1.2;217.0;215.0;3.0;214.0;7.0;188.0;149.0;26.0;3.0;23.0;1.0;12.0;18.0;1.0;5.0;0.0;1.0;1.0;1.0;2.0;6.0;2.0;3.0;1.0;0.0;0.0;3.0
216;78203 Job pools (employment projects);2010;10.8;1.6;8.5;1.3;223.0;221.0;1.0;223.0;6.0;196.0;154.0;30.0;3.0;26.0;1.0;11.0;20.0;1.0;5.0;0.0;1.0;1.0;1.0;1.0;9.0;2.0;0.0;1.0;0.0;0.0;0.0
217;78203 Job pools (employment projects);2011;;;;;176.0;175.0;1.0;177.0;5.0;151.0;118.0;23.0;3.0;21.0;1.0;8.0;20.0;1.0;5.0;0.0;1.0;1.0;1.0;1.0;9.0;2.0;-1.0;2.0;0.0;0.0;-1.0
218;78203 Job pools (employment projects);2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;78203 Job pools (employment projects);2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;783 Payrolling;2009;56.4;0.9;14.7;0.7;441.0;441.0;0.0;419.0;77.0;315.0;254.0;50.0;40.0;10.0;1.0;9.0;24.0;0.0;4.0;1.0;3.0;5.0;1.0;4.0;6.0;4.0;22.0;0.0;0.0;-2.0;20.0
221;783 Payrolling;2010;52.2;0.8;14.3;0.7;540.0;540.0;0.0;522.0;130.0;366.0;296.0;53.0;42.0;11.0;6.0;11.0;23.0;0.0;3.0;1.0;3.0;4.0;1.0;4.0;7.0;3.0;18.0;0.0;-1.0;0.0;18.0
222;783 Payrolling;2011;;;;;714.0;713.0;0.0;685.0;157.0;491.0;391.0;78.0;65.0;13.0;4.0;19.0;33.0;1.0;6.0;1.0;4.0;7.0;2.0;6.0;8.0;4.0;28.0;0.0;-1.0;-1.0;26.0
223;783 Payrolling;2012;;;;;674.0;673.0;2.0;640.0;183.0;416.0;327.0;68.0;56.0;12.0;6.0;14.0;35.0;1.0;7.0;1.0;3.0;7.0;2.0;5.0;11.0;5.0;35.0;-1.0;-1.0;-1.0;32.0
224;783 Payrolling;2013;;;;;1078.0;1076.0;1.0;1032.0;314.0;667.0;537.0;105.0;87.0;18.0;8.0;17.0;45.0;1.0;8.0;1.0;5.0;7.0;2.0;9.0;14.0;6.0;46.0;-1.0;0.0;-1.0;44.0
225;79 Travel agencies, tour operators etc;2009;22.2;25.8;16.5;19.2;6623.0;6524.0;99.0;6143.0;4485.0;720.0;550.0;97.0;70.0;26.0;5.0;69.0;856.0;14.0;93.0;13.0;25.0;404.0;44.0;66.0;198.0;83.0;480.0;14.0;0.0;19.0;514.0
226;79 Travel agencies, tour operators etc;2010;22.0;25.9;16.2;18.9;7321.0;7199.0;122.0;6566.0;4689.0;778.0;582.0;113.0;86.0;28.0;5.0;78.0;1000.0;27.0;114.0;13.0;20.0;473.0;57.0;152.0;145.0;99.0;755.0;3.0;0.0;5.0;763.0
227;79 Travel agencies, tour operators etc;2011;23.4;27.4;17.3;20.3;7935.0;7855.0;81.0;7133.0;4964.0;922.0;596.0;114.0;83.0;31.0;2.0;210.0;1155.0;13.0;95.0;19.0;20.0;496.0;46.0;168.0;298.0;93.0;802.0;-2.0;-3.0;-3.0;794.0
228;79 Travel agencies, tour operators etc;2012;22.4;26.5;16.7;19.5;8358.0;8288.0;69.0;7014.0;5196.0;790.0;587.0;117.0;85.0;32.0;14.0;72.0;925.0;10.0;98.0;19.0;19.0;293.0;33.0;72.0;380.0;103.0;1343.0;-22.0;-14.0;-5.0;1303.0
229;79 Travel agencies, tour operators etc;2013;21.7;26.0;16.3;19.5;8340.0;8261.0;79.0;6642.0;4923.0;803.0;599.0;124.0;88.0;36.0;15.0;65.0;813.0;10.0;92.0;16.0;19.0;262.0;31.0;77.0;306.0;103.0;1697.0;7.0;0.0;-50.0;1655.0
230;7912 Tour operators;2009;7.2;8.3;5.4;6.2;3748.0;3724.0;24.0;3675.0;3086.0;241.0;187.0;32.0;25.0;8.0;1.0;21.0;308.0;3.0;26.0;4.0;10.0;171.0;13.0;20.0;63.0;40.0;73.0;10.0;2.0;6.0;91.0
231;7912 Tour operators;2010;6.9;8.1;5.4;6.3;3907.0;3890.0;18.0;3844.0;3264.0;245.0;186.0;35.0;26.0;9.0;1.0;23.0;298.0;3.0;26.0;5.0;7.0;168.0;13.0;21.0;54.0;36.0;64.0;2.0;1.0;1.0;67.0
232;7912 Tour operators;2011;7.4;8.6;5.8;6.7;4171.0;4161.0;9.0;4093.0;3463.0;265.0;199.0;40.0;29.0;12.0;1.0;24.0;321.0;3.0;28.0;7.0;8.0;180.0;13.0;23.0;59.0;44.0;78.0;2.0;-1.0;-2.0;77.0
233;7912 Tour operators;2012;7.0;8.2;5.5;6.4;4106.0;4099.0;7.0;4050.0;3444.0;247.0;182.0;39.0;28.0;11.0;1.0;25.0;312.0;3.0;27.0;9.0;7.0;178.0;12.0;22.0;54.0;47.0;56.0;-9.0;-12.0;5.0;40.0
234;7912 Tour operators;2013;6.5;7.9;5.0;6.0;3393.0;3388.0;5.0;3343.0;2805.0;235.0;170.0;41.0;26.0;15.0;2.0;22.0;261.0;3.0;25.0;8.0;8.0;138.0;9.0;21.0;49.0;43.0;50.0;7.0;0.0;-34.0;23.0
235;80 Security and investigation;2009;39.3;45.0;28.8;31.9;1857.0;1831.0;25.0;1711.0;162.0;1264.0;904.0;186.0;139.0;46.0;7.0;168.0;248.0;3.0;28.0;8.0;52.0;26.0;18.0;30.0;83.0;37.0;145.0;-3.0;1.0;0.0;144.0
236;80 Security and investigation;2010;37.7;43.5;29.0;32.0;1903.0;1897.0;7.0;1798.0;180.0;1309.0;952.0;194.0;146.0;48.0;3.0;160.0;271.0;3.0;28.0;6.0;51.0;20.0;20.0;27.0;114.0;39.0;105.0;-3.0;0.0;0.0;102.0
237;80 Security and investigation;2011;37.3;42.1;28.8;32.4;1960.0;1950.0;10.0;1811.0;148.0;1345.0;972.0;206.0;156.0;50.0;5.0;163.0;277.0;4.0;32.0;8.0;53.0;22.0;21.0;33.0;104.0;40.0;149.0;-9.0;-1.0;0.0;140.0
238;80 Security and investigation;2012;35.2;39.7;29.2;32.7;1989.0;1977.0;12.0;1864.0;167.0;1365.0;976.0;213.0;158.0;55.0;4.0;173.0;295.0;4.0;35.0;11.0;51.0;19.0;20.0;34.0;120.0;36.0;126.0;-12.0;0.0;1.0;115.0
239;80 Security and investigation;2013;33.6;39.0;27.2;31.5;1932.0;1926.0;7.0;1817.0;148.0;1345.0;970.0;206.0;173.0;34.0;4.0;165.0;285.0;4.0;32.0;13.0;52.0;20.0;21.0;34.0;110.0;39.0;115.0;-5.0;0.0;1.0;111.0
240;81 Cleaning activities, gardening etc.;2009;170.5;213.7;94.0;121.6;6813.0;6757.0;56.0;6039.0;1590.0;3291.0;2355.0;496.0;344.0;152.0;19.0;421.0;950.0;29.0;128.0;90.0;235.0;72.0;45.0;100.0;251.0;209.0;774.0;-47.0;-2.0;19.0;743.0
241;81 Cleaning activities, gardening etc.;2010;174.5;217.2;94.7;122.3;6988.0;6930.0;58.0;6181.0;1559.0;3436.0;2441.0;539.0;374.0;165.0;24.0;433.0;952.0;34.0;128.0;86.0;248.0;76.0;42.0;105.0;232.0;234.0;807.0;-42.0;-2.0;18.0;781.0
242;81 Cleaning activities, gardening etc.;2011;177.3;219.7;95.6;124.9;7521.0;7442.0;79.0;6635.0;1695.0;3647.0;2573.0;589.0;402.0;187.0;24.0;461.0;1042.0;32.0;138.0;101.0;287.0;76.0;44.0;101.0;263.0;252.0;886.0;-48.0;-4.0;6.0;840.0
243;81 Cleaning activities, gardening etc.;2012;178.8;218.8;98.9;127.6;7512.0;7457.0;55.0;6695.0;1754.0;3664.0;2577.0;617.0;422.0;196.0;19.0;451.0;1035.0;34.0;136.0;97.0;283.0;75.0;45.0;100.0;265.0;242.0;818.0;-47.0;-1.0;12.0;782.0
244;81 Cleaning activities, gardening etc.;2013;175.0;216.3;97.1;128.6;7798.0;7761.0;37.0;6984.0;1782.0;3897.0;2755.0;663.0;455.0;208.0;15.0;464.0;1059.0;36.0;145.0;101.0;283.0;73.0;44.0;108.0;270.0;245.0;814.0;-36.0;-1.0;-8.0;769.0
245;811 Facility management;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;811 Facility management;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;811 Facility management;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;811 Facility management;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;811 Facility management;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;812 Cleaning activities;2009;153.5;186.4;79.5;99.7;4706.0;4673.0;34.0;4229.0;831.0;2667.0;1935.0;390.0;278.0;112.0;11.0;331.0;619.0;13.0;83.0;39.0;159.0;44.0;31.0;66.0;184.0;112.0;478.0;-32.0;0.0;12.0;457.0
251;812 Cleaning activities;2010;155.3;186.1;78.9;97.5;4736.0;4696.0;40.0;4205.0;784.0;2708.0;1955.0;416.0;297.0;119.0;15.0;322.0;590.0;14.0;80.0;35.0;159.0;44.0;26.0;65.0;167.0;124.0;530.0;-22.0;-1.0;17.0;525.0
252;812 Cleaning activities;2011;157.7;188.0;78.5;98.3;5055.0;4998.0;57.0;4513.0;851.0;2878.0;2066.0;441.0;319.0;122.0;17.0;355.0;637.0;14.0;86.0;42.0;187.0;45.0;29.0;62.0;171.0;148.0;542.0;-34.0;-3.0;3.0;508.0
253;812 Cleaning activities;2012;159.6;187.5;82.3;101.0;5053.0;5015.0;39.0;4558.0;883.0;2900.0;2082.0;472.0;340.0;132.0;11.0;335.0;641.0;15.0;84.0;46.0;182.0;46.0;30.0;64.0;176.0;135.0;495.0;-32.0;-1.0;7.0;469.0
254;812 Cleaning activities;2013;154.2;182.1;79.1;99.4;4924.0;4908.0;16.0;4470.0;819.0;2911.0;2104.0;486.0;358.0;128.0;9.0;312.0;609.0;13.0;83.0;44.0;175.0;44.0;28.0;61.0;161.0;132.0;454.0;-32.0;0.0;-7.0;415.0
255;8121 General cleaning of buildings;2009;139.8;166.7;69.8;85.2;3550.0;3525.0;25.0;3234.0;534.0;2206.0;1620.0;322.0;231.0;91.0;8.0;257.0;425.0;7.0;52.0;24.0;112.0;31.0;23.0;48.0;128.0;69.0;316.0;-25.0;0.0;2.0;292.0
256;8121 General cleaning of buildings;2010;142.3;167.0;69.4;83.5;3598.0;3569.0;29.0;3243.0;528.0;2249.0;1642.0;347.0;253.0;93.0;9.0;251.0;396.0;7.0;51.0;20.0;102.0;31.0;19.0;50.0;116.0;71.0;355.0;-12.0;-1.0;8.0;351.0
257;8121 General cleaning of buildings;2011;141.3;166.6;66.9;81.9;3690.0;3650.0;41.0;3357.0;513.0;2344.0;1688.0;361.0;262.0;99.0;14.0;281.0;414.0;9.0;57.0;22.0;112.0;32.0;20.0;43.0;119.0;86.0;333.0;-23.0;-2.0;2.0;310.0
258;8121 General cleaning of buildings;2012;141.9;164.0;70.4;83.7;3659.0;3635.0;23.0;3337.0;518.0;2344.0;1697.0;384.0;279.0;105.0;8.0;256.0;402.0;9.0;55.0;24.0;101.0;32.0;20.0;45.0;116.0;73.0;321.0;-22.0;0.0;6.0;305.0
259;8121 General cleaning of buildings;2013;135.7;156.5;66.4;81.1;3546.0;3540.0;6.0;3241.0;483.0;2303.0;1686.0;390.0;291.0;99.0;7.0;220.0;376.0;7.0;52.0;20.0;105.0;28.0;19.0;41.0;105.0;79.0;305.0;-26.0;1.0;-6.0;273.0
260;813 Landscape service activities;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;813 Landscape service activities;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;813 Landscape service activities;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;813 Landscape service activities;2012;17.7;28.9;15.5;24.7;2241.0;2225.0;16.0;1976.0;825.0;697.0;446.0;135.0;75.0;60.0;6.0;109.0;359.0;18.0;42.0;50.0;97.0;26.0;13.0;33.0;80.0;95.0;265.0;-15.0;0.0;3.0;252.0
264;813 Landscape service activities;2013;17.8;29.9;15.6;25.6;2268.0;2248.0;19.0;1979.0;795.0;715.0;460.0;136.0;76.0;60.0;5.0;115.0;377.0;19.0;43.0;55.0;101.0;26.0;14.0;36.0;83.0;92.0;289.0;-6.0;0.0;0.0;282.0
265;82 Other business services;2009;38.2;53.8;26.9;35.2;3792.0;3676.0;116.0;3295.0;959.0;1322.0;881.0;173.0;116.0;57.0;11.0;257.0;791.0;42.0;159.0;37.0;53.0;75.0;41.0;106.0;278.0;223.0;496.0;-33.0;-1.0;-15.0;448.0
266;82 Other business services;2010;35.7;49.7;25.5;33.6;3849.0;3786.0;63.0;3386.0;1235.0;1301.0;879.0;175.0;121.0;55.0;10.0;238.0;648.0;36.0;151.0;39.0;46.0;83.0;39.0;91.0;162.0;202.0;463.0;-32.0;7.0;23.0;460.0
267;82 Other business services;2011;36.3;48.8;26.1;35.2;3649.0;3566.0;83.0;3254.0;1053.0;1341.0;911.0;179.0;125.0;54.0;11.0;240.0;648.0;40.0;161.0;35.0;48.0;66.0;41.0;89.0;170.0;213.0;394.0;-76.0;13.0;-35.0;297.0
268;82 Other business services;2012;36.6;49.8;26.0;35.8;3801.0;3711.0;89.0;3425.0;1195.0;1362.0;925.0;186.0;131.0;54.0;10.0;242.0;653.0;40.0;160.0;36.0;48.0;66.0;40.0;93.0;171.0;215.0;375.0;-71.0;4.0;-24.0;284.0
269;82 Other business services;2013;38.6;57.7;27.4;41.9;4177.0;4089.0;88.0;3816.0;1287.0;1553.0;1010.0;207.0;148.0;59.0;6.0;330.0;740.0;45.0;176.0;41.0;57.0;74.0;45.0;104.0;198.0;237.0;361.0;-57.0;-2.0;-35.0;267.0
270;95 Repair computers and consumergoods;2009;5.3;13.5;4.2;10.3;753.0;725.0;28.0;598.0;268.0;172.0;114.0;22.0;16.0;6.0;1.0;35.0;137.0;9.0;40.0;4.0;19.0;12.0;7.0;13.0;34.0;21.0;156.0;-16.0;1.0;6.0;147.0
271;95 Repair computers and consumergoods;2010;5.7;13.9;4.9;11.4;918.0;889.0;29.0;806.0;431.0;185.0;128.0;25.0;18.0;6.0;2.0;31.0;168.0;11.0;41.0;7.0;22.0;20.0;11.0;14.0;42.0;22.0;113.0;-10.0;-2.0;0.0;100.0
272;95 Repair computers and consumergoods;2011;5.6;14.4;4.8;11.6;926.0;903.0;23.0;745.0;387.0;185.0;127.0;26.0;18.0;8.0;2.0;30.0;152.0;10.0;50.0;6.0;19.0;15.0;12.0;12.0;29.0;20.0;181.0;-4.0;0.0;3.0;179.0
273;95 Repair computers and consumergoods;2012;5.9;14.8;4.7;11.5;960.0;936.0;24.0;769.0;392.0;200.0;132.0;28.0;20.0;8.0;2.0;37.0;157.0;10.0;46.0;9.0;19.0;15.0;9.0;14.0;36.0;20.0;191.0;-8.0;0.0;2.0;185.0
274;95 Repair computers and consumergoods;2013;5.4;14.3;4.6;11.7;917.0;901.0;16.0;772.0;370.0;206.0;141.0;31.0;22.0;9.0;2.0;32.0;170.0;13.0;52.0;7.0;22.0;18.0;12.0;13.0;34.0;26.0;145.0;4.0;0.0;6.0;155.0
275;96 Other personal services;2009;48.0;92.0;33.7;72.3;3786.0;3764.0;22.0;3014.0;802.0;1091.0;809.0;175.0;123.0;52.0;9.0;98.0;878.0;94.0;223.0;62.0;86.0;141.0;37.0;79.0;157.0;243.0;772.0;-64.0;0.0;22.0;730.0
276;96 Other personal services;2010;52.2;102.1;36.3;79.6;4171.0;4136.0;36.0;3326.0;925.0;1152.0;851.0;182.0;132.0;50.0;8.0;111.0;983.0;105.0;257.0;69.0;95.0;135.0;44.0;93.0;185.0;266.0;846.0;-57.0;-4.0;30.0;815.0
277;96 Other personal services;2011;58.0;104.1;38.8;77.8;4259.0;4236.0;23.0;3507.0;980.0;1283.0;948.0;204.0;149.0;55.0;10.0;122.0;966.0;103.0;268.0;61.0;92.0;125.0;44.0;89.0;184.0;277.0;752.0;-41.0;-6.0;22.0;728.0
278;96 Other personal services;2012;56.8;103.7;37.6;78.0;4212.0;4187.0;24.0;3409.0;893.0;1297.0;945.0;208.0;152.0;56.0;14.0;130.0;937.0;102.0;268.0;66.0;88.0;121.0;43.0;86.0;165.0;281.0;803.0;-33.0;1.0;22.0;792.0
279;96 Other personal services;2013;57.2;107.7;37.5;80.8;4295.0;4270.0;26.0;3514.0;957.0;1313.0;966.0;214.0;156.0;58.0;14.0;119.0;964.0;105.0;276.0;68.0;90.0;117.0;48.0;87.0;173.0;281.0;781.0;-23.0;1.0;22.0;782.0
