ID;Countries;SIC2008;Periods;ForeignSubsidiary_1;Employees_2;Revenue_3;PersonnelCosts_4;Investments_5
4443;Bahrain;323705;2022;;;;;
4444;Bahrain;323700;2021;;;;;
4445;Bahrain;323700;2022;;;;;
4446;Bahrain;324600;2021;;;;;
4447;Bahrain;324600;2022;;;;;
4448;Bahrain;328100;2021;;;;;
4449;Bahrain;328100;2022;;;;;
4450;Bahrain;328105;2021;;;;;
4451;Bahrain;328105;2022;;;;;
4452;Bahrain;330300;2021;;;;;
4453;Bahrain;330300;2022;;;;;
4454;Bahrain;332900;2021;;;;;
4455;Bahrain;332900;2022;;;;;
4456;Bahrain;334800;2021;;;;;
4457;Bahrain;334800;2022;;;;;
4458;Bahrain;336500;2021;;;;;
4459;Bahrain;336500;2022;;;;;
4460;Bahrain;339200;2021;;;;;
4461;Bahrain;339200;2022;;;;;
4462;Bahrain;339205;2021;;;;;
4463;Bahrain;339205;2022;;;;;
4464;Bahrain;340200;2021;;;;;
4465;Bahrain;340200;2022;;;;;
4466;Bahrain;341600;2021;;;;;
4467;Bahrain;341600;2022;;;;;
4468;Bahrain;342400;2021;;;;;
4469;Bahrain;342400;2022;;;;;
4470;Bahrain;344400;2021;;;;;
4471;Bahrain;344400;2022;;;;;
4472;Bahrain;346600;2021;;;;;
4473;Bahrain;346600;2022;;;;;
4474;Bahrain;346700;2021;;;;;
4475;Bahrain;346700;2022;;;;;
4476;Bahrain;348000;2021;;;;;
4477;Bahrain;348000;2022;;;;;
4478;Bahrain;348100;2021;;;;;
4479;Bahrain;348100;2022;;;;;
4480;Bahrain;348400;2021;;;;;
4481;Bahrain;348400;2022;;;;;
4482;Bahrain;348700;2021;;;;;
4483;Bahrain;348700;2022;;;;;
4484;Bahrain;349700;2021;;;;;
4485;Bahrain;349700;2022;;;;;
4486;Bahrain;350000;2021;;;;;
4487;Bahrain;350000;2022;;;;;
4488;Bahrain;350100;2021;;;;;
4489;Bahrain;350100;2022;;;;;
4490;Bahrain;350600;2021;;;;;
4491;Bahrain;350600;2022;;;;;
4492;Bahrain;351900;2021;;;;;
4493;Bahrain;351900;2022;;;;;
4494;Bahrain;354200;2021;2.0;;;;
4495;Bahrain;354200;2022;;;;;
4496;Bahrain;354300;2021;;;;;
4497;Bahrain;354300;2022;;;;;
4498;Bahrain;356900;2021;2.0;;;;
4499;Bahrain;356900;2022;;;;;
4500;Bahrain;371600;2021;;;;;
4501;Bahrain;371600;2022;;;;;
4502;Bahrain;383100;2021;;;;;
4503;Bahrain;383100;2022;;;;;
4504;Bahrain;383200;2021;;;;;
4505;Bahrain;383200;2022;;;;;
4506;Bahrain;384900;2021;;;;;
4507;Bahrain;384900;2022;;;;;
4508;Bahrain;386300;2021;;;;;
4509;Bahrain;386300;2022;;;;;
4510;Bahrain;386800;2021;;;;;
4511;Bahrain;386800;2022;;;;;
4512;Bahrain;388400;2021;;;;;
4513;Bahrain;388400;2022;;;;;
4514;Bahrain;389100;2021;;;;;
4515;Bahrain;389100;2022;;;;;
4516;Bahrain;389200;2021;;;;;
4517;Bahrain;389200;2022;;;;;
4518;Bahrain;390500;2021;;;;;
4519;Bahrain;390500;2022;;;;;
4520;Bahrain;391600;2021;;;;;
4521;Bahrain;391600;2022;;;;;
4522;Bahrain;391700;2021;;;;;
4523;Bahrain;391700;2022;;;;;
4524;Bahrain;800021;2021;;;;;
4525;Bahrain;800021;2022;;;;;
4526;Bahrain;392600;2021;;;;;
4527;Bahrain;392600;2022;;;;;
4528;Bahrain;393600;2021;;;;;
4529;Bahrain;393600;2022;;;;;
4530;Bahrain;394100;2021;;;;;
4531;Bahrain;394100;2022;;;;;
4532;Bahrain;395005;2021;;;;;
4533;Bahrain;395005;2022;;;;;
4534;Bahrain;395000;2021;;;;;
4535;Bahrain;395000;2022;;;;;
4536;Bahrain;395600;2021;;;;;
4537;Bahrain;395600;2022;;;;;
4538;Bahrain;396300;2021;;;;;
4539;Bahrain;396300;2022;;;;;
4540;Bahrain;396400;2021;;;;;
4541;Bahrain;396400;2022;;;;;
4542;Bahrain;398700;2021;;;;;
4543;Bahrain;398700;2022;;;;;
4544;Bahrain;400200;2021;;;;;
4545;Bahrain;400200;2022;;;;;
4546;Bahrain;402000;2021;;;;;
4547;Bahrain;402000;2022;;;;;
4548;Bahrain;402100;2021;;;;;
4549;Bahrain;402100;2022;;;;;
4550;Bahrain;403300;2021;;;;;
4551;Bahrain;403300;2022;;;;;
4552;Bahrain;403400;2021;;;;;
4553;Bahrain;403400;2022;;;;;
4554;Bahrain;403405;2021;;;;;
4555;Bahrain;403405;2022;;;;;
4556;Bahrain;404900;2021;;;;;
4557;Bahrain;404900;2022;;;;;
4558;Bahrain;405900;2021;;;;;
4559;Bahrain;405900;2022;;;;;
4560;Bahrain;406800;2021;;;;;
4561;Bahrain;406800;2022;;;;;
4562;Bahrain;408105;2021;;;;;
4563;Bahrain;408105;2022;;;;;
4564;Bahrain;408100;2021;;;;;
4565;Bahrain;408100;2022;;;;;
4566;Bahrain;408700;2021;;;;;
4567;Bahrain;408700;2022;;;;;
4568;Bahrain;409900;2021;;;;;
4569;Bahrain;409900;2022;;;;;
4570;Bahrain;410200;2021;;;;;
4571;Bahrain;410200;2022;;;;;
4572;Bahrain;410300;2021;;;;;
4573;Bahrain;410300;2022;;;;;
4574;Bahrain;800010;2021;;;;;
4575;Bahrain;800010;2022;;;;;
4576;Bahrain;412700;2021;;;;;
4577;Bahrain;412700;2022;;;;;
4578;Bahrain;413700;2021;;;;;
4579;Bahrain;413700;2022;;;;;
4580;Bahrain;414300;2021;;;;;
4581;Bahrain;414300;2022;;;;;
4582;Bahrain;415000;2021;;;;;
4583;Bahrain;415000;2022;;;;;
4584;Bahrain;415900;2021;;;;;
4585;Bahrain;415900;2022;;;;;
4586;Bahrain;419000;2021;;;;;
4587;Bahrain;419000;2022;;;;;
4588;Bahrain;419100;2021;;;;;
4589;Bahrain;419100;2022;;;;;
4590;Bahrain;422400;2021;;;;;
4591;Bahrain;422400;2022;;;;;
4592;Bahrain;422500;2021;;;;;
4593;Bahrain;422500;2022;;;;;
4594;Bahrain;425300;2021;;;;;
4595;Bahrain;425300;2022;;;;;
4596;Bahrain;425305;2021;;;;;
4597;Bahrain;425305;2022;;;;;
4598;Bahrain;426600;2021;;;;;
4599;Bahrain;426600;2022;;;;;
4600;Bahrain;428100;2021;;;;;
4601;Bahrain;428100;2022;;;;;
4602;Bahrain;428200;2021;;;;;
4603;Bahrain;428200;2022;;;;;
4604;Bahrain;429300;2021;;;;;
4605;Bahrain;429300;2022;;;;;
4606;Bahrain;430600;2021;;;;;
4607;Bahrain;430600;2022;;;;;
4608;Bahrain;431100;2021;;;;;
4609;Bahrain;431100;2022;;;;;
4610;Bahrain;435500;2021;;;;;
4611;Bahrain;435500;2022;;;;;
4612;Bahrain;435600;2021;;;;;
4613;Bahrain;435600;2022;;;;;
4614;Bahrain;437500;2021;;;;;
4615;Bahrain;437500;2022;;;;;
4616;Bahrain;438600;2021;;;;;
4617;Bahrain;438600;2022;;;;;
4618;Bahrain;441000;2021;;;;;
4619;Bahrain;441000;2022;;;;;
4620;Bangladesh;305700;2021;;;;;
4621;Bangladesh;305700;2022;;;;;
4622;Bangladesh;800012;2021;10.0;2.0;594.0;66.0;
4623;Bangladesh;800012;2022;24.0;4.0;;51.0;
4624;Bangladesh;305800;2021;;;;;
4625;Bangladesh;305800;2022;;;;;
4626;Bangladesh;306300;2021;;;;;
4627;Bangladesh;306300;2022;;;;;
4628;Bangladesh;307000;2021;;;;;
4629;Bangladesh;307000;2022;;;;;
4630;Bangladesh;307500;2021;;;;;
4631;Bangladesh;307500;2022;;;;;
4632;Bangladesh;307610;2021;;;;;
4633;Bangladesh;307610;2022;;;;;
4634;Bangladesh;307600;2021;;;;;
4635;Bangladesh;307600;2022;;;;;
4636;Bangladesh;311300;2021;;;;;
4637;Bangladesh;311300;2022;;;;;
4638;Bangladesh;312200;2021;;;;;
4639;Bangladesh;312200;2022;;;;;
4640;Bangladesh;312500;2021;;;;;
4641;Bangladesh;312500;2022;;;;;
4642;Bangladesh;312505;2021;;;;;
4643;Bangladesh;312505;2022;;;;;
4644;Bangladesh;314000;2021;;;;;
4645;Bangladesh;314000;2022;;;;;
4646;Bangladesh;315200;2021;;;;;
4647;Bangladesh;315200;2022;;;;;
4648;Bangladesh;315810;2021;;;;;
4649;Bangladesh;315810;2022;;;;;
4650;Bangladesh;315800;2021;;;;;
4651;Bangladesh;315800;2022;;;;;
4652;Bangladesh;317100;2021;;;;;
4653;Bangladesh;317100;2022;;;;;
4654;Bangladesh;318600;2021;;;;;
4655;Bangladesh;318600;2022;;;;;
4656;Bangladesh;320000;2021;;;;;
4657;Bangladesh;320000;2022;;;;;
4658;Bangladesh;320700;2021;;;;;
4659;Bangladesh;320700;2022;;;;;
4660;Bangladesh;323200;2021;;;;;
4661;Bangladesh;323200;2022;;;;;
4662;Bangladesh;323705;2021;;;;;
4663;Bangladesh;323705;2022;;;;;
4664;Bangladesh;323700;2021;;;;;
4665;Bangladesh;323700;2022;;;;;
4666;Bangladesh;324600;2021;;;;;
4667;Bangladesh;324600;2022;;;;;
4668;Bangladesh;328100;2021;;;;;
4669;Bangladesh;328100;2022;;;;;
4670;Bangladesh;328105;2021;;;;;
4671;Bangladesh;328105;2022;;;;;
4672;Bangladesh;330300;2021;;;;;
4673;Bangladesh;330300;2022;;;;;
4674;Bangladesh;332900;2021;;;;;
4675;Bangladesh;332900;2022;;;;;
4676;Bangladesh;334800;2021;;;;;
4677;Bangladesh;334800;2022;;;;;
4678;Bangladesh;336500;2021;;;;;
4679;Bangladesh;336500;2022;;;;;
4680;Bangladesh;339200;2021;;;;;
4681;Bangladesh;339200;2022;;;;;
4682;Bangladesh;339205;2021;;;;;
4683;Bangladesh;339205;2022;;;;;
4684;Bangladesh;340200;2021;;;;;
4685;Bangladesh;340200;2022;;;;;
4686;Bangladesh;341600;2021;;;;;
4687;Bangladesh;341600;2022;;;;;
4688;Bangladesh;342400;2021;;;;;
4689;Bangladesh;342400;2022;;;;;
4690;Bangladesh;344400;2021;;;;;
4691;Bangladesh;344400;2022;;;;;
4692;Bangladesh;346600;2021;;;;;
4693;Bangladesh;346600;2022;;;;;
4694;Bangladesh;346700;2021;;;;;
4695;Bangladesh;346700;2022;;;;;
4696;Bangladesh;348000;2021;;;;;
4697;Bangladesh;348000;2022;;;;;
4698;Bangladesh;348100;2021;;;;;
4699;Bangladesh;348100;2022;;;;;
4700;Bangladesh;348400;2021;;;;;
4701;Bangladesh;348400;2022;;;;;
4702;Bangladesh;348700;2021;;;;;
4703;Bangladesh;348700;2022;;;;;
4704;Bangladesh;349700;2021;;;;;
4705;Bangladesh;349700;2022;;;;;
4706;Bangladesh;350000;2021;;;;;
4707;Bangladesh;350000;2022;;;;;
4708;Bangladesh;350100;2021;;;;;
4709;Bangladesh;350100;2022;;;;;
4710;Bangladesh;350600;2021;;;;;
4711;Bangladesh;350600;2022;;;;;
4712;Bangladesh;351900;2021;;;;;
4713;Bangladesh;351900;2022;;;;;
4714;Bangladesh;354200;2021;2.0;;2.0;1.0;
4715;Bangladesh;354200;2022;;;;;
4716;Bangladesh;354300;2021;;;;;
4717;Bangladesh;354300;2022;;;;;
4718;Bangladesh;356900;2021;2.0;;2.0;1.0;
4719;Bangladesh;356900;2022;;;;;
4720;Bangladesh;371600;2021;;;;;
4721;Bangladesh;371600;2022;;;;;
4722;Bangladesh;383100;2021;;;;;
4723;Bangladesh;383100;2022;;;;;
4724;Bangladesh;383200;2021;;;;;
4725;Bangladesh;383200;2022;;;;;
4726;Bangladesh;384900;2021;;;;;
4727;Bangladesh;384900;2022;;;;;
4728;Bangladesh;386300;2021;;;;;
4729;Bangladesh;386300;2022;;;;;
4730;Bangladesh;386800;2021;;;;;
4731;Bangladesh;386800;2022;;;;;
4732;Bangladesh;388400;2021;;;;;
4733;Bangladesh;388400;2022;;;;;
4734;Bangladesh;389100;2021;;;;;
4735;Bangladesh;389100;2022;;;;;
4736;Bangladesh;389200;2021;;;;;
4737;Bangladesh;389200;2022;;;;;
4738;Bangladesh;390500;2021;;;;;
4739;Bangladesh;390500;2022;;;;;
4740;Bangladesh;391600;2021;;;;;
4741;Bangladesh;391600;2022;;;;;
4742;Bangladesh;391700;2021;;;;;
4743;Bangladesh;391700;2022;;;;;
4744;Bangladesh;800021;2021;;;;;
4745;Bangladesh;800021;2022;;;;;
4746;Bangladesh;392600;2021;;;;;
4747;Bangladesh;392600;2022;;;;;
4748;Bangladesh;393600;2021;;;;;
4749;Bangladesh;393600;2022;;;;;
4750;Bangladesh;394100;2021;;;;;
4751;Bangladesh;394100;2022;;;;;
4752;Bangladesh;395005;2021;;;;;
4753;Bangladesh;395005;2022;;;;;
4754;Bangladesh;395000;2021;;;;;
4755;Bangladesh;395000;2022;;;;;
4756;Bangladesh;395600;2021;;;;;
4757;Bangladesh;395600;2022;;;;;
4758;Bangladesh;396300;2021;;;;;
4759;Bangladesh;396300;2022;;;;;
4760;Bangladesh;396400;2021;;;;;
4761;Bangladesh;396400;2022;;;;;
4762;Bangladesh;398700;2021;;;;;
4763;Bangladesh;398700;2022;;;;;
4764;Bangladesh;400200;2021;;;;;
4765;Bangladesh;400200;2022;;;;;
4766;Bangladesh;402000;2021;;;;;
4767;Bangladesh;402000;2022;;;;;
4768;Bangladesh;402100;2021;;;;;
4769;Bangladesh;402100;2022;;;;;
4770;Bangladesh;403300;2021;4.0;1.0;5.0;5.0;1.0
4771;Bangladesh;403300;2022;13.0;;12.0;5.0;1.0
4772;Bangladesh;403400;2021;;;;;
4773;Bangladesh;403400;2022;;;;;
4774;Bangladesh;403405;2021;;;;;
4775;Bangladesh;403405;2022;;;;;
4776;Bangladesh;404900;2021;;;;;
4777;Bangladesh;404900;2022;;;;;
4778;Bangladesh;405900;2021;;;;;
4779;Bangladesh;405900;2022;;;;;
4780;Bangladesh;406800;2021;;;;;
4781;Bangladesh;406800;2022;;;;;
4782;Bangladesh;408105;2021;;;;;
4783;Bangladesh;408105;2022;;;;;
4784;Bangladesh;408100;2021;;;;;
4785;Bangladesh;408100;2022;;;;;
4786;Bangladesh;408700;2021;;;;;
4787;Bangladesh;408700;2022;;;;;
4788;Bangladesh;409900;2021;;;;;
4789;Bangladesh;409900;2022;;;;;
4790;Bangladesh;410200;2021;;;;;
4791;Bangladesh;410200;2022;;;;;
4792;Bangladesh;410300;2021;;;;;
4793;Bangladesh;410300;2022;;;;;
4794;Bangladesh;800010;2021;;;;;
4795;Bangladesh;800010;2022;;;;;
4796;Bangladesh;412700;2021;;;;;
4797;Bangladesh;412700;2022;;;;;
4798;Bangladesh;413700;2021;;;;;
4799;Bangladesh;413700;2022;;;;;
4800;Bangladesh;414300;2021;;;;;
4801;Bangladesh;414300;2022;;;;;
4802;Bangladesh;415000;2021;;;;;
4803;Bangladesh;415000;2022;;;;;
4804;Bangladesh;415900;2021;;;;;
4805;Bangladesh;415900;2022;;;;;
4806;Bangladesh;419000;2021;;;;;
4807;Bangladesh;419000;2022;;;;;
4808;Bangladesh;419100;2021;;;;;
4809;Bangladesh;419100;2022;;;;;
4810;Bangladesh;422400;2021;;;;;
4811;Bangladesh;422400;2022;;;;;
4812;Bangladesh;422500;2021;;;;;
4813;Bangladesh;422500;2022;;;;;
4814;Bangladesh;425300;2021;;;;;
4815;Bangladesh;425300;2022;;;;;
4816;Bangladesh;425305;2021;;;;;
4817;Bangladesh;425305;2022;;;;;
4818;Bangladesh;426600;2021;;;;;
4819;Bangladesh;426600;2022;;;;;
4820;Bangladesh;428100;2021;;;;;
4821;Bangladesh;428100;2022;;;;;
4822;Bangladesh;428200;2021;;;;;
4823;Bangladesh;428200;2022;;;;;
4824;Bangladesh;429300;2021;;;;;
4825;Bangladesh;429300;2022;;;;;
4826;Bangladesh;430600;2021;;;;;
4827;Bangladesh;430600;2022;;;;;
4828;Bangladesh;431100;2021;;;;;
4829;Bangladesh;431100;2022;;;;;
4830;Bangladesh;435500;2021;;;;;
4831;Bangladesh;435500;2022;;;;;
4832;Bangladesh;435600;2021;;;;;
4833;Bangladesh;435600;2022;;;;;
4834;Bangladesh;437500;2021;;;;;
4835;Bangladesh;437500;2022;;;;;
4836;Bangladesh;438600;2021;;;;;
4837;Bangladesh;438600;2022;;;;;
4838;Bangladesh;441000;2021;;;;;
4839;Bangladesh;441000;2022;;;;;
4840;Barbados;305700;2021;;;;;
4841;Barbados;305700;2022;;;;;
4842;Barbados;800012;2021;;;;;
4843;Barbados;800012;2022;;;;;
4844;Barbados;305800;2021;;;;;
4845;Barbados;305800;2022;;;;;
4846;Barbados;306300;2021;;;;;
4847;Barbados;306300;2022;;;;;
4848;Barbados;307000;2021;;;;;
4849;Barbados;307000;2022;;;;;
4850;Barbados;307500;2021;;;;;
4851;Barbados;307500;2022;;;;;
4852;Barbados;307610;2021;;;;;
4853;Barbados;307610;2022;;;;;
4854;Barbados;307600;2021;;;;;
4855;Barbados;307600;2022;;;;;
4856;Barbados;311300;2021;;;;;
4857;Barbados;311300;2022;;;;;
4858;Barbados;312200;2021;;;;;
4859;Barbados;312200;2022;;;;;
4860;Barbados;312500;2021;;;;;
4861;Barbados;312500;2022;;;;;
4862;Barbados;312505;2021;;;;;
4863;Barbados;312505;2022;;;;;
4864;Barbados;314000;2021;;;;;
4865;Barbados;314000;2022;;;;;
4866;Barbados;315200;2021;;;;;
4867;Barbados;315200;2022;;;;;
4868;Barbados;315810;2021;;;;;
4869;Barbados;315810;2022;;;;;
4870;Barbados;315800;2021;;;;;
4871;Barbados;315800;2022;;;;;
4872;Barbados;317100;2021;;;;;
4873;Barbados;317100;2022;;;;;
4874;Barbados;318600;2021;;;;;
4875;Barbados;318600;2022;;;;;
4876;Barbados;320000;2021;;;;;
4877;Barbados;320000;2022;;;;;
4878;Barbados;320700;2021;;;;;
4879;Barbados;320700;2022;;;;;
4880;Barbados;323200;2021;;;;;
4881;Barbados;323200;2022;;;;;
4882;Barbados;323705;2021;;;;;
4883;Barbados;323705;2022;;;;;
4884;Barbados;323700;2021;;;;;
4885;Barbados;323700;2022;;;;;
4886;Barbados;324600;2021;;;;;
4887;Barbados;324600;2022;;;;;
4888;Barbados;328100;2021;;;;;
4889;Barbados;328100;2022;;;;;
4890;Barbados;328105;2021;;;;;
4891;Barbados;328105;2022;;;;;
4892;Barbados;330300;2021;;;;;
4893;Barbados;330300;2022;;;;;
4894;Barbados;332900;2021;;;;;
4895;Barbados;332900;2022;;;;;
4896;Barbados;334800;2021;;;;;
4897;Barbados;334800;2022;;;;;
4898;Barbados;336500;2021;;;;;
4899;Barbados;336500;2022;;;;;
4900;Barbados;339200;2021;;;;;
4901;Barbados;339200;2022;;;;;
4902;Barbados;339205;2021;;;;;
4903;Barbados;339205;2022;;;;;
4904;Barbados;340200;2021;;;;;
4905;Barbados;340200;2022;;;;;
4906;Barbados;341600;2021;;;;;
4907;Barbados;341600;2022;;;;;
4908;Barbados;342400;2021;;;;;
4909;Barbados;342400;2022;;;;;
4910;Barbados;344400;2021;;;;;
4911;Barbados;344400;2022;;;;;
4912;Barbados;346600;2021;;;;;
4913;Barbados;346600;2022;;;;;
4914;Barbados;346700;2021;;;;;
4915;Barbados;346700;2022;;;;;
4916;Barbados;348000;2021;;;;;
4917;Barbados;348000;2022;;;;;
4918;Barbados;348100;2021;;;;;
4919;Barbados;348100;2022;;;;;
4920;Barbados;348400;2021;;;;;
4921;Barbados;348400;2022;;;;;
4922;Barbados;348700;2021;;;;;
4923;Barbados;348700;2022;;;;;
4924;Barbados;349700;2021;;;;;
4925;Barbados;349700;2022;;;;;
4926;Barbados;350000;2021;;;;;
4927;Barbados;350000;2022;;;;;
4928;Barbados;350100;2021;;;;;
4929;Barbados;350100;2022;;;;;
4930;Barbados;350600;2021;;;;;
4931;Barbados;350600;2022;;;;;
4932;Barbados;351900;2021;;;;;
4933;Barbados;351900;2022;;;;;
4934;Barbados;354200;2021;;;;;
4935;Barbados;354200;2022;;;;;
4936;Barbados;354300;2021;;;;;
4937;Barbados;354300;2022;;;;;
4938;Barbados;356900;2021;;;;;
4939;Barbados;356900;2022;;;;;
4940;Barbados;371600;2021;;;;;
4941;Barbados;371600;2022;;;;;
4942;Barbados;383100;2021;;;;;
4943;Barbados;383100;2022;;;;;
4944;Barbados;383200;2021;;;;;
4945;Barbados;383200;2022;;;;;
4946;Barbados;384900;2021;;;;;
4947;Barbados;384900;2022;;;;;
4948;Barbados;386300;2021;;;;;
4949;Barbados;386300;2022;;;;;
4950;Barbados;386800;2021;;;;;
4951;Barbados;386800;2022;;;;;
4952;Barbados;388400;2021;;;;;
4953;Barbados;388400;2022;;;;;
4954;Barbados;389100;2021;;;;;
4955;Barbados;389100;2022;;;;;
4956;Barbados;389200;2021;;;;;
4957;Barbados;389200;2022;;;;;
4958;Barbados;390500;2021;;;;;
4959;Barbados;390500;2022;;;;;
4960;Barbados;391600;2021;;;;;
4961;Barbados;391600;2022;;;;;
4962;Barbados;391700;2021;;;;;
4963;Barbados;391700;2022;;;;;
4964;Barbados;800021;2021;;;;;
4965;Barbados;800021;2022;;;;;
4966;Barbados;392600;2021;;;;;
4967;Barbados;392600;2022;;;;;
4968;Barbados;393600;2021;;;;;
4969;Barbados;393600;2022;;;;;
4970;Barbados;394100;2021;;;;;
4971;Barbados;394100;2022;;;;;
4972;Barbados;395005;2021;;;;;
4973;Barbados;395005;2022;;;;;
4974;Barbados;395000;2021;;;;;
4975;Barbados;395000;2022;;;;;
4976;Barbados;395600;2021;;;;;
4977;Barbados;395600;2022;;;;;
4978;Barbados;396300;2021;;;;;
4979;Barbados;396300;2022;;;;;
4980;Barbados;396400;2021;;;;;
4981;Barbados;396400;2022;;;;;
4982;Barbados;398700;2021;;;;;
4983;Barbados;398700;2022;;;;;
4984;Barbados;400200;2021;;;;;
4985;Barbados;400200;2022;;;;;
4986;Barbados;402000;2021;;;;;
4987;Barbados;402000;2022;;;;;
4988;Barbados;402100;2021;;;;;
4989;Barbados;402100;2022;;;;;
4990;Barbados;403300;2021;;;;;
4991;Barbados;403300;2022;;;;;
4992;Barbados;403400;2021;;;;;
4993;Barbados;403400;2022;;;;;
4994;Barbados;403405;2021;;;;;
4995;Barbados;403405;2022;;;;;
4996;Barbados;404900;2021;;;;;
4997;Barbados;404900;2022;;;;;
4998;Barbados;405900;2021;;;;;
4999;Barbados;405900;2022;;;;;
5000;Barbados;406800;2021;;;;;
5001;Barbados;406800;2022;;;;;
5002;Barbados;408105;2021;;;;;
5003;Barbados;408105;2022;;;;;
5004;Barbados;408100;2021;;;;;
5005;Barbados;408100;2022;;;;;
5006;Barbados;408700;2021;;;;;
5007;Barbados;408700;2022;;;;;
5008;Barbados;409900;2021;;;;;
5009;Barbados;409900;2022;;;;;
5010;Barbados;410200;2021;;;;;
5011;Barbados;410200;2022;;;;;
5012;Barbados;410300;2021;;;;;
5013;Barbados;410300;2022;;;;;
5014;Barbados;800010;2021;;;;;
5015;Barbados;800010;2022;;;;;
5016;Barbados;412700;2021;;;;;
5017;Barbados;412700;2022;;;;;
5018;Barbados;413700;2021;;;;;
5019;Barbados;413700;2022;;;;;
5020;Barbados;414300;2021;;;;;
5021;Barbados;414300;2022;;;;;
5022;Barbados;415000;2021;;;;;
5023;Barbados;415000;2022;;;;;
5024;Barbados;415900;2021;;;;;
5025;Barbados;415900;2022;;;;;
5026;Barbados;419000;2021;;;;;
5027;Barbados;419000;2022;;;;;
5028;Barbados;419100;2021;;;;;
5029;Barbados;419100;2022;;;;;
5030;Barbados;422400;2021;;;;;
5031;Barbados;422400;2022;;;;;
5032;Barbados;422500;2021;;;;;
5033;Barbados;422500;2022;;;;;
5034;Barbados;425300;2021;;;;;
5035;Barbados;425300;2022;;;;;
5036;Barbados;425305;2021;;;;;
5037;Barbados;425305;2022;;;;;
5038;Barbados;426600;2021;;;;;
5039;Barbados;426600;2022;;;;;
5040;Barbados;428100;2021;;;;;
5041;Barbados;428100;2022;;;;;
5042;Barbados;428200;2021;;;;;
5043;Barbados;428200;2022;;;;;
5044;Barbados;429300;2021;;;;;
5045;Barbados;429300;2022;;;;;
5046;Barbados;430600;2021;;;;;
5047;Barbados;430600;2022;;;;;
5048;Barbados;431100;2021;;;;;
5049;Barbados;431100;2022;;;;;
5050;Barbados;435500;2021;;;;;
5051;Barbados;435500;2022;;;;;
5052;Barbados;435600;2021;;;;;
5053;Barbados;435600;2022;;;;;
5054;Barbados;437500;2021;;;;;
5055;Barbados;437500;2022;;;;;
5056;Barbados;438600;2021;;;;;
5057;Barbados;438600;2022;;;;;
5058;Barbados;441000;2021;;;;;
5059;Barbados;441000;2022;;;;;
5060;Belgium;305700;2021;5.0;;;1.0;1.0
5061;Belgium;305700;2022;7.0;;34.0;;
5062;Belgium;800012;2021;2250.0;101.0;37955.0;5973.0;2573.0
5063;Belgium;800012;2022;2215.0;96.0;44215.0;5951.0;3282.0
5064;Belgium;305800;2021;;;;;
5065;Belgium;305800;2022;;;;;
5066;Belgium;306300;2021;;;;;
5067;Belgium;306300;2022;;;;;
5068;Belgium;307000;2021;;;;;
5069;Belgium;307000;2022;;;;;
5070;Belgium;307500;2021;287.0;13.0;5526.0;913.0;306.0
5071;Belgium;307500;2022;271.0;13.0;7539.0;1014.0;298.0
5072;Belgium;307610;2021;73.0;6.0;2196.0;418.0;243.0
5073;Belgium;307610;2022;74.0;7.0;3258.0;492.0;198.0
5074;Belgium;307600;2021;60.0;5.0;2006.0;354.0;200.0
5075;Belgium;307600;2022;;;;;
5076;Belgium;311300;2021;14.0;1.0;189.0;64.0;43.0
5077;Belgium;311300;2022;;;;;
5078;Belgium;312200;2021;;;;;
5079;Belgium;312200;2022;;;;;
5080;Belgium;312500;2021;;;36.0;7.0;
5081;Belgium;312500;2022;;;;;
5082;Belgium;312505;2021;6.0;;;;
5083;Belgium;312505;2022;;;;;
5084;Belgium;314000;2021;;;;;
5085;Belgium;314000;2022;;;;;
5086;Belgium;315200;2021;;;;;
5087;Belgium;315200;2022;;;;;
5088;Belgium;315810;2021;22.0;1.0;222.0;35.0;5.0
5089;Belgium;315810;2022;8.0;;181.0;20.0;8.0
5090;Belgium;315800;2021;14.0;;112.0;18.0;3.0
5091;Belgium;315800;2022;;;;;
5092;Belgium;317100;2021;;;;;
5093;Belgium;317100;2022;;;;;
5094;Belgium;318600;2021;8.0;;111.0;17.0;3.0
5095;Belgium;318600;2022;;;;;
5096;Belgium;320000;2021;;;;;
5097;Belgium;320000;2022;;;;;
5098;Belgium;320700;2021;10.0;1.0;208.0;59.0;8.0
5099;Belgium;320700;2022;6.0;;168.0;37.0;2.0
5100;Belgium;323200;2021;2.0;;;;
5101;Belgium;323200;2022;9.0;;;;
5102;Belgium;323705;2021;17.0;;107.0;23.0;8.0
5103;Belgium;323705;2022;18.0;1.0;162.0;41.0;18.0
5104;Belgium;323700;2021;;;;;
5105;Belgium;323700;2022;;;;;17.0
5106;Belgium;324600;2021;;;;;
5107;Belgium;324600;2022;;;;;
5108;Belgium;328100;2021;2.0;;107.0;9.0;
5109;Belgium;328100;2022;;;;;
5110;Belgium;328105;2021;44.0;2.0;1016.0;116.0;23.0
5111;Belgium;328105;2022;58.0;2.0;1155.0;124.0;51.0
5112;Belgium;330300;2021;42.0;2.0;909.0;107.0;
5113;Belgium;330300;2022;;;;;
5114;Belgium;332900;2021;4.0;;8.0;3.0;
5115;Belgium;332900;2022;8.0;;24.0;5.0;
5116;Belgium;334800;2021;4.0;1.0;146.0;57.0;
5117;Belgium;334800;2022;;;;;
5118;Belgium;336500;2021;8.0;;91.0;29.0;2.0
5119;Belgium;336500;2022;9.0;1.0;134.0;44.0;6.0
