ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
215;Totaal mannen en vrouwen;Totaal leeftijd;1974;109250
216;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 1 (5 dagen);1645
217;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 2;2319
218;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 3;2489
219;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 4;2468
220;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 5;2500
221;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 6;2484
222;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 7;2499
223;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 8;2341
224;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 9;2318
225;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 10;2179
226;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 11;2182
227;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 12;2168
228;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 13;2211
229;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 14;2134
230;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 15;2205
231;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 16;2144
232;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 17;2133
233;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 18;2072
234;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 19;2100
235;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 20;2052
236;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 21;2087
237;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 22;2119
238;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 23;2188
239;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 24;2260
240;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 25;2094
241;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 26;2035
242;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 27;1997
243;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 28;2100
