ID;OutputPrices;SIC2008;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
6276;Total sales;19-22 Refineries and chemistry;2014 November;111.0;-3.5;-6.2;76742
6277;Total sales;19-22 Refineries and chemistry;2014 December;101.6;-8.5;-14.7;76742
6278;Total sales;19-22 Refineries and chemistry;2014;116.3;;-4.0;76742
6279;Total sales;19-22 Refineries and chemistry;2015 January;94.7;-6.8;-20.3;76742
6280;Total sales;19-22 Refineries and chemistry;2015 February;99.2;4.8;-16.6;76742
6281;Total sales;19-22 Refineries and chemistry;2015 March;102.0;2.9;-13.3;76742
6282;Total sales;19-22 Refineries and chemistry;2015 April;105.3;3.3;-11.1;76742
6283;Total sales;19-22 Refineries and chemistry;2015 May;108.0;2.5;-9.3;76742
6284;Total sales;19-22 Refineries and chemistry;2015 June;108.2;0.2;-9.7;76742
6285;Total sales;19-22 Refineries and chemistry;2015 July;106.1;-1.9;-11.1;76742
6286;Total sales;19-22 Refineries and chemistry;2015 August;100.3;-5.5;-15.3;76742
6287;Total sales;19-22 Refineries and chemistry;2015 September;96.9;-3.4;-17.9;76742
6288;Total sales;19-22 Refineries and chemistry;2015 October;94.7;-2.3;-17.7;76742
6289;Total sales;19-22 Refineries and chemistry;2015 November;94.4;-0.3;-14.9;76742
6290;Total sales;19-22 Refineries and chemistry;2015 December;90.4;-4.2;-11.0;76742
6291;Total sales;19-22 Refineries and chemistry;2015;100.0;;-14.0;76742
6292;Total sales;19-22 Refineries and chemistry;2016 January;86.4;-4.4;-8.7;76742
6293;Total sales;19-22 Refineries and chemistry;2016 February;84.7;-2.0;-14.6;76742
6294;Total sales;19-22 Refineries and chemistry;2016 March;86.8;2.5;-14.9;76742
6295;Total sales;19-22 Refineries and chemistry;2016 April;89.1;2.7;-15.4;76742
6296;Total sales;19-22 Refineries and chemistry;2016 May;92.3;3.6;-14.5;76742
6297;Total sales;19-22 Refineries and chemistry;2016 June;93.9;1.7;-13.2;76742
6298;Total sales;19-22 Refineries and chemistry;2016 July;92.1;-1.9;-13.2;76742
6299;Total sales;19-22 Refineries and chemistry;2016 August;91.3;-0.8;-8.9;76742
6300;Total sales;19-22 Refineries and chemistry;2016 September;92.3;1.0;-4.8;76742
6301;Total sales;19-22 Refineries and chemistry;2016 October;95.6;3.6;1.0;76742
6302;Total sales;19-22 Refineries and chemistry;2016 November;94.4;-1.3;0.0;76742
6303;Total sales;19-22 Refineries and chemistry;2016 December;99.0;4.9;9.6;76742
6304;Total sales;19-22 Refineries and chemistry;2016;91.5;;-8.5;76742
6305;Total sales;19-22 Refineries and chemistry;2017 January;101.5;2.5;17.5;76742
6306;Total sales;19-22 Refineries and chemistry;2017 February;103.1;1.5;21.7;76742
6307;Total sales;19-22 Refineries and chemistry;2017 March;102.6;-0.5;18.2;76742
6308;Total sales;19-22 Refineries and chemistry;2017 April;102.8;0.2;15.3;76742
6309;Total sales;19-22 Refineries and chemistry;2017 May;99.0;-3.7;7.2;76742
6310;Total sales;19-22 Refineries and chemistry;2017 June;96.5;-2.5;2.8;76742
6311;Total sales;19-22 Refineries and chemistry;2017 July;95.6;-1.0;3.7;76742
6312;Total sales;19-22 Refineries and chemistry;2017 August;97.0;1.5;6.2;76742
6313;Total sales;19-22 Refineries and chemistry;2017 September;100.2;3.3;8.5;76742
6314;Total sales;19-22 Refineries and chemistry;2017 October;100.6;0.5;5.2;76742
6315;Total sales;19-22 Refineries and chemistry;2017 November;103.3;2.6;9.4;76742
6316;Total sales;19-22 Refineries and chemistry;2017 December;103.6;0.3;4.6;76742
6317;Total sales;19-22 Refineries and chemistry;2017;100.5;;9.8;76742
6318;Total sales;19-22 Refineries and chemistry;2018 January;105.3;1.6;3.7;76742
6319;Total sales;19-22 Refineries and chemistry;2018 February;103.3;-1.9;0.3;76742
6320;Total sales;19-22 Refineries and chemistry;2018 March;103.5;0.1;0.9;76742
6321;Total sales;19-22 Refineries and chemistry;2018 April;106.2;2.6;3.3;76742
6322;Total sales;19-22 Refineries and chemistry;2018 May;110.5;4.1;11.6;76742
6323;Total sales;19-22 Refineries and chemistry;2018 June;111.6;1.0;15.6;76742
6324;Total sales;19-22 Refineries and chemistry;2018 July;111.6;0.0;16.8;76742
6325;Total sales;19-22 Refineries and chemistry;2018 August;112.1;0.4;15.5;76742
6326;Total sales;19-22 Refineries and chemistry;2018 September;113.7;1.5;13.5;76742
6327;Total sales;19-22 Refineries and chemistry;2018 October;115.4;1.6;14.7;76742
6328;Total sales;19-22 Refineries and chemistry;2018 November;109.7;-5.0;6.3;76742
6329;Total sales;19-22 Refineries and chemistry;2018 December;102.6;-6.5;-1.0;76742
6330;Total sales;19-22 Refineries and chemistry;2018;108.8;;8.3;76742
6331;Total sales;19-22 Refineries and chemistry;2019 January;102.7;0.1;-2.5;76742
6332;Total sales;19-22 Refineries and chemistry;2019 February;104.8;2.1;1.4;76742
6333;Total sales;19-22 Refineries and chemistry;2019 March;107.2;2.3;3.6;76742
6334;Total sales;19-22 Refineries and chemistry;2019 April;110.6;3.2;4.2;76742
6335;Total sales;19-22 Refineries and chemistry;2019 May;111.1;0.4;0.5;76742
6336;Total sales;19-22 Refineries and chemistry;2019 June;107.0;-3.7;-4.1;76742
6337;Total sales;19-22 Refineries and chemistry;2019 July;106.6;-0.3;-4.5;76742
6338;Total sales;19-22 Refineries and chemistry;2019 August;104.1;-2.4;-7.1;76742
6339;Total sales;19-22 Refineries and chemistry;2019 September;105.4;1.2;-7.3;76742
6340;Total sales;19-22 Refineries and chemistry;2019 October;104.3;-1.0;-9.7;76742
6341;Total sales;19-22 Refineries and chemistry;2019 November;103.9;-0.3;-5.3;76742
6342;Total sales;19-22 Refineries and chemistry;2019 December;104.6;0.7;2.0;76742
6343;Total sales;19-22 Refineries and chemistry;2019;106.0;;-2.5;76742
6344;Total sales;19-22 Refineries and chemistry;2020 January;104.3;-0.3;1.6;76742
6345;Total sales;19-22 Refineries and chemistry;2020 February;101.6;-2.6;-3.1;76742
6346;Total sales;19-22 Refineries and chemistry;2020 March;88.7;-12.6;-17.2;76742
6347;Total sales;19-22 Refineries and chemistry;2020 April;79.5;-10.5;-28.2;76742
6348;Total sales;19-22 Refineries and chemistry;2020 May;81.2;2.1;-27.0;76742
6349;Total sales;19-22 Refineries and chemistry;2020 June;85.9;5.9;-19.7;76742
6350;Total sales;19-22 Refineries and chemistry;2020 July;88.8;3.4;-16.7;76742
6351;Total sales;19-22 Refineries and chemistry;2020 August;88.9;0.1;-14.6;76742
6352;Total sales;19-22 Refineries and chemistry;2020 September;86.4;-2.9;-18.0;76742
6353;Total sales;19-22 Refineries and chemistry;2020 October;87.0;0.7;-16.5;76742
6354;Total sales;19-22 Refineries and chemistry;2020 November;87.8;0.9;-15.5;76742
6355;Total sales;19-22 Refineries and chemistry;2020 December;90.9;3.5;-13.1;76742
6356;Total sales;19-22 Refineries and chemistry;2020;89.3;;-15.8;76742
6357;Total sales;19-22 Refineries and chemistry;2021 January;96.5;6.1;-7.5;76742
6358;Total sales;19-22 Refineries and chemistry;2021 February;101.9;5.6;0.3;76742
6359;Total sales;19-22 Refineries and chemistry;2021 March;107.1;5.2;20.7;76742
6360;Total sales;19-22 Refineries and chemistry;2021 April;110.1;2.7;38.5;76742
6361;Total sales;19-22 Refineries and chemistry;2021 May;113.7;3.3;40.0;76742
6362;Total sales;19-22 Refineries and chemistry;2021 June;115.4;1.5;34.3;76742
6363;Total sales;19-22 Refineries and chemistry;2021 July;118.9;3.0;33.9;76742
6364;Total sales;19-22 Refineries and chemistry;2021 August;120.8;1.7;35.9;76742
6365;Total sales;19-22 Refineries and chemistry;2021 September;123.4;2.1;42.9;76742
6366;Total sales;19-22 Refineries and chemistry;2021 October;131.8;6.8;51.5;76742
6367;Total sales;19-22 Refineries and chemistry;2021 November;133.5;1.3;52.0;76742
6368;Total sales;19-22 Refineries and chemistry;2021 December;133.3;-0.1;46.7;76742
6369;Total sales;19-22 Refineries and chemistry;2021;117.2;;31.3;76742
6370;Total sales;19-22 Refineries and chemistry;2022 January;141.5;6.1;46.6;76742
6371;Total sales;19-22 Refineries and chemistry;2022 February;148.4;4.9;45.7;76742
6372;Total sales;19-22 Refineries and chemistry;2022 March;166.9;12.5;55.8;76742
6373;Total sales;19-22 Refineries and chemistry;2022 April;175.2;5.0;59.2;76742
6374;Total sales;19-22 Refineries and chemistry;2022 May;178.1;1.7;56.7;76742
6375;Total sales;19-22 Refineries and chemistry;2022 June;186.4;4.6;61.5;76742
6376;Total sales;19-22 Refineries and chemistry;2022 July;181.9;-2.4;53.0;76742
6377;Total sales;19-22 Refineries and chemistry;2022 August;174.4;-4.1;44.3;76742
6378;Total sales;19-22 Refineries and chemistry;2022 September;170.9;-2.0;38.4;76742
6379;Total sales;19-22 Refineries and chemistry;2022 October;174.6;2.2;32.5;76742
6380;Total sales;19-22 Refineries and chemistry;2022 November;164.3;-5.9;23.1;76742
6381;Total sales;19-22 Refineries and chemistry;2022 December;154.5;-6.0;15.9;76742
6382;Total sales;19-22 Refineries and chemistry;2022;168.1;;43.4;76742
6383;Total sales;19-22 Refineries and chemistry;2023 January;155.9;0.9;10.2;76742
6384;Total sales;19-22 Refineries and chemistry;2023 February;152.8;-2.0;3.0;76742
6385;Total sales;19-22 Refineries and chemistry;2023 March;149.0;-2.5;-10.7;76742
6386;Total sales;19-22 Refineries and chemistry;2023 April;148.0;-0.6;-15.5;76742
6387;Total sales;19-22 Refineries and chemistry;2023 May;141.7;-4.3;-20.4;76742
6388;Total sales;19-22 Refineries and chemistry;2023 June;141.2;-0.4;-24.2;76742
6389;Total sales;19-22 Refineries and chemistry;2023 July;140.6;-0.5;-22.7;76742
6390;Total sales;19-22 Refineries and chemistry;2023 August;147.0;4.5;-15.7;76742
6391;Total sales;19-22 Refineries and chemistry;2023 September;153.1;4.2;-10.4;76742
6392;Total sales;19-22 Refineries and chemistry;2023 October;148.4;-3.0;-15.0;76742
6393;Total sales;19-22 Refineries and chemistry;2023 November;143.7;-3.2;-12.5;76742
6394;Total sales;19-22 Refineries and chemistry;2023 December;138.4;-3.6;-10.4;76742
6395;Total sales;19-22 Refineries and chemistry;2023;146.7;;-12.7;76742
6396;Total sales;19 Manufacture of coke and petroleum;2012 January;162.2;;;23678
6397;Total sales;19 Manufacture of coke and petroleum;2012 February;168.5;3.9;;23678
6398;Total sales;19 Manufacture of coke and petroleum;2012 March;173.9;3.2;;23678
6399;Total sales;19 Manufacture of coke and petroleum;2012 April;171.0;-1.7;;23678
6400;Total sales;19 Manufacture of coke and petroleum;2012 May;161.5;-5.6;;23678
6401;Total sales;19 Manufacture of coke and petroleum;2012 June;148.2;-8.2;;23678
6402;Total sales;19 Manufacture of coke and petroleum;2012 July;160.1;8.0;;23678
6403;Total sales;19 Manufacture of coke and petroleum;2012 August;172.1;7.4;;23678
6404;Total sales;19 Manufacture of coke and petroleum;2012 September;171.7;-0.2;;23678
6405;Total sales;19 Manufacture of coke and petroleum;2012 October;166.7;-2.9;;23678
6406;Total sales;19 Manufacture of coke and petroleum;2012 November;159.6;-4.2;;23678
6407;Total sales;19 Manufacture of coke and petroleum;2012 December;154.7;-3.1;;23678
6408;Total sales;19 Manufacture of coke and petroleum;2012;164.2;;;23678
6409;Total sales;19 Manufacture of coke and petroleum;2013 January;156.3;1.0;-3.6;23678
6410;Total sales;19 Manufacture of coke and petroleum;2013 February;163.5;4.6;-3.0;23678
6411;Total sales;19 Manufacture of coke and petroleum;2013 March;156.0;-4.6;-10.3;23678
6412;Total sales;19 Manufacture of coke and petroleum;2013 April;147.9;-5.2;-13.5;23678
6413;Total sales;19 Manufacture of coke and petroleum;2013 May;148.4;0.3;-8.1;23678
6414;Total sales;19 Manufacture of coke and petroleum;2013 June;147.4;-0.7;-0.6;23678
6415;Total sales;19 Manufacture of coke and petroleum;2013 July;154.4;4.8;-3.6;23678
6416;Total sales;19 Manufacture of coke and petroleum;2013 August;155.0;0.4;-9.9;23678
6417;Total sales;19 Manufacture of coke and petroleum;2013 September;153.7;-0.9;-10.5;23678
6418;Total sales;19 Manufacture of coke and petroleum;2013 October;148.1;-3.6;-11.1;23678
6419;Total sales;19 Manufacture of coke and petroleum;2013 November;147.6;-0.3;-7.5;23678
6420;Total sales;19 Manufacture of coke and petroleum;2013 December;148.5;0.6;-4.0;23678
6421;Total sales;19 Manufacture of coke and petroleum;2013;152.2;;-7.3;23678
6422;Total sales;19 Manufacture of coke and petroleum;2014 January;146.1;-1.7;-6.5;23678
6423;Total sales;19 Manufacture of coke and petroleum;2014 February;147.1;0.7;-10.0;23678
6424;Total sales;19 Manufacture of coke and petroleum;2014 March;143.2;-2.7;-8.2;23678
6425;Total sales;19 Manufacture of coke and petroleum;2014 April;145.9;1.9;-1.4;23678
6426;Total sales;19 Manufacture of coke and petroleum;2014 May;146.8;0.6;-1.1;23678
6427;Total sales;19 Manufacture of coke and petroleum;2014 June;149.8;2.1;1.7;23678
6428;Total sales;19 Manufacture of coke and petroleum;2014 July;147.1;-1.8;-4.8;23678
6429;Total sales;19 Manufacture of coke and petroleum;2014 August;144.7;-1.6;-6.7;23678
6430;Total sales;19 Manufacture of coke and petroleum;2014 September;144.6;0.0;-5.9;23678
6431;Total sales;19 Manufacture of coke and petroleum;2014 October;134.5;-7.0;-9.2;23678
6432;Total sales;19 Manufacture of coke and petroleum;2014 November;126.0;-6.3;-14.6;23678
6433;Total sales;19 Manufacture of coke and petroleum;2014 December;101.3;-19.6;-31.8;23678
6434;Total sales;19 Manufacture of coke and petroleum;2014;139.8;;-8.2;23678
6435;Total sales;19 Manufacture of coke and petroleum;2015 January;88.3;-12.9;-39.5;23678
6436;Total sales;19 Manufacture of coke and petroleum;2015 February;105.4;19.4;-28.4;23678
6437;Total sales;19 Manufacture of coke and petroleum;2015 March;108.2;2.6;-24.5;23678
6438;Total sales;19 Manufacture of coke and petroleum;2015 April;112.8;4.3;-22.6;23678
6439;Total sales;19 Manufacture of coke and petroleum;2015 May;117.0;3.7;-20.3;23678
6440;Total sales;19 Manufacture of coke and petroleum;2015 June;115.5;-1.3;-22.9;23678
6441;Total sales;19 Manufacture of coke and petroleum;2015 July;109.5;-5.2;-25.5;23678
6442;Total sales;19 Manufacture of coke and petroleum;2015 August;95.6;-12.7;-33.9;23678
6443;Total sales;19 Manufacture of coke and petroleum;2015 September;92.0;-3.8;-36.4;23678
6444;Total sales;19 Manufacture of coke and petroleum;2015 October;89.2;-3.0;-33.6;23678
6445;Total sales;19 Manufacture of coke and petroleum;2015 November;90.0;0.9;-28.6;23678
6446;Total sales;19 Manufacture of coke and petroleum;2015 December;76.3;-15.2;-24.7;23678
6447;Total sales;19 Manufacture of coke and petroleum;2015;100.0;;-28.4;23678
6448;Total sales;19 Manufacture of coke and petroleum;2016 January;66.3;-13.1;-24.9;23678
6449;Total sales;19 Manufacture of coke and petroleum;2016 February;65.7;-0.9;-37.7;23678
6450;Total sales;19 Manufacture of coke and petroleum;2016 March;73.1;11.3;-32.4;23678
6451;Total sales;19 Manufacture of coke and petroleum;2016 April;78.4;7.3;-30.5;23678
6452;Total sales;19 Manufacture of coke and petroleum;2016 May;86.3;10.1;-26.2;23678
6453;Total sales;19 Manufacture of coke and petroleum;2016 June;91.5;6.0;-20.8;23678
6454;Total sales;19 Manufacture of coke and petroleum;2016 July;86.0;-6.0;-21.5;23678
6455;Total sales;19 Manufacture of coke and petroleum;2016 August;83.7;-2.7;-12.5;23678
6456;Total sales;19 Manufacture of coke and petroleum;2016 September;86.2;3.0;-6.3;23678
6457;Total sales;19 Manufacture of coke and petroleum;2016 October;96.1;11.5;7.7;23678
6458;Total sales;19 Manufacture of coke and petroleum;2016 November;91.0;-5.3;1.0;23678
6459;Total sales;19 Manufacture of coke and petroleum;2016 December;103.9;14.3;36.2;23678
6460;Total sales;19 Manufacture of coke and petroleum;2016;84.0;;-16.0;23678
6461;Total sales;19 Manufacture of coke and petroleum;2017 January;107.0;3.0;61.4;23678
6462;Total sales;19 Manufacture of coke and petroleum;2017 February;107.3;0.2;63.3;23678
6463;Total sales;19 Manufacture of coke and petroleum;2017 March;102.1;-4.8;39.7;23678
6464;Total sales;19 Manufacture of coke and petroleum;2017 April;103.2;1.1;31.7;23678
6465;Total sales;19 Manufacture of coke and petroleum;2017 May;94.9;-8.1;9.9;23678
6466;Total sales;19 Manufacture of coke and petroleum;2017 June;90.1;-5.0;-1.5;23678
6467;Total sales;19 Manufacture of coke and petroleum;2017 July;90.5;0.5;5.3;23678
6468;Total sales;19 Manufacture of coke and petroleum;2017 August;94.9;4.8;13.4;23678
6469;Total sales;19 Manufacture of coke and petroleum;2017 September;101.9;7.3;18.2;23678
6470;Total sales;19 Manufacture of coke and petroleum;2017 October;101.5;-0.4;5.6;23678
6471;Total sales;19 Manufacture of coke and petroleum;2017 November;109.7;8.2;20.7;23678
6472;Total sales;19 Manufacture of coke and petroleum;2017 December;108.8;-0.9;4.7;23678
6473;Total sales;19 Manufacture of coke and petroleum;2017;101.0;;20.2;23678
6474;Total sales;19 Manufacture of coke and petroleum;2018 January;112.5;3.4;5.1;23678
6475;Total sales;19 Manufacture of coke and petroleum;2018 February;105.9;-5.9;-1.3;23678
6476;Total sales;19 Manufacture of coke and petroleum;2018 March;106.1;0.2;3.9;23678
6477;Total sales;19 Manufacture of coke and petroleum;2018 April;115.0;8.4;11.3;23678
6478;Total sales;19 Manufacture of coke and petroleum;2018 May;126.6;10.2;33.5;23678
6479;Total sales;19 Manufacture of coke and petroleum;2018 June;126.2;-0.3;40.1;23678
6480;Total sales;19 Manufacture of coke and petroleum;2018 July;126.6;0.3;39.8;23678
6481;Total sales;19 Manufacture of coke and petroleum;2018 August;127.6;0.8;34.4;23678
6482;Total sales;19 Manufacture of coke and petroleum;2018 September;131.7;3.2;29.2;23678
6483;Total sales;19 Manufacture of coke and petroleum;2018 October;136.6;3.7;34.6;23678
6484;Total sales;19 Manufacture of coke and petroleum;2018 November;119.6;-12.4;9.0;23678
6485;Total sales;19 Manufacture of coke and petroleum;2018 December;103.2;-13.8;-5.2;23678
6486;Total sales;19 Manufacture of coke and petroleum;2018;119.8;;18.6;23678
6487;Total sales;19 Manufacture of coke and petroleum;2019 January;105.3;2.0;-6.5;23678
6488;Total sales;19 Manufacture of coke and petroleum;2019 February;113.0;7.4;6.7;23678
6489;Total sales;19 Manufacture of coke and petroleum;2019 March;118.5;4.8;11.7;23678
6490;Total sales;19 Manufacture of coke and petroleum;2019 April;126.8;7.0;10.3;23678
6491;Total sales;19 Manufacture of coke and petroleum;2019 May;126.8;0.0;0.2;23678
6492;Total sales;19 Manufacture of coke and petroleum;2019 June;115.0;-9.3;-8.9;23678
6493;Total sales;19 Manufacture of coke and petroleum;2019 July;118.0;2.6;-6.8;23678
6494;Total sales;19 Manufacture of coke and petroleum;2019 August;110.6;-6.3;-13.3;23678
6495;Total sales;19 Manufacture of coke and petroleum;2019 September;115.9;4.8;-12.0;23678
6496;Total sales;19 Manufacture of coke and petroleum;2019 October;112.0;-3.4;-18.0;23678
6497;Total sales;19 Manufacture of coke and petroleum;2019 November;113.2;1.0;-5.4;23678
6498;Total sales;19 Manufacture of coke and petroleum;2019 December;115.8;2.4;12.3;23678
6499;Total sales;19 Manufacture of coke and petroleum;2019;115.9;;-3.3;23678
6500;Total sales;19 Manufacture of coke and petroleum;2020 January;113.9;-1.7;8.2;23678
6501;Total sales;19 Manufacture of coke and petroleum;2020 February;105.5;-7.4;-6.6;23678
6502;Total sales;19 Manufacture of coke and petroleum;2020 March;69.5;-34.2;-41.4;23678
6503;Total sales;19 Manufacture of coke and petroleum;2020 April;53.6;-22.8;-57.7;23678
6504;Total sales;19 Manufacture of coke and petroleum;2020 May;64.2;19.8;-49.4;23678
6505;Total sales;19 Manufacture of coke and petroleum;2020 June;77.7;21.0;-32.4;23678
6506;Total sales;19 Manufacture of coke and petroleum;2020 July;82.6;6.3;-30.0;23678
6507;Total sales;19 Manufacture of coke and petroleum;2020 August;80.9;-2.0;-26.8;23678
6508;Total sales;19 Manufacture of coke and petroleum;2020 September;72.7;-10.2;-37.3;23678
6509;Total sales;19 Manufacture of coke and petroleum;2020 October;74.0;1.7;-34.0;23678
6510;Total sales;19 Manufacture of coke and petroleum;2020 November;76.0;2.8;-32.8;23678
6511;Total sales;19 Manufacture of coke and petroleum;2020 December;83.1;9.3;-28.2;23678
6512;Total sales;19 Manufacture of coke and petroleum;2020;79.5;;-31.4;23678
6513;Total sales;19 Manufacture of coke and petroleum;2021 January;91.7;10.3;-19.5;23678
6514;Total sales;19 Manufacture of coke and petroleum;2021 February;101.8;11.0;-3.5;23678
6515;Total sales;19 Manufacture of coke and petroleum;2021 March;108.0;6.0;55.4;23678
6516;Total sales;19 Manufacture of coke and petroleum;2021 April;107.0;-0.9;99.5;23678
6517;Total sales;19 Manufacture of coke and petroleum;2021 May;112.8;5.4;75.5;23678
6518;Total sales;19 Manufacture of coke and petroleum;2021 June;117.9;4.5;51.7;23678
6519;Total sales;19 Manufacture of coke and petroleum;2021 July;123.0;4.4;48.9;23678
6520;Total sales;19 Manufacture of coke and petroleum;2021 August;123.2;0.1;52.2;23678
6521;Total sales;19 Manufacture of coke and petroleum;2021 September;131.8;7.0;81.2;23678
6522;Total sales;19 Manufacture of coke and petroleum;2021 October;149.8;13.7;102.5;23678
6523;Total sales;19 Manufacture of coke and petroleum;2021 November;146.5;-2.2;92.6;23678
6524;Total sales;19 Manufacture of coke and petroleum;2021 December;140.8;-3.9;69.3;23678
6525;Total sales;19 Manufacture of coke and petroleum;2021;121.2;;52.4;23678
6526;Total sales;19 Manufacture of coke and petroleum;2022 January;155.4;10.4;69.4;23678
6527;Total sales;19 Manufacture of coke and petroleum;2022 February;170.3;9.6;67.2;23678
6528;Total sales;19 Manufacture of coke and petroleum;2022 March;222.5;30.7;106.1;23678
6529;Total sales;19 Manufacture of coke and petroleum;2022 April;223.2;0.3;108.7;23678
6530;Total sales;19 Manufacture of coke and petroleum;2022 May;232.4;4.1;106.1;23678
6531;Total sales;19 Manufacture of coke and petroleum;2022 June;258.9;11.4;119.6;23678
6532;Total sales;19 Manufacture of coke and petroleum;2022 July;239.2;-7.6;94.5;23678
6533;Total sales;19 Manufacture of coke and petroleum;2022 August;224.2;-6.3;82.0;23678
6534;Total sales;19 Manufacture of coke and petroleum;2022 September;215.5;-3.9;63.6;23678
6535;Total sales;19 Manufacture of coke and petroleum;2022 October;228.7;6.1;52.7;23678
6536;Total sales;19 Manufacture of coke and petroleum;2022 November;202.1;-11.6;37.9;23678
6537;Total sales;19 Manufacture of coke and petroleum;2022 December;178.9;-11.5;27.1;23678
6538;Total sales;19 Manufacture of coke and petroleum;2022;212.6;;75.5;23678
6539;Total sales;19 Manufacture of coke and petroleum;2023 January;185.3;3.6;19.3;23678
6540;Total sales;19 Manufacture of coke and petroleum;2023 February;177.0;-4.5;3.9;23678
6541;Total sales;19 Manufacture of coke and petroleum;2023 March;172.4;-2.6;-22.5;23678
6542;Total sales;19 Manufacture of coke and petroleum;2023 April;174.0;0.9;-22.1;23678
6543;Total sales;19 Manufacture of coke and petroleum;2023 May;161.3;-7.3;-30.6;23678
6544;Total sales;19 Manufacture of coke and petroleum;2023 June;165.8;2.8;-36.0;23678
6545;Total sales;19 Manufacture of coke and petroleum;2023 July;171.6;3.5;-28.3;23678
6546;Total sales;19 Manufacture of coke and petroleum;2023 August;191.1;11.4;-14.8;23678
6547;Total sales;19 Manufacture of coke and petroleum;2023 September;207.9;8.7;-3.5;23678
6548;Total sales;19 Manufacture of coke and petroleum;2023 October;189.1;-9.0;-17.3;23678
6549;Total sales;19 Manufacture of coke and petroleum;2023 November;176.0;-7.0;-12.9;23678
6550;Total sales;19 Manufacture of coke and petroleum;2023 December;;;;23678
6551;Total sales;19 Manufacture of coke and petroleum;2023;;;;23678
6552;Total sales;20 Manufacture of chemicals;2012 January;109.4;;;40950
6553;Total sales;20 Manufacture of chemicals;2012 February;111.2;1.6;;40950
6554;Total sales;20 Manufacture of chemicals;2012 March;112.9;1.5;;40950
6555;Total sales;20 Manufacture of chemicals;2012 April;113.9;0.9;;40950
6556;Total sales;20 Manufacture of chemicals;2012 May;114.1;0.1;;40950
6557;Total sales;20 Manufacture of chemicals;2012 June;111.6;-2.2;;40950
6558;Total sales;20 Manufacture of chemicals;2012 July;109.2;-2.2;;40950
6559;Total sales;20 Manufacture of chemicals;2012 August;110.9;1.6;;40950
6560;Total sales;20 Manufacture of chemicals;2012 September;112.9;1.9;;40950
6561;Total sales;20 Manufacture of chemicals;2012 October;112.4;-0.5;;40950
6562;Total sales;20 Manufacture of chemicals;2012 November;112.0;-0.4;;40950
6563;Total sales;20 Manufacture of chemicals;2012 December;111.6;-0.4;;40950
6564;Total sales;20 Manufacture of chemicals;2012;111.8;;;40950
6565;Total sales;20 Manufacture of chemicals;2013 January;111.7;0.1;2.1;40950
6566;Total sales;20 Manufacture of chemicals;2013 February;112.5;0.7;1.2;40950
6567;Total sales;20 Manufacture of chemicals;2013 March;112.4;-0.1;-0.4;40950
6568;Total sales;20 Manufacture of chemicals;2013 April;111.1;-1.2;-2.5;40950
6569;Total sales;20 Manufacture of chemicals;2013 May;109.2;-1.7;-4.3;40950
6570;Total sales;20 Manufacture of chemicals;2013 June;108.1;-1.0;-3.1;40950
6571;Total sales;20 Manufacture of chemicals;2013 July;108.1;0.0;-1.0;40950
6572;Total sales;20 Manufacture of chemicals;2013 August;108.4;0.3;-2.2;40950
6573;Total sales;20 Manufacture of chemicals;2013 September;108.8;0.3;-3.7;40950
6574;Total sales;20 Manufacture of chemicals;2013 October;107.3;-1.4;-4.6;40950
6575;Total sales;20 Manufacture of chemicals;2013 November;106.7;-0.6;-4.8;40950
6576;Total sales;20 Manufacture of chemicals;2013 December;107.4;0.7;-3.7;40950
6577;Total sales;20 Manufacture of chemicals;2013;109.3;;-2.3;40950
6578;Total sales;20 Manufacture of chemicals;2014 January;108.4;0.9;-3.0;40950
6579;Total sales;20 Manufacture of chemicals;2014 February;108.2;-0.2;-3.8;40950
6580;Total sales;20 Manufacture of chemicals;2014 March;108.0;-0.2;-3.9;40950
6581;Total sales;20 Manufacture of chemicals;2014 April;108.1;0.1;-2.7;40950
6582;Total sales;20 Manufacture of chemicals;2014 May;108.5;0.3;-0.6;40950
6583;Total sales;20 Manufacture of chemicals;2014 June;108.2;-0.2;0.1;40950
6584;Total sales;20 Manufacture of chemicals;2014 July;109.0;0.7;0.9;40950
6585;Total sales;20 Manufacture of chemicals;2014 August;108.7;-0.3;0.2;40950
6586;Total sales;20 Manufacture of chemicals;2014 September;108.0;-0.6;-0.7;40950
6587;Total sales;20 Manufacture of chemicals;2014 October;108.2;0.2;0.9;40950
6588;Total sales;20 Manufacture of chemicals;2014 November;105.5;-2.5;-1.1;40950
6589;Total sales;20 Manufacture of chemicals;2014 December;102.1;-3.2;-4.9;40950
6590;Total sales;20 Manufacture of chemicals;2014;107.6;;-1.6;40950
6591;Total sales;20 Manufacture of chemicals;2015 January;97.1;-4.9;-10.5;40950
6592;Total sales;20 Manufacture of chemicals;2015 February;95.7;-1.5;-11.6;40950
6593;Total sales;20 Manufacture of chemicals;2015 March;99.3;3.8;-8.0;40950
6594;Total sales;20 Manufacture of chemicals;2015 April;102.6;3.3;-5.1;40950
6595;Total sales;20 Manufacture of chemicals;2015 May;105.0;2.4;-3.2;40950
6596;Total sales;20 Manufacture of chemicals;2015 June;106.1;1.1;-1.9;40950
6597;Total sales;20 Manufacture of chemicals;2015 July;105.7;-0.4;-3.0;40950
6598;Total sales;20 Manufacture of chemicals;2015 August;102.8;-2.8;-5.4;40950
