ID;ConsumptionByHouseholds;Periods;Indices_1;VolumeChanges_2;VolumeChangesShoppingdayAdjusted_3;Indices_4;ValueChanges_5;PriceChanges_6
2759;Home furnishing and home decoration;2011 January;64.8;5.8;;56.9;5.2;-0.5
2760;Home furnishing and home decoration;2011 February;63.0;7.1;;55.0;6.4;-0.6
2761;Home furnishing and home decoration;2011 March;72.6;4.7;;63.6;4.3;-0.3
2762;Home furnishing and home decoration;2011 1st quarter;66.8;5.8;;58.5;5.3;-0.5
2763;Home furnishing and home decoration;2011 April;68.6;2.7;;61.3;4.2;1.5
2764;Home furnishing and home decoration;2011 May;67.8;0.6;;59.8;2.4;1.8
2765;Home furnishing and home decoration;2011 June;66.1;2.3;;58.3;3.7;1.4
2766;Home furnishing and home decoration;2011 2nd quarter;67.5;1.9;;59.8;3.4;1.5
2767;Home furnishing and home decoration;2011 July;70.5;-0.6;;62.0;0.9;1.6
2768;Home furnishing and home decoration;2011 August;65.1;1.2;;57.3;2.5;1.3
2769;Home furnishing and home decoration;2011 September;64.9;-3.2;;58.0;-1.5;1.8
2770;Home furnishing and home decoration;2011 3rd quarter;66.9;-0.9;;59.1;0.6;1.5
2771;Home furnishing and home decoration;2011 October;66.2;-0.3;;59.4;2.3;2.6
2772;Home furnishing and home decoration;2011 November;66.9;0.8;;59.8;4.0;3.2
2773;Home furnishing and home decoration;2011 December;75.8;4.5;;67.5;8.1;3.4
2774;Home furnishing and home decoration;2011 4th quarter;69.6;1.7;;62.2;4.9;3.1
2775;Home furnishing and home decoration;2012 January;66.4;2.5;;59.1;3.8;1.3
2776;Home furnishing and home decoration;2012 February;61.9;-1.7;;54.6;-0.7;1.0
2777;Home furnishing and home decoration;2012 March;73.0;0.6;;64.6;1.5;0.9
2778;Home furnishing and home decoration;2012 1st quarter;67.1;0.5;;59.4;1.5;1.1
2779;Home furnishing and home decoration;2012 April;62.3;-9.1;;56.4;-7.9;1.4
2780;Home furnishing and home decoration;2012 May;67.2;-0.8;;60.4;0.9;1.8
2781;Home furnishing and home decoration;2012 June;65.3;-1.1;;58.7;0.8;1.9
2782;Home furnishing and home decoration;2012 2nd quarter;65.0;-3.7;;58.5;-2.1;1.7
2783;Home furnishing and home decoration;2012 July;68.6;-2.7;;60.6;-2.2;0.6
2784;Home furnishing and home decoration;2012 August;62.8;-3.5;;55.9;-2.4;1.1
2785;Home furnishing and home decoration;2012 September;65.3;0.6;;59.0;1.6;1.0
2786;Home furnishing and home decoration;2012 3rd quarter;65.6;-1.9;;58.5;-1.0;0.9
2787;Home furnishing and home decoration;2012 October;64.8;-2.1;;59.9;0.8;3.0
2788;Home furnishing and home decoration;2012 November;63.7;-4.8;;58.6;-2.0;2.9
2789;Home furnishing and home decoration;2012 December;70.3;-7.3;;64.1;-5.0;2.4
2790;Home furnishing and home decoration;2012 4th quarter;66.3;-4.8;;60.9;-2.2;2.8
2791;Home furnishing and home decoration;2013 January;63.7;-4.1;;58.5;-1.0;3.2
2792;Home furnishing and home decoration;2013 February;58.6;-5.4;;53.3;-2.4;3.1
2793;Home furnishing and home decoration;2013 March;65.8;-9.8;;59.9;-7.2;2.9
2794;Home furnishing and home decoration;2013 1st quarter;62.7;-6.6;;57.2;-3.6;3.1
2795;Home furnishing and home decoration;2013 April;62.0;-0.5;;57.8;2.5;3.0
2796;Home furnishing and home decoration;2013 May;66.1;-1.6;;60.9;0.8;2.4
2797;Home furnishing and home decoration;2013 June;62.7;-4.0;;57.7;-1.8;2.2
2798;Home furnishing and home decoration;2013 2nd quarter;63.6;-2.0;;58.8;0.5;2.5
2799;Home furnishing and home decoration;2013 July;67.6;-1.4;;61.2;0.9;2.3
2800;Home furnishing and home decoration;2013 August;63.4;0.9;;57.5;2.7;1.9
2801;Home furnishing and home decoration;2013 September;61.6;-5.7;;56.5;-4.3;1.5
2802;Home furnishing and home decoration;2013 3rd quarter;64.2;-2.1;;58.4;-0.3;1.9
2803;Home furnishing and home decoration;2013 October;65.6;1.1;;60.0;0.2;-0.9
2804;Home furnishing and home decoration;2013 November;65.3;2.6;;59.9;2.2;-0.4
2805;Home furnishing and home decoration;2013 December;71.3;1.4;;64.9;1.2;-0.2
2806;Home furnishing and home decoration;2013 4th quarter;67.4;1.7;;61.6;1.2;-0.5
2807;Home furnishing and home decoration;2014 January;65.7;3.2;;60.7;3.7;0.5
2808;Home furnishing and home decoration;2014 February;60.7;3.6;;55.4;4.1;0.4
2809;Home furnishing and home decoration;2014 March;68.3;3.8;;62.9;4.9;1.1
2810;Home furnishing and home decoration;2014 1st quarter;64.9;3.5;;59.7;4.2;0.7
2811;Home furnishing and home decoration;2014 April;64.3;3.6;;59.6;3.1;-0.4
2812;Home furnishing and home decoration;2014 May;67.5;2.0;;61.9;1.7;-0.3
2813;Home furnishing and home decoration;2014 June;62.0;-1.3;;56.5;-2.1;-0.8
2814;Home furnishing and home decoration;2014 2nd quarter;64.6;1.5;;59.3;0.9;-0.5
2815;Home furnishing and home decoration;2014 July;68.8;1.7;;61.9;1.2;-0.5
2816;Home furnishing and home decoration;2014 August;66.4;4.8;;59.5;3.5;-1.2
2817;Home furnishing and home decoration;2014 September;64.1;4.1;;58.0;2.8;-1.2
2818;Home furnishing and home decoration;2014 3rd quarter;66.4;3.5;;59.8;2.5;-1.0
2819;Home furnishing and home decoration;2014 October;68.9;5.2;;62.7;4.5;-0.7
2820;Home furnishing and home decoration;2014 November;68.0;4.2;;61.7;3.0;-1.2
2821;Home furnishing and home decoration;2014 December;75.9;6.5;;68.4;5.5;-0.9
2822;Home furnishing and home decoration;2014 4th quarter;71.0;5.3;;64.3;4.3;-0.9
2823;Home furnishing and home decoration;2015 January;69.6;6.0;;63.5;4.6;-1.3
2824;Home furnishing and home decoration;2015 February;64.2;5.8;;58.1;4.8;-1.0
2825;Home furnishing and home decoration;2015 March;72.8;6.5;;66.4;5.6;-0.9
2826;Home furnishing and home decoration;2015 1st quarter;68.9;6.1;;62.6;5.0;-1.1
2827;Home furnishing and home decoration;2015 April;67.4;4.8;;62.3;4.5;-0.3
2828;Home furnishing and home decoration;2015 May;70.0;3.8;;63.9;3.3;-0.4
2829;Home furnishing and home decoration;2015 June;69.3;11.9;;63.3;12.2;0.3
2830;Home furnishing and home decoration;2015 2nd quarter;68.9;6.7;;63.2;6.5;-0.2
2831;Home furnishing and home decoration;2015 July;74.4;8.2;;66.9;8.0;-0.1
2832;Home furnishing and home decoration;2015 August;65.9;-0.8;;59.4;-0.1;0.7
2833;Home furnishing and home decoration;2015 September;69.1;7.7;;63.0;8.5;0.7
2834;Home furnishing and home decoration;2015 3rd quarter;69.8;5.0;;63.1;5.5;0.4
2835;Home furnishing and home decoration;2015 October;74.3;7.8;;67.8;8.1;0.3
2836;Home furnishing and home decoration;2015 November;70.8;4.1;;64.0;3.8;-0.2
2837;Home furnishing and home decoration;2015 December;81.5;7.4;;73.8;7.9;0.4
2838;Home furnishing and home decoration;2015 4th quarter;75.5;6.5;;68.5;6.7;0.2
2839;Home furnishing and home decoration;2016 January;71.2;2.2;;64.6;1.8;-0.4
2840;Home furnishing and home decoration;2016 February;69.6;8.4;;62.8;8.2;-0.2
2841;Home furnishing and home decoration;2016 March;78.6;7.9;;71.1;7.1;-0.8
2842;Home furnishing and home decoration;2016 1st quarter;73.1;6.1;;66.2;5.6;-0.5
2843;Home furnishing and home decoration;2016 April;70.5;4.6;;66.3;6.4;1.7
2844;Home furnishing and home decoration;2016 May;71.7;2.4;;66.6;4.2;1.7
2845;Home furnishing and home decoration;2016 June;72.7;4.9;;67.2;6.1;1.1
2846;Home furnishing and home decoration;2016 2nd quarter;71.6;4.0;;66.7;5.5;1.5
2847;Home furnishing and home decoration;2016 July;76.2;2.4;;69.3;3.6;1.2
2848;Home furnishing and home decoration;2016 August;69.3;5.3;;63.5;6.9;1.5
2849;Home furnishing and home decoration;2016 September;71.1;2.9;;65.5;4.0;1.1
2850;Home furnishing and home decoration;2016 3rd quarter;72.2;3.4;;66.1;4.8;1.3
2851;Home furnishing and home decoration;2016 October;76.5;2.9;;70.3;3.6;0.7
2852;Home furnishing and home decoration;2016 November;77.0;8.7;;70.5;10.2;1.3
2853;Home furnishing and home decoration;2016 December;86.2;5.7;;78.7;6.7;0.9
2854;Home furnishing and home decoration;2016 4th quarter;79.9;5.7;;73.2;6.7;0.9
2855;Home furnishing and home decoration;2017 January;76.4;7.3;;71.2;10.2;2.7
2856;Home furnishing and home decoration;2017 February;72.4;4.1;;67.3;7.1;3.0
2857;Home furnishing and home decoration;2017 March;84.7;7.7;;79.2;11.4;3.4
2858;Home furnishing and home decoration;2017 1st quarter;77.8;6.4;;72.6;9.7;3.0
2859;Home furnishing and home decoration;2017 April;73.4;4.1;;69.6;5.1;1.0
2860;Home furnishing and home decoration;2017 May;77.2;7.6;;72.4;8.6;1.0
2861;Home furnishing and home decoration;2017 June;76.6;5.4;;71.5;6.5;1.0
2862;Home furnishing and home decoration;2017 2nd quarter;75.7;5.7;;71.2;6.7;1.0
2863;Home furnishing and home decoration;2017 July;83.5;9.6;;76.4;10.3;0.6
2864;Home furnishing and home decoration;2017 August;77.1;11.1;;70.5;11.0;-0.1
2865;Home furnishing and home decoration;2017 September;79.9;12.4;;73.7;12.5;0.1
2866;Home furnishing and home decoration;2017 3rd quarter;80.1;11.0;;73.5;11.2;0.2
2867;Home furnishing and home decoration;2017 October;80.6;5.4;;74.1;5.5;0.1
2868;Home furnishing and home decoration;2017 November;84.0;9.1;;77.3;9.7;0.5
2869;Home furnishing and home decoration;2017 December;88.4;2.6;;80.9;2.8;0.2
2870;Home furnishing and home decoration;2017 4th quarter;84.3;5.6;;77.4;5.8;0.3
2871;Home furnishing and home decoration;2018 January;84.6;10.7;;78.6;10.4;-0.3
2872;Home furnishing and home decoration;2018 February;76.8;6.1;;71.3;5.9;-0.2
2873;Home furnishing and home decoration;2018 March;90.7;7.1;;84.5;6.7;-0.4
2874;Home furnishing and home decoration;2018 1st quarter;84.0;8.0;;78.1;7.7;-0.3
2875;Home furnishing and home decoration;2018 April;78.3;6.8;;74.7;7.3;0.4
2876;Home furnishing and home decoration;2018 May;83.5;8.3;;77.7;7.3;-0.9
2877;Home furnishing and home decoration;2018 June;80.6;5.2;;75.8;6.0;0.7
2878;Home furnishing and home decoration;2018 2nd quarter;80.8;6.8;;76.1;6.9;0.1
2879;Home furnishing and home decoration;2018 July;85.2;2.1;;78.2;2.4;0.3
2880;Home furnishing and home decoration;2018 August;80.5;4.4;;73.8;4.7;0.3
2881;Home furnishing and home decoration;2018 September;81.3;1.7;;75.4;2.3;0.6
2882;Home furnishing and home decoration;2018 3rd quarter;82.3;2.7;;75.8;3.1;0.4
2883;Home furnishing and home decoration;2018 October;85.7;6.4;;80.1;8.1;1.6
2884;Home furnishing and home decoration;2018 November;89.1;6.0;;83.0;7.3;1.2
2885;Home furnishing and home decoration;2018 December;91.0;3.0;;84.5;4.5;1.5
2886;Home furnishing and home decoration;2018 4th quarter;88.6;5.1;;82.5;6.6;1.4
2887;Home furnishing and home decoration;2019 January;86.1;1.8;;81.7;3.9;2.1
2888;Home furnishing and home decoration;2019 February;80.6;4.9;;76.7;7.6;2.6
2889;Home furnishing and home decoration;2019 March;91.3;0.7;;87.2;3.2;2.5
2890;Home furnishing and home decoration;2019 1st quarter;86.0;2.3;;81.9;4.8;2.4
2891;Home furnishing and home decoration;2019 April;81.7;4.2;;79.2;6.1;1.8
2892;Home furnishing and home decoration;2019 May;87.3;4.5;;83.6;7.6;3.0
2893;Home furnishing and home decoration;2019 June;82.1;1.9;;77.7;2.5;0.6
2894;Home furnishing and home decoration;2019 2nd quarter;83.7;3.6;;80.2;5.4;1.8
2895;Home furnishing and home decoration;2019 July;89.6;5.1;;83.4;6.6;1.5
2896;Home furnishing and home decoration;2019 August;82.5;2.5;;77.0;4.4;1.9
2897;Home furnishing and home decoration;2019 September;82.9;2.0;;77.4;2.7;0.7
2898;Home furnishing and home decoration;2019 3rd quarter;85.0;3.2;;79.3;4.6;1.3
2899;Home furnishing and home decoration;2019 October;90.5;5.6;;85.1;6.3;0.7
2900;Home furnishing and home decoration;2019 November;91.4;2.6;;85.9;3.6;0.9
2901;Home furnishing and home decoration;2019 December;95.3;4.6;;89.4;5.8;1.1
2902;Home furnishing and home decoration;2019 4th quarter;92.4;4.3;;86.8;5.2;0.9
2903;Home furnishing and home decoration;2020 January;91.2;6.0;;87.5;7.1;1.0
2904;Home furnishing and home decoration;2020 February;88.8;10.2;;85.2;11.0;0.7
2905;Home furnishing and home decoration;2020 March;94.6;3.6;;90.7;4.0;0.4
2906;Home furnishing and home decoration;2020 1st quarter;91.5;6.5;;87.8;7.2;0.7
2907;Home furnishing and home decoration;2020 April;86.9;6.5;;85.5;7.9;1.3
2908;Home furnishing and home decoration;2020 May;96.0;10.0;;94.4;12.9;2.7
2909;Home furnishing and home decoration;2020 June;96.4;17.3;;94.8;22.0;4.0
2910;Home furnishing and home decoration;2020 2nd quarter;93.1;11.2;;91.6;14.2;2.7
2911;Home furnishing and home decoration;2020 July;107.9;20.4;;102.6;23.0;2.1
2912;Home furnishing and home decoration;2020 August;91.8;11.3;;87.3;13.3;1.8
2913;Home furnishing and home decoration;2020 September;99.8;20.3;;94.9;22.5;1.9
2914;Home furnishing and home decoration;2020 3rd quarter;99.8;17.4;;94.9;19.7;1.9
2915;Home furnishing and home decoration;2020 October;107.2;18.5;;102.5;20.4;1.6
2916;Home furnishing and home decoration;2020 November;107.2;17.3;;102.4;19.2;1.6
2917;Home furnishing and home decoration;2020 December;94.4;-0.9;;90.2;0.9;1.8
2918;Home furnishing and home decoration;2020 4th quarter;102.9;11.4;;98.4;13.3;1.7
2919;Home furnishing and home decoration;2021 January;71.0;-22.2;;70.3;-19.7;3.3
2920;Home furnishing and home decoration;2021 February;75.6;-14.9;;74.0;-13.1;2.1
2921;Home furnishing and home decoration;2021 March;102.4;8.3;;100.2;10.6;2.1
2922;Home furnishing and home decoration;2021 1st quarter;83.0;-9.3;;81.5;-7.1;2.4
2923;Home furnishing and home decoration;2021 April;92.9;6.9;;94.3;10.3;3.2
2924;Home furnishing and home decoration;2021 May;108.1;12.6;;109.0;15.4;2.5
2925;Home furnishing and home decoration;2021 June;106.0;9.9;;106.7;12.5;2.3
2926;Home furnishing and home decoration;2021 2nd quarter;102.4;9.9;;103.3;12.8;2.6
2927;Home furnishing and home decoration;2021 July;114.3;6.0;;112.6;9.7;3.5
2928;Home furnishing and home decoration;2021 August;97.5;6.2;;97.1;11.3;4.8
2929;Home furnishing and home decoration;2021 September;103.1;3.4;;103.1;8.7;5.2
2930;Home furnishing and home decoration;2021 3rd quarter;105.0;5.2;;104.3;9.9;4.4
2931;Home furnishing and home decoration;2021 October;109.7;2.3;;111.1;8.4;5.9
2932;Home furnishing and home decoration;2021 November;113.9;6.2;;114.9;12.2;5.6
2933;Home furnishing and home decoration;2021 December;105.4;11.7;;106.8;18.4;6.0
2934;Home furnishing and home decoration;2021 4th quarter;109.7;6.6;;110.9;12.8;5.8
2935;Home furnishing and home decoration;2021;100.0;3.3;;100.0;7.4;4.0
2936;Home furnishing and home decoration;2022 January;90.2;27.1;;95.3;35.6;6.7
2937;Home furnishing and home decoration;2022 February;94.5;25.0;;100.0;35.2;8.2
2938;Home furnishing and home decoration;2022 March;110.7;8.1;;117.6;17.4;8.6
2939;Home furnishing and home decoration;2022 1st quarter;98.5;18.6;;104.3;28.0;7.9
2940;Home furnishing and home decoration;2022 April;91.6;-1.4;;100.5;6.6;8.1
2941;Home furnishing and home decoration;2022 May;93.8;-13.3;;102.8;-5.7;8.7
2942;Home furnishing and home decoration;2022 June;90.8;-14.3;;100.7;-5.6;10.2
2943;Home furnishing and home decoration;2022 2nd quarter;92.1;-10.0;;101.3;-1.9;9.0
2944;Home furnishing and home decoration;2022 July;99.4;-13.1;;106.9;-5.0;9.3
2945;Home furnishing and home decoration;2022 August;86.1;-11.7;;94.4;-2.8;10.1
2946;Home furnishing and home decoration;2022 September;94.9;-8.0;;104.8;1.6;10.4
2947;Home furnishing and home decoration;2022 3rd quarter;93.4;-11.0;;102.1;-2.1;10.0
2948;Home furnishing and home decoration;2022 October;98.2;-10.5;;110.1;-0.9;10.8
2949;Home furnishing and home decoration;2022 November;103.5;-9.1;;117.0;1.8;12.0
2950;Home furnishing and home decoration;2022 December;103.2;-2.1;;117.9;10.4;12.8
2951;Home furnishing and home decoration;2022 4th quarter;101.6;-7.3;;115.0;3.7;11.9
2952;Home furnishing and home decoration;2022;96.4;-3.6;;105.7;5.7;9.6
2953;Home furnishing and home decoration;2023 January;93.5;3.6;;110.4;15.9;11.9
2954;Home furnishing and home decoration;2023 February;87.4;-7.6;;103.3;3.2;11.7
2955;Home furnishing and home decoration;2023 March;101.0;-8.8;;119.2;1.3;11.1
2956;Home furnishing and home decoration;2023 1st quarter;93.9;-4.6;;111.0;6.4;11.5
2957;Home furnishing and home decoration;2023 April;83.6;-8.8;;101.8;1.2;11.0
2958;Home furnishing and home decoration;2023 May;85.3;-9.1;;103.6;0.8;10.9
2959;Home furnishing and home decoration;2023 June;88.5;-2.5;;106.6;5.8;8.5
2960;Home furnishing and home decoration;2023 2nd quarter;85.8;-6.8;;104.0;2.6;10.1
2961;Home furnishing and home decoration;2023 July;89.2;-10.2;;103.8;-2.9;8.2
2962;Home furnishing and home decoration;2023 August;85.5;-0.7;;99.6;5.5;6.2
2963;Home furnishing and home decoration;2023 September;91.2;-3.9;;106.0;1.1;5.2
2964;Home furnishing and home decoration;2023 3rd quarter;88.6;-5.1;;103.1;1.1;6.5
2965;Home furnishing and home decoration;2023 October;94.4;-3.9;;113.4;3.0;7.2
2966;Home furnishing and home decoration;2023 November;98.0;-5.4;;115.6;-1.2;4.4
2967;Home furnishing and home decoration;2023 December;102.7;-0.4;;121.0;2.6;3.1
2968;Home furnishing and home decoration;2023 4th quarter;98.3;-3.2;;116.7;1.5;4.8
2969;Home furnishing and home decoration;2023;91.7;-4.9;;108.7;2.9;8.2
2970;Home furnishing and home decoration;2024 January;92.1;-1.5;;110.6;0.1;1.6
2971;Home furnishing and home decoration;2024 February;92.2;5.6;;107.7;4.2;-1.2
2972;Home furnishing and home decoration;2024 March;102.9;1.9;;119.8;0.5;-1.4
2973;Home furnishing and home decoration;2024 1st quarter;95.7;1.9;;112.7;1.5;-0.4
2974;Home furnishing and home decoration;2024 April;86.0;2.9;;103.0;1.3;-1.6
2975;Home furnishing and home decoration;2024 May;88.6;4.0;;103.9;0.3;-3.6
2976;Home furnishing and home decoration;2024 June;87.8;-0.8;;102.9;-3.4;-2.6
2977;Home furnishing and home decoration;2024 2nd quarter;87.5;2.0;;103.3;-0.7;-2.6
2978;Home furnishing and home decoration;2024 July;95.6;7.2;;105.7;1.8;-5.0
2979;Home furnishing and home decoration;2024 August;89.4;4.6;;101.7;2.1;-2.4
2980;Home furnishing and home decoration;2024 September;92.8;1.7;;106.6;0.6;-1.1
2981;Home furnishing and home decoration;2024 3rd quarter;92.6;4.5;;104.7;1.5;-2.9
2982;Home furnishing and home decoration;2024 October;98.8;4.7;;118.0;4.0;-0.6
2983;Home furnishing and home decoration;2024 November;99.0;1.1;;117.7;1.8;0.7
2984;Home furnishing and home decoration;2024 December;106.3;3.5;;125.1;3.4;-0.1
2985;Home furnishing and home decoration;2024 4th quarter;101.4;3.1;;120.2;3.1;0.0
2986;Home furnishing and home decoration;2024;94.3;2.9;;110.2;1.4;-1.4
2987;Home furnishing and home decoration;2025 January;95.7;3.9;;114.1;3.2;-0.7
2988;Home furnishing and home decoration;2025 February;88.8;-3.8;;105.7;-1.9;2.0
2989;Electrical equipment;2000;27.5;18.4;;60.4;11.6;-5.8
2990;Electrical equipment;2001;30.2;9.8;;66.8;10.7;0.8
2991;Electrical equipment;2002;32.7;8.1;;69.1;3.4;-4.4
2992;Electrical equipment;2003;35.3;7.8;;69.2;0.2;-7.1
2993;Electrical equipment;2004;38.1;8.2;;68.7;-0.8;-8.3
2994;Electrical equipment;2005;41.8;9.6;;70.2;2.3;-6.6
2995;Electrical equipment;2006;48.2;15.2;;76.4;8.7;-5.6
2996;Electrical equipment;2007;57.4;19.1;;83.7;9.5;-8.0
2997;Electrical equipment;2008;61.0;6.4;;83.6;-0.1;-6.1
2998;Electrical equipment;2009;59.3;-2.8;;77.3;-7.5;-4.9
2999;Electrical equipment;2010;62.0;4.4;;79.6;2.9;-1.4
3000;Electrical equipment;2011;63.5;2.4;;77.0;-3.3;-5.6
3001;Electrical equipment;2012;65.9;3.9;;78.7;2.2;-1.7
3002;Electrical equipment;2013;64.9;-1.6;;76.4;-2.8;-1.2
3003;Electrical equipment;2014;70.6;8.7;;78.7;2.9;-5.4
3004;Electrical equipment;2015;73.0;3.5;;78.7;0.0;-3.4
3005;Electrical equipment;2016;73.9;1.2;;77.2;-1.8;-3.0
3006;Electrical equipment;2017;78.4;6.1;;79.3;2.7;-3.3
3007;Electrical equipment;2018;83.8;6.8;;81.8;3.2;-3.4
3008;Electrical equipment;2019;88.8;6.0;;84.9;3.7;-2.1
3009;Electrical equipment;2020;95.8;7.8;;93.3;10.0;2.0
3010;Electrical equipment;2000 January;24.5;20.3;;53.8;10.4;-8.2
3011;Electrical equipment;2000 February;23.5;24.6;;54.0;17.7;-5.5
3012;Electrical equipment;2000 March;25.8;20.3;;56.2;13.0;-6.0
3013;Electrical equipment;2000 1st quarter;24.6;21.6;;54.6;13.6;-6.6
3014;Electrical equipment;2000 April;24.7;13.0;;56.8;4.1;-7.8
3015;Electrical equipment;2000 May;27.3;23.0;;58.7;15.3;-6.2
3016;Electrical equipment;2000 June;27.6;14.4;;60.9;9.0;-4.7
3017;Electrical equipment;2000 2nd quarter;26.6;16.7;;58.8;9.4;-6.3
3018;Electrical equipment;2000 July;29.8;16.6;;62.1;9.8;-5.8
3019;Electrical equipment;2000 August;26.5;13.9;;55.2;6.9;-6.2
3020;Electrical equipment;2000 September;29.9;16.9;;62.0;9.0;-6.7
3021;Electrical equipment;2000 3rd quarter;28.7;15.9;;59.8;8.6;-6.2
3022;Electrical equipment;2000 October;25.7;13.1;;58.2;7.7;-4.8
3023;Electrical equipment;2000 November;29.6;24.5;;67.4;19.1;-4.3
3024;Electrical equipment;2000 December;35.4;21.2;;79.1;16.2;-4.1
3025;Electrical equipment;2000 4th quarter;30.2;19.8;;68.3;14.6;-4.4
3026;Electrical equipment;2001 January;27.8;13.9;;62.1;15.6;1.5
3027;Electrical equipment;2001 February;24.7;4.8;;57.2;5.9;1.0
3028;Electrical equipment;2001 March;28.3;9.4;;63.5;13.1;3.3
3029;Electrical equipment;2001 1st quarter;26.9;9.4;;60.9;11.5;1.9
3030;Electrical equipment;2001 April;28.7;16.4;;66.8;17.7;1.1
3031;Electrical equipment;2001 May;28.6;4.8;;61.9;5.5;0.7
3032;Electrical equipment;2001 June;29.8;7.8;;66.3;8.7;0.8
3033;Electrical equipment;2001 2nd quarter;29.1;9.4;;65.0;10.5;1.0
3034;Electrical equipment;2001 July;31.6;6.1;;66.9;7.8;1.6
3035;Electrical equipment;2001 August;30.9;16.7;;64.9;17.6;0.8
3036;Electrical equipment;2001 September;33.2;11.0;;69.9;12.8;1.6
3037;Electrical equipment;2001 3rd quarter;31.9;11.0;;67.2;12.5;1.3
3038;Electrical equipment;2001 October;28.9;12.6;;64.7;11.2;-1.2
3039;Electrical equipment;2001 November;32.1;8.4;;72.4;7.3;-1.1
3040;Electrical equipment;2001 December;38.1;7.7;;85.0;7.5;-0.2
3041;Electrical equipment;2001 4th quarter;33.1;9.3;;74.0;8.5;-0.8
3042;Electrical equipment;2002 January;31.0;11.4;;67.7;8.9;-2.2
3043;Electrical equipment;2002 February;26.0;5.5;;58.8;2.8;-2.5
3044;Electrical equipment;2002 March;28.4;0.5;;62.0;-2.5;-2.9
3045;Electrical equipment;2002 1st quarter;28.5;5.8;;62.8;3.1;-2.6
3046;Electrical equipment;2002 April;29.8;3.6;;67.0;0.3;-3.2
3047;Electrical equipment;2002 May;32.3;12.8;;67.3;8.6;-3.8
3048;Electrical equipment;2002 June;31.3;5.0;;68.1;2.8;-2.2
3049;Electrical equipment;2002 2nd quarter;31.1;7.1;;67.5;3.8;-3.1
3050;Electrical equipment;2002 July;35.7;12.9;;72.9;9.0;-3.5
3051;Electrical equipment;2002 August;33.9;9.7;;68.1;5.1;-4.2
3052;Electrical equipment;2002 September;36.1;8.7;;71.5;2.2;-6.0
3053;Electrical equipment;2002 3rd quarter;35.2;10.4;;70.8;5.4;-4.6
3054;Electrical equipment;2002 October;32.3;11.6;;67.8;4.7;-6.2
3055;Electrical equipment;2002 November;34.8;8.3;;72.8;0.7;-7.1
3056;Electrical equipment;2002 December;40.8;7.1;;85.1;0.0;-6.6
3057;Electrical equipment;2002 4th quarter;36.0;8.8;;75.2;1.6;-6.6
3058;Electrical equipment;2003 January;35.3;13.8;;71.4;5.5;-7.3
3059;Electrical equipment;2003 February;30.4;16.9;;64.2;9.3;-6.5
3060;Electrical equipment;2003 March;30.7;8.1;;62.0;0.0;-7.5
3061;Electrical equipment;2003 1st quarter;32.2;12.9;;65.9;4.9;-7.1
3062;Electrical equipment;2003 April;33.2;11.6;;68.7;2.6;-8.1
3063;Electrical equipment;2003 May;35.8;10.6;;70.5;4.8;-5.3
3064;Electrical equipment;2003 June;32.9;5.2;;66.4;-2.5;-7.3
3065;Electrical equipment;2003 2nd quarter;34.0;9.1;;68.5;1.6;-6.9
3066;Electrical equipment;2003 July;37.2;4.2;;70.6;-3.2;-7.1
3067;Electrical equipment;2003 August;34.4;1.4;;64.6;-5.2;-6.5
3068;Electrical equipment;2003 September;37.7;4.4;;68.9;-3.5;-7.6
3069;Electrical equipment;2003 3rd quarter;36.4;3.4;;68.0;-4.0;-7.1
3070;Electrical equipment;2003 October;35.1;8.6;;68.0;0.4;-7.6
3071;Electrical equipment;2003 November;36.4;4.4;;70.7;-2.9;-7.0
3072;Electrical equipment;2003 December;44.1;8.0;;84.2;-1.0;-8.3
3073;Electrical equipment;2003 4th quarter;38.5;7.0;;74.3;-1.2;-7.7
3074;Electrical equipment;2004 January;38.7;9.7;;71.9;0.7;-8.2
3075;Electrical equipment;2004 February;33.7;10.7;;64.3;0.1;-9.6
3076;Electrical equipment;2004 March;35.2;14.6;;64.6;4.4;-9.0
3077;Electrical equipment;2004 1st quarter;35.9;11.6;;67.0;1.6;-8.9
3078;Electrical equipment;2004 April;36.6;10.3;;68.7;0.0;-9.3
3079;Electrical equipment;2004 May;37.4;4.5;;66.8;-5.2;-9.3
3080;Electrical equipment;2004 June;40.6;23.2;;74.3;11.9;-9.2
3081;Electrical equipment;2004 2nd quarter;38.2;12.4;;69.9;2.0;-9.2
3082;Electrical equipment;2004 July;41.4;11.3;;72.0;2.1;-8.3
3083;Electrical equipment;2004 August;36.5;6.2;;63.1;-2.4;-8.0
3084;Electrical equipment;2004 September;39.6;5.0;;66.9;-2.9;-7.6
3085;Electrical equipment;2004 3rd quarter;39.1;7.5;;67.4;-1.0;-7.9
3086;Electrical equipment;2004 October;35.1;0.2;;63.3;-6.9;-7.1
3087;Electrical equipment;2004 November;37.4;2.8;;66.8;-5.6;-8.1
3088;Electrical equipment;2004 December;45.6;3.3;;81.0;-3.8;-6.9
3089;Electrical equipment;2004 4th quarter;39.4;2.2;;70.4;-5.3;-7.4
3090;Electrical equipment;2005 January;38.7;-0.2;;66.4;-7.6;-7.5
3091;Electrical equipment;2005 February;34.0;0.9;;60.5;-5.8;-6.7
3092;Electrical equipment;2005 March;37.8;7.2;;64.3;-0.6;-7.2
3093;Electrical equipment;2005 1st quarter;36.8;2.6;;63.8;-4.8;-7.2
