ID;BedrijfsklasseSBI93;Perioden;TotaalInstallaties_1;MechanischeInstallaties_2;FysischChemischeInstallaties_3;BiologischeInstallaties_4;GecombBiologischFysChemInstal_5;TotaalBiologisch_6;BiologischAeroobProces_7;BiologischAnaeroobProces_8;CombinatieAnaeroobAeroobProces_9;Capaciteit_10;CorresponderendAantalInstallaties_11;TotaalHoeveelheidSlibAfgevoerd_12;LandbouwBodem_13;DiervoedersDestructiebedrijven_14;Composteren_15;Storten_16;Verbranden_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;OverigeBestemmingen_25
113;DJ VV metalen in primaire vorm en van ..;2001;107;4;101;2;0;2;2;0;0;158;2;8406;0;0;0;5547;580;2278;3798;0;0;0;2529;207;1062
114;DJ VV metalen in primaire vorm en van ..;2002;99;4;93;2;0;2;2;0;0;143;2;9819;0;0;0;6667;1081;2070;4529;0;0;0;2978;538;1013
115;DJ VV metalen in primaire vorm en van ..;2003;97;3;92;2;0;2;2;0;0;143;2;6904;0;0;0;4416;543;1946;3242;0;0;0;1901;207;1134
116;DJ VV metalen in primaire vorm en van ..;2004;92;3;87;2;0;2;2;0;0;143;2;6082;0;0;0;4088;194;1799;2918;0;0;0;2137;115;666
117;DJ VV metalen in primaire vorm en van ..;2005;82;3;77;2;0;2;2;0;0;143;2;6058;0;0;0;3680;176;2201;2539;0;0;0;1877;106;556
118;DJ VV metalen in primaire vorm en van ..;2006;84;2;80;2;0;2;2;0;0;143;2;8525;0;0;0;4587;431;3506;4279;0;0;0;2179;212;1887
119;DJ VV metalen in primaire vorm en van ..;2007;80;2;76;2;0;2;2;0;0;143;2;6452;0;0;0;2179;308;3965;3223;0;0;0;950;136;2138
120;0000d Overig, geen industrie (D);1993;63;1;28;20;14;34;27;5;2;694;32;67664;6100;0;3662;36922;20391;589;16690;415;0;172;12325;3582;196
121;0000d Overig, geen industrie (D);1994;62;1;27;20;14;34;28;5;1;694;32;75766;5900;0;992;43824;25008;42;18280;405;0;59;13734;4081;2
122;0000d Overig, geen industrie (D);1995;53;1;24;17;11;28;24;2;2;672;27;79527;5362;0;1015;47806;20095;5249;19003;345;0;60;15057;3330;210
123;0000d Overig, geen industrie (D);1996;58;1;27;18;12;30;25;3;2;784;29;100068;8803;6639;1015;52400;29173;2038;24095;503;930;60;18102;4279;221
124;0000d Overig, geen industrie (D);1997;57;1;27;17;12;29;24;3;2;809;28;85524;3694;6882;1411;42531;30427;578;22225;101;964;82;15500;5505;73
125;0000d Overig, geen industrie (D);1998;62;1;29;21;11;32;27;3;2;1173;31;86670;2842;6386;1411;57874;13948;4209;26362;182;894;82;21010;2905;1289
126;0000d Overig, geen industrie (D);1999;63;1;30;22;10;32;27;3;2;1074;31;71193;3214;6922;0;37018;18054;5984;19830;162;975;0;12667;4378;1647
127;0000d Overig, geen industrie (D);2000;64;1;31;22;10;32;27;3;2;1074;31;72995;4181;7655;0;36008;15127;10024;20347;132;1072;0;13466;3159;2519
128;0000d Overig, geen industrie (D);2001;58;0;28;20;10;30;25;3;2;1042;27;69440;6656;7800;200;36134;11460;7190;20850;256;1092;53;14885;2657;1907
129;0000d Overig, geen industrie (D);2002;62;0;32;20;10;30;25;3;2;1193;30;98094;5494;8000;10300;32162;37895;4243;21653;238;1120;5042;9337;5110;805
130;0000d Overig, geen industrie (D);2003;62;0;31;19;12;31;26;3;2;1423;30;121450;5273;8711;256;25697;57169;24344;24709;707;1220;36;9293;4112;9342
131;0000d Overig, geen industrie (D);2004;61;0;31;19;11;30;25;3;2;1271;28;118943;4000;8000;0;22677;59433;24833;25623;800;1120;0;9247;6254;8202
132;0000d Overig, geen industrie (D);2005;58;0;29;18;11;29;24;3;2;1468;27;106374;5497;7800;1667;17491;48235;25685;25150;480;1014;367;7904;4020;11366
133;0000d Overig, geen industrie (D);2006;52;0;26;17;9;26;23;1;2;1326;25;81233;110;0;3215;25775;30322;21811;27684;6;0;638;12122;4247;10672
134;0000d Overig, geen industrie (D);2007;59;0;30;20;9;29;26;1;2;1378;26;64190;110;0;3537;18156;18557;23829;25381;6;0;678;10086;3582;11029
135;90 Milieudienstverlening;1993;31;0;14;6;11;17;10;5;2;489;14;38627;0;0;0;36591;2036;0;12917;0;0;0;12211;706;0
136;90 Milieudienstverlening;1994;31;0;14;6;11;17;11;5;1;489;14;42325;0;0;992;39953;1380;0;14025;0;0;59;13389;577;0
137;90 Milieudienstverlening;1995;26;0;13;6;7;13;9;2;2;469;11;49981;0;0;1015;47527;1439;0;15334;0;0;60;14941;333;0
138;90 Milieudienstverlening;1996;27;0;13;6;8;14;10;2;2;499;12;54544;0;0;1015;49488;2602;1439;17286;0;0;60;16541;497;188
139;90 Milieudienstverlening;1997;27;0;13;6;8;14;10;2;2;499;12;45691;0;0;1411;39752;4453;75;15957;0;0;82;14158;1666;50
140;90 Milieudienstverlening;1998;26;0;12;7;7;14;11;1;2;499;12;59076;0;0;1411;51626;3010;3029;20632;0;0;82;18390;990;1169
141;90 Milieudienstverlening;1999;27;0;13;7;7;14;11;1;2;469;12;43774;0;0;0;33979;5221;4574;14366;0;0;0;11988;814;1565
142;90 Milieudienstverlening;2000;28;0;14;7;7;14;11;1;2;469;12;44851;0;0;0;35467;5121;4263;15538;0;0;0;13306;774;1458
143;90 Milieudienstverlening;2001;25;0;12;7;6;13;10;1;2;483;11;38160;0;0;55;35506;0;2599;15954;0;0;33;14669;0;1252
144;90 Milieudienstverlening;2002;24;0;13;7;4;11;9;0;2;483;11;56345;0;0;10000;21068;24777;500;16005;0;0;5000;7703;3052;250
145;90 Milieudienstverlening;2003;23;0;13;6;4;10;9;0;1;594;10;53656;0;0;0;19477;19583;14596;15056;0;0;0;7378;455;7224
146;90 Milieudienstverlening;2004;22;0;12;6;4;10;9;0;1;607;10;45844;0;0;0;11923;20325;13595;12407;0;0;0;5589;769;6049
147;90 Milieudienstverlening;2005;21;0;11;6;4;10;9;0;1;807;10;50813;0;0;0;10834;19637;20342;16396;0;0;0;5879;463;10055
148;90 Milieudienstverlening;2006;21;0;11;6;4;10;9;0;1;807;10;31046;0;0;904;9091;1159;19892;15619;0;0;129;5701;488;9300
149;90 Milieudienstverlening;2007;19;0;9;6;4;10;9;0;1;827;10;39247;0;0;1212;10157;6354;21524;17786;0;0;166;6074;1641;9906
