ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
6017;Total overnight accommodation;The Netherlands;West-Nederland (LD);2024 4th quarter;2860;5939
6018;Total overnight accommodation;The Netherlands;West-Nederland (LD);2024;12340;30053
6019;Total overnight accommodation;The Netherlands;West-Nederland (LD);2025 January;799;1576
6020;Total overnight accommodation;The Netherlands;West-Nederland (LD);2025 February;768;1675
6021;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 January;289;763
6022;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 February;278;730
6023;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 March;346;863
6024;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 1st quarter;912;2356
6025;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 April;476;1325
6026;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 May;597;1918
6027;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 June;528;1671
6028;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 2nd quarter;1601;4914
6029;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 July;533;2115
6030;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 August;626;2507
6031;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 September;493;1499
6032;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 3rd quarter;1651;6122
6033;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 October;469;1323
6034;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 November;332;817
6035;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 December;352;924
6036;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012 4th quarter;1152;3064
6037;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2012;5317;16456
6038;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 January;250;662
6039;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 February;273;719
6040;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 March;315;802
6041;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 1st quarter;838;2183
6042;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 April;431;1180
6043;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 May;628;2085
6044;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 June;536;1701
6045;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 2nd quarter;1594;4967
6046;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 July;580;2300
6047;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 August;637;2698
6048;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 September;477;1508
6049;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 3rd quarter;1694;6506
6050;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 October;435;1275
6051;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 November;324;791
6052;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 December;339;896
6053;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013 4th quarter;1099;2962
6054;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2013;5225;16618
6055;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 January;266;669
6056;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 February;273;683
6057;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 March;331;811
6058;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 1st quarter;870;2163
6059;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 April;414;1152
6060;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 May;547;1672
6061;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 June;566;1857
6062;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 2nd quarter;1527;4681
6063;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 July;503;1925
6064;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 August;615;2655
6065;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 September;481;1447
6066;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 3rd quarter;1599;6027
6067;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 October;475;1330
6068;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 November;321;764
6069;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 December;348;895
6070;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014 4th quarter;1145;2988
6071;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2014;5141;15859
6072;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 January;269;671
6073;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 February;301;773
6074;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 March;328;807
6075;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 1st quarter;898;2250
6076;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 April;408;1143
6077;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 May;603;1935
6078;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 June;516;1575
6079;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 2nd quarter;1526;4652
6080;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 July;547;2167
6081;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 August;600;2504
6082;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 September;449;1380
6083;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 3rd quarter;1596;6051
6084;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 October;496;1429
6085;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 November;351;838
6086;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 December;380;980
6087;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015 4th quarter;1227;3248
6088;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2015;5247;16201
6089;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 January;270;693
6090;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 February;312;806
6091;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 March;334;870
6092;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 1st quarter;917;2369
6093;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 April;440;1234
6094;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 May;578;1790
6095;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 June;493;1488
6096;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 2nd quarter;1510;4513
6097;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 July;528;2023
6098;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 August;640;2801
6099;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 September;506;1554
6100;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 3rd quarter;1673;6377
6101;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 October;504;1437
6102;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 November;344;800
6103;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 December;353;900
6104;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016 4th quarter;1201;3137
6105;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2016;5301;16396
6106;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 January;320;765
6107;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 February;297;690
6108;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 March;373;879
6109;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 1st quarter;989;2334
6110;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 April;488;1268
6111;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 May;591;1728
6112;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 June;569;1607
6113;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 2nd quarter;1648;4604
6114;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 July;540;1854
6115;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 August;603;2451
6116;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 September;521;1514
6117;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 3rd quarter;1663;5820
6118;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 October;500;1310
6119;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 November;363;820
6120;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 December;405;949
6121;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017 4th quarter;1268;3079
6122;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2017;5569;15836
6123;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 January;325;787
6124;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 February;321;748
6125;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 March;411;974
6126;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 1st quarter;1057;2509
6127;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 April;476;1169
6128;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 May;595;1737
6129;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 June;544;1493
6130;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 2nd quarter;1615;4398
6131;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 July;535;1822
6132;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 August;648;2538
6133;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 September;531;1514
6134;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 3rd quarter;1714;5874
6135;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 October;522;1396
6136;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 November;380;863
6137;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 December;414;967
6138;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018 4th quarter;1316;3227
6139;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2018;5702;16008
6140;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 January;313;761
6141;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 February;314;745
6142;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 March;420;997
6143;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 1st quarter;1046;2503
6144;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 April;499;1301
6145;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 May;566;1529
6146;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 June;643;1858
6147;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 2nd quarter;1708;4688
6148;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 July;580;2011
6149;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 August;685;2733
6150;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 September;561;1572
6151;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 3rd quarter;1827;6315
6152;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 October;534;1381
6153;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 November;407;906
6154;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 December;448;1058
6155;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019 4th quarter;1389;3344
6156;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2019;5970;16851
6157;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 January;358;820
6158;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 February;376;906
6159;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 March;186;464
6160;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 1st quarter;920;2190
6161;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 April;47;166
6162;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 May;140;411
6163;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 June;365;1121
6164;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 2nd quarter;552;1698
6165;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 July;691;2552
6166;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 August;819;3344
6167;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 September;617;1955
6168;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 3rd quarter;2127;7850
6169;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 October;469;1415
6170;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 November;246;613
6171;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 December;239;643
6172;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020 4th quarter;954;2670
6173;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2020;4554;14408
6174;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 January;136;435
6175;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 February;218;637
6176;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 March;200;557
6177;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 1th quarter;554;1629
6178;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 April;339;999
6179;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 May;639;2204
6180;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 June;642;2066
6181;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 2nd quarter;1620;5270
6182;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 July;730;2828
6183;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 August;884;3732
6184;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 September;671;2129
6185;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 3rd quarter;2285;8689
6186;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 October;638;1767
6187;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 November;418;1040
6188;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 December;274;771
6189;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021 4th quarter;1330;3578
6190;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2021;5789;19165
6191;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 January;205;595
6192;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 February;341;827
6193;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 March;458;1126
6194;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 1th quarter;1004;2548
6195;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 April;594;1483
6196;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 May;779;2214
6197;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 June;715;2080
6198;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 2nd quarter;2088;5777
6199;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 July;727;2450
6200;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 August;788;3182
6201;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 September;690;1991
6202;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 3rd quarter;2205;7623
6203;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 October;661;1717
6204;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 November;481;1059
6205;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 December;494;1125
6206;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022 4th quarter;1636;3901
6207;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2022;6933;19850
6208;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 January;392;991
6209;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 February;380;881
6210;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 March;473;1179
6211;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 1st quarter;1244;3051
6212;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 April;567;1442
6213;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 May;694;2138
6214;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 June;646;1906
6215;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 2nd quarter;1907;5486
6216;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 July;646;2411
6217;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 August;727;3116
6218;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 September;608;1853
6219;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 3rd quarter;1981;7380
6220;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 October;575;1613
6221;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 November;422;989
6222;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 December;487;1154
6223;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023 4th quarter;1484;3756
6224;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2023;6616;19672
6225;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 January;397;968
6226;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 February;401;1019
6227;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 March;436;1017
6228;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 1st quarter;1235;3004
6229;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 April;538;1339
6230;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 May;755;2270
6231;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 June;691;2047
6232;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 2nd quarter;1984;5656
6233;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 July;649;2506
6234;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 August;759;3025
6235;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 September;673;1986
6236;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 3rd quarter;2083;7510
6237;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 October;561;1416
6238;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 November;467;1108
6239;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 December;534;1216
6240;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024 4th quarter;1562;3740
6241;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2024;6863;19905
6242;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2025 January;405;951
6243;Total overnight accommodation;The Netherlands;Zuid-Nederland (LD);2025 February;398;959
6244;Total overnight accommodation;The Netherlands;Groningen (PV);2012 January;28;57
6245;Total overnight accommodation;The Netherlands;Groningen (PV);2012 February;29;53
6246;Total overnight accommodation;The Netherlands;Groningen (PV);2012 March;31;59
6247;Total overnight accommodation;The Netherlands;Groningen (PV);2012 1st quarter;88;169
6248;Total overnight accommodation;The Netherlands;Groningen (PV);2012 April;36;73
6249;Total overnight accommodation;The Netherlands;Groningen (PV);2012 May;49;129
6250;Total overnight accommodation;The Netherlands;Groningen (PV);2012 June;42;105
6251;Total overnight accommodation;The Netherlands;Groningen (PV);2012 2nd quarter;128;306
6252;Total overnight accommodation;The Netherlands;Groningen (PV);2012 July;47;148
6253;Total overnight accommodation;The Netherlands;Groningen (PV);2012 August;59;218
6254;Total overnight accommodation;The Netherlands;Groningen (PV);2012 September;43;96
6255;Total overnight accommodation;The Netherlands;Groningen (PV);2012 3rd quarter;149;462
6256;Total overnight accommodation;The Netherlands;Groningen (PV);2012 October;38;83
6257;Total overnight accommodation;The Netherlands;Groningen (PV);2012 November;30;59
6258;Total overnight accommodation;The Netherlands;Groningen (PV);2012 December;27;58
6259;Total overnight accommodation;The Netherlands;Groningen (PV);2012 4th quarter;96;200
6260;Total overnight accommodation;The Netherlands;Groningen (PV);2012;460;1137
6261;Total overnight accommodation;The Netherlands;Groningen (PV);2013 January;22;43
6262;Total overnight accommodation;The Netherlands;Groningen (PV);2013 February;25;44
6263;Total overnight accommodation;The Netherlands;Groningen (PV);2013 March;26;44
6264;Total overnight accommodation;The Netherlands;Groningen (PV);2013 1st quarter;72;132
6265;Total overnight accommodation;The Netherlands;Groningen (PV);2013 April;32;77
6266;Total overnight accommodation;The Netherlands;Groningen (PV);2013 May;42;110
6267;Total overnight accommodation;The Netherlands;Groningen (PV);2013 June;37;87
6268;Total overnight accommodation;The Netherlands;Groningen (PV);2013 2nd quarter;110;274
6269;Total overnight accommodation;The Netherlands;Groningen (PV);2013 July;45;136
6270;Total overnight accommodation;The Netherlands;Groningen (PV);2013 August;58;202
6271;Total overnight accommodation;The Netherlands;Groningen (PV);2013 September;40;93
6272;Total overnight accommodation;The Netherlands;Groningen (PV);2013 3rd quarter;143;431
6273;Total overnight accommodation;The Netherlands;Groningen (PV);2013 October;35;82
6274;Total overnight accommodation;The Netherlands;Groningen (PV);2013 November;24;43
6275;Total overnight accommodation;The Netherlands;Groningen (PV);2013 December;28;55
6276;Total overnight accommodation;The Netherlands;Groningen (PV);2013 4th quarter;87;181
6277;Total overnight accommodation;The Netherlands;Groningen (PV);2013;413;1018
6278;Total overnight accommodation;The Netherlands;Groningen (PV);2014 January;23;44
6279;Total overnight accommodation;The Netherlands;Groningen (PV);2014 February;24;46
6280;Total overnight accommodation;The Netherlands;Groningen (PV);2014 March;26;49
6281;Total overnight accommodation;The Netherlands;Groningen (PV);2014 1st quarter;73;139
6282;Total overnight accommodation;The Netherlands;Groningen (PV);2014 April;32;62
6283;Total overnight accommodation;The Netherlands;Groningen (PV);2014 May;43;94
6284;Total overnight accommodation;The Netherlands;Groningen (PV);2014 June;45;114
6285;Total overnight accommodation;The Netherlands;Groningen (PV);2014 2nd quarter;120;270
6286;Total overnight accommodation;The Netherlands;Groningen (PV);2014 July;41;115
6287;Total overnight accommodation;The Netherlands;Groningen (PV);2014 August;51;174
6288;Total overnight accommodation;The Netherlands;Groningen (PV);2014 September;40;90
6289;Total overnight accommodation;The Netherlands;Groningen (PV);2014 3rd quarter;133;378
6290;Total overnight accommodation;The Netherlands;Groningen (PV);2014 October;36;77
6291;Total overnight accommodation;The Netherlands;Groningen (PV);2014 November;29;55
6292;Total overnight accommodation;The Netherlands;Groningen (PV);2014 December;25;49
6293;Total overnight accommodation;The Netherlands;Groningen (PV);2014 4th quarter;90;181
6294;Total overnight accommodation;The Netherlands;Groningen (PV);2014;415;969
6295;Total overnight accommodation;The Netherlands;Groningen (PV);2015 January;26;51
6296;Total overnight accommodation;The Netherlands;Groningen (PV);2015 February;27;51
6297;Total overnight accommodation;The Netherlands;Groningen (PV);2015 March;30;57
6298;Total overnight accommodation;The Netherlands;Groningen (PV);2015 1st quarter;83;159
6299;Total overnight accommodation;The Netherlands;Groningen (PV);2015 April;31;65
6300;Total overnight accommodation;The Netherlands;Groningen (PV);2015 May;50;121
6301;Total overnight accommodation;The Netherlands;Groningen (PV);2015 June;46;105
6302;Total overnight accommodation;The Netherlands;Groningen (PV);2015 2nd quarter;127;290
6303;Total overnight accommodation;The Netherlands;Groningen (PV);2015 July;47;137
6304;Total overnight accommodation;The Netherlands;Groningen (PV);2015 August;56;172
6305;Total overnight accommodation;The Netherlands;Groningen (PV);2015 September;40;91
6306;Total overnight accommodation;The Netherlands;Groningen (PV);2015 3rd quarter;143;400
6307;Total overnight accommodation;The Netherlands;Groningen (PV);2015 October;39;84
6308;Total overnight accommodation;The Netherlands;Groningen (PV);2015 November;33;59
6309;Total overnight accommodation;The Netherlands;Groningen (PV);2015 December;29;57
6310;Total overnight accommodation;The Netherlands;Groningen (PV);2015 4th quarter;101;200
6311;Total overnight accommodation;The Netherlands;Groningen (PV);2015;454;1050
6312;Total overnight accommodation;The Netherlands;Groningen (PV);2016 January;33;57
6313;Total overnight accommodation;The Netherlands;Groningen (PV);2016 February;36;60
6314;Total overnight accommodation;The Netherlands;Groningen (PV);2016 March;35;60
6315;Total overnight accommodation;The Netherlands;Groningen (PV);2016 1st quarter;104;177
6316;Total overnight accommodation;The Netherlands;Groningen (PV);2016 April;41;74
6317;Total overnight accommodation;The Netherlands;Groningen (PV);2016 May;52;107
6318;Total overnight accommodation;The Netherlands;Groningen (PV);2016 June;48;105
6319;Total overnight accommodation;The Netherlands;Groningen (PV);2016 2nd quarter;140;286
6320;Total overnight accommodation;The Netherlands;Groningen (PV);2016 July;53;142
6321;Total overnight accommodation;The Netherlands;Groningen (PV);2016 August;61;177
6322;Total overnight accommodation;The Netherlands;Groningen (PV);2016 September;49;105
6323;Total overnight accommodation;The Netherlands;Groningen (PV);2016 3rd quarter;163;424
6324;Total overnight accommodation;The Netherlands;Groningen (PV);2016 October;45;99
6325;Total overnight accommodation;The Netherlands;Groningen (PV);2016 November;36;62
6326;Total overnight accommodation;The Netherlands;Groningen (PV);2016 December;33;64
6327;Total overnight accommodation;The Netherlands;Groningen (PV);2016 4th quarter;115;226
6328;Total overnight accommodation;The Netherlands;Groningen (PV);2016;522;1112
6329;Total overnight accommodation;The Netherlands;Groningen (PV);2017 January;33;61
6330;Total overnight accommodation;The Netherlands;Groningen (PV);2017 February;29;53
6331;Total overnight accommodation;The Netherlands;Groningen (PV);2017 March;31;61
6332;Total overnight accommodation;The Netherlands;Groningen (PV);2017 1st quarter;93;175
6333;Total overnight accommodation;The Netherlands;Groningen (PV);2017 April;41;79
6334;Total overnight accommodation;The Netherlands;Groningen (PV);2017 May;47;104
6335;Total overnight accommodation;The Netherlands;Groningen (PV);2017 June;49;106
6336;Total overnight accommodation;The Netherlands;Groningen (PV);2017 2nd quarter;137;288
6337;Total overnight accommodation;The Netherlands;Groningen (PV);2017 July;50;131
6338;Total overnight accommodation;The Netherlands;Groningen (PV);2017 August;52;160
6339;Total overnight accommodation;The Netherlands;Groningen (PV);2017 September;43;105
6340;Total overnight accommodation;The Netherlands;Groningen (PV);2017 3rd quarter;145;395
6341;Total overnight accommodation;The Netherlands;Groningen (PV);2017 October;39;89
6342;Total overnight accommodation;The Netherlands;Groningen (PV);2017 November;31;58
6343;Total overnight accommodation;The Netherlands;Groningen (PV);2017 December;35;65
6344;Total overnight accommodation;The Netherlands;Groningen (PV);2017 4th quarter;104;212
6345;Total overnight accommodation;The Netherlands;Groningen (PV);2017;479;1070
6346;Total overnight accommodation;The Netherlands;Groningen (PV);2018 January;34;62
6347;Total overnight accommodation;The Netherlands;Groningen (PV);2018 February;33;55
6348;Total overnight accommodation;The Netherlands;Groningen (PV);2018 March;41;70
