ID;LorriesRoadTractorsLoadCapacityLC;AgeOfVehicle;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
1425;Lorry (road tractor not included);Vehicle 0 years old;2020;97.2;88.2;9.0;113.5;88.2;25.3;31322.0;24339.0;6984.0;3623.0
1426;Lorry (road tractor not included);Vehicle 1 year old;1990;506.0;474.0;32.0;666.0;474.0;192.0;;;;
1427;Lorry (road tractor not included);Vehicle 1 year old;1991;485.0;452.0;33.0;652.0;452.0;200.0;;;;
1428;Lorry (road tractor not included);Vehicle 1 year old;1992;450.0;420.0;30.0;607.0;420.0;188.0;;;;
1429;Lorry (road tractor not included);Vehicle 1 year old;1993;435.0;405.0;30.0;596.0;405.0;191.0;;;;
1430;Lorry (road tractor not included);Vehicle 1 year old;1994;446.0;419.0;27.0;594.0;419.0;176.0;;;;
1431;Lorry (road tractor not included);Vehicle 1 year old;1995;458.0;431.0;27.0;612.0;431.0;181.0;;;;
1432;Lorry (road tractor not included);Vehicle 1 year old;1996;440.0;415.0;25.0;589.0;415.0;174.0;;;;
1433;Lorry (road tractor not included);Vehicle 1 year old;1997;441.0;416.0;25.0;591.0;416.0;175.0;;;;
1434;Lorry (road tractor not included);Vehicle 1 year old;1998;433.0;409.0;24.0;581.0;409.0;172.0;;;;
1435;Lorry (road tractor not included);Vehicle 1 year old;1999;454.0;432.0;23.0;613.0;432.0;181.0;;;;
1436;Lorry (road tractor not included);Vehicle 1 year old;2000;432.0;409.0;23.0;581.0;409.0;172.0;;;;
1437;Lorry (road tractor not included);Vehicle 1 year old;2001;403.0;380.0;23.0;532.0;380.0;152.0;;;;
1438;Lorry (road tractor not included);Vehicle 1 year old;2002;369.8;349.3;20.5;484.9;349.3;135.5;71618.0;51601.0;20018.0;6770.0
1439;Lorry (road tractor not included);Vehicle 1 year old;2003;293.0;276.0;16.9;392.0;276.0;116.0;69758.0;49122.0;20636.0;5619.0
1440;Lorry (road tractor not included);Vehicle 1 year old;2004;259.0;243.4;15.6;343.5;243.4;100.1;71976.0;51005.0;20971.0;4772.0
1441;Lorry (road tractor not included);Vehicle 1 year old;2005;252.9;235.4;17.5;341.7;235.4;106.3;76077.0;52405.0;23672.0;4492.0
1442;Lorry (road tractor not included);Vehicle 1 year old;2006;256.4;237.7;18.7;341.0;237.7;103.3;71463.0;49808.0;21655.0;4772.0
1443;Lorry (road tractor not included);Vehicle 1 year old;2007;321.5;296.6;24.9;425.1;296.6;128.5;67487.0;47087.0;20400.0;6299.0
1444;Lorry (road tractor not included);Vehicle 1 year old;2008;257.8;238.8;19.0;333.5;238.8;94.7;64031.0;45845.0;18187.0;5209.0
1445;Lorry (road tractor not included);Vehicle 1 year old;2009;295.9;275.3;20.6;374.6;275.3;99.3;59434.0;43684.0;15750.0;6303.0
1446;Lorry (road tractor not included);Vehicle 1 year old;2010;251.2;236.7;14.5;304.3;236.7;67.6;59524.0;46298.0;13226.0;5113.0
1447;Lorry (road tractor not included);Vehicle 1 year old;2011;179.3;166.7;12.6;228.8;166.7;62.1;60663.0;44199.0;16463.0;3771.0
1448;Lorry (road tractor not included);Vehicle 1 year old;2012;197.4;183.4;13.9;248.7;183.4;65.3;65589.0;48373.0;17217.0;3792.0
1449;Lorry (road tractor not included);Vehicle 1 year old;2013;176.8;163.8;12.9;226.6;163.8;62.8;64930.0;46938.0;17991.0;3490.0
1450;Lorry (road tractor not included);Vehicle 1 year old;2014;172.7;160.0;12.7;218.8;160.0;58.8;65736.0;48067.0;17669.0;3328.0
1451;Lorry (road tractor not included);Vehicle 1 year old;2015;133.9;124.3;9.6;163.0;124.3;38.6;62484.0;47664.0;14819.0;2608.0
1452;Lorry (road tractor not included);Vehicle 1 year old;2016;181.3;167.7;13.6;214.5;167.7;46.9;64831.0;50666.0;14166.0;3309.0
1453;Lorry (road tractor not included);Vehicle 1 year old;2017;229.8;215.4;14.4;262.3;215.4;46.9;64157.0;52678.0;11479.0;4089.0
1454;Lorry (road tractor not included);Vehicle 1 year old;2018;221.3;206.5;14.8;255.6;206.5;49.1;63182.0;51047.0;12135.0;4045.0
1455;Lorry (road tractor not included);Vehicle 1 year old;2019;232.6;214.8;17.8;269.6;214.8;54.7;59987.0;47806.0;12181.0;4494.0
1456;Lorry (road tractor not included);Vehicle 1 year old;2020;248.8;230.3;18.5;282.1;230.3;51.8;57928.0;47293.0;10636.0;4870.0
1457;Lorry (road tractor not included);Vehicle 2 years old;1990;492.0;463.0;29.0;636.0;463.0;173.0;;;;
1458;Lorry (road tractor not included);Vehicle 2 years old;1991;427.0;400.0;27.0;563.0;400.0;163.0;;;;
1459;Lorry (road tractor not included);Vehicle 2 years old;1992;461.0;433.0;29.0;611.0;433.0;178.0;;;;
1460;Lorry (road tractor not included);Vehicle 2 years old;1993;446.0;418.0;29.0;599.0;418.0;181.0;;;;
1461;Lorry (road tractor not included);Vehicle 2 years old;1994;462.0;436.0;26.0;605.0;436.0;169.0;;;;
1462;Lorry (road tractor not included);Vehicle 2 years old;1995;475.0;449.0;26.0;623.0;449.0;174.0;;;;
1463;Lorry (road tractor not included);Vehicle 2 years old;1996;456.0;432.0;24.0;599.0;432.0;167.0;;;;
1464;Lorry (road tractor not included);Vehicle 2 years old;1997;457.0;434.0;24.0;601.0;434.0;168.0;;;;
1465;Lorry (road tractor not included);Vehicle 2 years old;1998;449.0;426.0;23.0;591.0;426.0;165.0;;;;
1466;Lorry (road tractor not included);Vehicle 2 years old;1999;471.0;450.0;22.0;623.0;450.0;174.0;;;;
1467;Lorry (road tractor not included);Vehicle 2 years old;2000;448.0;426.0;22.0;591.0;426.0;165.0;;;;
1468;Lorry (road tractor not included);Vehicle 2 years old;2001;418.0;398.0;21.0;535.0;398.0;137.0;;;;
1469;Lorry (road tractor not included);Vehicle 2 years old;2002;390.3;369.8;20.5;505.2;369.8;135.3;69133.0;50615.0;18518.0;7307.0
1470;Lorry (road tractor not included);Vehicle 2 years old;2003;364.2;346.4;17.8;468.1;346.4;121.7;68636.0;50792.0;17844.0;6820.0
1471;Lorry (road tractor not included);Vehicle 2 years old;2004;293.8;277.5;16.4;382.6;277.5;105.1;67701.0;49101.0;18600.0;5651.0
1472;Lorry (road tractor not included);Vehicle 2 years old;2005;256.2;241.3;14.9;331.8;241.3;90.5;69175.0;50312.0;18863.0;4796.0
1473;Lorry (road tractor not included);Vehicle 2 years old;2006;249.6;232.5;17.1;326.7;232.5;94.2;72497.0;51592.0;20906.0;4507.0
1474;Lorry (road tractor not included);Vehicle 2 years old;2007;257.0;238.5;18.5;334.0;238.5;95.5;70225.0;50148.0;20077.0;4756.0
1475;Lorry (road tractor not included);Vehicle 2 years old;2008;327.0;305.2;21.8;413.9;305.2;108.8;66030.0;48681.0;17349.0;6269.0
1476;Lorry (road tractor not included);Vehicle 2 years old;2009;258.3;241.5;16.8;322.5;241.5;80.9;61600.0;46138.0;15462.0;5235.0
1477;Lorry (road tractor not included);Vehicle 2 years old;2010;305.3;284.5;20.7;381.5;284.5;96.9;60309.0;44988.0;15321.0;6325.0
1478;Lorry (road tractor not included);Vehicle 2 years old;2011;249.9;235.3;14.6;307.4;235.3;72.1;59990.0;45915.0;14075.0;5124.0
1479;Lorry (road tractor not included);Vehicle 2 years old;2012;180.9;169.1;11.8;224.4;169.1;55.4;59448.0;44784.0;14664.0;3775.0
1480;Lorry (road tractor not included);Vehicle 2 years old;2013;187.2;171.1;16.0;249.0;171.1;77.8;65621.0;45103.0;20518.0;3794.0
1481;Lorry (road tractor not included);Vehicle 2 years old;2014;176.6;162.3;14.3;228.6;162.3;66.3;65418.0;46451.0;18967.0;3494.0
1482;Lorry (road tractor not included);Vehicle 2 years old;2015;180.3;166.3;14.1;222.9;166.3;56.6;67740.0;50532.0;17208.0;3290.0
1483;Lorry (road tractor not included);Vehicle 2 years old;2016;138.1;127.2;10.9;164.7;127.2;37.4;64168.0;49581.0;14587.0;2566.0
1484;Lorry (road tractor not included);Vehicle 2 years old;2017;183.1;170.5;12.5;211.3;170.5;40.8;64729.0;52231.0;12498.0;3265.0
1485;Lorry (road tractor not included);Vehicle 2 years old;2018;218.3;201.7;16.5;256.5;201.7;54.8;63025.0;49566.0;13459.0;4070.0
1486;Lorry (road tractor not included);Vehicle 2 years old;2019;213.8;197.8;16.0;247.1;197.8;49.3;61449.0;49184.0;12265.0;4021.0
1487;Lorry (road tractor not included);Vehicle 2 years old;2020;231.6;210.5;21.1;269.7;210.5;59.1;59898.0;46762.0;13135.0;4502.0
1488;Lorry (road tractor not included);Vehicle 3 years old;1990;470.0;445.0;26.0;597.0;445.0;152.0;;;;
1489;Lorry (road tractor not included);Vehicle 3 years old;1991;465.0;437.0;27.0;601.0;437.0;163.0;;;;
1490;Lorry (road tractor not included);Vehicle 3 years old;1992;438.0;413.0;25.0;569.0;413.0;156.0;;;;
1491;Lorry (road tractor not included);Vehicle 3 years old;1993;424.0;399.0;25.0;558.0;399.0;159.0;;;;
1492;Lorry (road tractor not included);Vehicle 3 years old;1994;430.0;408.0;22.0;553.0;408.0;145.0;;;;
1493;Lorry (road tractor not included);Vehicle 3 years old;1995;442.0;421.0;22.0;570.0;421.0;149.0;;;;
1494;Lorry (road tractor not included);Vehicle 3 years old;1996;426.0;405.0;21.0;548.0;405.0;144.0;;;;
1495;Lorry (road tractor not included);Vehicle 3 years old;1997;426.0;406.0;20.0;550.0;406.0;144.0;;;;
1496;Lorry (road tractor not included);Vehicle 3 years old;1998;419.0;399.0;20.0;541.0;399.0;142.0;;;;
1497;Lorry (road tractor not included);Vehicle 3 years old;1999;440.0;421.0;19.0;570.0;421.0;149.0;;;;
1498;Lorry (road tractor not included);Vehicle 3 years old;2000;418.0;399.0;19.0;540.0;399.0;142.0;;;;
1499;Lorry (road tractor not included);Vehicle 3 years old;2001;383.0;366.0;17.0;480.0;366.0;114.0;;;;
1500;Lorry (road tractor not included);Vehicle 3 years old;2002;385.6;367.8;17.8;485.3;367.8;117.5;64914.0;49196.0;15718.0;7476.0
1501;Lorry (road tractor not included);Vehicle 3 years old;2003;371.1;353.6;17.5;473.1;353.6;119.5;64202.0;47989.0;16213.0;7369.0
1502;Lorry (road tractor not included);Vehicle 3 years old;2004;350.4;333.5;16.9;442.1;333.5;108.6;64836.0;48911.0;15925.0;6819.0
1503;Lorry (road tractor not included);Vehicle 3 years old;2005;284.7;269.3;15.5;362.9;269.3;93.7;64222.0;47647.0;16575.0;5651.0
1504;Lorry (road tractor not included);Vehicle 3 years old;2006;249.3;234.7;14.7;315.8;234.7;81.2;65495.0;48663.0;16832.0;4822.0
1505;Lorry (road tractor not included);Vehicle 3 years old;2007;238.9;222.8;16.0;305.6;222.8;82.8;68384.0;49864.0;18519.0;4469.0
1506;Lorry (road tractor not included);Vehicle 3 years old;2008;246.5;231.4;15.2;307.2;231.4;75.9;65076.0;49007.0;16069.0;4721.0
1507;Lorry (road tractor not included);Vehicle 3 years old;2009;316.0;297.3;18.8;387.9;297.3;90.6;61862.0;47412.0;14450.0;6270.0
1508;Lorry (road tractor not included);Vehicle 3 years old;2010;257.9;241.1;16.8;319.6;241.1;78.5;60104.0;45338.0;14766.0;5318.0
1509;Lorry (road tractor not included);Vehicle 3 years old;2011;312.6;295.0;17.6;381.8;295.0;86.8;60047.0;46399.0;13648.0;6358.0
1510;Lorry (road tractor not included);Vehicle 3 years old;2012;248.5;235.2;13.3;297.6;235.2;62.4;58090.0;45911.0;12180.0;5123.0
1511;Lorry (road tractor not included);Vehicle 3 years old;2013;174.0;162.5;11.5;218.1;162.5;55.6;57642.0;42958.0;14684.0;3783.0
1512;Lorry (road tractor not included);Vehicle 3 years old;2014;186.6;170.7;16.0;244.4;170.7;73.7;63986.0;44680.0;19306.0;3820.0
1513;Lorry (road tractor not included);Vehicle 3 years old;2015;182.2;168.2;14.0;224.5;168.2;56.3;62911.0;47136.0;15775.0;3568.0
1514;Lorry (road tractor not included);Vehicle 3 years old;2016;184.2;170.1;14.0;218.5;170.1;48.4;64895.0;50532.0;14363.0;3367.0
1515;Lorry (road tractor not included);Vehicle 3 years old;2017;140.2;130.5;9.6;162.0;130.5;31.4;61324.0;49430.0;11894.0;2641.0
1516;Lorry (road tractor not included);Vehicle 3 years old;2018;171.5;156.4;15.1;206.3;156.4;49.9;62104.0;47093.0;15011.0;3322.0
1517;Lorry (road tractor not included);Vehicle 3 years old;2019;206.9;186.7;20.2;248.9;186.7;62.2;60335.0;45265.0;15069.0;4125.0
1518;Lorry (road tractor not included);Vehicle 3 years old;2020;203.9;182.7;21.2;242.1;182.7;59.5;59533.0;44910.0;14622.0;4067.0
1519;Lorry (road tractor not included);Vehicle 4 years old;1990;400.0;380.0;20.0;500.0;380.0;119.0;;;;
1520;Lorry (road tractor not included);Vehicle 4 years old;1991;413.0;391.0;22.0;524.0;391.0;134.0;;;;
1521;Lorry (road tractor not included);Vehicle 4 years old;1992;431.0;408.0;23.0;549.0;408.0;141.0;;;;
1522;Lorry (road tractor not included);Vehicle 4 years old;1993;416.0;394.0;23.0;537.0;394.0;144.0;;;;
1523;Lorry (road tractor not included);Vehicle 4 years old;1994;391.0;373.0;19.0;494.0;373.0;121.0;;;;
1524;Lorry (road tractor not included);Vehicle 4 years old;1995;402.0;384.0;18.0;509.0;384.0;125.0;;;;
1525;Lorry (road tractor not included);Vehicle 4 years old;1996;387.0;369.0;18.0;489.0;369.0;120.0;;;;
1526;Lorry (road tractor not included);Vehicle 4 years old;1997;388.0;371.0;17.0;491.0;371.0;120.0;;;;
1527;Lorry (road tractor not included);Vehicle 4 years old;1998;381.0;364.0;16.0;483.0;364.0;118.0;;;;
1528;Lorry (road tractor not included);Vehicle 4 years old;1999;400.0;384.0;16.0;509.0;384.0;125.0;;;;
1529;Lorry (road tractor not included);Vehicle 4 years old;2000;380.0;364.0;16.0;483.0;364.0;118.0;;;;
1530;Lorry (road tractor not included);Vehicle 4 years old;2001;317.0;303.0;14.0;394.0;303.0;91.0;;;;
1531;Lorry (road tractor not included);Vehicle 4 years old;2002;345.4;330.9;14.5;426.7;330.9;95.9;58211.0;45132.0;13079.0;7331.0
1532;Lorry (road tractor not included);Vehicle 4 years old;2003;356.2;341.3;15.0;443.7;341.3;102.4;60306.0;46386.0;13919.0;7357.0
1533;Lorry (road tractor not included);Vehicle 4 years old;2004;353.4;336.9;16.5;443.0;336.9;106.1;60692.0;46150.0;14542.0;7299.0
1534;Lorry (road tractor not included);Vehicle 4 years old;2005;333.4;317.5;15.9;414.2;317.5;96.7;61818.0;47388.0;14431.0;6700.0
1535;Lorry (road tractor not included);Vehicle 4 years old;2006;266.5;251.8;14.7;333.0;251.8;81.2;60103.0;45443.0;14660.0;5540.0
1536;Lorry (road tractor not included);Vehicle 4 years old;2007;234.1;220.5;13.6;290.7;220.5;70.1;61974.0;47025.0;14950.0;4690.0
1537;Lorry (road tractor not included);Vehicle 4 years old;2008;217.3;204.1;13.2;270.1;204.1;66.0;62138.0;46948.0;15190.0;4347.0
1538;Lorry (road tractor not included);Vehicle 4 years old;2009;229.5;215.2;14.3;284.1;215.2;68.9;60696.0;45970.0;14726.0;4681.0
1539;Lorry (road tractor not included);Vehicle 4 years old;2010;305.2;286.1;19.1;375.3;286.1;89.2;60263.0;45941.0;14321.0;6228.0
1540;Lorry (road tractor not included);Vehicle 4 years old;2011;247.2;229.8;17.4;315.7;229.8;85.9;59825.0;43542.0;16284.0;5277.0
1541;Lorry (road tractor not included);Vehicle 4 years old;2012;302.8;286.8;16.1;362.1;286.8;75.3;57181.0;45288.0;11892.0;6332.0
1542;Lorry (road tractor not included);Vehicle 4 years old;2013;237.2;224.1;13.1;287.6;224.1;63.6;56137.0;43734.0;12403.0;5124.0
1543;Lorry (road tractor not included);Vehicle 4 years old;2014;166.6;154.2;12.4;211.7;154.2;57.5;56182.0;40917.0;15264.0;3768.0
1544;Lorry (road tractor not included);Vehicle 4 years old;2015;191.3;176.2;15.1;236.9;176.2;60.7;60786.0;45216.0;15570.0;3897.0
1545;Lorry (road tractor not included);Vehicle 4 years old;2016;183.8;169.4;14.4;219.0;169.4;49.7;60840.0;47042.0;13798.0;3600.0
1546;Lorry (road tractor not included);Vehicle 4 years old;2017;185.9;174.8;11.1;211.0;174.8;36.2;61498.0;50945.0;10553.0;3431.0
1547;Lorry (road tractor not included);Vehicle 4 years old;2018;135.4;126.5;9.0;156.2;126.5;29.7;57536.0;46596.0;10941.0;2714.0
1548;Lorry (road tractor not included);Vehicle 4 years old;2019;162.5;148.4;14.1;191.9;148.4;43.5;56903.0;44011.0;12891.0;3372.0
1549;Lorry (road tractor not included);Vehicle 4 years old;2020;196.2;175.1;21.1;234.1;175.1;59.0;55962.0;41856.0;14106.0;4184.0
1550;Lorry (road tractor not included);Vehicle 5 years old;1990;340.0;325.0;16.0;417.0;325.0;93.0;;;;
1551;Lorry (road tractor not included);Vehicle 5 years old;1991;414.0;394.0;20.0;516.0;394.0;123.0;;;;
1552;Lorry (road tractor not included);Vehicle 5 years old;1992;425.0;405.0;21.0;532.0;405.0;128.0;;;;
1553;Lorry (road tractor not included);Vehicle 5 years old;1993;411.0;391.0;20.0;521.0;391.0;130.0;;;;
1554;Lorry (road tractor not included);Vehicle 5 years old;1994;386.0;369.0;17.0;478.0;369.0;109.0;;;;
1555;Lorry (road tractor not included);Vehicle 5 years old;1995;396.0;380.0;17.0;492.0;380.0;113.0;;;;
1556;Lorry (road tractor not included);Vehicle 5 years old;1996;381.0;366.0;16.0;474.0;366.0;108.0;;;;
1557;Lorry (road tractor not included);Vehicle 5 years old;1997;382.0;367.0;15.0;475.0;367.0;109.0;;;;
1558;Lorry (road tractor not included);Vehicle 5 years old;1998;375.0;361.0;15.0;467.0;361.0;107.0;;;;
1559;Lorry (road tractor not included);Vehicle 5 years old;1999;394.0;380.0;14.0;493.0;380.0;113.0;;;;
1560;Lorry (road tractor not included);Vehicle 5 years old;2000;375.0;360.0;14.0;467.0;360.0;107.0;;;;
1561;Lorry (road tractor not included);Vehicle 5 years old;2001;311.0;298.0;12.0;381.0;298.0;82.0;;;;
1562;Lorry (road tractor not included);Vehicle 5 years old;2002;273.2;262.2;11.0;334.8;262.2;72.6;52623.0;41208.0;11415.0;6362.0
1563;Lorry (road tractor not included);Vehicle 5 years old;2003;309.1;297.3;11.8;378.3;297.3;80.9;53531.0;42076.0;11456.0;7066.0
1564;Lorry (road tractor not included);Vehicle 5 years old;2004;327.7;314.0;13.7;401.7;314.0;87.7;56079.0;43841.0;12238.0;7163.0
1565;Lorry (road tractor not included);Vehicle 5 years old;2005;323.6;308.7;14.9;399.0;308.7;90.3;56526.0;43736.0;12790.0;7058.0
1566;Lorry (road tractor not included);Vehicle 5 years old;2006;305.4;290.5;14.9;372.9;290.5;82.5;57243.0;44587.0;12656.0;6515.0
1567;Lorry (road tractor not included);Vehicle 5 years old;2007;244.1;231.2;12.9;297.6;231.2;66.4;55579.0;43177.0;12402.0;5355.0
1568;Lorry (road tractor not included);Vehicle 5 years old;2008;206.9;195.9;11.1;251.2;195.9;55.3;55078.0;42957.0;12121.0;4560.0
1569;Lorry (road tractor not included);Vehicle 5 years old;2009;198.5;186.6;11.9;244.1;186.6;57.5;57930.0;44274.0;13655.0;4214.0
1570;Lorry (road tractor not included);Vehicle 5 years old;2010;210.5;196.3;14.2;262.8;196.3;66.5;57700.0;43104.0;14596.0;4554.0
1571;Lorry (road tractor not included);Vehicle 5 years old;2011;287.2;270.4;16.8;353.1;270.4;82.7;58083.0;44482.0;13601.0;6079.0
1572;Lorry (road tractor not included);Vehicle 5 years old;2012;241.0;226.0;15.0;296.4;226.0;70.4;56797.0;43314.0;13482.0;5218.0
1573;Lorry (road tractor not included);Vehicle 5 years old;2013;276.0;259.0;17.0;341.4;259.0;82.4;54305.0;41202.0;13103.0;6286.0
1574;Lorry (road tractor not included);Vehicle 5 years old;2014;229.3;217.2;12.1;273.1;217.2;55.9;54116.0;43043.0;11074.0;5047.0
1575;Lorry (road tractor not included);Vehicle 5 years old;2015;177.4;168.8;8.6;203.4;168.8;34.6;53907.0;44741.0;9166.0;3773.0
1576;Lorry (road tractor not included);Vehicle 5 years old;2016;194.8;181.3;13.5;227.8;181.3;46.5;58474.0;46544.0;11931.0;3895.0
1577;Lorry (road tractor not included);Vehicle 5 years old;2017;174.1;159.3;14.8;207.6;159.3;48.3;57422.0;44056.0;13366.0;3615.0
1578;Lorry (road tractor not included);Vehicle 5 years old;2018;167.6;155.1;12.5;196.6;155.1;41.5;57604.0;45431.0;12173.0;3413.0
1579;Lorry (road tractor not included);Vehicle 5 years old;2019;129.1;120.1;9.0;147.9;120.1;27.8;53736.0;43632.0;10105.0;2753.0
1580;Lorry (road tractor not included);Vehicle 5 years old;2020;156.0;141.5;14.5;182.1;141.5;40.5;53389.0;41508.0;11881.0;3410.0
1581;Lorry (road tractor not included);Vehicle 6 years old;1990;204.0;196.0;9.0;246.0;196.0;51.0;;;;
1582;Lorry (road tractor not included);Vehicle 6 years old;1991;233.0;223.0;11.0;286.0;223.0;63.0;;;;
1583;Lorry (road tractor not included);Vehicle 6 years old;1992;294.0;281.0;13.0;361.0;281.0;80.0;;;;
1584;Lorry (road tractor not included);Vehicle 6 years old;1993;284.0;271.0;13.0;353.0;271.0;82.0;;;;
1585;Lorry (road tractor not included);Vehicle 6 years old;1994;271.0;261.0;11.0;331.0;261.0;70.0;;;;
1586;Lorry (road tractor not included);Vehicle 6 years old;1995;279.0;269.0;11.0;341.0;269.0;72.0;;;;
1587;Lorry (road tractor not included);Vehicle 6 years old;1996;268.0;258.0;10.0;328.0;258.0;69.0;;;;
1588;Lorry (road tractor not included);Vehicle 6 years old;1997;269.0;259.0;10.0;329.0;259.0;70.0;;;;
1589;Lorry (road tractor not included);Vehicle 6 years old;1998;264.0;255.0;9.0;323.0;255.0;68.0;;;;
1590;Lorry (road tractor not included);Vehicle 6 years old;1999;278.0;269.0;9.0;341.0;269.0;72.0;;;;
1591;Lorry (road tractor not included);Vehicle 6 years old;2000;264.0;255.0;9.0;323.0;255.0;68.0;;;;
1592;Lorry (road tractor not included);Vehicle 6 years old;2001;224.0;216.0;8.0;269.0;216.0;53.0;;;;
1593;Lorry (road tractor not included);Vehicle 6 years old;2002;249.9;240.8;9.1;300.8;240.8;60.0;47198.0;37782.0;9416.0;6373.0
1594;Lorry (road tractor not included);Vehicle 6 years old;2003;233.1;224.9;8.2;280.8;224.9;55.9;47035.0;37670.0;9365.0;5970.0
1595;Lorry (road tractor not included);Vehicle 6 years old;2004;271.3;261.3;10.0;325.6;261.3;64.3;48853.0;39202.0;9651.0;6665.0
1596;Lorry (road tractor not included);Vehicle 6 years old;2005;291.9;280.3;11.6;350.5;280.3;70.1;51975.0;41573.0;10402.0;6743.0
1597;Lorry (road tractor not included);Vehicle 6 years old;2006;287.7;274.7;13.0;346.4;274.7;71.7;51969.0;41210.0;10759.0;6666.0
1598;Lorry (road tractor not included);Vehicle 6 years old;2007;274.3;262.1;12.2;325.0;262.1;63.0;52165.0;42060.0;10105.0;6231.0
1599;Lorry (road tractor not included);Vehicle 6 years old;2008;209.7;199.5;10.2;250.4;199.5;50.9;49462.0;39414.0;10047.0;5062.0
1600;Lorry (road tractor not included);Vehicle 6 years old;2009;185.2;175.8;9.5;221.4;175.8;45.6;50630.0;40200.0;10430.0;4373.0
1601;Lorry (road tractor not included);Vehicle 6 years old;2010;182.1;171.2;11.0;222.5;171.2;51.3;54203.0;41697.0;12507.0;4105.0
1602;Lorry (road tractor not included);Vehicle 6 years old;2011;193.6;183.2;10.3;234.1;183.2;50.8;53419.0;41815.0;11604.0;4382.0
1603;Lorry (road tractor not included);Vehicle 6 years old;2012;257.5;240.9;16.7;318.9;240.9;78.0;54189.0;40929.0;13260.0;5885.0
1604;Lorry (road tractor not included);Vehicle 6 years old;2013;217.5;202.7;14.8;274.5;202.7;71.7;53671.0;39644.0;14027.0;5114.0
1605;Lorry (road tractor not included);Vehicle 6 years old;2014;260.6;245.4;15.2;315.9;245.4;70.5;51254.0;39815.0;11439.0;6163.0
1606;Lorry (road tractor not included);Vehicle 6 years old;2015;216.1;203.5;12.6;254.3;203.5;50.9;51379.0;41101.0;10278.0;4950.0
1607;Lorry (road tractor not included);Vehicle 6 years old;2016;164.0;153.2;10.8;190.3;153.2;37.1;50778.0;40885.0;9893.0;3748.0
1608;Lorry (road tractor not included);Vehicle 6 years old;2017;175.0;160.4;14.6;208.0;160.4;47.6;53658.0;41386.0;12272.0;3876.0
1609;Lorry (road tractor not included);Vehicle 6 years old;2018;159.1;146.6;12.5;187.9;146.6;41.3;51974.0;40547.0;11427.0;3615.0
1610;Lorry (road tractor not included);Vehicle 6 years old;2019;144.9;130.5;14.5;175.1;130.5;44.6;51635.0;38477.0;13157.0;3391.0
1611;Lorry (road tractor not included);Vehicle 6 years old;2020;110.2;99.7;10.5;129.1;99.7;29.4;46886.0;36213.0;10673.0;2754.0
1612;Lorry (road tractor not included);Vehicle 7 years old;1990;137.0;132.0;5.0;162.0;132.0;31.0;;;;
1613;Lorry (road tractor not included);Vehicle 7 years old;1991;189.0;182.0;8.0;228.0;182.0;46.0;;;;
1614;Lorry (road tractor not included);Vehicle 7 years old;1992;206.0;198.0;8.0;249.0;198.0;51.0;;;;
1615;Lorry (road tractor not included);Vehicle 7 years old;1993;199.0;191.0;8.0;243.0;191.0;52.0;;;;
1616;Lorry (road tractor not included);Vehicle 7 years old;1994;202.0;195.0;7.0;242.0;195.0;47.0;;;;
1617;Lorry (road tractor not included);Vehicle 7 years old;1995;208.0;200.0;7.0;249.0;200.0;49.0;;;;
1618;Lorry (road tractor not included);Vehicle 7 years old;1996;200.0;193.0;7.0;239.0;193.0;47.0;;;;
1619;Lorry (road tractor not included);Vehicle 7 years old;1997;200.0;193.0;7.0;240.0;193.0;47.0;;;;
1620;Lorry (road tractor not included);Vehicle 7 years old;1998;197.0;190.0;6.0;236.0;190.0;46.0;;;;
1621;Lorry (road tractor not included);Vehicle 7 years old;1999;207.0;201.0;6.0;249.0;201.0;49.0;;;;
1622;Lorry (road tractor not included);Vehicle 7 years old;2000;196.0;190.0;6.0;236.0;190.0;46.0;;;;
1623;Lorry (road tractor not included);Vehicle 7 years old;2001;178.0;172.0;6.0;209.0;172.0;36.0;;;;
1624;Lorry (road tractor not included);Vehicle 7 years old;2002;173.7;168.1;5.7;205.7;168.1;37.6;39579.0;32343.0;7236.0;5196.0
1625;Lorry (road tractor not included);Vehicle 7 years old;2003;202.4;195.8;6.5;240.5;195.8;44.7;42008.0;34199.0;7809.0;5726.0
1626;Lorry (road tractor not included);Vehicle 7 years old;2004;197.7;190.9;6.8;234.6;190.9;43.7;42989.0;34980.0;8009.0;5456.0
1627;Lorry (road tractor not included);Vehicle 7 years old;2005;231.5;223.2;8.3;273.6;223.2;50.4;45037.0;36745.0;8292.0;6075.0
1628;Lorry (road tractor not included);Vehicle 7 years old;2006;249.5;239.5;10.0;294.5;239.5;55.0;47302.0;38474.0;8828.0;6226.0
1629;Lorry (road tractor not included);Vehicle 7 years old;2007;253.4;243.2;10.2;296.0;243.2;52.8;47481.0;39007.0;8473.0;6235.0
1630;Lorry (road tractor not included);Vehicle 7 years old;2008;239.4;230.5;8.9;274.9;230.5;44.4;46820.0;39263.0;7557.0;5871.0
1631;Lorry (road tractor not included);Vehicle 7 years old;2009;188.2;181.2;7.0;214.9;181.2;33.7;44998.0;37941.0;7057.0;4776.0
