ID;TypeOfBankruptcy;Periods;BankruptciesSessionDayCorrected_1
1209;Nat. person without sole proprietorship;2007 4th quarter;722
1210;Nat. person without sole proprietorship;2007;3350
1211;Nat. person without sole proprietorship;2008 January;327
1212;Nat. person without sole proprietorship;2008 February;172
1213;Nat. person without sole proprietorship;2008 March;155
1214;Nat. person without sole proprietorship;2008 1st quarter;654
1215;Nat. person without sole proprietorship;2008 April;172
1216;Nat. person without sole proprietorship;2008 May;159
1217;Nat. person without sole proprietorship;2008 June;185
1218;Nat. person without sole proprietorship;2008 2nd quarter;516
1219;Nat. person without sole proprietorship;2008 July;177
1220;Nat. person without sole proprietorship;2008 August;172
1221;Nat. person without sole proprietorship;2008 September;158
1222;Nat. person without sole proprietorship;2008 3rd quarter;507
1223;Nat. person without sole proprietorship;2008 October;148
1224;Nat. person without sole proprietorship;2008 November;209
1225;Nat. person without sole proprietorship;2008 December;176
1226;Nat. person without sole proprietorship;2008 4th quarter;533
1227;Nat. person without sole proprietorship;2008;2210
1228;Nat. person without sole proprietorship;2009 January;233
1229;Nat. person without sole proprietorship;2009 February;178
1230;Nat. person without sole proprietorship;2009 March;248
1231;Nat. person without sole proprietorship;2009 1st quarter;659
1232;Nat. person without sole proprietorship;2009 April;247
1233;Nat. person without sole proprietorship;2009 May;191
1234;Nat. person without sole proprietorship;2009 June;208
1235;Nat. person without sole proprietorship;2009 2nd quarter;646
1236;Nat. person without sole proprietorship;2009 July;187
1237;Nat. person without sole proprietorship;2009 August;199
1238;Nat. person without sole proprietorship;2009 September;174
1239;Nat. person without sole proprietorship;2009 3rd quarter;560
1240;Nat. person without sole proprietorship;2009 October;221
1241;Nat. person without sole proprietorship;2009 November;212
1242;Nat. person without sole proprietorship;2009 December;186
1243;Nat. person without sole proprietorship;2009 4th quarter;619
1244;Nat. person without sole proprietorship;2009;2484
1245;Nat. person without sole proprietorship;2010 January;215
1246;Nat. person without sole proprietorship;2010 February;193
1247;Nat. person without sole proprietorship;2010 March;219
1248;Nat. person without sole proprietorship;2010 1st quarter;627
1249;Nat. person without sole proprietorship;2010 April;222
1250;Nat. person without sole proprietorship;2010 May;148
1251;Nat. person without sole proprietorship;2010 June;209
1252;Nat. person without sole proprietorship;2010 2nd quarter;579
1253;Nat. person without sole proprietorship;2010 July;193
1254;Nat. person without sole proprietorship;2010 August;189
1255;Nat. person without sole proprietorship;2010 September;196
1256;Nat. person without sole proprietorship;2010 3rd quarter;578
1257;Nat. person without sole proprietorship;2010 October;191
1258;Nat. person without sole proprietorship;2010 November;204
1259;Nat. person without sole proprietorship;2010 December;165
1260;Nat. person without sole proprietorship;2010 4th quarter;560
1261;Nat. person without sole proprietorship;2010;2344
1262;Nat. person without sole proprietorship;2011 January;191
1263;Nat. person without sole proprietorship;2011 February;232
1264;Nat. person without sole proprietorship;2011 March;229
1265;Nat. person without sole proprietorship;2011 1st quarter;652
1266;Nat. person without sole proprietorship;2011 April;220
1267;Nat. person without sole proprietorship;2011 May;233
1268;Nat. person without sole proprietorship;2011 June;201
1269;Nat. person without sole proprietorship;2011 2nd quarter;654
1270;Nat. person without sole proprietorship;2011 July;212
1271;Nat. person without sole proprietorship;2011 August;192
1272;Nat. person without sole proprietorship;2011 September;219
1273;Nat. person without sole proprietorship;2011 3rd quarter;623
1274;Nat. person without sole proprietorship;2011 October;233
1275;Nat. person without sole proprietorship;2011 November;278
1276;Nat. person without sole proprietorship;2011 December;208
1277;Nat. person without sole proprietorship;2011 4th quarter;719
1278;Nat. person without sole proprietorship;2011;2648
1279;Nat. person without sole proprietorship;2012 January;222
1280;Nat. person without sole proprietorship;2012 February;290
1281;Nat. person without sole proprietorship;2012 March;255
1282;Nat. person without sole proprietorship;2012 1st quarter;767
1283;Nat. person without sole proprietorship;2012 April;215
1284;Nat. person without sole proprietorship;2012 May;232
1285;Nat. person without sole proprietorship;2012 June;239
1286;Nat. person without sole proprietorship;2012 2nd quarter;686
1287;Nat. person without sole proprietorship;2012 July;246
1288;Nat. person without sole proprietorship;2012 August;244
1289;Nat. person without sole proprietorship;2012 September;261
1290;Nat. person without sole proprietorship;2012 3rd quarter;751
1291;Nat. person without sole proprietorship;2012 October;237
1292;Nat. person without sole proprietorship;2012 November;285
1293;Nat. person without sole proprietorship;2012 December;276
1294;Nat. person without sole proprietorship;2012 4th quarter;798
1295;Nat. person without sole proprietorship;2012;3002
1296;Nat. person without sole proprietorship;2013 January;271
1297;Nat. person without sole proprietorship;2013 February;245
1298;Nat. person without sole proprietorship;2013 March;301
1299;Nat. person without sole proprietorship;2013 1st quarter;817
1300;Nat. person without sole proprietorship;2013 April;264
1301;Nat. person without sole proprietorship;2013 May;308
1302;Nat. person without sole proprietorship;2013 June;265
1303;Nat. person without sole proprietorship;2013 2nd quarter;837
1304;Nat. person without sole proprietorship;2013 July;232
1305;Nat. person without sole proprietorship;2013 August;201
1306;Nat. person without sole proprietorship;2013 September;212
1307;Nat. person without sole proprietorship;2013 3rd quarter;645
1308;Nat. person without sole proprietorship;2013 October;251
1309;Nat. person without sole proprietorship;2013 November;252
1310;Nat. person without sole proprietorship;2013 December;216
1311;Nat. person without sole proprietorship;2013 4th quarter;719
1312;Nat. person without sole proprietorship;2013;3018
1313;Nat. person without sole proprietorship;2014 January;244
1314;Nat. person without sole proprietorship;2014 February;235
1315;Nat. person without sole proprietorship;2014 March;192
1316;Nat. person without sole proprietorship;2014 1st quarter;671
1317;Nat. person without sole proprietorship;2014 April;197
1318;Nat. person without sole proprietorship;2014 May;177
1319;Nat. person without sole proprietorship;2014 June;139
1320;Nat. person without sole proprietorship;2014 2nd quarter;513
1321;Nat. person without sole proprietorship;2014 July;126
1322;Nat. person without sole proprietorship;2014 August;150
1323;Nat. person without sole proprietorship;2014 September;150
1324;Nat. person without sole proprietorship;2014 3rd quarter;426
1325;Nat. person without sole proprietorship;2014 October;153
1326;Nat. person without sole proprietorship;2014 November;152
1327;Nat. person without sole proprietorship;2014 December;133
1328;Nat. person without sole proprietorship;2014 4th quarter;438
1329;Nat. person without sole proprietorship;2014;2048
1330;Nat. person without sole proprietorship;2015 January;124
1331;Nat. person without sole proprietorship;2015 February;155
1332;Nat. person without sole proprietorship;2015 March;132
1333;Nat. person without sole proprietorship;2015 1st quarter;411
1334;Nat. person without sole proprietorship;2015 April;117
1335;Nat. person without sole proprietorship;2015 May;106
1336;Nat. person without sole proprietorship;2015 June;94
1337;Nat. person without sole proprietorship;2015 2nd quarter;317
1338;Nat. person without sole proprietorship;2015 July;105
1339;Nat. person without sole proprietorship;2015 August;85
1340;Nat. person without sole proprietorship;2015 September;92
1341;Nat. person without sole proprietorship;2015 3rd quarter;282
1342;Nat. person without sole proprietorship;2015 October;116
1343;Nat. person without sole proprietorship;2015 November;90
1344;Nat. person without sole proprietorship;2015 December;116
1345;Nat. person without sole proprietorship;2015 4th quarter;322
1346;Nat. person without sole proprietorship;2015;1332
1347;Nat. person without sole proprietorship;2016 January;82
1348;Nat. person without sole proprietorship;2016 February;90
1349;Nat. person without sole proprietorship;2016 March;102
1350;Nat. person without sole proprietorship;2016 1st quarter;274
1351;Nat. person without sole proprietorship;2016 April;93
1352;Nat. person without sole proprietorship;2016 May;87
1353;Nat. person without sole proprietorship;2016 June;78
1354;Nat. person without sole proprietorship;2016 2nd quarter;258
1355;Nat. person without sole proprietorship;2016 July;71
1356;Nat. person without sole proprietorship;2016 August;75
1357;Nat. person without sole proprietorship;2016 September;63
1358;Nat. person without sole proprietorship;2016 3rd quarter;209
1359;Nat. person without sole proprietorship;2016 October;65
1360;Nat. person without sole proprietorship;2016 November;65
1361;Nat. person without sole proprietorship;2016 December;69
1362;Nat. person without sole proprietorship;2016 4th quarter;199
1363;Nat. person without sole proprietorship;2016;940
1364;Nat. person without sole proprietorship;2017 January;60
1365;Nat. person without sole proprietorship;2017 February;55
1366;Nat. person without sole proprietorship;2017 March;73
1367;Nat. person without sole proprietorship;2017 1st quarter;188
1368;Nat. person without sole proprietorship;2017 April;76
1369;Nat. person without sole proprietorship;2017 May;75
1370;Nat. person without sole proprietorship;2017 June;60
1371;Nat. person without sole proprietorship;2017 2nd quarter;211
1372;Nat. person without sole proprietorship;2017 July;55
1373;Nat. person without sole proprietorship;2017 August;62
1374;Nat. person without sole proprietorship;2017 September;70
1375;Nat. person without sole proprietorship;2017 3rd quarter;187
1376;Nat. person without sole proprietorship;2017 October;66
1377;Nat. person without sole proprietorship;2017 November;53
1378;Nat. person without sole proprietorship;2017 December;48
1379;Nat. person without sole proprietorship;2017 4th quarter;167
1380;Nat. person without sole proprietorship;2017;753
1381;Nat. person without sole proprietorship;2018 January;49
1382;Nat. person without sole proprietorship;2018 February;35
1383;Nat. person without sole proprietorship;2018 March;66
1384;Nat. person without sole proprietorship;2018 1st quarter;150
1385;Nat. person without sole proprietorship;2018 April;52
1386;Nat. person without sole proprietorship;2018 May;43
1387;Nat. person without sole proprietorship;2018 June;55
1388;Nat. person without sole proprietorship;2018 2nd quarter;150
1389;Nat. person without sole proprietorship;2018 July;47
1390;Nat. person without sole proprietorship;2018 August;37
1391;Nat. person without sole proprietorship;2018 September;46
1392;Nat. person without sole proprietorship;2018 3rd quarter;130
1393;Nat. person without sole proprietorship;2018 October;55
1394;Nat. person without sole proprietorship;2018 November;53
1395;Nat. person without sole proprietorship;2018 December;55
1396;Nat. person without sole proprietorship;2018 4th quarter;163
1397;Nat. person without sole proprietorship;2018;593
1398;Nat. person without sole proprietorship;2019 January;65
1399;Nat. person without sole proprietorship;2019 February;48
1400;Nat. person without sole proprietorship;2019 March;60
1401;Nat. person without sole proprietorship;2019 1st quarter;173
1402;Nat. person without sole proprietorship;2019 April;46
1403;Nat. person without sole proprietorship;2019 May;32
1404;Nat. person without sole proprietorship;2019 June;67
1405;Nat. person without sole proprietorship;2019 2nd quarter;145
1406;Nat. person without sole proprietorship;2019 July;44
1407;Nat. person without sole proprietorship;2019 August;45
1408;Nat. person without sole proprietorship;2019 September;47
1409;Nat. person without sole proprietorship;2019 3rd quarter;136
1410;Nat. person without sole proprietorship;2019 October;51
1411;Nat. person without sole proprietorship;2019 November;53
1412;Nat. person without sole proprietorship;2019 December;28
1413;Nat. person without sole proprietorship;2019 4th quarter;132
1414;Nat. person without sole proprietorship;2019;586
1415;Nat. person without sole proprietorship;2020 January;46
1416;Nat. person without sole proprietorship;2020 February;55
1417;Nat. person without sole proprietorship;2020 March;32
1418;Nat. person without sole proprietorship;2020 1st quarter;133
1419;Nat. person without sole proprietorship;2020 April;33
1420;Nat. person without sole proprietorship;2020 May;61
1421;Nat. person without sole proprietorship;2020 June;46
1422;Nat. person without sole proprietorship;2020 2nd quarter;140
1423;Nat. person without sole proprietorship;2020 July;30
1424;Nat. person without sole proprietorship;2020 August;22
1425;Nat. person without sole proprietorship;2020 September;38
1426;Nat. person without sole proprietorship;2020 3rd quarter;90
1427;Nat. person without sole proprietorship;2020 October;38
1428;Nat. person without sole proprietorship;2020 November;29
1429;Nat. person without sole proprietorship;2020 December;25
1430;Nat. person without sole proprietorship;2020 4th quarter;92
1431;Nat. person without sole proprietorship;2020;455
1432;Nat. person without sole proprietorship;2021 January;38
1433;Nat. person without sole proprietorship;2021 February;28
1434;Nat. person without sole proprietorship;2021 March;24
1435;Nat. person without sole proprietorship;2021 1st quarter;90
1436;Nat. person without sole proprietorship;2021 April;46
1437;Nat. person without sole proprietorship;2021 May;25
1438;Nat. person without sole proprietorship;2021 June;20
1439;Nat. person without sole proprietorship;2021 2nd quarter;91
1440;Nat. person without sole proprietorship;2021 July;23
1441;Nat. person without sole proprietorship;2021 August;24
1442;Nat. person without sole proprietorship;2021 September;25
1443;Nat. person without sole proprietorship;2021 3rd quarter;72
1444;Nat. person without sole proprietorship;2021 October;24
1445;Nat. person without sole proprietorship;2021 November;22
1446;Nat. person without sole proprietorship;2021 December;12
1447;Nat. person without sole proprietorship;2021 4th quarter;58
1448;Nat. person without sole proprietorship;2021;311
1449;Nat. person without sole proprietorship;2022 January;14
1450;Nat. person without sole proprietorship;2022 February;27
1451;Nat. person without sole proprietorship;2022 March;16
1452;Nat. person without sole proprietorship;2022 1st quarter;57
1453;Nat. person without sole proprietorship;2022 April;27
1454;Nat. person without sole proprietorship;2022 May;29
1455;Nat. person without sole proprietorship;2022 June;13
1456;Nat. person without sole proprietorship;2022 2nd quarter;69
1457;Nat. person without sole proprietorship;2022 July;23
1458;Nat. person without sole proprietorship;2022 August;21
1459;Nat. person without sole proprietorship;2022 September;17
1460;Nat. person without sole proprietorship;2022 3rd quarter;61
1461;Nat. person without sole proprietorship;2022 October;42
1462;Nat. person without sole proprietorship;2022 November;36
1463;Nat. person without sole proprietorship;2022 December;22
1464;Nat. person without sole proprietorship;2022 4th quarter;100
1465;Nat. person without sole proprietorship;2022;287
1466;Nat. person without sole proprietorship;2023 January;19
1467;Nat. person without sole proprietorship;2023 February;31
1468;Nat. person without sole proprietorship;2023 March;31
1469;Nat. person without sole proprietorship;2023 1st quarter;81
1470;Nat. person without sole proprietorship;2023 April;26
1471;Nat. person without sole proprietorship;2023 May;33
1472;Nat. person without sole proprietorship;2023 June;25
1473;Nat. person without sole proprietorship;2023 2nd quarter;84
1474;Nat. person without sole proprietorship;2023 July;25
1475;Nat. person without sole proprietorship;2023 August;21
1476;Nat. person without sole proprietorship;2023 September;22
1477;Nat. person without sole proprietorship;2023 3rd quarter;68
1478;Nat. person without sole proprietorship;2023 October;20
1479;Nat. person without sole proprietorship;2023 November;31
1480;Nat. person without sole proprietorship;2023 December;43
1481;Nat. person without sole proprietorship;2023 4th quarter;94
1482;Nat. person without sole proprietorship;2023;327
1483;Nat. person without sole proprietorship;2024 January;47
1484;Nat. person without sole proprietorship;2024 February;33
1485;Nat. person without sole proprietorship;2024 March;34
1486;Nat. person without sole proprietorship;2024 1st quarter;114
1487;Nat. person without sole proprietorship;2024 April;22
1488;Nat. person without sole proprietorship;2024 May;30
1489;Nat. person without sole proprietorship;2024 June;31
1490;Nat. person without sole proprietorship;2024 2nd quarter;83
1491;Nat. person without sole proprietorship;2024 July;40
1492;Nat. person without sole proprietorship;2024 August;25
1493;Nat. person without sole proprietorship;2024 September;34
1494;Nat. person without sole proprietorship;2024 3rd quarter;99
1495;Nat. person without sole proprietorship;2024 October;32
1496;Nat. person without sole proprietorship;2024 November;25
1497;Nat. person without sole proprietorship;2024 December;36
1498;Nat. person without sole proprietorship;2024 4th quarter;93
1499;Nat. person without sole proprietorship;2024;389
1500;Nat. person without sole proprietorship;2025 January;49
1501;Nat. person without sole proprietorship;2025 February;36
1502;Nat. person without sole proprietorship;2025 March;39
1503;Nat. person without sole proprietorship;2025 1st quarter;124
1504;Nat. person with sole proprietorship;1981 January;223
1505;Nat. person with sole proprietorship;1981 February;245
1506;Nat. person with sole proprietorship;1981 March;246
1507;Nat. person with sole proprietorship;1981 1st quarter;714
1508;Nat. person with sole proprietorship;1981 April;197
1509;Nat. person with sole proprietorship;1981 May;220
1510;Nat. person with sole proprietorship;1981 June;225
1511;Nat. person with sole proprietorship;1981 2nd quarter;642
1512;Nat. person with sole proprietorship;1981 July;248
1513;Nat. person with sole proprietorship;1981 August;223
1514;Nat. person with sole proprietorship;1981 September;263
1515;Nat. person with sole proprietorship;1981 3rd quarter;734
1516;Nat. person with sole proprietorship;1981 October;279
1517;Nat. person with sole proprietorship;1981 November;267
1518;Nat. person with sole proprietorship;1981 December;242
1519;Nat. person with sole proprietorship;1981 4th quarter;788
1520;Nat. person with sole proprietorship;1981;2878
1521;Nat. person with sole proprietorship;1982 January;289
1522;Nat. person with sole proprietorship;1982 February;249
1523;Nat. person with sole proprietorship;1982 March;306
1524;Nat. person with sole proprietorship;1982 1st quarter;844
1525;Nat. person with sole proprietorship;1982 April;255
1526;Nat. person with sole proprietorship;1982 May;237
1527;Nat. person with sole proprietorship;1982 June;264
1528;Nat. person with sole proprietorship;1982 2nd quarter;756
1529;Nat. person with sole proprietorship;1982 July;269
1530;Nat. person with sole proprietorship;1982 August;228
1531;Nat. person with sole proprietorship;1982 September;283
1532;Nat. person with sole proprietorship;1982 3rd quarter;780
1533;Nat. person with sole proprietorship;1982 October;284
1534;Nat. person with sole proprietorship;1982 November;330
1535;Nat. person with sole proprietorship;1982 December;259
1536;Nat. person with sole proprietorship;1982 4th quarter;873
1537;Nat. person with sole proprietorship;1982;3253
1538;Nat. person with sole proprietorship;1983 January;327
1539;Nat. person with sole proprietorship;1983 February;283
1540;Nat. person with sole proprietorship;1983 March;300
1541;Nat. person with sole proprietorship;1983 1st quarter;910
1542;Nat. person with sole proprietorship;1983 April;250
1543;Nat. person with sole proprietorship;1983 May;262
1544;Nat. person with sole proprietorship;1983 June;261
1545;Nat. person with sole proprietorship;1983 2nd quarter;773
1546;Nat. person with sole proprietorship;1983 July;223
1547;Nat. person with sole proprietorship;1983 August;209
1548;Nat. person with sole proprietorship;1983 September;262
1549;Nat. person with sole proprietorship;1983 3rd quarter;694
1550;Nat. person with sole proprietorship;1983 October;244
1551;Nat. person with sole proprietorship;1983 November;222
1552;Nat. person with sole proprietorship;1983 December;191
1553;Nat. person with sole proprietorship;1983 4th quarter;657
1554;Nat. person with sole proprietorship;1983;3034
1555;Nat. person with sole proprietorship;1984 January;230
1556;Nat. person with sole proprietorship;1984 February;247
1557;Nat. person with sole proprietorship;1984 March;270
1558;Nat. person with sole proprietorship;1984 1st quarter;747
1559;Nat. person with sole proprietorship;1984 April;200
1560;Nat. person with sole proprietorship;1984 May;197
1561;Nat. person with sole proprietorship;1984 June;212
1562;Nat. person with sole proprietorship;1984 2nd quarter;609
1563;Nat. person with sole proprietorship;1984 July;168
1564;Nat. person with sole proprietorship;1984 August;218
1565;Nat. person with sole proprietorship;1984 September;208
1566;Nat. person with sole proprietorship;1984 3rd quarter;594
1567;Nat. person with sole proprietorship;1984 October;235
1568;Nat. person with sole proprietorship;1984 November;203
1569;Nat. person with sole proprietorship;1984 December;164
1570;Nat. person with sole proprietorship;1984 4th quarter;602
1571;Nat. person with sole proprietorship;1984;2552
1572;Nat. person with sole proprietorship;1985 January;208
1573;Nat. person with sole proprietorship;1985 February;171
1574;Nat. person with sole proprietorship;1985 March;235
1575;Nat. person with sole proprietorship;1985 1st quarter;614
1576;Nat. person with sole proprietorship;1985 April;183
1577;Nat. person with sole proprietorship;1985 May;188
1578;Nat. person with sole proprietorship;1985 June;181
1579;Nat. person with sole proprietorship;1985 2nd quarter;552
1580;Nat. person with sole proprietorship;1985 july;164
1581;Nat. person with sole proprietorship;1985 August;167
1582;Nat. person with sole proprietorship;1985 September;183
1583;Nat. person with sole proprietorship;1985 3rd quarter;514
1584;Nat. person with sole proprietorship;1985 October;168
1585;Nat. person with sole proprietorship;1985 November;159
1586;Nat. person with sole proprietorship;1985 December;135
1587;Nat. person with sole proprietorship;1985 4th quarter;462
1588;Nat. person with sole proprietorship;1985;2142
1589;Nat. person with sole proprietorship;1986 January;140
1590;Nat. person with sole proprietorship;1986 February;147
1591;Nat. person with sole proprietorship;1986 March;170
1592;Nat. person with sole proprietorship;1986 1st quarter;457
1593;Nat. person with sole proprietorship;1986 April;155
1594;Nat. person with sole proprietorship;1986 May;154
1595;Nat. person with sole proprietorship;1986 June;177
1596;Nat. person with sole proprietorship;1986 2nd quarter;486
1597;Nat. person with sole proprietorship;1986 July;143
1598;Nat. person with sole proprietorship;1986 August;166
1599;Nat. person with sole proprietorship;1986 September;135
1600;Nat. person with sole proprietorship;1986 3rd quarter;444
1601;Nat. person with sole proprietorship;1986 October;160
1602;Nat. person with sole proprietorship;1986 November;147
1603;Nat. person with sole proprietorship;1986 December;121
1604;Nat. person with sole proprietorship;1986 4th quarter;428
1605;Nat. person with sole proprietorship;1986;1815
1606;Nat. person with sole proprietorship;1987 January;161
1607;Nat. person with sole proprietorship;1987 February;124
1608;Nat. person with sole proprietorship;1987 March;140
1609;Nat. person with sole proprietorship;1987 1st quarter;425
1610;Nat. person with sole proprietorship;1987 April;120
1611;Nat. person with sole proprietorship;1987 May;123
1612;Nat. person with sole proprietorship;1987 June;118
1613;Nat. person with sole proprietorship;1987 2nd quarter;361
1614;Nat. person with sole proprietorship;1987 July;119
1615;Nat. person with sole proprietorship;1987 August;121
1616;Nat. person with sole proprietorship;1987 September;143
1617;Nat. person with sole proprietorship;1987 3rd quarter;383
1618;Nat. person with sole proprietorship;1987 October;146
1619;Nat. person with sole proprietorship;1987 November;143
1620;Nat. person with sole proprietorship;1987 December;104
1621;Nat. person with sole proprietorship;1987 4th quarter;393
1622;Nat. person with sole proprietorship;1987;1562
1623;Nat. person with sole proprietorship;1988 January;139
1624;Nat. person with sole proprietorship;1988 February;136
1625;Nat. person with sole proprietorship;1988 March;125
1626;Nat. person with sole proprietorship;1988 1st quarter;400
1627;Nat. person with sole proprietorship;1988 April;131
1628;Nat. person with sole proprietorship;1988 May;134
1629;Nat. person with sole proprietorship;1988 June;143
1630;Nat. person with sole proprietorship;1988 2nd quarter;408
1631;Nat. person with sole proprietorship;1988 July;128
1632;Nat. person with sole proprietorship;1988 August;124
1633;Nat. person with sole proprietorship;1988 September;140
1634;Nat. person with sole proprietorship;1988 3rd quarter;392
1635;Nat. person with sole proprietorship;1988 October;164
1636;Nat. person with sole proprietorship;1988 November;154
1637;Nat. person with sole proprietorship;1988 December;110
1638;Nat. person with sole proprietorship;1988 4th quarter;428
1639;Nat. person with sole proprietorship;1988;1628
1640;Nat. person with sole proprietorship;1989 January;145
1641;Nat. person with sole proprietorship;1989 February;136
1642;Nat. person with sole proprietorship;1989 March;147
1643;Nat. person with sole proprietorship;1989 1st quarter;428
1644;Nat. person with sole proprietorship;1989 April;119
1645;Nat. person with sole proprietorship;1989 May;125
1646;Nat. person with sole proprietorship;1989 June;145
1647;Nat. person with sole proprietorship;1989 2nd quarter;389
1648;Nat. person with sole proprietorship;1989 July;121
1649;Nat. person with sole proprietorship;1989 August;97
1650;Nat. person with sole proprietorship;1989 September;153
1651;Nat. person with sole proprietorship;1989 3rd quarter;371
1652;Nat. person with sole proprietorship;1989 October;129
1653;Nat. person with sole proprietorship;1989 November;135
1654;Nat. person with sole proprietorship;1989 December;91
1655;Nat. person with sole proprietorship;1989 4th quarter;355
1656;Nat. person with sole proprietorship;1989;1543
1657;Nat. person with sole proprietorship;1990 January;134
1658;Nat. person with sole proprietorship;1990 February;119
1659;Nat. person with sole proprietorship;1990 March;140
1660;Nat. person with sole proprietorship;1990 1st quarter;393
1661;Nat. person with sole proprietorship;1990 April;115
1662;Nat. person with sole proprietorship;1990 May;99
1663;Nat. person with sole proprietorship;1990 June;110
1664;Nat. person with sole proprietorship;1990 2nd quarter;324
1665;Nat. person with sole proprietorship;1990 July;124
1666;Nat. person with sole proprietorship;1990 August;121
1667;Nat. person with sole proprietorship;1990 September;130
1668;Nat. person with sole proprietorship;1990 3rd quarter;375
1669;Nat. person with sole proprietorship;1990 October;122
1670;Nat. person with sole proprietorship;1990 November;114
1671;Nat. person with sole proprietorship;1990 December;106
1672;Nat. person with sole proprietorship;1990 4th quarter;342
1673;Nat. person with sole proprietorship;1990;1434
1674;Nat. person with sole proprietorship;1991 January;139
1675;Nat. person with sole proprietorship;1991 February;134
1676;Nat. person with sole proprietorship;1991 March;141
1677;Nat. person with sole proprietorship;1991 1st quarter;414
1678;Nat. person with sole proprietorship;1991 April;119
1679;Nat. person with sole proprietorship;1991 May;123
1680;Nat. person with sole proprietorship;1991 June;126
1681;Nat. person with sole proprietorship;1991 2nd quarter;368
1682;Nat. person with sole proprietorship;1991 July;119
1683;Nat. person with sole proprietorship;1991 August;109
1684;Nat. person with sole proprietorship;1991 September;129
1685;Nat. person with sole proprietorship;1991 3rd quarter;357
1686;Nat. person with sole proprietorship;1991 October;165
1687;Nat. person with sole proprietorship;1991 November;160
1688;Nat. person with sole proprietorship;1991 December;117
1689;Nat. person with sole proprietorship;1991 4th quarter;442
1690;Nat. person with sole proprietorship;1991;1581
1691;Nat. person with sole proprietorship;1992 January;134
1692;Nat. person with sole proprietorship;1992 February;141
1693;Nat. person with sole proprietorship;1992 March;171
1694;Nat. person with sole proprietorship;1992 1st quarter;446
1695;Nat. person with sole proprietorship;1992 April;152
1696;Nat. person with sole proprietorship;1992 May;165
1697;Nat. person with sole proprietorship;1992 June;139
1698;Nat. person with sole proprietorship;1992 2nd quarter;456
1699;Nat. person with sole proprietorship;1992 July;162
1700;Nat. person with sole proprietorship;1992 August;136
1701;Nat. person with sole proprietorship;1992 September;155
1702;Nat. person with sole proprietorship;1992 3rd quarter;453
1703;Nat. person with sole proprietorship;1992 October;178
1704;Nat. person with sole proprietorship;1992 November;184
1705;Nat. person with sole proprietorship;1992 December;151
1706;Nat. person with sole proprietorship;1992 4th quarter;513
1707;Nat. person with sole proprietorship;1992;1868
1708;Nat. person with sole proprietorship;1993 January;172
1709;Nat. person with sole proprietorship;1993 February;139
1710;Nat. person with sole proprietorship;1993 March;206
1711;Nat. person with sole proprietorship;1993 1st quarter;517
1712;Nat. person with sole proprietorship;1993 April;183
1713;Nat. person with sole proprietorship;1993 May;148
1714;Nat. person with sole proprietorship;1993 June;165
1715;Nat. person with sole proprietorship;1993 2nd quarter;496
1716;Nat. person with sole proprietorship;1993 July;188
1717;Nat. person with sole proprietorship;1993 August;170
1718;Nat. person with sole proprietorship;1993 September;169
1719;Nat. person with sole proprietorship;1993 3rd quarter;527
1720;Nat. person with sole proprietorship;1993 October;205
1721;Nat. person with sole proprietorship;1993 November;227
1722;Nat. person with sole proprietorship;1993 December;176
1723;Nat. person with sole proprietorship;1993 4th quarter;608
1724;Nat. person with sole proprietorship;1993;2148
1725;Nat. person with sole proprietorship;1994 January;199
1726;Nat. person with sole proprietorship;1994 February;171
1727;Nat. person with sole proprietorship;1994 March;201
1728;Nat. person with sole proprietorship;1994 1st quarter;571
1729;Nat. person with sole proprietorship;1994 April;176
1730;Nat. person with sole proprietorship;1994 May;169
1731;Nat. person with sole proprietorship;1994 June;157
1732;Nat. person with sole proprietorship;1994 2nd quarter;502
1733;Nat. person with sole proprietorship;1994 July;160
1734;Nat. person with sole proprietorship;1994 August;208
1735;Nat. person with sole proprietorship;1994 September;194
1736;Nat. person with sole proprietorship;1994 3rd quarter;562
1737;Nat. person with sole proprietorship;1994 October;180
1738;Nat. person with sole proprietorship;1994 November;188
1739;Nat. person with sole proprietorship;1994 December;170
1740;Nat. person with sole proprietorship;1994 4th quarter;538
1741;Nat. person with sole proprietorship;1994;2173
1742;Nat. person with sole proprietorship;1995 January;199
1743;Nat. person with sole proprietorship;1995 February;173
1744;Nat. person with sole proprietorship;1995 March;198
1745;Nat. person with sole proprietorship;1995 1st quarter;570
1746;Nat. person with sole proprietorship;1995 April;173
1747;Nat. person with sole proprietorship;1995 May;142
1748;Nat. person with sole proprietorship;1995 June;162
1749;Nat. person with sole proprietorship;1995 2nd quarter;477
1750;Nat. person with sole proprietorship;1995 July;168
1751;Nat. person with sole proprietorship;1995 August;145
1752;Nat. person with sole proprietorship;1995 September;153
1753;Nat. person with sole proprietorship;1995 3rd quarter;466
1754;Nat. person with sole proprietorship;1995 October;190
1755;Nat. person with sole proprietorship;1995 November;153
1756;Nat. person with sole proprietorship;1995 December;155
1757;Nat. person with sole proprietorship;1995 4th quarter;498
1758;Nat. person with sole proprietorship;1995;2011
1759;Nat. person with sole proprietorship;1996 January;187
1760;Nat. person with sole proprietorship;1996 February;158
1761;Nat. person with sole proprietorship;1996 March;175
1762;Nat. person with sole proprietorship;1996 1st quarter;520
1763;Nat. person with sole proprietorship;1996 April;161
1764;Nat. person with sole proprietorship;1996 May;159
1765;Nat. person with sole proprietorship;1996 June;153
1766;Nat. person with sole proprietorship;1996 2nd quarter;473
