ID;RegioS;Perioden;TotaleKosten_1;TotaalInzameling_2;ReinigenVanStratenMarktenED_3;OphalenVanAfval_4;DienstEigenGemeente_5;Derden_6;TotaalVerwerking_7;Storten_8;Verbranden_9;Composteren_10;ScheidenAchteraf_11;OverigeVerwerkingsmethoden_12;TotaalGescheidenInzameling_13;KleinChemischAfvalKCA_14;Glas_15;OudPapierEnKarton_16;KoelEnVriesapparatuur_17;OverigeKosten_18;TotaleKosten_19;TotaalInzameling_20;ReinigenVanStratenMarktenED_21;OphalenVanAfval_22;Verwerking_23;GescheidenInzameling_24;OverigeKosten_25;TotaleInkomsten_26;Afvalstoffenheffing_27;AannemenVanAfval_28;OverigeInkomsten_29;ReinigenVanMarktenEnDergelijke_30;TotaleInkomsten_31;Afvalstoffenheffing_32;OverigeInkomsten_33;DekkingspercentageMethode1_34;DekkingspercentageMethode2_35;TotaalInvesteringen_36;GrondEnStortTerreinen_37;Bedrijfsruimten_38;VervoersmiddelenExternTransport_39;VervoersmiddelenInternTransport_40;OverigeInvesteringen_41;GemeentenInPopulatie_42;GemeentenInTelling_43;InwonersInPopulatie_44;InwonersInTelling_45
243;Weinig stedelijk;1999;287;130;18;111;68;61;126;13.0;62.0;29.0;17.0;5.0;24;10;2.0;11;1.0;6;84;38;5;33;37;7;2;257;246;7;3;0;76;72;3;90;94;;;;;;;184;43;3404;44
244;Weinig stedelijk;2001;309;147;15;132;60;87;139;19.0;50.0;33.0;35.0;3.0;21;7;3.0;11;1.0;2;90;43;4;38;41;6;0;277;260;6;11;0;81;76;5;90;90;;;;;;;174;27;3439;26
245;Weinig stedelijk;2003;316;150;25;125;71;80;137;8.0;57.0;28.0;40.0;3.0;22;8;3.0;11;0.0;6;90;43;7;36;39;6;2;291;272;10;8;1;83;78;5;92;97;;;;;;;170;35;3499;34
246;Weinig stedelijk;2005;341;181;25;156;90;91;130;4.0;59.0;26.0;37.0;3.0;23;8;3.0;11;0.0;7;98;52;7;45;37;7;2;357;330;15;12;1;103;95;8;105;109;;;;;;;160;34;3470;34
247;Weinig stedelijk;2007;330;180;26;154;64;116;119;4.0;57.0;26.0;31.0;0.0;23;7;3.0;12;0.0;8;93;51;7;44;34;6;2;345;321;13;10;1;98;91;7;105;110;;;;;;;156;57;3537;57
248;Weinig stedelijk;2009;347;195;26;169;71;124;120;1.0;55.0;25.0;39.0;0.0;23;7;3.0;12;0.0;10;98;55;7;47;34;6;3;361;337;14;10;1;101;95;7;104;109;;;;;;;155;69;3560;69
249;Weinig stedelijk;2011;360;205;29;177;65;140;119;0.0;47.0;27.0;44.0;0.0;24;8;4.0;12;0.0;11;97;55;8;47;32;6;3;392;343;27;21;1;105;92;13;109;112;;;;;;;152;59;3718;61
250;Matig stedelijk;1993;199;103;31;72;83;19;73;;;;;;23;10;;9;;1;63;32;10;22;23;7;0;162;154;6;1;1;51;48;3;81;95;;;;;;;89;85;3191;86
251;Matig stedelijk;1995;253;128;34;94;104;24;104;;;;;;18;10;;2;;3;77;39;10;29;32;5;1;218;209;8;1;0;67;64;3;86;100;;;;;;;91;78;3284;84
252;Matig stedelijk;1997;286;136;31;105;96;40;119;;;;;;25;10;3.0;11;1.0;6;89;42;10;33;37;8;2;231;226;4;2;0;72;70;1;81;90;;;;;;;88;75;3219;78
253;Matig stedelijk;1999;303;139;31;109;84;56;134;25.0;64.0;24.0;15.0;6.0;21;7;3.0;10;1.0;8;95;44;10;34;42;7;2;267;253;6;8;0;83;79;4;88;95;;;;;;;92;50;3201;56
254;Matig stedelijk;2001;377;197;45;152;99;97;154;16.0;58.0;27.0;48.0;6.0;19;6;3.0;9;0.0;7;111;58;13;45;45;5;2;303;290;9;3;0;89;85;4;80;90;;;;;;;94;29;3402;25
255;Matig stedelijk;2003;355;183;46;137;93;90;143;6.0;73.0;24.0;35.0;6.0;20;6;3.0;10;0.0;8;109;56;14;42;44;6;3;303;286;7;10;0;93;88;5;86;95;;;;;;;92;36;3261;37
256;Matig stedelijk;2005;389;219;51;168;96;123;139;4.0;78.0;23.0;31.0;3.0;21;7;3.0;11;0.0;9;111;63;15;48;40;6;3;369;355;8;6;0;105;101;4;95;108;;;;;;;93;35;3502;37
257;Matig stedelijk;2007;371;223;44;179;101;122;121;4.0;67.0;21.0;28.0;0.0;19;6;3.0;9;0.0;9;113;68;13;55;37;6;3;362;336;14;11;1;111;103;8;98;107;;;;;;;86;65;3275;72
258;Matig stedelijk;2009;362;221;41;180;90;131;113;1.0;67.0;19.0;27.0;0.0;19;7;3.0;9;0.0;9;115;70;13;57;36;6;3;356;334;12;9;1;113;106;7;98;108;;;;;;;83;69;3160;72
259;Matig stedelijk;2011;362;227;47;180;85;142;104;0.0;61.0;20.0;22.0;0.0;20;7;3.0;10;0.0;11;112;70;15;56;32;6;3;374;330;24;18;1;116;102;14;103;112;;;;;;;79;59;3229;65
260;Sterk stedelijk;1993;246;125;42;83;110;15;94;;;;;;25;12;;7;;3;75;37;12;25;29;7;1;196;169;21;4;2;59;51;8;80;95;;;;;;;44;86;3287;87
261;Sterk stedelijk;1995;283;153;45;108;137;16;108;;;;;;18;11;;3;;3;88;48;14;34;34;6;1;236;209;23;2;1;74;65;8;83;99;;;;;;;44;82;3195;91
262;Sterk stedelijk;1997;342;172;42;129;130;41;137;;;;;;24;10;3.0;10;1.0;9;93;46;11;35;37;7;2;271;252;13;5;1;74;69;5;79;88;;;;;;;49;80;3679;79
263;Sterk stedelijk;1999;415;204;49;155;138;66;172;21.0;102.0;22.0;22.0;5.0;21;8;3.0;10;0.0;18;104;51;12;39;43;5;4;352;330;15;6;1;89;83;6;85;94;;;;;;;53;57;3974;65
264;Sterk stedelijk;2001;470;241;48;193;177;64;191;31.0;83.0;26.0;47.0;4.0;24;6;2.0;14;2.0;15;114;58;12;47;46;6;4;378;353;17;7;0;92;86;6;80;88;;;;;;;55;29;4121;28
265;Sterk stedelijk;2003;521;295;60;235;185;111;193;12.0;113.0;29.0;34.0;4.0;20;6;4.0;10;1.0;13;119;67;14;53;44;5;3;469;441;13;14;1;107;100;6;90;99;;;;;;;57;37;4393;38
266;Sterk stedelijk;2005;563;353;78;275;201;152;175;4.0;104.0;20.0;43.0;4.0;23;8;3.0;11;1.0;13;129;81;18;63;40;5;3;496;458;21;16;1;114;105;9;88;99;;;;;;;56;39;4351;40
267;Sterk stedelijk;2007;627;409;71;338;228;181;179;7.0;126.0;22.0;24.0;0.0;25;8;3.0;12;1.0;14;135;88;15;73;39;5;3;588;499;45;41;3;127;108;19;94;98;;;;;;;59;63;4634;69
268;Sterk stedelijk;2009;594;389;69;320;209;180;165;0.0;103.0;22.0;40.0;0.0;25;9;4.0;12;1.0;15;128;84;15;69;36;5;3;568;511;31;24;2;123;110;12;96;103;;;;;;;62;73;4631;86
269;Sterk stedelijk;2011;578;380;80;300;179;201;155;0.0;97.0;21.0;37.0;0.0;27;10;4.0;13;0.0;16;125;82;17;65;33;6;3;574;511;34;26;2;124;110;14;99;109;;;;;;;62;68;4632;80
270;Zeer sterk stedelijk;1993;307;180;85;95;179;1;104;;;;;;16;10;;4;;6;112;64;30;34;38;6;2;203;148;43;8;5;74;54;20;66;88;;;;;;;12;83;2734;93
271;Zeer sterk stedelijk;1995;338;196;84;113;192;5;124;;;;;;13;10;;0;;5;115;66;27;39;42;4;2;252;207;38;5;3;86;71;15;75;98;;;;;;;13;100;2931;100
272;Zeer sterk stedelijk;1997;340;199;74;126;195;5;123;;;;;;12;7;1.0;3;0.0;6;124;73;27;46;45;4;2;235;201;30;0;4;86;73;13;69;86;;;;;;;12;100;2744;100
273;Zeer sterk stedelijk;1999;349;221;78;142;194;26;112;2.0;83.0;6.0;21.0;1.0;11;6;1.0;3;0.0;6;126;80;28;52;40;4;2;226;195;28;0;2;82;71;11;65;82;;;;;;;12;75;2763;94
274;Zeer sterk stedelijk;2001;409;275;100;175;243;32;117;2.0;81.0;6.0;27.0;1.0;7;5;1.0;1;1.0;10;146;98;35;62;42;3;3;279;251;20;5;3;99;90;10;68;88;;;;;;;12;50;2806;80
275;Zeer sterk stedelijk;2003;451;306;99;206;292;14;127;0.0;101.0;6.0;18.0;2.0;12;4;2.0;5;0.0;6;157;106;35;72;44;4;2;331;277;33;17;5;115;96;19;73;88;;;;;;;12;50;2876;47
276;Zeer sterk stedelijk;2005;446;308;71;237;190;117;119;0.0;91.0;5.0;20.0;2.0;11;4;2.0;5;0.0;9;154;106;24;82;41;4;3;341;286;30;23;2;118;99;19;76;84;;;;;;;12;50;2898;44
277;Zeer sterk stedelijk;2007;490;371;95;276;317;54;99;0.0;79.0;3.0;17.0;0.0;11;4;2.0;5;0.0;9;169;128;33;95;34;4;3;389;366;13;10;1;134;126;8;79;96;;;;;;;12;75;2897;89
278;Zeer sterk stedelijk;2009;552;394;93;301;321;72;135;0.0;110.0;4.0;21.0;0.0;12;5;2.0;5;0.0;11;176;125;30;96;43;4;3;466;411;29;24;2;148;131;17;84;96;;;;;;;13;100;3139;100
279;Zeer sterk stedelijk;2011;545;399;94;304;317;81;120;0.0;95.0;3.0;21.0;0.0;12;4;2.0;5;0.0;15;167;122;29;93;37;4;5;473;427;25;20;1;145;131;14;87;100;;;;;;;14;79;3264;92
