ID;Geslacht;Leeftijd;Perioden;Bevolking_1
368;Totaal mannen en vrouwen;7 jaar;2060;200105
369;Totaal mannen en vrouwen;8 jaar;2020;185003
370;Totaal mannen en vrouwen;8 jaar;2021;182503
371;Totaal mannen en vrouwen;8 jaar;2022;178972
372;Totaal mannen en vrouwen;8 jaar;2023;183628
373;Totaal mannen en vrouwen;8 jaar;2024;179715
374;Totaal mannen en vrouwen;8 jaar;2025;181627
375;Totaal mannen en vrouwen;8 jaar;2026;179545
376;Totaal mannen en vrouwen;8 jaar;2027;178735
377;Totaal mannen en vrouwen;8 jaar;2028;180991
378;Totaal mannen en vrouwen;8 jaar;2029;181067
379;Totaal mannen en vrouwen;8 jaar;2030;183887
380;Totaal mannen en vrouwen;8 jaar;2031;187453
381;Totaal mannen en vrouwen;8 jaar;2032;191797
382;Totaal mannen en vrouwen;8 jaar;2033;195872
383;Totaal mannen en vrouwen;8 jaar;2034;199238
384;Totaal mannen en vrouwen;8 jaar;2035;202665
385;Totaal mannen en vrouwen;8 jaar;2036;205475
386;Totaal mannen en vrouwen;8 jaar;2037;207646
387;Totaal mannen en vrouwen;8 jaar;2038;209079
388;Totaal mannen en vrouwen;8 jaar;2039;209948
389;Totaal mannen en vrouwen;8 jaar;2040;210411
390;Totaal mannen en vrouwen;8 jaar;2041;210462
391;Totaal mannen en vrouwen;8 jaar;2042;210205
392;Totaal mannen en vrouwen;8 jaar;2043;209649
393;Totaal mannen en vrouwen;8 jaar;2044;208977
394;Totaal mannen en vrouwen;8 jaar;2045;208229
395;Totaal mannen en vrouwen;8 jaar;2046;207179
396;Totaal mannen en vrouwen;8 jaar;2047;205961
397;Totaal mannen en vrouwen;8 jaar;2048;204677
398;Totaal mannen en vrouwen;8 jaar;2049;203434
399;Totaal mannen en vrouwen;8 jaar;2050;202258
400;Totaal mannen en vrouwen;8 jaar;2051;201192
401;Totaal mannen en vrouwen;8 jaar;2052;200278
402;Totaal mannen en vrouwen;8 jaar;2053;199541
403;Totaal mannen en vrouwen;8 jaar;2054;198947
404;Totaal mannen en vrouwen;8 jaar;2055;198510
405;Totaal mannen en vrouwen;8 jaar;2056;198252
406;Totaal mannen en vrouwen;8 jaar;2057;198216
