ID;Feedstocks;Destination;Periods;TotalSupply_1;IndigenousProduction_2;ProductionFromCrudeOil_3;ProductionFromOtherSources_4;Imports_5;Exports_6;StockChange_7;TotalConsumption_8;Processing_9;FinalConsumption_10;OpeningStock_11;ClosingStock_12;StockChange_13
2567;Natural gas liquids;Destined for processing the Netherlands;2012 3rd quarter;2231.0;74.0;;;2162.0;6.0;2.0;2231.0;1700.0;532.0;266.0;264.0;2.0
2568;Natural gas liquids;Destined for processing the Netherlands;2012 October;629.0;30.0;;;577.0;0.0;23.0;629.0;509.0;119.0;264.0;242.0;23.0
2569;Natural gas liquids;Destined for processing the Netherlands;2012 November;606.0;33.0;;;689.0;0.0;-116.0;606.0;540.0;66.0;242.0;358.0;-116.0
2570;Natural gas liquids;Destined for processing the Netherlands;2012 December;843.0;35.0;;;789.0;;20.0;843.0;650.0;193.0;358.0;338.0;20.0
2571;Natural gas liquids;Destined for processing the Netherlands;2012 4th quarter;2078.0;97.0;;;2054.0;;-74.0;2078.0;1700.0;378.0;264.0;338.0;-74.0
2572;Natural gas liquids;Destined for processing the Netherlands;2012;8094.0;356.0;;;7810.0;17.0;-72.0;8077.0;6113.0;1964.0;267.0;338.0;-72.0
2573;Natural gas liquids;Destined for processing the Netherlands;2013 January;796.0;31.0;;;705.0;0.0;60.0;796.0;651.0;145.0;338.0;278.0;60.0
2574;Natural gas liquids;Destined for processing the Netherlands;2013 February;887.0;44.0;;;773.0;2.0;72.0;887.0;567.0;320.0;278.0;206.0;72.0
2575;Natural gas liquids;Destined for processing the Netherlands;2013 March;733.0;40.0;;;657.0;0.0;36.0;733.0;595.0;139.0;206.0;170.0;36.0
2576;Natural gas liquids;Destined for processing the Netherlands;2013 1st quarter;2417.0;115.0;;;2136.0;2.0;168.0;2417.0;1813.0;604.0;338.0;170.0;168.0
2577;Natural gas liquids;Destined for processing the Netherlands;2013 April;626.0;25.0;;;645.0;0.0;-44.0;626.0;456.0;171.0;170.0;214.0;-44.0
2578;Natural gas liquids;Destined for processing the Netherlands;2013 May;545.0;24.0;;;779.0;0.0;-258.0;545.0;408.0;136.0;214.0;471.0;-258.0
2579;Natural gas liquids;Destined for processing the Netherlands;2013 June;812.0;28.0;;;629.0;0.0;155.0;812.0;662.0;150.0;471.0;317.0;155.0
2580;Natural gas liquids;Destined for processing the Netherlands;2013 2nd quarter;1983.0;77.0;;;2053.0;0.0;-147.0;1983.0;1526.0;456.0;170.0;317.0;-147.0
2581;Natural gas liquids;Destined for processing the Netherlands;2013 July;717.0;58.0;;;559.0;2.0;102.0;717.0;626.0;90.0;317.0;214.0;102.0
2582;Natural gas liquids;Destined for processing the Netherlands;2013 August;661.0;34.0;;;570.0;0.0;57.0;661.0;514.0;147.0;214.0;157.0;57.0
2583;Natural gas liquids;Destined for processing the Netherlands;2013 September;558.0;28.0;;;557.0;0.0;-27.0;558.0;521.0;37.0;157.0;184.0;-27.0
2584;Natural gas liquids;Destined for processing the Netherlands;2013 3rd quarter;1937.0;120.0;;;1685.0;2.0;132.0;1935.0;1661.0;274.0;317.0;184.0;132.0
2585;Natural gas liquids;Destined for processing the Netherlands;2013 October;473.0;25.0;;;611.0;5.0;6.0;637.0;473.0;164.0;184.0;179.0;6.0
2586;Natural gas liquids;Destined for processing the Netherlands;2013 November;595.0;30.0;;;575.0;0.0;-11.0;595.0;302.0;293.0;179.0;189.0;-11.0
2587;Natural gas liquids;Destined for processing the Netherlands;2013 December;685.0;30.0;;;574.0;0.0;80.0;685.0;389.0;296.0;189.0;110.0;80.0
2588;Natural gas liquids;Destined for processing the Netherlands;2013 4th quarter;1916.0;86.0;;;1761.0;5.0;75.0;1916.0;1163.0;753.0;184.0;110.0;75.0
2589;Natural gas liquids;Destined for processing the Netherlands;2013;8251.0;397.0;;;7635.0;9.0;228.0;8251.0;6164.0;2087.0;338.0;110.0;228.0
2590;Natural gas liquids;Destined for processing the Netherlands;2014 January;673.0;32.0;;;890.0;0.0;-249.0;673.0;457.0;216.0;110.0;358.0;-249.0
2591;Natural gas liquids;Destined for processing the Netherlands;2014 February;476.0;28.0;;;335.0;0.0;112.0;476.0;262.0;213.0;358.0;246.0;112.0
2592;Natural gas liquids;Destined for processing the Netherlands;2014 March;757.0;28.0;;;767.0;5.0;-33.0;757.0;509.0;248.0;246.0;279.0;-33.0
2593;Natural gas liquids;Destined for processing the Netherlands;2014 1st quarter;1905.0;87.0;;;1992.0;5.0;-170.0;1905.0;1228.0;678.0;110.0;279.0;-170.0
2594;Natural gas liquids;Destined for processing the Netherlands;2014 April;642.0;26.0;;;477.0;7.0;146.0;642.0;367.0;275.0;279.0;133.0;146.0
2595;Natural gas liquids;Destined for processing the Netherlands;2014 May;610.0;26.0;;;615.0;7.0;-24.0;610.0;354.0;256.0;133.0;158.0;-24.0
2596;Natural gas liquids;Destined for processing the Netherlands;2014 June;539.0;27.0;;;603.0;3.0;-88.0;539.0;333.0;206.0;158.0;245.0;-88.0
2597;Natural gas liquids;Destined for processing the Netherlands;2014 2nd quarter;1792.0;80.0;;;1695.0;17.0;34.0;1792.0;1055.0;737.0;279.0;245.0;34.0
2598;Natural gas liquids;Destined for processing the Netherlands;2014 July;595.0;27.0;;;549.0;1.0;20.0;595.0;391.0;204.0;245.0;225.0;20.0
2599;Natural gas liquids;Destined for processing the Netherlands;2014 August;488.0;25.0;;;609.0;4.0;-142.0;488.0;271.0;217.0;225.0;367.0;-142.0
2600;Natural gas liquids;Destined for processing the Netherlands;2014 September;596.0;24.0;;;462.0;8.0;118.0;596.0;373.0;223.0;367.0;250.0;118.0
2601;Natural gas liquids;Destined for processing the Netherlands;2014 3rd quarter;1679.0;76.0;;;1621.0;13.0;-4.0;1679.0;1035.0;644.0;245.0;250.0;-4.0
2602;Natural gas liquids;Destined for processing the Netherlands;2014 October;427.0;37.0;;;467.0;0.0;-77.0;427.0;244.0;183.0;250.0;327.0;-77.0
2603;Natural gas liquids;Destined for processing the Netherlands;2014 November;581.0;54.0;;;419.0;0.0;107.0;581.0;446.0;134.0;327.0;220.0;107.0
2604;Natural gas liquids;Destined for processing the Netherlands;2014 December;692.0;41.0;;;657.0;0.0;-6.0;692.0;463.0;229.0;220.0;225.0;-6.0
2605;Natural gas liquids;Destined for processing the Netherlands;2014 4th quarter;1699.0;132.0;;;1543.0;0.0;24.0;1699.0;1153.0;546.0;250.0;225.0;24.0
2606;Natural gas liquids;Destined for processing the Netherlands;2014;7075.0;375.0;;;6851.0;35.0;-116.0;7075.0;4471.0;2605.0;110.0;225.0;-116.0
2607;Natural gas liquids;Destined for processing the Netherlands;2015 January;522.0;37.0;;;384.0;0.0;101.0;522.0;421.0;101.0;225.0;124.0;101.0
2608;Natural gas liquids;Destined for processing the Netherlands;2015 February;321.0;37.0;;;453.0;0.0;-169.0;321.0;255.0;66.0;124.0;293.0;-169.0
2609;Natural gas liquids;Destined for processing the Netherlands;2015 March;495.0;38.0;;;446.0;0.0;10.0;495.0;412.0;83.0;293.0;282.0;10.0
2610;Natural gas liquids;Destined for processing the Netherlands;2015 1st quarter;1337.0;111.0;;;1284.0;0.0;-57.0;1337.0;1087.0;250.0;225.0;282.0;-57.0
2611;Natural gas liquids;Destined for processing the Netherlands;2015 April;575.0;37.0;;;536.0;2.0;4.0;575.0;430.0;145.0;282.0;278.0;4.0
2612;Natural gas liquids;Destined for processing the Netherlands;2015 May;556.0;36.0;;;481.0;1.0;40.0;556.0;385.0;172.0;278.0;238.0;40.0
2613;Natural gas liquids;Destined for processing the Netherlands;2015 June;482.0;25.0;;;492.0;0.0;-34.0;482.0;313.0;170.0;238.0;272.0;-34.0
2614;Natural gas liquids;Destined for processing the Netherlands;2015 2nd quarter;1614.0;98.0;;;1508.0;3.0;10.0;1614.0;1128.0;486.0;282.0;272.0;10.0
2615;Natural gas liquids;Destined for processing the Netherlands;2015 July;666.0;29.0;;;602.0;0.0;34.0;666.0;484.0;182.0;272.0;238.0;34.0
2616;Natural gas liquids;Destined for processing the Netherlands;2015 August;749.0;34.0;;;728.0;23.0;10.0;749.0;555.0;194.0;238.0;228.0;10.0
2617;Natural gas liquids;Destined for processing the Netherlands;2015 September;711.0;31.0;;;781.0;1.0;-100.0;711.0;508.0;203.0;228.0;328.0;-100.0
2618;Natural gas liquids;Destined for processing the Netherlands;2015 3rd quarter;2126.0;95.0;;;2112.0;25.0;-56.0;2126.0;1547.0;579.0;272.0;328.0;-56.0
2619;Natural gas liquids;Destined for processing the Netherlands;2015 October;609.0;32.0;;;536.0;4.0;45.0;609.0;446.0;163.0;328.0;283.0;45.0
2620;Natural gas liquids;Destined for processing the Netherlands;2015 November;600.0;32.0;;;490.0;2.0;80.0;600.0;429.0;171.0;283.0;203.0;80.0
2621;Natural gas liquids;Destined for processing the Netherlands;2015 December;596.0;35.0;;;661.0;;-100.0;596.0;442.0;154.0;203.0;303.0;-100.0
2622;Natural gas liquids;Destined for processing the Netherlands;2015 4th quarter;1804.0;99.0;;;1686.0;6.0;25.0;1804.0;1316.0;488.0;328.0;303.0;25.0
2623;Natural gas liquids;Destined for processing the Netherlands;2015;6882.0;402.0;;;6591.0;34.0;-78.0;6882.0;5077.0;1804.0;225.0;303.0;-78.0
2624;Natural gas liquids;Destined for transit to other countries;1944;;;;;;;;;;;;;
2625;Natural gas liquids;Destined for transit to other countries;1945;;;;;;;;;;;;;
2626;Natural gas liquids;Destined for transit to other countries;1946;;;;;;;;;;;;;
2627;Natural gas liquids;Destined for transit to other countries;1947;;;;;;;;;;;;;
2628;Natural gas liquids;Destined for transit to other countries;1948;;;;;;;;;;;;;
2629;Natural gas liquids;Destined for transit to other countries;1949;;;;;;;;;;;;;
2630;Natural gas liquids;Destined for transit to other countries;1950;;;;;;;;;;;;;
2631;Natural gas liquids;Destined for transit to other countries;1951;;;;;;;;;;;;;
2632;Natural gas liquids;Destined for transit to other countries;1952;;;;;;;;;;;;;
2633;Natural gas liquids;Destined for transit to other countries;1953;;;;;;;;;;;;;
2634;Natural gas liquids;Destined for transit to other countries;1954;;;;;;;;;;;;;
2635;Natural gas liquids;Destined for transit to other countries;1955;;;;;;;;;;;;;
2636;Natural gas liquids;Destined for transit to other countries;1956;;;;;;;;;;;;;
2637;Natural gas liquids;Destined for transit to other countries;1957;;;;;;;;;;;;;
2638;Natural gas liquids;Destined for transit to other countries;1958;;;;;;;;;;;;;
2639;Natural gas liquids;Destined for transit to other countries;1959;;;;;;;;;;;;;
2640;Natural gas liquids;Destined for transit to other countries;1960;;;;;;;;;;;;;
2641;Natural gas liquids;Destined for transit to other countries;1961;;;;;;;;;;;;;
2642;Natural gas liquids;Destined for transit to other countries;1962;;;;;;;;;;;;;
2643;Natural gas liquids;Destined for transit to other countries;1963;;;;;;;;;;;;;
2644;Natural gas liquids;Destined for transit to other countries;1964;;;;;;;;;;;;;
2645;Natural gas liquids;Destined for transit to other countries;1965;;;;;;;;;;;;;
2646;Natural gas liquids;Destined for transit to other countries;1966;;;;;;;;;;;;;
2647;Natural gas liquids;Destined for transit to other countries;1967;;;;;;;;;;;;;
2648;Natural gas liquids;Destined for transit to other countries;1968;;;;;;;;;;;;;
2649;Natural gas liquids;Destined for transit to other countries;1969;;;;;;;;;;;;;
2650;Natural gas liquids;Destined for transit to other countries;1970;;;;;;;;;;;;;
2651;Natural gas liquids;Destined for transit to other countries;1971;;;;;;;;;;;;;
2652;Natural gas liquids;Destined for transit to other countries;1972;;;;;;;;;;;;;
2653;Natural gas liquids;Destined for transit to other countries;1973;;;;;;;;;;;;;
2654;Natural gas liquids;Destined for transit to other countries;1974;;;;;;;;;;;;;
2655;Natural gas liquids;Destined for transit to other countries;1975;;;;;;;;;;;;;
2656;Natural gas liquids;Destined for transit to other countries;1976;;;;;;;;;;;;;
2657;Natural gas liquids;Destined for transit to other countries;1977;;;;;;;;;;;;;
2658;Natural gas liquids;Destined for transit to other countries;1978;0.0;;;;53.0;0.0;-53.0;0.0;0.0;;125.0;178.0;-53.0
2659;Natural gas liquids;Destined for transit to other countries;1979;;;;;28.0;0.0;;-41.0;-41.0;;;69.0;
2660;Natural gas liquids;Destined for transit to other countries;1980;24.0;;;;25.0;1.0;-1.0;25.0;25.0;;0.0;1.0;-1.0
2661;Natural gas liquids;Destined for transit to other countries;1981;11.0;;;;74.0;62.0;-1.0;11.0;11.0;;0.0;1.0;-1.0
2662;Natural gas liquids;Destined for transit to other countries;1982;28.0;;;;116.0;88.0;0.0;28.0;28.0;;0.0;0.0;0.0
2663;Natural gas liquids;Destined for transit to other countries;1983;1.0;;;;164.0;163.0;0.0;1.0;1.0;;0.0;0.0;0.0
2664;Natural gas liquids;Destined for transit to other countries;1984;101.0;;;;248.0;152.0;5.0;101.0;101.0;;0.0;-5.0;5.0
2665;Natural gas liquids;Destined for transit to other countries;1985;1.0;;;;294.0;258.0;-36.0;1.0;1.0;;-5.0;30.0;-36.0
2666;Natural gas liquids;Destined for transit to other countries;1986;3.0;;;;95.0;98.0;6.0;3.0;3.0;;30.0;24.0;6.0
2667;Natural gas liquids;Destined for transit to other countries;1987;7.0;;;;202.0;201.0;6.0;7.0;7.0;;24.0;19.0;6.0
2668;Natural gas liquids;Destined for transit to other countries;1988;-3.0;;;;748.0;706.0;-46.0;-3.0;-3.0;;19.0;64.0;-46.0
2669;Natural gas liquids;Destined for transit to other countries;1989;-64.0;;;;788.0;868.0;16.0;-64.0;-64.0;;64.0;49.0;16.0
2670;Natural gas liquids;Destined for transit to other countries;1990;9.0;;;;510.0;515.0;14.0;9.0;9.0;;49.0;35.0;14.0
2671;Natural gas liquids;Destined for transit to other countries;1991;-19.0;;;;521.0;549.0;9.0;-19.0;-19.0;;35.0;26.0;9.0
2672;Natural gas liquids;Destined for transit to other countries;1992;0.0;;;;352.0;330.0;-22.0;0.0;0.0;;26.0;48.0;-22.0
2673;Natural gas liquids;Destined for transit to other countries;1993;0.0;;;;217.0;165.0;-52.0;0.0;0.0;;48.0;100.0;-52.0
2674;Natural gas liquids;Destined for transit to other countries;1994;3.0;;;;289.0;262.0;-24.0;3.0;3.0;;100.0;124.0;-24.0
2675;Natural gas liquids;Destined for transit to other countries;1995;-1.0;;;;157.0;213.0;56.0;-1.0;-1.0;;124.0;68.0;56.0
2676;Natural gas liquids;Destined for transit to other countries;1996;0.0;;;;209.0;140.0;-69.0;0.0;0.0;;68.0;138.0;-69.0
2677;Natural gas liquids;Destined for transit to other countries;1997;0.0;;;;-93.0;45.0;138.0;0.0;0.0;;138.0;0.0;138.0
2678;Natural gas liquids;Destined for transit to other countries;1998;0.0;;;;64.0;68.0;4.0;0.0;0.0;;0.0;-4.0;4.0
2679;Natural gas liquids;Destined for transit to other countries;1999;0.0;;;;57.0;53.0;-4.0;0.0;0.0;;-4.0;0.0;-4.0
2680;Natural gas liquids;Destined for transit to other countries;2000 January;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2681;Natural gas liquids;Destined for transit to other countries;2000 February;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2682;Natural gas liquids;Destined for transit to other countries;2000 March;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2683;Natural gas liquids;Destined for transit to other countries;2000 1st quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2684;Natural gas liquids;Destined for transit to other countries;2000 April;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2685;Natural gas liquids;Destined for transit to other countries;2000 May;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2686;Natural gas liquids;Destined for transit to other countries;2000 June;0.0;;;;27.0;27.0;0.0;0.0;0.0;;0.0;0.0;0.0
2687;Natural gas liquids;Destined for transit to other countries;2000 2nd quarter;0.0;;;;27.0;27.0;0.0;0.0;0.0;;0.0;0.0;0.0
2688;Natural gas liquids;Destined for transit to other countries;2000 July;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2689;Natural gas liquids;Destined for transit to other countries;2000 August;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2690;Natural gas liquids;Destined for transit to other countries;2000 September;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2691;Natural gas liquids;Destined for transit to other countries;2000 3rd quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2692;Natural gas liquids;Destined for transit to other countries;2000 October;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2693;Natural gas liquids;Destined for transit to other countries;2000 November;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2694;Natural gas liquids;Destined for transit to other countries;2000 December;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2695;Natural gas liquids;Destined for transit to other countries;2000 4th quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2696;Natural gas liquids;Destined for transit to other countries;2000;0.0;;;;27.0;27.0;0.0;0.0;0.0;;0.0;0.0;0.0
2697;Natural gas liquids;Destined for transit to other countries;2001 January;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2698;Natural gas liquids;Destined for transit to other countries;2001 February;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2699;Natural gas liquids;Destined for transit to other countries;2001 March;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2700;Natural gas liquids;Destined for transit to other countries;2001 1st quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2701;Natural gas liquids;Destined for transit to other countries;2001 April;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2702;Natural gas liquids;Destined for transit to other countries;2001 May;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2703;Natural gas liquids;Destined for transit to other countries;2001 June;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2704;Natural gas liquids;Destined for transit to other countries;2001 2nd quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2705;Natural gas liquids;Destined for transit to other countries;2001 July;0.0;;;;2.0;0.0;-2.0;0.0;0.0;;0.0;2.0;-2.0
2706;Natural gas liquids;Destined for transit to other countries;2001 August;0.0;;;;-2.0;0.0;2.0;0.0;0.0;;2.0;0.0;2.0
2707;Natural gas liquids;Destined for transit to other countries;2001 September;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2708;Natural gas liquids;Destined for transit to other countries;2001 3rd quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2709;Natural gas liquids;Destined for transit to other countries;2001 October;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2710;Natural gas liquids;Destined for transit to other countries;2001 November;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2711;Natural gas liquids;Destined for transit to other countries;2001 December;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2712;Natural gas liquids;Destined for transit to other countries;2001 4th quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2713;Natural gas liquids;Destined for transit to other countries;2001;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2714;Natural gas liquids;Destined for transit to other countries;2002 January;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2715;Natural gas liquids;Destined for transit to other countries;2002 February;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2716;Natural gas liquids;Destined for transit to other countries;2002 March;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2717;Natural gas liquids;Destined for transit to other countries;2002 1st quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2718;Natural gas liquids;Destined for transit to other countries;2002 April;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2719;Natural gas liquids;Destined for transit to other countries;2002 May;0.0;;;;40.0;0.0;-40.0;0.0;0.0;;0.0;40.0;-40.0
2720;Natural gas liquids;Destined for transit to other countries;2002 June;0.0;;;;20.0;0.0;-20.0;0.0;0.0;;40.0;60.0;-20.0
2721;Natural gas liquids;Destined for transit to other countries;2002 2nd quarter;0.0;;;;60.0;0.0;-60.0;0.0;0.0;;0.0;60.0;-60.0
2722;Natural gas liquids;Destined for transit to other countries;2002 July;0.0;;;;-31.0;0.0;31.0;0.0;0.0;;60.0;29.0;31.0
2723;Natural gas liquids;Destined for transit to other countries;2002 August;0.0;;;;-26.0;0.0;26.0;0.0;0.0;;29.0;2.0;26.0
2724;Natural gas liquids;Destined for transit to other countries;2002 September;0.0;;;;0.0;0.0;0.0;0.0;0.0;;2.0;2.0;0.0
2725;Natural gas liquids;Destined for transit to other countries;2002 3rd quarter;0.0;;;;-57.0;0.0;57.0;0.0;0.0;;60.0;2.0;57.0
2726;Natural gas liquids;Destined for transit to other countries;2002 October;0.0;;;;27.0;0.0;-27.0;0.0;0.0;;2.0;30.0;-27.0
2727;Natural gas liquids;Destined for transit to other countries;2002 November;0.0;;;;0.0;0.0;0.0;0.0;0.0;;30.0;29.0;0.0
2728;Natural gas liquids;Destined for transit to other countries;2002 December;0.0;;;;-29.0;0.0;29.0;0.0;0.0;;29.0;0.0;29.0
2729;Natural gas liquids;Destined for transit to other countries;2002 4th quarter;0.0;;;;-2.0;0.0;2.0;0.0;0.0;;2.0;0.0;2.0
2730;Natural gas liquids;Destined for transit to other countries;2002;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2731;Natural gas liquids;Destined for transit to other countries;2003 January;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2732;Natural gas liquids;Destined for transit to other countries;2003 February;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2733;Natural gas liquids;Destined for transit to other countries;2003 March;0.0;;;;67.0;0.0;-67.0;0.0;0.0;;0.0;67.0;-67.0
2734;Natural gas liquids;Destined for transit to other countries;2003 1st quarter;0.0;;;;66.0;0.0;-66.0;0.0;0.0;;0.0;67.0;-66.0
2735;Natural gas liquids;Destined for transit to other countries;2003 April;0.0;;;;0.0;0.0;0.0;0.0;0.0;;67.0;67.0;0.0
2736;Natural gas liquids;Destined for transit to other countries;2003 May;0.0;;;;3.0;0.0;-3.0;0.0;0.0;;67.0;69.0;-3.0
2737;Natural gas liquids;Destined for transit to other countries;2003 June;0.0;;;;-67.0;0.0;67.0;0.0;0.0;;69.0;2.0;67.0
2738;Natural gas liquids;Destined for transit to other countries;2003 2nd quarter;0.0;;;;-64.0;0.0;64.0;0.0;0.0;;67.0;2.0;64.0
2739;Natural gas liquids;Destined for transit to other countries;2003 July;0.0;;;;0.0;0.0;0.0;0.0;0.0;;2.0;2.0;0.0
2740;Natural gas liquids;Destined for transit to other countries;2003 August;0.0;;;;0.0;0.0;0.0;0.0;0.0;;2.0;2.0;0.0
2741;Natural gas liquids;Destined for transit to other countries;2003 September;0.0;;;;0.0;0.0;0.0;0.0;0.0;;2.0;2.0;0.0
2742;Natural gas liquids;Destined for transit to other countries;2003 3rd quarter;0.0;;;;0.0;0.0;0.0;0.0;0.0;;2.0;2.0;0.0
2743;Natural gas liquids;Destined for transit to other countries;2003 October;0.0;;;;0.0;0.0;0.0;0.0;0.0;;2.0;2.0;0.0
2744;Natural gas liquids;Destined for transit to other countries;2003 November;0.0;;;;1.0;0.0;-1.0;0.0;0.0;;2.0;3.0;-1.0
2745;Natural gas liquids;Destined for transit to other countries;2003 December;0.0;;;;8.0;8.0;0.0;0.0;0.0;;3.0;3.0;0.0
2746;Natural gas liquids;Destined for transit to other countries;2003 4th quarter;0.0;;;;10.0;8.0;-1.0;0.0;0.0;;2.0;3.0;-1.0
2747;Natural gas liquids;Destined for transit to other countries;2003;0.0;;;;11.0;8.0;-3.0;0.0;0.0;;0.0;3.0;-3.0
2748;Natural gas liquids;Destined for transit to other countries;2004 January;0.0;;;;97.0;73.0;-24.0;0.0;0.0;;3.0;27.0;-24.0
2749;Natural gas liquids;Destined for transit to other countries;2004 February;0.0;;;;-1.0;4.0;5.0;0.0;0.0;;27.0;22.0;5.0
2750;Natural gas liquids;Destined for transit to other countries;2004 March;0.0;;;;26.0;0.0;-26.0;0.0;0.0;;22.0;48.0;-26.0
2751;Natural gas liquids;Destined for transit to other countries;2004 1st quarter;0.0;;;;122.0;77.0;-45.0;0.0;0.0;;3.0;48.0;-45.0
2752;Natural gas liquids;Destined for transit to other countries;2004 April;0.0;;;;3.0;51.0;48.0;0.0;0.0;;48.0;0.0;48.0
2753;Natural gas liquids;Destined for transit to other countries;2004 May;0.0;;;;14.0;14.0;0.0;0.0;0.0;;0.0;0.0;0.0
2754;Natural gas liquids;Destined for transit to other countries;2004 June;0.0;;;;87.0;87.0;0.0;0.0;0.0;;0.0;0.0;0.0
2755;Natural gas liquids;Destined for transit to other countries;2004 2nd quarter;0.0;;;;104.0;152.0;48.0;0.0;0.0;;48.0;0.0;48.0
2756;Natural gas liquids;Destined for transit to other countries;2004 July;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
2757;Natural gas liquids;Destined for transit to other countries;2004 August;0.0;;;;78.0;78.0;0.0;0.0;0.0;;0.0;0.0;0.0
2758;Natural gas liquids;Destined for transit to other countries;2004 September;0.0;;;;7.0;2.0;-6.0;0.0;0.0;;0.0;6.0;-6.0
2759;Natural gas liquids;Destined for transit to other countries;2004 3rd quarter;0.0;;;;85.0;80.0;-6.0;0.0;0.0;;0.0;6.0;-6.0
2760;Natural gas liquids;Destined for transit to other countries;2004 October;0.0;;;;78.0;0.0;-78.0;0.0;0.0;;6.0;84.0;-78.0
2761;Natural gas liquids;Destined for transit to other countries;2004 November;0.0;;;;0.0;64.0;64.0;0.0;0.0;;84.0;20.0;64.0
2762;Natural gas liquids;Destined for transit to other countries;2004 December;0.0;;;;0.0;20.0;20.0;0.0;0.0;;20.0;0.0;20.0
2763;Natural gas liquids;Destined for transit to other countries;2004 4th quarter;0.0;;;;78.0;84.0;6.0;0.0;0.0;;6.0;0.0;6.0
2764;Natural gas liquids;Destined for transit to other countries;2004;0.0;;;;390.0;393.0;3.0;0.0;0.0;;3.0;0.0;3.0
2765;Natural gas liquids;Destined for transit to other countries;2005 January;0.0;;;;81.0;27.0;-54.0;0.0;0.0;;0.0;54.0;-54.0
2766;Natural gas liquids;Destined for transit to other countries;2005 February;0.0;;;;90.0;86.0;-5.0;0.0;0.0;;54.0;58.0;-5.0
2767;Natural gas liquids;Destined for transit to other countries;2005 March;0.0;;;;0.0;1.0;1.0;0.0;0.0;;58.0;58.0;1.0
2768;Natural gas liquids;Destined for transit to other countries;2005 1st quarter;0.0;;;;172.0;114.0;-58.0;0.0;0.0;;0.0;58.0;-58.0
2769;Natural gas liquids;Destined for transit to other countries;2005 April;0.0;;;;48.0;59.0;11.0;0.0;0.0;;58.0;47.0;11.0
2770;Natural gas liquids;Destined for transit to other countries;2005 May;0.0;;;;65.0;65.0;0.0;0.0;0.0;;47.0;47.0;0.0
2771;Natural gas liquids;Destined for transit to other countries;2005 June;0.0;;;;0.0;9.0;9.0;0.0;0.0;;47.0;38.0;9.0
2772;Natural gas liquids;Destined for transit to other countries;2005 2nd quarter;0.0;;;;113.0;133.0;20.0;0.0;0.0;;58.0;38.0;20.0
2773;Natural gas liquids;Destined for transit to other countries;2005 July;0.0;;;;1.0;10.0;9.0;0.0;0.0;;38.0;28.0;9.0
