ID;Perioden;TotaalSocialePremies_1;AlgemeenArbeidsongeschiktheidsfonds_2;Arbeidsongeschiktheidsfonds_3;ArbeidsongeschiktheidsfondsZelfst_4;Werkhervattingskas_5;Arbeidsongeschiktheidskas_6;AlgemeenWerkloosheidsfonds_7;Sectorfondsen_8;UitvoeringsfondsVoorDeOverheid_9;WetKinderopvang_10;Ziekengeldkassen_11;AlgemeneKas_12;Zorgverzekeringsfonds_13;AlgemeenOuderdomsfonds_14;AlgemeenNabestaandenfonds_15;AlgemeenKinderbijslagfonds_16;AlgemeenFondsBijzondereZiektekosten_17;FondsLangdurigeZorg_18;TotaalSocialePremiesTLVWerkgevers_19;AlgemeenArbeidsongeschiktheidsfonds_20;Arbeidsongeschiktheidsfonds_21;Werkhervattingskas_22;Arbeidsongeschiktheidskas_23;AlgemeenWerkloosheidsfonds_24;Sectorfondsen_25;UitvoeringsfondsVoorDeOverheid_26;WetKinderopvang_27;Ziekengeldkassen_28;AlgemeneKas_29;Zorgverzekeringsfonds_30;AlgemeenKinderbijslagfonds_31;AlgemeenFondsBijzondereZiektekosten_32;FondsLangdurigeZorg_33;TotaalSocPremiesNietTLVWerkg_34;AlgemeenArbeidsongeschiktheidsfonds_35;Arbeidsongeschiktheidsfonds_36;ArbeidsongeschiktheidsfondsZelfst_37;AlgemeenWerkloosheidsfonds_38;Sectorfondsen_39;Ziekengeldkassen_40;AlgemeneKas_41;Zorgverzekeringsfonds_42;AlgemeenOuderdomsfonds_43;AlgemeenNabestaandenfonds_44;AlgemeenKinderbijslagfonds_45;AlgemeenFondsBijzondereZiektekosten_46;FondsLangdurigeZorg_47
22;2002 4e kwartaal;14958;;2188;230.0;;793.0;1176;194;81.0;;;2446.0;;4507;362;;2981;;4495;;2188.0;;793.0;401;194;81.0;;;838.0;;;;;10463;;;230.0;775.0;;;1608.0;;4507;362;;2981;
23;2002;61771;;9295;882.0;;2947.0;4981;1012;310.0;;;10792.0;;18136;1452;;11964;;20225;;9295.0;;2947.0;1858;1012;310.0;;;4803.0;;;;;41546;;;882.0;3123.0;;;5989.0;;18136;1452;;11964;
24;2003 1e kwartaal;17648;;1972;262.0;;907.0;1217;426;100.0;;;3907.0;;4788;384;;3685;;5657;;1972.0;;907.0;353;426;100.0;;;1899.0;;;;;11991;;;262.0;864.0;;;2008.0;;4788;384;;3685;
25;2003 2e kwartaal;17629;;2098;163.0;;990.0;956;460;124.0;;;4289.0;;4557;366;;3626;;4995;;2098.0;;990.0;175;460;124.0;;;1148.0;;;;;12634;;;163.0;781.0;;;3141.0;;4557;366;;3626;
26;2003 3e kwartaal;14957;;1873;159.0;;817.0;1404;399;78.0;;;2290.0;;4225;338;;3374;;4899;;1873.0;;817.0;490;399;78.0;;;1242.0;;;;;10058;;;159.0;914.0;;;1048.0;;4225;338;;3374;
27;2003 4e kwartaal;15654;;2164;283.0;;843.0;1015;400;117.0;;;2636.0;;4365;349;;3482;;5078;;2164.0;;843.0;280;400;117.0;;;1274.0;;;;;10576;;;283.0;735.0;;;1362.0;;4365;349;;3482;
28;2003;65888;;8107;867.0;;3557.0;4592;1685;419.0;;;13122.0;;17935;1437;;14167;;20629;;8107.0;;3557.0;1298;1685;419.0;;;5563.0;;;;;45259;;;867.0;3294.0;;;7559.0;;17935;1437;;14167;
29;2004 1e kwartaal;17675;;2196;;;927.0;1044;633;129.0;;;3151.0;;4973;402;;4220;;5317;;2130.0;;927.0;162;633;129.0;;;1336.0;;;;;12358;;66.0;;882.0;;;1815.0;;4973;402;;4220;
30;2004 2e kwartaal;16274;;1975;;;841.0;1137;580;119.0;;;3199.0;;4268;349;;3806;;5331;;1916.0;;841.0;266;580;119.0;;;1609.0;;;;;10943;;59.0;;871.0;;;1590.0;;4268;349;;3806;
31;2004 3e kwartaal;16210;;2171;;;848.0;1271;492;122.0;;;2871.0;;4353;355;;3727;;5562;;2114.0;;848.0;346;492;122.0;;;1640.0;;;;;10648;;57.0;;925.0;;;1231.0;;4353;355;;3727;
