ID;ClimateSectors;EmissionToAir;Periods;GreenhouseGasEmissions_1
5395;"Road transport; motorcycles";F-gases;1995;0.0
5396;"Road transport; motorcycles";F-gases;1996 ;0.0
5397;"Road transport; motorcycles";F-gases;1997 ;0.0
5398;"Road transport; motorcycles";F-gases;1998 ;0.0
5399;"Road transport; motorcycles";F-gases;1999 ;0.0
5400;"Road transport; motorcycles";F-gases;2000;0.0
5401;"Road transport; motorcycles";F-gases;2001;0.0
5402;"Road transport; motorcycles";F-gases;2002;0.0
5403;"Road transport; motorcycles";F-gases;2003;0.0
5404;"Road transport; motorcycles";F-gases;2004;0.0
5405;"Road transport; motorcycles";F-gases;2005;0.0
5406;"Road transport; motorcycles";F-gases;2006;0.0
5407;"Road transport; motorcycles";F-gases;2007;0.0
5408;"Road transport; motorcycles";F-gases;2008;0.0
5409;"Road transport; motorcycles";F-gases;2009;0.0
5410;"Road transport; motorcycles";F-gases;2010;0.0
5411;"Road transport; motorcycles";F-gases;2011;0.0
5412;"Road transport; motorcycles";F-gases;2012;0.0
5413;"Road transport; motorcycles";F-gases;2013;0.0
5414;"Road transport; motorcycles";F-gases;2014;0.0
5415;"Road transport; motorcycles";F-gases;2015;0.0
5416;"Road transport; motorcycles";F-gases;2016;0.0
5417;"Road transport; motorcycles";F-gases;2017;0.0
5418;"Road transport; motorcycles";F-gases;2018;0.0
5419;"Road transport; motorcycles";F-gases;2019;0.0
5420;"Road transport; motorcycles";F-gases;2020;0.0
5421;"Road transport; motorcycles";F-gases;2021;0.0
5422;"Road transport; motorcycles";F-gases;2022;0.0
5423;"Road transport; motorcycles";F-gases;2023;0.0
5424;"Road transport; motorcycles";F-gases;2024;
5425;"Road transport; light freight vehicles";Total greenhouse gases;1990;2.2
5426;"Road transport; light freight vehicles";Total greenhouse gases;1991 ;2.3
5427;"Road transport; light freight vehicles";Total greenhouse gases;1992;2.5
5428;"Road transport; light freight vehicles";Total greenhouse gases;1993 ;2.8
5429;"Road transport; light freight vehicles";Total greenhouse gases;1994 ;2.8
5430;"Road transport; light freight vehicles";Total greenhouse gases;1995;2.8
5431;"Road transport; light freight vehicles";Total greenhouse gases;1996 ;2.9
5432;"Road transport; light freight vehicles";Total greenhouse gases;1997 ;3.1
5433;"Road transport; light freight vehicles";Total greenhouse gases;1998 ;3.4
5434;"Road transport; light freight vehicles";Total greenhouse gases;1999 ;3.7
5435;"Road transport; light freight vehicles";Total greenhouse gases;2000;3.8
5436;"Road transport; light freight vehicles";Total greenhouse gases;2001;4.0
5437;"Road transport; light freight vehicles";Total greenhouse gases;2002;4.1
5438;"Road transport; light freight vehicles";Total greenhouse gases;2003;4.2
5439;"Road transport; light freight vehicles";Total greenhouse gases;2004;4.4
5440;"Road transport; light freight vehicles";Total greenhouse gases;2005;4.2
5441;"Road transport; light freight vehicles";Total greenhouse gases;2006;4.0
5442;"Road transport; light freight vehicles";Total greenhouse gases;2007;3.7
5443;"Road transport; light freight vehicles";Total greenhouse gases;2008;3.7
5444;"Road transport; light freight vehicles";Total greenhouse gases;2009;3.4
5445;"Road transport; light freight vehicles";Total greenhouse gases;2010;3.5
5446;"Road transport; light freight vehicles";Total greenhouse gases;2011;3.4
5447;"Road transport; light freight vehicles";Total greenhouse gases;2012;3.3
5448;"Road transport; light freight vehicles";Total greenhouse gases;2013;3.3
5449;"Road transport; light freight vehicles";Total greenhouse gases;2014;3.2
5450;"Road transport; light freight vehicles";Total greenhouse gases;2015;3.3
5451;"Road transport; light freight vehicles";Total greenhouse gases;2016;3.5
5452;"Road transport; light freight vehicles";Total greenhouse gases;2017;3.6
5453;"Road transport; light freight vehicles";Total greenhouse gases;2018;3.6
5454;"Road transport; light freight vehicles";Total greenhouse gases;2019;3.6
5455;"Road transport; light freight vehicles";Total greenhouse gases;2020;3.6
5456;"Road transport; light freight vehicles";Total greenhouse gases;2021;3.7
5457;"Road transport; light freight vehicles";Total greenhouse gases;2022;3.8
5458;"Road transport; light freight vehicles";Total greenhouse gases;2023;3.8
5459;"Road transport; light freight vehicles";Total greenhouse gases;2024;
5460;"Road transport; light freight vehicles";Carbon dioxide (CO2);1990;2.2
5461;"Road transport; light freight vehicles";Carbon dioxide (CO2);1991 ;2.3
5462;"Road transport; light freight vehicles";Carbon dioxide (CO2);1992;2.5
5463;"Road transport; light freight vehicles";Carbon dioxide (CO2);1993 ;2.7
5464;"Road transport; light freight vehicles";Carbon dioxide (CO2);1994 ;2.8
5465;"Road transport; light freight vehicles";Carbon dioxide (CO2);1995;2.8
5466;"Road transport; light freight vehicles";Carbon dioxide (CO2);1996 ;2.9
5467;"Road transport; light freight vehicles";Carbon dioxide (CO2);1997 ;3.1
5468;"Road transport; light freight vehicles";Carbon dioxide (CO2);1998 ;3.4
5469;"Road transport; light freight vehicles";Carbon dioxide (CO2);1999 ;3.7
5470;"Road transport; light freight vehicles";Carbon dioxide (CO2);2000;3.7
5471;"Road transport; light freight vehicles";Carbon dioxide (CO2);2001;4.0
5472;"Road transport; light freight vehicles";Carbon dioxide (CO2);2002;4.1
5473;"Road transport; light freight vehicles";Carbon dioxide (CO2);2003;4.2
5474;"Road transport; light freight vehicles";Carbon dioxide (CO2);2004;4.4
5475;"Road transport; light freight vehicles";Carbon dioxide (CO2);2005;4.2
5476;"Road transport; light freight vehicles";Carbon dioxide (CO2);2006;3.9
5477;"Road transport; light freight vehicles";Carbon dioxide (CO2);2007;3.7
5478;"Road transport; light freight vehicles";Carbon dioxide (CO2);2008;3.7
5479;"Road transport; light freight vehicles";Carbon dioxide (CO2);2009;3.4
5480;"Road transport; light freight vehicles";Carbon dioxide (CO2);2010;3.5
5481;"Road transport; light freight vehicles";Carbon dioxide (CO2);2011;3.4
5482;"Road transport; light freight vehicles";Carbon dioxide (CO2);2012;3.3
5483;"Road transport; light freight vehicles";Carbon dioxide (CO2);2013;3.3
5484;"Road transport; light freight vehicles";Carbon dioxide (CO2);2014;3.2
5485;"Road transport; light freight vehicles";Carbon dioxide (CO2);2015;3.3
5486;"Road transport; light freight vehicles";Carbon dioxide (CO2);2016;3.4
5487;"Road transport; light freight vehicles";Carbon dioxide (CO2);2017;3.5
5488;"Road transport; light freight vehicles";Carbon dioxide (CO2);2018;3.5
5489;"Road transport; light freight vehicles";Carbon dioxide (CO2);2019;3.6
5490;"Road transport; light freight vehicles";Carbon dioxide (CO2);2020;3.5
5491;"Road transport; light freight vehicles";Carbon dioxide (CO2);2021;3.6
5492;"Road transport; light freight vehicles";Carbon dioxide (CO2);2022;3.7
5493;"Road transport; light freight vehicles";Carbon dioxide (CO2);2023;3.7
5494;"Road transport; light freight vehicles";Carbon dioxide (CO2);2024;
5495;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1990;0.0
5496;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1991 ;0.0
5497;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1992;0.0
5498;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1993 ;0.0
5499;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1994 ;0.0
5500;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1995;0.0
5501;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1996 ;0.0
5502;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1997 ;0.0
5503;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1998 ;0.0
5504;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);1999 ;0.0
5505;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2000;0.0
5506;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2001;0.0
5507;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2002;0.0
5508;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2003;0.0
5509;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2004;0.0
5510;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2005;0.0
5511;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2006;0.0
5512;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2007;0.0
5513;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2008;0.0
5514;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2009;0.0
5515;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2010;0.0
5516;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2011;0.0
5517;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2012;0.0
5518;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2013;0.0
5519;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2014;0.0
5520;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2015;0.0
5521;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2016;0.0
5522;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2017;0.0
5523;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2018;0.0
5524;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2019;0.0
5525;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2020;0.0
5526;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2021;0.0
5527;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2022;0.0
5528;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2023;0.0
5529;"Road transport; light freight vehicles";Dinitrogen oxide (N2O);2024;
5530;"Road transport; light freight vehicles";Methane (CH4);1990;0.0
5531;"Road transport; light freight vehicles";Methane (CH4);1991 ;0.0
5532;"Road transport; light freight vehicles";Methane (CH4);1992;0.0
5533;"Road transport; light freight vehicles";Methane (CH4);1993 ;0.0
5534;"Road transport; light freight vehicles";Methane (CH4);1994 ;0.0
5535;"Road transport; light freight vehicles";Methane (CH4);1995;0.0
5536;"Road transport; light freight vehicles";Methane (CH4);1996 ;0.0
5537;"Road transport; light freight vehicles";Methane (CH4);1997 ;0.0
5538;"Road transport; light freight vehicles";Methane (CH4);1998 ;0.0
5539;"Road transport; light freight vehicles";Methane (CH4);1999 ;0.0
5540;"Road transport; light freight vehicles";Methane (CH4);2000;0.0
5541;"Road transport; light freight vehicles";Methane (CH4);2001;0.0
5542;"Road transport; light freight vehicles";Methane (CH4);2002;0.0
5543;"Road transport; light freight vehicles";Methane (CH4);2003;0.0
5544;"Road transport; light freight vehicles";Methane (CH4);2004;0.0
5545;"Road transport; light freight vehicles";Methane (CH4);2005;0.0
5546;"Road transport; light freight vehicles";Methane (CH4);2006;0.0
5547;"Road transport; light freight vehicles";Methane (CH4);2007;0.0
5548;"Road transport; light freight vehicles";Methane (CH4);2008;0.0
5549;"Road transport; light freight vehicles";Methane (CH4);2009;0.0
5550;"Road transport; light freight vehicles";Methane (CH4);2010;0.0
5551;"Road transport; light freight vehicles";Methane (CH4);2011;0.0
5552;"Road transport; light freight vehicles";Methane (CH4);2012;0.0
5553;"Road transport; light freight vehicles";Methane (CH4);2013;0.0
5554;"Road transport; light freight vehicles";Methane (CH4);2014;0.0
5555;"Road transport; light freight vehicles";Methane (CH4);2015;0.0
5556;"Road transport; light freight vehicles";Methane (CH4);2016;0.0
5557;"Road transport; light freight vehicles";Methane (CH4);2017;0.0
5558;"Road transport; light freight vehicles";Methane (CH4);2018;0.0
5559;"Road transport; light freight vehicles";Methane (CH4);2019;0.0
5560;"Road transport; light freight vehicles";Methane (CH4);2020;0.0
5561;"Road transport; light freight vehicles";Methane (CH4);2021;0.0
5562;"Road transport; light freight vehicles";Methane (CH4);2022;0.0
5563;"Road transport; light freight vehicles";Methane (CH4);2023;0.0
5564;"Road transport; light freight vehicles";Methane (CH4);2024;
5565;"Road transport; light freight vehicles";F-gases;1990;0.0
5566;"Road transport; light freight vehicles";F-gases;1991 ;0.0
5567;"Road transport; light freight vehicles";F-gases;1992;0.0
5568;"Road transport; light freight vehicles";F-gases;1993 ;0.0
5569;"Road transport; light freight vehicles";F-gases;1994 ;0.0
5570;"Road transport; light freight vehicles";F-gases;1995;0.0
5571;"Road transport; light freight vehicles";F-gases;1996 ;0.0
5572;"Road transport; light freight vehicles";F-gases;1997 ;0.0
5573;"Road transport; light freight vehicles";F-gases;1998 ;0.0
5574;"Road transport; light freight vehicles";F-gases;1999 ;0.0
5575;"Road transport; light freight vehicles";F-gases;2000;0.0
5576;"Road transport; light freight vehicles";F-gases;2001;0.0
5577;"Road transport; light freight vehicles";F-gases;2002;0.0
5578;"Road transport; light freight vehicles";F-gases;2003;0.0
5579;"Road transport; light freight vehicles";F-gases;2004;0.0
5580;"Road transport; light freight vehicles";F-gases;2005;0.0
5581;"Road transport; light freight vehicles";F-gases;2006;0.0
5582;"Road transport; light freight vehicles";F-gases;2007;0.0
5583;"Road transport; light freight vehicles";F-gases;2008;0.0
5584;"Road transport; light freight vehicles";F-gases;2009;0.0
5585;"Road transport; light freight vehicles";F-gases;2010;0.0
5586;"Road transport; light freight vehicles";F-gases;2011;0.0
5587;"Road transport; light freight vehicles";F-gases;2012;0.0
5588;"Road transport; light freight vehicles";F-gases;2013;0.0
5589;"Road transport; light freight vehicles";F-gases;2014;0.0
5590;"Road transport; light freight vehicles";F-gases;2015;0.0
5591;"Road transport; light freight vehicles";F-gases;2016;0.0
5592;"Road transport; light freight vehicles";F-gases;2017;0.0
5593;"Road transport; light freight vehicles";F-gases;2018;0.0
5594;"Road transport; light freight vehicles";F-gases;2019;0.0
5595;"Road transport; light freight vehicles";F-gases;2020;0.0
5596;"Road transport; light freight vehicles";F-gases;2021;0.0
5597;"Road transport; light freight vehicles";F-gases;2022;0.0
5598;"Road transport; light freight vehicles";F-gases;2023;0.0
5599;"Road transport; light freight vehicles";F-gases;2024;
5600;"Road transport; heavy freight vehicles";Total greenhouse gases;1990;7.8
5601;"Road transport; heavy freight vehicles";Total greenhouse gases;1991 ;8.2
5602;"Road transport; heavy freight vehicles";Total greenhouse gases;1992;9.0
5603;"Road transport; heavy freight vehicles";Total greenhouse gases;1993 ;9.2
5604;"Road transport; heavy freight vehicles";Total greenhouse gases;1994 ;8.3
5605;"Road transport; heavy freight vehicles";Total greenhouse gases;1995;8.3
5606;"Road transport; heavy freight vehicles";Total greenhouse gases;1996 ;8.8
5607;"Road transport; heavy freight vehicles";Total greenhouse gases;1997 ;8.7
5608;"Road transport; heavy freight vehicles";Total greenhouse gases;1998 ;8.8
5609;"Road transport; heavy freight vehicles";Total greenhouse gases;1999 ;8.8
5610;"Road transport; heavy freight vehicles";Total greenhouse gases;2000;9.1
5611;"Road transport; heavy freight vehicles";Total greenhouse gases;2001;8.7
5612;"Road transport; heavy freight vehicles";Total greenhouse gases;2002;9.0
5613;"Road transport; heavy freight vehicles";Total greenhouse gases;2003;9.3
5614;"Road transport; heavy freight vehicles";Total greenhouse gases;2004;9.5
5615;"Road transport; heavy freight vehicles";Total greenhouse gases;2005;10.0
5616;"Road transport; heavy freight vehicles";Total greenhouse gases;2006;10.9
5617;"Road transport; heavy freight vehicles";Total greenhouse gases;2007;10.7
5618;"Road transport; heavy freight vehicles";Total greenhouse gases;2008;11.1
5619;"Road transport; heavy freight vehicles";Total greenhouse gases;2009;10.2
5620;"Road transport; heavy freight vehicles";Total greenhouse gases;2010;10.8
5621;"Road transport; heavy freight vehicles";Total greenhouse gases;2011;11.0
5622;"Road transport; heavy freight vehicles";Total greenhouse gases;2012;10.3
5623;"Road transport; heavy freight vehicles";Total greenhouse gases;2013;9.2
5624;"Road transport; heavy freight vehicles";Total greenhouse gases;2014;7.4
5625;"Road transport; heavy freight vehicles";Total greenhouse gases;2015;7.4
5626;"Road transport; heavy freight vehicles";Total greenhouse gases;2016;7.0
5627;"Road transport; heavy freight vehicles";Total greenhouse gases;2017;7.6
5628;"Road transport; heavy freight vehicles";Total greenhouse gases;2018;7.8
5629;"Road transport; heavy freight vehicles";Total greenhouse gases;2019;7.7
5630;"Road transport; heavy freight vehicles";Total greenhouse gases;2020;6.9
5631;"Road transport; heavy freight vehicles";Total greenhouse gases;2021;6.8
5632;"Road transport; heavy freight vehicles";Total greenhouse gases;2022;6.4
5633;"Road transport; heavy freight vehicles";Total greenhouse gases;2023;6.4
5634;"Road transport; heavy freight vehicles";Total greenhouse gases;2024;
5635;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1990;7.7
5636;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1991 ;8.1
5637;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1992;9.0
5638;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1993 ;9.2
5639;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1994 ;8.3
5640;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1995;8.2
5641;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1996 ;8.7
5642;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1997 ;8.6
5643;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1998 ;8.8
5644;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);1999 ;8.7
5645;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2000;9.1
5646;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2001;8.6
5647;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2002;8.9
5648;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2003;9.3
5649;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2004;9.5
5650;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2005;9.9
5651;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2006;10.8
5652;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2007;10.6
5653;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2008;11.0
5654;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2009;10.1
5655;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2010;10.6
5656;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2011;10.9
5657;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2012;10.1
5658;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2013;9.1
5659;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2014;7.3
5660;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2015;7.3
5661;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2016;6.9
5662;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2017;7.5
5663;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2018;7.7
5664;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2019;7.6
5665;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2020;6.8
5666;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2021;6.7
5667;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2022;6.3
5668;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2023;6.3
5669;"Road transport; heavy freight vehicles";Carbon dioxide (CO2);2024;
5670;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1990;0.0
5671;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1991 ;0.0
5672;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1992;0.0
5673;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1993 ;0.0
5674;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1994 ;0.0
5675;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1995;0.0
5676;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1996 ;0.0
5677;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1997 ;0.0
5678;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1998 ;0.0
5679;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);1999 ;0.0
5680;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2000;0.0
5681;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2001;0.0
5682;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2002;0.0
5683;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2003;0.0
5684;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2004;0.0
5685;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2005;0.0
5686;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2006;0.1
5687;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2007;0.1
5688;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2008;0.1
5689;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2009;0.1
5690;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2010;0.1
5691;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2011;0.1
5692;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2012;0.1
5693;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2013;0.1
5694;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2014;0.1
5695;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2015;0.1
5696;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2016;0.1
5697;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2017;0.1
5698;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2018;0.1
5699;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2019;0.1
5700;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2020;0.1
5701;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2021;0.1
5702;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2022;0.1
5703;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2023;0.1
5704;"Road transport; heavy freight vehicles";Dinitrogen oxide (N2O);2024;
5705;"Road transport; heavy freight vehicles";Methane (CH4);1990;0.0
5706;"Road transport; heavy freight vehicles";Methane (CH4);1991 ;0.0
5707;"Road transport; heavy freight vehicles";Methane (CH4);1992;0.0
5708;"Road transport; heavy freight vehicles";Methane (CH4);1993 ;0.0
5709;"Road transport; heavy freight vehicles";Methane (CH4);1994 ;0.0
5710;"Road transport; heavy freight vehicles";Methane (CH4);1995;0.0
5711;"Road transport; heavy freight vehicles";Methane (CH4);1996 ;0.0
5712;"Road transport; heavy freight vehicles";Methane (CH4);1997 ;0.0
5713;"Road transport; heavy freight vehicles";Methane (CH4);1998 ;0.0
5714;"Road transport; heavy freight vehicles";Methane (CH4);1999 ;0.0
5715;"Road transport; heavy freight vehicles";Methane (CH4);2000;0.0
5716;"Road transport; heavy freight vehicles";Methane (CH4);2001;0.0
5717;"Road transport; heavy freight vehicles";Methane (CH4);2002;0.0
5718;"Road transport; heavy freight vehicles";Methane (CH4);2003;0.0
5719;"Road transport; heavy freight vehicles";Methane (CH4);2004;0.0
5720;"Road transport; heavy freight vehicles";Methane (CH4);2005;0.0
5721;"Road transport; heavy freight vehicles";Methane (CH4);2006;0.0
5722;"Road transport; heavy freight vehicles";Methane (CH4);2007;0.0
5723;"Road transport; heavy freight vehicles";Methane (CH4);2008;0.0
5724;"Road transport; heavy freight vehicles";Methane (CH4);2009;0.0
5725;"Road transport; heavy freight vehicles";Methane (CH4);2010;0.0
5726;"Road transport; heavy freight vehicles";Methane (CH4);2011;0.0
5727;"Road transport; heavy freight vehicles";Methane (CH4);2012;0.0
5728;"Road transport; heavy freight vehicles";Methane (CH4);2013;0.0
5729;"Road transport; heavy freight vehicles";Methane (CH4);2014;0.0
5730;"Road transport; heavy freight vehicles";Methane (CH4);2015;0.0
5731;"Road transport; heavy freight vehicles";Methane (CH4);2016;0.0
5732;"Road transport; heavy freight vehicles";Methane (CH4);2017;0.0
5733;"Road transport; heavy freight vehicles";Methane (CH4);2018;0.0
5734;"Road transport; heavy freight vehicles";Methane (CH4);2019;0.0
5735;"Road transport; heavy freight vehicles";Methane (CH4);2020;0.0
5736;"Road transport; heavy freight vehicles";Methane (CH4);2021;0.0
5737;"Road transport; heavy freight vehicles";Methane (CH4);2022;0.0
5738;"Road transport; heavy freight vehicles";Methane (CH4);2023;0.0
5739;"Road transport; heavy freight vehicles";Methane (CH4);2024;
5740;"Road transport; heavy freight vehicles";F-gases;1990;0.0
5741;"Road transport; heavy freight vehicles";F-gases;1991 ;0.0
5742;"Road transport; heavy freight vehicles";F-gases;1992;0.0
5743;"Road transport; heavy freight vehicles";F-gases;1993 ;0.0
5744;"Road transport; heavy freight vehicles";F-gases;1994 ;0.0
5745;"Road transport; heavy freight vehicles";F-gases;1995;0.0
5746;"Road transport; heavy freight vehicles";F-gases;1996 ;0.0
5747;"Road transport; heavy freight vehicles";F-gases;1997 ;0.0
5748;"Road transport; heavy freight vehicles";F-gases;1998 ;0.0
5749;"Road transport; heavy freight vehicles";F-gases;1999 ;0.0
5750;"Road transport; heavy freight vehicles";F-gases;2000;0.0
5751;"Road transport; heavy freight vehicles";F-gases;2001;0.0
5752;"Road transport; heavy freight vehicles";F-gases;2002;0.0
5753;"Road transport; heavy freight vehicles";F-gases;2003;0.0
5754;"Road transport; heavy freight vehicles";F-gases;2004;0.0
5755;"Road transport; heavy freight vehicles";F-gases;2005;0.0
5756;"Road transport; heavy freight vehicles";F-gases;2006;0.0
5757;"Road transport; heavy freight vehicles";F-gases;2007;0.0
5758;"Road transport; heavy freight vehicles";F-gases;2008;0.0
5759;"Road transport; heavy freight vehicles";F-gases;2009;0.0
5760;"Road transport; heavy freight vehicles";F-gases;2010;0.0
5761;"Road transport; heavy freight vehicles";F-gases;2011;0.0
5762;"Road transport; heavy freight vehicles";F-gases;2012;0.0
5763;"Road transport; heavy freight vehicles";F-gases;2013;0.0
5764;"Road transport; heavy freight vehicles";F-gases;2014;0.0
5765;"Road transport; heavy freight vehicles";F-gases;2015;0.0
5766;"Road transport; heavy freight vehicles";F-gases;2016;0.0
5767;"Road transport; heavy freight vehicles";F-gases;2017;0.0
5768;"Road transport; heavy freight vehicles";F-gases;2018;0.0
5769;"Road transport; heavy freight vehicles";F-gases;2019;0.0
5770;"Road transport; heavy freight vehicles";F-gases;2020;0.0
5771;"Road transport; heavy freight vehicles";F-gases;2021;0.0
5772;"Road transport; heavy freight vehicles";F-gases;2022;0.0
5773;"Road transport; heavy freight vehicles";F-gases;2023;0.0
5774;"Road transport; heavy freight vehicles";F-gases;2024;
5775;"Road transport; buses";Total greenhouse gases;1990;0.6
5776;"Road transport; buses";Total greenhouse gases;1991 ;0.6
5777;"Road transport; buses";Total greenhouse gases;1992;0.6
5778;"Road transport; buses";Total greenhouse gases;1993 ;0.6
5779;"Road transport; buses";Total greenhouse gases;1994 ;0.6
5780;"Road transport; buses";Total greenhouse gases;1995;0.6
5781;"Road transport; buses";Total greenhouse gases;1996 ;0.6
5782;"Road transport; buses";Total greenhouse gases;1997 ;0.6
5783;"Road transport; buses";Total greenhouse gases;1998 ;0.6
5784;"Road transport; buses";Total greenhouse gases;1999 ;0.6
5785;"Road transport; buses";Total greenhouse gases;2000;0.6
5786;"Road transport; buses";Total greenhouse gases;2001;0.6
5787;"Road transport; buses";Total greenhouse gases;2002;0.6
5788;"Road transport; buses";Total greenhouse gases;2003;0.6
5789;"Road transport; buses";Total greenhouse gases;2004;0.6
5790;"Road transport; buses";Total greenhouse gases;2005;0.5
5791;"Road transport; buses";Total greenhouse gases;2006;0.5
5792;"Road transport; buses";Total greenhouse gases;2007;0.5
5793;"Road transport; buses";Total greenhouse gases;2008;0.5
5794;"Road transport; buses";Total greenhouse gases;2009;0.5
5795;"Road transport; buses";Total greenhouse gases;2010;0.6
5796;"Road transport; buses";Total greenhouse gases;2011;0.6
5797;"Road transport; buses";Total greenhouse gases;2012;0.6
5798;"Road transport; buses";Total greenhouse gases;2013;0.6
