ID;RegioS;SamenstellingVanHetHuishouden;Totaal_1;Totaal_2;HuishoudensMetEenLaagInkomen_3;HuishOnderOfRondHetSociaalMinimum_4;Totaal_5;HuishMetEenLangdurigLaagInkomen_6;HuishLangdurigOnderOfRondSocMin_7
185;Agglomeratie Haarlem (CR);Totaal particulier huishouden;96.9;93.3;10.0;8.0;82.9;3.0;3.0
186;Agglomeratie Haarlem (CR);Eenpersoonshuishouden;37.8;35.9;15.0;13.0;32.2;5.0;5.0
187;Agglomeratie Haarlem (CR);Paar zonder kinderen;26.3;25.9;4.0;4.0;23.8;1.0;1.0
188;Agglomeratie Haarlem (CR);Paar met kinderen;24.0;23.2;6.0;3.0;20.3;1.0;0.0
189;Agglomeratie Haarlem (CR);Eenoudergezin;5.8;5.3;21.0;22.0;4.3;6.0;6.0
190;Zaanstreek (CR);Totaal particulier huishouden;65.4;63.4;8.0;7.0;57.6;2.0;2.0
191;Zaanstreek (CR);Eenpersoonshuishouden;19.7;18.8;14.0;13.0;17.3;5.0;4.0
192;Zaanstreek (CR);Paar zonder kinderen;19.2;19.0;3.0;3.0;17.9;0.0;1.0
193;Zaanstreek (CR);Paar met kinderen;19.7;19.2;5.0;3.0;17.0;1.0;0.0
194;Zaanstreek (CR);Eenoudergezin;4.5;4.2;25.0;25.0;3.5;8.0;8.0
195;Groot-Amsterdam (CR);Totaal particulier huishouden;552.7;522.5;14.0;12.0;439.6;5.0;5.0
196;Groot-Amsterdam (CR);Eenpersoonshuishouden;239.6;223.0;19.0;18.0;189.2;8.0;8.0
197;Groot-Amsterdam (CR);Paar zonder kinderen;124.1;121.5;5.0;5.0;105.3;1.0;1.0
198;Groot-Amsterdam (CR);Paar met kinderen;120.1;116.2;9.0;5.0;98.0;3.0;1.0
199;Groot-Amsterdam (CR);Eenoudergezin;46.0;41.0;26.0;27.0;32.4;9.0;10.0
200;Het Gooi en Vechtstreek (CR);Totaal particulier huishouden;104.4;101.1;8.0;7.0;90.5;2.0;2.0
201;Het Gooi en Vechtstreek (CR);Eenpersoonshuishouden;36.7;35.1;13.0;11.0;31.8;4.0;3.0
202;Het Gooi en Vechtstreek (CR);Paar zonder kinderen;29.3;29.1;3.0;3.0;27.1;0.0;1.0
203;Het Gooi en Vechtstreek (CR);Paar met kinderen;29.3;28.6;5.0;4.0;25.0;1.0;0.0
204;Het Gooi en Vechtstreek (CR);Eenoudergezin;6.0;5.5;18.0;19.0;4.3;4.0;3.0
205;Agglomeratie Leiden en Bollenstreek (CR);Totaal particulier huishouden;157.1;151.3;7.0;7.0;133.6;2.0;2.0
206;Agglomeratie Leiden en Bollenstreek (CR);Eenpersoonshuishouden;51.1;48.1;13.0;12.0;42.3;4.0;4.0
207;Agglomeratie Leiden en Bollenstreek (CR);Paar zonder kinderen;44.2;43.7;3.0;3.0;39.6;0.0;1.0
208;Agglomeratie Leiden en Bollenstreek (CR);Paar met kinderen;49.2;47.9;4.0;3.0;42.3;1.0;0.0
209;Agglomeratie Leiden en Bollenstreek (CR);Eenoudergezin;8.3;7.6;20.0;20.0;6.2;6.0;6.0
210;Agglomeratie 's-Gravenhage (CR);Totaal particulier huishouden;345.4;326.4;12.0;11.0;278.9;4.0;4.0
211;Agglomeratie 's-Gravenhage (CR);Eenpersoonshuishouden;136.2;126.2;16.0;15.0;109.8;6.0;6.0
212;Agglomeratie 's-Gravenhage (CR);Paar zonder kinderen;84.7;83.2;4.0;4.0;74.5;1.0;1.0
213;Agglomeratie 's-Gravenhage (CR);Paar met kinderen;81.9;78.7;9.0;5.0;66.2;2.0;1.0
214;Agglomeratie 's-Gravenhage (CR);Eenoudergezin;27.0;24.2;28.0;29.0;18.4;10.0;11.0
215;Delft en Westland (CR);Totaal particulier huishouden;84.6;81.7;9.0;8.0;72.3;2.0;2.0
216;Delft en Westland (CR);Eenpersoonshuishouden;27.5;26.0;14.0;13.0;22.7;5.0;4.0
217;Delft en Westland (CR);Paar zonder kinderen;24.3;24.0;3.0;4.0;22.1;1.0;1.0
218;Delft en Westland (CR);Paar met kinderen;25.7;25.2;6.0;4.0;22.2;1.0;1.0
219;Delft en Westland (CR);Eenoudergezin;4.6;4.2;21.0;23.0;3.4;7.0;7.0
220;Oost-Zuid-Holland (CR);Totaal particulier huishouden;125.8;122.4;7.0;6.0;110.8;2.0;2.0
221;Oost-Zuid-Holland (CR);Eenpersoonshuishouden;33.5;32.0;12.0;11.0;29.5;3.0;3.0
222;Oost-Zuid-Holland (CR);Paar zonder kinderen;38.3;38.0;3.0;3.0;35.5;0.0;1.0
223;Oost-Zuid-Holland (CR);Paar met kinderen;43.7;42.8;5.0;3.0;38.0;1.0;0.0
224;Oost-Zuid-Holland (CR);Eenoudergezin;6.3;5.8;21.0;22.0;4.7;6.0;7.0
225;Groot-Rijnmond (CR);Totaal particulier huishouden;583.6;557.7;12.0;10.0;488.6;4.0;4.0
226;Groot-Rijnmond (CR);Eenpersoonshuishouden;203.8;191.5;18.0;17.0;170.2;7.0;7.0
227;Groot-Rijnmond (CR);Paar zonder kinderen;157.2;155.1;4.0;4.0;142.4;1.0;1.0
228;Groot-Rijnmond (CR);Paar met kinderen;153.6;148.8;8.0;5.0;127.9;2.0;1.0
229;Groot-Rijnmond (CR);Eenoudergezin;45.4;40.6;28.0;29.0;31.8;11.0;11.0
230;Zuidoost-Zuid-Holland (CR);Totaal particulier huishouden;161.7;157.0;8.0;7.0;141.2;2.0;2.0
231;Zuidoost-Zuid-Holland (CR);Eenpersoonshuishouden;47.4;45.3;15.0;14.0;41.2;5.0;5.0
232;Zuidoost-Zuid-Holland (CR);Paar zonder kinderen;47.4;47.0;3.0;3.0;43.8;1.0;1.0
233;Zuidoost-Zuid-Holland (CR);Paar met kinderen;52.4;51.2;5.0;3.0;45.4;1.0;0.0
234;Zuidoost-Zuid-Holland (CR);Eenoudergezin;9.2;8.4;25.0;26.0;6.7;7.0;8.0
235;Zeeuwsch-Vlaanderen (CR);Totaal particulier huishouden;46.8;44.1;9.0;9.0;39.6;2.0;2.0
236;Zeeuwsch-Vlaanderen (CR);Eenpersoonshuishouden;14.1;13.0;16.0;15.0;12.0;5.0;5.0
237;Zeeuwsch-Vlaanderen (CR);Paar zonder kinderen;15.9;15.6;5.0;4.0;14.3;1.0;1.0
238;Zeeuwsch-Vlaanderen (CR);Paar met kinderen;12.9;12.1;5.0;3.0;10.5;1.0;
239;Zeeuwsch-Vlaanderen (CR);Eenoudergezin;2.5;2.2;28.0;28.0;1.8;5.0;6.0
240;Overig Zeeland (CR);Totaal particulier huishouden;113.2;109.4;9.0;8.0;99.1;2.0;2.0
241;Overig Zeeland (CR);Eenpersoonshuishouden;34.3;32.5;15.0;13.0;29.8;4.0;3.0
242;Overig Zeeland (CR);Paar zonder kinderen;36.6;36.3;4.0;3.0;33.9;1.0;1.0
243;Overig Zeeland (CR);Paar met kinderen;33.7;32.7;6.0;3.0;29.0;1.0;0.0
244;Overig Zeeland (CR);Eenoudergezin;5.7;5.3;27.0;29.0;4.1;7.0;9.0
245;West-Noord-Brabant (CR);Totaal particulier huishouden;250.2;242.0;8.0;7.0;216.2;2.0;2.0
246;West-Noord-Brabant (CR);Eenpersoonshuishouden;71.3;67.8;15.0;14.0;60.7;4.0;4.0
247;West-Noord-Brabant (CR);Paar zonder kinderen;80.5;79.6;3.0;3.0;73.7;1.0;1.0
248;West-Noord-Brabant (CR);Paar met kinderen;77.1;74.8;5.0;3.0;65.9;1.0;1.0
