ID;BelastingschijfElektriciteit;SBI2008;Perioden;AantalDoorDeSchijfGehaaldeEenheden_1;LeveringVoorEigenGebruik_2;ElektriciteitsproductieTotaal_3;ElektriciteitsproductieAflevering_4;ElektriciteitsproductieVerbruik_5
210;Schijf 1: 0 t/m 10 000 kWh;109 Diervoederindustrie;2019;165;1700.0;200.0;200.0;0.0
211;Schijf 1: 0 t/m 10 000 kWh;109 Diervoederindustrie;2020;165;1600.0;1000.0;1000.0;0.0
212;Schijf 1: 0 t/m 10 000 kWh;109 Diervoederindustrie;2022;160;1600.0;800.0;800.0;0.0
213;Schijf 1: 0 t/m 10 000 kWh;11-12 Dranken- en tabaksindustrie;2019;300;3000.0;100.0;100.0;0.0
214;Schijf 1: 0 t/m 10 000 kWh;11-12 Dranken- en tabaksindustrie;2020;330;3300.0;200.0;200.0;0.0
215;Schijf 1: 0 t/m 10 000 kWh;11-12 Dranken- en tabaksindustrie;2022;420;4200.0;300.0;300.0;0.0
216;Schijf 1: 0 t/m 10 000 kWh;13 Textielindustrie;2019;860;8600.0;0.0;0.0;0.0
217;Schijf 1: 0 t/m 10 000 kWh;13 Textielindustrie;2020;870;8700.0;0.0;0.0;0.0
218;Schijf 1: 0 t/m 10 000 kWh;13 Textielindustrie;2022;935;9300.0;1700.0;1600.0;0.0
219;Schijf 1: 0 t/m 10 000 kWh;13-15 Textiel-, kleding-, lederindustrie;2019;1655;16600.0;1900.0;1900.0;0.0
220;Schijf 1: 0 t/m 10 000 kWh;13-15 Textiel-, kleding-, lederindustrie;2020;1630;16300.0;0.0;0.0;0.0
221;Schijf 1: 0 t/m 10 000 kWh;13-15 Textiel-, kleding-, lederindustrie;2022;1730;15900.0;4300.0;4200.0;100.0
222;Schijf 1: 0 t/m 10 000 kWh;14 Kledingindustrie;2019;600;6000.0;0.0;0.0;0.0
223;Schijf 1: 0 t/m 10 000 kWh;14 Kledingindustrie;2020;570;5700.0;0.0;0.0;0.0
224;Schijf 1: 0 t/m 10 000 kWh;14 Kledingindustrie;2022;585;4500.0;600.0;600.0;0.0
225;Schijf 1: 0 t/m 10 000 kWh;15 Leer- en schoenenindustrie;2019;200;2000.0;1900.0;1900.0;0.0
226;Schijf 1: 0 t/m 10 000 kWh;15 Leer- en schoenenindustrie;2020;195;1900.0;0.0;0.0;0.0
227;Schijf 1: 0 t/m 10 000 kWh;15 Leer- en schoenenindustrie;2022;210;2100.0;2000.0;2000.0;0.0
228;Schijf 1: 0 t/m 10 000 kWh;16 Houtindustrie;2019;1340;13400.0;200.0;100.0;100.0
229;Schijf 1: 0 t/m 10 000 kWh;16 Houtindustrie;2020;1385;13900.0;200.0;100.0;100.0
230;Schijf 1: 0 t/m 10 000 kWh;16 Houtindustrie;2022;1500;15000.0;1900.0;1800.0;0.0
231;Schijf 1: 0 t/m 10 000 kWh;17-18 Papier- en grafische industrie;2019;1890;18900.0;300.0;300.0;0.0
232;Schijf 1: 0 t/m 10 000 kWh;17-18 Papier- en grafische industrie;2020;1835;18300.0;500.0;500.0;0.0
233;Schijf 1: 0 t/m 10 000 kWh;17-18 Papier- en grafische industrie;2022;1705;17100.0;5800.0;5700.0;0.0
234;Schijf 1: 0 t/m 10 000 kWh;17 Papierindustrie;2019;305;3100.0;200.0;200.0;0.0
235;Schijf 1: 0 t/m 10 000 kWh;17 Papierindustrie;2020;310;3100.0;500.0;500.0;0.0
236;Schijf 1: 0 t/m 10 000 kWh;17 Papierindustrie;2022;285;2900.0;1900.0;1900.0;0.0
237;Schijf 1: 0 t/m 10 000 kWh;18 Grafische industrie;2019;1585;15900.0;100.0;100.0;0.0
238;Schijf 1: 0 t/m 10 000 kWh;18 Grafische industrie;2020;1520;15200.0;0.0;0.0;0.0
239;Schijf 1: 0 t/m 10 000 kWh;18 Grafische industrie;2022;1420;14200.0;3900.0;3900.0;0.0
240;Schijf 1: 0 t/m 10 000 kWh;19 Aardolie-industrie;2019;10;100.0;0.0;0.0;0.0
241;Schijf 1: 0 t/m 10 000 kWh;19 Aardolie-industrie;2020;10;100.0;0.0;0.0;0.0
242;Schijf 1: 0 t/m 10 000 kWh;19 Aardolie-industrie;2022;10;100.0;0.0;0.0;0.0
243;Schijf 1: 0 t/m 10 000 kWh;20-21 Chemie en farmaceutische industrie;2019;795;7900.0;400.0;400.0;0.0
244;Schijf 1: 0 t/m 10 000 kWh;20-21 Chemie en farmaceutische industrie;2020;810;8100.0;400.0;300.0;0.0
245;Schijf 1: 0 t/m 10 000 kWh;20-21 Chemie en farmaceutische industrie;2022;815;8100.0;1800.0;1700.0;0.0
246;Schijf 1: 0 t/m 10 000 kWh;Basischemie, excl. ov. anorg basischemie;2019;255;2500.0;100.0;100.0;0.0
247;Schijf 1: 0 t/m 10 000 kWh;Basischemie, excl. ov. anorg basischemie;2020;240;2400.0;100.0;100.0;0.0
248;Schijf 1: 0 t/m 10 000 kWh;Basischemie, excl. ov. anorg basischemie;2022;245;2400.0;500.0;400.0;0.0
249;Schijf 1: 0 t/m 10 000 kWh;2013 Overige anorganische basischemie;2019;20;200.0;100.0;100.0;0.0
250;Schijf 1: 0 t/m 10 000 kWh;2013 Overige anorganische basischemie;2020;15;200.0;100.0;0.0;0.0
