ID;Branches;Periods;LabourIncomeShare_1;CompensationOfEmployees_2;ImputedLabourIncome_3;NetOperatingSurplus_4;RemunerationOfLabour_5;RemunerationOfLabourAndCapital_6
639;R-U Culture, recreation, other services;2018;93.8;9881.0;3917.0;4823.0;13798.0;14704.0
640;R-U Culture, recreation, other services;2019;94.8;10464.0;4125.0;4924.0;14589.0;15388.0
641;R-U Culture, recreation, other services;2020;104.8;10628.0;3871.0;3204.0;14499.0;13832.0
642;R-U Culture, recreation, other services;2021;102.9;10911.0;4471.0;4033.0;15382.0;14944.0
643;R-U Culture, recreation, other services;2022;103.7;11635.0;5104.0;4513.0;16739.0;16148.0
644;R Culture, sports and recreation;1995;87.8;1854.0;542.0;875.0;2396.0;2729.0
645;R Culture, sports and recreation;1996;85.2;1898.0;612.0;1047.0;2510.0;2945.0
646;R Culture, sports and recreation;1997;78.9;1995.0;681.0;1396.0;2676.0;3391.0
647;R Culture, sports and recreation;1998;80.0;2169.0;704.0;1421.0;2873.0;3590.0
648;R Culture, sports and recreation;1999;80.0;2321.0;759.0;1530.0;3080.0;3851.0
649;R Culture, sports and recreation;2000;81.2;2536.0;763.0;1527.0;3299.0;4063.0
650;R Culture, sports and recreation;2001;81.0;2716.0;834.0;1668.0;3550.0;4384.0
651;R Culture, sports and recreation;2002;79.9;2874.0;899.0;1846.0;3773.0;4720.0
652;R Culture, sports and recreation;2003;79.7;2998.0;915.0;1912.0;3913.0;4910.0
653;R Culture, sports and recreation;2004;77.8;3026.0;963.0;2103.0;3989.0;5129.0
654;R Culture, sports and recreation;2005;76.4;3076.0;980.0;2236.0;4056.0;5312.0
655;R Culture, sports and recreation;2006;74.8;3152.0;1022.0;2428.0;4174.0;5580.0
656;R Culture, sports and recreation;2007;74.1;3310.0;1066.0;2597.0;4376.0;5907.0
657;R Culture, sports and recreation;2008;75.2;3494.0;1090.0;2601.0;4584.0;6095.0
658;R Culture, sports and recreation;2009;76.4;3587.0;1116.0;2568.0;4703.0;6155.0
659;R Culture, sports and recreation;2010;75.0;3640.0;1184.0;2791.0;4824.0;6431.0
660;R Culture, sports and recreation;2011;75.3;3665.0;1213.0;2813.0;4878.0;6478.0
661;R Culture, sports and recreation;2012;77.2;3666.0;1240.0;2693.0;4906.0;6359.0
662;R Culture, sports and recreation;2013;79.7;3601.0;1262.0;2499.0;4863.0;6100.0
663;R Culture, sports and recreation;2014;80.6;3669.0;1360.0;2567.0;5029.0;6236.0
664;R Culture, sports and recreation;2015;78.4;3613.0;1465.0;2867.0;5078.0;6480.0
665;R Culture, sports and recreation;2016;79.5;3715.0;1563.0;2928.0;5278.0;6643.0
666;R Culture, sports and recreation;2017;80.9;3866.0;1655.0;2958.0;5521.0;6824.0
667;R Culture, sports and recreation;2018;83.6;4092.0;1736.0;2876.0;5828.0;6968.0
668;R Culture, sports and recreation;2019;86.2;4401.0;1790.0;2780.0;6191.0;7181.0
669;R Culture, sports and recreation;2020;110.2;4320.0;1718.0;1161.0;6038.0;5481.0
670;R Culture, sports and recreation;2021;107.7;4410.0;1967.0;1512.0;6377.0;5922.0
671;R Culture, sports and recreation;2022;104.7;4966.0;2622.0;2284.0;7588.0;7250.0
672;S Other service activities;1995;107.2;2541.0;1214.0;962.0;3755.0;3503.0
673;S Other service activities;1996;108.3;2655.0;1181.0;887.0;3836.0;3542.0
674;S Other service activities;1997;106.9;2814.0;1257.0;993.0;4071.0;3807.0
675;S Other service activities;1998;106.4;2999.0;1379.0;1115.0;4378.0;4114.0
676;S Other service activities;1999;106.5;3167.0;1516.0;1229.0;4683.0;4396.0
677;S Other service activities;2000;106.5;3445.0;1631.0;1320.0;5076.0;4765.0
678;S Other service activities;2001;105.4;3565.0;1760.0;1488.0;5325.0;5053.0
679;S Other service activities;2002;105.4;3661.0;1866.0;1585.0;5527.0;5246.0
680;S Other service activities;2003;105.8;3705.0;1855.0;1549.0;5560.0;5254.0
681;S Other service activities;2004;106.0;3768.0;1829.0;1510.0;5597.0;5278.0
682;S Other service activities;2005;106.0;3776.0;1873.0;1553.0;5649.0;5329.0
683;S Other service activities;2006;105.9;3852.0;1894.0;1576.0;5746.0;5428.0
684;S Other service activities;2007;105.7;4023.0;1989.0;1663.0;6012.0;5686.0
685;S Other service activities;2008;105.8;4215.0;2070.0;1727.0;6285.0;5942.0
686;S Other service activities;2009;106.0;4427.0;2048.0;1683.0;6475.0;6110.0
687;S Other service activities;2010;106.2;4578.0;2089.0;1698.0;6667.0;6276.0
688;S Other service activities;2011;104.4;4745.0;1956.0;1672.0;6701.0;6417.0
689;S Other service activities;2012;104.2;4629.0;1958.0;1693.0;6587.0;6322.0
690;S Other service activities;2013;104.6;4546.0;1973.0;1685.0;6519.0;6231.0
691;S Other service activities;2014;105.3;4598.0;2027.0;1692.0;6625.0;6290.0
692;S Other service activities;2015;101.8;4522.0;1880.0;1769.0;6402.0;6291.0
693;S Other service activities;2016;101.9;4671.0;1948.0;1825.0;6619.0;6496.0
694;S Other service activities;2017;103.4;4849.0;2088.0;1858.0;6937.0;6707.0
695;S Other service activities;2018;103.3;5063.0;2181.0;1947.0;7244.0;7010.0
696;S Other service activities;2019;102.6;5254.0;2335.0;2144.0;7589.0;7398.0
697;S Other service activities;2020;101.5;5398.0;2153.0;2043.0;7551.0;7441.0
698;S Other service activities;2021;99.8;5523.0;2504.0;2521.0;8027.0;8044.0
699;S Other service activities;2022;103.2;5655.0;2482.0;2229.0;8137.0;7884.0
700;T Activities of households;1995;100.0;22.0;0.0;0.0;22.0;22.0
701;T Activities of households;1996;100.0;24.0;0.0;0.0;24.0;24.0
702;T Activities of households;1997;100.0;24.0;0.0;0.0;24.0;24.0
703;T Activities of households;1998;100.0;47.0;0.0;0.0;47.0;47.0
704;T Activities of households;1999;100.0;58.0;0.0;0.0;58.0;58.0
705;T Activities of households;2000;100.0;72.0;0.0;0.0;72.0;72.0
706;T Activities of households;2001;100.0;88.0;0.0;0.0;88.0;88.0
707;T Activities of households;2002;100.0;115.0;0.0;0.0;115.0;115.0
708;T Activities of households;2003;100.0;146.0;0.0;0.0;146.0;146.0
709;T Activities of households;2004;100.0;197.0;0.0;0.0;197.0;197.0
710;T Activities of households;2005;100.0;232.0;0.0;0.0;232.0;232.0
711;T Activities of households;2006;100.0;273.0;0.0;0.0;273.0;273.0
712;T Activities of households;2007;100.0;281.0;0.0;0.0;281.0;281.0
713;T Activities of households;2008;100.0;324.0;0.0;0.0;324.0;324.0
714;T Activities of households;2009;100.0;377.0;0.0;0.0;377.0;377.0
715;T Activities of households;2010;100.0;430.0;0.0;0.0;430.0;430.0
716;T Activities of households;2011;100.0;449.0;0.0;0.0;449.0;449.0
717;T Activities of households;2012;100.0;490.0;0.0;0.0;490.0;490.0
718;T Activities of households;2013;100.0;481.0;0.0;0.0;481.0;481.0
719;T Activities of households;2014;100.0;482.0;0.0;0.0;482.0;482.0
720;T Activities of households;2015;100.0;532.0;0.0;0.0;532.0;532.0
721;T Activities of households;2016;100.0;591.0;0.0;0.0;591.0;591.0
722;T Activities of households;2017;100.0;664.0;0.0;0.0;664.0;664.0
723;T Activities of households;2018;100.0;726.0;0.0;0.0;726.0;726.0
724;T Activities of households;2019;100.0;809.0;0.0;0.0;809.0;809.0
725;T Activities of households;2020;100.0;910.0;0.0;0.0;910.0;910.0
726;T Activities of households;2021;100.0;978.0;0.0;0.0;978.0;978.0
727;T Activities of households;2022;100.0;1014.0;0.0;0.0;1014.0;1014.0
728;U Extraterritorial organisations;1995;;;;;;
729;U Extraterritorial organisations;1996;;;;;;
730;U Extraterritorial organisations;1997;;;;;;
731;U Extraterritorial organisations;1998;;;;;;
732;U Extraterritorial organisations;1999;;;;;;
733;U Extraterritorial organisations;2000;;;;;;
734;U Extraterritorial organisations;2001;;;;;;
735;U Extraterritorial organisations;2002;;;;;;
736;U Extraterritorial organisations;2003;;;;;;
737;U Extraterritorial organisations;2004;;;;;;
738;U Extraterritorial organisations;2005;;;;;;
739;U Extraterritorial organisations;2006;;;;;;
740;U Extraterritorial organisations;2007;;;;;;
741;U Extraterritorial organisations;2008;;;;;;
742;U Extraterritorial organisations;2009;;;;;;
743;U Extraterritorial organisations;2010;;;;;;
744;U Extraterritorial organisations;2011;;;;;;
745;U Extraterritorial organisations;2012;;;;;;
746;U Extraterritorial organisations;2013;;;;;;
747;U Extraterritorial organisations;2014;;;;;;
748;U Extraterritorial organisations;2015;;;;;;
749;U Extraterritorial organisations;2016;;;;;;
750;U Extraterritorial organisations;2017;;;;;;
751;U Extraterritorial organisations;2018;;;;;;
752;U Extraterritorial organisations;2019;;;;;;
753;U Extraterritorial organisations;2020;;;;;;
754;U Extraterritorial organisations;2021;;;;;;
755;U Extraterritorial organisations;2022;;;;;;
756;68A Imp. rents owner-occupided dwellings;1995;0.0;0.0;0.0;3292.0;0.0;3292.0
757;68A Imp. rents owner-occupided dwellings;1996;0.0;0.0;0.0;3330.0;0.0;3330.0
758;68A Imp. rents owner-occupided dwellings;1997;0.0;0.0;0.0;3733.0;0.0;3733.0
759;68A Imp. rents owner-occupided dwellings;1998;0.0;0.0;0.0;4330.0;0.0;4330.0
760;68A Imp. rents owner-occupided dwellings;1999;0.0;0.0;0.0;4352.0;0.0;4352.0
761;68A Imp. rents owner-occupided dwellings;2000;0.0;0.0;0.0;5009.0;0.0;5009.0
762;68A Imp. rents owner-occupided dwellings;2001;0.0;0.0;0.0;-1550.0;0.0;-1550.0
763;68A Imp. rents owner-occupided dwellings;2002;0.0;0.0;0.0;-1403.0;0.0;-1403.0
764;68A Imp. rents owner-occupided dwellings;2003;0.0;0.0;0.0;-454.0;0.0;-454.0
765;68A Imp. rents owner-occupided dwellings;2004;0.0;0.0;0.0;322.0;0.0;322.0
766;68A Imp. rents owner-occupided dwellings;2005;0.0;0.0;0.0;102.0;0.0;102.0
767;68A Imp. rents owner-occupided dwellings;2006;0.0;0.0;0.0;3494.0;0.0;3494.0
768;68A Imp. rents owner-occupided dwellings;2007;0.0;0.0;0.0;7224.0;0.0;7224.0
769;68A Imp. rents owner-occupided dwellings;2008;0.0;0.0;0.0;7419.0;0.0;7419.0
770;68A Imp. rents owner-occupided dwellings;2009;0.0;0.0;0.0;-4418.0;0.0;-4418.0
771;68A Imp. rents owner-occupided dwellings;2010;0.0;0.0;0.0;-7012.0;0.0;-7012.0
772;68A Imp. rents owner-occupided dwellings;2011;0.0;0.0;0.0;-5154.0;0.0;-5154.0
773;68A Imp. rents owner-occupided dwellings;2012;0.0;0.0;0.0;-8995.0;0.0;-8995.0
774;68A Imp. rents owner-occupided dwellings;2013;0.0;0.0;0.0;-7025.0;0.0;-7025.0
775;68A Imp. rents owner-occupided dwellings;2014;0.0;0.0;0.0;-4374.0;0.0;-4374.0
776;68A Imp. rents owner-occupided dwellings;2015;0.0;0.0;0.0;-3742.0;0.0;-3742.0
777;68A Imp. rents owner-occupided dwellings;2016;0.0;0.0;0.0;-2424.0;0.0;-2424.0
778;68A Imp. rents owner-occupided dwellings;2017;0.0;0.0;0.0;440.0;0.0;440.0
779;68A Imp. rents owner-occupided dwellings;2018;0.0;0.0;0.0;3413.0;0.0;3413.0
780;68A Imp. rents owner-occupided dwellings;2019;0.0;0.0;0.0;3293.0;0.0;3293.0
781;68A Imp. rents owner-occupided dwellings;2020;0.0;0.0;0.0;3514.0;0.0;3514.0
782;68A Imp. rents owner-occupided dwellings;2021;0.0;0.0;0.0;5080.0;0.0;5080.0
783;68A Imp. rents owner-occupided dwellings;2022;0.0;0.0;0.0;12213.0;0.0;12213.0
784;68B Real estate excl. imputed rents;1995;44.3;1738.0;2306.0;7383.0;4044.0;9121.0
785;68B Real estate excl. imputed rents;1996;43.6;1840.0;2451.0;8005.0;4291.0;9845.0
786;68B Real estate excl. imputed rents;1997;42.1;1930.0;2649.0;8935.0;4579.0;10865.0
787;68B Real estate excl. imputed rents;1998;42.7;2187.0;2757.0;9379.0;4944.0;11566.0
788;68B Real estate excl. imputed rents;1999;42.9;2398.0;2810.0;9735.0;5208.0;12133.0
789;68B Real estate excl. imputed rents;2000;43.9;2665.0;2792.0;9760.0;5457.0;12425.0
790;68B Real estate excl. imputed rents;2001;44.8;2731.0;2608.0;9192.0;5339.0;11923.0
791;68B Real estate excl. imputed rents;2002;45.7;2943.0;2567.0;9105.0;5510.0;12048.0
792;68B Real estate excl. imputed rents;2003;46.6;3200.0;2503.0;9043.0;5703.0;12243.0
793;68B Real estate excl. imputed rents;2004;44.6;3166.0;2539.0;9639.0;5705.0;12805.0
794;68B Real estate excl. imputed rents;2005;43.9;3219.0;2498.0;9804.0;5717.0;13023.0
795;68B Real estate excl. imputed rents;2006;42.7;3298.0;2481.0;10250.0;5779.0;13548.0
796;68B Real estate excl. imputed rents;2007;42.6;3478.0;2391.0;10295.0;5869.0;13773.0
797;68B Real estate excl. imputed rents;2008;43.8;3709.0;2188.0;9765.0;5897.0;13474.0
798;68B Real estate excl. imputed rents;2009;44.9;3730.0;1861.0;8729.0;5591.0;12459.0
799;68B Real estate excl. imputed rents;2010;42.8;3625.0;1918.0;9320.0;5543.0;12945.0
800;68B Real estate excl. imputed rents;2011;43.4;3653.0;2012.0;9388.0;5665.0;13041.0
801;68B Real estate excl. imputed rents;2012;43.8;3630.0;2053.0;9344.0;5683.0;12974.0
802;68B Real estate excl. imputed rents;2013;44.1;3563.0;1985.0;9019.0;5548.0;12582.0
803;68B Real estate excl. imputed rents;2014;44.3;3516.0;2004.0;8958.0;5520.0;12474.0
804;68B Real estate excl. imputed rents;2015;41.9;3462.0;2229.0;10122.0;5691.0;13584.0
805;68B Real estate excl. imputed rents;2016;41.5;3481.0;2298.0;10448.0;5779.0;13929.0
806;68B Real estate excl. imputed rents;2017;41.4;3563.0;2443.0;10955.0;6006.0;14518.0
807;68B Real estate excl. imputed rents;2018;44.5;3718.0;2645.0;10575.0;6363.0;14293.0
808;68B Real estate excl. imputed rents;2019;46.5;3883.0;3000.0;10918.0;6883.0;14801.0
809;68B Real estate excl. imputed rents;2020;46.5;4050.0;2860.0;10796.0;6910.0;14846.0
810;68B Real estate excl. imputed rents;2021;42.0;4139.0;2169.0;10878.0;6308.0;15017.0
811;68B Real estate excl. imputed rents;2022;41.3;4324.0;1968.0;10924.0;6292.0;15248.0
812;A-U (excl. O and P);1995;74.8;137990.0;25122.0;80085.0;163112.0;218075.0
813;A-U (excl. O and P);1996;74.5;144258.0;26120.0;84543.0;170378.0;228801.0
814;A-U (excl. O and P);1997;73.3;152821.0;28717.0;94814.0;181538.0;247635.0
815;A-U (excl. O and P);1998;73.0;164601.0;29920.0;101911.0;194521.0;266512.0
816;A-U (excl. O and P);1999;74.3;177877.0;31626.0;103969.0;209503.0;281846.0
817;A-U (excl. O and P);2000;74.6;193161.0;33673.0;111016.0;226834.0;304177.0
818;A-U (excl. O and P);2001;74.6;203136.0;36150.0;117469.0;239286.0;320605.0
819;A-U (excl. O and P);2002;75.2;212306.0;36173.0;118302.0;248479.0;330608.0
820;A-U (excl. O and P);2003;75.5;216924.0;36203.0;118523.0;253127.0;335447.0
821;A-U (excl. O and P);2004;74.0;219818.0;36122.0;126254.0;255940.0;346072.0
822;A-U (excl. O and P);2005;72.3;223309.0;37168.0;137053.0;260477.0;360362.0
823;A-U (excl. O and P);2006;70.5;231175.0;40025.0;153697.0;271200.0;384872.0
824;A-U (excl. O and P);2007;69.9;245248.0;42137.0;165912.0;287385.0;411160.0
825;A-U (excl. O and P);2008;70.5;259622.0;42865.0;169403.0;302487.0;429025.0
826;A-U (excl. O and P);2009;74.7;261543.0;41999.0;144602.0;303542.0;406145.0
827;A-U (excl. O and P);2010;73.2;259791.0;43957.0;155080.0;303748.0;414871.0
828;A-U (excl. O and P);2011;73.5;267616.0;45287.0;157839.0;312903.0;425455.0
829;A-U (excl. O and P);2012;74.2;271496.0;45267.0;155545.0;316763.0;427041.0
830;A-U (excl. O and P);2013;74.1;272266.0;45557.0;156769.0;317823.0;429035.0
831;A-U (excl. O and P);2014;74.5;275677.0;47630.0;158198.0;323307.0;433875.0
832;A-U (excl. O and P);2015;72.8;277367.0;49857.0;171904.0;327224.0;449271.0
833;A-U (excl. O and P);2016;73.9;286202.0;52947.0;172935.0;339149.0;459137.0
834;A-U (excl. O and P);2017;73.3;296773.0;55773.0;184012.0;352546.0;480785.0
835;A-U (excl. O and P);2018;73.6;311412.0;58880.0;191767.0;370292.0;503179.0
836;A-U (excl. O and P);2019;73.9;327643.0;62121.0;199486.0;389764.0;527129.0
837;A-U (excl. O and P);2020;76.3;338056.0;62732.0;187531.0;400788.0;525587.0
838;A-U (excl. O and P);2021;72.9;352085.0;69093.0;225866.0;421178.0;577951.0
839;A-U (excl. O and P);2022;71.5;378204.0;74734.0;255167.0;452938.0;633371.0
840;A-U (excl. B, K, L, O, P and Q);1995;81.3;110464.0;20873.0;51060.0;131337.0;161524.0
841;A-U (excl. B, K, L, O, P and Q);1996;81.1;115335.0;21674.0;53683.0;137009.0;169018.0
842;A-U (excl. B, K, L, O, P and Q);1997;79.1;122193.0;23869.0;62427.0;146062.0;184620.0
843;A-U (excl. B, K, L, O, P and Q);1998;77.8;131434.0;24853.0;69578.0;156287.0;201012.0
844;A-U (excl. B, K, L, O, P and Q);1999;78.7;142054.0;26370.0;71899.0;168424.0;213953.0
845;A-U (excl. B, K, L, O, P and Q);2000;79.5;154413.0;28265.0;75492.0;182678.0;229905.0
846;A-U (excl. B, K, L, O, P and Q);2001;78.0;161436.0;30556.0;84632.0;191992.0;246068.0
847;A-U (excl. B, K, L, O, P and Q);2002;78.1;165935.0;30487.0;85471.0;196422.0;251406.0
848;A-U (excl. B, K, L, O, P and Q);2003;78.8;167755.0;30264.0;83385.0;198019.0;251140.0
849;A-U (excl. B, K, L, O, P and Q);2004;77.2;169146.0;29809.0;88405.0;198955.0;257551.0
850;A-U (excl. B, K, L, O, P and Q);2005;75.0;171095.0;30686.0;97775.0;201781.0;268870.0
851;A-U (excl. B, K, L, O, P and Q);2006;73.6;176874.0;33173.0;108372.0;210047.0;285246.0
852;A-U (excl. B, K, L, O, P and Q);2007;72.5;187754.0;34820.0;119331.0;222574.0;307085.0
853;A-U (excl. B, K, L, O, P and Q);2008;74.1;199256.0;35021.0;116740.0;234277.0;315996.0
854;A-U (excl. B, K, L, O, P and Q);2009;78.0;199734.0;33401.0;99330.0;233135.0;299064.0
855;A-U (excl. B, K, L, O, P and Q);2010;77.2;196296.0;34118.0;102308.0;230414.0;298604.0
856;A-U (excl. B, K, L, O, P and Q);2011;77.5;201985.0;35117.0;103837.0;237102.0;305822.0
857;A-U (excl. B, K, L, O, P and Q);2012;78.9;204649.0;35215.0;99319.0;239864.0;303968.0
858;A-U (excl. B, K, L, O, P and Q);2013;79.1;203635.0;35960.0;99457.0;239595.0;303092.0
859;A-U (excl. B, K, L, O, P and Q);2014;78.7;206636.0;37810.0;103806.0;244446.0;310442.0
860;A-U (excl. B, K, L, O, P and Q);2015;76.2;209640.0;41150.0;119321.0;250790.0;328961.0
861;A-U (excl. B, K, L, O, P and Q);2016;76.1;217513.0;43583.0;125771.0;261096.0;343284.0
862;A-U (excl. B, K, L, O, P and Q);2017;75.3;226961.0;46059.0;135816.0;273020.0;362777.0
863;A-U (excl. B, K, L, O, P and Q);2018;75.5;239835.0;48676.0;142165.0;288511.0;382000.0
864;A-U (excl. B, K, L, O, P and Q);2019;75.4;252106.0;51080.0;150214.0;303186.0;402320.0
865;A-U (excl. B, K, L, O, P and Q);2020;77.0;256156.0;51698.0;143505.0;307854.0;399661.0
866;A-U (excl. B, K, L, O, P and Q);2021;73.3;267398.0;58413.0;176812.0;325811.0;444210.0
867;A-U (excl. B, K, L, O, P and Q);2022;73.7;289384.0;64581.0;191115.0;353965.0;480499.0
