ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
432;46 Wholesale trade (no motor vehicles);2015;23686;17957;5729;23686.0;17957.0;5729.0;;;;100.0;100.0;100.0
433;46 Wholesale trade (no motor vehicles);2016;24018;18104;5914;24146.0;18216.0;5930.0;1.9;1.4;3.5;99.5;99.4;99.7
434;46 Wholesale trade (no motor vehicles);2017;26408;21217;5191;25361.0;20221.0;5144.0;5.0;11.0;-13.3;104.1;104.9;100.9
435;46 Wholesale trade (no motor vehicles);2018;25762;20724;5038;24909.0;20032.0;4874.0;-1.8;-0.9;-5.2;103.4;103.5;103.4
436;46 Wholesale trade (no motor vehicles);2019;26843;20580;6263;25330.0;19402.0;5925.0;1.7;-3.1;21.6;106.0;106.1;105.7
437;46 Wholesale trade (no motor vehicles);2020;22286;15409;6877;22173.0;15789.0;6387.0;-12.5;-18.6;7.8;100.5;97.6;107.7
438;46 Wholesale trade (no motor vehicles);2021;27802;19548;8254;26078.0;18603.0;7481.0;17.6;17.8;17.1;106.6;105.1;110.3
439;46 Wholesale trade (no motor vehicles);2022;30398;21146;9252;26943.0;18825.0;8105.0;3.3;1.2;8.3;112.8;112.3;114.1
440;47 Retail trade (not in motor vehicles);2015;1460;82;1378;1460.0;82.0;1378.0;;;;100.0;100.0;100.0
441;47 Retail trade (not in motor vehicles);2016;1439;54;1385;1429.0;52.0;1377.0;-2.1;-36.6;-0.1;100.7;103.8;100.6
442;47 Retail trade (not in motor vehicles);2017;1615;57;1558;1585.0;54.0;1531.0;10.9;3.7;11.2;101.9;105.7;101.8
443;47 Retail trade (not in motor vehicles);2018;1681;40;1641;1606.0;38.0;1569.0;1.4;-29.8;2.5;104.6;105.7;104.6
444;47 Retail trade (not in motor vehicles);2019;1778;33;1745;1653.0;33.0;1621.0;2.9;-12.5;3.3;107.5;99.7;107.6
445;47 Retail trade (not in motor vehicles);2020;1843;35;1808;1681.0;35.0;1647.0;1.7;6.1;1.6;109.6;99.7;109.8
446;47 Retail trade (not in motor vehicles);2021;2118;47;2071;1880.0;45.0;1837.0;11.8;28.6;11.5;112.7;104.1;112.8
447;47 Retail trade (not in motor vehicles);2022;2267;49;2218;1952.0;45.0;1908.0;3.8;0.0;3.9;116.1;108.5;116.2
448;H Transportation and storage;2015;30965;4;30961;30965.0;4.0;30961.0;;;;100.0;100.0;100.0
449;H Transportation and storage;2016;29820;4;29816;30400.0;4.0;30396.0;-1.8;0.0;-1.8;98.1;100.0;98.1
450;H Transportation and storage;2017;32102;4;32098;32540.0;4.0;32536.0;7.0;0.0;7.0;98.7;100.0;98.7
451;H Transportation and storage;2018;33628;0;33628;33263.0;0.0;33263.0;2.2;-100.0;2.2;101.1;;101.1
452;H Transportation and storage;2019;34144;0;34144;33280.0;;33280.0;0.1;;0.1;102.6;;102.6
453;H Transportation and storage;2020;29800;0;29800;28492.0;;28492.0;-14.4;;-14.4;104.6;;104.6
454;H Transportation and storage;2021;35149;0;35149;31637.0;;31637.0;11.0;;11.0;111.1;;111.1
455;H Transportation and storage;2022;45151;0;45151;33560.0;;33560.0;6.1;;6.1;134.5;;134.5
456;49 Land transport;2015;7663;4;7659;7663.0;4.0;7659.0;;;;100.0;100.0;100.0
457;49 Land transport;2016;7728;4;7724;7700.0;4.0;7696.0;0.5;0.0;0.5;100.4;100.0;100.4
458;49 Land transport;2017;8655;4;8651;8568.0;4.0;8564.0;11.3;0.0;11.3;101.0;100.0;101.0
459;49 Land transport;2018;9073;0;9073;8746.0;0.0;8746.0;2.1;-100.0;2.1;103.7;;103.7
460;49 Land transport;2019;9713;0;9713;9110.0;;9110.0;4.2;;4.2;106.6;;106.6
461;49 Land transport;2020;9494;0;9494;8837.0;;8837.0;-3.0;;-3.0;107.4;;107.4
462;49 Land transport;2021;10981;0;10981;10034.0;;10034.0;13.5;;13.5;109.4;;109.4
463;49 Land transport;2022;13153;0;13153;10674.0;;10674.0;6.4;;6.4;123.2;;123.2
464;50 Water transport;2015;7429;0;7429;7429.0;0.0;7429.0;;;;100.0;;100.0
465;50 Water transport;2016;6522;0;6522;6757.0;;6757.0;-9.0;;-9.0;96.5;;96.5
466;50 Water transport;2017;6897;0;6897;7044.0;;7044.0;4.2;;4.2;97.9;;97.9
467;50 Water transport;2018;7183;0;7183;7011.0;;7011.0;-0.5;;-0.5;102.4;;102.4
468;50 Water transport;2019;7194;0;7194;6947.0;;6947.0;-0.9;;-0.9;103.6;;103.6
469;50 Water transport;2020;7117;0;7117;6965.0;;6965.0;0.3;;0.3;102.2;;102.2
470;50 Water transport;2021;8218;0;8218;6830.0;;6830.0;-1.9;;-1.9;120.3;;120.3
471;50 Water transport;2022;10962;0;10962;6515.0;;6515.0;-4.6;;-4.6;168.3;;168.3
472;51 Air transport;2015;7207;0;7207;7207.0;0.0;7207.0;;;;100.0;;100.0
473;51 Air transport;2016;7039;0;7039;7537.0;;7537.0;4.6;;4.6;93.4;;93.4
474;51 Air transport;2017;7613;0;7613;8179.0;;8179.0;8.5;;8.5;93.1;;93.1
475;51 Air transport;2018;8082;0;8082;8616.0;;8616.0;5.3;;5.3;93.8;;93.8
476;51 Air transport;2019;8081;0;8081;8716.0;;8716.0;1.2;;1.2;92.7;;92.7
477;51 Air transport;2020;3994;0;3994;3910.0;;3910.0;-55.1;;-55.1;102.2;;102.2
478;51 Air transport;2021;5227;0;5227;4773.0;;4773.0;22.1;;22.1;109.5;;109.5
479;51 Air transport;2022;8448;0;8448;6443.0;;6443.0;35.0;;35.0;131.1;;131.1
480;52 Warehousing, services for transport;2015;7667;0;7667;7667.0;0.0;7667.0;;;;100.0;;100.0
481;52 Warehousing, services for transport;2016;7508;0;7508;7419.0;;7419.0;-3.2;;-3.2;101.2;;101.2
482;52 Warehousing, services for transport;2017;7825;0;7825;7723.0;;7723.0;4.1;;4.1;101.3;;101.3
483;52 Warehousing, services for transport;2018;8001;0;8001;7766.0;;7766.0;0.5;;0.5;103.0;;103.0
484;52 Warehousing, services for transport;2019;8188;0;8188;7724.0;;7724.0;-0.5;;-0.5;106.0;;106.0
485;52 Warehousing, services for transport;2020;7950;0;7950;7321.0;;7321.0;-5.2;;-5.2;108.6;;108.6
486;52 Warehousing, services for transport;2021;9162;0;9162;8241.0;;8241.0;12.6;;12.6;111.2;;111.2
487;52 Warehousing, services for transport;2022;11494;0;11494;8675.0;;8675.0;5.3;;5.3;132.5;;132.5
488;53 Postal and courier activities;2015;999;0;999;999.0;0.0;999.0;;;;100.0;;100.0
489;53 Postal and courier activities;2016;1023;0;1023;987.0;;987.0;-1.2;;-1.2;103.6;;103.6
490;53 Postal and courier activities;2017;1112;0;1112;1028.0;;1028.0;4.2;;4.2;108.1;;108.1
491;53 Postal and courier activities;2018;1289;0;1289;1136.0;;1136.0;10.4;;10.4;113.5;;113.5
492;53 Postal and courier activities;2019;968;0;968;832.0;;832.0;-26.8;;-26.8;116.4;;116.4
493;53 Postal and courier activities;2020;1245;0;1245;1040.0;;1040.0;25.0;;25.0;119.7;;119.7
494;53 Postal and courier activities;2021;1561;0;1561;1259.0;;1259.0;21.0;;21.0;124.0;;124.0
495;53 Postal and courier activities;2022;1094;0;1094;858.0;;858.0;-31.8;;-31.8;127.5;;127.5
496;I Accommodation and food serving;2015;3633;0;3633;3633.0;0.0;3633.0;;;;100.0;;100.0
497;I Accommodation and food serving;2016;4020;0;4020;3909.0;;3909.0;7.6;;7.6;102.8;;102.8
498;I Accommodation and food serving;2017;4339;0;4339;4050.0;;4050.0;3.6;;3.6;107.1;;107.1
499;I Accommodation and food serving;2018;4685;0;4685;4223.0;;4223.0;4.3;;4.3;110.9;;110.9
500;I Accommodation and food serving;2019;5138;0;5138;4553.0;;4553.0;7.8;;7.8;112.9;;112.9
501;I Accommodation and food serving;2020;2442;0;2442;2119.0;;2119.0;-53.5;;-53.5;115.3;;115.3
502;I Accommodation and food serving;2021;2344;0;2344;1977.0;;1977.0;-6.7;;-6.7;118.6;;118.6
503;I Accommodation and food serving;2022;4629;0;4629;3563.0;;3563.0;80.2;;80.2;129.9;;129.9
504;55 Accommodation;2015;1759;0;1759;1759.0;0.0;1759.0;;;;100.0;;100.0
505;55 Accommodation;2016;1974;0;1974;1907.0;;1907.0;8.4;;8.4;103.5;;103.5
506;55 Accommodation;2017;2287;0;2287;2093.0;;2093.0;9.8;;9.8;109.2;;109.2
507;55 Accommodation;2018;2559;0;2559;2236.0;;2236.0;6.8;;6.8;114.4;;114.4
508;55 Accommodation;2019;2789;0;2789;2409.0;;2409.0;7.7;;7.7;115.8;;115.8
509;55 Accommodation;2020;1082;0;1082;919.0;;919.0;-61.9;;-61.9;117.7;;117.7
510;55 Accommodation;2021;1022;0;1022;850.0;;850.0;-7.5;;-7.5;120.2;;120.2
511;55 Accommodation;2022;2387;0;2387;1810.0;;1810.0;112.8;;112.8;131.9;;131.9
512;56 Food and beverage service activities;2015;1874;0;1874;1874.0;0.0;1874.0;;;;100.0;;100.0
513;56 Food and beverage service activities;2016;2046;0;2046;2002.0;;2002.0;6.8;;6.8;102.2;;102.2
514;56 Food and beverage service activities;2017;2052;0;2052;1955.0;;1955.0;-2.3;;-2.3;105.0;;105.0
515;56 Food and beverage service activities;2018;2126;0;2126;1983.0;;1983.0;1.4;;1.4;107.2;;107.2
516;56 Food and beverage service activities;2019;2349;0;2349;2139.0;;2139.0;7.9;;7.9;109.8;;109.8
517;56 Food and beverage service activities;2020;1360;0;1360;1209.0;;1209.0;-43.5;;-43.5;112.5;;112.5
518;56 Food and beverage service activities;2021;1322;0;1322;1136.0;;1136.0;-6.0;;-6.0;116.4;;116.4
519;56 Food and beverage service activities;2022;2242;0;2242;1760.0;;1760.0;55.0;;55.0;127.4;;127.4
520;J Information and communication;2015;16220;587;15633;16220.0;587.0;15633.0;;;;100.0;100.0;100.0
521;J Information and communication;2016;19353;641;18712;19378.0;626.0;18752.0;19.5;6.6;20.0;99.9;102.4;99.8
522;J Information and communication;2017;24325;671;23654;24342.0;647.0;23699.0;25.6;3.4;26.4;99.9;103.6;99.8
523;J Information and communication;2018;28927;566;28361;28434.0;540.0;27906.0;16.8;-16.5;17.8;101.7;104.7;101.6
524;J Information and communication;2019;32186;610;31576;30952.0;559.0;30408.0;8.9;3.4;9.0;104.0;109.2;103.8
525;J Information and communication;2020;33528;579;32949;31619.0;509.0;31128.0;2.2;-8.9;2.4;106.0;113.7;105.8
526;J Information and communication;2021;29825;680;29145;27757.0;607.0;27154.0;-12.2;19.2;-12.8;107.4;112.1;107.3
527;J Information and communication;2022;31268;686;30582;28404.0;586.0;27823.0;2.3;-3.4;2.5;110.1;117.0;109.9
528;58-60 Publishing, movie, radio and  TV;2015;3985;337;3648;3985.0;337.0;3648.0;;;;100.0;100.0;100.0
529;58-60 Publishing, movie, radio and  TV;2016;5152;351;4801;5126.0;351.0;4775.0;28.6;4.2;30.9;100.5;100.0;100.5
530;58-60 Publishing, movie, radio and  TV;2017;7504;358;7146;7387.0;355.0;7031.0;44.1;1.1;47.2;101.6;100.8;101.6
531;58-60 Publishing, movie, radio and  TV;2018;9760;343;9417;9418.0;347.0;9069.0;27.5;-2.2;29.0;103.6;98.8;103.8
532;58-60 Publishing, movie, radio and  TV;2019;12370;366;12004;11619.0;370.0;11244.0;23.4;6.7;24.0;106.5;98.8;106.8
533;58-60 Publishing, movie, radio and  TV;2020;12935;320;12615;11868.0;318.0;11541.0;2.1;-14.2;2.6;109.0;100.7;109.3
534;58-60 Publishing, movie, radio and  TV;2021;8046;359;7687;7203.0;354.0;6855.0;-39.3;11.6;-40.6;111.7;101.3;112.1
535;58-60 Publishing, movie, radio and  TV;2022;7060;337;6723;6083.0;310.0;5780.0;-15.5;-12.5;-15.7;116.1;108.7;116.3
536;58 Publishing;2015;1214;280;934;1214.0;280.0;934.0;;;;100.0;100.0;100.0
537;58 Publishing;2016;1191;286;905;1185.0;282.0;903.0;-2.4;0.7;-3.3;100.5;101.4;100.2
538;58 Publishing;2017;1187;290;897;1178.0;285.0;893.0;-0.6;1.0;-1.1;100.8;101.8;100.4
539;58 Publishing;2018;1145;286;859;1119.0;286.0;833.0;-5.0;0.3;-6.7;102.3;100.0;103.1
540;58 Publishing;2019;1272;310;962;1235.0;308.0;926.0;10.3;7.7;11.2;103.0;100.7;103.8
541;58 Publishing;2020;1226;277;949;1152.0;269.0;882.0;-6.7;-12.6;-4.8;106.4;102.9;107.6
542;58 Publishing;2021;1371;310;1061;1239.0;296.0;942.0;7.5;10.1;6.7;110.7;104.6;112.7
543;58 Publishing;2022;1343;289;1054;1148.0;258.0;888.0;-7.3;-12.9;-5.7;116.9;111.9;118.6
544;59-60 Movies, TV and radio;2015;2771;57;2714;2771.0;57.0;2714.0;;;;100.0;100.0;100.0
545;59-60 Movies, TV and radio;2016;3961;65;3896;3941.0;69.0;3872.0;42.2;21.1;42.7;100.5;94.2;100.6
546;59-60 Movies, TV and radio;2017;6317;68;6249;6208.0;70.0;6136.0;57.5;1.5;58.5;101.7;97.1;101.8
547;59-60 Movies, TV and radio;2018;8615;57;8558;8295.0;61.0;8229.0;33.6;-13.2;34.1;103.9;93.8;104.0
548;59-60 Movies, TV and radio;2019;11098;56;11042;10378.0;62.0;10308.0;25.1;1.8;25.3;106.9;90.5;107.1
549;59-60 Movies, TV and radio;2020;11709;43;11666;10705.0;47.0;10647.0;3.2;-23.2;3.3;109.4;90.5;109.6
550;59-60 Movies, TV and radio;2021;6675;49;6626;5972.0;57.0;5914.0;-44.2;20.9;-44.5;111.8;85.3;112.0
551;59-60 Movies, TV and radio;2022;5717;48;5669;4942.0;52.0;4891.0;-17.2;-10.2;-17.3;115.7;93.1;115.9
552;59 Film, TV and music production etc;2015;2682;57;2625;2682.0;57.0;2625.0;;;;100.0;100.0;100.0
553;59 Film, TV and music production etc;2016;3879;65;3814;3858.0;69.0;3789.0;43.8;21.1;44.3;100.5;94.2;100.7
554;59 Film, TV and music production etc;2017;6229;68;6161;6123.0;70.0;6050.0;58.7;1.5;59.7;101.7;97.1;101.8
555;59 Film, TV and music production etc;2018;8532;57;8475;8216.0;61.0;8151.0;34.2;-13.2;34.7;103.8;93.8;104.0
556;59 Film, TV and music production etc;2019;11019;56;10963;10302.0;62.0;10233.0;25.4;1.8;25.5;107.0;90.5;107.1
557;59 Film, TV and music production etc;2020;11632;43;11589;10629.0;47.0;10572.0;3.2;-23.2;3.3;109.4;90.5;109.6
558;59 Film, TV and music production etc;2021;6585;49;6536;5888.0;57.0;5830.0;-44.6;20.9;-44.9;111.8;85.3;112.1
559;59 Film, TV and music production etc;2022;5612;48;5564;4851.0;52.0;4801.0;-17.6;-10.2;-17.7;115.7;93.1;115.9
560;60 Programming and broadcasting;2015;89;0;89;89.0;0.0;89.0;;;;100.0;;100.0
561;60 Programming and broadcasting;2016;82;0;82;83.0;;83.0;-6.7;;-6.7;98.8;;98.8
562;60 Programming and broadcasting;2017;88;0;88;85.0;;85.0;2.4;;2.4;103.5;;103.5
563;60 Programming and broadcasting;2018;83;0;83;78.0;;78.0;-8.0;;-8.0;106.1;;106.1
564;60 Programming and broadcasting;2019;79;0;79;75.0;;75.0;-3.6;;-3.6;104.7;;104.7
565;60 Programming and broadcasting;2020;77;0;77;75.0;;75.0;0.0;;0.0;102.1;;102.1
566;60 Programming and broadcasting;2021;90;0;90;87.0;;87.0;15.6;;15.6;103.2;;103.2
567;60 Programming and broadcasting;2022;105;0;105;95.0;;95.0;8.9;;8.9;110.6;;110.6
568;61 Telecommunications;2015;3961;0;3961;3961.0;0.0;3961.0;;;;100.0;;100.0
569;61 Telecommunications;2016;3883;0;3883;3940.0;;3940.0;-0.5;;-0.5;98.6;;98.6
570;61 Telecommunications;2017;3948;0;3948;4184.0;;4184.0;6.2;;6.2;94.4;;94.4
571;61 Telecommunications;2018;3532;0;3532;3778.0;;3778.0;-9.7;;-9.7;93.5;;93.5
572;61 Telecommunications;2019;3529;0;3529;3850.0;;3850.0;1.9;;1.9;91.7;;91.7
573;61 Telecommunications;2020;3879;0;3879;4257.0;;4257.0;10.6;;10.6;91.1;;91.1
574;61 Telecommunications;2021;3896;0;3896;4297.0;;4297.0;0.9;;0.9;90.7;;90.7
575;61 Telecommunications;2022;4076;0;4076;4530.0;;4530.0;5.4;;5.4;90.0;;90.0
576;62-63 IT- and information services;2015;8274;250;8024;8274.0;250.0;8024.0;;;;100.0;100.0;100.0
577;62-63 IT- and information services;2016;10318;290;10028;10312.0;275.0;10037.0;24.6;10.0;25.1;100.1;105.5;99.9
578;62-63 IT- and information services;2017;12873;313;12560;12757.0;292.0;12467.0;23.7;6.2;24.2;100.9;107.2;100.7
579;62-63 IT- and information services;2018;15635;223;15412;15143.0;196.0;14960.0;18.7;-32.9;20.0;103.3;113.8;103.0
580;62-63 IT- and information services;2019;16287;244;16043;15348.0;192.0;15169.0;1.4;-1.8;1.4;106.1;126.8;105.8
581;62-63 IT- and information services;2020;16714;259;16455;15401.0;191.0;15224.0;0.3;-0.8;0.4;108.5;135.7;108.1
582;62-63 IT- and information services;2021;17883;321;17562;16280.0;245.0;16038.0;5.7;28.6;5.3;109.8;130.8;109.5
583;62-63 IT- and information services;2022;20132;349;19783;17859.0;262.0;17603.0;9.7;6.9;9.8;112.7;133.1;112.4
584;62 Support activities in the field of IT;2015;7534;241;7293;7534.0;241.0;7293.0;;;;100.0;100.0;100.0
585;62 Support activities in the field of IT;2016;9219;278;8941;9214.0;264.0;8950.0;22.3;9.5;22.7;100.1;105.3;99.9
586;62 Support activities in the field of IT;2017;11542;299;11243;11434.0;279.0;11157.0;24.1;5.8;24.7;100.9;107.1;100.8
587;62 Support activities in the field of IT;2018;13252;207;13045;12812.0;181.0;12642.0;12.1;-35.1;13.3;103.4;114.3;103.2
588;62 Support activities in the field of IT;2019;13293;224;13069;12486.0;175.0;12322.0;-2.5;-3.4;-2.5;106.5;128.0;106.1
589;62 Support activities in the field of IT;2020;13157;236;12921;12057.0;172.0;11895.0;-3.4;-1.8;-3.5;109.1;137.3;108.6
590;62 Support activities in the field of IT;2021;13906;293;13613;12573.0;221.0;12351.0;4.3;28.8;3.8;110.6;132.3;110.2
591;62 Support activities in the field of IT;2022;15507;316;15191;13637.0;235.0;13402.0;8.5;6.1;8.5;113.7;134.5;113.3
592;63 Information service activities;2015;740;9;731;740.0;9.0;731.0;;;;100.0;100.0;100.0
593;63 Information service activities;2016;1099;12;1087;1098.0;11.0;1087.0;48.4;22.2;48.7;100.1;109.1;100.0
594;63 Information service activities;2017;1331;14;1317;1323.0;13.0;1310.0;20.5;16.7;20.5;100.6;109.1;100.5
595;63 Information service activities;2018;2383;16;2367;2334.0;15.0;2320.0;76.4;14.3;77.1;102.1;109.1;102.0
596;63 Information service activities;2019;2994;20;2974;2871.0;17.0;2855.0;23.0;18.8;23.1;104.3;114.8;104.2
597;63 Information service activities;2020;3557;23;3534;3363.0;19.0;3345.0;17.1;10.0;17.2;105.8;120.1;105.6
598;63 Information service activities;2021;3977;28;3949;3733.0;24.0;3710.0;11.0;26.1;10.9;106.5;115.9;106.5
599;63 Information service activities;2022;4625;33;4592;4256.0;28.0;4230.0;14.0;14.3;14.0;108.7;119.5;108.6
600;K Financial institutions;2015;12205;0;12205;12205.0;0.0;12205.0;;;;100.0;;100.0
601;K Financial institutions;2016;10126;0;10126;10754.0;;10754.0;-11.9;;-11.9;94.2;;94.2
602;K Financial institutions;2017;9262;0;9262;10149.0;;10149.0;-5.6;;-5.6;91.3;;91.3
603;K Financial institutions;2018;10818;0;10818;11833.0;;11833.0;16.6;;16.6;91.4;;91.4
604;K Financial institutions;2019;11210;0;11210;12376.0;;12376.0;4.6;;4.6;90.6;;90.6
605;K Financial institutions;2020;11569;0;11569;12939.0;;12939.0;4.5;;4.5;89.4;;89.4
606;K Financial institutions;2021;10667;0;10667;12075.0;;12075.0;-6.7;;-6.7;88.3;;88.3
607;K Financial institutions;2022;12966;0;12966;13896.0;;13896.0;15.1;;15.1;93.3;;93.3
608;64 Financial institutions, no insurance;2015;9144;0;9144;9144.0;0.0;9144.0;;;;100.0;;100.0
609;64 Financial institutions, no insurance;2016;7130;0;7130;7680.0;;7680.0;-16.0;;-16.0;92.8;;92.8
610;64 Financial institutions, no insurance;2017;6223;0;6223;7106.0;;7106.0;-7.5;;-7.5;87.6;;87.6
611;64 Financial institutions, no insurance;2018;7542;0;7542;8646.0;;8646.0;21.7;;21.7;87.2;;87.2
612;64 Financial institutions, no insurance;2019;7768;0;7768;9061.0;;9061.0;4.8;;4.8;85.7;;85.7
613;64 Financial institutions, no insurance;2020;7807;0;7807;9339.0;;9339.0;3.1;;3.1;83.6;;83.6
614;64 Financial institutions, no insurance;2021;6617;0;6617;8283.0;;8283.0;-11.3;;-11.3;79.9;;79.9
615;64 Financial institutions, no insurance;2022;8990;0;8990;10513.0;;10513.0;26.9;;26.9;85.5;;85.5
616;65 Insurance and pension funding;2015;1134;0;1134;1134.0;0.0;1134.0;;;;100.0;;100.0
617;65 Insurance and pension funding;2016;1051;0;1051;1130.0;;1130.0;-0.4;;-0.4;93.0;;93.0
618;65 Insurance and pension funding;2017;1039;0;1039;1097.0;;1097.0;-2.9;;-2.9;94.7;;94.7
619;65 Insurance and pension funding;2018;992;0;992;1007.0;;1007.0;-8.2;;-8.2;98.5;;98.5
620;65 Insurance and pension funding;2019;952;0;952;986.0;;986.0;-2.1;;-2.1;96.6;;96.6
621;65 Insurance and pension funding;2020;1001;0;1001;1003.0;;1003.0;1.8;;1.8;99.8;;99.8
622;65 Insurance and pension funding;2021;1040;0;1040;915.0;;915.0;-8.8;;-8.8;113.7;;113.7
623;65 Insurance and pension funding;2022;1119;0;1119;941.0;;941.0;2.9;;2.9;118.9;;118.9
624;66 Other financial services;2015;1927;0;1927;1927.0;0.0;1927.0;;;;100.0;;100.0
625;66 Other financial services;2016;1945;0;1945;1944.0;;1944.0;0.9;;0.9;100.1;;100.1
626;66 Other financial services;2017;2000;0;2000;1938.0;;1938.0;-0.3;;-0.3;103.2;;103.2
627;66 Other financial services;2018;2284;0;2284;2203.0;;2203.0;13.7;;13.7;103.7;;103.7
628;66 Other financial services;2019;2490;0;2490;2353.0;;2353.0;6.8;;6.8;105.8;;105.8
629;66 Other financial services;2020;2761;0;2761;2594.0;;2594.0;10.2;;10.2;106.4;;106.4
630;66 Other financial services;2021;3010;0;3010;2780.0;;2780.0;7.2;;7.2;108.3;;108.3
631;66 Other financial services;2022;2857;0;2857;2592.0;;2592.0;-6.7;;-6.7;110.2;;110.2
632;L Renting, buying, selling real estate;2015;1540;0;1540;1540.0;0.0;1540.0;;;;100.0;;100.0
633;L Renting, buying, selling real estate;2016;1610;0;1610;1589.0;;1589.0;3.2;;3.2;101.3;;101.3
634;L Renting, buying, selling real estate;2017;1796;0;1796;1722.0;;1722.0;8.4;;8.4;104.3;;104.3
635;L Renting, buying, selling real estate;2018;1927;0;1927;1788.0;;1788.0;3.8;;3.8;107.7;;107.7
636;L Renting, buying, selling real estate;2019;2056;0;2056;1883.0;;1883.0;5.3;;5.3;109.2;;109.2
637;L Renting, buying, selling real estate;2020;1170;0;1170;1049.0;;1049.0;-44.3;;-44.3;111.6;;111.6
638;L Renting, buying, selling real estate;2021;1081;0;1081;947.0;;947.0;-9.7;;-9.7;114.2;;114.2
639;L Renting, buying, selling real estate;2022;2067;0;2067;1669.0;;1669.0;76.3;;76.3;123.9;;123.9
640;68 Renting, buying, selling real estate;2015;1540;0;1540;1540.0;0.0;1540.0;;;;100.0;;100.0
641;68 Renting, buying, selling real estate;2016;1610;0;1610;1589.0;;1589.0;3.2;;3.2;101.3;;101.3
642;68 Renting, buying, selling real estate;2017;1796;0;1796;1722.0;;1722.0;8.4;;8.4;104.3;;104.3
643;68 Renting, buying, selling real estate;2018;1927;0;1927;1788.0;;1788.0;3.8;;3.8;107.7;;107.7
644;68 Renting, buying, selling real estate;2019;2056;0;2056;1883.0;;1883.0;5.3;;5.3;109.2;;109.2
645;68 Renting, buying, selling real estate;2020;1170;0;1170;1049.0;;1049.0;-44.3;;-44.3;111.6;;111.6
646;68 Renting, buying, selling real estate;2021;1081;0;1081;947.0;;947.0;-9.7;;-9.7;114.2;;114.2
647;68 Renting, buying, selling real estate;2022;2067;0;2067;1669.0;;1669.0;76.3;;76.3;123.9;;123.9
648;M-N Business services;2015;45393;585;44808;45393.0;585.0;44808.0;;;;100.0;100.0;100.0
649;M-N Business services;2016;38557;607;37950;38331.0;607.0;37724.0;-15.6;3.8;-15.8;100.6;100.0;100.6
650;M-N Business services;2017;42848;548;42300;42108.0;571.0;41536.0;9.9;-5.9;10.1;101.8;96.0;101.8
651;M-N Business services;2018;50964;596;50368;49039.0;611.0;48424.0;16.5;6.9;16.6;103.9;97.6;104.0
652;M-N Business services;2019;54185;704;53481;51030.0;703.0;50327.0;4.1;15.1;3.9;106.2;100.2;106.3
653;M-N Business services;2020;49523;697;48826;46336.0;682.0;45657.0;-9.2;-3.0;-9.3;106.9;102.2;106.9
654;M-N Business services;2021;58246;758;57488;53307.0;719.0;52589.0;15.0;5.5;15.2;109.3;105.4;109.3
655;M-N Business services;2022;68803;807;67996;60592.0;737.0;59852.0;13.7;2.5;13.8;113.6;109.5;113.6
656;M Other specialised business services;2015;24148;576;23572;24148.0;576.0;23572.0;;;;100.0;100.0;100.0
657;M Other specialised business services;2016;24227;597;23630;24076.0;597.0;23479.0;-0.3;3.6;-0.4;100.6;100.0;100.6
658;M Other specialised business services;2017;26360;538;25822;25961.0;561.0;25400.0;7.8;-6.0;8.2;101.5;95.9;101.7
659;M Other specialised business services;2018;31451;587;30864;30263.0;602.0;29658.0;16.6;7.2;16.8;103.9;97.6;104.1
660;M Other specialised business services;2019;33104;695;32409;31214.0;694.0;30521.0;3.1;15.3;2.9;106.1;100.2;106.2
661;M Other specialised business services;2020;34339;688;33651;32287.0;675.0;31610.0;3.4;-2.7;3.6;106.4;101.9;106.5
662;M Other specialised business services;2021;36673;742;35931;33705.0;709.0;32994.0;4.4;5.1;4.4;108.8;104.6;108.9
663;M Other specialised business services;2022;41239;790;40449;36743.0;726.0;36013.0;9.0;2.4;9.2;112.2;108.7;112.3
664;69-71 Management,  technical consultancy;2015;20078;532;19546;20078.0;532.0;19546.0;;;;100.0;100.0;100.0
665;69-71 Management,  technical consultancy;2016;19743;564;19179;19633.0;566.0;19067.0;-2.2;6.4;-2.5;100.6;99.6;100.6
666;69-71 Management,  technical consultancy;2017;21731;503;21228;21443.0;528.0;20914.0;9.2;-6.7;9.7;101.3;95.3;101.5
667;69-71 Management,  technical consultancy;2018;26898;554;26344;25893.0;571.0;25317.0;20.8;8.2;21.1;103.9;97.0;104.1
668;69-71 Management,  technical consultancy;2019;28507;660;27847;26879.0;663.0;26216.0;3.8;16.1;3.5;106.1;99.6;106.2
669;69-71 Management,  technical consultancy;2020;29768;659;29109;27929.0;650.0;27277.0;3.9;-2.0;4.0;106.6;101.5;106.7
670;69-71 Management,  technical consultancy;2021;31149;701;30448;28585.0;672.0;27910.0;2.3;3.5;2.3;109.0;104.3;109.1
671;69-71 Management,  technical consultancy;2022;34557;702;33855;30722.0;648.0;30068.0;7.5;-3.6;7.7;112.5;108.3;112.6
672;69-70 Legal and management consultancy;2015;17770;99;17671;17770.0;99.0;17671.0;;;;100.0;100.0;100.0
673;69-70 Legal and management consultancy;2016;17352;123;17229;17251.0;121.0;17130.0;-2.9;22.2;-3.1;100.6;101.7;100.6
