ID;SBI1993;Perioden;TotaalCaoSectoren_1;ParticuliereBedrijven_2;Overheid_3;GesubsidieerdeSector_4
532;10-14 Delfstoffenwinning;1990 november;;;;
533;10-14 Delfstoffenwinning;1990 December;;;;
534;10-14 Delfstoffenwinning;1990 jaargemiddelde;;;;
535;10-14 Delfstoffenwinning;1991 januari;;;;
536;10-14 Delfstoffenwinning;1991 februari;;;;
537;10-14 Delfstoffenwinning;1991 maart;;;;
538;10-14 Delfstoffenwinning;1991 april;;;;
539;10-14 Delfstoffenwinning;1991 mei;;;;
540;10-14 Delfstoffenwinning;1991 juni;;;;
541;10-14 Delfstoffenwinning;1991 juli;;;;
542;10-14 Delfstoffenwinning;1991 augustus;;;;
543;10-14 Delfstoffenwinning;1991 september;;;;
544;10-14 Delfstoffenwinning;1991 oktober;;;;
545;10-14 Delfstoffenwinning;1991 november;;;;
546;10-14 Delfstoffenwinning;1991 december;;;;
547;10-14 Delfstoffenwinning;1991 jaargemiddelde;;;;
548;10-14 Delfstoffenwinning;1992 januari;;;;
549;10-14 Delfstoffenwinning;1992 februari;;;;
550;10-14 Delfstoffenwinning;1992 maart;;;;
551;10-14 Delfstoffenwinning;1992 april;;;;
552;10-14 Delfstoffenwinning;1992 mei;;;;
553;10-14 Delfstoffenwinning;1992 juni;;;;
554;10-14 Delfstoffenwinning;1992 juli;;;;
555;10-14 Delfstoffenwinning;1992 augustus;;;;
556;10-14 Delfstoffenwinning;1992 september;;;;
557;10-14 Delfstoffenwinning;1992 oktober;;;;
558;10-14 Delfstoffenwinning;1992 november;;;;
559;10-14 Delfstoffenwinning;1992 december;;;;
560;10-14 Delfstoffenwinning;1992 jaargemiddelde;;;;
561;10-14 Delfstoffenwinning;1993 januari;;;;
562;10-14 Delfstoffenwinning;1993 februari;;;;
563;10-14 Delfstoffenwinning;1993 maart;;;;
564;10-14 Delfstoffenwinning;1993 april;;;;
565;10-14 Delfstoffenwinning;1993 mei;;;;
566;10-14 Delfstoffenwinning;1993 juni;;;;
567;10-14 Delfstoffenwinning;1993 juli;;;;
568;10-14 Delfstoffenwinning;1993 augustus;;;;
569;10-14 Delfstoffenwinning;1993 september;;;;
570;10-14 Delfstoffenwinning;1993 oktober;;;;
571;10-14 Delfstoffenwinning;1993 november;;;;
572;10-14 Delfstoffenwinning;1993 december;;;;
573;10-14 Delfstoffenwinning;1993 jaargemiddelde;;;;
574;10-14 Delfstoffenwinning;1994 januari;;;;
575;10-14 Delfstoffenwinning;1994 februari;;;;
576;10-14 Delfstoffenwinning;1994 maart;;;;
