ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;NetEnergyConsumption_8;TotalEnergyTransformationInput_9;ElectricityAndCHPTransformationInput_10;OtherTransformationInput_11;TotalEnergyTransformationOutput_12;ElectricityCHPTransformationOutput_13;OtherTransformationOutput_14;TotalNetEnergyTransformation_15;NetElectricityCHPTransformation_16;NetOtherTransformation_17;EnergySectorOwnUse_18;DistributionLosses_19;TotalFinalConsumption_20;FinalEnergyConsumption_21;NonEnergyUse_22;StatisticalDifferences_23
975;Petroleum products;1967;-575.0;;;;-285.0;259.0;-31.0;-575.0;;;;;;;;;;;;;;;
976;Petroleum products;1968;-678.0;;;;-391.0;319.0;33.0;-678.0;;;;;;;;;;;;;;;
977;Petroleum products;1969;-1150.0;;;;-754.0;392.0;-3.0;-1150.0;;;;;;;;;;;;;;;
978;Petroleum products;1970;-1487.0;;;;-1021.0;423.0;-44.0;-1487.0;;;;;;;;;;;;;;;
979;Petroleum products;1971;-1467.0;;;;-1124.0;442.0;100.0;-1467.0;;;;;;;;;;;;;;;
980;Petroleum products;1972;-1760.0;;;;-1248.0;537.0;25.0;-1760.0;;;;;;;;;;;;;;;
981;Petroleum products;1973;-1875.0;;;;-1137.0;567.0;-171.0;-1875.0;;;;;;;;;;;;;;;
982;Petroleum products;1974;-1633.0;;;;-1324.0;460.0;151.0;-1633.0;;;;;;;;;;;;;;;
983;Petroleum products;1975;-1463.0;;418.0;1410.0;-992.0;507.0;36.0;-1463.0;;95.0;;;;;-2333.0;95.0;-2428.0;;;870.0;628.0;242.0;
984;Petroleum products;1976;-1648.0;;436.0;1547.0;-1111.0;544.0;8.0;-1647.0;;105.0;;;;;-2646.0;105.0;-2751.0;;;1000.0;673.0;327.0;
985;Petroleum products;1977;-1504.0;;408.0;1376.0;-968.0;522.0;-14.0;-1505.0;;92.0;;;;;-2471.0;92.0;-2563.0;;;967.0;665.0;302.0;
986;Petroleum products;1978;-1313.0;;583.0;1365.0;-782.0;534.0;3.0;-1313.0;;145.0;;;;;-2309.0;145.0;-2454.0;;;997.0;670.0;327.0;
987;Petroleum products;1979;-1285.0;;821.0;1622.0;-801.0;464.0;-20.0;-1285.0;;253.0;;;;;-2321.0;253.0;-2574.0;;;1036.0;692.0;344.0;
988;Petroleum products;1980;-986.0;;1215.0;1751.0;-536.0;445.0;-5.0;-986.0;;268.0;;;;;-1895.0;268.0;-2163.0;;;909.0;619.0;290.0;
989;Petroleum products;1981;-635.0;;1401.0;1705.0;-304.0;421.0;91.0;-635.0;;271.0;;;;;-1447.0;271.0;-1718.0;;;813.0;587.0;226.0;
990;Petroleum products;1982;-767.0;;1551.0;1957.0;-406.0;409.0;49.0;-767.0;;163.0;;;;;-1508.0;163.0;-1671.0;;;741.0;567.0;174.0;
991;Petroleum products;1983;-990.0;;1562.0;2156.0;-594.0;387.0;-8.0;-990.0;;84.0;;;;;-1744.0;84.0;-1828.0;;;755.0;576.0;179.0;
992;Petroleum products;1984;-1203.0;;1376.0;2214.0;-838.0;368.0;3.0;-1203.0;;53.0;;;;;-1942.0;53.0;-1995.0;;;739.0;559.0;180.0;
993;Petroleum products;1985;-1008.0;;1573.0;2185.0;-612.0;419.0;23.0;-1009.0;;54.0;;;;;-1732.0;54.0;-1786.0;;;724.0;545.0;179.0;
994;Petroleum products;1986;-1244.0;;1686.0;2406.0;-720.0;463.0;-60.0;-1244.0;;65.0;;;;;-2043.0;65.0;-2108.0;;;799.0;554.0;245.0;
995;Petroleum products;1987;-1310.0;;1461.0;2389.0;-928.0;459.0;75.0;-1310.0;;67.0;;;;;-2113.0;67.0;-2180.0;;;802.0;558.0;244.0;
996;Petroleum products;1988;-1379.0;;1477.0;2340.0;-863.0;509.0;-7.0;-1379.0;;70.0;;;;;-2213.0;70.0;-2283.0;;;834.0;564.0;270.0;
997;Petroleum products;1989;-1385.0;;1636.0;2497.0;-861.0;498.0;-26.0;-1385.0;;62.0;;;;;-2223.0;62.0;-2285.0;;;837.0;608.0;229.0;
998;Petroleum products;1990;-1148.0;0.0;1728.0;2367.0;-639.0;520.0;10.0;-1158.0;304.0;61.0;243.0;2349.0;;2349.0;-2045.0;61.0;-2106.0;110.0;;777.0;530.0;247.0;10.0
999;Petroleum products;1991;-1326.0;0.0;1574.0;2334.0;-761.0;534.0;-31.0;-1341.0;271.0;60.0;211.0;2478.0;;2478.0;-2207.0;60.0;-2267.0;112.0;;753.0;527.0;226.0;16.0
1000;Petroleum products;1992;-1383.0;0.0;1355.0;2211.0;-855.0;545.0;17.0;-1399.0;233.0;59.0;174.0;2515.0;;2515.0;-2281.0;59.0;-2340.0;107.0;;775.0;544.0;231.0;16.0
1001;Petroleum products;1993;-1434.0;1.0;1418.0;2296.0;-878.0;534.0;-23.0;-1446.0;226.0;56.0;170.0;2542.0;;2542.0;-2316.0;56.0;-2372.0;114.0;;756.0;565.0;192.0;12.0
1002;Petroleum products;1994;-1414.0;1.0;1315.0;2160.0;-846.0;551.0;-18.0;-1425.0;266.0;61.0;204.0;2581.0;;2581.0;-2315.0;61.0;-2376.0;116.0;;774.0;555.0;219.0;11.0
1003;Petroleum products;1995 1st quarter;-362.0;0.0;281.0;570.0;-289.0;127.0;54.0;;63.0;15.0;48.0;647.0;;647.0;-584.0;15.0;-599.0;28.0;;;;54.0;
1004;Petroleum products;1995 2nd quarter;-406.0;0.0;296.0;584.0;-288.0;141.0;22.0;;77.0;15.0;61.0;703.0;;703.0;-627.0;15.0;-642.0;27.0;;;;53.0;
1005;Petroleum products;1995 3rd quarter;-388.0;1.0;359.0;534.0;-175.0;149.0;-65.0;;71.0;15.0;55.0;681.0;;681.0;-611.0;15.0;-626.0;29.0;;;;59.0;
1006;Petroleum products;1995 4th quarter;-393.0;1.0;291.0;600.0;-309.0;141.0;56.0;;70.0;15.0;55.0;712.0;;712.0;-641.0;15.0;-657.0;29.0;;;;69.0;
1007;Petroleum products;1995;-1549.0;2.0;1228.0;2288.0;-1061.0;557.0;66.0;-1563.0;281.0;61.0;219.0;2743.0;;2743.0;-2463.0;61.0;-2524.0;113.0;;787.0;551.0;236.0;14.0
1008;Petroleum products;1996 1st quarter;-402.0;0.0;280.0;585.0;-305.0;144.0;47.0;;75.0;17.0;58.0;707.0;;707.0;-632.0;17.0;-649.0;28.0;;;;58.0;
1009;Petroleum products;1996 2nd quarter;-398.0;0.0;286.0;539.0;-252.0;146.0;0.0;;76.0;15.0;61.0;714.0;;714.0;-638.0;15.0;-653.0;28.0;;;;62.0;
1010;Petroleum products;1996 3rd quarter;-388.0;0.0;339.0;566.0;-227.0;147.0;-14.0;;81.0;16.0;66.0;705.0;;705.0;-623.0;16.0;-639.0;27.0;;;;65.0;
1011;Petroleum products;1996 4th quarter;-377.0;0.0;408.0;605.0;-196.0;146.0;-34.0;;86.0;16.0;70.0;710.0;;710.0;-624.0;16.0;-639.0;25.0;;;;67.0;
1012;Petroleum products;1996;-1564.0;1.0;1314.0;2294.0;-980.0;583.0;-3.0;-1580.0;318.0;63.0;255.0;2835.0;;2835.0;-2517.0;63.0;-2580.0;109.0;;828.0;576.0;252.0;16.0
1013;Petroleum products;1997 1st quarter;-381.0;0.0;385.0;605.0;-220.0;147.0;-14.0;;78.0;12.0;66.0;693.0;;693.0;-614.0;12.0;-626.0;21.0;;;;71.0;
1014;Petroleum products;1997 2nd quarter;-407.0;0.0;372.0;625.0;-253.0;159.0;5.0;;76.0;16.0;60.0;732.0;;732.0;-656.0;16.0;-672.0;25.0;;;;70.0;
1015;Petroleum products;1997 3rd quarter;-382.0;0.0;409.0;599.0;-190.0;163.0;-30.0;;85.0;19.0;66.0;700.0;;700.0;-615.0;19.0;-634.0;28.0;;;;66.0;
1016;Petroleum products;1997 4th quarter;-381.0;0.0;367.0;616.0;-249.0;158.0;25.0;;58.0;13.0;45.0;673.0;;673.0;-615.0;13.0;-628.0;24.0;;;;60.0;
1017;Petroleum products;1997;-1552.0;2.0;1533.0;2444.0;-912.0;627.0;-14.0;-1567.0;297.0;60.0;238.0;2798.0;;2798.0;-2500.0;60.0;-2560.0;98.0;;835.0;568.0;267.0;15.0
1018;Petroleum products;1998 1st quarter;-400.0;0.0;373.0;604.0;-231.0;147.0;-22.0;;80.0;17.0;64.0;715.0;;715.0;-634.0;17.0;-651.0;24.0;;;;66.0;
1019;Petroleum products;1998 2nd quarter;-356.0;0.0;374.0;570.0;-196.0;157.0;-4.0;;83.0;16.0;68.0;673.0;;673.0;-590.0;16.0;-605.0;20.0;;;;66.0;
1020;Petroleum products;1998 3rd quarter;-417.0;1.0;351.0;621.0;-270.0;161.0;14.0;;88.0;16.0;72.0;738.0;;738.0;-651.0;16.0;-666.0;23.0;;;;68.0;
1021;Petroleum products;1998 4th quarter;-423.0;0.0;350.0;615.0;-265.0;168.0;10.0;;72.0;15.0;57.0;737.0;;737.0;-665.0;15.0;-680.0;24.0;;;;54.0;
1022;Petroleum products;1998;-1596.0;2.0;1449.0;2410.0;-961.0;634.0;-2.0;-1609.0;324.0;63.0;261.0;2863.0;;2863.0;-2540.0;63.0;-2602.0;91.0;;839.0;575.0;264.0;14.0
1023;Petroleum products;1999 1st quarter;-387.0;0.0;353.0;606.0;-253.0;158.0;24.0;;79.0;15.0;64.0;694.0;;694.0;-615.0;15.0;-630.0;22.0;;;;64.0;
1024;Petroleum products;1999 2nd quarter;-369.0;0.0;401.0;576.0;-175.0;170.0;-25.0;;78.0;15.0;63.0;684.0;;684.0;-606.0;15.0;-621.0;20.0;;;;65.0;
1025;Petroleum products;1999 3rd quarter;-361.0;0.0;373.0;575.0;-202.0;165.0;5.0;;92.0;14.0;78.0;681.0;;681.0;-589.0;14.0;-603.0;20.0;;;;61.0;
1026;Petroleum products;1999 4th quarter;-333.0;1.0;408.0;641.0;-232.0;167.0;65.0;;92.0;12.0;80.0;675.0;;675.0;-583.0;12.0;-595.0;19.0;;;;70.0;
1027;Petroleum products;1999;-1451.0;2.0;1535.0;2397.0;-862.0;660.0;70.0;-1459.0;340.0;55.0;285.0;2733.0;;2733.0;-2393.0;55.0;-2449.0;80.0;;854.0;593.0;260.0;8.0
1028;Petroleum products;2000 1st quarter;-363.0;1.0;396.0;622.0;-226.0;157.0;20.0;;84.0;14.0;70.0;678.0;;678.0;-594.0;14.0;-608.0;23.0;;;;60.0;
1029;Petroleum products;2000 2nd quarter;-331.0;1.0;513.0;640.0;-127.0;179.0;-25.0;;77.0;10.0;67.0;639.0;;639.0;-562.0;10.0;-572.0;20.0;;;;60.0;
1030;Petroleum products;2000 3rd quarter;-372.0;1.0;507.0;677.0;-170.0;177.0;-27.0;;89.0;14.0;74.0;694.0;;694.0;-605.0;14.0;-619.0;21.0;;;;69.0;
1031;Petroleum products;2000 4th quarter;-414.0;1.0;418.0;632.0;-214.0;175.0;-25.0;;90.0;13.0;77.0;741.0;;741.0;-651.0;13.0;-664.0;21.0;;;;64.0;
1032;Petroleum products;2000;-1480.0;3.0;1834.0;2571.0;-737.0;689.0;-57.0;-1490.0;340.0;52.0;289.0;2753.0;;2753.0;-2412.0;52.0;-2464.0;84.0;;838.0;585.0;253.0;10.0
1033;Petroleum products;2001 1st quarter;-375.0;1.0;436.0;639.0;-203.0;176.0;2.0;;84.0;14.0;70.0;695.0;;695.0;-611.0;14.0;-625.0;22.0;;;;65.0;
1034;Petroleum products;2001 2nd quarter;-355.0;1.0;495.0;669.0;-174.0;183.0;2.0;;88.0;13.0;75.0;691.0;;691.0;-603.0;13.0;-616.0;21.0;;;;73.0;
1035;Petroleum products;2001 3rd quarter;-367.0;1.0;485.0;687.0;-202.0;181.0;15.0;;85.0;12.0;73.0;676.0;;676.0;-591.0;12.0;-603.0;21.0;;;;59.0;
1036;Petroleum products;2001 4th quarter;-356.0;0.0;482.0;652.0;-169.0;197.0;10.0;;79.0;12.0;68.0;684.0;;684.0;-604.0;12.0;-616.0;21.0;;;;67.0;
1037;Petroleum products;2001;-1453.0;2.0;1898.0;2646.0;-748.0;736.0;29.0;-1466.0;337.0;51.0;286.0;2747.0;;2747.0;-2410.0;51.0;-2461.0;84.0;;859.0;594.0;265.0;13.0
1038;Petroleum products;2002 1st quarter;-364.0;0.0;493.0;667.0;-174.0;176.0;-13.0;;102.0;12.0;90.0;697.0;;697.0;-595.0;12.0;-607.0;21.0;;;;62.0;
1039;Petroleum products;2002 2nd quarter;-280.0;1.0;536.0;637.0;-101.0;196.0;17.0;;109.0;10.0;99.0;625.0;;625.0;-516.0;10.0;-526.0;17.0;;;;62.0;
1040;Petroleum products;2002 3rd quarter;-288.0;1.0;528.0;646.0;-118.0;186.0;15.0;;110.0;12.0;99.0;645.0;;645.0;-535.0;12.0;-546.0;20.0;;;;73.0;
1041;Petroleum products;2002 4th quarter;-294.0;1.0;546.0;671.0;-125.0;180.0;10.0;;115.0;12.0;103.0;670.0;;670.0;-556.0;12.0;-567.0;19.0;;;;78.0;
1042;Petroleum products;2002;-1225.0;2.0;2102.0;2620.0;-518.0;737.0;28.0;-1237.0;436.0;45.0;391.0;2638.0;;2638.0;-2202.0;45.0;-2247.0;76.0;;889.0;615.0;274.0;12.0
1043;Petroleum products;2003 1st quarter;-295.0;0.0;444.0;612.0;-167.0;164.0;37.0;;104.0;12.0;92.0;656.0;;656.0;-552.0;12.0;-564.0;19.0;;;;78.0;
1044;Petroleum products;2003 2nd quarter;-321.0;0.0;559.0;656.0;-97.0;172.0;-52.0;;110.0;12.0;98.0;702.0;;702.0;-592.0;12.0;-603.0;20.0;;;;92.0;
1045;Petroleum products;2003 3rd quarter;-337.0;0.0;534.0;653.0;-119.0;179.0;-38.0;;112.0;11.0;100.0;727.0;;727.0;-615.0;11.0;-626.0;21.0;;;;100.0;
1046;Petroleum products;2003 4th quarter;-293.0;0.0;521.0;676.0;-155.0;182.0;44.0;;93.0;11.0;82.0;660.0;;660.0;-567.0;11.0;-579.0;20.0;;;;88.0;
1047;Petroleum products;2003;-1246.0;1.0;2058.0;2596.0;-538.0;698.0;-10.0;-1265.0;418.0;46.0;372.0;2745.0;;2745.0;-2326.0;46.0;-2372.0;80.0;;982.0;625.0;357.0;19.0
1048;Petroleum products;2004 1st quarter;-367.0;0.0;545.0;734.0;-188.0;179.0;0.0;;105.0;12.0;93.0;746.0;;746.0;-641.0;12.0;-653.0;22.0;;;;95.0;
1049;Petroleum products;2004 2nd quarter;-364.0;0.0;556.0;733.0;-177.0;191.0;4.0;;121.0;12.0;109.0;758.0;;758.0;-637.0;12.0;-649.0;22.0;;;;91.0;
1050;Petroleum products;2004 3rd quarter;-337.0;0.0;623.0;739.0;-116.0;191.0;-30.0;;122.0;11.0;111.0;725.0;;725.0;-603.0;11.0;-614.0;22.0;;;;88.0;
1051;Petroleum products;2004 4th quarter;-258.0;0.0;646.0;698.0;-53.0;197.0;-8.0;;126.0;11.0;115.0;665.0;;665.0;-539.0;11.0;-550.0;21.0;;;;96.0;
1052;Petroleum products;2004;-1326.0;1.0;2370.0;2904.0;-534.0;758.0;-34.0;-1336.0;474.0;46.0;429.0;2895.0;;2895.0;-2421.0;46.0;-2466.0;87.0;;998.0;627.0;371.0;11.0
1053;Petroleum products;2005 1st quarter;-327.0;0.0;567.0;739.0;-172.0;184.0;29.0;;119.0;10.0;109.0;716.0;;716.0;-597.0;10.0;-607.0;25.0;;;;91.0;
1054;Petroleum products;2005 2nd quarter;-362.0;0.0;673.0;797.0;-124.0;210.0;-29.0;;131.0;11.0;120.0;764.0;;764.0;-633.0;11.0;-644.0;23.0;;;;85.0;
1055;Petroleum products;2005 3rd quarter;-310.0;0.0;714.0;817.0;-102.0;211.0;4.0;;149.0;10.0;139.0;730.0;;730.0;-581.0;10.0;-591.0;23.0;;;;93.0;
1056;Petroleum products;2005 4th quarter;-360.0;0.0;701.0;828.0;-127.0;201.0;-33.0;;134.0;10.0;125.0;768.0;;768.0;-633.0;10.0;-643.0;19.0;;;;92.0;
1057;Petroleum products;2005;-1360.0;1.0;2655.0;3180.0;-526.0;806.0;-29.0;-1373.0;533.0;41.0;492.0;2977.0;;2977.0;-2444.0;41.0;-2485.0;90.0;;981.0;621.0;360.0;13.0
1058;Petroleum products;2006 1st quarter;-328.0;0.0;671.0;838.0;-167.0;198.0;36.0;;145.0;10.0;135.0;738.0;;738.0;-592.0;10.0;-603.0;21.0;;;;78.0;
1059;Petroleum products;2006 2nd quarter;-299.0;0.0;764.0;818.0;-54.0;211.0;-35.0;;143.0;10.0;133.0;715.0;;715.0;-572.0;10.0;-582.0;19.0;;;;83.0;
1060;Petroleum products;2006 3rd quarter;-327.0;1.0;762.0;845.0;-83.0;231.0;-14.0;;150.0;11.0;139.0;753.0;;753.0;-603.0;11.0;-613.0;21.0;;;;93.0;
1061;Petroleum products;2006 4th quarter;-341.0;1.0;753.0;881.0;-128.0;212.0;-3.0;;116.0;11.0;105.0;743.0;;743.0;-627.0;11.0;-638.0;23.0;;;;92.0;
1062;Petroleum products;2006;-1296.0;2.0;2951.0;3382.0;-431.0;851.0;-15.0;-1309.0;554.0;41.0;512.0;2948.0;;2948.0;-2394.0;41.0;-2435.0;85.0;;999.0;653.0;347.0;13.0
1063;Petroleum products;2007 1st quarter;-293.0;1.0;709.0;827.0;-118.0;202.0;26.0;;117.0;10.0;107.0;672.0;;672.0;-555.0;10.0;-565.0;20.0;;;;78.0;
1064;Petroleum products;2007 2nd quarter;-288.0;2.0;688.0;758.0;-70.0;226.0;6.0;;145.0;12.0;133.0;719.0;;719.0;-574.0;12.0;-586.0;24.0;;;;93.0;
1065;Petroleum products;2007 3rd quarter;-336.0;2.0;694.0;818.0;-124.0;228.0;15.0;;135.0;11.0;123.0;764.0;;764.0;-629.0;11.0;-641.0;25.0;;;;102.0;
1066;Petroleum products;2007 4th quarter;-299.0;1.0;723.0;794.0;-72.0;214.0;-14.0;;127.0;11.0;116.0;724.0;;724.0;-598.0;11.0;-609.0;24.0;;;;101.0;
1067;Petroleum products;2007;-1216.0;6.0;2814.0;3197.0;-384.0;870.0;32.0;-1225.0;523.0;44.0;479.0;2879.0;;2879.0;-2356.0;44.0;-2401.0;94.0;;1037.0;663.0;374.0;10.0
1068;Petroleum products;2008 1st quarter;-329.0;1.0;681.0;813.0;-132.0;215.0;16.0;;108.0;10.0;98.0;721.0;;721.0;-613.0;10.0;-623.0;24.0;;;;90.0;
1069;Petroleum products;2008 2nd quarter;-343.0;1.0;717.0;846.0;-128.0;212.0;-4.0;;122.0;11.0;111.0;735.0;;735.0;-613.0;11.0;-624.0;21.0;;;;79.0;
1070;Petroleum products;2008 3rd quarter;-336.0;2.0;785.0;911.0;-126.0;217.0;5.0;;124.0;11.0;113.0;739.0;;739.0;-615.0;11.0;-626.0;23.0;;;;95.0;
1071;Petroleum products;2008 4th quarter;-272.0;1.0;828.0;818.0;11.0;200.0;-85.0;;128.0;8.0;120.0;655.0;;655.0;-527.0;8.0;-535.0;19.0;;;;74.0;
1072;Petroleum products;2008;-1281.0;6.0;3011.0;3387.0;-376.0;844.0;-67.0;-1290.0;483.0;41.0;442.0;2850.0;;2850.0;-2367.0;41.0;-2408.0;87.0;;990.0;652.0;338.0;9.0
1073;Petroleum products;2009 1st quarter;-322.0;1.0;773.0;937.0;-164.0;191.0;33.0;;115.0;7.0;107.0;701.0;;701.0;-586.0;7.0;-593.0;21.0;;;;84.0;
1074;Petroleum products;2009 2nd quarter;-296.0;1.0;874.0;950.0;-76.0;188.0;-33.0;;121.0;7.0;115.0;688.0;;688.0;-566.0;7.0;-573.0;20.0;;;;89.0;
1075;Petroleum products;2009 3rd quarter;-326.0;1.0;815.0;933.0;-118.0;192.0;-17.0;;144.0;6.0;138.0;734.0;;734.0;-590.0;6.0;-596.0;18.0;;;;89.0;
1076;Petroleum products;2009 4th quarter;-317.0;2.0;843.0;974.0;-131.0;188.0;0.0;;145.0;5.0;141.0;727.0;;727.0;-582.0;5.0;-587.0;17.0;;;;86.0;
1077;Petroleum products;2009;-1258.0;4.0;3304.0;3791.0;-487.0;758.0;-17.0;-1275.0;525.0;25.0;500.0;2849.0;;2849.0;-2324.0;25.0;-2349.0;78.0;;972.0;630.0;342.0;16.0
1078;Petroleum products;2010 1st quarter;-352.0;2.0;915.0;1126.0;-211.0;176.0;34.0;;163.0;5.0;157.0;782.0;;782.0;-620.0;5.0;-625.0;18.0;;;;93.0;
1079;Petroleum products;2010 2nd quarter;-330.0;2.0;874.0;998.0;-124.0;181.0;-27.0;;157.0;7.0;150.0;776.0;;776.0;-619.0;7.0;-625.0;19.0;;;;104.0;
1080;Petroleum products;2010 3rd quarter;-323.0;1.0;878.0;1034.0;-157.0;189.0;21.0;;156.0;7.0;149.0;758.0;;758.0;-602.0;7.0;-609.0;19.0;;;;102.0;
1081;Petroleum products;2010 4th quarter;-302.0;1.0;938.0;1064.0;-127.0;177.0;0.0;;149.0;4.0;144.0;735.0;;735.0;-586.0;4.0;-591.0;17.0;;;;100.0;
1082;Petroleum products;2010;-1308.0;6.0;3604.0;4223.0;-619.0;722.0;28.0;-1315.0;624.0;23.0;601.0;3051.0;;3051.0;-2427.0;23.0;-2450.0;72.0;;1039.0;640.0;399.0;8.0
1083;Petroleum products;2011 1st quarter;-363.0;2.0;883.0;1048.0;-165.0;179.0;-20.0;;138.0;8.0;130.0;756.0;;756.0;-618.0;8.0;-626.0;17.0;;;;81.0;
1084;Petroleum products;2011 2nd quarter;-282.0;2.0;867.0;981.0;-114.0;200.0;31.0;;140.0;7.0;134.0;684.0;;684.0;-543.0;7.0;-550.0;18.0;;;;81.0;
1085;Petroleum products;2011 3rd quarter;-334.0;2.0;908.0;1057.0;-149.0;203.0;16.0;;166.0;6.0;160.0;772.0;;772.0;-606.0;6.0;-612.0;22.0;;;;94.0;
1086;Petroleum products;2011 4th quarter;-303.0;1.0;954.0;1091.0;-137.0;190.0;22.0;;167.0;7.0;160.0;742.0;;742.0;-575.0;7.0;-581.0;21.0;;;;85.0;
1087;Petroleum products;2011;-1281.0;7.0;3612.0;4177.0;-564.0;773.0;49.0;-1287.0;611.0;28.0;584.0;2953.0;;2953.0;-2342.0;28.0;-2370.0;78.0;;977.0;636.0;341.0;6.0
1088;Petroleum products;2012 1st quarter;-331.0;2.0;935.0;1027.0;-91.0;179.0;-62.0;;173.0;6.0;167.0;778.0;;778.0;-605.0;6.0;-611.0;20.0;;;;97.0;
1089;Petroleum products;2012 2nd quarter;-336.0;2.0;922.0;1144.0;-221.0;178.0;61.0;;179.0;6.0;173.0;785.0;;785.0;-606.0;6.0;-612.0;21.0;;;;89.0;
1090;Petroleum products;2012 3rd quarter;-348.0;1.0;953.0;1102.0;-149.0;186.0;-15.0;;189.0;5.0;184.0;805.0;;805.0;-617.0;5.0;-622.0;22.0;;;;94.0;
1091;Petroleum products;2012 4th quarter;-243.0;1.0;995.0;1049.0;-55.0;173.0;-17.0;;194.0;6.0;188.0;708.0;;708.0;-514.0;6.0;-520.0;18.0;;;;96.0;
1092;Petroleum products;2012;-1259.0;6.0;3805.0;4321.0;-516.0;716.0;-32.0;-1266.0;735.0;23.0;712.0;3077.0;;3077.0;-2342.0;23.0;-2365.0;81.0;;994.0;618.0;376.0;8.0
1093;Petroleum products;2013 1st quarter;-338.0;2.0;932.0;1051.0;-119.0;173.0;-49.0;-333.0;211.0;5.0;205.0;792.0;;792.0;-581.0;5.0;-587.0;18.0;;231.0;149.0;81.0;-5.0
1094;Petroleum products;2013 2nd quarter;-316.0;1.0;936.0;1118.0;-182.0;180.0;44.0;-315.0;196.0;6.0;190.0;777.0;;777.0;-581.0;6.0;-587.0;20.0;;245.0;151.0;94.0;-1.0
1095;Petroleum products;2013 3rd quarter;-299.0;2.0;951.0;1071.0;-120.0;177.0;-4.0;-297.0;185.0;5.0;180.0;759.0;;759.0;-574.0;5.0;-579.0;21.0;;256.0;149.0;107.0;-2.0
1096;Petroleum products;2013 4th quarter;-263.0;1.0;974.0;1075.0;-101.0;165.0;2.0;-262.0;192.0;5.0;187.0;711.0;;711.0;-519.0;5.0;-523.0;18.0;;239.0;151.0;88.0;-1.0
1097;Petroleum products;2013;-1216.0;7.0;3793.0;4315.0;-522.0;695.0;-7.0;-1207.0;784.0;22.0;763.0;3039.0;;3039.0;-2255.0;22.0;-2276.0;76.0;;971.0;600.0;371.0;-9.0
1098;Petroleum products;2014 1st quarter;-318.0;2.0;891.0;1063.0;-172.0;169.0;21.0;-313.0;203.0;9.0;195.0;775.0;;775.0;-572.0;9.0;-581.0;20.0;;239.0;144.0;96.0;-4.0
1099;Petroleum products;2014 2nd quarter;-282.0;1.0;935.0;1000.0;-64.0;181.0;-38.0;-280.0;253.0;7.0;246.0;805.0;;805.0;-552.0;7.0;-559.0;21.0;;251.0;147.0;104.0;-2.0
1100;Petroleum products;2014 3rd quarter;-301.0;9.0;973.0;1082.0;-109.0;177.0;-23.0;-298.0;215.0;7.0;207.0;774.0;;774.0;-559.0;7.0;-566.0;20.0;;241.0;143.0;98.0;-3.0
1101;Petroleum products;2014 4th quarter;-378.0;1.0;893.0;1130.0;-237.0;165.0;22.0;-378.0;190.0;5.0;186.0;804.0;;804.0;-614.0;5.0;-619.0;20.0;;216.0;144.0;72.0;0.0
1102;Petroleum products;2014;-1279.0;13.0;3692.0;4274.0;-582.0;692.0;-18.0;-1269.0;861.0;27.0;834.0;3158.0;;3158.0;-2297.0;27.0;-2325.0;81.0;;947.0;577.0;371.0;-10.0
1103;Petroleum products;2015 1st quarter;-348.0;3.0;1009.0;1202.0;-192.0;167.0;9.0;;235.0;2.0;232.0;826.0;;826.0;-591.0;2.0;-593.0;24.0;;;;85.0;
1104;Petroleum products;2015 2nd quarter;-380.0;4.0;1036.0;1230.0;-194.0;174.0;-16.0;;252.0;3.0;249.0;858.0;;858.0;-606.0;3.0;-609.0;23.0;;;;62.0;
1105;Petroleum products;2015 3rd quarter;-362.0;3.0;981.0;1100.0;-119.0;171.0;-75.0;;253.0;5.0;247.0;884.0;;884.0;-631.0;5.0;-636.0;24.0;;;;103.0;
1106;Petroleum products;2015 4th quarter;-342.0;2.0;991.0;1144.0;-153.0;173.0;-18.0;;222.0;4.0;218.0;841.0;;841.0;-619.0;4.0;-623.0;23.0;;;;104.0;
1107;Petroleum products;2015;-1432.0;12.0;4017.0;4675.0;-658.0;685.0;-101.0;-1424.0;962.0;15.0;947.0;3409.0;;3409.0;-2447.0;15.0;-2463.0;94.0;;930.0;577.0;353.0;-8.0
1108;Petroleum products;2016 1st quarter;-348.0;3.0;971.0;1153.0;-182.0;165.0;-5.0;;248.0;3.0;245.0;849.0;;849.0;-601.0;3.0;-604.0;24.0;;;;85.0;
1109;Petroleum products;2016 2nd quarter;-347.0;3.0;998.0;1172.0;-173.0;178.0;1.0;;267.0;3.0;264.0;877.0;;877.0;-610.0;3.0;-613.0;24.0;;;;91.0;
1110;Petroleum products;2016 3rd quarter;-349.0;3.0;965.0;1175.0;-210.0;183.0;41.0;;277.0;5.0;272.0;892.0;;892.0;-615.0;5.0;-620.0;23.0;;;;97.0;
1111;Petroleum products;2016 4th quarter;-384.0;2.0;1028.0;1245.0;-217.0;159.0;-10.0;;313.0;4.0;309.0;969.0;;969.0;-656.0;4.0;-660.0;23.0;;;;99.0;
1112;Petroleum products;2016;-1428.0;10.0;3963.0;4745.0;-782.0;685.0;29.0;-1420.0;1105.0;16.0;1090.0;3587.0;;3587.0;-2481.0;16.0;-2497.0;94.0;;968.0;595.0;373.0;-8.0
1113;Natural gas;1946;0.0;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;
1114;Natural gas;1947;0.0;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;
