ID;EconomischeActiviteit;Geslacht;DienstverbandArbeidsrelatie;Perioden;GemiddeldAantalBanen_1;Arbeidsjaren_2;OvereengekomenArbeidsduur_3;Overuren_4;BetaaldeArbeidsduur_5;OvereengekomenArbeidsuren_6;Overuren_7;BetaaldeArbeidsuren_8;TotaalLoonkosten_9;LonenEnSalarissen_10;SocialeLasten_11;LoonkostenPerArbeidsjaar_12
91;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2009, 1e kwartaal*;3863.0;3869.5;;;433.0;;;1672.0;;;;
92;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2009, 2e kwartaal*;3940.0;3946.4;;;426.0;;;1677.0;;;;
93;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2009, 3e kwartaal*;3881.0;3887.2;;;447.0;;;1734.0;;;;
94;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2009, 4e kwartaal*;3822.0;3828.2;;;439.0;;;1678.0;;;;
95;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2009*;3876.0;3882.7;;;1744.0;;;6761.0;;;;
96;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2010, 1e kwartaal*;;;;;;;;;;;;
97;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2010, 2e kwartaal*;;;;;;;;;;;;
98;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2010, 3e kwartaal*;;;;;;;;;;;;
99;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2010, 4e kwartaal*;;;;;;;;;;;;
100;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2010*;;;;;;;;;;;;
101;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Voltijd;2011, 1e kwartaal*;;;;;;;;;;;;
102;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2001, 1e kwartaal;3240.0;1610.3;213.0;3.0;216.0;691.0;9.0;700.0;;9.1;;
103;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2001, 2e kwartaal;3382.0;1675.6;206.0;3.0;209.0;696.0;9.0;705.0;;11.5;;
104;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2001, 3e kwartaal;3444.0;1699.9;215.0;3.0;218.0;741.0;10.0;750.0;;9.5;;
105;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2001, 4e kwartaal;3397.0;1683.5;213.0;3.0;216.0;722.0;10.0;732.0;;10.0;;
106;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2001;3366.0;1667.3;847.0;11.0;858.0;2850.0;37.0;2887.0;;40.2;;
107;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2002, 1e kwartaal;3400.0;1694.1;210.0;2.0;213.0;715.0;8.0;724.0;;10.0;;
108;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2002, 2e kwartaal;3525.0;1748.0;206.0;2.0;209.0;727.0;8.0;735.0;;12.7;;
109;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2002, 3e kwartaal;3573.0;1765.7;219.0;3.0;221.0;781.0;9.0;790.0;;10.3;;
110;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2002, 4e kwartaal;3514.0;1744.2;213.0;2.0;215.0;748.0;8.0;756.0;;11.0;;
111;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2002;3503.0;1738.0;848.0;10.0;858.0;2972.0;34.0;3006.0;;43.9;;
112;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;Deeltijd;2003, 1e kwartaal;3457.0;1710.7;210.0;2.0;212.0;725.0;8.0;733.0;;10.6;;
