ID;Periods;TotalPronouncedBankruptcies_1;TotalPronouncedBankruptcies_2;SingleOwnerCompanies_3;TradingPartnerships_4;TotalPronouncedBankruptcies_5;Partners_6;OtherNaturalPersons_7;Legacies_8;TotalSingleOwnerAndTradingCompanies_9;SingleOwnerCompanies_10;TradingPartnerships_11;TotalPronouncedBankruptcies_12;SingleOwnerCompanies_13;TradingPartnerships_14;TotalPronouncedBankruptcies_15;SingleOwnerCompanies_16;TradingPartnerships_17;TotalPronouncedBankruptcies_18;SingleOwnerCompanies_19;TradingPartnerships_20;TotalPronouncedBankruptcies_21;SingleOwnerCompanies_22;TradingPartnerships_23;TotalPronouncedBankruptcies_24;SingleOwnerCompanies_25;TradingPartnerships_26;TotalPronouncedBankruptcies_27;SingleOwnerCompanies_28;TradingPartnerships_29;TotalPronouncedBankruptcies_30;SingleOwnerCompanies_31;TradingPartnerships_32;TotalPronouncedBankruptcies_33;SingleOwnerCompanies_34;TradingPartnerships_35;TotalPronouncedBankruptcies_36;SingleOwnerCompanies_37;TradingPartnerships_38
187;2004 January;732;534;112;422;198;52;146;;534;112;422;16.0;7.0;9.0;60.0;8.0;52.0;59.0;19.0;40.0;127.0;39.0;88.0;43.0;8.0;35.0;33.0;8.0;25.0;171.0;18.0;153.0;22.0;3.0;19.0;3.0;2.0;1.0
188;2004 February;768;549;112;437;219;45;174;;549;112;437;19.0;7.0;12.0;44.0;4.0;40.0;75.0;31.0;44.0;118.0;28.0;90.0;30.0;11.0;19.0;27.0;7.0;20.0;204.0;19.0;185.0;26.0;3.0;23.0;6.0;2.0;4.0
189;2004 March;902;700;141;559;202;53;149;;700;141;559;22.0;4.0;18.0;98.0;5.0;93.0;90.0;40.0;50.0;156.0;37.0;119.0;42.0;16.0;26.0;48.0;14.0;34.0;217.0;14.0;203.0;23.0;9.0;14.0;4.0;2.0;2.0
190;2004 1st Quarter;2402;1783;365;1418;619;150;469;;1783;365;1418;57.0;18.0;39.0;202.0;17.0;185.0;224.0;90.0;134.0;401.0;104.0;297.0;115.0;35.0;80.0;108.0;29.0;79.0;592.0;51.0;541.0;71.0;15.0;56.0;13.0;6.0;7.0
191;2004 April;739;467;106;361;272;71;201;;467;106;361;11.0;2.0;9.0;64.0;6.0;58.0;75.0;36.0;39.0;91.0;23.0;68.0;23.0;9.0;14.0;20.0;5.0;15.0;160.0;17.0;143.0;21.0;7.0;14.0;2.0;1.0;1.0
192;2004 May;744;498;105;393;246;70;176;;498;105;393;12.0;2.0;10.0;67.0;9.0;58.0;65.0;30.0;35.0;111.0;29.0;82.0;19.0;7.0;12.0;26.0;7.0;19.0;167.0;12.0;155.0;26.0;8.0;18.0;5.0;1.0;4.0
193;2004 June;848;622;116;506;226;41;185;;622;116;506;21.0;5.0;16.0;73.0;4.0;69.0;70.0;36.0;34.0;151.0;30.0;121.0;19.0;7.0;12.0;28.0;4.0;24.0;227.0;19.0;208.0;31.0;9.0;22.0;2.0;2.0;0.0
194;2004 2nd Quarter;2331;1587;327;1260;744;182;562;;1587;327;1260;44.0;9.0;35.0;204.0;19.0;185.0;210.0;102.0;108.0;353.0;82.0;271.0;61.0;23.0;38.0;74.0;16.0;58.0;554.0;48.0;506.0;78.0;24.0;54.0;9.0;4.0;5.0
195;2004 July;745;535;121;414;210;63;147;;535;121;414;8.0;5.0;3.0;45.0;8.0;37.0;52.0;25.0;27.0;132.0;28.0;104.0;36.0;17.0;19.0;27.0;6.0;21.0;189.0;24.0;165.0;45.0;8.0;37.0;1.0;0.0;1.0
196;2004 August;752;569;118;451;183;39;144;;569;118;451;11.0;3.0;8.0;75.0;15.0;60.0;76.0;25.0;51.0;122.0;35.0;87.0;20.0;7.0;13.0;19.0;4.0;15.0;214.0;17.0;197.0;31.0;12.0;19.0;1.0;0.0;1.0
197;2004 September;833;576;128;448;257;44;213;;576;128;448;19.0;7.0;12.0;49.0;4.0;45.0;68.0;27.0;41.0;159.0;41.0;118.0;27.0;9.0;18.0;45.0;12.0;33.0;176.0;18.0;158.0;29.0;7.0;22.0;4.0;3.0;1.0
198;2004 3rd Quarter;2330;1680;367;1313;650;146;504;;1680;367;1313;38.0;15.0;23.0;169.0;27.0;142.0;196.0;77.0;119.0;413.0;104.0;309.0;83.0;33.0;50.0;91.0;22.0;69.0;579.0;59.0;520.0;105.0;27.0;78.0;6.0;3.0;3.0
199;2004 October;703;478;92;386;225;51;174;;478;92;386;13.0;6.0;7.0;59.0;4.0;55.0;60.0;22.0;38.0;118.0;24.0;94.0;24.0;8.0;16.0;39.0;4.0;35.0;147.0;17.0;130.0;16.0;5.0;11.0;2.0;2.0;0.0
200;2004 November;824;586;128;458;238;35;203;;586;128;458;18.0;7.0;11.0;61.0;9.0;52.0;93.0;36.0;57.0;155.0;31.0;124.0;23.0;15.0;8.0;28.0;4.0;24.0;176.0;13.0;163.0;29.0;10.0;19.0;3.0;3.0;0.0
201;2004 December;759;534;102;432;225;52;173;;534;102;432;19.0;6.0;13.0;46.0;3.0;43.0;72.0;34.0;38.0;122.0;25.0;97.0;26.0;6.0;20.0;32.0;7.0;25.0;191.0;17.0;174.0;25.0;4.0;21.0;1.0;0.0;1.0
202;2004 4th Quarter;2286;1598;322;1276;688;138;550;;1598;322;1276;50.0;19.0;31.0;166.0;16.0;150.0;225.0;92.0;133.0;395.0;80.0;315.0;73.0;29.0;44.0;99.0;15.0;84.0;514.0;47.0;467.0;70.0;19.0;51.0;6.0;5.0;1.0
203;2004;9349;6648;1381;5267;2701;616;2085;;6648;1381;5267;189.0;61.0;128.0;741.0;79.0;662.0;855.0;361.0;494.0;1562.0;370.0;1192.0;332.0;120.0;212.0;372.0;82.0;290.0;2239.0;205.0;2034.0;324.0;85.0;239.0;34.0;18.0;16.0
204;2005 January;797;546;136;410;251;43;208;;546;136;410;10.0;4.0;6.0;48.0;6.0;42.0;84.0;33.0;51.0;123.0;36.0;87.0;31.0;10.0;21.0;42.0;14.0;28.0;182.0;26.0;156.0;26.0;7.0;19.0;0.0;0.0;0.0
205;2005 February;840;578;118;460;262;26;236;;578;118;460;6.0;2.0;4.0;49.0;7.0;42.0;69.0;33.0;36.0;147.0;33.0;114.0;51.0;8.0;43.0;37.0;10.0;27.0;192.0;18.0;174.0;25.0;7.0;18.0;2.0;0.0;2.0
206;2005 March;988;667;162;505;321;49;272;;667;162;505;15.0;4.0;11.0;59.0;13.0;46.0;102.0;43.0;59.0;160.0;42.0;118.0;39.0;14.0;25.0;43.0;12.0;31.0;212.0;27.0;185.0;35.0;7.0;28.0;2.0;0.0;2.0
207;2005 1st Quarter;2625;1791;416;1375;834;118;716;;1791;416;1375;31.0;10.0;21.0;156.0;26.0;130.0;255.0;109.0;146.0;430.0;111.0;319.0;121.0;32.0;89.0;122.0;36.0;86.0;586.0;71.0;515.0;86.0;21.0;65.0;4.0;0.0;4.0
208;2005 April;819;528;110;418;291;33;258;;528;110;418;18.0;5.0;13.0;56.0;10.0;46.0;56.0;27.0;29.0;127.0;29.0;98.0;32.0;8.0;24.0;44.0;3.0;41.0;168.0;21.0;147.0;25.0;5.0;20.0;2.0;2.0;0.0
209;2005 May;831;532;138;394;299;39;260;;532;138;394;11.0;5.0;6.0;47.0;8.0;39.0;93.0;49.0;44.0;130.0;35.0;95.0;30.0;11.0;19.0;35.0;8.0;27.0;165.0;17.0;148.0;20.0;5.0;15.0;1.0;0.0;1.0
210;2005 June;904;612;177;435;292;45;247;;612;177;435;7.0;3.0;4.0;56.0;12.0;44.0;95.0;42.0;53.0;147.0;39.0;108.0;46.0;26.0;20.0;46.0;8.0;38.0;181.0;34.0;147.0;32.0;11.0;21.0;2.0;2.0;0.0
211;2005 2nd Quarter;2554;1672;425;1247;882;117;765;;1672;425;1247;36.0;13.0;23.0;159.0;30.0;129.0;244.0;118.0;126.0;404.0;103.0;301.0;108.0;45.0;63.0;125.0;19.0;106.0;514.0;72.0;442.0;77.0;21.0;56.0;5.0;4.0;1.0
212;2005 July;814;524;136;388;290;53;237;;524;136;388;15.0;4.0;11.0;50.0;9.0;41.0;63.0;32.0;31.0;128.0;34.0;94.0;31.0;11.0;20.0;41.0;6.0;35.0;162.0;28.0;134.0;31.0;9.0;22.0;3.0;3.0;0.0
213;2005 August;798;571;172;399;227;22;205;;571;172;399;14.0;5.0;9.0;53.0;11.0;42.0;69.0;38.0;31.0;139.0;45.0;94.0;31.0;13.0;18.0;46.0;9.0;37.0;171.0;34.0;137.0;32.0;8.0;24.0;15.0;9.0;6.0
214;2005 September;828;589;142;447;239;37;202;;589;142;447;7.0;6.0;1.0;79.0;3.0;76.0;74.0;32.0;42.0;129.0;37.0;92.0;40.0;16.0;24.0;30.0;9.0;21.0;198.0;23.0;175.0;25.0;10.0;15.0;7.0;6.0;1.0
215;2005 3rd Quarter;2440;1684;450;1234;756;112;644;;1684;450;1234;36.0;15.0;21.0;182.0;23.0;159.0;206.0;102.0;104.0;396.0;116.0;280.0;102.0;40.0;62.0;117.0;24.0;93.0;531.0;85.0;446.0;88.0;27.0;61.0;25.0;18.0;7.0
216;2005 October;789;517;135;382;272;72;200;;517;135;382;10.0;3.0;7.0;50.0;7.0;43.0;58.0;27.0;31.0;118.0;35.0;83.0;29.0;14.0;15.0;33.0;10.0;23.0;170.0;24.0;146.0;32.0;7.0;25.0;17.0;8.0;9.0
217;2005 November;930;625;142;483;305;46;259;;625;142;483;13.0;7.0;6.0;54.0;9.0;45.0;66.0;29.0;37.0;148.0;40.0;108.0;43.0;12.0;31.0;43.0;8.0;35.0;215.0;27.0;188.0;33.0;7.0;26.0;10.0;3.0;7.0
218;2005 December;744;491;129;362;253;27;226;;491;129;362;13.0;6.0;7.0;55.0;5.0;50.0;68.0;31.0;37.0;99.0;29.0;70.0;17.0;10.0;7.0;29.0;8.0;21.0;184.0;29.0;155.0;21.0;8.0;13.0;5.0;3.0;2.0
219;2005 4th Quarter;2463;1633;406;1227;830;145;685;;1633;406;1227;36.0;16.0;20.0;159.0;21.0;138.0;192.0;87.0;105.0;365.0;104.0;261.0;89.0;36.0;53.0;105.0;26.0;79.0;569.0;80.0;489.0;86.0;22.0;64.0;32.0;14.0;18.0
220;2005;10082;6780;1697;5083;3302;492;2810;;6780;1697;5083;139.0;54.0;85.0;656.0;100.0;556.0;897.0;416.0;481.0;1595.0;434.0;1161.0;420.0;153.0;267.0;469.0;105.0;364.0;2200.0;308.0;1892.0;337.0;91.0;246.0;66.0;36.0;30.0
221;2006 January;832;583;159;424;249;29;220;;583;159;424;18.0;9.0;9.0;50.0;5.0;45.0;63.0;30.0;33.0;141.0;41.0;100.0;53.0;27.0;26.0;42.0;9.0;33.0;191.0;29.0;162.0;23.0;8.0;15.0;2.0;1.0;1.0
222;2006 February;826;558;163;395;268;42;226;;558;163;395;9.0;4.0;5.0;46.0;11.0;35.0;56.0;32.0;24.0;140.0;43.0;97.0;47.0;24.0;23.0;46.0;9.0;37.0;175.0;28.0;147.0;36.0;11.0;25.0;3.0;1.0;2.0
223;2006 March;907;553;151;402;354;40;314;;553;151;402;9.0;3.0;6.0;47.0;7.0;40.0;69.0;27.0;42.0;131.0;40.0;91.0;49.0;24.0;25.0;41.0;15.0;26.0;175.0;23.0;152.0;30.0;11.0;19.0;2.0;1.0;1.0
224;2006 1st Quarter;2565;1694;473;1221;871;111;760;;1694;473;1221;36.0;16.0;20.0;143.0;23.0;120.0;188.0;89.0;99.0;412.0;124.0;288.0;149.0;75.0;74.0;129.0;33.0;96.0;541.0;80.0;461.0;89.0;30.0;59.0;7.0;3.0;4.0
225;2006 April;776;512;147;365;264;31;233;;512;147;365;16.0;7.0;9.0;43.0;4.0;39.0;53.0;32.0;21.0;146.0;48.0;98.0;44.0;18.0;26.0;29.0;11.0;18.0;154.0;18.0;136.0;23.0;7.0;16.0;4.0;2.0;2.0
226;2006 May;835;522;135;387;313;30;283;;522;135;387;12.0;4.0;8.0;52.0;9.0;43.0;71.0;34.0;37.0;125.0;31.0;94.0;48.0;22.0;26.0;29.0;10.0;19.0;165.0;21.0;144.0;19.0;3.0;16.0;1.0;1.0;0.0
227;2006 June;715;471;125;346;244;36;208;;471;125;346;12.0;9.0;3.0;48.0;4.0;44.0;60.0;27.0;33.0;117.0;35.0;82.0;51.0;25.0;26.0;25.0;6.0;19.0;139.0;17.0;122.0;19.0;2.0;17.0;0.0;0.0;0.0
228;2006 2nd Quarter;2326;1505;407;1098;821;97;724;;1505;407;1098;40.0;20.0;20.0;143.0;17.0;126.0;184.0;93.0;91.0;388.0;114.0;274.0;143.0;65.0;78.0;83.0;27.0;56.0;458.0;56.0;402.0;61.0;12.0;49.0;5.0;3.0;2.0
229;2006 July;729;462;137;325;267;36;231;;462;137;325;4.0;4.0;0.0;36.0;4.0;32.0;74.0;26.0;48.0;90.0;29.0;61.0;47.0;28.0;19.0;38.0;10.0;28.0;146.0;27.0;119.0;21.0;5.0;16.0;6.0;4.0;2.0
230;2006 August;733;515;167;348;218;33;185;;515;167;348;12.0;7.0;5.0;39.0;4.0;35.0;96.0;45.0;51.0;110.0;38.0;72.0;44.0;27.0;17.0;29.0;5.0;24.0;149.0;27.0;122.0;31.0;12.0;19.0;3.0;2.0;1.0
231;2006 September;736;445;136;309;291;20;271;;445;136;309;16.0;10.0;6.0;34.0;6.0;28.0;70.0;27.0;43.0;104.0;33.0;71.0;33.0;15.0;18.0;33.0;9.0;24.0;115.0;22.0;93.0;32.0;8.0;24.0;8.0;6.0;2.0
232;2006 3rd Quarter;2198;1422;440;982;776;89;687;;1422;440;982;32.0;21.0;11.0;109.0;14.0;95.0;240.0;98.0;142.0;304.0;100.0;204.0;124.0;70.0;54.0;100.0;24.0;76.0;410.0;76.0;334.0;84.0;25.0;59.0;17.0;12.0;5.0
233;2006 October;712;455;132;323;257;19;238;;455;132;323;12.0;10.0;2.0;37.0;9.0;28.0;56.0;22.0;34.0;110.0;32.0;78.0;47.0;24.0;23.0;32.0;10.0;22.0;132.0;16.0;116.0;20.0;4.0;16.0;9.0;5.0;4.0
234;2006 November;711;457;135;322;254;30;224;;457;135;322;9.0;5.0;4.0;37.0;7.0;30.0;65.0;21.0;44.0;112.0;33.0;79.0;41.0;24.0;17.0;24.0;9.0;15.0;141.0;26.0;115.0;27.0;9.0;18.0;1.0;1.0;0.0
235;2006 December;667;408;126;282;259;22;237;;408;126;282;12.0;6.0;6.0;34.0;8.0;26.0;33.0;10.0;23.0;95.0;38.0;57.0;36.0;21.0;15.0;28.0;9.0;19.0;138.0;21.0;117.0;26.0;8.0;18.0;6.0;5.0;1.0
236;2006 4th Quarter;2090;1320;393;927;770;71;699;;1320;393;927;33.0;21.0;12.0;108.0;24.0;84.0;154.0;53.0;101.0;317.0;103.0;214.0;124.0;69.0;55.0;84.0;28.0;56.0;411.0;63.0;348.0;73.0;21.0;52.0;16.0;11.0;5.0
237;2006;9179;5941;1713;4228;3238;368;2870;;5941;1713;4228;141.0;78.0;63.0;503.0;78.0;425.0;766.0;333.0;433.0;1421.0;441.0;980.0;540.0;279.0;261.0;396.0;112.0;284.0;1820.0;275.0;1545.0;307.0;88.0;219.0;45.0;29.0;16.0
238;2007 January;799;472;89;383;327;26;301;;472;89;383;5.0;3.0;2.0;55.0;2.0;53.0;47.0;17.0;30.0;120.0;21.0;99.0;46.0;22.0;24.0;21.0;2.0;19.0;152.0;18.0;134.0;24.0;4.0;20.0;2.0;0.0;2.0
239;2007 February;661;343;75;268;318;22;296;;343;75;268;7.0;1.0;6.0;37.0;6.0;31.0;48.0;14.0;34.0;81.0;15.0;66.0;24.0;16.0;8.0;17.0;8.0;9.0;105.0;10.0;95.0;24.0;5.0;19.0;0.0;0.0;0.0
240;2007 March;692;349;76;273;343;27;314;;349;76;273;11.0;2.0;9.0;26.0;6.0;20.0;66.0;23.0;43.0;84.0;17.0;67.0;17.0;10.0;7.0;13.0;4.0;9.0;111.0;11.0;98.0;21.0;3.0;18.0;1.0;0.0;1.0
241;2007 1st Quarter;2152;1164;240;924;988;75;911;;1164;240;924;23.0;6.0;17.0;118.0;14.0;104.0;161.0;54.0;107.0;285.0;53.0;232.0;87.0;48.0;39.0;51.0;14.0;37.0;368.0;39.0;327.0;69.0;12.0;57.0;3.0;0.0;3.0
242;2007 April;649;364;76;288;285;22;260;;364;76;288;6.0;1.0;5.0;39.0;2.0;36.0;54.0;17.0;37.0;88.0;25.0;62.0;22.0;13.0;9.0;27.0;4.0;23.0;114.0;13.0;100.0;17.0;1.0;16.0;0.0;0.0;0.0
243;2007 May;729;432;106;326;297;30;266;;432;106;326;5.0;2.0;3.0;43.0;9.0;34.0;51.0;19.0;31.0;110.0;25.0;85.0;30.0;14.0;16.0;21.0;6.0;15.0;138.0;22.0;116.0;35.0;9.0;26.0;0.0;0.0;0.0
244;2007 June;622;331;79;252;291;26;262;;331;79;252;5.0;3.0;2.0;26.0;6.0;20.0;42.0;20.0;21.0;93.0;21.0;71.0;25.0;8.0;16.0;20.0;7.0;13.0;99.0;11.0;88.0;23.0;2.0;21.0;1.0;1.0;0.0
245;2007 2nd Quarter;2000;1127;261;866;873;78;788;;1127;261;866;16.0;6.0;10.0;108.0;17.0;90.0;147.0;56.0;89.0;291.0;71.0;218.0;77.0;35.0;41.0;68.0;17.0;51.0;351.0;46.0;304.0;75.0;12.0;63.0;1.0;1.0;0.0
246;2007 July;671;378;70;308;293;26;266;;378;70;308;3.0;0.0;3.0;31.0;4.0;27.0;49.0;25.0;24.0;110.0;22.0;88.0;18.0;10.0;8.0;19.0;1.0;18.0;120.0;5.0;114.0;28.0;3.0;25.0;0.0;0.0;0.0
247;2007 August;635;400;92;308;235;25;210;;400;92;308;7.0;2.0;5.0;29.0;2.0;27.0;65.0;28.0;37.0;103.0;23.0;80.0;24.0;11.0;13.0;24.0;4.0;20.0;122.0;18.0;104.0;26.0;4.0;22.0;0.0;0.0;0.0
248;2007 September;648;401;82;319;247;26;221;;401;82;319;4.0;2.0;2.0;41.0;2.0;39.0;59.0;17.0;42.0;87.0;22.0;65.0;24.0;10.0;14.0;28.0;7.0;21.0;137.0;18.0;119.0;19.0;2.0;17.0;2.0;2.0;0.0
249;2007 3rd Quarter;1954;1179;244;935;775;77;697;;1179;244;935;14.0;4.0;10.0;101.0;8.0;93.0;173.0;70.0;103.0;300.0;67.0;233.0;66.0;31.0;35.0;71.0;12.0;59.0;379.0;41.0;337.0;73.0;9.0;64.0;2.0;2.0;0.0
250;2007 October;744;442;106;336;302;25;277;;442;106;336;16.0;1.0;15.0;54.0;6.0;48.0;46.0;26.0;20.0;118.0;29.0;89.0;28.0;14.0;14.0;19.0;5.0;14.0;134.0;17.0;117.0;24.0;6.0;18.0;2.0;2.0;0.0
251;2007 November;624;378;80;298;246;21;225;;378;80;298;6.0;2.0;4.0;50.0;5.0;45.0;48.0;22.0;26.0;84.0;21.0;63.0;19.0;8.0;11.0;16.0;3.0;13.0;131.0;15.0;116.0;24.0;4.0;20.0;0.0;0.0;0.0
252;2007 December;476;312;82;230;164;19;144;;312;82;230;8.0;1.0;7.0;30.0;5.0;25.0;42.0;21.0;21.0;88.0;23.0;64.0;22.0;14.0;8.0;15.0;4.0;11.0;87.0;7.0;80.0;19.0;6.0;13.0;2.0;1.0;1.0
253;2007 4th Quarter;1844;1132;268;864;712;65;646;;1132;268;864;30.0;4.0;26.0;134.0;16.0;118.0;136.0;69.0;67.0;290.0;73.0;216.0;69.0;36.0;33.0;50.0;12.0;38.0;352.0;39.0;313.0;67.0;16.0;51.0;4.0;3.0;1.0
254;2007;7950;4602;1013;3589;3348;295;3042;;4602;1013;3589;83.0;20.0;63.0;461.0;55.0;405.0;617.0;249.0;366.0;1166.0;264.0;899.0;299.0;150.0;148.0;240.0;55.0;185.0;1450.0;165.0;1281.0;284.0;49.0;235.0;10.0;6.0;4.0
255;2008 January;710;383;92;291;327;34;291;;383;92;291;4.0;2.0;2.0;35.0;8.0;27.0;56.0;18.0;37.0;104.0;23.0;80.0;26.0;13.0;13.0;24.0;7.0;17.0;111.0;15.0;96.0;23.0;5.0;18.0;2.0;1.0;1.0
256;2008 February;515;349;54;295;166;17;148;;349;54;295;12.0;1.0;11.0;27.0;0.0;27.0;43.0;19.0;24.0;94.0;15.0;79.0;14.0;4.0;10.0;12.0;3.0;8.0;118.0;10.0;108.0;28.0;2.0;26.0;0.0;0.0;0.0
257;2008 March;461;317;58;259;144;17;125;;317;58;259;9.0;1.0;8.0;21.0;3.0;18.0;50.0;19.0;31.0;86.0;20.0;64.0;16.0;7.0;9.0;13.0;1.0;12.0;100.0;6.0;94.0;23.0;1.0;22.0;0.0;0.0;0.0
258;2008 1st Quarter;1686;1049;204;845;637;68;564;;1049;204;845;25.0;4.0;21.0;83.0;11.0;72.0;149.0;56.0;92.0;284.0;58.0;223.0;56.0;24.0;32.0;49.0;11.0;37.0;329.0;31.0;298.0;74.0;8.0;66.0;2.0;1.0;1.0
259;2008 April;590;404;87;317;186;22;162;;404;87;317;5.0;1.0;4.0;39.0;2.0;37.0;74.0;25.0;48.0;92.0;25.0;67.0;21.0;9.0;12.0;25.0;4.0;21.0;113.0;18.0;95.0;35.0;3.0;32.0;1.0;0.0;1.0
260;2008 May;415;285;57;228;130;12;116;;285;57;228;5.0;2.0;3.0;24.0;5.0;19.0;34.0;17.0;17.0;70.0;19.0;51.0;16.0;3.0;12.0;33.0;4.0;29.0;89.0;5.0;83.0;16.0;2.0;14.0;0.0;0.0;0.0
261;2008 June;554;378;58;320;176;32;142;;378;58;320;4.0;0.0;4.0;38.0;5.0;33.0;34.0;16.0;18.0;99.0;21.0;77.0;23.0;10.0;13.0;20.0;0.0;20.0;136.0;5.0;130.0;24.0;1.0;23.0;2.0;0.0;2.0
262;2008 2nd Quarter;1559;1067;202;865;492;66;420;;1067;202;865;14.0;3.0;11.0;101.0;12.0;89.0;142.0;58.0;83.0;261.0;65.0;195.0;60.0;22.0;37.0;78.0;8.0;70.0;338.0;28.0;308.0;75.0;6.0;69.0;3.0;0.0;3.0
263;2008 July;585;382;70;312;203;35;167;;382;70;312;6.0;3.0;3.0;30.0;3.0;27.0;51.0;20.0;31.0;96.0;11.0;85.0;29.0;11.0;18.0;18.0;4.0;14.0;133.0;16.0;116.0;20.0;2.0;18.0;0.0;0.0;0.0
264;2008 August;513;349;60;289;164;30;134;;349;60;289;10.0;4.0;6.0;31.0;3.0;28.0;45.0;22.0;23.0;110.0;16.0;94.0;17.0;5.0;12.0;19.0;2.0;17.0;97.0;7.0;90.0;20.0;1.0;19.0;0.0;0.0;0.0
265;2008 September;591;415;74;341;176;34;138;;415;74;341;8.0;2.0;5.0;39.0;4.0;35.0;60.0;14.0;46.0;122.0;27.0;94.0;24.0;9.0;15.0;24.0;3.0;21.0;114.0;11.0;101.0;27.0;4.0;23.0;1.0;0.0;1.0
266;2008 3rd Quarter;1689;1146;204;942;543;99;439;;1146;204;942;24.0;9.0;14.0;100.0;10.0;90.0;156.0;56.0;100.0;328.0;54.0;273.0;70.0;25.0;45.0;61.0;9.0;52.0;344.0;34.0;307.0;67.0;7.0;60.0;1.0;0.0;1.0
267;2008 October;561;406;65;341;155;19;134;;406;65;341;9.0;2.0;7.0;33.0;3.0;30.0;55.0;18.0;37.0;101.0;17.0;84.0;18.0;5.0;13.0;26.0;5.0;21.0;139.0;8.0;131.0;24.0;7.0;17.0;1.0;0.0;1.0
268;2008 November;684;489;62;427;195;27;167;;489;62;427;8.0;1.0;7.0;57.0;7.0;50.0;66.0;20.0;46.0;112.0;14.0;98.0;22.0;6.0;16.0;31.0;3.0;28.0;169.0;7.0;161.0;25.0;4.0;21.0;0.0;0.0;0.0
269;2008 December;668;478;58;420;190;23;161;;478;58;420;9.0;2.0;7.0;49.0;5.0;44.0;63.0;15.0;47.0;130.0;18.0;112.0;8.0;3.0;5.0;33.0;1.0;31.0;165.0;11.0;153.0;26.0;3.0;21.0;0.0;0.0;0.0
270;2008 4th Quarter;1913;1373;185;1188;540;69;462;;1373;185;1188;26.0;5.0;21.0;139.0;15.0;124.0;184.0;53.0;130.0;343.0;49.0;294.0;48.0;14.0;34.0;90.0;9.0;80.0;473.0;26.0;445.0;75.0;14.0;59.0;1.0;0.0;1.0
271;2008;6847;4635;795;3840;2212;302;1885;;4635;795;3840;89.0;21.0;67.0;423.0;48.0;375.0;631.0;223.0;405.0;1216.0;226.0;985.0;234.0;85.0;148.0;278.0;37.0;239.0;1484.0;119.0;1358.0;291.0;35.0;254.0;7.0;1.0;6.0
272;2009 January;795;566;99;467;229;41;186;;566;99;467;8.0;3.0;5.0;74.0;9.0;65.0;78.0;33.0;45.0;136.0;18.0;118.0;26.0;9.0;17.0;27.0;4.0;23.0;171.0;14.0;157.0;46.0;9.0;37.0;0.0;0.0;0.0
273;2009 February;776;607;63;544;169;29;136;;607;63;544;7.0;3.0;4.0;74.0;6.0;68.0;71.0;15.0;56.0;162.0;23.0;139.0;22.0;3.0;19.0;37.0;2.0;35.0;202.0;7.0;195.0;36.0;4.0;28.0;0.0;0.0;0.0
274;2009 March;1043;765;90;675;278;48;224;;765;90;675;6.0;2.0;4.0;115.0;10.0;105.0;89.0;24.0;65.0;186.0;24.0;162.0;34.0;12.0;22.0;65.0;5.0;60.0;228.0;11.0;216.0;48.0;2.0;41.0;0.0;0.0;0.0
275;2009 1st Quarter;2614;1938;252;1686;676;118;546;;1938;252;1686;21.0;8.0;13.0;263.0;25.0;238.0;238.0;72.0;166.0;484.0;65.0;419.0;82.0;24.0;58.0;129.0;11.0;118.0;601.0;32.0;568.0;130.0;15.0;106.0;0.0;0.0;0.0
276;2009 April;964;727;85;642;237;55;178;;727;85;642;8.0;4.0;4.0;67.0;4.0;62.0;87.0;34.0;53.0;245.0;23.0;221.0;25.0;7.0;18.0;32.0;3.0;29.0;230.0;7.0;222.0;36.0;3.0;32.0;0.0;0.0;0.0
277;2009 May;762;586;85;501;176;23;153;;586;85;501;15.0;2.0;13.0;50.0;3.0;47.0;76.0;30.0;46.0;145.0;21.0;124.0;20.0;2.0;18.0;30.0;8.0;22.0;226.0;15.0;211.0;23.0;4.0;19.0;0.0;0.0;0.0
278;2009 June;1030;798;99;699;232;45;181;;798;99;699;12.0;1.0;11.0;113.0;10.0;103.0;83.0;33.0;50.0;175.0;27.0;147.0;35.0;10.0;25.0;50.0;4.0;46.0;281.0;11.0;268.0;54.0;3.0;48.0;0.0;0.0;0.0
279;2009 2nd Quarter;2756;2111;269;1842;645;123;512;;2111;269;1842;35.0;7.0;28.0;230.0;17.0;212.0;246.0;97.0;149.0;565.0;71.0;492.0;80.0;19.0;61.0;112.0;15.0;97.0;737.0;33.0;701.0;113.0;10.0;99.0;0.0;0.0;0.0
280;2009 July;939;742;92;650;197;27;163;;742;92;650;12.0;2.0;10.0;68.0;4.0;64.0;85.0;24.0;59.0;164.0;26.0;138.0;40.0;10.0;28.0;39.0;4.0;34.0;306.0;16.0;288.0;33.0;6.0;27.0;0.0;0.0;0.0
281;2009 August;779;590;72;518;189;52;137;;590;72;518;12.0;1.0;11.0;72.0;12.0;60.0;56.0;14.0;42.0;125.0;25.0;100.0;24.0;5.0;19.0;48.0;5.0;43.0;216.0;7.0;209.0;36.0;3.0;33.0;0.0;0.0;0.0
282;2009 September;918;721;88;633;197;52;145;;721;88;633;16.0;2.0;14.0;77.0;8.0;69.0;93.0;30.0;63.0;156.0;23.0;133.0;14.0;2.0;12.0;47.0;9.0;38.0;280.0;10.0;270.0;38.0;4.0;34.0;0.0;0.0;0.0
