ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
4655;Total sales;1051 Dairy and cheese products;2018 June;93.8;1.7;
4656;Total sales;1051 Dairy and cheese products;2018 July;94.4;0.7;
4657;Total sales;1051 Dairy and cheese products;2018 August;94.3;-0.1;
4658;Total sales;1051 Dairy and cheese products;2018 September;94.9;0.6;
4659;Total sales;1051 Dairy and cheese products;2018 October;94.3;-0.6;
4660;Total sales;1051 Dairy and cheese products;2018 November;94.0;-0.3;
4661;Total sales;1051 Dairy and cheese products;2018 December;93.4;-0.6;
4662;Total sales;1051 Dairy and cheese products;2018;93.7;;
4663;Total sales;1051 Dairy and cheese products;2019 January;95.5;2.2;2.1
4664;Total sales;1051 Dairy and cheese products;2019 February;96.1;0.6;2.9
4665;Total sales;1051 Dairy and cheese products;2019 March;96.0;-0.1;2.5
4666;Total sales;1051 Dairy and cheese products;2019 April;96.9;0.9;4.8
4667;Total sales;1051 Dairy and cheese products;2019 May;96.7;-0.2;4.9
4668;Total sales;1051 Dairy and cheese products;2019 June;97.0;0.3;3.5
4669;Total sales;1051 Dairy and cheese products;2019 July;95.8;-1.3;1.4
4670;Total sales;1051 Dairy and cheese products;2019 August;94.9;-0.9;0.6
4671;Total sales;1051 Dairy and cheese products;2019 September;94.5;-0.4;-0.4
4672;Total sales;1051 Dairy and cheese products;2019 October;94.2;-0.3;-0.1
4673;Total sales;1051 Dairy and cheese products;2019 November;94.3;0.1;0.3
4674;Total sales;1051 Dairy and cheese products;2019 December;94.2;-0.1;0.8
4675;Total sales;1051 Dairy and cheese products;2019;95.5;;1.9
4676;Total sales;1051 Dairy and cheese products;2020 January;95.3;1.2;-0.3
4677;Total sales;1051 Dairy and cheese products;2020 February;95.9;0.7;-0.2
4678;Total sales;1051 Dairy and cheese products;2020 March;96.3;0.4;0.3
4679;Total sales;1051 Dairy and cheese products;2020 April;95.4;-1.0;-1.6
4680;Total sales;1051 Dairy and cheese products;2020 May;94.7;-0.7;-2.1
4681;Total sales;1051 Dairy and cheese products;2020 June;94.7;0.0;-2.4
4682;Total sales;1051 Dairy and cheese products;2020 July;95.0;0.3;-0.9
4683;Total sales;1051 Dairy and cheese products;2020 August;93.4;-1.6;-1.6
4684;Total sales;1051 Dairy and cheese products;2020 September;93.6;0.2;-0.9
4685;Total sales;1051 Dairy and cheese products;2020 October;93.5;-0.2;-0.8
4686;Total sales;1051 Dairy and cheese products;2020 November;94.8;1.4;0.6
4687;Total sales;1051 Dairy and cheese products;2020 December;94.9;0.0;0.7
4688;Total sales;1051 Dairy and cheese products;2020;94.8;;-0.8
4689;Total sales;1051 Dairy and cheese products;2021 January;94.8;-0.1;-0.5
4690;Total sales;1051 Dairy and cheese products;2021 February;96.2;1.5;0.3
4691;Total sales;1051 Dairy and cheese products;2021 March;97.9;1.7;1.6
4692;Total sales;1051 Dairy and cheese products;2021 April;99.7;1.9;4.6
4693;Total sales;1051 Dairy and cheese products;2021 May;100.0;0.3;5.7
4694;Total sales;1051 Dairy and cheese products;2021 June;99.9;-0.2;5.5
4695;Total sales;1051 Dairy and cheese products;2021 July;100.1;0.2;5.4
4696;Total sales;1051 Dairy and cheese products;2021 August;99.9;-0.2;7.0
4697;Total sales;1051 Dairy and cheese products;2021 September;101.3;1.4;8.2
4698;Total sales;1051 Dairy and cheese products;2021 October;102.7;1.4;9.9
4699;Total sales;1051 Dairy and cheese products;2021 November;103.4;0.6;9.0
4700;Total sales;1051 Dairy and cheese products;2021 December;103.9;0.5;9.5
4701;Total sales;1051 Dairy and cheese products;2021;100.0;;5.5
4702;Total sales;1051 Dairy and cheese products;2022 January;109.4;5.2;15.4
4703;Total sales;1051 Dairy and cheese products;2022 February;109.7;0.3;14.0
4704;Total sales;1051 Dairy and cheese products;2022 March;114.4;4.3;16.9
4705;Total sales;1051 Dairy and cheese products;2022 April;116.9;2.1;17.2
4706;Total sales;1051 Dairy and cheese products;2022 May;118.4;1.3;18.3
4707;Total sales;1051 Dairy and cheese products;2022 June;118.6;0.2;18.8
4708;Total sales;1051 Dairy and cheese products;2022 July;122.4;3.2;22.2
4709;Total sales;1051 Dairy and cheese products;2022 August;122.6;0.2;22.7
4710;Total sales;1051 Dairy and cheese products;2022 September;123.3;0.6;21.7
4711;Total sales;1051 Dairy and cheese products;2022 October;123.3;0.0;20.0
4712;Total sales;1051 Dairy and cheese products;2022 November;121.6;-1.4;17.6
4713;Total sales;1051 Dairy and cheese products;2022 December;120.2;-1.1;15.7
4714;Total sales;1051 Dairy and cheese products;2022;118.4;;18.4
4715;Total sales;1051 Dairy and cheese products;2023 January;119.1;-0.9;8.9
4716;Total sales;1051 Dairy and cheese products;2023 February;116.3;-2.4;5.9
4717;Total sales;1051 Dairy and cheese products;2023 March;117.0;0.6;2.2
4718;Total sales;1051 Dairy and cheese products;2023 April;115.3;-1.4;-1.4
4719;Total sales;1051 Dairy and cheese products;2023 May;113.9;-1.2;-3.7
4720;Total sales;1051 Dairy and cheese products;2023 June;113.9;0.0;-4.0
4721;Total sales;1051 Dairy and cheese products;2023 July;112.2;-1.5;-8.3
4722;Total sales;1051 Dairy and cheese products;2023 August;112.4;0.2;-8.3
4723;Total sales;1051 Dairy and cheese products;2023 September;111.7;-0.7;-9.5
4724;Total sales;1051 Dairy and cheese products;2023 October;113.3;1.4;-8.1
4725;Total sales;1051 Dairy and cheese products;2023 November;113.6;0.3;-6.6
4726;Total sales;1051 Dairy and cheese products;2023 December;113.4;-0.1;-5.6
4727;Total sales;1051 Dairy and cheese products;2023;114.3;;-3.4
4728;Total sales;1051 Dairy and cheese products;2024 January;113.4;0.0;-4.8
4729;Total sales;1051 Dairy and cheese products;2024 February;113.3;-0.1;-2.6
4730;Total sales;1051 Dairy and cheese products;2024 March;112.6;-0.6;-3.7
4731;Total sales;1051 Dairy and cheese products;2024 April;111.9;-0.6;-2.9
4732;Total sales;1051 Dairy and cheese products;2024 May;111.8;-0.1;-1.9
4733;Total sales;1051 Dairy and cheese products;2024 June;111.9;0.1;-1.7
4734;Total sales;1051 Dairy and cheese products;2024 July;113.1;1.0;0.7
4735;Total sales;1051 Dairy and cheese products;2024 August;113.2;0.2;0.7
4736;Total sales;1051 Dairy and cheese products;2024 September;114.6;1.2;2.7
4737;Total sales;1051 Dairy and cheese products;2024 October;116.3;1.5;2.7
4738;Total sales;1051 Dairy and cheese products;2024 November;117.4;0.9;3.4
4739;Total sales;1051 Dairy and cheese products;2024 December;117.6;0.1;3.7
4740;Total sales;1051 Dairy and cheese products;2024;113.9;;-0.4
4741;Total sales;1051 Dairy and cheese products;2025 January;118.8;1.0;4.7
4742;Total sales;1051 Dairy and cheese products;2025 February;119.6;0.7;5.6
4743;Total sales;10511 Processed liquid milk and cream;2018 January;99.5;;
4744;Total sales;10511 Processed liquid milk and cream;2018 February;99.1;-0.4;
4745;Total sales;10511 Processed liquid milk and cream;2018 March;100.1;1.0;
4746;Total sales;10511 Processed liquid milk and cream;2018 April;97.1;-2.9;
4747;Total sales;10511 Processed liquid milk and cream;2018 May;97.8;0.6;
4748;Total sales;10511 Processed liquid milk and cream;2018 June;98.5;0.8;
4749;Total sales;10511 Processed liquid milk and cream;2018 July;98.4;-0.1;
4750;Total sales;10511 Processed liquid milk and cream;2018 August;98.2;-0.3;
4751;Total sales;10511 Processed liquid milk and cream;2018 September;98.3;0.1;
4752;Total sales;10511 Processed liquid milk and cream;2018 October;95.8;-2.5;
4753;Total sales;10511 Processed liquid milk and cream;2018 November;95.4;-0.4;
4754;Total sales;10511 Processed liquid milk and cream;2018 December;93.7;-1.8;
4755;Total sales;10511 Processed liquid milk and cream;2018;97.7;;
4756;Total sales;10511 Processed liquid milk and cream;2019 January;97.9;4.5;-1.6
4757;Total sales;10511 Processed liquid milk and cream;2019 February;98.0;0.1;-1.1
4758;Total sales;10511 Processed liquid milk and cream;2019 March;98.2;0.2;-1.9
4759;Total sales;10511 Processed liquid milk and cream;2019 April;99.3;1.1;2.2
4760;Total sales;10511 Processed liquid milk and cream;2019 May;99.3;0.0;1.5
4761;Total sales;10511 Processed liquid milk and cream;2019 June;99.1;-0.1;0.6
4762;Total sales;10511 Processed liquid milk and cream;2019 July;98.0;-1.2;-0.4
4763;Total sales;10511 Processed liquid milk and cream;2019 August;98.1;0.1;-0.1
4764;Total sales;10511 Processed liquid milk and cream;2019 September;98.2;0.1;-0.1
4765;Total sales;10511 Processed liquid milk and cream;2019 October;96.9;-1.4;1.0
4766;Total sales;10511 Processed liquid milk and cream;2019 November;96.9;0.0;1.5
4767;Total sales;10511 Processed liquid milk and cream;2019 December;97.0;0.1;3.5
4768;Total sales;10511 Processed liquid milk and cream;2019;98.1;;0.4
4769;Total sales;10511 Processed liquid milk and cream;2020 January;98.9;2.0;1.0
4770;Total sales;10511 Processed liquid milk and cream;2020 February;98.6;-0.3;0.6
4771;Total sales;10511 Processed liquid milk and cream;2020 March;98.5;-0.1;0.3
4772;Total sales;10511 Processed liquid milk and cream;2020 April;97.2;-1.3;-2.0
4773;Total sales;10511 Processed liquid milk and cream;2020 May;96.9;-0.4;-2.4
4774;Total sales;10511 Processed liquid milk and cream;2020 June;97.3;0.4;-1.9
4775;Total sales;10511 Processed liquid milk and cream;2020 July;97.1;-0.1;-0.9
4776;Total sales;10511 Processed liquid milk and cream;2020 August;96.3;-0.8;-1.8
4777;Total sales;10511 Processed liquid milk and cream;2020 September;95.7;-0.6;-2.5
4778;Total sales;10511 Processed liquid milk and cream;2020 October;95.7;0.0;-1.2
4779;Total sales;10511 Processed liquid milk and cream;2020 November;96.0;0.4;-0.9
4780;Total sales;10511 Processed liquid milk and cream;2020 December;96.0;0.0;-1.0
4781;Total sales;10511 Processed liquid milk and cream;2020;97.0;;-1.1
4782;Total sales;10511 Processed liquid milk and cream;2021 January;95.8;-0.2;-3.2
4783;Total sales;10511 Processed liquid milk and cream;2021 February;96.7;1.0;-1.9
4784;Total sales;10511 Processed liquid milk and cream;2021 March;98.2;1.5;-0.3
4785;Total sales;10511 Processed liquid milk and cream;2021 April;100.0;1.8;2.8
4786;Total sales;10511 Processed liquid milk and cream;2021 May;99.4;-0.5;2.7
4787;Total sales;10511 Processed liquid milk and cream;2021 June;98.8;-0.6;1.6
4788;Total sales;10511 Processed liquid milk and cream;2021 July;100.4;1.6;3.3
4789;Total sales;10511 Processed liquid milk and cream;2021 August;100.5;0.1;4.4
4790;Total sales;10511 Processed liquid milk and cream;2021 September;101.4;0.9;5.9
4791;Total sales;10511 Processed liquid milk and cream;2021 October;102.7;1.3;7.3
4792;Total sales;10511 Processed liquid milk and cream;2021 November;103.2;0.5;7.5
4793;Total sales;10511 Processed liquid milk and cream;2021 December;102.9;-0.4;7.1
4794;Total sales;10511 Processed liquid milk and cream;2021;100.0;;3.1
4795;Total sales;10511 Processed liquid milk and cream;2022 January;107.2;4.2;11.9
4796;Total sales;10511 Processed liquid milk and cream;2022 February;109.9;2.6;13.6
4797;Total sales;10511 Processed liquid milk and cream;2022 March;113.1;2.9;15.2
4798;Total sales;10511 Processed liquid milk and cream;2022 April;116.0;2.5;16.0
4799;Total sales;10511 Processed liquid milk and cream;2022 May;115.9;-0.1;16.6
4800;Total sales;10511 Processed liquid milk and cream;2022 June;116.4;0.4;17.8
4801;Total sales;10511 Processed liquid milk and cream;2022 July;117.9;1.3;17.5
4802;Total sales;10511 Processed liquid milk and cream;2022 August;118.1;0.2;17.6
4803;Total sales;10511 Processed liquid milk and cream;2022 September;118.6;0.4;17.0
4804;Total sales;10511 Processed liquid milk and cream;2022 October;119.2;0.5;16.1
4805;Total sales;10511 Processed liquid milk and cream;2022 November;118.5;-0.5;14.8
4806;Total sales;10511 Processed liquid milk and cream;2022 December;117.9;-0.5;14.6
4807;Total sales;10511 Processed liquid milk and cream;2022;115.7;;15.7
4808;Total sales;10511 Processed liquid milk and cream;2023 January;118.8;0.7;10.8
4809;Total sales;10511 Processed liquid milk and cream;2023 February;117.7;-0.9;7.1
4810;Total sales;10511 Processed liquid milk and cream;2023 March;117.0;-0.6;3.4
4811;Total sales;10511 Processed liquid milk and cream;2023 April;116.6;-0.4;0.5
4812;Total sales;10511 Processed liquid milk and cream;2023 May;116.6;0.0;0.6
4813;Total sales;10511 Processed liquid milk and cream;2023 June;116.0;-0.5;-0.3
4814;Total sales;10511 Processed liquid milk and cream;2023 July;115.6;-0.4;-2.0
4815;Total sales;10511 Processed liquid milk and cream;2023 August;115.2;-0.3;-2.5
4816;Total sales;10511 Processed liquid milk and cream;2023 September;114.8;-0.4;-3.2
4817;Total sales;10511 Processed liquid milk and cream;2023 October;112.6;-1.9;-5.5
4818;Total sales;10511 Processed liquid milk and cream;2023 November;113.0;0.3;-4.7
4819;Total sales;10511 Processed liquid milk and cream;2023 December;110.2;-2.5;-6.6
4820;Total sales;10511 Processed liquid milk and cream;2023;115.3;;-0.3
4821;Total sales;10511 Processed liquid milk and cream;2024 January;112.8;2.4;-5.0
4822;Total sales;10511 Processed liquid milk and cream;2024 February;114.7;1.7;-2.6
4823;Total sales;10511 Processed liquid milk and cream;2024 March;114.9;0.2;-1.8
4824;Total sales;10511 Processed liquid milk and cream;2024 April;115.7;0.7;-0.7
4825;Total sales;10511 Processed liquid milk and cream;2024 May;115.8;0.1;-0.6
4826;Total sales;10511 Processed liquid milk and cream;2024 June;116.4;0.5;0.3
4827;Total sales;10511 Processed liquid milk and cream;2024 July;117.7;1.2;1.9
4828;Total sales;10511 Processed liquid milk and cream;2024 August;118.1;0.3;2.5
4829;Total sales;10511 Processed liquid milk and cream;2024 September;119.4;1.2;4.0
4830;Total sales;10511 Processed liquid milk and cream;2024 October;122.4;2.5;8.7
4831;Total sales;10511 Processed liquid milk and cream;2024 November;122.5;0.1;8.4
4832;Total sales;10511 Processed liquid milk and cream;2024 December;122.7;0.2;11.4
4833;Total sales;10511 Processed liquid milk and cream;2024;117.8;;2.1
4834;Total sales;10511 Processed liquid milk and cream;2025 January;123.6;0.7;9.5
4835;Total sales;10511 Processed liquid milk and cream;2025 February;123.4;-0.2;7.6
4836;Total sales;10512 Milk in solid forms;2018 January;70.3;;
4837;Total sales;10512 Milk in solid forms;2018 February;71.0;1.0;
4838;Total sales;10512 Milk in solid forms;2018 March;68.5;-3.6;
4839;Total sales;10512 Milk in solid forms;2018 April;;;
4840;Total sales;10512 Milk in solid forms;2018 May;;;
4841;Total sales;10512 Milk in solid forms;2018 June;;;
4842;Total sales;10512 Milk in solid forms;2018 July;;;
4843;Total sales;10512 Milk in solid forms;2018 August;;;
4844;Total sales;10512 Milk in solid forms;2018 September;;;
4845;Total sales;10512 Milk in solid forms;2018 October;;;
4846;Total sales;10512 Milk in solid forms;2018 November;;;
4847;Total sales;10512 Milk in solid forms;2018 December;79.5;;
4848;Total sales;10512 Milk in solid forms;2018;75.2;;
4849;Total sales;10512 Milk in solid forms;2019 January;76.1;-4.3;8.3
4850;Total sales;10512 Milk in solid forms;2019 February;77.3;1.5;8.8
4851;Total sales;10512 Milk in solid forms;2019 March;77.3;0.0;12.9
4852;Total sales;10512 Milk in solid forms;2019 April;80.0;3.6;
4853;Total sales;10512 Milk in solid forms;2019 May;82.0;2.4;
4854;Total sales;10512 Milk in solid forms;2019 June;80.8;-1.4;
4855;Total sales;10512 Milk in solid forms;2019 July;79.5;-1.6;
4856;Total sales;10512 Milk in solid forms;2019 August;80.0;0.6;
4857;Total sales;10512 Milk in solid forms;2019 September;80.9;1.1;
4858;Total sales;10512 Milk in solid forms;2019 October;84.9;5.0;
4859;Total sales;10512 Milk in solid forms;2019 November;85.6;0.9;
4860;Total sales;10512 Milk in solid forms;2019 December;;;
4861;Total sales;10512 Milk in solid forms;2019;;;
4862;Total sales;10512 Milk in solid forms;2020 January;89.2;;17.2
4863;Total sales;10512 Milk in solid forms;2020 February;;;
4864;Total sales;10512 Milk in solid forms;2020 March;;;
4865;Total sales;10512 Milk in solid forms;2020 April;;;
4866;Total sales;10512 Milk in solid forms;2020 May;86.8;;5.9
4867;Total sales;10512 Milk in solid forms;2020 June;86.5;-0.3;7.1
4868;Total sales;10512 Milk in solid forms;2020 July;88.6;2.4;11.5
4869;Total sales;10512 Milk in solid forms;2020 August;89.0;0.4;11.3
4870;Total sales;10512 Milk in solid forms;2020 September;88.7;-0.4;9.7
4871;Total sales;10512 Milk in solid forms;2020 October;88.1;-0.7;3.8
4872;Total sales;10512 Milk in solid forms;2020 November;88.6;0.6;3.4
4873;Total sales;10512 Milk in solid forms;2020 December;89.5;1.0;
4874;Total sales;10512 Milk in solid forms;2020;88.5;;
4875;Total sales;10512 Milk in solid forms;2021 January;91.1;1.8;2.1
4876;Total sales;10512 Milk in solid forms;2021 February;91.6;0.6;
4877;Total sales;10512 Milk in solid forms;2021 March;97.0;5.8;
4878;Total sales;10512 Milk in solid forms;2021 April;96.9;0.0;
4879;Total sales;10512 Milk in solid forms;2021 May;98.3;1.4;13.2
4880;Total sales;10512 Milk in solid forms;2021 June;98.0;-0.3;13.3
4881;Total sales;10512 Milk in solid forms;2021 July;97.1;-1.0;9.5
4882;Total sales;10512 Milk in solid forms;2021 August;97.0;-0.1;9.0
4883;Total sales;10512 Milk in solid forms;2021 September;100.7;3.8;13.6
4884;Total sales;10512 Milk in solid forms;2021 October;106.7;5.9;21.1
4885;Total sales;10512 Milk in solid forms;2021 November;110.5;3.6;24.8
4886;Total sales;10512 Milk in solid forms;2021 December;115.1;4.1;28.6
4887;Total sales;10512 Milk in solid forms;2021;100.0;;13.0
4888;Total sales;10512 Milk in solid forms;2022 January;118.0;2.5;29.5
4889;Total sales;10512 Milk in solid forms;2022 February;121.1;2.6;32.2
4890;Total sales;10512 Milk in solid forms;2022 March;133.9;10.6;38.1
4891;Total sales;10512 Milk in solid forms;2022 April;135.8;1.4;40.1
4892;Total sales;10512 Milk in solid forms;2022 May;137.5;1.2;39.8
4893;Total sales;10512 Milk in solid forms;2022 June;137.4;-0.1;40.1
4894;Total sales;10512 Milk in solid forms;2022 July;130.8;-4.8;34.8
4895;Total sales;10512 Milk in solid forms;2022 August;131.8;0.7;35.8
4896;Total sales;10512 Milk in solid forms;2022 September;;;
4897;Total sales;10512 Milk in solid forms;2022 October;132.0;;23.8
4898;Total sales;10512 Milk in solid forms;2022 November;129.2;-2.2;16.8
4899;Total sales;10512 Milk in solid forms;2022 December;127.2;-1.5;10.6
4900;Total sales;10512 Milk in solid forms;2022;;;
4901;Total sales;10512 Milk in solid forms;2023 January;;;
4902;Total sales;10512 Milk in solid forms;2023 February;124.2;;2.6
4903;Total sales;10512 Milk in solid forms;2023 March;133.5;7.5;-0.3
4904;Total sales;10512 Milk in solid forms;2023 April;131.3;-1.7;-3.3
4905;Total sales;10512 Milk in solid forms;2023 May;130.5;-0.6;-5.1
4906;Total sales;10512 Milk in solid forms;2023 June;133.3;2.2;-2.9
4907;Total sales;10512 Milk in solid forms;2023 July;132.6;-0.5;1.4
4908;Total sales;10512 Milk in solid forms;2023 August;132.6;0.0;0.6
4909;Total sales;10512 Milk in solid forms;2023 September;130.1;-1.9;
4910;Total sales;10512 Milk in solid forms;2023 October;128.4;-1.3;-2.8
4911;Total sales;10512 Milk in solid forms;2023 November;129.0;0.5;-0.2
4912;Total sales;10512 Milk in solid forms;2023 December;128.9;-0.1;1.3
4913;Total sales;10512 Milk in solid forms;2023;;;
4914;Total sales;10512 Milk in solid forms;2024 January;129.0;0.1;
4915;Total sales;10512 Milk in solid forms;2024 February;129.5;0.4;4.2
4916;Total sales;10512 Milk in solid forms;2024 March;125.9;-2.8;-5.7
4917;Total sales;10512 Milk in solid forms;2024 April;124.6;-1.0;-5.1
4918;Total sales;10512 Milk in solid forms;2024 May;121.8;-2.2;-6.7
4919;Total sales;10512 Milk in solid forms;2024 June;117.5;-3.5;-11.9
4920;Total sales;10512 Milk in solid forms;2024 July;118.2;0.6;-10.9
4921;Total sales;10512 Milk in solid forms;2024 August;117.5;-0.6;-11.4
4922;Total sales;10512 Milk in solid forms;2024 September;120.9;2.9;-7.1
4923;Total sales;10512 Milk in solid forms;2024 October;119.5;-1.1;-6.9
4924;Total sales;10512 Milk in solid forms;2024 November;118.9;-0.5;-7.8
4925;Total sales;10512 Milk in solid forms;2024 December;119.7;0.6;-7.2
4926;Total sales;10512 Milk in solid forms;2024;121.9;;-6.2
4927;Total sales;10512 Milk in solid forms;2025 January;;;
4928;Total sales;10512 Milk in solid forms;2025 February;;;
4929;Total sales;10513 Butter and dairy spreads;2018 January;;;
4930;Total sales;10513 Butter and dairy spreads;2018 February;;;
4931;Total sales;10513 Butter and dairy spreads;2018 March;;;
4932;Total sales;10513 Butter and dairy spreads;2018 April;;;
4933;Total sales;10513 Butter and dairy spreads;2018 May;;;
4934;Total sales;10513 Butter and dairy spreads;2018 June;;;
4935;Total sales;10513 Butter and dairy spreads;2018 July;;;
4936;Total sales;10513 Butter and dairy spreads;2018 August;;;
4937;Total sales;10513 Butter and dairy spreads;2018 September;;;
4938;Total sales;10513 Butter and dairy spreads;2018 October;;;
4939;Total sales;10513 Butter and dairy spreads;2018 November;;;
4940;Total sales;10513 Butter and dairy spreads;2018 December;;;
4941;Total sales;10513 Butter and dairy spreads;2018;124.8;;
4942;Total sales;10513 Butter and dairy spreads;2019 January;;;
4943;Total sales;10513 Butter and dairy spreads;2019 February;;;
4944;Total sales;10513 Butter and dairy spreads;2019 March;;;
4945;Total sales;10513 Butter and dairy spreads;2019 April;;;
4946;Total sales;10513 Butter and dairy spreads;2019 May;;;
4947;Total sales;10513 Butter and dairy spreads;2019 June;;;
4948;Total sales;10513 Butter and dairy spreads;2019 July;;;
4949;Total sales;10513 Butter and dairy spreads;2019 August;;;
4950;Total sales;10513 Butter and dairy spreads;2019 September;;;
4951;Total sales;10513 Butter and dairy spreads;2019 October;;;
4952;Total sales;10513 Butter and dairy spreads;2019 November;;;
4953;Total sales;10513 Butter and dairy spreads;2019 December;;;
4954;Total sales;10513 Butter and dairy spreads;2019;105.7;;-15.3
4955;Total sales;10513 Butter and dairy spreads;2020 January;;;
4956;Total sales;10513 Butter and dairy spreads;2020 February;;;
4957;Total sales;10513 Butter and dairy spreads;2020 March;;;
4958;Total sales;10513 Butter and dairy spreads;2020 April;;;
4959;Total sales;10513 Butter and dairy spreads;2020 May;;;
4960;Total sales;10513 Butter and dairy spreads;2020 June;;;
4961;Total sales;10513 Butter and dairy spreads;2020 July;;;
4962;Total sales;10513 Butter and dairy spreads;2020 August;;;
4963;Total sales;10513 Butter and dairy spreads;2020 September;;;
4964;Total sales;10513 Butter and dairy spreads;2020 October;;;
4965;Total sales;10513 Butter and dairy spreads;2020 November;;;
4966;Total sales;10513 Butter and dairy spreads;2020 December;;;
4967;Total sales;10513 Butter and dairy spreads;2020;91.2;;-13.7
4968;Total sales;10513 Butter and dairy spreads;2021 January;;;
4969;Total sales;10513 Butter and dairy spreads;2021 February;;;
4970;Total sales;10513 Butter and dairy spreads;2021 March;;;
4971;Total sales;10513 Butter and dairy spreads;2021 April;;;
4972;Total sales;10513 Butter and dairy spreads;2021 May;;;
4973;Total sales;10513 Butter and dairy spreads;2021 June;;;
4974;Total sales;10513 Butter and dairy spreads;2021 July;;;
4975;Total sales;10513 Butter and dairy spreads;2021 August;;;
4976;Total sales;10513 Butter and dairy spreads;2021 September;;;
4977;Total sales;10513 Butter and dairy spreads;2021 October;;;
4978;Total sales;10513 Butter and dairy spreads;2021 November;;;
4979;Total sales;10513 Butter and dairy spreads;2021 December;;;
4980;Total sales;10513 Butter and dairy spreads;2021;100.0;;9.6
4981;Total sales;10513 Butter and dairy spreads;2022 January;;;
4982;Total sales;10513 Butter and dairy spreads;2022 February;;;
4983;Total sales;10513 Butter and dairy spreads;2022 March;;;
4984;Total sales;10513 Butter and dairy spreads;2022 April;;;
4985;Total sales;10513 Butter and dairy spreads;2022 May;;;
4986;Total sales;10513 Butter and dairy spreads;2022 June;;;
4987;Total sales;10513 Butter and dairy spreads;2022 July;;;
4988;Total sales;10513 Butter and dairy spreads;2022 August;;;
4989;Total sales;10513 Butter and dairy spreads;2022 September;;;
4990;Total sales;10513 Butter and dairy spreads;2022 October;;;
4991;Total sales;10513 Butter and dairy spreads;2022 November;;;
4992;Total sales;10513 Butter and dairy spreads;2022 December;;;
4993;Total sales;10513 Butter and dairy spreads;2022;;;
4994;Total sales;10513 Butter and dairy spreads;2023 January;;;
4995;Total sales;10513 Butter and dairy spreads;2023 February;;;
4996;Total sales;10513 Butter and dairy spreads;2023 March;;;
4997;Total sales;10513 Butter and dairy spreads;2023 April;;;
4998;Total sales;10513 Butter and dairy spreads;2023 May;;;
4999;Total sales;10513 Butter and dairy spreads;2023 June;;;
5000;Total sales;10513 Butter and dairy spreads;2023 July;;;
5001;Total sales;10513 Butter and dairy spreads;2023 August;;;
5002;Total sales;10513 Butter and dairy spreads;2023 September;;;
5003;Total sales;10513 Butter and dairy spreads;2023 October;;;
5004;Total sales;10513 Butter and dairy spreads;2023 November;;;
5005;Total sales;10513 Butter and dairy spreads;2023 December;;;
5006;Total sales;10513 Butter and dairy spreads;2023;;;
5007;Total sales;10513 Butter and dairy spreads;2024 January;;;
5008;Total sales;10513 Butter and dairy spreads;2024 February;;;
5009;Total sales;10513 Butter and dairy spreads;2024 March;;;
5010;Total sales;10513 Butter and dairy spreads;2024 April;;;
5011;Total sales;10513 Butter and dairy spreads;2024 May;;;
5012;Total sales;10513 Butter and dairy spreads;2024 June;;;
5013;Total sales;10513 Butter and dairy spreads;2024 July;;;
5014;Total sales;10513 Butter and dairy spreads;2024 August;;;
5015;Total sales;10513 Butter and dairy spreads;2024 September;;;
5016;Total sales;10513 Butter and dairy spreads;2024 October;;;
5017;Total sales;10513 Butter and dairy spreads;2024 November;;;
5018;Total sales;10513 Butter and dairy spreads;2024 December;;;
5019;Total sales;10513 Butter and dairy spreads;2024;170.4;;3.6
5020;Total sales;10513 Butter and dairy spreads;2025 January;;;
5021;Total sales;10513 Butter and dairy spreads;2025 February;;;
5022;Total sales;10514 Cheese and curd;2018 January;104.6;;
5023;Total sales;10514 Cheese and curd;2018 February;106.1;1.4;
5024;Total sales;10514 Cheese and curd;2018 March;106.7;0.6;
5025;Total sales;10514 Cheese and curd;2018 April;102.4;-4.1;
5026;Total sales;10514 Cheese and curd;2018 May;98.4;-3.9;
5027;Total sales;10514 Cheese and curd;2018 June;99.4;0.9;
5028;Total sales;10514 Cheese and curd;2018 July;98.5;-0.8;
5029;Total sales;10514 Cheese and curd;2018 August;97.5;-1.0;
5030;Total sales;10514 Cheese and curd;2018 September;97.9;0.4;
5031;Total sales;10514 Cheese and curd;2018 October;99.2;1.4;
5032;Total sales;10514 Cheese and curd;2018 November;100.8;1.6;
5033;Total sales;10514 Cheese and curd;2018 December;101.9;1.0;
5034;Total sales;10514 Cheese and curd;2018;101.1;;
5035;Total sales;10514 Cheese and curd;2019 January;102.8;0.9;-1.7
5036;Total sales;10514 Cheese and curd;2019 February;102.9;0.1;-3.0
5037;Total sales;10514 Cheese and curd;2019 March;103.0;0.1;-3.5
5038;Total sales;10514 Cheese and curd;2019 April;104.3;1.2;1.8
5039;Total sales;10514 Cheese and curd;2019 May;103.8;-0.4;5.5
5040;Total sales;10514 Cheese and curd;2019 June;104.7;0.9;5.4
5041;Total sales;10514 Cheese and curd;2019 July;104.0;-0.6;5.6
5042;Total sales;10514 Cheese and curd;2019 August;102.4;-1.6;5.0
5043;Total sales;10514 Cheese and curd;2019 September;102.5;0.1;4.7
5044;Total sales;10514 Cheese and curd;2019 October;101.3;-1.1;2.1
5045;Total sales;10514 Cheese and curd;2019 November;101.1;-0.3;0.2
