ID;InstitutionalSectors;NotConsolidatedOrConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossProfitsBeforeTaxes_144;NetProfitsBeforeTaxes_145;GrossNationalIncome_146;NetNationalIncome_147;GrossDisposableIncome_148;NetDisposableIncome_149;GrossSaving_150;NetSaving_151;NetTransactionsOfGoodAndServices_152;SurplusNationOnCurrentTransactions_153;NetSavingAndCapitalTransfers_154;NetLendingOrNetBorrowing_155;TotalFinancialTransactionsInAssets_156;TotalFinancialTransactionsLiabilities_157;NetFinancialTransactions_158;StatisticalDiscrepancy_159
10;Total domestic sectors;Not consolidated;2000 2nd quarter;455862.0;;;;;;211000.0;;;;;;;;;;62928.0;50716.0;12212.0;12939.0;11938.0;7344.0;0.0;4594.0;1001.0;1660.0;376.0;1284.0;69204.0;33802.0;205.0;33597.0;20901.0;;;6291.0;7745.0;;;;465.0;12120.0;10729.0;1391.0;51837.0;30995.0;;;;;;20842.0;;;;24554.0;3610.0;4076.0;14647.0;70.0;2151.0;;4492.0;5504.0;437.0;1354.0;3713.0;450889.0;;;;;;109804.0;62977.0;50804.0;12173.0;13357.0;12353.0;1004.0;1286.0;111.0;1175.0;69311.0;33008.0;-131.0;33139.0;17275.0;;;11507.0;7056.0;;;;465.0;12036.0;;;52018.0;30968.0;;;;;;21050.0;;;;26205.0;3598.0;4055.0;14647.0;569.0;2487.0;849.0;4501.0;80741.0;71017.0;15352.0;7751.0;7601.0;55665.0;9724.0;5801.0;438.0;1372.0;3991.0;25204.0;26292.0;17274.0;9018.0;-1088.0;;;1.0;113173.0;101196.0;95899.0;83922.0;38499.0;21225.0;;;112973.0;95699.0;111225.0;93951.0;30475.0;13201.0;;;12904.0;4973.0;52187.0;48950.0;3237.0;1736.0
11;Total domestic sectors;Not consolidated;2000 3rd quarter;430061.0;;;;;;206704.0;;;;;;;;;;53695.0;41628.0;12067.0;11938.0;10942.0;6557.0;0.0;4385.0;996.0;1633.0;359.0;1274.0;66938.0;34640.0;100.0;34540.0;17423.0;;;7672.0;6567.0;;;;636.0;11362.0;10148.0;1214.0;45288.0;27365.0;;;;;;17923.0;;;;23167.0;3639.0;4127.0;13192.0;70.0;2139.0;;4494.0;5201.0;432.0;1366.0;3403.0;422928.0;;;;;;106503.0;53725.0;41701.0;12024.0;12173.0;11174.0;999.0;1177.0;24.0;1153.0;66203.0;33595.0;-271.0;33866.0;12028.0;;;13901.0;6043.0;;;;636.0;11316.0;;;45470.0;27346.0;;;;;;18124.0;;;;24826.0;3633.0;4103.0;13192.0;570.0;2499.0;829.0;4506.0;78749.0;70317.0;14287.0;6798.0;7489.0;56030.0;8432.0;5561.0;434.0;1383.0;3744.0;23892.0;23592.0;17295.0;6297.0;300.0;;;1.0;111016.0;100201.0;93721.0;82906.0;46751.0;29456.0;;;111942.0;94647.0;110147.0;92852.0;31386.0;14091.0;;;13731.0;7133.0;149277.0;142370.0;6907.0;226.0
12;Total domestic sectors;Not consolidated;2000 4th quarter;454719.0;;;;;;222534.0;;;;;;;;;;56274.0;44194.0;12080.0;13903.0;12888.0;8614.0;0.0;4274.0;1015.0;1821.0;375.0;1446.0;62897.0;34299.0;23.0;34276.0;14609.0;;;7098.0;6745.0;;;;146.0;14364.0;12966.0;1398.0;48124.0;29428.0;;;;;;18696.0;;;;24673.0;3667.0;4155.0;14603.0;73.0;2175.0;;4155.0;6349.0;493.0;1174.0;4682.0;448968.0;;;;;;116511.0;56326.0;44284.0;12042.0;14244.0;13225.0;1019.0;1417.0;85.0;1332.0;64943.0;34101.0;-382.0;34483.0;12673.0;;;11973.0;6050.0;;;;146.0;14286.0;;;48304.0;29406.0;;;;;;18898.0;;;;26524.0;3659.0;4128.0;14603.0;570.0;2529.0;1035.0;4165.0;81461.0;71131.0;14994.0;7193.0;7801.0;56137.0;10330.0;6454.0;488.0;1192.0;4774.0;27557.0;27198.0;17328.0;9870.0;359.0;;;1.0;118873.0;106023.0;101545.0;88695.0;50124.0;32796.0;;;116838.0;99510.0;114885.0;97557.0;33414.0;16086.0;;;15981.0;5751.0;75077.0;68519.0;6558.0;-807.0
13;Total domestic sectors;Not consolidated;2000;1747537.0;;;;;;844418.0;741420.0;15510.0;725910.0;30245.0;10843.0;19402.0;72753.0;7852.0;64901.0;226622.0;178450.0;48172.0;50228.0;46175.0;28387.0;0.0;17788.0;4053.0;7053.0;1500.0;5553.0;249506.0;134413.0;511.0;133902.0;61899.0;61545.0;354.0;24579.0;27213.0;5710.0;15631.0;5872.0;1402.0;48522.0;43247.0;5275.0;188818.0;114307.0;33419.0;14642.0;55038.0;15709.0;-4501.0;74511.0;34283.0;29592.0;10636.0;95202.0;14279.0;16350.0;55733.0;286.0;8554.0;;17052.0;21616.0;1695.0;5095.0;14826.0;1726794.0;;;;;;438445.0;226797.0;178788.0;48009.0;51785.0;47718.0;4067.0;5445.0;348.0;5097.0;253031.0;133065.0;-946.0;134011.0;50856.0;50609.0;247.0;42992.0;24716.0;5805.0;15677.0;3234.0;1402.0;48133.0;42858.0;5275.0;189543.0;114219.0;33530.0;14642.0;54836.0;15663.0;-4452.0;75324.0;34904.0;29747.0;10673.0;102226.0;14237.0;16263.0;55733.0;2279.0;9962.0;3752.0;17094.0;317991.0;281931.0;59749.0;28841.0;30908.0;222182.0;36060.0;22461.0;1687.0;5167.0;15607.0;101557.0;101869.0;69098.0;32771.0;-312.0;-453.0;141.0;4.0;452191.0;405973.0;383093.0;336875.0;180662.0;111564.0;;;448542.0;379444.0;441182.0;372084.0;123149.0;54051.0;;;53206.0;20743.0;386557.0;366339.0;20218.0;525.0
14;Total domestic sectors;Not consolidated;2001 1st quarter;432812.0;;;;;;221088.0;;;;;;;;;;56750.0;44845.0;11905.0;13571.0;12441.0;7427.0;0.0;5014.0;1130.0;1944.0;271.0;1673.0;51159.0;32758.0;-2325.0;35083.0;12578.0;;;534.0;5030.0;;;;259.0;10826.0;9700.0;1126.0;44584.0;26629.0;;;;;;17955.0;;;;25366.0;3688.0;3981.0;15057.0;75.0;2565.0;;2866.0;4929.0;274.0;1183.0;3472.0;428519.0;;;;;;115269.0;56774.0;44912.0;11862.0;13949.0;12819.0;1130.0;1646.0;72.0;1574.0;54380.0;32614.0;-2502.0;35116.0;11401.0;;;5248.0;4858.0;;;;259.0;10579.0;;;44763.0;26611.0;;;;;;18152.0;;;;27308.0;3677.0;4005.0;15057.0;649.0;2914.0;1006.0;2881.0;81736.0;73378.0;16323.0;7621.0;8702.0;57055.0;8358.0;4858.0;270.0;1184.0;3404.0;27200.0;26170.0;18562.0;7608.0;1030.0;;;-5.0;118367.0;105819.0;99805.0;87257.0;49588.0;31026.0;;;115042.0;96480.0;113168.0;94606.0;31417.0;12855.0;;;12926.0;4293.0;126148.0;119911.0;6237.0;-1944.0
15;Total domestic sectors;Not consolidated;2001 2nd quarter;473801.0;;;;;;226175.0;;;;;;;;;;66509.0;54356.0;12153.0;14222.0;13113.0;7909.0;0.0;5204.0;1109.0;1694.0;260.0;1434.0;66317.0;32927.0;-2346.0;35273.0;25621.0;;;356.0;5795.0;;;;1618.0;12304.0;11091.0;1213.0;51097.0;29009.0;;;;;;22088.0;;;;27027.0;3797.0;3987.0;16613.0;73.0;2557.0;;2842.0;5874.0;261.0;1334.0;4279.0;469540.0;;;;;;117693.0;66538.0;54425.0;12113.0;14585.0;13476.0;1109.0;1389.0;53.0;1336.0;68528.0;32907.0;-2487.0;35394.0;22780.0;;;5609.0;5614.0;;;;1618.0;12168.0;;;51279.0;28988.0;;;;;;22291.0;;;;28779.0;3778.0;4013.0;16613.0;649.0;2906.0;820.0;2851.0;86144.0;75789.0;16879.0;8471.0;8408.0;58910.0;10355.0;5911.0;260.0;1336.0;4315.0;27157.0;27695.0;18639.0;9056.0;-538.0;;;-6.0;121698.0;108482.0;103059.0;89843.0;42269.0;23630.0;;;119400.0;100761.0;117602.0;98963.0;31449.0;12810.0;;;12773.0;4261.0;86641.0;85831.0;810.0;3451.0
16;Total domestic sectors;Not consolidated;2001 3rd quarter;439291.0;;;;;;214882.0;;;;;;;;;;56715.0;44876.0;11839.0;13346.0;12228.0;7325.0;0.0;4903.0;1118.0;1724.0;287.0;1437.0;60756.0;32058.0;-3086.0;35144.0;21053.0;;;723.0;5477.0;;;;1445.0;12767.0;11684.0;1083.0;44866.0;25934.0;;;;;;18932.0;;;;25689.0;3916.0;4089.0;14842.0;72.0;2770.0;;3208.0;5625.0;347.0;1348.0;3930.0;435846.0;;;;;;109556.0;56729.0;44931.0;11798.0;13801.0;12683.0;1118.0;1356.0;31.0;1325.0;62755.0;32024.0;-3207.0;35231.0;11710.0;;;12295.0;5281.0;;;;1445.0;12643.0;;;45044.0;25915.0;;;;;;19129.0;;;;27603.0;3898.0;4118.0;14842.0;648.0;3120.0;977.0;3223.0;83737.0;74547.0;15554.0;7352.0;8202.0;58993.0;9190.0;5697.0;347.0;1349.0;4001.0;26390.0;24556.0;18667.0;5889.0;1834.0;;;-5.0;117722.0;105326.0;99055.0;86659.0;48916.0;30249.0;;;115622.0;96955.0;113654.0;94987.0;29902.0;11235.0;;;11163.0;3445.0;86966.0;81178.0;5788.0;-2343.0
17;Total domestic sectors;Not consolidated;2001 4th quarter;464798.0;;;;;;232018.0;;;;;;;;;;59124.0;47207.0;11917.0;15502.0;14370.0;9290.0;0.0;5080.0;1132.0;1894.0;336.0;1558.0;55986.0;29756.0;-4712.0;34468.0;20377.0;;;520.0;5169.0;;;;164.0;13596.0;12378.0;1218.0;47538.0;27956.0;;;;;;19582.0;;;;29464.0;4164.0;4289.0;17856.0;74.0;3081.0;;2842.0;7170.0;629.0;1154.0;5387.0;461500.0;;;;;;121170.0;59153.0;47275.0;11878.0;15774.0;14642.0;1132.0;1588.0;133.0;1455.0;60439.0;30790.0;-4844.0;35634.0;15587.0;;;8918.0;4980.0;;;;164.0;13519.0;;;47717.0;27937.0;;;;;;19780.0;;;;31355.0;4138.0;4314.0;17856.0;648.0;3431.0;968.0;2854.0;87050.0;76029.0;16497.0;7875.0;8622.0;59532.0;11021.0;7110.0;625.0;1157.0;5328.0;28419.0;28271.0;18697.0;9574.0;148.0;;;-6.0;125154.0;110848.0;106457.0;92151.0;52121.0;33424.0;;;120706.0;102009.0;118713.0;100016.0;31651.0;12954.0;;;13014.0;3298.0;147320.0;144395.0;2925.0;373.0
18;Total domestic sectors;Not consolidated;2001;1810702.0;;;;;;894163.0;783639.0;18182.0;765457.0;31951.0;11552.0;20399.0;78573.0;8330.0;70243.0;239098.0;191284.0;47814.0;56641.0;52152.0;31951.0;0.0;20201.0;4489.0;7256.0;1154.0;6102.0;234218.0;127499.0;-12469.0;139968.0;79629.0;78933.0;696.0;2133.0;21471.0;4798.0;12835.0;3838.0;3486.0;49493.0;44853.0;4640.0;188085.0;109528.0;35761.0;11950.0;53525.0;12892.0;-4600.0;78557.0;36471.0;31391.0;10695.0;107546.0;15565.0;16346.0;64368.0;294.0;10973.0;;11758.0;23598.0;1511.0;5019.0;17068.0;1795405.0;;;;;;463688.0;239194.0;191543.0;47651.0;58109.0;53620.0;4489.0;5979.0;289.0;5690.0;246102.0;128335.0;-13040.0;141375.0;61478.0;61207.0;271.0;32070.0;20733.0;4871.0;12864.0;2998.0;3486.0;48909.0;44269.0;4640.0;188803.0;109451.0;35864.0;11950.0;53320.0;12863.0;-4546.0;79352.0;37063.0;31561.0;10728.0;115045.0;15491.0;16450.0;64368.0;2594.0;12371.0;3771.0;11809.0;338667.0;299743.0;65253.0;31319.0;33934.0;234490.0;38924.0;23576.0;1502.0;5026.0;17048.0;109166.0;106692.0;74565.0;32127.0;2474.0;2328.0;146.0;-22.0;482941.0;430475.0;408376.0;355910.0;192894.0;118329.0;;;470770.0;396205.0;463137.0;388572.0;124419.0;49854.0;;;49876.0;15297.0;447075.0;431315.0;15760.0;-463.0
19;Total domestic sectors;Not consolidated;2002 1st quarter;447190.0;;;;;;225541.0;;;;;;;;;;59818.0;46695.0;13123.0;14223.0;13043.0;7820.0;0.0;5223.0;1180.0;1998.0;311.0;1687.0;49546.0;31643.0;-3086.0;34729.0;9920.0;;;1877.0;5683.0;;;;423.0;11463.0;10304.0;1159.0;48254.0;28914.0;;;;;;19340.0;;;;27942.0;3789.0;4369.0;17055.0;72.0;2657.0;;3868.0;4848.0;366.0;1298.0;3184.0;442356.0;;;;;;115799.0;59895.0;46806.0;13089.0;14676.0;13496.0;1180.0;1669.0;55.0;1614.0;51849.0;31888.0;-3247.0;35135.0;6310.0;;;7641.0;5587.0;;;;423.0;11207.0;;;48451.0;28889.0;;;;;;19562.0;;;;29871.0;3818.0;4318.0;17055.0;661.0;3042.0;977.0;3884.0;87125.0;77826.0;17764.0;8140.0;9624.0;60062.0;9299.0;4782.0;362.0;1295.0;3125.0;26644.0;26886.0;19783.0;7103.0;-242.0;;;0.0;122927.0;109742.0;103144.0;89959.0;50354.0;30571.0;;;120423.0;100640.0;118553.0;98770.0;31412.0;11629.0;;;11695.0;4834.0;96889.0;92054.0;4835.0;-1.0
20;Total domestic sectors;Not consolidated;2002 2nd quarter;490562.0;;;;;;231523.0;;;;;;;;;;70201.0;56652.0;13549.0;14897.0;13735.0;8427.0;0.0;5308.0;1162.0;1776.0;317.0;1459.0;64356.0;31497.0;-2880.0;34377.0;22687.0;;;1965.0;7155.0;;;;1052.0;14530.0;13284.0;1246.0;53249.0;29772.0;;;;;;23477.0;;;;30205.0;4084.0;4576.0;18794.0;68.0;2683.0;;4111.0;6031.0;541.0;1449.0;4041.0;488609.0;;;;;;118294.0;70279.0;56764.0;13515.0;15207.0;14045.0;1162.0;1440.0;54.0;1386.0;69184.0;31743.0;-3018.0;34761.0;20890.0;;;8548.0;6951.0;;;;1052.0;14396.0;;;53453.0;29747.0;;;;;;23706.0;;;;32158.0;4097.0;4527.0;18794.0;660.0;3066.0;1014.0;4120.0;91515.0;80672.0;18940.0;9276.0;9664.0;61732.0;10843.0;6039.0;539.0;1446.0;4054.0;26569.0;27742.0;19859.0;7883.0;-1173.0;;;0.0;126957.0;113229.0;107098.0;93370.0;43247.0;23388.0;;;122077.0;102218.0;120054.0;100195.0;28530.0;8671.0;;;8663.0;1953.0;91584.0;87143.0;4441.0;-2488.0
21;Total domestic sectors;Not consolidated;2002 3rd quarter;448962.0;;;;;;222918.0;;;;;;;;;;58974.0;46092.0;12882.0;13544.0;12394.0;7657.0;0.0;4737.0;1150.0;1741.0;335.0;1406.0;53383.0;29741.0;-3740.0;33481.0;14031.0;;;1934.0;6437.0;;;;1240.0;11906.0;10790.0;1116.0;48183.0;28312.0;;;;;;19871.0;;;;28700.0;4233.0;4716.0;16872.0;69.0;2810.0;;4345.0;5603.0;482.0;1459.0;3662.0;444796.0;;;;;;112023.0;59045.0;46192.0;12853.0;13773.0;12623.0;1150.0;1340.0;15.0;1325.0;56283.0;30542.0;-3891.0;34433.0;10879.0;;;7371.0;6251.0;;;;1240.0;11747.0;;;48376.0;28283.0;;;;;;20093.0;;;;30271.0;4241.0;4667.0;16872.0;661.0;3195.0;635.0;4361.0;89133.0;79256.0;17255.0;8025.0;9230.0;62001.0;9877.0;5999.0;480.0;1456.0;4063.0;25068.0;24451.0;19889.0;4562.0;617.0;;;0.0;123183.0;110895.0;103294.0;91006.0;52106.0;32217.0;;;120384.0;100495.0;118779.0;98890.0;29630.0;9741.0;;;9345.0;4166.0;76053.0;73820.0;2233.0;1933.0
22;Total domestic sectors;Not consolidated;2002 4th quarter;471637.0;;;;;;236475.0;;;;;;;;;;61884.0;49081.0;12803.0;15768.0;14574.0;9669.0;0.0;4905.0;1194.0;1967.0;356.0;1611.0;50342.0;28719.0;-4456.0;33175.0;13091.0;;;1989.0;6106.0;;;;437.0;14356.0;13106.0;1250.0;49612.0;29302.0;;;;;;20310.0;;;;30707.0;4595.0;4795.0;18328.0;70.0;2919.0;;3959.0;6923.0;508.0;1269.0;5146.0;467395.0;;;;;;121197.0;61969.0;49194.0;12775.0;16106.0;14912.0;1194.0;1598.0;63.0;1535.0;54589.0;29762.0;-4621.0;34383.0;11196.0;;;7257.0;5937.0;;;;437.0;14285.0;;;49807.0;29275.0;;;;;;20532.0;;;;32581.0;4668.0;4740.0;18328.0;660.0;3302.0;883.0;3974.0;92176.0;80335.0;18361.0;8677.0;9684.0;61974.0;11841.0;6869.0;504.0;1268.0;5097.0;27156.0;26603.0;19933.0;6670.0;553.0;;;0.0;129834.0;115278.0;109901.0;95345.0;53726.0;33793.0;;;125533.0;105600.0;123535.0;103602.0;31344.0;11411.0;;;11465.0;4242.0;148033.0;142287.0;5746.0;-1504.0
23;Total domestic sectors;Not consolidated;2002;1858351.0;;;;;;916457.0;798663.0;19833.0;778830.0;33262.0;11659.0;21603.0;84532.0;8554.0;75978.0;250877.0;198520.0;52357.0;58432.0;53746.0;33573.0;0.0;20173.0;4686.0;7482.0;1319.0;6163.0;217627.0;121600.0;-14162.0;135762.0;59729.0;59109.0;620.0;7765.0;25381.0;6464.0;15727.0;3190.0;3152.0;52255.0;47484.0;4771.0;199298.0;116300.0;42794.0;9512.0;53200.0;15785.0;-4991.0;82998.0;38276.0;33717.0;11005.0;117554.0;16701.0;18456.0;71049.0;279.0;11069.0;;16283.0;23405.0;1897.0;5475.0;16033.0;1843156.0;;;;;;467313.0;251188.0;198956.0;52232.0;59762.0;55076.0;4686.0;6047.0;187.0;5860.0;231905.0;123935.0;-14777.0;138712.0;49275.0;48966.0;309.0;30817.0;24726.0;6541.0;15760.0;2425.0;3152.0;51635.0;46864.0;4771.0;200087.0;116194.0;42845.0;9512.0;53020.0;15752.0;-4935.0;83893.0;38932.0;33924.0;11037.0;124881.0;16824.0;18252.0;71049.0;2642.0;12605.0;3509.0;16339.0;359949.0;318089.0;72320.0;34118.0;38202.0;245769.0;41860.0;23689.0;1885.0;5465.0;16339.0;105437.0;105682.0;79464.0;26218.0;-245.0;-394.0;149.0;0.0;502901.0;449144.0;423437.0;369680.0;199433.0;119969.0;;;488417.0;408953.0;480921.0;401457.0;120916.0;41452.0;;;41168.0;15195.0;412559.0;395304.0;17255.0;-2060.0
24;Total domestic sectors;Not consolidated;2003 1st quarter;454801.0;;;;;;231317.0;;;;;;;;;;60851.0;47392.0;13459.0;14469.0;13317.0;8214.0;0.0;5103.0;1152.0;1943.0;303.0;1640.0;43875.0;28745.0;-3810.0;32555.0;8950.0;;;289.0;5612.0;;;;279.0;11317.0;10092.0;1225.0;50972.0;30694.0;;;;;;20278.0;;;;30923.0;4248.0;4794.0;18963.0;78.0;2840.0;;4312.0;5125.0;365.0;1479.0;3281.0;450459.0;;;;;;117954.0;61043.0;47600.0;13443.0;14950.0;13798.0;1152.0;1585.0;52.0;1533.0;47211.0;29874.0;-4120.0;33994.0;6348.0;;;5298.0;5412.0;;;;279.0;11068.0;;;51162.0;30623.0;;;;;;20539.0;;;;32957.0;4280.0;4740.0;18963.0;585.0;3322.0;1067.0;4329.0;90765.0;80986.0;18915.0;8690.0;10225.0;62071.0;9779.0;5017.0;361.0;1449.0;3207.0;26220.0;26060.0;20614.0;5446.0;160.0;;;-4.0;126858.0;113363.0;106244.0;92749.0;52808.0;32194.0;;;123207.0;102593.0;121232.0;100618.0;30450.0;9836.0;;;9944.0;4342.0;135711.0;129165.0;6546.0;-2204.0
25;Total domestic sectors;Not consolidated;2003 2nd quarter;500472.0;;;;;;233739.0;;;;;;;;;;72474.0;58192.0;14282.0;14520.0;13347.0;8394.0;0.0;4953.0;1173.0;1767.0;312.0;1455.0;62204.0;28734.0;-4012.0;32746.0;21675.0;;;2985.0;7315.0;;;;1495.0;13282.0;11969.0;1313.0;58205.0;33425.0;;;;;;24780.0;;;;33495.0;4446.0;4827.0;21374.0;77.0;2771.0;;4905.0;6193.0;436.0;1635.0;4122.0;496030.0;;;;;;117559.0;72666.0;58401.0;14265.0;14933.0;13760.0;1173.0;1383.0;35.0;1348.0;64103.0;28904.0;-4318.0;33222.0;21850.0;;;4795.0;7059.0;;;;1495.0;13164.0;;;58402.0;33353.0;;;;;;25049.0;;;;35530.0;4483.0;4770.0;21374.0;585.0;3251.0;1067.0;4916.0;94791.0;83347.0;20083.0;9887.0;10196.0;63264.0;11444.0;6186.0;434.0;1604.0;4148.0;26161.0;27245.0;20694.0;6551.0;-1084.0;;;-4.0;129628.0;116180.0;108934.0;95486.0;43796.0;23102.0;;;127508.0;106814.0;125394.0;104700.0;30592.0;9898.0;;;9905.0;4442.0;114061.0;109757.0;4304.0;138.0
26;Total domestic sectors;Not consolidated;2003 3rd quarter;457170.0;;;;;;225117.0;;;;;;;;;;60269.0;46739.0;13530.0;14605.0;13463.0;8200.0;0.0;5263.0;1142.0;1737.0;310.0;1427.0;52747.0;28867.0;-3749.0;32616.0;13322.0;;;3004.0;6305.0;;;;1249.0;10971.0;9792.0;1179.0;50754.0;29446.0;;;;;;21308.0;;;;30593.0;4492.0;4867.0;18245.0;75.0;2914.0;;4876.0;5811.0;420.0;1648.0;3743.0;450941.0;;;;;;113159.0;60448.0;46932.0;13516.0;14894.0;13752.0;1142.0;1311.0;5.0;1306.0;52822.0;29345.0;-4063.0;33408.0;10824.0;;;5298.0;6106.0;;;;1249.0;11068.0;;;50943.0;29373.0;;;;;;21570.0;;;;32633.0;4530.0;4812.0;18245.0;584.0;3396.0;1066.0;4893.0;92109.0;81724.0;18444.0;8552.0;9892.0;63280.0;10385.0;5800.0;418.0;1617.0;3765.0;24617.0;24382.0;20736.0;3646.0;235.0;;;-4.0;125400.0;111958.0;104664.0;91222.0;51795.0;31059.0;;;125283.0;104547.0;122957.0;102221.0;30831.0;10095.0;;;10106.0;6229.0;107524.0;99950.0;7574.0;-1345.0
27;Total domestic sectors;Not consolidated;2003 4th quarter;485081.0;;;;;;240388.0;;;;;;;;;;63630.0;50001.0;13629.0;16408.0;15150.0;9974.0;0.0;5176.0;1258.0;2045.0;399.0;1646.0;51363.0;28661.0;-3267.0;31928.0;13111.0;;;2826.0;6114.0;;;;651.0;13206.0;11888.0;1318.0;52852.0;31723.0;;;;;;21129.0;;;;33933.0;4575.0;4947.0;21321.0;77.0;3013.0;;4489.0;7166.0;458.0;1444.0;5264.0;477330.0;;;;;;122313.0;63824.0;50213.0;13611.0;16597.0;15339.0;1258.0;1607.0;75.0;1532.0;51937.0;29495.0;-3573.0;33068.0;12075.0;;;3819.0;5897.0;;;;651.0;13149.0;;;53045.0;31653.0;;;;;;21392.0;;;;35340.0;4614.0;4891.0;21321.0;584.0;3494.0;436.0;4505.0;95096.0;82544.0;19503.0;9135.0;10368.0;63041.0;12552.0;7058.0;454.0;1416.0;5188.0;28202.0;27951.0;20791.0;7160.0;251.0;;;-4.0;133015.0;118075.0;112224.0;97284.0;54639.0;33848.0;;;132496.0;111705.0;130953.0;110162.0;35841.0;15050.0;;;15158.0;7751.0;93200.0;87573.0;5627.0;2124.0
