ID;Perioden;Consumentenvertrouwen_1;EconomischKlimaat_2;Koopbereidheid_3;EconomischeSituatieLaatste12Maanden_4;EconomischeSituatieKomende12Maanden_5;FinancieleSituatieLaatste12Maanden_6;FinancieleSituatieKomende12Maanden_7;GunstigeTijdVoorGroteAankopen_8
83;1993 maart;-24;-62;1;-70;-53;6;8;-12
84;1993 april;-24;-60;0;-70;-50;6;8;-13
85;1993 mei;-23;-55;-1;-67;-44;3;6;-14
86;1993 juni;-22;-53;-1;-64;-41;4;5;-14
87;1993 juli;-22;-53;-1;-65;-42;6;5;-13
88;1993 augustus;-17;-45;1;-59;-32;6;6;-8
89;1993 september;-13;-35;1;-50;-19;5;8;-9
90;1993 oktober;-17;-39;-2;-56;-22;2;5;-12
91;1993 november;-14;-34;-1;-53;-15;3;6;-13
92;1993 december;-16;-38;0;-56;-21;4;5;-9
93;1994 januari;-17;-41;0;-60;-22;5;4;-10
94;1994 februari;-14;-34;0;-54;-14;5;4;-8
95;1994 maart;-9;-24;1;-45;-3;5;4;-7
96;1994 april;-5;-16;1;-38;7;5;6;-6
97;1994 mei;-4;-12;2;-35;12;4;7;-6
98;1994 juni;0;-4;2;-26;19;2;9;-6
99;1994 juli;1;0;1;-18;18;2;10;-7
100;1994 augustus;6;13;2;-2;28;2;12;-8
101;1994 september;12;26;4;15;36;3;12;-5
102;1994 oktober;10;21;2;12;30;2;10;-5
103;1994 november;9;19;2;13;24;1;9;-4
104;1994 december;3;8;0;1;14;-1;7;-5
105;1995 januari;2;7;-1;-1;15;-4;6;-6
106;1995 februari;8;16;2;10;23;-1;10;-3
107;1995 maart;12;23;5;19;26;3;12;0
108;1995 april;11;18;6;16;20;3;12;1
109;1995 mei;12;20;7;18;21;5;11;4
110;1995 juni;9;14;6;13;15;4;12;3
111;1995 juli;10;13;8;14;12;7;13;4
112;1995 augustus;14;19;10;19;20;9;15;6
113;1995 september;14;18;11;17;19;9;15;7
114;1995 oktober;17;25;12;23;26;10;17;9
115;1995 november;17;24;11;23;25;10;17;8
116;1995 december;11;16;7;12;19;5;13;3
117;1996 januari;9;13;6;10;16;5;11;2
118;1996 februari;4;1;5;-1;3;4;11;1
119;1996 maart;-2;-13;4;-13;-12;2;9;1
120;1996 april;-4;-19;6;-19;-20;5;11;2
121;1996 mei;0;-10;6;-12;-9;5;13;1
122;1996 juni;4;-2;8;-4;0;6;15;4
123;1996 juli;9;7;10;4;10;7;18;6
124;1996 augustus;9;7;11;3;10;8;18;6
125;1996 september;12;13;11;10;17;9;20;5
126;1996 oktober;17;24;12;19;28;8;22;7
127;1996 november;15;20;11;18;23;8;20;5
128;1996 december;14;21;9;21;21;6;18;3
129;1997 januari;17;26;10;26;26;8;20;4
130;1997 februari;19;27;13;26;28;11;20;7
131;1997 maart;21;29;16;32;26;14;21;13
132;1997 april;22;31;17;35;27;14;23;12
133;1997 mei;24;35;17;39;30;14;24;12
134;1997 juni;24;33;18;38;27;16;24;15
135;1997 juli;25;33;20;38;28;17;24;17
136;1997 augustus;24;33;19;38;27;17;24;17
137;1997 september;24;31;20;36;26;19;24;17
138;1997 oktober;25;33;20;38;28;17;25;17
139;1997 november;26;34;20;38;31;16;26;17
140;1997 december;25;33;20;39;28;20;26;14
141;1998 januari;26;34;21;42;27;21;27;15
142;1998 februari;27;36;21;43;29;19;27;16
143;1998 maart;31;43;23;51;35;22;28;20
144;1998 april;31;42;24;50;34;22;27;24
145;1998 mei;33;43;26;51;34;24;28;27
146;1998 juni;33;42;28;51;33;24;29;30
147;1998 juli;33;41;27;49;33;25;28;29
148;1998 augustus;30;37;26;46;27;23;27;28
149;1998 september;24;22;25;36;8;24;23;28
150;1998 oktober;14;0;22;21;-20;23;19;25
151;1998 november;11;-5;21;15;-25;22;20;23
152;1998 december;13;-2;23;16;-21;23;22;24
153;1999 januari;13;0;21;18;-17;21;23;20
154;1999 februari;12;0;21;15;-15;20;23;18
155;1999 maart;13;0;21;14;-15;20;23;22
