ID;BuildingPhases;Region;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
8853;Building projects under construction;Nederland;2022 November;33201;5855;27347;18829.0;;;;;;;;;
8854;Building projects under construction;Nederland;2022 December;33752;5857;27895;19120.0;;;;;;;;;
8855;Building projects under construction;Nederland;2022 4th quarter;33752;5857;27895;19120.0;;;;;;;;;
8856;Building projects under construction;Nederland;2022;33752;5857;27895;19120.0;282.0;2009.0;1296.0;2227.0;799.0;196.0;689.0;828.0;447.0
8857;Building projects under construction;Nederland;2023 January;33598;5870;27727;19077.0;;;;;;;;;
8858;Building projects under construction;Nederland;2023 February;33282;5770;27512;18957.0;;;;;;;;;
8859;Building projects under construction;Nederland;2023 March;33332;5751;27581;18723.0;;;;;;;;;
8860;Building projects under construction;Nederland;2023 1st quarter;33332;5751;27581;18723.0;;;;;;;;;
8861;Building projects under construction;Nederland;2023 April;33221;5490;27731;18846.0;;;;;;;;;
8862;Building projects under construction;Nederland;2023 May;33813;5542;28270;19237.0;;;;;;;;;
8863;Building projects under construction;Nederland;2023 June;33470;5399;28070;18995.0;;;;;;;;;
8864;Building projects under construction;Nederland;2023 2nd quarter;33470;5399;28070;18995.0;;;;;;;;;
8865;Building projects under construction;Nederland;2023 July;33764;5436;28329;19143.0;;;;;;;;;
8866;Building projects under construction;Nederland;2023 August;34118;5589;28530;19212.0;;;;;;;;;
8867;Building projects under construction;Nederland;2023 September;33817;5533;28283;19161.0;;;;;;;;;
8868;Building projects under construction;Nederland;2023 3rd quarter;33817;5533;28283;19161.0;;;;;;;;;
8869;Building projects under construction;Nederland;2023 October;33410;5556;27854;19038.0;;;;;;;;;
8870;Building projects under construction;Nederland;2023 November;33167;5536;27631;19005.0;;;;;;;;;
8871;Building projects under construction;Nederland;2023 December;33454;5600;27854;19175.0;;;;;;;;;
8872;Building projects under construction;Nederland;2023 4th quarter;33454;5600;27854;19175.0;;;;;;;;;
8873;Building projects under construction;Nederland;2023;33454;5600;27854;19175.0;251.0;1679.0;1173.0;2326.0;971.0;315.0;829.0;741.0;393.0
8874;Building projects under construction;Nederland;2024 January;33349;5685;27664;19062.0;;;;;;;;;
8875;Building projects under construction;Nederland;2024 February;33008;5531;27477;18861.0;;;;;;;;;
8876;Building projects under construction;Nederland;2024 March;33387;5664;27723;19253.0;;;;;;;;;
8877;Building projects under construction;Nederland;2024 1st quarter;33387;5664;27723;19253.0;;;;;;;;;
8878;Building projects under construction;Nederland;2024 April;33494;5748;27746;19336.0;;;;;;;;;
8879;Building projects under construction;Nederland;2024 May;33667;5726;27941;19532.0;;;;;;;;;
8880;Building projects under construction;Nederland;2024 June;34748;5729;29019;20237.0;;;;;;;;;
8881;Building projects under construction;Nederland;2024 2nd quarter;34748;5729;29019;20237.0;;;;;;;;;
8882;Building projects under construction;Nederland;2024 July;35072;5788;29284;20290.0;;;;;;;;;
8883;Building projects under construction;Nederland;2024 August;35982;5984;29998;20731.0;;;;;;;;;
8884;Building projects under construction;Nederland;2024 September;35672;5948;29725;20506.0;;;;;;;;;
8885;Building projects under construction;Nederland;2024 3rd quarter;35672;5948;29725;20506.0;;;;;;;;;
8886;Building projects under construction;Nederland;2024 October;35087;5822;29265;20338.0;;;;;;;;;
8887;Building projects under construction;Nederland;2024 November;35438;5897;29541;20619.0;;;;;;;;;
8888;Building projects under construction;Nederland;2024 December;35741;5787;29954;20915.0;;;;;;;;;
8889;Building projects under construction;Nederland;2024 4th quarter;35741;5787;29954;20915.0;;;;;;;;;
8890;Building projects under construction;Nederland;2024;35741;5787;29954;20915.0;307.0;1791.0;1259.0;2381.0;1063.0;225.0;837.0;776.0;401.0
8891;Building projects under construction;Nederland;2025 January;35504;5617;29888;21092.0;;;;;;;;;
8892;Building projects under construction;Noord-Nederland (LD);2015 January;1232;269;963;432.0;63.0;24.0;22.0;34.0;7.0;12.0;83.0;136.0;150.0
8893;Building projects under construction;Noord-Nederland (LD);2015 February;1214;275;938;423.0;54.0;24.0;24.0;34.0;7.0;12.0;71.0;138.0;151.0
8894;Building projects under construction;Noord-Nederland (LD);2015 March;1209;278;931;442.0;46.0;26.0;16.0;34.0;6.0;12.0;63.0;143.0;144.0
8895;Building projects under construction;Noord-Nederland (LD);2015 1st quarter;1209;278;931;442.0;46.0;26.0;16.0;34.0;6.0;12.0;63.0;143.0;144.0
8896;Building projects under construction;Noord-Nederland (LD);2015 April;1224;292;932;445.0;39.0;26.0;16.0;14.0;6.0;12.0;80.0;140.0;153.0
8897;Building projects under construction;Noord-Nederland (LD);2015 May;1269;297;971;464.0;39.0;25.0;15.0;14.0;7.0;12.0;83.0;174.0;139.0
8898;Building projects under construction;Noord-Nederland (LD);2015 June;1301;327;974;455.0;36.0;24.0;28.0;13.0;8.0;12.0;83.0;181.0;134.0
8899;Building projects under construction;Noord-Nederland (LD);2015 2nd quarter;1301;327;974;455.0;36.0;24.0;28.0;13.0;8.0;12.0;83.0;181.0;134.0
8900;Building projects under construction;Noord-Nederland (LD);2015 July;1302;324;978;439.0;37.0;25.0;36.0;12.0;8.0;12.0;95.0;181.0;133.0
8901;Building projects under construction;Noord-Nederland (LD);2015 August;1340;331;1008;462.0;42.0;25.0;37.0;16.0;9.0;12.0;90.0;181.0;133.0
8902;Building projects under construction;Noord-Nederland (LD);2015 September;1265;329;935;473.0;45.0;25.0;39.0;5.0;9.0;11.0;90.0;173.0;67.0
8903;Building projects under construction;Noord-Nederland (LD);2015 3rd quarter;1265;329;935;473.0;45.0;25.0;39.0;5.0;9.0;11.0;90.0;173.0;67.0
8904;Building projects under construction;Noord-Nederland (LD);2015 October;1265;334;931;470.0;43.0;26.0;48.0;5.0;9.0;11.0;80.0;173.0;67.0
8905;Building projects under construction;Noord-Nederland (LD);2015 November;1254;326;928;466.0;44.0;26.0;49.0;5.0;8.0;12.0;71.0;180.0;66.0
8906;Building projects under construction;Noord-Nederland (LD);2015 December;1262;318;944;472.0;48.0;25.0;52.0;6.0;8.0;12.0;74.0;181.0;66.0
8907;Building projects under construction;Noord-Nederland (LD);2015 4th quarter;1262;318;944;472.0;48.0;25.0;52.0;6.0;8.0;12.0;74.0;181.0;66.0
8908;Building projects under construction;Noord-Nederland (LD);2015;1262;318;944;472.0;48.0;25.0;52.0;6.0;8.0;12.0;74.0;181.0;66.0
8909;Building projects under construction;Noord-Nederland (LD);2016 January;1251;323;927;467.0;48.0;17.0;49.0;6.0;7.0;11.0;73.0;184.0;66.0
8910;Building projects under construction;Noord-Nederland (LD);2016 February;1281;329;952;464.0;45.0;17.0;69.0;7.0;8.0;11.0;72.0;194.0;63.0
8911;Building projects under construction;Noord-Nederland (LD);2016 March;1247;322;924;450.0;42.0;17.0;69.0;7.0;5.0;11.0;74.0;185.0;63.0
8912;Building projects under construction;Noord-Nederland (LD);2016 1st quarter;1247;322;924;450.0;42.0;17.0;69.0;7.0;5.0;11.0;74.0;185.0;63.0
8913;Building projects under construction;Noord-Nederland (LD);2016 April;1206;311;895;428.0;41.0;18.0;69.0;7.0;4.0;11.0;63.0;191.0;63.0
8914;Building projects under construction;Noord-Nederland (LD);2016 May;1204;309;895;448.0;41.0;19.0;68.0;6.0;4.0;11.0;41.0;195.0;63.0
8915;Building projects under construction;Noord-Nederland (LD);2016 June;1193;309;884;440.0;37.0;18.0;66.0;8.0;4.0;11.0;41.0;196.0;63.0
8916;Building projects under construction;Noord-Nederland (LD);2016 2nd quarter;1193;309;884;440.0;37.0;18.0;66.0;8.0;4.0;11.0;41.0;196.0;63.0
8917;Building projects under construction;Noord-Nederland (LD);2016 July;1186;312;874;442.0;39.0;13.0;68.0;8.0;5.0;11.0;39.0;186.0;62.0
8918;Building projects under construction;Noord-Nederland (LD);2016 August;1229;332;896;464.0;38.0;14.0;71.0;5.0;5.0;11.0;39.0;185.0;64.0
8919;Building projects under construction;Noord-Nederland (LD);2016 September;1269;333;935;506.0;38.0;8.0;70.0;5.0;4.0;11.0;41.0;184.0;67.0
8920;Building projects under construction;Noord-Nederland (LD);2016 3rd quarter;1269;333;935;506.0;38.0;8.0;70.0;5.0;4.0;11.0;41.0;184.0;67.0
8921;Building projects under construction;Noord-Nederland (LD);2016 October;1250;332;918;502.0;39.0;9.0;69.0;5.0;4.0;0.0;38.0;185.0;66.0
8922;Building projects under construction;Noord-Nederland (LD);2016 November;1260;336;924;508.0;38.0;7.0;69.0;9.0;4.0;0.0;37.0;184.0;68.0
8923;Building projects under construction;Noord-Nederland (LD);2016 December;1292;343;949;532.0;41.0;7.0;67.0;9.0;4.0;0.0;37.0;185.0;68.0
8924;Building projects under construction;Noord-Nederland (LD);2016 4th quarter;1292;343;949;532.0;41.0;7.0;67.0;9.0;4.0;0.0;37.0;185.0;68.0
8925;Building projects under construction;Noord-Nederland (LD);2016;1292;343;949;532.0;41.0;7.0;67.0;9.0;4.0;0.0;37.0;185.0;68.0
8926;Building projects under construction;Noord-Nederland (LD);2017 January;1328;351;977;545.0;42.0;8.0;69.0;9.0;6.0;0.0;37.0;194.0;68.0
8927;Building projects under construction;Noord-Nederland (LD);2017 February;1363;360;1003;572.0;39.0;12.0;69.0;12.0;6.0;0.0;32.0;194.0;67.0
8928;Building projects under construction;Noord-Nederland (LD);2017 March;1322;332;990;581.0;29.0;12.0;66.0;13.0;5.0;0.0;32.0;190.0;60.0
8929;Building projects under construction;Noord-Nederland (LD);2017 1st quarter;1322;332;990;581.0;29.0;12.0;66.0;13.0;5.0;0.0;32.0;190.0;60.0
8930;Building projects under construction;Noord-Nederland (LD);2017 April;1295;326;969;629.0;28.0;17.0;65.0;14.0;6.0;0.0;32.0;118.0;61.0
8931;Building projects under construction;Noord-Nederland (LD);2017 May;1314;288;1026;661.0;23.0;28.0;67.0;15.0;7.0;0.0;43.0;120.0;62.0
8932;Building projects under construction;Noord-Nederland (LD);2017 June;1315;293;1023;649.0;20.0;37.0;68.0;13.0;17.0;0.0;41.0;114.0;63.0
8933;Building projects under construction;Noord-Nederland (LD);2017 2nd quarter;1315;293;1023;649.0;20.0;37.0;68.0;13.0;17.0;0.0;41.0;114.0;63.0
8934;Building projects under construction;Noord-Nederland (LD);2017 July;1338;282;1057;675.0;21.0;40.0;69.0;14.0;15.0;0.0;41.0;115.0;66.0
8935;Building projects under construction;Noord-Nederland (LD);2017 August;1538;295;1244;726.0;23.0;45.0;71.0;14.0;17.0;0.0;155.0;118.0;76.0
8936;Building projects under construction;Noord-Nederland (LD);2017 September;1552;294;1258;750.0;22.0;48.0;71.0;15.0;16.0;0.0;156.0;103.0;76.0
8937;Building projects under construction;Noord-Nederland (LD);2017 3rd quarter;1552;294;1258;750.0;22.0;48.0;71.0;15.0;16.0;0.0;156.0;103.0;76.0
8938;Building projects under construction;Noord-Nederland (LD);2017 October;1520;290;1230;705.0;23.0;51.0;80.0;17.0;15.0;0.0;159.0;98.0;82.0
8939;Building projects under construction;Noord-Nederland (LD);2017 November;1524;282;1242;713.0;24.0;54.0;80.0;17.0;16.0;0.0;159.0;89.0;90.0
8940;Building projects under construction;Noord-Nederland (LD);2017 December;1576;284;1292;752.0;28.0;56.0;81.0;15.0;18.0;0.0;163.0;91.0;87.0
8941;Building projects under construction;Noord-Nederland (LD);2017 4th quarter;1576;284;1292;752.0;28.0;56.0;81.0;15.0;18.0;0.0;163.0;91.0;87.0
8942;Building projects under construction;Noord-Nederland (LD);2017;1576;284;1292;752.0;28.0;56.0;81.0;15.0;18.0;0.0;163.0;91.0;87.0
8943;Building projects under construction;Noord-Nederland (LD);2018 January;1513;299;1214;727.0;;;;;;;;;
8944;Building projects under construction;Noord-Nederland (LD);2018 February;1515;294;1221;729.0;;;;;;;;;
8945;Building projects under construction;Noord-Nederland (LD);2018 March;1517;293;1223;739.0;;;;;;;;;
8946;Building projects under construction;Noord-Nederland (LD);2018 1st quarter;1517;293;1223;739.0;;;;;;;;;
8947;Building projects under construction;Noord-Nederland (LD);2018 April;1557;293;1264;776.0;;;;;;;;;
8948;Building projects under construction;Noord-Nederland (LD);2018 May;1555;324;1231;754.0;;;;;;;;;
8949;Building projects under construction;Noord-Nederland (LD);2018 June;1533;324;1209;752.0;;;;;;;;;
8950;Building projects under construction;Noord-Nederland (LD);2018 2nd quarter;1533;324;1209;752.0;;;;;;;;;
8951;Building projects under construction;Noord-Nederland (LD);2018 July;1500;281;1219;759.0;;;;;;;;;
8952;Building projects under construction;Noord-Nederland (LD);2018 August;1546;289;1258;803.0;;;;;;;;;
8953;Building projects under construction;Noord-Nederland (LD);2018 September;1627;304;1324;820.0;;;;;;;;;
8954;Building projects under construction;Noord-Nederland (LD);2018 3rd quarter;1627;304;1324;820.0;;;;;;;;;
8955;Building projects under construction;Noord-Nederland (LD);2018 October;1633;290;1343;840.0;;;;;;;;;
8956;Building projects under construction;Noord-Nederland (LD);2018 November;1788;290;1498;887.0;;;;;;;;;
8957;Building projects under construction;Noord-Nederland (LD);2018 December;1865;305;1561;947.0;;;;;;;;;
8958;Building projects under construction;Noord-Nederland (LD);2018 4th quarter;1865;305;1561;947.0;;;;;;;;;
8959;Building projects under construction;Noord-Nederland (LD);2018;1865;305;1561;947.0;30.0;55.0;68.0;61.0;22.0;1.0;247.0;80.0;48.0
8960;Building projects under construction;Noord-Nederland (LD);2019 January;1923;339;1584;964.0;;;;;;;;;
8961;Building projects under construction;Noord-Nederland (LD);2019 February;1959;333;1626;994.0;;;;;;;;;
8962;Building projects under construction;Noord-Nederland (LD);2019 March;1941;332;1610;996.0;;;;;;;;;
8963;Building projects under construction;Noord-Nederland (LD);2019 1st quarter;1941;332;1610;996.0;;;;;;;;;
8964;Building projects under construction;Noord-Nederland (LD);2019 April;1903;328;1575;966.0;;;;;;;;;
8965;Building projects under construction;Noord-Nederland (LD);2019 May;1908;331;1577;962.0;;;;;;;;;
8966;Building projects under construction;Noord-Nederland (LD);2019 June;1894;322;1571;945.0;;;;;;;;;
8967;Building projects under construction;Noord-Nederland (LD);2019 2nd quarter;1894;322;1571;945.0;;;;;;;;;
8968;Building projects under construction;Noord-Nederland (LD);2019 July;1876;310;1566;941.0;;;;;;;;;
8969;Building projects under construction;Noord-Nederland (LD);2019 August;1923;320;1603;968.0;;;;;;;;;
8970;Building projects under construction;Noord-Nederland (LD);2019 September;1857;320;1537;917.0;;;;;;;;;
8971;Building projects under construction;Noord-Nederland (LD);2019 3rd quarter;1857;320;1537;917.0;;;;;;;;;
8972;Building projects under construction;Noord-Nederland (LD);2019 October;1838;328;1509;875.0;;;;;;;;;
8973;Building projects under construction;Noord-Nederland (LD);2019 November;1816;322;1494;878.0;;;;;;;;;
8974;Building projects under construction;Noord-Nederland (LD);2019 December;1903;355;1548;929.0;;;;;;;;;
8975;Building projects under construction;Noord-Nederland (LD);2019 4th quarter;1903;355;1548;929.0;;;;;;;;;
8976;Building projects under construction;Noord-Nederland (LD);2019;1903;355;1548;929.0;21.0;60.0;36.0;67.0;25.0;19.0;255.0;71.0;64.0
8977;Building projects under construction;Noord-Nederland (LD);2020 January;1902;362;1540;937.0;;;;;;;;;
8978;Building projects under construction;Noord-Nederland (LD);2020 February;1939;358;1580;968.0;;;;;;;;;
8979;Building projects under construction;Noord-Nederland (LD);2020 March;1941;342;1600;1000.0;;;;;;;;;
8980;Building projects under construction;Noord-Nederland (LD);2020 1st quarter;1941;342;1600;1000.0;;;;;;;;;
8981;Building projects under construction;Noord-Nederland (LD);2020 April;1968;337;1631;1012.0;;;;;;;;;
8982;Building projects under construction;Noord-Nederland (LD);2020 May;2012;345;1667;1048.0;;;;;;;;;
8983;Building projects under construction;Noord-Nederland (LD);2020 June;2041;348;1693;1091.0;;;;;;;;;
8984;Building projects under construction;Noord-Nederland (LD);2020 2nd quarter;2041;348;1693;1091.0;;;;;;;;;
8985;Building projects under construction;Noord-Nederland (LD);2020 July;2112;343;1769;1155.0;;;;;;;;;
8986;Building projects under construction;Noord-Nederland (LD);2020 August;2095;368;1727;1187.0;;;;;;;;;
8987;Building projects under construction;Noord-Nederland (LD);2020 September;2070;372;1698;1178.0;;;;;;;;;
8988;Building projects under construction;Noord-Nederland (LD);2020 3rd quarter;2070;372;1698;1178.0;;;;;;;;;
8989;Building projects under construction;Noord-Nederland (LD);2020 October;2098;374;1724;1168.0;;;;;;;;;
8990;Building projects under construction;Noord-Nederland (LD);2020 November;2142;365;1776;1210.0;;;;;;;;;
8991;Building projects under construction;Noord-Nederland (LD);2020 December;2158;375;1784;1197.0;;;;;;;;;
8992;Building projects under construction;Noord-Nederland (LD);2020 4th quarter;2158;375;1784;1197.0;;;;;;;;;
8993;Building projects under construction;Noord-Nederland (LD);2020;2158;375;1784;1197.0;22.0;54.0;73.0;84.0;26.0;27.0;172.0;95.0;33.0
8994;Building projects under construction;Noord-Nederland (LD);2021 January;2240;366;1875;1220.0;;;;;;;;;
8995;Building projects under construction;Noord-Nederland (LD);2021 February;2268;385;1882;1229.0;;;;;;;;;
8996;Building projects under construction;Noord-Nederland (LD);2021 March;2180;383;1797;1178.0;;;;;;;;;
8997;Building projects under construction;Noord-Nederland (LD);2021 1st quarter;2180;383;1797;1178.0;;;;;;;;;
8998;Building projects under construction;Noord-Nederland (LD);2021 April;2149;393;1756;1143.0;;;;;;;;;
8999;Building projects under construction;Noord-Nederland (LD);2021 May;2213;380;1833;1195.0;;;;;;;;;
9000;Building projects under construction;Noord-Nederland (LD);2021 June;2250;395;1855;1218.0;;;;;;;;;
9001;Building projects under construction;Noord-Nederland (LD);2021 2nd quarter;2250;395;1855;1218.0;;;;;;;;;
9002;Building projects under construction;Noord-Nederland (LD);2021 July;2251;394;1857;1221.0;;;;;;;;;
9003;Building projects under construction;Noord-Nederland (LD);2021 August;2310;409;1902;1254.0;;;;;;;;;
9004;Building projects under construction;Noord-Nederland (LD);2021 September;2225;400;1824;1213.0;;;;;;;;;
9005;Building projects under construction;Noord-Nederland (LD);2021 3rd quarter;2225;400;1824;1213.0;;;;;;;;;
9006;Building projects under construction;Noord-Nederland (LD);2021 October;2237;405;1832;1187.0;;;;;;;;;
9007;Building projects under construction;Noord-Nederland (LD);2021 November;2034;400;1634;1130.0;;;;;;;;;
9008;Building projects under construction;Noord-Nederland (LD);2021 December;2165;429;1736;1189.0;;;;;;;;;
9009;Building projects under construction;Noord-Nederland (LD);2021 4th quarter;2165;429;1736;1189.0;;;;;;;;;
9010;Building projects under construction;Noord-Nederland (LD);2021;2165;429;1736;1189.0;100.0;59.0;53.0;38.0;49.0;29.0;74.0;121.0;24.0
9011;Building projects under construction;Noord-Nederland (LD);2022 January;2129;401;1728;1174.0;;;;;;;;;
9012;Building projects under construction;Noord-Nederland (LD);2022 February;2109;404;1705;1151.0;;;;;;;;;
9013;Building projects under construction;Noord-Nederland (LD);2022 March;2095;414;1681;1099.0;;;;;;;;;
9014;Building projects under construction;Noord-Nederland (LD);2022 1st quarter;2095;414;1681;1099.0;;;;;;;;;
9015;Building projects under construction;Noord-Nederland (LD);2022 April;2117;427;1690;1101.0;;;;;;;;;
9016;Building projects under construction;Noord-Nederland (LD);2022 May;2137;425;1712;1090.0;;;;;;;;;
9017;Building projects under construction;Noord-Nederland (LD);2022 June;2123;422;1701;1115.0;;;;;;;;;
9018;Building projects under construction;Noord-Nederland (LD);2022 2nd quarter;2123;422;1701;1115.0;;;;;;;;;
9019;Building projects under construction;Noord-Nederland (LD);2022 July;2175;443;1732;1141.0;;;;;;;;;
9020;Building projects under construction;Noord-Nederland (LD);2022 August;2279;460;1819;1194.0;;;;;;;;;
9021;Building projects under construction;Noord-Nederland (LD);2022 September;2269;464;1804;1183.0;;;;;;;;;
9022;Building projects under construction;Noord-Nederland (LD);2022 3rd quarter;2269;464;1804;1183.0;;;;;;;;;
9023;Building projects under construction;Noord-Nederland (LD);2022 October;2265;485;1780;1172.0;;;;;;;;;
9024;Building projects under construction;Noord-Nederland (LD);2022 November;2246;455;1791;1208.0;;;;;;;;;
9025;Building projects under construction;Noord-Nederland (LD);2022 December;2345;423;1922;1236.0;;;;;;;;;
9026;Building projects under construction;Noord-Nederland (LD);2022 4th quarter;2345;423;1922;1236.0;;;;;;;;;
9027;Building projects under construction;Noord-Nederland (LD);2022;2345;423;1922;1236.0;93.0;122.0;65.0;99.0;57.0;10.0;55.0;113.0;72.0
9028;Building projects under construction;Noord-Nederland (LD);2023 January;2338;437;1901;1220.0;;;;;;;;;
9029;Building projects under construction;Noord-Nederland (LD);2023 February;2325;402;1923;1227.0;;;;;;;;;
9030;Building projects under construction;Noord-Nederland (LD);2023 March;2266;392;1875;1169.0;;;;;;;;;
9031;Building projects under construction;Noord-Nederland (LD);2023 1st quarter;2266;392;1875;1169.0;;;;;;;;;
9032;Building projects under construction;Noord-Nederland (LD);2023 April;2255;408;1846;1147.0;;;;;;;;;
9033;Building projects under construction;Noord-Nederland (LD);2023 May;2297;411;1887;1154.0;;;;;;;;;
9034;Building projects under construction;Noord-Nederland (LD);2023 June;2294;401;1893;1129.0;;;;;;;;;
9035;Building projects under construction;Noord-Nederland (LD);2023 2nd quarter;2294;401;1893;1129.0;;;;;;;;;
9036;Building projects under construction;Noord-Nederland (LD);2023 July;2277;420;1857;1119.0;;;;;;;;;
9037;Building projects under construction;Noord-Nederland (LD);2023 August;2324;473;1852;1114.0;;;;;;;;;
9038;Building projects under construction;Noord-Nederland (LD);2023 September;2276;454;1822;1086.0;;;;;;;;;
9039;Building projects under construction;Noord-Nederland (LD);2023 3rd quarter;2276;454;1822;1086.0;;;;;;;;;
9040;Building projects under construction;Noord-Nederland (LD);2023 October;2186;451;1734;1057.0;;;;;;;;;
9041;Building projects under construction;Noord-Nederland (LD);2023 November;2147;445;1702;1044.0;;;;;;;;;
9042;Building projects under construction;Noord-Nederland (LD);2023 December;2125;419;1706;1099.0;;;;;;;;;
9043;Building projects under construction;Noord-Nederland (LD);2023 4th quarter;2125;419;1706;1099.0;;;;;;;;;
9044;Building projects under construction;Noord-Nederland (LD);2023;2125;419;1706;1099.0;95.0;104.0;85.0;109.0;45.0;4.0;26.0;74.0;63.0
9045;Building projects under construction;Noord-Nederland (LD);2024 January;2103;464;1639;1111.0;;;;;;;;;
9046;Building projects under construction;Noord-Nederland (LD);2024 February;2078;445;1633;1083.0;;;;;;;;;
9047;Building projects under construction;Noord-Nederland (LD);2024 March;2100;461;1639;1077.0;;;;;;;;;
9048;Building projects under construction;Noord-Nederland (LD);2024 1st quarter;2100;461;1639;1077.0;;;;;;;;;
9049;Building projects under construction;Noord-Nederland (LD);2024 April;2111;478;1633;1068.0;;;;;;;;;
9050;Building projects under construction;Noord-Nederland (LD);2024 May;2163;463;1700;1101.0;;;;;;;;;
9051;Building projects under construction;Noord-Nederland (LD);2024 June;2225;466;1759;1138.0;;;;;;;;;
9052;Building projects under construction;Noord-Nederland (LD);2024 2nd quarter;2225;466;1759;1138.0;;;;;;;;;
9053;Building projects under construction;Noord-Nederland (LD);2024 July;2153;463;1690;1074.0;;;;;;;;;
9054;Building projects under construction;Noord-Nederland (LD);2024 August;2235;481;1754;1134.0;;;;;;;;;
9055;Building projects under construction;Noord-Nederland (LD);2024 September;2231;464;1767;1103.0;;;;;;;;;
9056;Building projects under construction;Noord-Nederland (LD);2024 3rd quarter;2231;464;1767;1103.0;;;;;;;;;
9057;Building projects under construction;Noord-Nederland (LD);2024 October;2300;477;1824;1148.0;;;;;;;;;
9058;Building projects under construction;Noord-Nederland (LD);2024 November;2306;472;1834;1209.0;;;;;;;;;
9059;Building projects under construction;Noord-Nederland (LD);2024 December;2281;464;1817;1219.0;;;;;;;;;
9060;Building projects under construction;Noord-Nederland (LD);2024 4th quarter;2281;464;1817;1219.0;;;;;;;;;
9061;Building projects under construction;Noord-Nederland (LD);2024;2281;464;1817;1219.0;40.0;109.0;111.0;79.0;13.0;92.0;29.0;77.0;48.0
9062;Building projects under construction;Noord-Nederland (LD);2025 January;2242;447;1795;1224.0;;;;;;;;;
9063;Building projects under construction;Oost-Nederland (LD);2015 January;2656;510;2146;1156.0;95.0;121.0;218.0;87.0;42.0;73.0;117.0;166.0;71.0
9064;Building projects under construction;Oost-Nederland (LD);2015 February;2629;499;2130;1168.0;92.0;121.0;198.0;87.0;39.0;74.0;114.0;152.0;84.0
9065;Building projects under construction;Oost-Nederland (LD);2015 March;2563;479;2084;1160.0;81.0;118.0;191.0;83.0;35.0;74.0;112.0;148.0;81.0
9066;Building projects under construction;Oost-Nederland (LD);2015 1st quarter;2563;479;2084;1160.0;81.0;118.0;191.0;83.0;35.0;74.0;112.0;148.0;81.0
9067;Building projects under construction;Oost-Nederland (LD);2015 April;2704;503;2202;1261.0;80.0;124.0;211.0;66.0;33.0;74.0;117.0;147.0;89.0
9068;Building projects under construction;Oost-Nederland (LD);2015 May;2808;536;2272;1354.0;80.0;132.0;178.0;67.0;34.0;74.0;119.0;135.0;100.0
9069;Building projects under construction;Oost-Nederland (LD);2015 June;2844;526;2318;1400.0;77.0;119.0;179.0;56.0;51.0;68.0;130.0;135.0;104.0
9070;Building projects under construction;Oost-Nederland (LD);2015 2nd quarter;2844;526;2318;1400.0;77.0;119.0;179.0;56.0;51.0;68.0;130.0;135.0;104.0
9071;Building projects under construction;Oost-Nederland (LD);2015 July;2890;521;2369;1435.0;73.0;124.0;174.0;68.0;52.0;68.0;135.0;135.0;105.0
9072;Building projects under construction;Oost-Nederland (LD);2015 August;2985;566;2419;1474.0;79.0;135.0;182.0;68.0;52.0;68.0;129.0;127.0;106.0
9073;Building projects under construction;Oost-Nederland (LD);2015 September;2959;571;2388;1428.0;79.0;122.0;188.0;64.0;55.0;67.0;150.0;122.0;113.0
9074;Building projects under construction;Oost-Nederland (LD);2015 3rd quarter;2959;571;2388;1428.0;79.0;122.0;188.0;64.0;55.0;67.0;150.0;122.0;113.0
9075;Building projects under construction;Oost-Nederland (LD);2015 October;2949;579;2370;1420.0;79.0;121.0;180.0;63.0;47.0;68.0;157.0;125.0;109.0
9076;Building projects under construction;Oost-Nederland (LD);2015 November;2938;587;2351;1397.0;73.0;128.0;182.0;64.0;55.0;68.0;150.0;124.0;109.0
9077;Building projects under construction;Oost-Nederland (LD);2015 December;2915;586;2328;1383.0;72.0;136.0;183.0;65.0;55.0;68.0;143.0;115.0;109.0
9078;Building projects under construction;Oost-Nederland (LD);2015 4th quarter;2915;586;2328;1383.0;72.0;136.0;183.0;65.0;55.0;68.0;143.0;115.0;109.0
9079;Building projects under construction;Oost-Nederland (LD);2015;2915;586;2328;1383.0;72.0;136.0;183.0;65.0;55.0;68.0;143.0;115.0;109.0
9080;Building projects under construction;Oost-Nederland (LD);2016 January;2901;605;2296;1355.0;68.0;135.0;178.0;88.0;55.0;68.0;130.0;106.0;112.0
9081;Building projects under construction;Oost-Nederland (LD);2016 February;2879;606;2272;1347.0;57.0;133.0;185.0;87.0;52.0;62.0;131.0;105.0;114.0
9082;Building projects under construction;Oost-Nederland (LD);2016 March;2802;590;2212;1316.0;56.0;119.0;182.0;80.0;56.0;62.0;137.0;95.0;109.0
9083;Building projects under construction;Oost-Nederland (LD);2016 1st quarter;2802;590;2212;1316.0;56.0;119.0;182.0;80.0;56.0;62.0;137.0;95.0;109.0
9084;Building projects under construction;Oost-Nederland (LD);2016 April;2777;568;2209;1310.0;52.0;127.0;176.0;80.0;53.0;62.0;137.0;102.0;109.0
9085;Building projects under construction;Oost-Nederland (LD);2016 May;2792;574;2218;1319.0;52.0;123.0;178.0;83.0;53.0;62.0;135.0;104.0;108.0
