ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
267;Total;Building projects started;2020 3rd quarter;4853;992;3862;2612.0;;;;;;;;;
268;Total;Building projects started;2020 October;1590;286;1304;840.0;;;;;;;;;
269;Total;Building projects started;2020 November;1872;316;1556;1190.0;;;;;;;;;
270;Total;Building projects started;2020 December;1631;297;1334;974.0;;;;;;;;;
271;Total;Building projects started;2020 4th quarter;5093;899;4194;3004.0;;;;;;;;;
272;Total;Building projects started;2020;19317;4049;15268;10596.0;272.0;1052.0;741.0;1119.0;472.0;44.0;355.0;385.0;232.0
273;Total;Building projects started;2021 January;1974;363;1611;1171.0;;;;;;;;;
274;Total;Building projects started;2021 February;1632;411;1222;899.0;;;;;;;;;
275;Total;Building projects started;2021 March;1606;361;1245;811.0;;;;;;;;;
276;Total;Building projects started;2021 1st quarter;5213;1134;4078;2881.0;;;;;;;;;
277;Total;Building projects started;2021 April;1990;294;1696;1316.0;;;;;;;;;
278;Total;Building projects started;2021 May;2236;324;1913;1413.0;;;;;;;;;
279;Total;Building projects started;2021 June;2121;456;1665;1197.0;;;;;;;;;
280;Total;Building projects started;2021 2nd quarter;6347;1073;5274;3926.0;;;;;;;;;
281;Total;Building projects started;2021 July;1842;294;1548;1173.0;;;;;;;;;
282;Total;Building projects started;2021 August;1946;328;1619;1214.0;;;;;;;;;
283;Total;Building projects started;2021 September;1649;409;1240;794.0;;;;;;;;;
284;Total;Building projects started;2021 3rd quarter;5438;1031;4407;3180.0;;;;;;;;;
285;Total;Building projects started;2021 October;1871;581;1290;768.0;;;;;;;;;
286;Total;Building projects started;2021 November;1899;410;1489;1084.0;;;;;;;;;
287;Total;Building projects started;2021 December;1961;333;1628;1184.0;;;;;;;;;
288;Total;Building projects started;2021 4th quarter;5731;1324;4406;3037.0;;;;;;;;;
289;Total;Building projects started;2021;22728;4563;18165;13024.0;383.0;1145.0;829.0;941.0;385.0;179.0;443.0;556.0;280.0
290;Total;Building projects started;2022 January;1900;352;1548;1156.0;;;;;;;;;
291;Total;Building projects started;2022 February;1756;326;1431;964.0;;;;;;;;;
292;Total;Building projects started;2022 March;1585;449;1136;737.0;;;;;;;;;
293;Total;Building projects started;2022 1st quarter;5241;1127;4114;2856.0;;;;;;;;;
294;Total;Building projects started;2022 April;1868;441;1428;1142.0;;;;;;;;;
295;Total;Building projects started;2022 May;1765;349;1416;984.0;;;;;;;;;
296;Total;Building projects started;2022 June;1636;375;1261;891.0;;;;;;;;;
297;Total;Building projects started;2022 2nd quarter;5270;1165;4105;3016.0;;;;;;;;;
298;Total;Building projects started;2022 July;1897;445;1452;997.0;;;;;;;;;
299;Total;Building projects started;2022 August;2225;428;1797;1249.0;;;;;;;;;
300;Total;Building projects started;2022 September;1760;543;1217;716.0;;;;;;;;;
301;Total;Building projects started;2022 3rd quarter;5883;1415;4467;2962.0;;;;;;;;;
302;Total;Building projects started;2022 October;2004;622;1382;896.0;;;;;;;;;
303;Total;Building projects started;2022 November;1936;363;1572;1266.0;;;;;;;;;
304;Total;Building projects started;2022 December;1841;301;1540;940.0;;;;;;;;;
305;Total;Building projects started;2022 4th quarter;5781;1286;4495;3102.0;;;;;;;;;
306;Total;Building projects started;2022;22174;4993;17181;11937.0;279.0;1532.0;641.0;1195.0;504.0;51.0;355.0;460.0;228.0
307;Total;Building projects started;2023 January;1587;330;1257;828.0;;;;;;;;;
308;Total;Building projects started;2023 February;1577;293;1284;695.0;;;;;;;;;
309;Total;Building projects started;2023 March;1761;417;1345;717.0;;;;;;;;;
310;Total;Building projects started;2023 1st quarter;4926;1040;3885;2241.0;;;;;;;;;
311;Total;Building projects started;2023 April;1556;297;1259;820.0;;;;;;;;;
312;Total;Building projects started;2023 May;1982;395;1587;1127.0;;;;;;;;;
313;Total;Building projects started;2023 June;1601;390;1211;720.0;;;;;;;;;
314;Total;Building projects started;2023 2nd quarter;5140;1083;4057;2667.0;;;;;;;;;
315;Total;Building projects started;2023 July;1871;388;1483;977.0;;;;;;;;;
316;Total;Building projects started;2023 August;1556;370;1186;809.0;;;;;;;;;
317;Total;Building projects started;2023 September;1369;375;993;650.0;;;;;;;;;
318;Total;Building projects started;2023 3rd quarter;4796;1133;3663;2437.0;;;;;;;;;
319;Total;Building projects started;2023 October;1494;361;1133;776.0;;;;;;;;;
320;Total;Building projects started;2023 November;1642;374;1268;973.0;;;;;;;;;
321;Total;Building projects started;2023 December;1766;354;1413;937.0;;;;;;;;;
322;Total;Building projects started;2023 4th quarter;4902;1088;3814;2687.0;;;;;;;;;
323;Total;Building projects started;2023;19763;4345;15418;10031.0;232.0;1275.0;617.0;1189.0;743.0;188.0;517.0;419.0;208.0
324;Total;Building projects started;2024 January;1497;406;1091;749.0;;;;;;;;;
325;Total;Building projects started;2024 February;1443;314;1130;573.0;;;;;;;;;
326;Total;Building projects started;2024 March;1893;470;1422;1019.0;;;;;;;;;
327;Total;Building projects started;2024 1st quarter;4833;1190;3643;2342.0;;;;;;;;;
328;Total;Building projects started;2024 April;1927;432;1496;1206.0;;;;;;;;;
329;Total;Building projects started;2024 May;1920;340;1580;1066.0;;;;;;;;;
330;Total;Building projects started;2024 June;2700;392;2308;1489.0;;;;;;;;;
331;Total;Building projects started;2024 2nd quarter;6547;1164;5383;3760.0;;;;;;;;;
332;Total;Building projects started;2024 July;2179;397;1782;1114.0;;;;;;;;;
333;Total;Building projects started;2024 August;2072;372;1701;1155.0;;;;;;;;;
334;Total;Building projects started;2024 September;1655;365;1290;732.0;;;;;;;;;
335;Total;Building projects started;2024 3rd quarter;5906;1133;4773;3002.0;;;;;;;;;
336;Total;Building projects started;2024 October;1357;358;999;599.0;;;;;;;;;
337;Total;Building projects started;2024 November;1940;501;1439;1051.0;;;;;;;;;
338;Total;Building projects started;2024 December;2068;279;1790;1316.0;;;;;;;;;
339;Total;Building projects started;2024 4th quarter;5365;1137;4228;2966.0;;;;;;;;;
340;Total;Building projects started;2024;22651;4625;18027;12070.0;399.0;1413.0;826.0;1340.0;550.0;152.0;439.0;515.0;322.0
341;Total;Building projects started;2025 January;1789;287;1502;1247.0;;;;;;;;;
342;Total;Building projects not yet started;2015 January;2269;766;1502;874.0;87.0;40.0;79.0;38.0;167.0;4.0;67.0;62.0;85.0
343;Total;Building projects not yet started;2015 February;2614;736;1878;1283.0;90.0;55.0;103.0;66.0;36.0;0.0;65.0;95.0;85.0
344;Total;Building projects not yet started;2015 March;3069;802;2267;1557.0;85.0;104.0;99.0;109.0;44.0;6.0;111.0;83.0;67.0
345;Total;Building projects not yet started;2015 1st quarter;3069;802;2267;1557.0;85.0;104.0;99.0;109.0;44.0;6.0;111.0;83.0;67.0
346;Total;Building projects not yet started;2015 April;3093;730;2362;1574.0;87.0;101.0;79.0;87.0;132.0;7.0;135.0;103.0;58.0
347;Total;Building projects not yet started;2015 May;2576;657;1919;1141.0;85.0;68.0;90.0;148.0;141.0;7.0;132.0;62.0;47.0
348;Total;Building projects not yet started;2015 June;2128;568;1560;880.0;97.0;65.0;88.0;133.0;76.0;2.0;106.0;54.0;58.0
349;Total;Building projects not yet started;2015 2nd quarter;2128;568;1560;880.0;97.0;65.0;88.0;133.0;76.0;2.0;106.0;54.0;58.0
350;Total;Building projects not yet started;2015 July;2188;654;1534;933.0;116.0;60.0;67.0;65.0;87.0;3.0;78.0;69.0;57.0
351;Total;Building projects not yet started;2015 August;2030;590;1440;720.0;100.0;51.0;62.0;76.0;210.0;3.0;86.0;78.0;55.0
352;Total;Building projects not yet started;2015 September;2113;605;1508;820.0;90.0;43.0;92.0;48.0;195.0;2.0;59.0;122.0;37.0
353;Total;Building projects not yet started;2015 3rd quarter;2113;605;1508;820.0;90.0;43.0;92.0;48.0;195.0;2.0;59.0;122.0;37.0
354;Total;Building projects not yet started;2015 October;2025;617;1408;848.0;78.0;59.0;86.0;46.0;32.0;60.0;57.0;109.0;31.0
355;Total;Building projects not yet started;2015 November;2002;636;1366;754.0;61.0;69.0;102.0;54.0;15.0;60.0;81.0;128.0;42.0
356;Total;Building projects not yet started;2015 December;2200;654;1546;860.0;61.0;65.0;158.0;60.0;40.0;61.0;102.0;88.0;53.0
357;Total;Building projects not yet started;2015 4th quarter;2200;654;1546;860.0;61.0;65.0;158.0;60.0;40.0;61.0;102.0;88.0;53.0
358;Total;Building projects not yet started;2015;2200;654;1546;860.0;61.0;65.0;158.0;60.0;40.0;61.0;102.0;88.0;53.0
359;Total;Building projects not yet started;2016 January;1992;581;1411;847.0;71.0;69.0;102.0;40.0;54.0;1.0;95.0;84.0;49.0
360;Total;Building projects not yet started;2016 February;1944;637;1306;789.0;85.0;93.0;66.0;45.0;30.0;1.0;76.0;79.0;43.0
361;Total;Building projects not yet started;2016 March;2193;655;1537;934.0;99.0;83.0;131.0;88.0;28.0;0.0;69.0;69.0;36.0
362;Total;Building projects not yet started;2016 1st quarter;2193;655;1537;934.0;99.0;83.0;131.0;88.0;28.0;0.0;69.0;69.0;36.0
363;Total;Building projects not yet started;2016 April;2402;715;1687;929.0;113.0;72.0;130.0;82.0;88.0;4.0;66.0;167.0;36.0
364;Total;Building projects not yet started;2016 May;2412;731;1681;967.0;93.0;72.0;122.0;55.0;90.0;5.0;72.0;159.0;45.0
365;Total;Building projects not yet started;2016 June;2577;769;1808;1085.0;88.0;87.0;146.0;86.0;33.0;5.0;53.0;168.0;56.0
366;Total;Building projects not yet started;2016 2nd quarter;2577;769;1808;1085.0;88.0;87.0;146.0;86.0;33.0;5.0;53.0;168.0;56.0
367;Total;Building projects not yet started;2016 July;2453;765;1689;1034.0;87.0;83.0;100.0;104.0;25.0;5.0;93.0;69.0;88.0
368;Total;Building projects not yet started;2016 August;2321;772;1549;988.0;85.0;56.0;45.0;84.0;58.0;5.0;83.0;64.0;82.0
369;Total;Building projects not yet started;2016 September;2572;746;1826;1125.0;78.0;105.0;46.0;171.0;53.0;7.0;85.0;56.0;100.0
370;Total;Building projects not yet started;2016 3rd quarter;2572;746;1826;1125.0;78.0;105.0;46.0;171.0;53.0;7.0;85.0;56.0;100.0
371;Total;Building projects not yet started;2016 October;2641;666;1975;1317.0;68.0;108.0;53.0;161.0;58.0;31.0;29.0;66.0;84.0
372;Total;Building projects not yet started;2016 November;2601;678;1923;1234.0;84.0;131.0;114.0;83.0;81.0;30.0;17.0;76.0;72.0
373;Total;Building projects not yet started;2016 December;2814;758;2056;1227.0;79.0;151.0;154.0;99.0;100.0;28.0;24.0;75.0;120.0
374;Total;Building projects not yet started;2016 4th quarter;2814;758;2056;1227.0;79.0;151.0;154.0;99.0;100.0;28.0;24.0;75.0;120.0
375;Total;Building projects not yet started;2016;2814;758;2056;1227.0;79.0;151.0;154.0;99.0;100.0;28.0;24.0;75.0;120.0
376;Total;Building projects not yet started;2017 January;2462;616;1847;1195.0;89.0;103.0;90.0;56.0;78.0;14.0;26.0;60.0;136.0
377;Total;Building projects not yet started;2017 February;2654;666;1988;1154.0;112.0;155.0;87.0;72.0;42.0;14.0;48.0;52.0;251.0
378;Total;Building projects not yet started;2017 March;3083;697;2386;1463.0;87.0;187.0;139.0;159.0;52.0;14.0;73.0;47.0;165.0
379;Total;Building projects not yet started;2017 1st quarter;3083;697;2386;1463.0;87.0;187.0;139.0;159.0;52.0;14.0;73.0;47.0;165.0
380;Total;Building projects not yet started;2017 April;3054;614;2440;1616.0;75.0;156.0;126.0;120.0;53.0;0.0;95.0;47.0;152.0
381;Total;Building projects not yet started;2017 May;2737;685;2053;1256.0;73.0;168.0;112.0;60.0;43.0;3.0;187.0;58.0;92.0
382;Total;Building projects not yet started;2017 June;2740;710;2030;1251.0;77.0;160.0;98.0;96.0;27.0;3.0;162.0;58.0;97.0
383;Total;Building projects not yet started;2017 2nd quarter;2740;710;2030;1251.0;77.0;160.0;98.0;96.0;27.0;3.0;162.0;58.0;97.0
384;Total;Building projects not yet started;2017 July;3419;881;2538;1639.0;90.0;148.0;190.0;107.0;36.0;3.0;165.0;69.0;89.0
385;Total;Building projects not yet started;2017 August;2837;792;2045;1364.0;84.0;119.0;184.0;69.0;74.0;1.0;50.0;56.0;44.0
386;Total;Building projects not yet started;2017 September;2805;738;2067;1469.0;85.0;139.0;74.0;52.0;75.0;4.0;38.0;71.0;61.0
387;Total;Building projects not yet started;2017 3rd quarter;2805;738;2067;1469.0;85.0;139.0;74.0;52.0;75.0;4.0;38.0;71.0;61.0
388;Total;Building projects not yet started;2017 October;3226;856;2371;1637.0;81.0;206.0;137.0;105.0;32.0;20.0;17.0;73.0;62.0
389;Total;Building projects not yet started;2017 November;3312;839;2473;1537.0;92.0;233.0;137.0;179.0;22.0;20.0;27.0;172.0;55.0
390;Total;Building projects not yet started;2017 December;3093;874;2219;1349.0;91.0;189.0;100.0;169.0;34.0;17.0;35.0;159.0;74.0
391;Total;Building projects not yet started;2017 4th quarter;3093;874;2219;1349.0;91.0;189.0;100.0;169.0;34.0;17.0;35.0;159.0;74.0
392;Total;Building projects not yet started;2017;3093;874;2219;1349.0;91.0;189.0;100.0;169.0;34.0;17.0;35.0;159.0;74.0
393;Total;Building projects not yet started;2018 January;2723;834;1889;1155.0;;;;;;;;;
394;Total;Building projects not yet started;2018 February;2888;819;2069;1374.0;;;;;;;;;
395;Total;Building projects not yet started;2018 March;3066;807;2259;1490.0;;;;;;;;;
396;Total;Building projects not yet started;2018 1st quarter;3066;807;2259;1490.0;;;;;;;;;
397;Total;Building projects not yet started;2018 April;3198;803;2395;1491.0;;;;;;;;;
398;Total;Building projects not yet started;2018 May;3009;695;2313;1254.0;;;;;;;;;
399;Total;Building projects not yet started;2018 June;3171;808;2363;1417.0;;;;;;;;;
400;Total;Building projects not yet started;2018 2nd quarter;3171;808;2363;1417.0;;;;;;;;;
401;Total;Building projects not yet started;2018 July;3371;883;2488;1566.0;;;;;;;;;
402;Total;Building projects not yet started;2018 August;3249;803;2445;1416.0;;;;;;;;;
403;Total;Building projects not yet started;2018 September;3234;784;2450;1575.0;;;;;;;;;
404;Total;Building projects not yet started;2018 3rd quarter;3234;784;2450;1575.0;;;;;;;;;
405;Total;Building projects not yet started;2018 October;3940;820;3120;2150.0;;;;;;;;;
406;Total;Building projects not yet started;2018 November;3306;788;2518;1641.0;;;;;;;;;
407;Total;Building projects not yet started;2018 December;3100;824;2276;1421.0;;;;;;;;;
408;Total;Building projects not yet started;2018 4th quarter;3100;824;2276;1421.0;;;;;;;;;
409;Total;Building projects not yet started;2018;3100;824;2276;1421.0;72.0;181.0;112.0;181.0;62.0;10.0;54.0;108.0;75.0
410;Total;Building projects not yet started;2019 January;2704;825;1879;1164.0;;;;;;;;;
411;Total;Building projects not yet started;2019 February;2605;769;1836;1052.0;;;;;;;;;
412;Total;Building projects not yet started;2019 March;2950;837;2113;1272.0;;;;;;;;;
413;Total;Building projects not yet started;2019 1st quarter;2950;837;2113;1272.0;;;;;;;;;
414;Total;Building projects not yet started;2019 April;3002;757;2246;1317.0;;;;;;;;;
415;Total;Building projects not yet started;2019 May;2758;769;1988;1119.0;;;;;;;;;
416;Total;Building projects not yet started;2019 June;2654;713;1941;1113.0;;;;;;;;;
417;Total;Building projects not yet started;2019 2nd quarter;2654;713;1941;1113.0;;;;;;;;;
418;Total;Building projects not yet started;2019 July;3375;976;2399;1462.0;;;;;;;;;
419;Total;Building projects not yet started;2019 August;2739;794;1946;1097.0;;;;;;;;;
420;Total;Building projects not yet started;2019 September;2509;727;1782;1105.0;;;;;;;;;
421;Total;Building projects not yet started;2019 3rd quarter;2509;727;1782;1105.0;;;;;;;;;
422;Total;Building projects not yet started;2019 October;3102;760;2342;1631.0;;;;;;;;;
423;Total;Building projects not yet started;2019 November;3312;796;2516;1555.0;;;;;;;;;
424;Total;Building projects not yet started;2019 December;3449;905;2544;1546.0;;;;;;;;;
425;Total;Building projects not yet started;2019 4th quarter;3449;905;2544;1546.0;;;;;;;;;
426;Total;Building projects not yet started;2019;3449;905;2544;1546.0;54.0;283.0;168.0;194.0;78.0;3.0;67.0;83.0;67.0
427;Total;Building projects not yet started;2020 January;2970;947;2022;1286.0;;;;;;;;;
428;Total;Building projects not yet started;2020 February;2988;970;2018;1308.0;;;;;;;;;
429;Total;Building projects not yet started;2020 March;3356;1078;2279;1509.0;;;;;;;;;
430;Total;Building projects not yet started;2020 1st quarter;3356;1078;2279;1509.0;;;;;;;;;
431;Total;Building projects not yet started;2020 April;3492;1003;2489;1580.0;;;;;;;;;
432;Total;Building projects not yet started;2020 May;3329;1052;2277;1286.0;;;;;;;;;
433;Total;Building projects not yet started;2020 June;3144;868;2276;1379.0;;;;;;;;;
434;Total;Building projects not yet started;2020 2nd quarter;3144;868;2276;1379.0;;;;;;;;;
435;Total;Building projects not yet started;2020 July;3628;893;2734;1611.0;;;;;;;;;
436;Total;Building projects not yet started;2020 August;3068;795;2273;1204.0;;;;;;;;;
437;Total;Building projects not yet started;2020 September;3244;808;2436;1466.0;;;;;;;;;
438;Total;Building projects not yet started;2020 3rd quarter;3244;808;2436;1466.0;;;;;;;;;
439;Total;Building projects not yet started;2020 October;3613;926;2686;1846.0;;;;;;;;;
440;Total;Building projects not yet started;2020 November;3440;965;2475;1520.0;;;;;;;;;
441;Total;Building projects not yet started;2020 December;3803;1018;2785;1858.0;;;;;;;;;
442;Total;Building projects not yet started;2020 4th quarter;3803;1018;2785;1858.0;;;;;;;;;
443;Total;Building projects not yet started;2020;3803;1018;2785;1858.0;136.0;187.0;106.0;135.0;95.0;23.0;103.0;108.0;33.0
444;Total;Building projects not yet started;2021 January;3312;919;2393;1494.0;;;;;;;;;
445;Total;Building projects not yet started;2021 February;3394;841;2553;1591.0;;;;;;;;;
446;Total;Building projects not yet started;2021 March;4252;898;3354;2209.0;;;;;;;;;
447;Total;Building projects not yet started;2021 1st quarter;4252;898;3354;2209.0;;;;;;;;;
448;Total;Building projects not yet started;2021 April;4286;929;3357;2196.0;;;;;;;;;
449;Total;Building projects not yet started;2021 May;3812;990;2822;1760.0;;;;;;;;;
450;Total;Building projects not yet started;2021 June;3527;903;2624;1719.0;;;;;;;;;
451;Total;Building projects not yet started;2021 2nd quarter;3527;903;2624;1719.0;;;;;;;;;
452;Total;Building projects not yet started;2021 July;4024;1108;2916;1763.0;;;;;;;;;
453;Total;Building projects not yet started;2021 August;3361;1026;2335;1235.0;;;;;;;;;
454;Total;Building projects not yet started;2021 September;3573;1137;2436;1318.0;;;;;;;;;
455;Total;Building projects not yet started;2021 3rd quarter;3573;1137;2436;1318.0;;;;;;;;;
456;Total;Building projects not yet started;2021 October;3581;908;2673;1689.0;;;;;;;;;
457;Total;Building projects not yet started;2021 November;3671;907;2763;1734.0;;;;;;;;;
458;Total;Building projects not yet started;2021 December;3715;1033;2683;1699.0;;;;;;;;;
459;Total;Building projects not yet started;2021 4th quarter;3715;1033;2683;1699.0;;;;;;;;;
460;Total;Building projects not yet started;2021;3715;1033;2683;1699.0;69.0;285.0;160.0;146.0;49.0;17.0;83.0;132.0;43.0
461;Total;Building projects not yet started;2022 January;3339;963;2376;1416.0;;;;;;;;;
462;Total;Building projects not yet started;2022 February;3032;996;2036;1205.0;;;;;;;;;
463;Total;Building projects not yet started;2022 March;3769;1061;2707;1784.0;;;;;;;;;
464;Total;Building projects not yet started;2022 1st quarter;3769;1061;2707;1784.0;;;;;;;;;
465;Total;Building projects not yet started;2022 April;3385;1007;2377;1469.0;;;;;;;;;
466;Total;Building projects not yet started;2022 May;3513;1113;2400;1388.0;;;;;;;;;
467;Total;Building projects not yet started;2022 June;4033;1332;2701;1578.0;;;;;;;;;
468;Total;Building projects not yet started;2022 2nd quarter;4033;1332;2701;1578.0;;;;;;;;;
469;Total;Building projects not yet started;2022 July;4293;1351;2942;1745.0;;;;;;;;;
470;Total;Building projects not yet started;2022 August;3448;1265;2183;1108.0;;;;;;;;;
