ID;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1
1209;Nat. person without sole proprietorship;2007 4th quarter;714
1210;Nat. person without sole proprietorship;2007;3350
1211;Nat. person without sole proprietorship;2008 January;327
1212;Nat. person without sole proprietorship;2008 February;166
1213;Nat. person without sole proprietorship;2008 March;144
1214;Nat. person without sole proprietorship;2008 1st quarter;637
1215;Nat. person without sole proprietorship;2008 April;184
1216;Nat. person without sole proprietorship;2008 May;130
1217;Nat. person without sole proprietorship;2008 June;176
1218;Nat. person without sole proprietorship;2008 2nd quarter;490
1219;Nat. person without sole proprietorship;2008 July;203
1220;Nat. person without sole proprietorship;2008 August;164
1221;Nat. person without sole proprietorship;2008 September;176
1222;Nat. person without sole proprietorship;2008 3rd quarter;543
1223;Nat. person without sole proprietorship;2008 October;155
1224;Nat. person without sole proprietorship;2008 November;195
1225;Nat. person without sole proprietorship;2008 December;190
1226;Nat. person without sole proprietorship;2008 4th quarter;540
1227;Nat. person without sole proprietorship;2008;2210
1228;Nat. person without sole proprietorship;2009 January;227
1229;Nat. person without sole proprietorship;2009 February;165
1230;Nat. person without sole proprietorship;2009 March;272
1231;Nat. person without sole proprietorship;2009 1st quarter;664
1232;Nat. person without sole proprietorship;2009 April;232
1233;Nat. person without sole proprietorship;2009 May;177
1234;Nat. person without sole proprietorship;2009 June;226
1235;Nat. person without sole proprietorship;2009 2nd quarter;635
1236;Nat. person without sole proprietorship;2009 July;190
1237;Nat. person without sole proprietorship;2009 August;189
1238;Nat. person without sole proprietorship;2009 September;197
1239;Nat. person without sole proprietorship;2009 3rd quarter;576
1240;Nat. person without sole proprietorship;2009 October;214
1241;Nat. person without sole proprietorship;2009 November;194
1242;Nat. person without sole proprietorship;2009 December;201
1243;Nat. person without sole proprietorship;2009 4th quarter;609
1244;Nat. person without sole proprietorship;2009;2484
1245;Nat. person without sole proprietorship;2010 January;199
1246;Nat. person without sole proprietorship;2010 February;179
1247;Nat. person without sole proprietorship;2010 March;252
1248;Nat. person without sole proprietorship;2010 1st quarter;630
1249;Nat. person without sole proprietorship;2010 April;207
1250;Nat. person without sole proprietorship;2010 May;130
1251;Nat. person without sole proprietorship;2010 June;236
1252;Nat. person without sole proprietorship;2010 2nd quarter;573
1253;Nat. person without sole proprietorship;2010 July;187
1254;Nat. person without sole proprietorship;2010 August;210
1255;Nat. person without sole proprietorship;2010 September;192
1256;Nat. person without sole proprietorship;2010 3rd quarter;589
1257;Nat. person without sole proprietorship;2010 October;176
1258;Nat. person without sole proprietorship;2010 November;218
1259;Nat. person without sole proprietorship;2010 December;158
1260;Nat. person without sole proprietorship;2010 4th quarter;552
1261;Nat. person without sole proprietorship;2010;2344
1262;Nat. person without sole proprietorship;2011 January;180
1263;Nat. person without sole proprietorship;2011 February;215
1264;Nat. person without sole proprietorship;2011 March;264
1265;Nat. person without sole proprietorship;2011 1st quarter;659
1266;Nat. person without sole proprietorship;2011 April;197
1267;Nat. person without sole proprietorship;2011 May;262
1268;Nat. person without sole proprietorship;2011 June;191
1269;Nat. person without sole proprietorship;2011 2nd quarter;650
1270;Nat. person without sole proprietorship;2011 July;200
1271;Nat. person without sole proprietorship;2011 August;221
1272;Nat. person without sole proprietorship;2011 September;211
1273;Nat. person without sole proprietorship;2011 3rd quarter;632
1274;Nat. person without sole proprietorship;2011 October;212
1275;Nat. person without sole proprietorship;2011 November;304
1276;Nat. person without sole proprietorship;2011 December;191
1277;Nat. person without sole proprietorship;2011 4th quarter;707
1278;Nat. person without sole proprietorship;2011;2648
1279;Nat. person without sole proprietorship;2012 January;255
1280;Nat. person without sole proprietorship;2012 February;273
1281;Nat. person without sole proprietorship;2012 March;248
1282;Nat. person without sole proprietorship;2012 1st quarter;776
1283;Nat. person without sole proprietorship;2012 April;196
1284;Nat. person without sole proprietorship;2012 May;261
1285;Nat. person without sole proprietorship;2012 June;230
1286;Nat. person without sole proprietorship;2012 2nd quarter;687
1287;Nat. person without sole proprietorship;2012 July;278
1288;Nat. person without sole proprietorship;2012 August;245
1289;Nat. person without sole proprietorship;2012 September;244
1290;Nat. person without sole proprietorship;2012 3rd quarter;767
1291;Nat. person without sole proprietorship;2012 October;276
1292;Nat. person without sole proprietorship;2012 November;281
1293;Nat. person without sole proprietorship;2012 December;215
1294;Nat. person without sole proprietorship;2012 4th quarter;772
1295;Nat. person without sole proprietorship;2012;3002
1296;Nat. person without sole proprietorship;2013 January;269
1297;Nat. person without sole proprietorship;2013 February;231
1298;Nat. person without sole proprietorship;2013 March;290
1299;Nat. person without sole proprietorship;2013 1st quarter;790
1300;Nat. person without sole proprietorship;2013 April;248
1301;Nat. person without sole proprietorship;2013 May;294
1302;Nat. person without sole proprietorship;2013 June;250
1303;Nat. person without sole proprietorship;2013 2nd quarter;792
1304;Nat. person without sole proprietorship;2013 July;272
1305;Nat. person without sole proprietorship;2013 August;196
1306;Nat. person without sole proprietorship;2013 September;204
1307;Nat. person without sole proprietorship;2013 3rd quarter;672
1308;Nat. person without sole proprietorship;2013 October;293
1309;Nat. person without sole proprietorship;2013 November;243
1310;Nat. person without sole proprietorship;2013 December;228
1311;Nat. person without sole proprietorship;2013 4th quarter;764
1312;Nat. person without sole proprietorship;2013;3018
1313;Nat. person without sole proprietorship;2014 January;238
1314;Nat. person without sole proprietorship;2014 February;219
1315;Nat. person without sole proprietorship;2014 March;185
1316;Nat. person without sole proprietorship;2014 1st quarter;642
1317;Nat. person without sole proprietorship;2014 April;211
1318;Nat. person without sole proprietorship;2014 May;171
1319;Nat. person without sole proprietorship;2014 June;129
1320;Nat. person without sole proprietorship;2014 2nd quarter;511
1321;Nat. person without sole proprietorship;2014 July;145
1322;Nat. person without sole proprietorship;2014 August;142
1323;Nat. person without sole proprietorship;2014 September;169
1324;Nat. person without sole proprietorship;2014 3rd quarter;456
1325;Nat. person without sole proprietorship;2014 October;152
1326;Nat. person without sole proprietorship;2014 November;141
1327;Nat. person without sole proprietorship;2014 December;146
1328;Nat. person without sole proprietorship;2014 4th quarter;439
1329;Nat. person without sole proprietorship;2014;2048
1330;Nat. person without sole proprietorship;2015 January;119
1331;Nat. person without sole proprietorship;2015 February;141
1332;Nat. person without sole proprietorship;2015 March;150
1333;Nat. person without sole proprietorship;2015 1st quarter;410
1334;Nat. person without sole proprietorship;2015 April;111
1335;Nat. person without sole proprietorship;2015 May;83
1336;Nat. person without sole proprietorship;2015 June;107
1337;Nat. person without sole proprietorship;2015 2nd quarter;301
1338;Nat. person without sole proprietorship;2015 July;104
1339;Nat. person without sole proprietorship;2015 August;81
1340;Nat. person without sole proprietorship;2015 September;106
1341;Nat. person without sole proprietorship;2015 3rd quarter;291
1342;Nat. person without sole proprietorship;2015 October;113
1343;Nat. person without sole proprietorship;2015 November;86
1344;Nat. person without sole proprietorship;2015 December;131
1345;Nat. person without sole proprietorship;2015 4th quarter;330
1346;Nat. person without sole proprietorship;2015;1332
1347;Nat. person without sole proprietorship;2016 January;76
1348;Nat. person without sole proprietorship;2016 February;83
1349;Nat. person without sole proprietorship;2016 March;120
1350;Nat. person without sole proprietorship;2016 1st quarter;279
1351;Nat. person without sole proprietorship;2016 April;87
1352;Nat. person without sole proprietorship;2016 May;94
1353;Nat. person without sole proprietorship;2016 June;75
1354;Nat. person without sole proprietorship;2016 2nd quarter;256
1355;Nat. person without sole proprietorship;2016 July;66
1356;Nat. person without sole proprietorship;2016 August;84
1357;Nat. person without sole proprietorship;2016 September;59
1358;Nat. person without sole proprietorship;2016 3rd quarter;209
1359;Nat. person without sole proprietorship;2016 October;60
1360;Nat. person without sole proprietorship;2016 November;72
1361;Nat. person without sole proprietorship;2016 December;64
1362;Nat. person without sole proprietorship;2016 4th quarter;196
1363;Nat. person without sole proprietorship;2016;940
1364;Nat. person without sole proprietorship;2017 January;67
1365;Nat. person without sole proprietorship;2017 February;50
1366;Nat. person without sole proprietorship;2017 March;73
1367;Nat. person without sole proprietorship;2017 1st quarter;190
1368;Nat. person without sole proprietorship;2017 April;67
1369;Nat. person without sole proprietorship;2017 May;84
1370;Nat. person without sole proprietorship;2017 June;56
1371;Nat. person without sole proprietorship;2017 2nd quarter;207
1372;Nat. person without sole proprietorship;2017 July;57
1373;Nat. person without sole proprietorship;2017 August;70
1374;Nat. person without sole proprietorship;2017 September;65
1375;Nat. person without sole proprietorship;2017 3rd quarter;192
1376;Nat. person without sole proprietorship;2017 October;74
1377;Nat. person without sole proprietorship;2017 November;52
1378;Nat. person without sole proprietorship;2017 December;38
1379;Nat. person without sole proprietorship;2017 4th quarter;164
1380;Nat. person without sole proprietorship;2017;753
1381;Nat. person without sole proprietorship;2018 January;57
1382;Nat. person without sole proprietorship;2018 February;33
1383;Nat. person without sole proprietorship;2018 March;65
1384;Nat. person without sole proprietorship;2018 1st quarter;155
1385;Nat. person without sole proprietorship;2018 April;48
1386;Nat. person without sole proprietorship;2018 May;48
1387;Nat. person without sole proprietorship;2018 June;53
1388;Nat. person without sole proprietorship;2018 2nd quarter;149
1389;Nat. person without sole proprietorship;2018 July;52
1390;Nat. person without sole proprietorship;2018 August;36
1391;Nat. person without sole proprietorship;2018 September;45
1392;Nat. person without sole proprietorship;2018 3rd quarter;133
1393;Nat. person without sole proprietorship;2018 October;61
1394;Nat. person without sole proprietorship;2018 November;52
1395;Nat. person without sole proprietorship;2018 December;43
1396;Nat. person without sole proprietorship;2018 4th quarter;156
1397;Nat. person without sole proprietorship;2018;593
1398;Nat. person without sole proprietorship;2019 January;63
1399;Nat. person without sole proprietorship;2019 February;46
1400;Nat. person without sole proprietorship;2019 March;55
1401;Nat. person without sole proprietorship;2019 1st quarter;164
1402;Nat. person without sole proprietorship;2019 April;50
1403;Nat. person without sole proprietorship;2019 May;31
1404;Nat. person without sole proprietorship;2019 June;62
1405;Nat. person without sole proprietorship;2019 2nd quarter;143
1406;Nat. person without sole proprietorship;2019 July;50
1407;Nat. person without sole proprietorship;2019 August;44
1408;Nat. person without sole proprietorship;2019 September;46
1409;Nat. person without sole proprietorship;2019 3rd quarter;140
1410;Nat. person without sole proprietorship;2019 October;58
1411;Nat. person without sole proprietorship;2019 November;49
1412;Nat. person without sole proprietorship;2019 December;32
1413;Nat. person without sole proprietorship;2019 4th quarter;139
1414;Nat. person without sole proprietorship;2019;586
1415;Nat. person without sole proprietorship;2020 January;46
1416;Nat. person without sole proprietorship;2020 February;52
1417;Nat. person without sole proprietorship;2020 March;38
1418;Nat. person without sole proprietorship;2020 1st quarter;136
1419;Nat. person without sole proprietorship;2020 April;31
1420;Nat. person without sole proprietorship;2020 May;48
1421;Nat. person without sole proprietorship;2020 June;52
1422;Nat. person without sole proprietorship;2020 2nd quarter;131
1423;Nat. person without sole proprietorship;2020 July;30
1424;Nat. person without sole proprietorship;2020 August;21
1425;Nat. person without sole proprietorship;2020 September;42
1426;Nat. person without sole proprietorship;2020 3rd quarter;93
1427;Nat. person without sole proprietorship;2020 October;38
1428;Nat. person without sole proprietorship;2020 November;29
1429;Nat. person without sole proprietorship;2020 December;28
1430;Nat. person without sole proprietorship;2020 4th quarter;95
1431;Nat. person without sole proprietorship;2020;455
1432;Nat. person without sole proprietorship;2021 January;37
1433;Nat. person without sole proprietorship;2021 February;26
1434;Nat. person without sole proprietorship;2021 March;29
1435;Nat. person without sole proprietorship;2021 1st quarter;92
1436;Nat. person without sole proprietorship;2021 April;36
1437;Nat. person without sole proprietorship;2021 May;23
1438;Nat. person without sole proprietorship;2021 June;23
1439;Nat. person without sole proprietorship;2021 2nd quarter;82
1440;Nat. person without sole proprietorship;2021 July;23
1441;Nat. person without sole proprietorship;2021 August;27
1442;Nat. person without sole proprietorship;2021 September;25
1443;Nat. person without sole proprietorship;2021 3rd quarter;75
1444;Nat. person without sole proprietorship;2021 October;23
1445;Nat. person without sole proprietorship;2021 November;26
1446;Nat. person without sole proprietorship;2021 December;13
1447;Nat. person without sole proprietorship;2021 4th quarter;62
1448;Nat. person without sole proprietorship;2021;311
1449;Nat. person without sole proprietorship;2022 January;13
1450;Nat. person without sole proprietorship;2022 February;25
1451;Nat. person without sole proprietorship;2022 March;18
1452;Nat. person without sole proprietorship;2022 1st quarter;56
1453;Nat. person without sole proprietorship;2022 April;24
1454;Nat. person without sole proprietorship;2022 May;31
1455;Nat. person without sole proprietorship;2022 June;13
1456;Nat. person without sole proprietorship;2022 2nd quarter;68
1457;Nat. person without sole proprietorship;2022 July;22
1458;Nat. person without sole proprietorship;2022 August;24
1459;Nat. person without sole proprietorship;2022 September;17
1460;Nat. person without sole proprietorship;2022 3rd quarter;63
1461;Nat. person without sole proprietorship;2022 October;38
1462;Nat. person without sole proprietorship;2022 November;41
1463;Nat. person without sole proprietorship;2022 December;21
1464;Nat. person without sole proprietorship;2022 4th quarter;100
1465;Nat. person without sole proprietorship;2022;287
1466;Nat. person without sole proprietorship;2023 January;22
1467;Nat. person without sole proprietorship;2023 February;30
1468;Nat. person without sole proprietorship;2023 March;30
1469;Nat. person without sole proprietorship;2023 1st quarter;82
1470;Nat. person without sole proprietorship;2023 April;24
1471;Nat. person without sole proprietorship;2023 May;38
1472;Nat. person without sole proprietorship;2023 June;25
1473;Nat. person without sole proprietorship;2023 2nd quarter;87
1474;Nat. person without sole proprietorship;2023 July;25
1475;Nat. person without sole proprietorship;2023 August;26
1476;Nat. person without sole proprietorship;2023 September;22
1477;Nat. person without sole proprietorship;2023 3rd quarter;73
1478;Nat. person without sole proprietorship;2023 October;24
1479;Nat. person without sole proprietorship;2023 November;30
1480;Nat. person without sole proprietorship;2023 December;31
1481;Nat. person without sole proprietorship;2023 4th quarter;85
1482;Nat. person without sole proprietorship;2023;327
1483;Nat. person without sole proprietorship;2024 January;54
1484;Nat. person without sole proprietorship;2024 February;30
1485;Nat. person without sole proprietorship;2024 March;32
1486;Nat. person without sole proprietorship;2024 1st quarter;116
1487;Nat. person without sole proprietorship;2024 April;24
1488;Nat. person without sole proprietorship;2024 May;27
1489;Nat. person without sole proprietorship;2024 June;28
1490;Nat. person without sole proprietorship;2024 2nd quarter;79
1491;Nat. person without sole proprietorship;2024 July;45
1492;Nat. person without sole proprietorship;2024 August;24
1493;Nat. person without sole proprietorship;2024 September;31
1494;Nat. person without sole proprietorship;2024 3rd quarter;100
1495;Nat. person without sole proprietorship;2024 October;36
1496;Nat. person without sole proprietorship;2024 November;23
1497;Nat. person without sole proprietorship;2024 December;35
1498;Nat. person without sole proprietorship;2024 4th quarter;94
1499;Nat. person without sole proprietorship;2024;389
1500;Nat. person without sole proprietorship;2025 January;46
1501;Nat. person without sole proprietorship;2025 February;34
1502;Nat. person without sole proprietorship;2025 March;37
1503;Nat. person without sole proprietorship;2025 1st quarter;117
1504;Nat. person with sole proprietorship;1981 January;216
1505;Nat. person with sole proprietorship;1981 February;244
1506;Nat. person with sole proprietorship;1981 March;235
1507;Nat. person with sole proprietorship;1981 1st quarter;695
1508;Nat. person with sole proprietorship;1981 April;215
1509;Nat. person with sole proprietorship;1981 May;203
1510;Nat. person with sole proprietorship;1981 June;221
1511;Nat. person with sole proprietorship;1981 2nd quarter;639
1512;Nat. person with sole proprietorship;1981 July;263
1513;Nat. person with sole proprietorship;1981 August;202
1514;Nat. person with sole proprietorship;1981 September;290
1515;Nat. person with sole proprietorship;1981 3rd quarter;755
1516;Nat. person with sole proprietorship;1981 October;269
1517;Nat. person with sole proprietorship;1981 November;247
1518;Nat. person with sole proprietorship;1981 December;273
1519;Nat. person with sole proprietorship;1981 4th quarter;789
1520;Nat. person with sole proprietorship;1981;2878
1521;Nat. person with sole proprietorship;1982 January;267
1522;Nat. person with sole proprietorship;1982 February;249
1523;Nat. person with sole proprietorship;1982 March;323
1524;Nat. person with sole proprietorship;1982 1st quarter;839
1525;Nat. person with sole proprietorship;1982 April;253
1526;Nat. person with sole proprietorship;1982 May;215
1527;Nat. person with sole proprietorship;1982 June;292
1528;Nat. person with sole proprietorship;1982 2nd quarter;760
1529;Nat. person with sole proprietorship;1982 July;261
1530;Nat. person with sole proprietorship;1982 August;218
1531;Nat. person with sole proprietorship;1982 September;311
1532;Nat. person with sole proprietorship;1982 3rd quarter;790
1533;Nat. person with sole proprietorship;1982 October;263
1534;Nat. person with sole proprietorship;1982 November;325
1535;Nat. person with sole proprietorship;1982 December;276
1536;Nat. person with sole proprietorship;1982 4th quarter;864
1537;Nat. person with sole proprietorship;1982;3253
1538;Nat. person with sole proprietorship;1983 January;297
1539;Nat. person with sole proprietorship;1983 February;283
1540;Nat. person with sole proprietorship;1983 March;340
1541;Nat. person with sole proprietorship;1983 1st quarter;920
1542;Nat. person with sole proprietorship;1983 April;237
1543;Nat. person with sole proprietorship;1983 May;251
1544;Nat. person with sole proprietorship;1983 June;286
1545;Nat. person with sole proprietorship;1983 2nd quarter;774
1546;Nat. person with sole proprietorship;1983 July;206
1547;Nat. person with sole proprietorship;1983 August;221
1548;Nat. person with sole proprietorship;1983 September;260
1549;Nat. person with sole proprietorship;1983 3rd quarter;687
1550;Nat. person with sole proprietorship;1983 October;222
1551;Nat. person with sole proprietorship;1983 November;246
1552;Nat. person with sole proprietorship;1983 December;185
1553;Nat. person with sole proprietorship;1983 4th quarter;653
1554;Nat. person with sole proprietorship;1983;3034
1555;Nat. person with sole proprietorship;1984 January;221
1556;Nat. person with sole proprietorship;1984 February;266
1557;Nat. person with sole proprietorship;1984 March;263
1558;Nat. person with sole proprietorship;1984 1st quarter;750
1559;Nat. person with sole proprietorship;1984 April;186
1560;Nat. person with sole proprietorship;1984 May;223
1561;Nat. person with sole proprietorship;1984 June;201
1562;Nat. person with sole proprietorship;1984 2nd quarter;610
1563;Nat. person with sole proprietorship;1984 July;161
1564;Nat. person with sole proprietorship;1984 August;233
1565;Nat. person with sole proprietorship;1984 September;198
1566;Nat. person with sole proprietorship;1984 3rd quarter;592
1567;Nat. person with sole proprietorship;1984 October;249
1568;Nat. person with sole proprietorship;1984 November;202
1569;Nat. person with sole proprietorship;1984 December;149
1570;Nat. person with sole proprietorship;1984 4th quarter;600
1571;Nat. person with sole proprietorship;1984;2552
1572;Nat. person with sole proprietorship;1985 January;236
1573;Nat. person with sole proprietorship;1985 February;170
1574;Nat. person with sole proprietorship;1985 March;217
1575;Nat. person with sole proprietorship;1985 1st quarter;623
1576;Nat. person with sole proprietorship;1985 April;179
1577;Nat. person with sole proprietorship;1985 May;199
1578;Nat. person with sole proprietorship;1985 June;171
1579;Nat. person with sole proprietorship;1985 2nd quarter;549
1580;Nat. person with sole proprietorship;1985 july;172
1581;Nat. person with sole proprietorship;1985 August;161
1582;Nat. person with sole proprietorship;1985 September;169
1583;Nat. person with sole proprietorship;1985 3rd quarter;502
1584;Nat. person with sole proprietorship;1985 October;189
1585;Nat. person with sole proprietorship;1985 November;150
1586;Nat. person with sole proprietorship;1985 December;129
1587;Nat. person with sole proprietorship;1985 4th quarter;468
1588;Nat. person with sole proprietorship;1985;2142
1589;Nat. person with sole proprietorship;1986 January;148
1590;Nat. person with sole proprietorship;1986 February;146
1591;Nat. person with sole proprietorship;1986 March;155
1592;Nat. person with sole proprietorship;1986 1st quarter;449
1593;Nat. person with sole proprietorship;1986 April;170
1594;Nat. person with sole proprietorship;1986 May;149
1595;Nat. person with sole proprietorship;1986 June;165
1596;Nat. person with sole proprietorship;1986 2nd quarter;484
1597;Nat. person with sole proprietorship;1986 July;161
1598;Nat. person with sole proprietorship;1986 August;153
1599;Nat. person with sole proprietorship;1986 September;132
1600;Nat. person with sole proprietorship;1986 3rd quarter;446
1601;Nat. person with sole proprietorship;1986 October;170
1602;Nat. person with sole proprietorship;1986 November;139
1603;Nat. person with sole proprietorship;1986 December;127
1604;Nat. person with sole proprietorship;1986 4th quarter;436
1605;Nat. person with sole proprietorship;1986;1815
1606;Nat. person with sole proprietorship;1987 January;156
1607;Nat. person with sole proprietorship;1987 February;124
1608;Nat. person with sole proprietorship;1987 March;134
1609;Nat. person with sole proprietorship;1987 1st quarter;414
1610;Nat. person with sole proprietorship;1987 April;132
1611;Nat. person with sole proprietorship;1987 May;114
1612;Nat. person with sole proprietorship;1987 June;116
1613;Nat. person with sole proprietorship;1987 2nd quarter;362
1614;Nat. person with sole proprietorship;1987 July;126
1615;Nat. person with sole proprietorship;1987 August;110
1616;Nat. person with sole proprietorship;1987 September;158
1617;Nat. person with sole proprietorship;1987 3rd quarter;394
1618;Nat. person with sole proprietorship;1987 October;142
1619;Nat. person with sole proprietorship;1987 November;133
1620;Nat. person with sole proprietorship;1987 December;117
1621;Nat. person with sole proprietorship;1987 4th quarter;392
1622;Nat. person with sole proprietorship;1987;1562
1623;Nat. person with sole proprietorship;1988 January;129
1624;Nat. person with sole proprietorship;1988 February;130
1625;Nat. person with sole proprietorship;1988 March;142
1626;Nat. person with sole proprietorship;1988 1st quarter;401
1627;Nat. person with sole proprietorship;1988 April;124
1628;Nat. person with sole proprietorship;1988 May;129
1629;Nat. person with sole proprietorship;1988 June;157
1630;Nat. person with sole proprietorship;1988 2nd quarter;410
1631;Nat. person with sole proprietorship;1988 July;118
1632;Nat. person with sole proprietorship;1988 August;131
1633;Nat. person with sole proprietorship;1988 September;139
1634;Nat. person with sole proprietorship;1988 3rd quarter;388
1635;Nat. person with sole proprietorship;1988 October;150
1636;Nat. person with sole proprietorship;1988 November;172
1637;Nat. person with sole proprietorship;1988 December;107
1638;Nat. person with sole proprietorship;1988 4th quarter;429
1639;Nat. person with sole proprietorship;1988;1628
1640;Nat. person with sole proprietorship;1989 January;140
1641;Nat. person with sole proprietorship;1989 February;136
1642;Nat. person with sole proprietorship;1989 March;157
1643;Nat. person with sole proprietorship;1989 1st quarter;433
1644;Nat. person with sole proprietorship;1989 April;113
1645;Nat. person with sole proprietorship;1989 May;132
1646;Nat. person with sole proprietorship;1989 June;144
1647;Nat. person with sole proprietorship;1989 2nd quarter;389
1648;Nat. person with sole proprietorship;1989 July;110
1649;Nat. person with sole proprietorship;1989 August;110
1650;Nat. person with sole proprietorship;1989 September;145
1651;Nat. person with sole proprietorship;1989 3rd quarter;365
1652;Nat. person with sole proprietorship;1989 October;124
1653;Nat. person with sole proprietorship;1989 November;148
1654;Nat. person with sole proprietorship;1989 December;84
1655;Nat. person with sole proprietorship;1989 4th quarter;356
1656;Nat. person with sole proprietorship;1989;1543
1657;Nat. person with sole proprietorship;1990 January;144
1658;Nat. person with sole proprietorship;1990 February;119
1659;Nat. person with sole proprietorship;1990 March;137
1660;Nat. person with sole proprietorship;1990 1st quarter;400
1661;Nat. person with sole proprietorship;1990 April;107
1662;Nat. person with sole proprietorship;1990 May;112
1663;Nat. person with sole proprietorship;1990 June;104
1664;Nat. person with sole proprietorship;1990 2nd quarter;323
1665;Nat. person with sole proprietorship;1990 July;118
1666;Nat. person with sole proprietorship;1990 August;129
1667;Nat. person with sole proprietorship;1990 September;125
1668;Nat. person with sole proprietorship;1990 3rd quarter;372
1669;Nat. person with sole proprietorship;1990 October;130
1670;Nat. person with sole proprietorship;1990 November;113
1671;Nat. person with sole proprietorship;1990 December;96
1672;Nat. person with sole proprietorship;1990 4th quarter;339
1673;Nat. person with sole proprietorship;1990;1434
1674;Nat. person with sole proprietorship;1991 January;156
1675;Nat. person with sole proprietorship;1991 February;133
1676;Nat. person with sole proprietorship;1991 March;130
1677;Nat. person with sole proprietorship;1991 1st quarter;419
1678;Nat. person with sole proprietorship;1991 April;116
1679;Nat. person with sole proprietorship;1991 May;130
1680;Nat. person with sole proprietorship;1991 June;119
1681;Nat. person with sole proprietorship;1991 2nd quarter;365
1682;Nat. person with sole proprietorship;1991 July;125
1683;Nat. person with sole proprietorship;1991 August;105
1684;Nat. person with sole proprietorship;1991 September;119
1685;Nat. person with sole proprietorship;1991 3rd quarter;349
1686;Nat. person with sole proprietorship;1991 October;186
1687;Nat. person with sole proprietorship;1991 November;151
1688;Nat. person with sole proprietorship;1991 December;111
1689;Nat. person with sole proprietorship;1991 4th quarter;448
1690;Nat. person with sole proprietorship;1991;1581
1691;Nat. person with sole proprietorship;1992 January;141
1692;Nat. person with sole proprietorship;1992 February;137
1693;Nat. person with sole proprietorship;1992 March;162
1694;Nat. person with sole proprietorship;1992 1st quarter;440
1695;Nat. person with sole proprietorship;1992 April;166
1696;Nat. person with sole proprietorship;1992 May;151
1697;Nat. person with sole proprietorship;1992 June;136
1698;Nat. person with sole proprietorship;1992 2nd quarter;453
1699;Nat. person with sole proprietorship;1992 July;171
1700;Nat. person with sole proprietorship;1992 August;123
1701;Nat. person with sole proprietorship;1992 September;171
1702;Nat. person with sole proprietorship;1992 3rd quarter;465
1703;Nat. person with sole proprietorship;1992 October;171
1704;Nat. person with sole proprietorship;1992 November;169
1705;Nat. person with sole proprietorship;1992 December;170
1706;Nat. person with sole proprietorship;1992 4th quarter;510
1707;Nat. person with sole proprietorship;1992;1868
1708;Nat. person with sole proprietorship;1993 January;159
1709;Nat. person with sole proprietorship;1993 February;138
1710;Nat. person with sole proprietorship;1993 March;218
1711;Nat. person with sole proprietorship;1993 1st quarter;515
1712;Nat. person with sole proprietorship;1993 April;182
1713;Nat. person with sole proprietorship;1993 May;135
1714;Nat. person with sole proprietorship;1993 June;183
1715;Nat. person with sole proprietorship;1993 2nd quarter;500
1716;Nat. person with sole proprietorship;1993 July;183
1717;Nat. person with sole proprietorship;1993 August;163
1718;Nat. person with sole proprietorship;1993 September;185
1719;Nat. person with sole proprietorship;1993 3rd quarter;531
1720;Nat. person with sole proprietorship;1993 October;190
1721;Nat. person with sole proprietorship;1993 November;224
1722;Nat. person with sole proprietorship;1993 December;188
1723;Nat. person with sole proprietorship;1993 4th quarter;602
1724;Nat. person with sole proprietorship;1993;2148
1725;Nat. person with sole proprietorship;1994 January;180
1726;Nat. person with sole proprietorship;1994 February;171
1727;Nat. person with sole proprietorship;1994 March;227
1728;Nat. person with sole proprietorship;1994 1st quarter;578
1729;Nat. person with sole proprietorship;1994 April;167
1730;Nat. person with sole proprietorship;1994 May;162
1731;Nat. person with sole proprietorship;1994 June;172
1732;Nat. person with sole proprietorship;1994 2nd quarter;501
1733;Nat. person with sole proprietorship;1994 July;147
1734;Nat. person with sole proprietorship;1994 August;219
1735;Nat. person with sole proprietorship;1994 September;192
1736;Nat. person with sole proprietorship;1994 3rd quarter;558
1737;Nat. person with sole proprietorship;1994 October;164
1738;Nat. person with sole proprietorship;1994 November;207
1739;Nat. person with sole proprietorship;1994 December;165
1740;Nat. person with sole proprietorship;1994 4th quarter;536
1741;Nat. person with sole proprietorship;1994;2173
1742;Nat. person with sole proprietorship;1995 January;192
1743;Nat. person with sole proprietorship;1995 February;174
1744;Nat. person with sole proprietorship;1995 March;212
1745;Nat. person with sole proprietorship;1995 1st quarter;578
1746;Nat. person with sole proprietorship;1995 April;166
1747;Nat. person with sole proprietorship;1995 May;150
1748;Nat. person with sole proprietorship;1995 June;161
1749;Nat. person with sole proprietorship;1995 2nd quarter;477
1750;Nat. person with sole proprietorship;1995 July;153
1751;Nat. person with sole proprietorship;1995 August;164
1752;Nat. person with sole proprietorship;1995 September;145
1753;Nat. person with sole proprietorship;1995 3rd quarter;462
1754;Nat. person with sole proprietorship;1995 October;183
1755;Nat. person with sole proprietorship;1995 November;168
1756;Nat. person with sole proprietorship;1995 December;143
1757;Nat. person with sole proprietorship;1995 4th quarter;494
1758;Nat. person with sole proprietorship;1995;2011
1759;Nat. person with sole proprietorship;1996 January;198
1760;Nat. person with sole proprietorship;1996 February;162
1761;Nat. person with sole proprietorship;1996 March;162
1762;Nat. person with sole proprietorship;1996 1st quarter;522
1763;Nat. person with sole proprietorship;1996 April;159
1764;Nat. person with sole proprietorship;1996 May;170
1765;Nat. person with sole proprietorship;1996 June;146
1766;Nat. person with sole proprietorship;1996 2nd quarter;475
1767;Nat. person with sole proprietorship;1996 July;157
