ID;RegioS;Perioden;TotaalJeugdreclasseringstrajecten_1;TotaalBegonnenTrajecten_2;TotaalBeeindigdeTrajecten_3;k_0Tot3Maanden_4;k_3Tot6Maanden_5;k_6Tot12Maanden_6;k_1Tot2Jaar_7;k_2JaarOfLanger_8;BeeindigingVolgensPlan_9;TussentijdseOpheffing_10;OvergangNaarVolwassenReclassering_11;Terugmelding_12;NaderBesluitRechter_13;OverlijdenJeugdige_14;TotaalToezEnBegelGedwongenKader_15;TotaalBegonnenTrajecten_16;TotaalBeeindigdeTrajecten_17;k_0Tot3Maanden_18;k_3Tot6Maanden_19;k_6Tot12Maanden_20;k_1Tot2Jaar_21;k_2JaarOfLanger_22;BeeindigingVolgensPlan_23;TussentijdseOpheffing_24;OvergangNaarVolwassenReclassering_25;Terugmelding_26;NaderBesluitRechter_27;OverlijdenJeugdige_28;TotaalToezEnBegeleidingVrijwillig_29;TotaalBegonnenTrajecten_30;TotaalBeeindigdeTrajecten_31;k_0Tot3Maanden_32;k_3Tot6Maanden_33;k_6Tot12Maanden_34;k_1Tot2Jaar_35;k_2JaarOfLanger_36;BeeindigingVolgensPlan_37;TussentijdseOpheffing_38;OvergangNaarVolwassenReclassering_39;Terugmelding_40;NaderBesluitRechter_41;OverlijdenJeugdige_42;TotaalOverig_43;TotaalBegonnenTrajecten_44;TotaalBeeindigdeTrajecten_45;k_0Tot3Maanden_46;k_3Tot6Maanden_47;k_6Tot12Maanden_48;k_1Tot2Jaar_49;k_2JaarOfLanger_50;BeeindigingVolgensPlan_51;TussentijdseOpheffing_52;OvergangNaarVolwassenReclassering_53;Terugmelding_54;NaderBesluitRechter_55;OverlijdenJeugdige_56
250;Hendrik-Ido-Ambacht;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;Hengelo (O.);2015 1e kwartaal;65.0;20.0;15.0;;;;;;15.0;;;;;;50.0;10.0;;;;;;;;;;;;;10.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
252;'s-Hertogenbosch;2015 1e kwartaal;115.0;10.0;10.0;;;;;;10.0;;;;;;110.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Heumen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;Heusden;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;Hillegom;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;Hilvarenbeek;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;Hilversum;2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Hof van Twente;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;Hollands Kroon;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;Hoogeveen;2015 1e kwartaal;35.0;10.0;10.0;;;;;;10.0;;;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;Hoogezand-Sappemeer;2015 1e kwartaal;35.0;;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;Hoorn;2015 1e kwartaal;45.0;10.0;10.0;;;;;;10.0;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;Horst aan de Maas;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;Houten;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;Huizen;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;Hulst;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;IJsselstein;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;Kaag en Braassem;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;Kampen;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Kapelle;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;Katwijk;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;Kerkrade;2015 1e kwartaal;35.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;Koggenland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;Kollumerland en Nieuwkruisland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;Korendijk;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;Krimpen aan den IJssel;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;Krimpenerwaard;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;Laarbeek;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;Landerd;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;Landgraaf;2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;Landsmeer;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;Langedijk;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;Lansingerland;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;Laren (NH.);2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;Leek;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;Leerdam;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;Leeuwarden;2015 1e kwartaal;90.0;15.0;15.0;;;;;;10.0;;;;;;80.0;10.0;10.0;;;;;;10.0;;;;;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
288;Leeuwarderadeel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;Leiden;2015 1e kwartaal;45.0;;;;;;;;;;;;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;Leiderdorp;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;Leidschendam-Voorburg;2015 1e kwartaal;30.0;10.0;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;Lelystad;2015 1e kwartaal;65.0;10.0;10.0;;;;;10.0;10.0;;;;;;60.0;;10.0;;;;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;Leudal;2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;Leusden;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;Lingewaal;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Lingewaard;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;Lisse;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;Littenseradiel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;Lochem;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;Loon op Zand;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;Lopik;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;Loppersum;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;Losser;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;Maasdriel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;Maasgouw;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;Maassluis;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;Maastricht;2015 1e kwartaal;90.0;20.0;15.0;;;;;;15.0;;;;;;70.0;10.0;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;De Marne;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;Marum;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;Medemblik;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;Meerssen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;Menameradiel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;Menterwolde;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;Meppel;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;Middelburg (Z.);2015 1e kwartaal;30.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;Midden-Delfland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;Midden-Drenthe;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;Mill en Sint Hubert;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;Moerdijk;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;Molenwaard;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;Montferland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;Montfoort;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;Mook en Middelaar;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;Muiden;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;Naarden;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;Neder-Betuwe;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;Nederweert;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;Neerijnen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;Nieuwegein;2015 1e kwartaal;45.0;;;;;;;;;;;;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;Nieuwkoop;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
331;Nijkerk;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;Nijmegen;2015 1e kwartaal;120.0;15.0;20.0;;;;;10.0;20.0;;;;;;95.0;10.0;15.0;;;;;10.0;15.0;;;;;;25.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
333;Nissewaard;2015 1e kwartaal;40.0;10.0;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;Noord-Beveland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;Noordenveld;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;Noordoostpolder;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;Noordwijk;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;Noordwijkerhout;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;Nuenen, Gerwen en Nederwetten;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;Nunspeet;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;Nuth;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;Oegstgeest;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;Oirschot;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;Oisterwijk;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;Oldambt;2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;Oldebroek;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;Oldenzaal;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;Olst-Wijhe;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;Ommen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350;Onderbanken;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351;Oost Gelre;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;Oosterhout;2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;Ooststellingwerf;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;Oostzaan;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;Opmeer;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;Opsterland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;Oss;2015 1e kwartaal;40.0;10.0;10.0;;;;;;10.0;;;;;;35.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;Oud-Beijerland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;Oude IJsselstreek;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;Ouder-Amstel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;Oudewater;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
362;Overbetuwe;2015 1e kwartaal;20.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;Papendrecht;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;Peel en Maas;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;Pekela;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
366;Pijnacker-Nootdorp;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;Purmerend;2015 1e kwartaal;35.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
368;Putten;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
369;Raalte;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;Reimerswaal;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;Renkum;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;Renswoude;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;Reusel-De Mierden;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
374;Rheden;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;Rhenen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;Ridderkerk;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
377;Rijnwaarden;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
378;Rijssen-Holten;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;Rijswijk (ZH.);2015 1e kwartaal;25.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;Roerdalen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;Roermond;2015 1e kwartaal;60.0;10.0;10.0;;;;;;10.0;;;;;;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;De Ronde Venen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;Roosendaal;2015 1e kwartaal;50.0;;;;;;;;;;;;;;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;Rotterdam;2015 1e kwartaal;915.0;130.0;120.0;;20.0;25.0;30.0;40.0;120.0;;;;;;715.0;85.0;80.0;;;15.0;15.0;40.0;80.0;;;;;;185.0;45.0;35.0;;10.0;10.0;15.0;;35.0;;;;;;15.0;;;;;;;;;;;;;
385;Rozendaal;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
386;Rucphen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
387;Schagen;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
388;Scherpenzeel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;Schiedam;2015 1e kwartaal;90.0;10.0;15.0;;;;;;15.0;;;;;;65.0;;10.0;;;;;;10.0;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;Schiermonnikoog;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
391;Schijndel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392;Schinnen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;Schouwen-Duiveland;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
394;Simpelveld;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;Sint Anthonis;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396;Sint-Michielsgestel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
397;Sint-Oedenrode;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;Sittard-Geleen;2015 1e kwartaal;55.0;10.0;10.0;;;;;;10.0;;;;;;45.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;Sliedrecht;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;Slochteren;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;Sluis;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;Smallingerland;2015 1e kwartaal;40.0;10.0;;;;;;;;;;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;Soest;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404;Someren;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;Son en Breugel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406;Stadskanaal;2015 1e kwartaal;25.0;;10.0;;;;;;10.0;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;Staphorst;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;Stede Broec;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;Steenbergen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;Steenwijkerland;2015 1e kwartaal;30.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;Stein (L.);2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
