ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;ProducerPriceIndexPPI_1;YearOnYearChangePPI_2;MonthOnMonthChangePPI_3
4913;Total output prices;101112 Meat of swine, fresh or chilled;2005;92.5;11.0;
4914;Total output prices;101112 Meat of swine, fresh or chilled;2006 January;90.9;1.9;-5.0
4915;Total output prices;101112 Meat of swine, fresh or chilled;2006 February;93.4;4.7;2.8
4916;Total output prices;101112 Meat of swine, fresh or chilled;2006 March;96.1;8.8;2.9
4917;Total output prices;101112 Meat of swine, fresh or chilled;2006 April;99.1;13.6;3.2
4918;Total output prices;101112 Meat of swine, fresh or chilled;2006 May;100.3;13.0;1.2
4919;Total output prices;101112 Meat of swine, fresh or chilled;2006 June;106.5;12.8;6.2
4920;Total output prices;101112 Meat of swine, fresh or chilled;2006 July;105.8;9.2;-0.7
4921;Total output prices;101112 Meat of swine, fresh or chilled;2006 August;108.5;12.6;2.5
4922;Total output prices;101112 Meat of swine, fresh or chilled;2006 September;108.0;13.9;-0.4
4923;Total output prices;101112 Meat of swine, fresh or chilled;2006 October;103.6;11.1;-4.1
4924;Total output prices;101112 Meat of swine, fresh or chilled;2006 November;97.3;2.0;-6.1
4925;Total output prices;101112 Meat of swine, fresh or chilled;2006 December;95.5;-0.2;-1.9
4926;Total output prices;101112 Meat of swine, fresh or chilled;2006;100.4;8.6;
4927;Total output prices;101112 Meat of swine, fresh or chilled;2007 January;90.7;-0.2;-5.0
4928;Total output prices;101112 Meat of swine, fresh or chilled;2007 February;91.4;-2.2;0.7
4929;Total output prices;101112 Meat of swine, fresh or chilled;2007 March;88.1;-8.3;-3.5
4930;Total output prices;101112 Meat of swine, fresh or chilled;2007 April;88.6;-10.7;0.5
4931;Total output prices;101112 Meat of swine, fresh or chilled;2007 May;89.9;-10.4;1.5
4932;Total output prices;101112 Meat of swine, fresh or chilled;2007 June;91.5;-14.1;1.7
4933;Total output prices;101112 Meat of swine, fresh or chilled;2007 July;94.8;-10.4;3.6
4934;Total output prices;101112 Meat of swine, fresh or chilled;2007 August;95.6;-11.9;0.8
4935;Total output prices;101112 Meat of swine, fresh or chilled;2007 September;96.8;-10.4;1.2
4936;Total output prices;101112 Meat of swine, fresh or chilled;2007 October;93.1;-10.1;-3.8
4937;Total output prices;101112 Meat of swine, fresh or chilled;2007 November;91.4;-6.1;-1.9
4938;Total output prices;101112 Meat of swine, fresh or chilled;2007 December;92.1;-3.6;0.8
4939;Total output prices;101112 Meat of swine, fresh or chilled;2007;92.0;-8.4;
4940;Total output prices;101112 Meat of swine, fresh or chilled;2008 January;91.4;0.8;-0.7
4941;Total output prices;101112 Meat of swine, fresh or chilled;2008 February;92.1;0.8;0.7
4942;Total output prices;101112 Meat of swine, fresh or chilled;2008 March;97.8;11.0;6.2
4943;Total output prices;101112 Meat of swine, fresh or chilled;2008 April;95.3;7.6;-2.5
4944;Total output prices;101112 Meat of swine, fresh or chilled;2008 May;102.2;13.7;7.2
4945;Total output prices;101112 Meat of swine, fresh or chilled;2008 June;107.8;17.9;5.5
4946;Total output prices;101112 Meat of swine, fresh or chilled;2008 July;110.2;16.2;2.2
4947;Total output prices;101112 Meat of swine, fresh or chilled;2008 August;113.8;19.0;3.3
4948;Total output prices;101112 Meat of swine, fresh or chilled;2008 September;114.5;18.3;0.6
4949;Total output prices;101112 Meat of swine, fresh or chilled;2008 October;110.6;18.9;-3.4
4950;Total output prices;101112 Meat of swine, fresh or chilled;2008 November;102.4;12.1;-7.4
4951;Total output prices;101112 Meat of swine, fresh or chilled;2008 December;102.8;11.7;0.4
4952;Total output prices;101112 Meat of swine, fresh or chilled;2008;103.4;12.4;
4953;Total output prices;101112 Meat of swine, fresh or chilled;2009 January;98.1;7.3;-4.6
4954;Total output prices;101112 Meat of swine, fresh or chilled;2009 February;96.0;4.2;-2.1
4955;Total output prices;101112 Meat of swine, fresh or chilled;2009 March;96.7;-1.1;0.7
4956;Total output prices;101112 Meat of swine, fresh or chilled;2009 April;99.4;4.3;2.8
4957;Total output prices;101112 Meat of swine, fresh or chilled;2009 May;101.1;-1.1;1.7
4958;Total output prices;101112 Meat of swine, fresh or chilled;2009 June;103.1;-4.4;2.0
4959;Total output prices;101112 Meat of swine, fresh or chilled;2009 July;105.1;-4.7;1.9
4960;Total output prices;101112 Meat of swine, fresh or chilled;2009 August;105.5;-7.3;0.4
4961;Total output prices;101112 Meat of swine, fresh or chilled;2009 September;103.7;-9.4;-1.7
4962;Total output prices;101112 Meat of swine, fresh or chilled;2009 October;98.7;-10.8;-4.9
4963;Total output prices;101112 Meat of swine, fresh or chilled;2009 November;98.5;-3.8;-0.2
4964;Total output prices;101112 Meat of swine, fresh or chilled;2009 December;97.1;-5.5;-1.4
4965;Total output prices;101112 Meat of swine, fresh or chilled;2009;100.2;-3.1;
4966;Total output prices;101112 Meat of swine, fresh or chilled;2010 January;96.5;-1.6;-0.6
4967;Total output prices;101112 Meat of swine, fresh or chilled;2010 February;97.4;1.4;0.9
4968;Total output prices;101112 Meat of swine, fresh or chilled;2010 March;97.0;0.4;-0.3
4969;Total output prices;101112 Meat of swine, fresh or chilled;2010 April;97.5;-1.9;0.5
4970;Total output prices;101112 Meat of swine, fresh or chilled;2010 May;99.6;-1.5;2.2
4971;Total output prices;101112 Meat of swine, fresh or chilled;2010 June;104.1;0.9;4.5
4972;Total output prices;101112 Meat of swine, fresh or chilled;2010 July;101.7;-3.2;-2.3
4973;Total output prices;101112 Meat of swine, fresh or chilled;2010 August;103.4;-1.9;1.7
4974;Total output prices;101112 Meat of swine, fresh or chilled;2010 September;101.5;-2.1;-1.9
4975;Total output prices;101112 Meat of swine, fresh or chilled;2010 October;99.8;1.1;-1.7
4976;Total output prices;101112 Meat of swine, fresh or chilled;2010 November;100.4;1.9;0.6
4977;Total output prices;101112 Meat of swine, fresh or chilled;2010 December;101.2;4.2;0.8
4978;Total output prices;101112 Meat of swine, fresh or chilled;2010;100.0;-0.2;
4979;Total output prices;101112 Meat of swine, fresh or chilled;2011 January;98.2;1.8;-2.9
4980;Total output prices;101112 Meat of swine, fresh or chilled;2011 February;100.9;3.7;2.7
4981;Total output prices;101112 Meat of swine, fresh or chilled;2011 March;102.2;5.3;1.3
4982;Total output prices;101112 Meat of swine, fresh or chilled;2011 April;104.2;6.9;2.0
4983;Total output prices;101112 Meat of swine, fresh or chilled;2011 May;103.7;4.1;-0.5
4984;Total output prices;101112 Meat of swine, fresh or chilled;2011 June;103.0;-1.1;-0.7
4985;Total output prices;101112 Meat of swine, fresh or chilled;2011 July;101.7;0.0;-1.3
4986;Total output prices;101112 Meat of swine, fresh or chilled;2011 August;103.2;-0.2;1.6
4987;Total output prices;101112 Meat of swine, fresh or chilled;2011 September;103.8;2.2;0.5
4988;Total output prices;101112 Meat of swine, fresh or chilled;2011 October;105.8;6.0;1.9
4989;Total output prices;101112 Meat of swine, fresh or chilled;2011 November;109.5;9.1;3.5
4990;Total output prices;101112 Meat of swine, fresh or chilled;2011 December;108.8;7.5;-0.6
4991;Total output prices;101112 Meat of swine, fresh or chilled;2011;103.7;3.7;
4992;Total output prices;101112 Meat of swine, fresh or chilled;2012 January;106.5;8.4;-2.1
4993;Total output prices;101112 Meat of swine, fresh or chilled;2012 February;108.2;7.2;1.6
4994;Total output prices;101112 Meat of swine, fresh or chilled;2012 March;109.3;7.0;1.0
4995;Total output prices;101112 Meat of swine, fresh or chilled;2012 April;110.2;5.8;0.8
4996;Total output prices;101112 Meat of swine, fresh or chilled;2012 May;110.1;6.2;-0.1
4997;Total output prices;101112 Meat of swine, fresh or chilled;2012 June;111.1;7.9;0.9
4998;Total output prices;101112 Meat of swine, fresh or chilled;2012 July;111.7;9.9;0.5
4999;Total output prices;101112 Meat of swine, fresh or chilled;2012 August;117.8;14.1;5.5
5000;Total output prices;101112 Meat of swine, fresh or chilled;2012 September;120.5;16.1;2.3
5001;Total output prices;101112 Meat of swine, fresh or chilled;2012 October;120.9;14.3;0.3
5002;Total output prices;101112 Meat of swine, fresh or chilled;2012 November;119.2;8.9;-1.4
5003;Total output prices;101112 Meat of swine, fresh or chilled;2012 December;117.4;7.9;-1.5
5004;Total output prices;101112 Meat of swine, fresh or chilled;2012;113.6;9.5;
5005;Total output prices;101112 Meat of swine, fresh or chilled;2013 January;113.5;6.6;-3.3
5006;Total output prices;101112 Meat of swine, fresh or chilled;2013 February;112.3;3.8;-1.1
5007;Total output prices;101112 Meat of swine, fresh or chilled;2013 March;112.5;2.9;0.2
5008;Total output prices;101112 Meat of swine, fresh or chilled;2013 April;111.7;1.3;-0.8
5009;Total output prices;101112 Meat of swine, fresh or chilled;2013 May;110.5;0.4;-1.0
5010;Total output prices;101112 Meat of swine, fresh or chilled;2013 June;111.9;0.7;1.3
5011;Total output prices;101112 Meat of swine, fresh or chilled;2013 July;114.7;2.7;2.5
5012;Total output prices;101112 Meat of swine, fresh or chilled;2013 August;118.6;0.6;3.4
5013;Total output prices;101112 Meat of swine, fresh or chilled;2013 September;118.8;-1.4;0.2
5014;Total output prices;101112 Meat of swine, fresh or chilled;2013 October;115.0;-4.9;-3.2
5015;Total output prices;101112 Meat of swine, fresh or chilled;2013 November;112.3;-5.8;-2.4
5016;Total output prices;101112 Meat of swine, fresh or chilled;2013 December;111.5;-5.0;-0.7
5017;Total output prices;101112 Meat of swine, fresh or chilled;2013;113.6;0.0;
5018;Total output prices;101112 Meat of swine, fresh or chilled;2014 January;108.5;-4.4;-2.7
5019;Total output prices;101112 Meat of swine, fresh or chilled;2014 February;104.8;-6.7;-3.4
5020;Total output prices;101112 Meat of swine, fresh or chilled;2014 March;103.5;-8.0;-1.2
5021;Total output prices;101112 Meat of swine, fresh or chilled;2014 April;105.6;-5.4;2.0
5022;Total output prices;101112 Meat of swine, fresh or chilled;2014 May;107.2;-3.0;1.5
5023;Total output prices;101112 Meat of swine, fresh or chilled;2014 June;108.0;-3.5;0.7
5024;Total output prices;101112 Meat of swine, fresh or chilled;2014 July;110.0;-4.0;1.9
5025;Total output prices;101112 Meat of swine, fresh or chilled;2014 August;108.2;-8.8;-1.7
5026;Total output prices;101112 Meat of swine, fresh or chilled;2014 September;106.6;-10.3;-1.4
5027;Total output prices;101112 Meat of swine, fresh or chilled;2014 October;99.3;-13.7;-6.9
5028;Total output prices;101112 Meat of swine, fresh or chilled;2014 November;98.1;-12.6;-1.2
5029;Total output prices;101112 Meat of swine, fresh or chilled;2014 December;97.9;-12.2;-0.2
5030;Total output prices;101112 Meat of swine, fresh or chilled;2014;104.8;-7.7;
5031;Total output prices;101112 Meat of swine, fresh or chilled;2015 January;97.5;-10.1;-0.4
5032;Total output prices;101112 Meat of swine, fresh or chilled;2015 February;97.5;-7.0;0.0
5033;Total output prices;101112 Meat of swine, fresh or chilled;2015 March;98.3;-5.0;0.9
5034;Total output prices;101112 Meat of swine, fresh or chilled;2015 April;99.7;-5.6;1.4
5035;Total output prices;101112 Meat of swine, fresh or chilled;2015 May;99.5;-7.2;-0.2
5036;Total output prices;101112 Meat of swine, fresh or chilled;2015 June;100.1;-7.3;0.7
5037;Total output prices;101112 Meat of swine, fresh or chilled;2015 July;99.0;-10.0;-1.2
5038;Total output prices;101112 Meat of swine, fresh or chilled;2015 August;98.2;-9.2;-0.8
5039;Total output prices;101112 Meat of swine, fresh or chilled;2015 September;98.1;-8.0;-0.1
5040;Total output prices;101112 Meat of swine, fresh or chilled;2015 October;97.8;-1.5;-0.3
5041;Total output prices;101112 Meat of swine, fresh or chilled;2015 November;98.4;0.3;0.6
5042;Total output prices;101112 Meat of swine, fresh or chilled;2015 December;98.3;0.4;-0.1
5043;Total output prices;101112 Meat of swine, fresh or chilled;2015;98.5;-6.0;
5044;Total output prices;101112 Meat of swine, fresh or chilled;2016 January;98.8;1.3;0.5
5045;Total output prices;101112 Meat of swine, fresh or chilled;2016 February;96.9;-0.6;-1.9
5046;Total output prices;101112 Meat of swine, fresh or chilled;2016 March;98.5;0.1;1.6
5047;Total output prices;101112 Meat of swine, fresh or chilled;2016 April;98.4;-1.3;-0.1
5048;Total output prices;101112 Meat of swine, fresh or chilled;2016 May;104.5;5.1;6.3
5049;Total output prices;101112 Meat of swine, fresh or chilled;2016 June;109.0;8.8;4.2
5050;Total output prices;101112 Meat of swine, fresh or chilled;2016 July;113.3;14.4;3.9
5051;Total output prices;101112 Meat of swine, fresh or chilled;2016 August;114.6;16.8;1.2
5052;Total output prices;101112 Meat of swine, fresh or chilled;2016 September;115.1;17.3;0.4
5053;Total output prices;101112 Meat of swine, fresh or chilled;2016 October;117.5;20.1;2.1
5054;Total output prices;101112 Meat of swine, fresh or chilled;2016 November;114.6;16.4;-2.5
5055;Total output prices;101112 Meat of swine, fresh or chilled;2016 December;112.7;14.7;-1.6
5056;Total output prices;101112 Meat of swine, fresh or chilled;2016;107.8;9.4;
5057;Total output prices;101112 Meat of swine, fresh or chilled;2017 January;112.4;13.7;-0.3
5058;Total output prices;101112 Meat of swine, fresh or chilled;2017 February;114.5;18.2;1.9
5059;Total output prices;101112 Meat of swine, fresh or chilled;2017 March;117.3;19.1;2.4
5060;Total output prices;101112 Meat of swine, fresh or chilled;2017 April;122.5;24.5;4.5
5061;Total output prices;101112 Meat of swine, fresh or chilled;2017 May;125.0;19.6;2.0
5062;Total output prices;101112 Meat of swine, fresh or chilled;2017 June;125.4;15.0;0.3
5063;Total output prices;101112 Meat of swine, fresh or chilled;2017 July;124.9;10.2;-0.4
5064;Total output prices;101112 Meat of swine, fresh or chilled;2017 August;123.4;7.6;-1.2
5065;Total output prices;101112 Meat of swine, fresh or chilled;2017 September;123.1;7.0;-0.2
5066;Total output prices;101112 Meat of swine, fresh or chilled;2017 October;115.0;-2.1;-6.6
5067;Total output prices;101112 Meat of swine, fresh or chilled;2017 November;112.7;-1.6;-2.0
5068;Total output prices;101112 Meat of swine, fresh or chilled;2017 December;110.7;-1.8;-1.7
5069;Total output prices;101112 Meat of swine, fresh or chilled;2017;118.9;10.3;
5070;Total output prices;1012 Processed and preserved poul...;2005 January;91.8;3.7;-0.2
5071;Total output prices;1012 Processed and preserved poul...;2005 February;91.4;3.6;-0.4
5072;Total output prices;1012 Processed and preserved poul...;2005 March;92.4;4.7;1.1
5073;Total output prices;1012 Processed and preserved poul...;2005 April;94.1;7.1;1.9
5074;Total output prices;1012 Processed and preserved poul...;2005 May;96.2;9.1;2.2
5075;Total output prices;1012 Processed and preserved poul...;2005 June;98.5;10.4;2.4
5076;Total output prices;1012 Processed and preserved poul...;2005 July;99.5;10.0;1.0
5077;Total output prices;1012 Processed and preserved poul...;2005 August;99.7;9.2;0.2
5078;Total output prices;1012 Processed and preserved poul...;2005 September;98.0;6.8;-1.7
5079;Total output prices;1012 Processed and preserved poul...;2005 October;95.6;3.1;-2.4
5080;Total output prices;1012 Processed and preserved poul...;2005 November;92.1;-0.5;-3.7
5081;Total output prices;1012 Processed and preserved poul...;2005 December;89.3;-2.8;-3.0
5082;Total output prices;1012 Processed and preserved poul...;2005;94.9;5.3;
5083;Total output prices;1012 Processed and preserved poul...;2006 January;87.6;-4.5;-1.9
5084;Total output prices;1012 Processed and preserved poul...;2006 February;86.3;-5.5;-1.5
5085;Total output prices;1012 Processed and preserved poul...;2006 March;84.4;-8.6;-2.2
5086;Total output prices;1012 Processed and preserved poul...;2006 April;83.3;-11.5;-1.3
5087;Total output prices;1012 Processed and preserved poul...;2006 May;85.5;-11.1;2.6
5088;Total output prices;1012 Processed and preserved poul...;2006 June;88.9;-9.7;4.0
5089;Total output prices;1012 Processed and preserved poul...;2006 July;89.7;-9.8;0.9
5090;Total output prices;1012 Processed and preserved poul...;2006 August;90.0;-9.7;0.3
5091;Total output prices;1012 Processed and preserved poul...;2006 September;89.5;-8.6;-0.6
5092;Total output prices;1012 Processed and preserved poul...;2006 October;89.8;-6.0;0.4
5093;Total output prices;1012 Processed and preserved poul...;2006 November;89.6;-2.7;-0.2
5094;Total output prices;1012 Processed and preserved poul...;2006 December;90.5;1.3;0.9
5095;Total output prices;1012 Processed and preserved poul...;2006;87.9;-7.3;
5096;Total output prices;1012 Processed and preserved poul...;2007 January;91.3;4.2;0.9
5097;Total output prices;1012 Processed and preserved poul...;2007 February;92.6;7.3;1.5
5098;Total output prices;1012 Processed and preserved poul...;2007 March;94.0;11.3;1.5
5099;Total output prices;1012 Processed and preserved poul...;2007 April;97.9;17.5;4.1
5100;Total output prices;1012 Processed and preserved poul...;2007 May;102.8;20.2;5.0
5101;Total output prices;1012 Processed and preserved poul...;2007 June;105.5;18.7;2.6
5102;Total output prices;1012 Processed and preserved poul...;2007 July;104.4;16.3;-1.1
5103;Total output prices;1012 Processed and preserved poul...;2007 August;103.9;15.4;-0.5
5104;Total output prices;1012 Processed and preserved poul...;2007 September;104.8;17.1;0.9
5105;Total output prices;1012 Processed and preserved poul...;2007 October;105.1;17.0;0.2
5106;Total output prices;1012 Processed and preserved poul...;2007 November;103.9;15.9;-1.2
5107;Total output prices;1012 Processed and preserved poul...;2007 December;103.1;14.0;-0.7
5108;Total output prices;1012 Processed and preserved poul...;2007;100.8;14.6;
5109;Total output prices;1012 Processed and preserved poul...;2008 January;103.1;12.9;-0.1
5110;Total output prices;1012 Processed and preserved poul...;2008 February;102.7;10.9;-0.3
5111;Total output prices;1012 Processed and preserved poul...;2008 March;102.5;9.1;-0.2
5112;Total output prices;1012 Processed and preserved poul...;2008 April;104.4;6.6;1.8
5113;Total output prices;1012 Processed and preserved poul...;2008 May;104.8;1.9;0.4
5114;Total output prices;1012 Processed and preserved poul...;2008 June;105.9;0.4;1.1
5115;Total output prices;1012 Processed and preserved poul...;2008 July;105.8;1.3;-0.2
5116;Total output prices;1012 Processed and preserved poul...;2008 August;104.7;0.8;-1.0
5117;Total output prices;1012 Processed and preserved poul...;2008 September;105.4;0.5;0.6
5118;Total output prices;1012 Processed and preserved poul...;2008 October;105.7;0.6;0.3
5119;Total output prices;1012 Processed and preserved poul...;2008 November;103.3;-0.5;-2.2
5120;Total output prices;1012 Processed and preserved poul...;2008 December;101.9;-1.1;-1.3
5121;Total output prices;1012 Processed and preserved poul...;2008;104.2;3.4;
5122;Total output prices;1012 Processed and preserved poul...;2009 January;101.9;-1.1;0.0
5123;Total output prices;1012 Processed and preserved poul...;2009 February;102.4;-0.3;0.5
5124;Total output prices;1012 Processed and preserved poul...;2009 March;102.4;-0.1;0.0
5125;Total output prices;1012 Processed and preserved poul...;2009 April;103.2;-1.1;0.8
5126;Total output prices;1012 Processed and preserved poul...;2009 May;104.3;-0.5;1.0
5127;Total output prices;1012 Processed and preserved poul...;2009 June;104.4;-1.4;0.1
5128;Total output prices;1012 Processed and preserved poul...;2009 July;104.3;-1.3;-0.1
5129;Total output prices;1012 Processed and preserved poul...;2009 August;103.7;-1.0;-0.6
5130;Total output prices;1012 Processed and preserved poul...;2009 September;102.2;-3.0;-1.5
5131;Total output prices;1012 Processed and preserved poul...;2009 October;99.2;-6.1;-2.9
5132;Total output prices;1012 Processed and preserved poul...;2009 November;96.0;-7.1;-3.3
5133;Total output prices;1012 Processed and preserved poul...;2009 December;95.6;-6.2;-0.4
5134;Total output prices;1012 Processed and preserved poul...;2009;101.6;-2.4;
5135;Total output prices;1012 Processed and preserved poul...;2010 January;96.9;-4.9;1.4
5136;Total output prices;1012 Processed and preserved poul...;2010 February;96.2;-6.1;-0.8
5137;Total output prices;1012 Processed and preserved poul...;2010 March;97.8;-4.5;1.6
5138;Total output prices;1012 Processed and preserved poul...;2010 April;98.9;-4.1;1.2
5139;Total output prices;1012 Processed and preserved poul...;2010 May;100.2;-3.9;1.3
5140;Total output prices;1012 Processed and preserved poul...;2010 June;101.6;-2.7;1.4
5141;Total output prices;1012 Processed and preserved poul...;2010 July;102.5;-1.8;0.8
5142;Total output prices;1012 Processed and preserved poul...;2010 August;102.7;-0.9;0.2
5143;Total output prices;1012 Processed and preserved poul...;2010 September;102.8;0.6;0.1
5144;Total output prices;1012 Processed and preserved poul...;2010 October;100.2;1.0;-2.5
5145;Total output prices;1012 Processed and preserved poul...;2010 November;100.2;4.4;0.0
5146;Total output prices;1012 Processed and preserved poul...;2010 December;99.9;4.5;-0.2
5147;Total output prices;1012 Processed and preserved poul...;2010;100.0;-1.6;
5148;Total output prices;1012 Processed and preserved poul...;2011 January;101.0;4.2;1.1
5149;Total output prices;1012 Processed and preserved poul...;2011 February;101.0;5.0;0.0
5150;Total output prices;1012 Processed and preserved poul...;2011 March;102.7;5.0;1.7
5151;Total output prices;1012 Processed and preserved poul...;2011 April;105.3;6.4;2.5
5152;Total output prices;1012 Processed and preserved poul...;2011 May;106.2;6.0;0.9
5153;Total output prices;1012 Processed and preserved poul...;2011 June;105.3;3.6;-0.9
5154;Total output prices;1012 Processed and preserved poul...;2011 July;104.7;2.2;-0.5
5155;Total output prices;1012 Processed and preserved poul...;2011 August;105.1;2.3;0.3
5156;Total output prices;1012 Processed and preserved poul...;2011 September;106.4;3.5;1.3
5157;Total output prices;1012 Processed and preserved poul...;2011 October;106.6;6.4;0.2
5158;Total output prices;1012 Processed and preserved poul...;2011 November;107.0;6.8;0.4
5159;Total output prices;1012 Processed and preserved poul...;2011 December;105.9;5.9;-1.1
5160;Total output prices;1012 Processed and preserved poul...;2011;104.8;4.8;
5161;Total output prices;1012 Processed and preserved poul...;2012 January;105.9;4.9;0.1
5162;Total output prices;1012 Processed and preserved poul...;2012 February;106.2;5.1;0.3
5163;Total output prices;1012 Processed and preserved poul...;2012 March;107.3;4.6;1.1
5164;Total output prices;1012 Processed and preserved poul...;2012 April;109.7;4.2;2.2
5165;Total output prices;1012 Processed and preserved poul...;2012 May;110.6;4.1;0.8
5166;Total output prices;1012 Processed and preserved poul...;2012 June;111.4;5.8;0.7
5167;Total output prices;1012 Processed and preserved poul...;2012 July;111.7;6.6;0.3
5168;Total output prices;1012 Processed and preserved poul...;2012 August;112.0;6.5;0.2
5169;Total output prices;1012 Processed and preserved poul...;2012 September;113.3;6.5;1.2
5170;Total output prices;1012 Processed and preserved poul...;2012 October;114.6;7.4;1.1
5171;Total output prices;1012 Processed and preserved poul...;2012 November;114.4;6.9;-0.2
5172;Total output prices;1012 Processed and preserved poul...;2012 December;112.8;6.6;-1.4
5173;Total output prices;1012 Processed and preserved poul...;2012;110.8;5.8;
5174;Total output prices;1012 Processed and preserved poul...;2013 January;112.4;6.1;-0.4
5175;Total output prices;1012 Processed and preserved poul...;2013 February;112.6;6.1;0.2
5176;Total output prices;1012 Processed and preserved poul...;2013 March;112.7;5.0;0.0
5177;Total output prices;1012 Processed and preserved poul...;2013 April;112.7;2.8;0.1
5178;Total output prices;1012 Processed and preserved poul...;2013 May;113.0;2.2;0.2
5179;Total output prices;1012 Processed and preserved poul...;2013 June;113.0;1.5;0.1
5180;Total output prices;1012 Processed and preserved poul...;2013 July;112.8;1.0;-0.2
5181;Total output prices;1012 Processed and preserved poul...;2013 August;111.8;-0.1;-0.8
5182;Total output prices;1012 Processed and preserved poul...;2013 September;111.8;-1.3;0.0
5183;Total output prices;1012 Processed and preserved poul...;2013 October;109.3;-4.6;-2.3
5184;Total output prices;1012 Processed and preserved poul...;2013 November;107.9;-5.7;-1.3
5185;Total output prices;1012 Processed and preserved poul...;2013 December;106.6;-5.5;-1.2
5186;Total output prices;1012 Processed and preserved poul...;2013;111.4;0.5;
5187;Total output prices;1012 Processed and preserved poul...;2014 January;106.4;-5.3;-0.2
5188;Total output prices;1012 Processed and preserved poul...;2014 February;106.9;-5.1;0.5
5189;Total output prices;1012 Processed and preserved poul...;2014 March;107.8;-4.4;0.8
5190;Total output prices;1012 Processed and preserved poul...;2014 April;109.0;-3.3;1.1
5191;Total output prices;1012 Processed and preserved poul...;2014 May;109.2;-3.3;0.2
5192;Total output prices;1012 Processed and preserved poul...;2014 June;109.3;-3.3;0.1
5193;Total output prices;1012 Processed and preserved poul...;2014 July;109.7;-2.7;0.3
5194;Total output prices;1012 Processed and preserved poul...;2014 August;108.3;-3.2;-1.3
5195;Total output prices;1012 Processed and preserved poul...;2014 September;107.3;-4.0;-0.9
5196;Total output prices;1012 Processed and preserved poul...;2014 October;106.4;-2.6;-0.9
5197;Total output prices;1012 Processed and preserved poul...;2014 November;105.7;-2.1;-0.7
5198;Total output prices;1012 Processed and preserved poul...;2014 December;104.1;-2.3;-1.5
5199;Total output prices;1012 Processed and preserved poul...;2014;107.5;-3.5;
5200;Total output prices;1012 Processed and preserved poul...;2015 January;104.1;-2.1;0.0
5201;Total output prices;1012 Processed and preserved poul...;2015 February;104.0;-2.7;-0.1
5202;Total output prices;1012 Processed and preserved poul...;2015 March;105.1;-2.5;1.0
5203;Total output prices;1012 Processed and preserved poul...;2015 April;105.4;-3.3;0.3
5204;Total output prices;1012 Processed and preserved poul...;2015 May;105.6;-3.3;0.2
5205;Total output prices;1012 Processed and preserved poul...;2015 June;106.5;-2.5;0.9
5206;Total output prices;1012 Processed and preserved poul...;2015 July;106.5;-2.9;-0.1
5207;Total output prices;1012 Processed and preserved poul...;2015 August;105.5;-2.6;-0.9
5208;Total output prices;1012 Processed and preserved poul...;2015 September;104.6;-2.5;-0.8
5209;Total output prices;1012 Processed and preserved poul...;2015 October;102.7;-3.5;-1.9
5210;Total output prices;1012 Processed and preserved poul...;2015 November;102.5;-3.0;-0.2
5211;Total output prices;1012 Processed and preserved poul...;2015 December;102.5;-1.5;0.0
5212;Total output prices;1012 Processed and preserved poul...;2015;104.6;-2.7;
5213;Total output prices;1012 Processed and preserved poul...;2016 January;101.0;-3.0;-1.5
5214;Total output prices;1012 Processed and preserved poul...;2016 February;100.8;-3.1;-0.2
5215;Total output prices;1012 Processed and preserved poul...;2016 March;100.7;-4.2;-0.1
5216;Total output prices;1012 Processed and preserved poul...;2016 April;101.0;-4.2;0.3
5217;Total output prices;1012 Processed and preserved poul...;2016 May;101.6;-3.8;0.7
5218;Total output prices;1012 Processed and preserved poul...;2016 June;102.2;-4.1;0.6
5219;Total output prices;1012 Processed and preserved poul...;2016 July;101.7;-4.4;-0.5
5220;Total output prices;1012 Processed and preserved poul...;2016 August;101.5;-3.8;-0.3
5221;Total output prices;1012 Processed and preserved poul...;2016 September;101.0;-3.5;-0.5
5222;Total output prices;1012 Processed and preserved poul...;2016 October;100.2;-2.4;-0.8
5223;Total output prices;1012 Processed and preserved poul...;2016 November;100.5;-2.0;0.2
5224;Total output prices;1012 Processed and preserved poul...;2016 December;99.7;-2.8;-0.8
5225;Total output prices;1012 Processed and preserved poul...;2016;101.0;-3.4;
5226;Total output prices;1012 Processed and preserved poul...;2017 January;98.8;-2.2;-0.9
5227;Total output prices;1012 Processed and preserved poul...;2017 February;98.9;-1.9;0.1
5228;Total output prices;1012 Processed and preserved poul...;2017 March;99.0;-1.7;0.1
5229;Total output prices;1012 Processed and preserved poul...;2017 April;100.2;-0.7;1.3
5230;Total output prices;1012 Processed and preserved poul...;2017 May;101.2;-0.5;0.9
5231;Total output prices;1012 Processed and preserved poul...;2017 June;101.4;-0.8;0.2
5232;Total output prices;1012 Processed and preserved poul...;2017 July;101.5;-0.2;0.2
5233;Total output prices;1012 Processed and preserved poul...;2017 August;101.4;-0.1;-0.1
5234;Total output prices;1012 Processed and preserved poul...;2017 September;102.2;1.2;0.8
5235;Total output prices;1012 Processed and preserved poul...;2017 October;101.9;1.6;-0.3
5236;Total output prices;1012 Processed and preserved poul...;2017 November;102.1;1.7;0.3
5237;Total output prices;1012 Processed and preserved poul...;2017 December;102.0;2.4;-0.1
5238;Total output prices;1012 Processed and preserved poul...;2017;100.9;-0.1;
5239;Total output prices;1013 Meat and poultry meat products;2005 January;96.5;1.8;-0.1
5240;Total output prices;1013 Meat and poultry meat products;2005 February;96.4;1.8;-0.1
