ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
1652;0 to 49 employed persons;R Culture, sports and recreation;2015;;;;
1653;0 to 49 employed persons;R Culture, sports and recreation;2016;;;;
1654;0 to 49 employed persons;R Culture, sports and recreation;2017;;;;
1655;0 to 49 employed persons;R Culture, sports and recreation;2018;;;;
1656;0 to 49 employed persons;R Culture, sports and recreation;2019;;;;
1657;0 to 49 employed persons;R Culture, sports and recreation;2020;;;;
1658;0 to 49 employed persons;R Culture, sports and recreation;2021;;;;
1659;0 to 49 employed persons;R Culture, sports and recreation;2022;;;;
1660;0 to 49 employed persons;S Other service activities;2013;;;;
1661;0 to 49 employed persons;S Other service activities;2014;;;;
1662;0 to 49 employed persons;S Other service activities;2015;;;;
1663;0 to 49 employed persons;S Other service activities;2016;;;;
1664;0 to 49 employed persons;S Other service activities;2017;;;;
1665;0 to 49 employed persons;S Other service activities;2018;;;;
1666;0 to 49 employed persons;S Other service activities;2019;;;;
1667;0 to 49 employed persons;S Other service activities;2020;;;;
1668;0 to 49 employed persons;S Other service activities;2021;;;;
1669;0 to 49 employed persons;S Other service activities;2022;;;;
1670;0 to 49 employed persons;T Activities of households;2013;;;;
1671;0 to 49 employed persons;T Activities of households;2014;;;;
1672;0 to 49 employed persons;T Activities of households;2015;;;;
1673;0 to 49 employed persons;T Activities of households;2016;;;;
1674;0 to 49 employed persons;T Activities of households;2017;;;;
1675;0 to 49 employed persons;T Activities of households;2018;;;;
1676;0 to 49 employed persons;T Activities of households;2019;;;;
1677;0 to 49 employed persons;T Activities of households;2020;;;;
1678;0 to 49 employed persons;T Activities of households;2021;;;;
1679;0 to 49 employed persons;T Activities of households;2022;;;;
1680;0 to 49 employed persons;U Extraterritorial organisations;2013;;;;
1681;0 to 49 employed persons;U Extraterritorial organisations;2014;;;;
1682;0 to 49 employed persons;U Extraterritorial organisations;2015;;;;
1683;0 to 49 employed persons;U Extraterritorial organisations;2016;;;;
1684;0 to 49 employed persons;U Extraterritorial organisations;2017;;;;
1685;0 to 49 employed persons;U Extraterritorial organisations;2018;;;;
1686;0 to 49 employed persons;U Extraterritorial organisations;2019;;;;
1687;0 to 49 employed persons;U Extraterritorial organisations;2020;;;;
1688;0 to 49 employed persons;U Extraterritorial organisations;2021;;;;
1689;0 to 49 employed persons;U Extraterritorial organisations;2022;;;;
1690;0 to 49 employed persons;99 Extraterritorial organisations;2013;;;;
1691;0 to 49 employed persons;99 Extraterritorial organisations;2014;;;;
1692;0 to 49 employed persons;99 Extraterritorial organisations;2015;;;;
1693;0 to 49 employed persons;99 Extraterritorial organisations;2016;;;;
1694;0 to 49 employed persons;99 Extraterritorial organisations;2017;;;;
1695;0 to 49 employed persons;99 Extraterritorial organisations;2018;;;;
1696;0 to 49 employed persons;99 Extraterritorial organisations;2019;;;;
1697;0 to 49 employed persons;99 Extraterritorial organisations;2020;;;;
1698;0 to 49 employed persons;99 Extraterritorial organisations;2021;;;;
1699;0 to 49 employed persons;99 Extraterritorial organisations;2022;;;;
1700;50 to 249 employed persons;A-U All economic activities;2013;30524.0;20068.0;1627.0;2420.0
1701;50 to 249 employed persons;A-U All economic activities;2014;34205.0;22520.0;1872.0;2690.0
1702;50 to 249 employed persons;A-U All economic activities;2015;33468.0;21334.0;1792.0;2535.0
1703;50 to 249 employed persons;A-U All economic activities;2016;35849.0;23062.0;2069.0;2695.0
1704;50 to 249 employed persons;A-U All economic activities;2017;36610.0;24852.0;2192.0;2760.0
1705;50 to 249 employed persons;A-U All economic activities;2018;38747.0;26565.0;2285.0;2760.0
1706;50 to 249 employed persons;A-U All economic activities;2019;38046.0;24889.0;2227.0;2865.0
1707;50 to 249 employed persons;A-U All economic activities;2020;37480.0;25469.0;2257.0;2905.0
1708;50 to 249 employed persons;A-U All economic activities;2021;40076.0;27418.0;2460.0;2745.0
1709;50 to 249 employed persons;A-U All economic activities;2022;42275.0;29533.0;2630.0;
1710;50 to 249 employed persons;A Agriculture, forestry and fishing;2013;679.0;419.0;30.0;50.0
1711;50 to 249 employed persons;A Agriculture, forestry and fishing;2014;395.0;245.0;22.0;50.0
1712;50 to 249 employed persons;A Agriculture, forestry and fishing;2015;316.0;191.0;16.0;40.0
1713;50 to 249 employed persons;A Agriculture, forestry and fishing;2016;378.0;257.0;18.0;35.0
1714;50 to 249 employed persons;A Agriculture, forestry and fishing;2017;503.0;312.0;22.0;50.0
1715;50 to 249 employed persons;A Agriculture, forestry and fishing;2018;696.0;270.0;23.0;35.0
1716;50 to 249 employed persons;A Agriculture, forestry and fishing;2019;334.0;145.0;17.0;35.0
1717;50 to 249 employed persons;A Agriculture, forestry and fishing;2020;486.0;317.0;36.0;40.0
1718;50 to 249 employed persons;A Agriculture, forestry and fishing;2021;697.0;411.0;42.0;75.0
1719;50 to 249 employed persons;A Agriculture, forestry and fishing;2022;628.0;276.0;29.0;
1720;50 to 249 employed persons;B-E Industry (no construction), energy;2013;13040.0;7844.0;645.0;1205.0
1721;50 to 249 employed persons;B-E Industry (no construction), energy;2014;14123.0;8111.0;688.0;1395.0
1722;50 to 249 employed persons;B-E Industry (no construction), energy;2015;13978.0;8174.0;699.0;1270.0
1723;50 to 249 employed persons;B-E Industry (no construction), energy;2016;15799.0;10056.0;885.0;1285.0
1724;50 to 249 employed persons;B-E Industry (no construction), energy;2017;15727.0;10606.0;937.0;1310.0
1725;50 to 249 employed persons;B-E Industry (no construction), energy;2018;16466.0;11262.0;957.0;1340.0
1726;50 to 249 employed persons;B-E Industry (no construction), energy;2019;15320.0;9768.0;901.0;1310.0
1727;50 to 249 employed persons;B-E Industry (no construction), energy;2020;14288.0;9628.0;883.0;1305.0
1728;50 to 249 employed persons;B-E Industry (no construction), energy;2021;15240.0;10331.0;962.0;1295.0
1729;50 to 249 employed persons;B-E Industry (no construction), energy;2022;15179.0;10344.0;1015.0;
1730;50 to 249 employed persons;B Mining and quarrying;2013;;;;
1731;50 to 249 employed persons;B Mining and quarrying;2014;;;;
1732;50 to 249 employed persons;B Mining and quarrying;2015;;;;
1733;50 to 249 employed persons;B Mining and quarrying;2016;80.0;29.0;2.0;10.0
1734;50 to 249 employed persons;B Mining and quarrying;2017;;;;10.0
1735;50 to 249 employed persons;B Mining and quarrying;2018;;;;10.0
1736;50 to 249 employed persons;B Mining and quarrying;2019;;;;10.0
1737;50 to 249 employed persons;B Mining and quarrying;2020;110.0;59.0;6.0;15.0
1738;50 to 249 employed persons;B Mining and quarrying;2021;54.0;42.0;6.0;10.0
1739;50 to 249 employed persons;B Mining and quarrying;2022;70.0;53.0;6.0;
1740;50 to 249 employed persons;C Manufacturing;2013;12955.0;7794.0;641.0;1175.0
1741;50 to 249 employed persons;C Manufacturing;2014;13980.0;8029.0;683.0;1350.0
1742;50 to 249 employed persons;C Manufacturing;2015;13812.0;8104.0;694.0;1245.0
1743;50 to 249 employed persons;C Manufacturing;2016;15489.0;9885.0;866.0;1255.0
1744;50 to 249 employed persons;C Manufacturing;2017;15473.0;10429.0;920.0;1270.0
1745;50 to 249 employed persons;C Manufacturing;2018;16114.0;11062.0;939.0;1310.0
1746;50 to 249 employed persons;C Manufacturing;2019;15034.0;9581.0;885.0;1265.0
1747;50 to 249 employed persons;C Manufacturing;2020;13895.0;9407.0;865.0;1255.0
1748;50 to 249 employed persons;C Manufacturing;2021;14807.0;10108.0;943.0;1240.0
1749;50 to 249 employed persons;C Manufacturing;2022;14733.0;10076.0;990.0;
1750;50 to 249 employed persons;10-12 Manufacture of food and beverages;2013;982.0;645.0;52.0;160.0
1751;50 to 249 employed persons;10-12 Manufacture of food and beverages;2014;894.0;542.0;43.0;165.0
1752;50 to 249 employed persons;10-12 Manufacture of food and beverages;2015;1022.0;587.0;50.0;160.0
1753;50 to 249 employed persons;10-12 Manufacture of food and beverages;2016;1581.0;1095.0;85.0;190.0
1754;50 to 249 employed persons;10-12 Manufacture of food and beverages;2017;1355.0;940.0;69.0;175.0
1755;50 to 249 employed persons;10-12 Manufacture of food and beverages;2018;1300.0;923.0;74.0;165.0
1756;50 to 249 employed persons;10-12 Manufacture of food and beverages;2019;1415.0;1054.0;86.0;200.0
1757;50 to 249 employed persons;10-12 Manufacture of food and beverages;2020;1259.0;866.0;67.0;190.0
1758;50 to 249 employed persons;10-12 Manufacture of food and beverages;2021;1477.0;1041.0;88.0;195.0
1759;50 to 249 employed persons;10-12 Manufacture of food and beverages;2022;1406.0;1000.0;99.0;
1760;50 to 249 employed persons;10 Manufacture of food products;2013;;;;155.0
1761;50 to 249 employed persons;10 Manufacture of food products;2014;;;;160.0
1762;50 to 249 employed persons;10 Manufacture of food products;2015;;;;155.0
1763;50 to 249 employed persons;10 Manufacture of food products;2016;;;;185.0
1764;50 to 249 employed persons;10 Manufacture of food products;2017;;;;170.0
1765;50 to 249 employed persons;10 Manufacture of food products;2018;;;;155.0
1766;50 to 249 employed persons;10 Manufacture of food products;2019;;;;190.0
1767;50 to 249 employed persons;10 Manufacture of food products;2020;;;;180.0
1768;50 to 249 employed persons;10 Manufacture of food products;2021;;;;185.0
1769;50 to 249 employed persons;10 Manufacture of food products;2022;;;;
1770;50 to 249 employed persons;11 Manufacture of beverages;2013;;;;
1771;50 to 249 employed persons;11 Manufacture of beverages;2014;0.0;0.0;0.0;0.0
1772;50 to 249 employed persons;11 Manufacture of beverages;2015;;;;
1773;50 to 249 employed persons;11 Manufacture of beverages;2016;;;;
1774;50 to 249 employed persons;11 Manufacture of beverages;2017;;;;
1775;50 to 249 employed persons;11 Manufacture of beverages;2018;;;;
1776;50 to 249 employed persons;11 Manufacture of beverages;2019;;;;
1777;50 to 249 employed persons;11 Manufacture of beverages;2020;;;;
1778;50 to 249 employed persons;11 Manufacture of beverages;2021;;;;
1779;50 to 249 employed persons;11 Manufacture of beverages;2022;44.0;23.0;2.0;
1780;50 to 249 employed persons;12 Manufacture of tobacco products;2013;;;;
1781;50 to 249 employed persons;12 Manufacture of tobacco products;2014;;;;
1782;50 to 249 employed persons;12 Manufacture of tobacco products;2015;;;;
1783;50 to 249 employed persons;12 Manufacture of tobacco products;2016;;;;
1784;50 to 249 employed persons;12 Manufacture of tobacco products;2017;;;;
1785;50 to 249 employed persons;12 Manufacture of tobacco products;2018;;;;
1786;50 to 249 employed persons;12 Manufacture of tobacco products;2019;;;;
1787;50 to 249 employed persons;12 Manufacture of tobacco products;2020;19.0;10.0;1.0;5.0
1788;50 to 249 employed persons;12 Manufacture of tobacco products;2021;17.0;9.0;1.0;5.0
1789;50 to 249 employed persons;12 Manufacture of tobacco products;2022;;;;
1790;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2013;163.0;90.0;8.0;25.0
1791;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2014;167.0;93.0;8.0;30.0
1792;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2015;191.0;115.0;11.0;30.0
1793;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2016;178.0;127.0;12.0;30.0
1794;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2017;204.0;147.0;19.0;30.0
1795;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2018;216.0;167.0;14.0;25.0
1796;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2019;218.0;173.0;20.0;30.0
1797;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2020;152.0;112.0;11.0;25.0
1798;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2021;172.0;126.0;12.0;30.0
1799;50 to 249 employed persons;13-15 Man. of textile-, leatherproducts;2022;145.0;98.0;9.0;
1800;50 to 249 employed persons;13 Manufacture of textiles;2013;;;;20.0
1801;50 to 249 employed persons;13 Manufacture of textiles;2014;132.0;70.0;6.0;25.0
1802;50 to 249 employed persons;13 Manufacture of textiles;2015;;;;25.0
1803;50 to 249 employed persons;13 Manufacture of textiles;2016;;;;25.0
1804;50 to 249 employed persons;13 Manufacture of textiles;2017;;;;20.0
1805;50 to 249 employed persons;13 Manufacture of textiles;2018;126.0;97.0;8.0;20.0
1806;50 to 249 employed persons;13 Manufacture of textiles;2019;134.0;104.0;11.0;25.0
1807;50 to 249 employed persons;13 Manufacture of textiles;2020;116.0;87.0;8.0;20.0
1808;50 to 249 employed persons;13 Manufacture of textiles;2021;118.0;96.0;9.0;25.0
1809;50 to 249 employed persons;13 Manufacture of textiles;2022;99.0;65.0;6.0;
1810;50 to 249 employed persons;14 Manufacture of wearing apparel;2013;0.0;0.0;0.0;0.0
1811;50 to 249 employed persons;14 Manufacture of wearing apparel;2014;0.0;0.0;0.0;0.0
1812;50 to 249 employed persons;14 Manufacture of wearing apparel;2015;0.0;0.0;0.0;0.0
1813;50 to 249 employed persons;14 Manufacture of wearing apparel;2016;0.0;0.0;0.0;0.0
1814;50 to 249 employed persons;14 Manufacture of wearing apparel;2017;0.0;0.0;0.0;0.0
1815;50 to 249 employed persons;14 Manufacture of wearing apparel;2018;0.0;0.0;0.0;0.0
1816;50 to 249 employed persons;14 Manufacture of wearing apparel;2019;0.0;0.0;0.0;0.0
1817;50 to 249 employed persons;14 Manufacture of wearing apparel;2020;0.0;0.0;0.0;0.0
1818;50 to 249 employed persons;14 Manufacture of wearing apparel;2021;;;;
1819;50 to 249 employed persons;14 Manufacture of wearing apparel;2022;;;;
1820;50 to 249 employed persons;15 Manufacture of leather and footwear;2013;;;;
1821;50 to 249 employed persons;15 Manufacture of leather and footwear;2014;35.0;23.0;3.0;5.0
1822;50 to 249 employed persons;15 Manufacture of leather and footwear;2015;;;;
1823;50 to 249 employed persons;15 Manufacture of leather and footwear;2016;;;;
1824;50 to 249 employed persons;15 Manufacture of leather and footwear;2017;;;;
1825;50 to 249 employed persons;15 Manufacture of leather and footwear;2018;90.0;70.0;6.0;5.0
1826;50 to 249 employed persons;15 Manufacture of leather and footwear;2019;84.0;69.0;9.0;5.0
1827;50 to 249 employed persons;15 Manufacture of leather and footwear;2020;36.0;26.0;3.0;5.0
1828;50 to 249 employed persons;15 Manufacture of leather and footwear;2021;;;;
1829;50 to 249 employed persons;15 Manufacture of leather and footwear;2022;;;;
1830;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2013;351.0;149.0;9.0;60.0
1831;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2014;336.0;123.0;8.0;95.0
1832;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2015;325.0;121.0;9.0;55.0
1833;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2016;230.0;97.0;8.0;45.0
1834;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2017;270.0;121.0;8.0;50.0
1835;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2018;284.0;146.0;11.0;55.0
1836;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2019;230.0;99.0;10.0;45.0
1837;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2020;296.0;152.0;12.0;45.0
1838;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2021;270.0;148.0;13.0;45.0
1839;50 to 249 employed persons;16+23 Man of wooden and buildingmaterial;2022;446.0;265.0;21.0;
1840;50 to 249 employed persons;16 Manufacture of wood products;2013;112.0;60.0;3.0;25.0
1841;50 to 249 employed persons;16 Manufacture of wood products;2014;133.0;52.0;2.0;35.0
1842;50 to 249 employed persons;16 Manufacture of wood products;2015;99.0;38.0;2.0;20.0
1843;50 to 249 employed persons;16 Manufacture of wood products;2016;79.0;34.0;3.0;25.0
1844;50 to 249 employed persons;16 Manufacture of wood products;2017;72.0;23.0;1.0;20.0
1845;50 to 249 employed persons;16 Manufacture of wood products;2018;76.0;43.0;3.0;20.0
1846;50 to 249 employed persons;16 Manufacture of wood products;2019;75.0;32.0;2.0;15.0
1847;50 to 249 employed persons;16 Manufacture of wood products;2020;53.0;43.0;3.0;15.0
1848;50 to 249 employed persons;16 Manufacture of wood products;2021;63.0;50.0;3.0;20.0
1849;50 to 249 employed persons;16 Manufacture of wood products;2022;110.0;64.0;4.0;
1850;50 to 249 employed persons;17-18 Manufacture of paper and printing;2013;385.0;219.0;16.0;65.0
1851;50 to 249 employed persons;17-18 Manufacture of paper and printing;2014;324.0;208.0;18.0;55.0
1852;50 to 249 employed persons;17-18 Manufacture of paper and printing;2015;449.0;239.0;15.0;65.0
1853;50 to 249 employed persons;17-18 Manufacture of paper and printing;2016;423.0;207.0;19.0;70.0
1854;50 to 249 employed persons;17-18 Manufacture of paper and printing;2017;353.0;209.0;14.0;50.0
1855;50 to 249 employed persons;17-18 Manufacture of paper and printing;2018;407.0;240.0;16.0;70.0
1856;50 to 249 employed persons;17-18 Manufacture of paper and printing;2019;405.0;193.0;25.0;70.0
1857;50 to 249 employed persons;17-18 Manufacture of paper and printing;2020;460.0;225.0;28.0;65.0
1858;50 to 249 employed persons;17-18 Manufacture of paper and printing;2021;419.0;210.0;16.0;50.0
1859;50 to 249 employed persons;17-18 Manufacture of paper and printing;2022;314.0;216.0;16.0;
1860;50 to 249 employed persons;17 Manufacture of paper;2013;296.0;174.0;14.0;30.0
1861;50 to 249 employed persons;17 Manufacture of paper;2014;270.0;181.0;16.0;35.0
1862;50 to 249 employed persons;17 Manufacture of paper;2015;307.0;185.0;12.0;45.0
1863;50 to 249 employed persons;17 Manufacture of paper;2016;338.0;166.0;16.0;50.0
1864;50 to 249 employed persons;17 Manufacture of paper;2017;312.0;181.0;12.0;40.0
1865;50 to 249 employed persons;17 Manufacture of paper;2018;357.0;199.0;13.0;55.0
1866;50 to 249 employed persons;17 Manufacture of paper;2019;347.0;157.0;22.0;55.0
1867;50 to 249 employed persons;17 Manufacture of paper;2020;376.0;165.0;24.0;45.0
1868;50 to 249 employed persons;17 Manufacture of paper;2021;347.0;167.0;12.0;40.0
1869;50 to 249 employed persons;17 Manufacture of paper;2022;;;;
1870;50 to 249 employed persons;18 Printing and reproduction;2013;89.0;45.0;2.0;35.0
1871;50 to 249 employed persons;18 Printing and reproduction;2014;54.0;27.0;2.0;20.0
1872;50 to 249 employed persons;18 Printing and reproduction;2015;141.0;54.0;3.0;20.0
1873;50 to 249 employed persons;18 Printing and reproduction;2016;85.0;41.0;3.0;20.0
1874;50 to 249 employed persons;18 Printing and reproduction;2017;42.0;29.0;2.0;10.0
1875;50 to 249 employed persons;18 Printing and reproduction;2018;50.0;41.0;3.0;15.0
1876;50 to 249 employed persons;18 Printing and reproduction;2019;58.0;36.0;2.0;15.0
1877;50 to 249 employed persons;18 Printing and reproduction;2020;85.0;59.0;4.0;20.0
1878;50 to 249 employed persons;18 Printing and reproduction;2021;72.0;43.0;4.0;10.0
1879;50 to 249 employed persons;18 Printing and reproduction;2022;;;;
1880;50 to 249 employed persons;19-22 Refineries and chemistry;2013;1696.0;1233.0;130.0;175.0
1881;50 to 249 employed persons;19-22 Refineries and chemistry;2014;2153.0;1489.0;175.0;185.0
1882;50 to 249 employed persons;19-22 Refineries and chemistry;2015;1811.0;1299.0;132.0;185.0
1883;50 to 249 employed persons;19-22 Refineries and chemistry;2016;2136.0;1638.0;173.0;165.0
1884;50 to 249 employed persons;19-22 Refineries and chemistry;2017;2184.0;1724.0;170.0;185.0
1885;50 to 249 employed persons;19-22 Refineries and chemistry;2018;2401.0;1867.0;178.0;205.0
1886;50 to 249 employed persons;19-22 Refineries and chemistry;2019;1956.0;1508.0;152.0;195.0
1887;50 to 249 employed persons;19-22 Refineries and chemistry;2020;1975.0;1562.0;161.0;180.0
1888;50 to 249 employed persons;19-22 Refineries and chemistry;2021;1861.0;1520.0;177.0;175.0
1889;50 to 249 employed persons;19-22 Refineries and chemistry;2022;2580.0;2001.0;236.0;
1890;50 to 249 employed persons;19 Manufacture of coke and petroleum;2013;;;;
1891;50 to 249 employed persons;19 Manufacture of coke and petroleum;2014;;;;
1892;50 to 249 employed persons;19 Manufacture of coke and petroleum;2015;;;;
1893;50 to 249 employed persons;19 Manufacture of coke and petroleum;2016;;;;
1894;50 to 249 employed persons;19 Manufacture of coke and petroleum;2017;;;;
1895;50 to 249 employed persons;19 Manufacture of coke and petroleum;2018;;;;
1896;50 to 249 employed persons;19 Manufacture of coke and petroleum;2019;;;;
1897;50 to 249 employed persons;19 Manufacture of coke and petroleum;2020;;;;
1898;50 to 249 employed persons;19 Manufacture of coke and petroleum;2021;;;;
1899;50 to 249 employed persons;19 Manufacture of coke and petroleum;2022;32.0;27.0;2.0;
1900;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2013;997.0;821.0;91.0;85.0
1901;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2014;;;;80.0
1902;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2015;;;;85.0
1903;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2016;1301.0;1098.0;120.0;90.0
1904;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2017;1305.0;1121.0;113.0;85.0
1905;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2018;1518.0;1307.0;128.0;100.0
1906;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2019;1175.0;932.0;92.0;100.0
1907;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2020;1210.0;986.0;107.0;100.0
1908;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2021;1146.0;946.0;110.0;90.0
1909;50 to 249 employed persons;20-21 Chemistry and pharmaceuticals;2022;1622.0;1272.0;158.0;
1910;50 to 249 employed persons;20 Manufacture of chemicals;2013;836.0;690.0;73.0;75.0
1911;50 to 249 employed persons;20 Manufacture of chemicals;2014;1028.0;824.0;109.0;65.0
1912;50 to 249 employed persons;20 Manufacture of chemicals;2015;805.0;676.0;73.0;70.0
1913;50 to 249 employed persons;20 Manufacture of chemicals;2016;;;;75.0
1914;50 to 249 employed persons;20 Manufacture of chemicals;2017;1074.0;940.0;99.0;70.0
1915;50 to 249 employed persons;20 Manufacture of chemicals;2018;1324.0;1149.0;115.0;85.0
1916;50 to 249 employed persons;20 Manufacture of chemicals;2019;952.0;774.0;77.0;85.0
1917;50 to 249 employed persons;20 Manufacture of chemicals;2020;901.0;742.0;81.0;80.0
1918;50 to 249 employed persons;20 Manufacture of chemicals;2021;822.0;715.0;86.0;70.0
1919;50 to 249 employed persons;20 Manufacture of chemicals;2022;1262.0;1007.0;127.0;
1920;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2013;161.0;132.0;18.0;10.0
1921;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2014;;;;15.0
1922;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2015;;;;15.0
1923;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2016;;;;15.0
1924;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2017;231.0;180.0;15.0;15.0
1925;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2018;194.0;158.0;14.0;15.0
1926;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2019;223.0;158.0;15.0;15.0
1927;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2020;309.0;244.0;26.0;20.0
1928;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2021;324.0;231.0;24.0;20.0
1929;50 to 249 employed persons;21 Manufacture of pharmaceuticals;2022;360.0;264.0;31.0;
1930;50 to 249 employed persons;22 Manufacture rubber, plastic products;2013;;;;90.0
1931;50 to 249 employed persons;22 Manufacture rubber, plastic products;2014;;;;100.0
1932;50 to 249 employed persons;22 Manufacture rubber, plastic products;2015;;;;100.0
1933;50 to 249 employed persons;22 Manufacture rubber, plastic products;2016;;;;80.0
1934;50 to 249 employed persons;22 Manufacture rubber, plastic products;2017;;;;100.0
1935;50 to 249 employed persons;22 Manufacture rubber, plastic products;2018;;;;100.0
1936;50 to 249 employed persons;22 Manufacture rubber, plastic products;2019;;;;90.0
1937;50 to 249 employed persons;22 Manufacture rubber, plastic products;2020;;;;80.0
1938;50 to 249 employed persons;22 Manufacture rubber, plastic products;2021;;;;85.0
1939;50 to 249 employed persons;22 Manufacture rubber, plastic products;2022;926.0;702.0;76.0;
1940;50 to 249 employed persons;23 Manufacture of building materials;2013;239.0;89.0;6.0;35.0
1941;50 to 249 employed persons;23 Manufacture of building materials;2014;203.0;72.0;6.0;55.0
1942;50 to 249 employed persons;23 Manufacture of building materials;2015;226.0;82.0;6.0;35.0
1943;50 to 249 employed persons;23 Manufacture of building materials;2016;151.0;63.0;5.0;25.0
1944;50 to 249 employed persons;23 Manufacture of building materials;2017;199.0;97.0;7.0;30.0
1945;50 to 249 employed persons;23 Manufacture of building materials;2018;208.0;103.0;9.0;30.0
1946;50 to 249 employed persons;23 Manufacture of building materials;2019;155.0;67.0;8.0;25.0
1947;50 to 249 employed persons;23 Manufacture of building materials;2020;243.0;109.0;9.0;30.0
1948;50 to 249 employed persons;23 Manufacture of building materials;2021;207.0;98.0;9.0;25.0
1949;50 to 249 employed persons;23 Manufacture of building materials;2022;337.0;201.0;17.0;
1950;50 to 249 employed persons;24-30, 33 Metalectro;2013;9123.0;5250.0;415.0;655.0
1951;50 to 249 employed persons;24-30, 33 Metalectro;2014;9598.0;5295.0;410.0;760.0
1952;50 to 249 employed persons;24-30, 33 Metalectro;2015;9640.0;5481.0;454.0;705.0
1953;50 to 249 employed persons;24-30, 33 Metalectro;2016;10405.0;6307.0;537.0;695.0
1954;50 to 249 employed persons;24-30, 33 Metalectro;2017;10535.0;6873.0;608.0;725.0
1955;50 to 249 employed persons;24-30, 33 Metalectro;2018;10831.0;7175.0;607.0;740.0
1956;50 to 249 employed persons;24-30, 33 Metalectro;2019;10241.0;6151.0;557.0;675.0
1957;50 to 249 employed persons;24-30, 33 Metalectro;2020;9145.0;6035.0;544.0;690.0
1958;50 to 249 employed persons;24-30, 33 Metalectro;2021;9856.0;6530.0;587.0;685.0
1959;50 to 249 employed persons;24-30, 33 Metalectro;2022;9186.0;6004.0;567.0;
1960;50 to 249 employed persons;24-25 Man. of basic metals and -products;2013;1539.0;518.0;30.0;190.0
1961;50 to 249 employed persons;24-25 Man. of basic metals and -products;2014;;;;250.0
1962;50 to 249 employed persons;24-25 Man. of basic metals and -products;2015;;;;250.0
1963;50 to 249 employed persons;24-25 Man. of basic metals and -products;2016;;;;255.0
1964;50 to 249 employed persons;24-25 Man. of basic metals and -products;2017;;;;260.0
1965;50 to 249 employed persons;24-25 Man. of basic metals and -products;2018;;;;280.0
1966;50 to 249 employed persons;24-25 Man. of basic metals and -products;2019;;;;220.0
1967;50 to 249 employed persons;24-25 Man. of basic metals and -products;2020;;;;245.0
1968;50 to 249 employed persons;24-25 Man. of basic metals and -products;2021;1720.0;906.0;67.0;220.0
1969;50 to 249 employed persons;24-25 Man. of basic metals and -products;2022;2048.0;861.0;70.0;
1970;50 to 249 employed persons;24 Manufacture of basic metals;2013;216.0;79.0;6.0;30.0
1971;50 to 249 employed persons;24 Manufacture of basic metals;2014;;;;35.0
1972;50 to 249 employed persons;24 Manufacture of basic metals;2015;;;;25.0
1973;50 to 249 employed persons;24 Manufacture of basic metals;2016;;;;30.0
1974;50 to 249 employed persons;24 Manufacture of basic metals;2017;;;;35.0
1975;50 to 249 employed persons;24 Manufacture of basic metals;2018;;;;30.0
1976;50 to 249 employed persons;24 Manufacture of basic metals;2019;;;;30.0
1977;50 to 249 employed persons;24 Manufacture of basic metals;2020;;;;25.0
1978;50 to 249 employed persons;24 Manufacture of basic metals;2021;233.0;79.0;5.0;25.0
1979;50 to 249 employed persons;24 Manufacture of basic metals;2022;219.0;87.0;6.0;
1980;50 to 249 employed persons;25 Manufacture of metal products;2013;1323.0;439.0;24.0;155.0
