ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankruptcies_1
7683;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2022 September;2
7684;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2022 3rd quarter;7
7685;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2022 October;4
7686;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2022 November;2
7687;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2022 December;2
7688;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2022 4th quarter;8
7689;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2022;24
7690;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 January;5
7691;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 February;1
7692;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 March;3
7693;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 1st quarter;9
7694;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 April;3
7695;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 May;0
7696;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 June;2
7697;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 2nd quarter;5
7698;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 July;7
7699;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 August;0
7700;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 September;9
7701;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 3rd quarter;16
7702;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 October;2
7703;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 November;6
7704;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 December;1
7705;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023 4th quarter;9
7706;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2023;39
7707;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 January;7
7708;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 February;6
7709;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 March;3
7710;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 1st quarter;16
7711;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 April;14
7712;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 May;0
7713;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 June;3
7714;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 2nd quarter;17
7715;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 July;4
7716;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 August;1
7717;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 September;1
7718;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 3rd quarter;6
7719;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 October;2
7720;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 November;2
7721;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 December;2
7722;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024 4th quarter;6
7723;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2024;45
7724;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2025 January;1
7725;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2025 February;6
7726;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2025 March;2
7727;Total entities with/without legal pers.;Zuidoost-Drenthe (CR);2025 1st quarter;9
7728;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 January;5
7729;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 February;3
7730;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 March;3
7731;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 1st quarter;11
7732;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 April;10
7733;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 May;3
7734;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 June;4
7735;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 2nd quarter;17
7736;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 July;2
7737;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 August;5
7738;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 September;3
7739;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 3rd quarter;10
7740;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 October;13
7741;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 November;5
7742;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 December;8
7743;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009 4th quarter;26
7744;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2009;64
7745;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 January;17
7746;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 February;5
7747;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 March;6
7748;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 1st quarter;28
7749;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 April;4
7750;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 May;9
7751;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 June;6
7752;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 2nd quarter;19
7753;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 July;8
7754;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 August;4
7755;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 September;6
7756;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 3rd quarter;18
7757;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 October;7
7758;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 November;8
7759;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 December;6
7760;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010 4th quarter;21
7761;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2010;86
7762;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 January;4
7763;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 February;2
7764;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 March;3
7765;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 1st quarter;9
7766;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 April;5
7767;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 May;6
7768;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 June;8
7769;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 2nd quarter;19
7770;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 July;3
7771;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 August;2
7772;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 September;3
7773;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 3rd quarter;8
7774;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 October;6
7775;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 November;6
7776;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 December;3
7777;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011 4th quarter;15
7778;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2011;51
7779;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 January;9
7780;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 February;7
7781;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 March;7
7782;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 1st quarter;23
7783;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 April;3
7784;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 May;8
7785;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 June;8
7786;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 2nd quarter;19
7787;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 July;2
7788;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 August;5
7789;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 September;7
7790;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 3rd quarter;14
7791;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 October;15
7792;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 November;10
7793;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 December;5
7794;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012 4th quarter;30
7795;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2012;86
7796;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 January;2
7797;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 February;8
7798;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 March;2
7799;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 1st quarter;12
7800;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 April;6
7801;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 May;9
7802;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 June;5
7803;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 2nd quarter;20
7804;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 July;7
7805;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 August;3
7806;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 September;5
7807;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 3rd quarter;15
7808;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 October;2
7809;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 November;8
7810;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 December;8
7811;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013 4th quarter;18
7812;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2013;65
7813;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 January;10
7814;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 February;4
7815;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 March;3
7816;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 1st quarter;17
7817;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 April;1
7818;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 May;3
7819;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 June;4
7820;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 2nd quarter;8
7821;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 July;21
7822;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 August;6
7823;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 September;5
7824;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 3rd quarter;32
7825;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 October;4
7826;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 November;2
7827;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 December;2
7828;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014 4th quarter;8
7829;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2014;65
7830;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 January;0
7831;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 February;3
7832;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 March;4
7833;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 1st quarter;7
7834;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 April;1
7835;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 May;2
7836;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 June;7
7837;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 2nd quarter;10
7838;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 July;2
7839;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 August;2
7840;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 September;9
7841;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 3rd quarter;13
7842;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 October;2
7843;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 November;6
7844;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 December;4
7845;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015 4th quarter;12
7846;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2015;42
7847;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 January;4
7848;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 February;2
7849;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 March;1
7850;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 1st quarter;7
7851;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 April;2
7852;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 May;3
7853;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 June;1
7854;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 2nd quarter;6
7855;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 July;0
7856;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 August;2
7857;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 September;3
7858;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 3rd quarter;5
7859;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 October;2
7860;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 November;8
7861;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 December;1
7862;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016 4th quarter;11
7863;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2016;29
7864;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 January;3
7865;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 February;3
7866;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 March;0
7867;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 1st quarter;6
7868;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 April;0
7869;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 May;3
7870;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 June;4
7871;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 2nd quarter;7
7872;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 July;4
7873;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 August;0
7874;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 September;3
7875;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 3rd quarter;7
7876;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 October;2
7877;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 November;2
7878;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 December;0
7879;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017 4th quarter;4
7880;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2017;24
7881;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 January;1
7882;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 February;1
7883;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 March;2
7884;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 1st quarter;4
7885;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 April;4
7886;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 May;2
7887;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 June;1
7888;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 2nd quarter;7
7889;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 July;2
7890;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 August;1
7891;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 September;0
7892;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 3rd quarter;3
7893;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 October;2
7894;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 November;3
7895;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 December;5
7896;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018 4th quarter;10
7897;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2018;24
7898;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 January;1
7899;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 February;1
7900;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 March;0
7901;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 1st quarter;2
7902;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 April;0
7903;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 May;0
7904;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 June;0
7905;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 2nd quarter;0
7906;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 July;2
7907;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 August;1
7908;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 September;1
7909;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 3rd quarter;4
7910;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 October;3
7911;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 November;3
7912;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 December;0
7913;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019 4th quarter;6
7914;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2019;12
7915;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 January;1
7916;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 February;5
7917;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 March;4
7918;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 1st quarter;10
7919;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 April;1
7920;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 May;0
7921;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 June;1
7922;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 2nd quarter;2
7923;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 July;3
7924;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 August;0
7925;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 September;0
7926;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 3rd quarter;3
7927;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 October;0
7928;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 November;1
7929;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 December;2
7930;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020 4th quarter;3
7931;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2020;18
7932;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 January;1
7933;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 February;1
7934;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 March;2
7935;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 1st quarter;4
7936;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 April;0
7937;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 May;0
7938;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 June;0
7939;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 2nd quarter;0
7940;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 July;2
7941;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 August;3
7942;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 September;1
7943;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 3rd quarter;6
7944;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 October;1
7945;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 November;2
7946;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 December;0
7947;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021 4th quarter;3
7948;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2021;13
7949;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 January;0
7950;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 February;1
7951;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 March;0
7952;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 1st quarter;1
7953;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 April;0
7954;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 May;2
7955;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 June;0
7956;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 2nd quarter;2
7957;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 July;1
7958;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 August;1
7959;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 September;1
7960;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 3rd quarter;3
7961;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 October;0
7962;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 November;1
7963;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 December;1
7964;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022 4th quarter;2
7965;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2022;8
7966;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 January;2
7967;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 February;0
7968;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 March;1
7969;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 1st quarter;3
7970;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 April;1
7971;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 May;1
7972;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 June;3
7973;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 2nd quarter;5
7974;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 July;2
7975;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 August;1
7976;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 September;3
7977;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 3rd quarter;6
7978;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 October;0
7979;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 November;3
7980;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 December;0
7981;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023 4th quarter;3
7982;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2023;17
7983;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 January;1
7984;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 February;2
7985;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 March;1
7986;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 1st quarter;4
7987;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 April;1
7988;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 May;3
7989;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 June;1
7990;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 2nd quarter;5
7991;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 July;2
7992;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 August;0
7993;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 September;2
7994;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 3rd quarter;4
7995;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 October;7
7996;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 November;4
7997;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 December;4
7998;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024 4th quarter;15
7999;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2024;28
8000;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2025 January;17
8001;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2025 February;0
8002;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2025 March;1
8003;Total entities with/without legal pers.;Zuidwest-Drenthe (CR);2025 1st quarter;18
8004;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 January;7
8005;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 February;11
8006;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 March;18
8007;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 1st quarter;36
8008;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 April;12
8009;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 May;5
8010;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 June;17
8011;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 2nd quarter;34
8012;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 July;22
8013;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 August;9
8014;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 September;15
8015;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 3rd quarter;46
8016;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 October;16
8017;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 November;2
8018;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 December;8
8019;Total entities with/without legal pers.;Noord-Overijssel (CR);2009 4th quarter;26
8020;Total entities with/without legal pers.;Noord-Overijssel (CR);2009;142
8021;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 January;13
8022;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 February;18
8023;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 March;24
8024;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 1st quarter;55
8025;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 April;7
8026;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 May;5
8027;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 June;5
8028;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 2nd quarter;17
8029;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 July;9
8030;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 August;17
8031;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 September;13
8032;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 3rd quarter;39
8033;Total entities with/without legal pers.;Noord-Overijssel (CR);2010 October;24
