ID;Migratieachtergrond;Perioden;TotaalLevendGeborenKinderen_1;GemiddeldKindertalPerVrouw_2
470;Indonesië;2031;286;1.4
471;Indonesië;2032;282;1.4
472;Indonesië;2033;278;1.4
473;Indonesië;2034;274;1.4
474;Indonesië;2035;270;1.4
475;Indonesië;2036;266;1.4
476;Indonesië;2037;262;1.4
477;Indonesië;2038;258;1.4
478;Indonesië;2039;255;1.4
479;Indonesië;2040;252;1.4
480;Indonesië;2041;248;1.4
481;Indonesië;2042;245;1.4
482;Indonesië;2043;242;1.4
483;Indonesië;2044;239;1.4
484;Indonesië;2045;237;1.4
485;Indonesië;2046;234;1.4
486;Indonesië;2047;232;1.4
487;Indonesië;2048;230;1.4
488;Indonesië;2049;228;1.4
489;Indonesië;2050;226;1.4
490;Indonesië;2051;224;1.4
491;Indonesië;2052;222;1.4
492;Indonesië;2053;221;1.4
493;Indonesië;2054;219;1.4
494;Indonesië;2055;218;1.4
495;Indonesië;2056;217;1.4
496;Indonesië;2057;215;1.4
497;Indonesië;2058;214;1.4
498;Indonesië;2059;213;1.4
499;Indonesië;2060;212;1.4
500;Indonesië;2061;211;1.4
501;Indonesië;2062;210;1.4
502;Indonesië;2063;209;1.4
503;Indonesië;2064;208;1.4
504;Indonesië;2065;207;1.4
505;Indonesië;2066;206;1.4
506;Indonesië;2067;206;1.4
507;Indonesië;2068;205;1.4
508;Indonesië;2069;204;1.4
509;Indonesië;2070;204;1.4
510;Latijns-Amerika;2020;1513;1.3
511;Latijns-Amerika;2021;1499;1.23
512;Latijns-Amerika;2022;1614;1.24
513;Latijns-Amerika;2023;1755;1.26
514;Latijns-Amerika;2024;1898;1.3
515;Latijns-Amerika;2025;2005;1.31
516;Latijns-Amerika;2026;2105;1.32
517;Latijns-Amerika;2027;2182;1.33
518;Latijns-Amerika;2028;2249;1.34
519;Latijns-Amerika;2029;2305;1.35
520;Latijns-Amerika;2030;2348;1.36
521;Latijns-Amerika;2031;2383;1.37
522;Latijns-Amerika;2032;2414;1.38
523;Latijns-Amerika;2033;2443;1.39
524;Latijns-Amerika;2034;2469;1.4
525;Latijns-Amerika;2035;2495;1.41
526;Latijns-Amerika;2036;2519;1.42
527;Latijns-Amerika;2037;2544;1.43
528;Latijns-Amerika;2038;2568;1.44
529;Latijns-Amerika;2039;2593;1.45
530;Latijns-Amerika;2040;2618;1.46
531;Latijns-Amerika;2041;2642;1.46
532;Latijns-Amerika;2042;2667;1.47
533;Latijns-Amerika;2043;2691;1.48
534;Latijns-Amerika;2044;2714;1.48
