ID;Opleidingsniveau;Marges;WijkenEnBuurten;RegiocodeGemeenteWijkBuurt_1;Bevolking15Tot75Jaar_2
269;Laag;Ondergrens 95%-interval;Daalmeer/Koedijk;          ;2460.0
270;Laag;Ondergrens 95%-interval;Daalmeer-Zuidoost;          ;470.0
271;Laag;Ondergrens 95%-interval;Daalmeer-Zuidwest;          ;610.0
272;Laag;Ondergrens 95%-interval;Koedijk en De Weijdt;          ;
273;Laag;Ondergrens 95%-interval;Daalmeer-Noordwest;          ;410.0
274;Laag;Ondergrens 95%-interval;Daalmeer-Noordoost;          ;370.0
275;Laag;Ondergrens 95%-interval;Landelijk gebied Noord;          ;
276;Laag;Ondergrens 95%-interval;Centrum;          ;1060.0
277;Laag;Ondergrens 95%-interval;Binnenstad-West;          ;320.0
278;Laag;Ondergrens 95%-interval;Binnenstad-Oost;          ;350.0
279;Laag;Ondergrens 95%-interval;Spoorbuurt;          ;270.0
280;Laag;Ondergrens 95%-interval;Overstad;          ;40.0
281;Laag;Ondergrens 95%-interval;Schermer;          ;920.0
282;Laag;Ondergrens 95%-interval;Oterleek;          ;100.0
283;Laag;Ondergrens 95%-interval;Ursem;          ;0.0
284;Laag;Ondergrens 95%-interval;Stompetoren;          ;280.0
285;Laag;Ondergrens 95%-interval;Schermerhorn;          ;160.0
286;Laag;Ondergrens 95%-interval;Zuidschermer;          ;100.0
287;Laag;Ondergrens 95%-interval;Driehuizen;          ;30.0
288;Laag;Ondergrens 95%-interval;Grootschermer;          ;120.0
289;Laag;Ondergrens 95%-interval;Graft-De Rijp;          ;960.0
290;Laag;Ondergrens 95%-interval;Noordeinde;          ;0.0
291;Laag;Ondergrens 95%-interval;West-Graftdijk;          ;120.0
292;Laag;Ondergrens 95%-interval;Graft;          ;120.0
293;Laag;Ondergrens 95%-interval;De Rijp;          ;540.0
294;Laag;Ondergrens 95%-interval;Oost-Graftdijk;          ;10.0
295;Laag;Ondergrens 95%-interval;Starnmeer;          ;20.0
296;Laag;Ondergrens 95%-interval;Markenbinnen;          ;30.0
297;Laag;Ondergrens 95%-interval;Vroonermeer;          ;690.0
298;Laag;Ondergrens 95%-interval;Vroonermeer-Zuid;          ;490.0
299;Laag;Ondergrens 95%-interval;Vroonermeer-Noord;          ;180.0
300;Laag;Ondergrens 95%-interval;Almelo;          ;18030.0
301;Laag;Ondergrens 95%-interval;Binnenstad;          ;1260.0
302;Laag;Ondergrens 95%-interval;Binnenstad Noord;          ;420.0
303;Laag;Ondergrens 95%-interval;Binnenstad Zuid;          ;230.0
304;Laag;Ondergrens 95%-interval;Ulk en omgeving;          ;270.0
305;Laag;Ondergrens 95%-interval;Java en omgeving;          ;240.0
306;Laag;Ondergrens 95%-interval;De Riet;          ;2160.0
307;Laag;Ondergrens 95%-interval;Bornsestraat Midden-Riet Noord;          ;340.0
308;Laag;Ondergrens 95%-interval;Bornsestraat en omgeving Zuid;          ;270.0
309;Laag;Ondergrens 95%-interval;Arendsboer en omgeving Noord;          ;250.0
310;Laag;Ondergrens 95%-interval;Nieuwland;          ;620.0
311;Laag;Ondergrens 95%-interval;Arendsboer en omgeving Zuid-Riet Zuid;          ;470.0
312;Laag;Ondergrens 95%-interval;Bedrijventerrein Bornsestraat;          ;
313;Laag;Ondergrens 95%-interval;Verspreide huizen wijk 11;          ;10.0
314;Laag;Ondergrens 95%-interval;Noorderkwartier;          ;970.0
315;Laag;Ondergrens 95%-interval;Vriezenveenseweg e.o. Haghoek Oost;          ;250.0
316;Laag;Ondergrens 95%-interval;Parkweg en omgeving;          ;240.0
317;Laag;Ondergrens 95%-interval;Vriezenveenseweg e.o. Haghoek West;          ;280.0
318;Laag;Ondergrens 95%-interval;Indië;          ;60.0
319;Laag;Ondergrens 95%-interval;Bedrijventerrein Dollegoor Turfkade;          ;10.0
320;Laag;Ondergrens 95%-interval;Bedrijvenpark Twente;          ;
321;Laag;Ondergrens 95%-interval;Aaboer;          ;30.0
322;Laag;Ondergrens 95%-interval;Verspreide huizen wijk 12;          ;
323;Laag;Ondergrens 95%-interval;Sluitersveld;          ;1480.0
324;Laag;Ondergrens 95%-interval;Ootmarsumsestraat en omgeving;          ;320.0
325;Laag;Ondergrens 95%-interval;Markgraven;          ;110.0
326;Laag;Ondergrens 95%-interval;Rumerslanden;          ;230.0
327;Laag;Ondergrens 95%-interval;Wester Sluitersveldlanden;          ;540.0
328;Laag;Ondergrens 95%-interval;Robbenhaarsweg Noord;          ;50.0
329;Laag;Ondergrens 95%-interval;Mooie Vrouwenweg en omgeving;          ;90.0
330;Laag;Ondergrens 95%-interval;Verspreide huizen wijk 13;          ;10.0
331;Laag;Ondergrens 95%-interval;Wierdense Hoek;          ;1650.0
332;Laag;Ondergrens 95%-interval;Rohof en omgeving;          ;80.0
333;Laag;Ondergrens 95%-interval;Wierdensebrug en omgeving;          ;10.0
